* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.2 dBFS, measurement signal peak level -25.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:39:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 2.2766 ms (781 mm, 2 ft 6.74 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p2-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 24.495 -49.5003
10.166832 24.796 -50.2439
10.240505 25.160 -50.8017
10.314712 25.536 -51.3267
10.389457 25.917 -51.9526
10.464743 26.311 -52.7552
10.540575 26.726 -53.5617
10.616956 27.148 -54.4274
10.693891 27.564 -55.4542
10.771383 27.961 -56.7371
10.849437 28.343 -58.2619
10.928057 28.709 -59.9436
11.007246 29.049 -61.7636
11.087009 29.351 -63.7285
11.167350 29.610 -65.9238
11.248273 29.832 -68.3858
11.329783 30.006 -70.9723
11.411883 30.123 -73.5756
11.494578 30.176 -76.2440
11.577873 30.172 -79.2349
11.661771 30.097 -82.3521
11.746277 29.932 -85.3710
11.831395 29.675 -88.2543
11.917130 29.336 -91.4276
12.003487 28.875 -94.6759
12.090469 28.236 -97.6310
12.178081 27.384 -100.1238
12.266329 26.327 -102.5847
12.355216 25.073 -104.6095
12.444747 23.593 -105.2361
12.534926 21.638 -103.0044
12.625760 19.309 -94.6712
12.717251 17.457 -68.9869
12.809406 17.364 -24.7422
12.902228 19.412 -0.0805
12.995723 22.376 8.0436
13.089895 25.111 9.7958
13.184750 27.110 8.6477
13.280292 28.679 6.2098
13.376526 29.988 3.2323
13.473458 31.120 -0.0421
13.571093 32.070 -3.8454
13.669434 32.843 -7.9051
13.768489 33.489 -11.8834
13.868261 34.038 -15.8605
13.968756 34.471 -20.1519
14.069979 34.803 -24.3826
14.171936 35.049 -28.3176
14.274632 35.203 -32.4151
14.378072 35.268 -36.5074
14.482261 35.251 -40.2249
14.587206 35.150 -43.7872
14.692910 34.967 -47.2811
14.799381 34.707 -50.3718
14.906624 34.367 -52.9488
15.014643 33.953 -55.1704
15.123446 33.489 -56.8373
15.233036 32.977 -57.6650
15.343421 32.428 -57.6012
15.454606 31.917 -56.7230
15.566596 31.492 -54.9173
15.679398 31.154 -52.0034
15.793018 30.969 -48.6647
15.907460 30.994 -45.3576
16.022732 31.201 -42.0804
16.138840 31.519 -39.5441
16.255788 31.918 -38.0081
16.373585 32.382 -37.2511
16.492234 32.833 -37.2396
16.611744 33.242 -37.9972
16.732119 33.611 -39.2966
16.853367 33.918 -40.8305
16.975494 34.159 -42.7281
17.098505 34.339 -44.7762
17.222408 34.462 -46.6843
17.347209 34.526 -48.6273
17.472914 34.549 -50.3842
17.599530 34.540 -51.7817
17.727063 34.506 -52.9212
17.855521 34.479 -53.6938
17.984909 34.467 -54.0123
18.115235 34.491 -54.0062
18.246506 34.579 -53.7839
18.378727 34.735 -53.2918
18.511907 34.959 -52.8886
18.646052 35.258 -52.6226
18.781169 35.613 -52.5618
18.917265 35.997 -52.9487
19.054347 36.404 -53.6806
19.192423 36.801 -54.7535
19.331499 37.176 -56.2134
19.471583 37.516 -57.8853
19.612682 37.807 -59.6627
19.754804 38.048 -61.5740
19.897956 38.237 -63.2905
20.042144 38.375 -64.8946
20.187378 38.479 -66.1734
20.333664 38.561 -66.9870
20.481010 38.645 -67.3973
20.629424 38.769 -67.3005
20.778913 38.946 -66.7731
20.929486 39.211 -66.1417
21.081150 39.570 -65.3714
21.233912 40.005 -64.9843
21.387782 40.508 -64.9804
21.542767 41.034 -65.5207
21.698874 41.554 -66.6979
21.856113 42.039 -68.2964
22.014492 42.461 -70.3243
22.174018 42.812 -72.5689
22.334700 43.079 -74.7921
22.496546 43.269 -76.9660
22.659566 43.394 -78.6747
22.823766 43.475 -79.9953
22.989157 43.555 -80.6189
23.155745 43.664 -80.6345
23.323542 43.863 -80.1926
23.492554 44.163 -79.4067
23.662790 44.578 -78.8657
23.834261 45.087 -78.5930
24.006973 45.637 -79.0363
24.180938 46.198 -80.0211
24.356163 46.717 -81.5415
24.532658 47.180 -83.3774
24.710431 47.574 -85.2252
24.889493 47.914 -86.9420
25.069853 48.228 -88.1762
25.251519 48.564 -88.9979
25.434502 48.974 -89.2399
25.618811 49.501 -89.4566
25.804456 50.166 -89.7015
25.991445 50.936 -90.8117
26.179790 51.778 -92.6944
26.369500 52.613 -95.8117
26.560584 53.402 -99.8286
26.753053 54.091 -104.8165
26.946917 54.655 -110.3369
27.142185 55.072 -116.4524
27.338869 55.330 -122.5690
27.536977 55.423 -128.8334
27.736522 55.351 -134.5761
27.937512 55.125 -139.8046
28.139959 54.766 -143.9854
28.343872 54.337 -146.8887
28.549264 53.904 -148.1829
28.756143 53.604 -148.0212
28.964522 53.515 -146.9162
29.174411 53.695 -145.6625
29.385821 54.062 -145.4287
29.598763 54.528 -146.3866
29.813248 54.961 -148.7637
30.029287 55.287 -151.9863
30.246891 55.462 -155.8762
30.466073 55.467 -159.7374
30.686842 55.312 -163.2085
30.909212 55.023 -165.9211
31.133193 54.666 -167.3371
31.358797 54.327 -167.4160
31.586035 54.096 -166.0690
31.814921 54.067 -163.9501
32.045465 54.252 -161.7310
32.277680 54.620 -160.0010
32.511577 55.091 -159.1953
32.747169 55.603 -159.2440
32.984469 56.116 -160.0250
33.223488 56.606 -161.3547
33.464239 57.068 -163.0822
33.706735 57.498 -165.1194
33.950987 57.895 -167.3995
34.197010 58.257 -169.8462
34.444816 58.585 -172.3853
34.694417 58.885 -174.9712
34.945827 59.167 -177.5619
35.199059 59.443 179.8105
35.454126 59.717 177.0488
35.711041 59.985 174.0625
35.969818 60.229 170.7474
36.230470 60.421 167.0660
36.493011 60.534 163.1172
36.757455 60.543 159.0424
37.023814 60.435 155.0272
37.292104 60.205 151.3489
37.562338 59.862 148.2925
37.834530 59.428 146.0676
38.108695 58.927 144.8953
38.384846 58.394 145.0128
38.662999 57.875 146.6806
38.943167 57.458 150.1742
39.225365 57.272 155.5123
39.509608 57.444 162.0161
39.795911 58.008 168.3360
40.084289 58.879 173.2289
40.374756 59.898 176.2967
40.667328 60.955 177.9758
40.962020 62.036 178.9576
41.258848 63.193 179.5698
41.557827 64.472 179.5729
41.858972 65.869 178.3616
42.162299 67.315 175.3963
42.467824 68.713 170.4965
42.775564 69.974 163.8380
43.085533 71.038 155.8025
43.397749 71.875 146.8462
43.712227 72.477 137.4356
44.028983 72.850 127.9995
44.348036 73.017 118.9098
44.669400 73.012 110.4759
44.993093 72.882 102.9196
45.319131 72.680 96.3347
45.647532 72.460 90.6630
45.978313 72.258 85.7181
46.311491 72.087 81.2754
46.647083 71.947 77.1753
46.985107 71.829 73.3670
47.325581 71.737 69.8667
47.668521 71.682 66.6739
48.013947 71.679 63.7167
48.361876 71.736 60.8665
48.712326 71.848 58.0001
49.065315 72.010 55.0453
49.420863 72.216 51.9670
49.778987 72.465 48.7237
50.139706 72.757 45.2499
50.503039 73.086 41.4886
50.869005 73.448 37.4269
51.237623 73.849 33.0765
51.608912 74.305 28.3802
51.982891 74.834 23.1098
52.359580 75.427 16.8748
52.739000 76.039 9.2807
53.121168 76.595 0.1215
53.506106 77.017 -10.5422
53.893833 77.235 -22.4620
54.284370 77.201 -35.2662
54.677737 76.884 -48.4917
55.073955 76.272 -61.6259
55.473043 75.372 -74.1260
55.875024 74.213 -85.4629
56.279917 72.857 -95.1926
56.687745 71.394 -103.0812
57.098527 69.929 -109.3363
57.512287 68.541 -114.5835
57.929045 67.250 -119.4875
58.348822 66.029 -124.4315
58.771642 64.849 -129.6019
59.197525 63.694 -135.2252
59.626495 62.548 -141.7349
60.058573 61.373 -149.6815
60.493782 60.107 -159.5867
60.932145 58.690 -171.9431
61.373685 57.105 172.4535
61.818424 55.428 152.3241
62.266386 53.897 126.3961
62.717593 52.893 96.1229
63.172071 52.674 67.7791
63.629842 53.099 46.0659
64.090930 53.854 30.5606
64.555359 54.723 19.2285
65.023154 55.601 10.2985
65.494339 56.436 2.6157
65.968938 57.201 -4.4685
66.446976 57.884 -11.2693
66.928478 58.479 -17.9371
67.413469 58.985 -24.5110
67.901975 59.410 -30.9723
68.394021 59.771 -37.3318
68.889632 60.080 -43.7195
69.388835 60.333 -50.3012
69.891655 60.514 -57.1662
70.398118 60.606 -64.3192
70.908252 60.589 -71.8176
71.422083 60.417 -79.6625
71.939636 60.023 -87.5126
72.460941 59.372 -94.0908
72.986023 58.605 -97.3849
73.514909 58.162 -96.1874
74.047629 58.450 -93.9826
74.584208 59.263 -96.0905
75.124676 60.052 -102.9961
75.669061 60.545 -112.2513
76.217390 60.771 -121.5383
76.769692 60.911 -130.0288
77.325997 61.119 -138.2356
77.886333 61.415 -147.2604
78.450730 61.724 -157.5312
79.019216 61.985 -168.8890
79.591822 62.180 178.9346
80.168577 62.299 166.0422
80.749512 62.321 152.5403
81.334656 62.227 138.6674
81.924040 62.011 124.6619
82.517696 61.659 110.6482
83.115653 61.136 96.8031
83.717943 60.397 83.6085
84.324598 59.426 71.8743
84.935649 58.262 62.4535
85.551128 56.999 56.0876
86.171066 55.792 53.5044
86.795497 54.924 55.2618
87.424453 54.779 60.2742
88.057967 55.522 65.3352
88.696071 56.954 67.7476
89.338800 58.749 66.3250
89.986185 60.636 60.8057
90.638262 62.438 51.5522
91.295065 64.041 38.9667
91.956626 65.336 23.2672
92.622982 66.195 4.8943
93.294166 66.506 -15.1613
93.970214 66.211 -35.3977
94.651161 65.345 -54.0253
95.337042 64.069 -69.4426
96.027894 62.667 -81.2195
96.723752 61.424 -90.6403
97.424652 60.489 -99.3022
98.130631 59.907 -108.0552
98.841726 59.687 -117.8265
99.557974 59.749 -129.5299
100.279412 59.969 -143.3397
101.006078 60.248 -159.0118
101.738010 60.500 -176.1046
102.475245 60.677 166.2794
103.217823 60.815 149.1945
103.965782 61.004 132.9999
104.719161 61.260 117.2375
105.477999 61.500 101.5499
106.242336 61.634 86.0765
107.012212 61.607 70.9019
107.787666 61.344 55.9355
108.568740 60.745 41.6259
109.355474 59.767 29.3409
110.147909 58.507 20.7523
110.946086 57.205 16.4005
111.750047 56.090 14.3970
112.559834 55.139 12.5884
113.375489 54.174 11.8000
114.197055 53.239 15.2672
115.024574 52.805 25.3086
115.858089 53.372 38.1610
116.697645 54.669 45.3787
117.543284 55.995 45.3167
118.395051 57.011 42.1063
119.252990 57.797 39.4724
120.117147 58.579 38.2565
120.987565 59.456 36.8578
121.864291 60.371 34.4077
122.747370 61.313 31.7538
123.636848 62.342 29.1080
124.532771 63.441 25.2922
125.435187 64.490 19.4895
126.344142 65.372 11.9440
127.259684 66.034 3.4105
128.181860 66.481 -5.4547
129.110718 66.733 -14.2716
130.046308 66.824 -22.6149
130.988677 66.810 -30.1405
131.937875 66.744 -36.9791
132.893951 66.659 -43.2424
133.856956 66.612 -48.7229
134.826938 66.665 -54.2584
135.803950 66.731 -61.6630
136.788041 66.610 -71.0542
137.779264 66.192 -80.9594
138.777669 65.494 -90.2855
139.783309 64.585 -98.7219
140.796237 63.517 -106.5308
141.816504 62.290 -114.4192
142.844165 60.827 -123.2377
143.879273 59.008 -134.4130
144.921881 56.812 -150.8813
145.972045 55.195 166.9054
147.029819 56.422 47.7031
148.095257 59.397 21.0253
149.168417 62.092 4.1613
150.249353 64.101 -11.4000
151.338121 65.500 -25.9773
152.434780 66.425 -39.2502
153.539385 66.994 -51.2256
154.651995 67.274 -62.1190
155.772667 67.295 -72.0889
156.901460 67.075 -80.7874
158.038432 66.713 -87.0542
159.183644 66.450 -90.2500
160.337154 66.498 -92.3176
161.499023 66.776 -96.4185
162.669312 66.987 -103.3826
163.848081 66.909 -111.4934
165.035392 66.543 -118.1523
166.231306 66.081 -122.2607
167.435887 65.674 -125.6011
168.649196 65.283 -129.0945
169.871298 64.911 -131.0742
171.102255 64.713 -131.1409
