* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.3 dBFS, measurement signal peak level -19.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:42:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.2396 ms (-2.483 m, -(8 ft 1.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p2-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 57.615 -64.6186
10.166832 57.720 -66.0708
10.240505 57.847 -67.5265
10.314712 57.978 -69.0006
10.389457 58.110 -70.5092
10.464743 58.244 -72.0675
10.540575 58.381 -73.6694
10.616956 58.519 -75.3041
10.693891 58.653 -76.9650
10.771383 58.780 -78.6483
10.849437 58.900 -80.3775
10.928057 59.014 -82.1491
11.007246 59.120 -83.9322
11.087009 59.216 -85.6984
11.167350 59.301 -87.4550
11.248273 59.374 -89.2378
11.329783 59.437 -91.0067
11.411883 59.490 -92.7185
11.494578 59.532 -94.3554
11.577873 59.561 -95.9650
11.661771 59.582 -97.5200
11.746277 59.596 -98.9823
11.831395 59.606 -100.3247
11.917130 59.609 -101.5728
12.003487 59.610 -102.7252
12.090469 59.616 -103.7741
12.178081 59.629 -104.7006
12.266329 59.647 -105.4976
12.355216 59.675 -106.2035
12.444747 59.720 -106.8595
12.534926 59.785 -107.4457
12.625760 59.867 -107.9511
12.717251 59.968 -108.4518
12.809406 60.089 -109.0180
12.902228 60.232 -109.5996
12.995723 60.393 -110.2189
13.089895 60.567 -110.9450
13.184750 60.751 -111.8150
13.280292 60.947 -112.7807
13.376526 61.148 -113.8641
13.473458 61.347 -115.0936
13.571093 61.543 -116.4689
13.669434 61.737 -117.9672
13.768489 61.920 -119.5755
13.868261 62.091 -121.2995
13.968756 62.250 -123.1469
14.069979 62.394 -125.0774
14.171936 62.521 -127.0636
14.274632 62.630 -129.1473
14.378072 62.720 -131.2947
14.482261 62.791 -133.4556
14.587206 62.841 -135.6654
14.692910 62.870 -137.9196
14.799381 62.878 -140.1619
14.906624 62.864 -142.4008
15.014643 62.827 -144.6598
15.123446 62.768 -146.8830
15.233036 62.685 -149.0580
15.343421 62.579 -151.2179
15.454606 62.449 -153.3115
15.566596 62.295 -155.3139
15.679398 62.117 -157.2519
15.793018 61.915 -159.0833
15.907460 61.690 -160.7770
16.022732 61.442 -162.3422
16.138840 61.173 -163.7547
16.255788 60.885 -164.9807
16.373585 60.578 -166.0102
16.492234 60.257 -166.8488
16.611744 59.924 -167.4575
16.732119 59.579 -167.8221
16.853367 59.228 -167.9765
16.975494 58.871 -167.8736
17.098505 58.509 -167.5067
17.222408 58.144 -166.9001
17.347209 57.775 -166.0064
17.472914 57.404 -164.7894
17.599530 57.030 -163.2219
17.727063 56.658 -161.2492
17.855521 56.304 -158.7690
17.984909 55.969 -155.7359
18.115235 55.682 -152.1111
18.246506 55.481 -147.8760
18.378727 55.375 -143.1086
18.511907 55.395 -138.0349
18.646052 55.564 -132.8744
18.781169 55.863 -127.8861
18.917265 56.267 -123.3371
19.054347 56.767 -119.3278
19.192423 57.317 -115.8346
19.331499 57.895 -112.8785
19.471583 58.496 -110.3350
19.612682 59.107 -108.0621
19.754804 59.732 -106.0773
19.897956 60.383 -104.3086
20.042144 61.062 -102.7295
20.187378 61.773 -101.5057
20.333664 62.521 -100.6147
20.481010 63.293 -100.1661
20.629424 64.075 -100.3128
20.778913 64.858 -100.9219
20.929486 65.615 -102.1606
21.081150 66.337 -103.8759
21.233912 67.005 -106.0359
21.387782 67.610 -108.6211
21.542767 68.142 -111.4279
21.698874 68.593 -114.4782
21.856113 68.964 -117.5815
22.014492 69.250 -120.6402
22.174018 69.457 -123.5973
22.334700 69.590 -126.2123
22.496546 69.660 -128.5222
22.659566 69.687 -130.2591
22.823766 69.688 -131.4688
22.989157 69.703 -132.0353
23.155745 69.750 -131.9980
23.323542 69.870 -131.5276
23.492554 70.072 -130.6998
23.662790 70.366 -129.8769
23.834261 70.745 -129.1238
24.006973 71.183 -128.7006
24.180938 71.668 -128.5906
24.356163 72.175 -128.8388
24.532658 72.699 -129.3986
24.710431 73.230 -130.2236
24.889493 73.772 -131.3170
25.069853 74.326 -132.6608
25.251519 74.889 -134.3309
25.434502 75.459 -136.3368
25.618811 76.023 -138.7728
25.804456 76.571 -141.6297
25.991445 77.081 -144.9189
26.179790 77.542 -148.6036
26.369500 77.936 -152.5713
26.560584 78.253 -156.7531
26.753053 78.488 -160.9784
26.946917 78.642 -165.0986
27.142185 78.722 -168.9962
27.338869 78.750 -172.4575
27.536977 78.749 -175.4405
27.736522 78.763 -177.8672
27.937512 78.823 -179.8837
28.139959 78.964 178.3734
28.343872 79.190 176.4557
28.549264 79.490 174.2162
28.756143 79.821 171.2590
28.964522 80.140 167.6487
29.174411 80.404 163.2958
29.385821 80.571 158.4874
29.598763 80.619 153.3037
29.813248 80.529 148.0636
30.029287 80.296 143.0855
30.246891 79.926 138.5427
30.466073 79.442 134.9330
30.686842 78.892 132.4069
30.909212 78.335 131.2812
31.133193 77.870 131.4065
31.358797 77.562 132.3975
31.586035 77.447 133.7078
31.814921 77.491 134.5134
32.045465 77.626 134.6044
32.277680 77.784 133.8973
32.511577 77.908 132.6370
32.747169 77.981 131.1257
32.984469 78.005 129.5591
33.223488 77.995 128.1496
33.464239 77.973 126.9454
33.706735 77.954 125.9456
33.950987 77.948 125.1284
34.197010 77.965 124.4742
34.444816 78.018 123.9813
34.694417 78.126 123.5938
34.945827 78.309 123.2043
35.199059 78.582 122.4963
35.454126 78.928 121.1327
35.711041 79.309 118.8870
35.969818 79.674 115.6087
36.230470 79.960 111.3468
36.493011 80.124 106.3614
36.757455 80.137 100.9194
37.023814 79.983 95.3078
37.292104 79.663 89.9023
37.562338 79.197 85.0476
37.834530 78.617 80.9429
38.108695 77.962 77.7264
38.384846 77.273 75.4289
38.662999 76.580 73.9296
38.943167 75.892 73.0770
39.225365 75.206 72.8965
39.509608 74.528 73.5507
39.795911 73.891 75.2388
40.084289 73.355 78.0151
40.374756 72.985 81.5816
40.667328 72.807 85.3616
40.962020 72.794 88.9770
41.258848 72.922 92.4518
41.557827 73.208 95.8998
41.858972 73.696 99.0728
42.162299 74.392 101.2253
42.467824 75.225 101.5270
42.775564 76.065 99.6010
43.085533 76.785 95.6459
43.397749 77.298 90.2138
43.712227 77.564 83.9811
44.028983 77.577 77.6029
44.348036 77.365 71.6482
44.669400 76.978 66.5561
44.993093 76.487 62.5577
45.319131 75.968 59.5930
45.647532 75.469 57.3299
45.978313 75.002 55.3541
46.311491 74.538 53.4246
46.647083 74.046 51.5837
46.985107 73.514 50.0601
47.325581 72.957 49.0662
47.668521 72.410 48.6261
48.013947 71.899 48.5491
48.361876 71.422 48.5750
48.712326 70.956 48.5650
49.065315 70.472 48.5740
49.420863 69.954 48.7862
49.778987 69.398 49.4217
50.139706 68.811 50.7018
50.503039 68.213 52.8620
50.869005 67.640 56.1497
51.237623 67.155 60.7836
51.608912 66.851 66.9204
51.982891 66.864 74.5670
52.359580 67.341 83.1125
52.739000 68.331 90.7342
53.121168 69.680 95.1695
53.506106 71.120 95.4300
53.893833 72.422 92.0190
54.284370 73.452 85.9984
54.677737 74.155 78.4402
55.073955 74.527 70.2704
55.473043 74.599 62.2465
55.875024 74.428 54.9371
56.279917 74.089 48.6706
56.687745 73.664 43.5145
57.098527 73.223 39.2462
57.512287 72.806 35.4850
57.929045 72.425 31.8863
58.348822 72.076 28.2178
58.771642 71.753 24.2957
59.197525 71.445 19.9229
59.626495 71.133 14.8783
60.058573 70.786 8.9530
60.493782 70.362 1.9967
60.932145 69.808 -6.0295
61.373685 69.072 -15.0702
61.818424 68.109 -24.9294
62.266386 66.888 -35.3225
62.717593 65.413 -46.0555
63.172071 63.726 -57.1941
63.629842 61.924 -69.3783
64.090930 60.159 -83.8180
64.555359 58.664 -101.8500
65.023154 57.726 -123.3754
65.494339 57.518 -145.6429
65.968938 57.927 -165.3151
66.446976 58.651 178.7293
66.928478 59.418 165.8848
67.413469 60.073 155.3140
67.901975 60.558 146.4786
68.394021 60.875 139.0586
68.889632 61.036 132.7258
69.388835 61.045 127.1635
69.891655 60.885 122.2028
70.398118 60.533 117.9146
70.908252 59.967 114.6118
71.422083 59.188 112.9694
71.939636 58.248 114.0386
72.460941 57.305 118.8033
72.986023 56.602 127.2432
73.514909 56.410 138.6458
74.047629 56.991 152.6001
74.584208 58.391 165.5980
75.124676 60.178 172.0543
75.669061 61.830 171.8420
76.217390 63.087 168.0328
76.769692 63.941 163.3636
77.325997 64.497 159.3888
77.886333 64.898 156.7096
78.450730 65.272 155.3451
79.019216 65.731 154.9990
79.591822 66.340 154.7377
80.168577 67.048 153.2538
80.749512 67.722 149.9975
81.334656 68.259 145.5579
81.924040 68.652 140.8726
82.517696 68.953 136.2595
83.115653 69.187 131.3423
83.717943 69.316 125.7299
84.324598 69.277 119.6574
84.935649 69.054 113.7706
85.551128 68.676 108.6093
86.171066 68.204 104.3354
86.795497 67.686 100.7993
87.424453 67.153 97.7020
88.057967 66.602 94.6041
88.696071 65.980 91.0540
89.338800 65.187 87.0632
89.986185 64.122 83.4848
90.638262 62.750 82.0497
91.295065 61.209 85.5405
91.956626 59.993 97.3823
92.622982 59.826 114.0619
93.294166 60.614 122.9736
93.970214 61.482 122.5803
94.651161 61.923 118.4605
95.337042 61.930 114.9296
96.027894 61.726 113.6823
96.723752 61.520 113.8453
97.424652 61.368 113.9414
98.130631 61.226 113.5730
98.841726 61.050 112.9192
99.557974 60.817 112.2306
100.279412 60.537 111.8691
101.006078 60.248 111.9830
101.738010 59.985 112.3024
102.475245 59.765 112.6639
103.217823 59.616 113.1058
103.965782 59.564 113.0483
104.719161 59.566 111.4958
105.477999 59.520 108.1317
106.242336 59.336 103.1290
107.012212 58.930 96.4818
107.787666 58.197 88.3243
108.568740 57.032 79.3991
109.355474 55.368 70.7009
110.147909 53.162 62.7239
110.946086 50.337 55.7627
111.750047 46.787 52.2247
112.559834 42.704 67.3389
113.375489 39.820 -169.7843
114.197055 40.206 -150.9716
115.024574 41.871 -143.4886
115.858089 43.701 -132.0356
116.697645 45.958 -115.0280
117.543284 48.547 -101.6226
118.395051 51.008 -97.4927
119.252990 53.062 -99.1523
120.117147 54.721 -102.4603
120.987565 56.098 -105.8552
121.864291 57.277 -109.3425
122.747370 58.285 -113.2367
123.636848 59.120 -117.5668
124.532771 59.786 -122.0879
125.435187 60.295 -126.6208
126.344142 60.649 -131.1990
127.259684 60.830 -135.9266
128.181860 60.827 -140.2292
129.110718 60.704 -143.1012
130.046308 60.575 -144.6315
130.988677 60.505 -145.7390
131.937875 60.501 -146.8486
132.893951 60.548 -148.3323
133.856956 60.576 -151.0602
134.826938 60.476 -154.8759
135.803950 60.204 -158.6606
136.788041 59.771 -162.2164
137.779264 59.179 -165.3141
138.777669 58.460 -167.3614
139.783309 57.634 -169.2700
140.796237 56.594 -171.8621
141.816504 55.204 -172.9078
142.844165 53.586 -167.4767
143.879273 52.407 -151.1613
144.921881 52.606 -127.0536
145.972045 53.933 -114.7246
147.029819 55.263 -115.8922
148.095257 56.099 -121.3807
149.168417 56.452 -127.2992
150.249353 56.415 -133.1258
151.338121 56.023 -138.9934
152.434780 55.252 -144.8586
153.539385 54.040 -150.0776
154.651995 52.334 -153.0635
155.772667 50.186 -150.9510
156.901460 48.091 -134.2711
158.038432 47.496 -91.6975
159.183644 48.794 -69.2845
160.337154 50.418 -66.4712
161.499023 51.580 -68.5924
162.669312 52.208 -71.4360
163.848081 52.335 -74.5217
165.035392 51.971 -76.7881
166.231306 51.367 -72.5684
167.435887 51.336 -54.8757
168.649196 52.417 -37.2217
169.871298 54.010 -30.9625
171.102255 55.526 -30.3489
172.342133 56.820 -31.9290
173.590995 57.921 -34.3858
174.848907 58.867 -37.6872
