* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.4 dBFS, measurement signal peak level -18.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:41:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 1.7944 ms (615 mm, 2 ft 0.23 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p2-srf
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 63.301 -72.4097
10.166832 63.420 -74.1850
10.240505 63.565 -75.9396
10.314712 63.715 -77.6770
10.389457 63.866 -79.3998
10.464743 64.021 -81.1080
10.540575 64.181 -82.7924
10.616956 64.345 -84.4622
10.693891 64.512 -86.1292
10.771383 64.683 -87.8044
10.849437 64.857 -89.4767
10.928057 65.035 -91.1434
11.007246 65.216 -92.8197
11.087009 65.399 -94.5205
11.167350 65.584 -96.2483
11.248273 65.772 -97.9891
11.329783 65.962 -99.7505
11.411883 66.150 -101.5414
11.494578 66.338 -103.3694
11.577873 66.525 -105.2289
11.661771 66.710 -107.1128
11.746277 66.891 -109.0157
11.831395 67.067 -110.9411
11.917130 67.238 -112.9002
12.003487 67.405 -114.8729
12.090469 67.564 -116.8385
12.178081 67.717 -118.7964
12.266329 67.862 -120.7682
12.355216 68.001 -122.7268
12.444747 68.134 -124.6432
12.534926 68.262 -126.5211
12.625760 68.383 -128.3763
12.717251 68.501 -130.1874
12.809406 68.618 -131.9324
12.902228 68.734 -133.6160
12.995723 68.850 -135.2480
13.089895 68.971 -136.8314
13.184750 69.098 -138.3591
13.280292 69.232 -139.8230
13.376526 69.375 -141.2569
13.473458 69.530 -142.6947
13.571093 69.697 -144.1083
13.669434 69.876 -145.5144
13.768489 70.066 -146.9690
13.868261 70.268 -148.4922
13.968756 70.481 -150.0485
14.069979 70.701 -151.6802
14.171936 70.925 -153.4262
14.274632 71.153 -155.2614
14.378072 71.381 -157.1843
14.482261 71.605 -159.2076
14.587206 71.822 -161.3406
14.692910 72.033 -163.5605
14.799381 72.232 -165.8410
14.906624 72.419 -168.1952
15.014643 72.592 -170.6196
15.123446 72.750 -173.0602
15.233036 72.893 -175.5112
15.343421 73.020 -177.9952
15.454606 73.133 179.5459
15.566596 73.232 177.1333
15.679398 73.318 174.7372
15.793018 73.393 172.3973
15.907460 73.461 170.1355
16.022732 73.521 167.9306
16.138840 73.579 165.7903
16.255788 73.636 163.7271
16.373585 73.692 161.7302
16.492234 73.752 159.7743
16.611744 73.817 157.8664
16.732119 73.887 155.9961
16.853367 73.963 154.1241
16.975494 74.044 152.2589
17.098505 74.129 150.3890
17.222408 74.215 148.4889
17.347209 74.304 146.5645
17.472914 74.391 144.6191
17.599530 74.474 142.6467
17.727063 74.553 140.6509
17.855521 74.627 138.6577
17.984909 74.694 136.6597
18.115235 74.756 134.6722
18.246506 74.811 132.7213
18.378727 74.862 130.7973
18.511907 74.910 128.9162
18.646052 74.957 127.0871
18.781169 75.004 125.3017
18.917265 75.054 123.5577
19.054347 75.108 121.8583
19.192423 75.166 120.1803
19.331499 75.230 118.5230
19.471583 75.299 116.8770
19.612682 75.372 115.2230
19.754804 75.449 113.5661
19.897956 75.529 111.8962
20.042144 75.610 110.2114
20.187378 75.692 108.5177
20.333664 75.774 106.8149
20.481010 75.855 105.1072
20.629424 75.935 103.4027
20.778913 76.015 101.6996
20.929486 76.095 100.0038
21.081150 76.175 98.3147
21.233912 76.256 96.6320
21.387782 76.337 94.9551
21.542767 76.418 93.2859
21.698874 76.499 91.6230
21.856113 76.580 89.9728
22.014492 76.661 88.3401
22.174018 76.743 86.7284
22.334700 76.826 85.1492
22.496546 76.912 83.5997
22.659566 77.004 82.0844
22.823766 77.103 80.5972
22.989157 77.211 79.1220
23.155745 77.330 77.6543
23.323542 77.460 76.1622
23.492554 77.600 74.6448
23.662790 77.748 73.0775
23.834261 77.904 71.4637
24.006973 78.065 69.8035
24.180938 78.231 68.1009
24.356163 78.404 66.3723
24.532658 78.585 64.6103
24.710431 78.780 62.8163
24.889493 78.991 60.9536
25.069853 79.222 58.9890
25.251519 79.472 56.8485
25.434502 79.739 54.4872
25.618811 80.011 51.8269
25.804456 80.280 48.8438
25.991445 80.528 45.5269
26.179790 80.743 41.8835
26.369500 80.910 38.0045
26.560584 81.019 33.9369
26.753053 81.063 29.8283
26.946917 81.041 25.7997
27.142185 80.958 21.9691
27.338869 80.833 18.5083
27.536977 80.684 15.4781
27.736522 80.549 12.9309
27.937512 80.457 10.7578
28.139959 80.438 8.8240
28.343872 80.498 6.7415
28.549264 80.629 4.3547
28.756143 80.792 1.3073
28.964522 80.947 -2.3672
29.174411 81.053 -6.7516
29.385821 81.069 -11.5820
29.598763 80.970 -16.7755
29.813248 80.737 -22.0085
30.029287 80.365 -26.9723
30.246891 79.859 -31.4501
30.466073 79.245 -34.9614
30.686842 78.575 -37.3344
30.909212 77.911 -38.2565
31.133193 77.356 -37.9576
31.358797 76.972 -36.8721
31.586035 76.787 -35.6326
31.814921 76.755 -35.0193
32.045465 76.803 -35.1846
32.277680 76.867 -36.1538
32.511577 76.893 -37.6158
32.747169 76.874 -39.2887
32.984469 76.816 -40.9934
33.223488 76.736 -42.5774
33.464239 76.652 -44.0657
33.706735 76.569 -45.4850
33.950987 76.487 -46.8705
34.197010 76.403 -48.1834
34.444816 76.327 -49.3365
34.694417 76.277 -50.3036
34.945827 76.285 -51.1177
35.199059 76.376 -52.0809
35.454126 76.542 -53.5827
35.711041 76.750 -55.9160
35.969818 76.939 -59.2847
36.230470 77.039 -63.6276
36.493011 76.998 -68.6308
36.757455 76.780 -73.9539
37.023814 76.371 -79.1965
37.292104 75.777 -83.8349
37.562338 75.034 -87.4182
37.834530 74.203 -89.6864
38.108695 73.353 -90.5341
38.384846 72.543 -90.1219
38.662999 71.804 -88.8159
38.943167 71.126 -86.7327
39.225365 70.519 -83.5363
39.509608 70.058 -78.8428
39.795911 69.868 -72.7993
40.084289 70.038 -66.5054
40.374756 70.528 -61.4376
40.667328 71.182 -58.2029
40.962020 71.884 -56.2958
41.258848 72.625 -54.9816
41.557827 73.458 -54.0040
41.858972 74.425 -53.7770
42.162299 75.499 -55.0446
42.467824 76.586 -58.3103
42.775564 77.572 -63.5686
43.085533 78.371 -70.4237
43.397749 78.934 -78.3099
43.712227 79.248 -86.6307
44.028983 79.323 -94.8423
44.348036 79.192 -102.4900
44.669400 78.907 -109.2413
44.993093 78.530 -114.9416
45.319131 78.123 -119.6599
45.647532 77.726 -123.6490
45.978313 77.349 -127.1970
46.311491 76.980 -130.4542
46.647083 76.607 -133.3766
46.985107 76.236 -135.8186
47.325581 75.897 -137.7042
47.668521 75.624 -139.1499
48.013947 75.432 -140.4340
48.361876 75.315 -141.8255
48.712326 75.247 -143.4330
49.065315 75.214 -145.2038
49.420863 75.213 -147.0463
49.778987 75.256 -148.9482
50.139706 75.353 -150.9993
50.503039 75.503 -153.3171
50.869005 75.703 -155.9651
51.237623 75.954 -158.9531
51.608912 76.267 -162.3334
51.982891 76.655 -166.3168
52.359580 77.109 -171.2817
52.739000 77.587 -177.6301
53.121168 78.016 174.4076
53.506106 78.317 164.8684
53.893833 78.419 154.0056
54.284370 78.268 142.2173
54.677737 77.830 130.0079
55.073955 77.093 117.9459
55.473043 76.070 106.6282
55.875024 74.804 96.6060
56.279917 73.370 88.2739
56.687745 71.870 81.6629
57.098527 70.399 76.3041
57.512287 69.010 71.4830
57.929045 67.705 66.6583
58.348822 66.471 61.5380
58.771642 65.301 55.8211
59.197525 64.193 49.0270
59.626495 63.132 40.5913
60.058573 62.098 30.0163
60.493782 61.098 16.8757
60.932145 60.185 0.7892
61.373685 59.452 -18.3586
61.818424 58.986 -39.8096
62.266386 58.813 -61.7015
62.717593 58.885 -81.9637
63.172071 59.127 -99.2803
63.629842 59.483 -113.4029
64.090930 59.922 -124.8500
64.555359 60.411 -134.4312
65.023154 60.913 -142.8169
65.494339 61.407 -150.3926
65.968938 61.888 -157.4614
66.446976 62.350 -164.3547
66.928478 62.768 -171.3572
67.413469 63.113 -178.5148
67.901975 63.375 174.3413
68.394021 63.575 167.3651
68.889632 63.742 160.4644
69.388835 63.884 153.3215
69.891655 63.981 145.6482
70.398118 63.993 137.3062
70.908252 63.876 128.2710
71.422083 63.572 118.6179
71.939636 63.010 108.6665
72.460941 62.126 99.4860
72.986023 60.959 93.0946
73.514909 59.810 92.0521
74.047629 59.236 95.3091
74.584208 59.442 96.1205
75.124676 59.947 91.1240
75.669061 60.304 82.5457
76.217390 60.432 73.2039
76.769692 60.472 64.2197
77.325997 60.559 55.2045
77.886333 60.731 45.2294
78.450730 60.949 33.9666
79.019216 61.184 21.5017
79.591822 61.417 7.9224
80.168577 61.622 -6.6733
80.749512 61.776 -22.0277
81.334656 61.871 -37.8163
81.924040 61.906 -53.9052
82.517696 61.854 -70.3107
83.115653 61.654 -86.9115
83.717943 61.249 -103.2491
84.324598 60.618 -118.6882
84.935649 59.772 -132.7804
85.551128 58.721 -145.3392
86.171066 57.441 -156.0890
86.795497 55.899 -164.0684
87.424453 54.148 -167.3845
88.057967 52.532 -162.9811
88.696071 52.105 -145.5294
89.338800 53.852 -120.5084
89.986185 56.785 -110.6527
90.638262 59.666 -114.8906
91.295065 62.108 -126.0490
91.956626 64.051 -141.0273
92.622982 65.473 -158.5360
93.294166 66.349 -177.5228
93.970214 66.684 163.2653
94.651161 66.541 145.1134
95.337042 66.041 128.9421
96.027894 65.326 115.0193
96.723752 64.517 103.1714
97.424652 63.720 93.2045
98.130631 63.043 84.7100
98.841726 62.557 76.7765
99.557974 62.256 68.4583
100.279412 62.074 59.0934
101.006078 61.902 48.2526
101.738010 61.614 36.0774
102.475245 61.133 23.4097
103.217823 60.467 11.1296
103.965782 59.677 -0.6304
104.719161 58.786 -12.3333
105.477999 57.754 -24.0304
106.242336 56.539 -35.0048
107.012212 55.153 -44.5638
107.787666 53.626 -52.4592
108.568740 51.991 -57.6770
109.355474 50.436 -57.4938
110.147909 49.437 -51.8052
110.946086 49.265 -47.6979
111.750047 49.565 -48.6140
112.559834 49.970 -51.8021
113.375489 50.440 -55.0598
114.197055 51.047 -58.6843
115.024574 51.743 -64.3562
115.858089 52.364 -72.6707
116.697645 52.777 -82.7417
117.543284 52.927 -93.5663
118.395051 52.806 -104.2700
119.252990 52.457 -113.8931
120.117147 51.973 -121.9130
120.987565 51.452 -128.5120
121.864291 50.958 -134.1810
122.747370 50.538 -138.9810
123.636848 50.271 -143.0159
124.532771 50.202 -147.8025
125.435187 50.248 -154.8680
126.344142 50.252 -164.9420
127.259684 50.028 -178.3486
128.181860 49.421 165.7571
129.110718 48.408 148.3662
130.046308 47.090 129.1490
130.988677 45.757 107.5088
131.937875 45.252 83.5350
132.893951 46.505 57.2654
133.856956 48.902 29.7543
134.826938 51.305 2.4580
135.803950 53.159 -24.1312
136.788041 54.307 -48.8335
137.779264 54.850 -69.5088
138.777669 55.077 -84.7505
139.783309 55.297 -95.4851
140.796237 55.669 -104.0767
141.816504 56.205 -112.1294
142.844165 56.824 -121.0752
143.879273 57.331 -132.5317
144.921881 57.476 -146.4375
145.972045 57.099 -160.3511
147.029819 56.289 -170.1084
148.095257 55.419 -173.9819
149.168417 54.817 -175.9092
150.249353 54.503 -178.3584
151.338121 54.422 179.8586
152.434780 54.597 178.3501
153.539385 54.920 174.3103
154.651995 55.163 167.5361
155.772667 55.214 160.2134
156.901460 55.095 153.3276
158.038432 54.861 147.0249
159.183644 54.631 142.7190
160.337154 54.612 140.0999
161.499023 54.869 135.9941
162.669312 55.307 129.8091
163.848081 55.785 120.5864
165.035392 56.022 106.3840
166.231306 55.709 88.8413
167.435887 54.727 71.9214
168.649196 53.197 58.9773
169.871298 51.406 50.6904
171.102255 49.720 46.2224
172.342133 48.535 42.9617
173.590995 47.982 34.6494
174.848907 47.710 18.0935
