* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.1 dBFS, measurement signal peak level -24.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:44:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.7565 ms (-602 mm, -(1 ft 11.72 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p3-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 27.063 15.8460
10.166832 27.219 12.9533
10.240505 27.408 10.0268
10.314712 27.602 7.1926
10.389457 27.791 4.5721
10.464743 27.953 2.2370
10.540575 28.068 -0.0262
10.616956 28.155 -2.1743
10.693891 28.221 -4.0848
10.771383 28.270 -5.6200
10.849437 28.295 -6.8215
10.928057 28.299 -7.7658
11.007246 28.303 -8.3947
11.087009 28.326 -8.6356
11.167350 28.374 -8.4116
11.248273 28.437 -7.7432
11.329783 28.537 -6.7462
11.411883 28.704 -5.5577
11.494578 28.956 -4.2248
11.577873 29.287 -2.6228
11.661771 29.686 -1.0400
11.746277 30.141 0.2339
11.831395 30.654 1.0976
11.917130 31.231 1.8028
12.003487 31.846 2.1774
12.090469 32.466 2.0650
12.178081 33.076 1.4599
12.266329 33.689 0.5749
12.355216 34.290 -0.5931
12.444747 34.862 -2.0684
12.534926 35.400 -3.8611
12.625760 35.908 -5.8758
12.717251 36.382 -8.0236
12.809406 36.818 -10.2655
12.902228 37.213 -12.7050
12.995723 37.570 -15.2558
13.089895 37.888 -17.7879
13.184750 38.167 -20.2849
13.280292 38.406 -22.8901
13.376526 38.607 -25.4686
13.473458 38.774 -27.8792
13.571093 38.903 -30.2312
13.669434 38.998 -32.5425
13.768489 39.066 -34.6852
13.868261 39.108 -36.5930
13.968756 39.124 -38.3685
14.069979 39.124 -39.9726
14.171936 39.118 -41.3396
14.274632 39.103 -42.4645
14.378072 39.087 -43.4024
14.482261 39.082 -44.2001
14.587206 39.091 -44.8020
14.692910 39.113 -45.2508
14.799381 39.151 -45.6715
14.906624 39.208 -46.0831
15.014643 39.280 -46.4526
15.123446 39.357 -46.8606
15.233036 39.432 -47.3673
15.343421 39.507 -47.9328
15.454606 39.566 -48.4998
15.566596 39.601 -49.0803
15.679398 39.613 -49.6912
15.793018 39.600 -50.1611
15.907460 39.556 -50.4226
16.022732 39.485 -50.5251
16.138840 39.407 -50.2990
16.255788 39.325 -49.6353
16.373585 39.252 -48.5831
16.492234 39.229 -47.1809
16.611744 39.270 -45.3578
16.732119 39.383 -43.2716
16.853367 39.587 -41.2897
16.975494 39.891 -39.3586
17.098505 40.269 -37.7206
17.222408 40.691 -36.6779
17.347209 41.154 -36.0909
17.472914 41.621 -35.9963
17.599530 42.063 -36.4437
17.727063 42.477 -37.3046
17.855521 42.844 -38.3961
17.984909 43.156 -39.7855
18.115235 43.414 -41.2971
18.246506 43.616 -42.7286
18.378727 43.762 -44.1965
18.511907 43.867 -45.4537
18.646052 43.933 -46.4523
18.781169 43.973 -47.2091
18.917265 44.009 -47.5831
19.054347 44.046 -47.5952
19.192423 44.110 -47.3035
19.331499 44.213 -46.6764
19.471583 44.363 -45.8247
19.612682 44.575 -44.8877
19.754804 44.846 -43.8628
19.897956 45.175 -42.9607
20.042144 45.559 -42.1605
20.187378 45.989 -41.6010
20.333664 46.459 -41.3001
20.481010 46.961 -41.2897
20.629424 47.484 -41.6621
20.778913 48.022 -42.3423
20.929486 48.560 -43.4530
21.081150 49.093 -44.9065
21.233912 49.602 -46.7153
21.387782 50.079 -48.8839
21.542767 50.511 -51.2593
21.698874 50.889 -53.8877
21.856113 51.205 -56.5796
22.014492 51.455 -59.2546
22.174018 51.640 -61.8422
22.334700 51.764 -64.0787
22.496546 51.840 -66.0121
22.659566 51.893 -67.3404
22.823766 51.944 -68.1424
22.989157 52.041 -68.3629
23.155745 52.203 -68.0785
23.323542 52.463 -67.6544
23.492554 52.819 -67.1451
23.662790 53.248 -67.0447
23.834261 53.728 -67.2825
24.006973 54.205 -68.0294
24.180938 54.661 -69.1244
24.356163 55.065 -70.3577
24.532658 55.422 -71.6017
24.710431 55.742 -72.4751
24.889493 56.063 -72.9827
25.069853 56.433 -72.8654
25.251519 56.904 -72.4921
25.434502 57.517 -71.9156
25.618811 58.264 -71.9280
25.804456 59.129 -72.5803
25.991445 60.034 -74.4797
26.179790 60.939 -77.3753
26.369500 61.774 -81.3999
26.560584 62.515 -86.2099
26.753053 63.128 -91.7310
26.946917 63.604 -97.5750
27.142185 63.932 -103.7780
27.338869 64.111 -109.7840
27.536977 64.143 -115.7325
27.736522 64.044 -121.0127
27.937512 63.836 -125.6774
28.139959 63.557 -129.2789
28.343872 63.279 -131.8565
28.549264 63.063 -133.2710
28.756143 62.994 -134.0430
28.964522 63.090 -134.6143
29.174411 63.345 -135.5786
29.385821 63.676 -137.4582
29.598763 64.018 -140.2274
29.813248 64.291 -143.8990
30.029287 64.454 -148.0028
30.246891 64.482 -152.4314
30.466073 64.372 -156.5869
30.686842 64.144 -160.2363
30.909212 63.831 -163.0696
31.133193 63.503 -164.8016
31.358797 63.232 -165.5796
31.586035 63.082 -165.5192
31.814921 63.087 -165.3485
32.045465 63.215 -165.4789
32.277680 63.417 -166.2133
32.511577 63.617 -167.6291
32.747169 63.775 -169.4227
32.984469 63.873 -171.3883
33.223488 63.918 -173.1816
33.464239 63.949 -174.6117
33.706735 64.002 -175.7001
33.950987 64.113 -176.5213
34.197010 64.298 -177.4120
34.444816 64.540 -178.6321
34.694417 64.813 179.6805
34.945827 65.079 177.4462
35.199059 65.308 174.7621
35.454126 65.484 171.7739
35.711041 65.600 168.5951
35.969818 65.659 165.3395
36.230470 65.666 162.1013
36.493011 65.624 158.9127
36.757455 65.536 155.8010
37.023814 65.402 152.7965
37.292104 65.220 149.9527
37.562338 64.992 147.3522
37.834530 64.722 145.0730
38.108695 64.422 143.1912
38.384846 64.105 141.7730
38.662999 63.789 140.8529
38.943167 63.495 140.4042
39.225365 63.240 140.3441
39.509608 63.032 140.5369
39.795911 62.868 140.8234
40.084289 62.730 141.0812
40.374756 62.583 141.3146
40.667328 62.396 141.7811
40.962020 62.173 143.0480
41.258848 61.990 145.8087
41.557827 62.018 150.4168
41.858972 62.441 156.1314
42.162299 63.308 161.0058
42.467824 64.468 163.2373
42.775564 65.679 162.3337
43.085533 66.758 158.8181
43.397749 67.613 153.5249
43.712227 68.215 147.2540
44.028983 68.570 140.6676
44.348036 68.705 134.2840
44.669400 68.668 128.4845
44.993093 68.517 123.4902
45.319131 68.313 119.3229
45.647532 68.104 115.8081
45.978313 67.912 112.6633
46.311491 67.726 109.6520
46.647083 67.525 106.7012
46.985107 67.290 103.9091
47.325581 67.022 101.4552
47.668521 66.745 99.4761
48.013947 66.490 97.9697
48.361876 66.284 96.7830
48.712326 66.135 95.6921
49.065315 66.033 94.5121
49.420863 65.961 93.1508
49.778987 65.902 91.5853
50.139706 65.845 89.8132
50.503039 65.777 87.8361
50.869005 65.682 85.6819
51.237623 65.549 83.4332
51.608912 65.371 81.2192
51.982891 65.155 79.1613
52.359580 64.913 77.3033
52.739000 64.655 75.5931
53.121168 64.373 73.9578
53.506106 64.047 72.4430
53.893833 63.665 71.3006
54.284370 63.241 70.9515
54.677737 62.845 71.7548
55.073955 62.579 73.6122
55.473043 62.515 75.7668
55.875024 62.631 77.2387
56.279917 62.827 77.5409
56.687745 63.003 76.8577
57.098527 63.108 75.7552
57.512287 63.155 74.7716
57.929045 63.192 74.1656
58.348822 63.269 73.8998
58.771642 63.420 73.7556
59.197525 63.661 73.4608
59.626495 63.990 72.7279
60.058573 64.384 71.2585
60.493782 64.798 68.8173
60.932145 65.171 65.4000
61.373685 65.462 61.2344
61.818424 65.652 56.6690
62.266386 65.755 51.9932
62.717593 65.793 47.3025
63.172071 65.779 42.5649
63.629842 65.714 37.7678
64.090930 65.596 33.0099
64.555359 65.442 28.4641
65.023154 65.292 24.1735
65.494339 65.180 19.9357
65.968938 65.113 15.3983
66.446976 65.066 10.3545
66.928478 65.015 4.8430
67.413469 64.958 -0.9968
67.901975 64.914 -7.1501
68.394021 64.899 -13.7663
68.889632 64.909 -20.9902
69.388835 64.936 -28.7999
69.891655 64.996 -37.0826
70.398118 65.130 -45.8715
70.908252 65.365 -55.4996
71.422083 65.671 -66.4688
71.939636 65.959 -79.0076
72.460941 66.118 -92.8330
72.986023 66.065 -107.3005
73.514909 65.767 -121.3815
74.047629 65.259 -134.0460
74.584208 64.664 -144.3490
75.124676 64.179 -152.0806
75.669061 63.980 -158.0587
76.217390 64.092 -163.8655
76.769692 64.385 -170.4817
77.325997 64.707 -178.0266
77.886333 64.958 173.8967
78.450730 65.097 165.7280
79.019216 65.117 157.8335
79.591822 65.036 150.4980
80.168577 64.883 143.8317
80.749512 64.682 137.7795
81.334656 64.440 132.1686
81.924040 64.137 126.8768
82.517696 63.743 121.9983
83.115653 63.240 117.9003
83.717943 62.646 115.1540
84.324598 62.039 114.2651
84.935649 61.544 115.3499
85.551128 61.291 117.9362
86.171066 61.353 121.0215
86.795497 61.701 123.4842
87.424453 62.230 124.7260
88.057967 62.850 124.9980
88.696071 63.561 125.0072
89.338800 64.448 125.1172
89.986185 65.588 124.7332
90.638262 66.951 122.6235
91.295065 68.418 117.9166
91.956626 69.864 110.3719
92.622982 71.176 99.9398
93.294166 72.236 86.6466
93.970214 72.921 70.8799
94.651161 73.134 53.5275
95.337042 72.832 35.8430
96.027894 72.049 19.1864
96.723752 70.901 4.6494
97.424652 69.571 -7.4196
98.130631 68.243 -17.5439
98.841726 67.050 -26.5667
99.557974 66.078 -35.2657
100.279412 65.367 -44.5098
101.006078 64.887 -54.9698
101.738010 64.583 -66.6685
102.475245 64.441 -79.3300
103.217823 64.454 -92.9641
103.965782 64.551 -107.6557
104.719161 64.607 -122.9502
105.477999 64.542 -137.8149
106.242336 64.368 -151.1747
107.012212 64.162 -162.5134
107.787666 64.004 -171.9664
108.568740 63.937 -179.8712
109.355474 63.994 173.5647
110.147909 64.221 168.0093
110.946086 64.634 162.6467
111.750047 65.169 156.4779
112.559834 65.710 148.9714
113.375489 66.144 140.1389
114.197055 66.392 130.2855
115.024574 66.402 119.8691
115.858089 66.157 109.4033
116.697645 65.655 99.2462
117.543284 64.890 89.7023
118.395051 63.849 81.3459
119.252990 62.567 75.2976
120.117147 61.203 72.7917
120.987565 60.053 73.2810
121.864291 59.298 72.9932
122.747370 58.728 69.3159
123.636848 58.004 63.1062
124.532771 56.918 55.4397
125.435187 55.290 47.4694
126.344142 53.035 44.5568
127.259684 50.803 61.4163
128.181860 50.390 87.7026
129.110718 51.764 88.6807
130.046308 53.454 74.6991
130.988677 55.126 51.4963
131.937875 56.990 21.7151
132.893951 59.214 -9.2185
133.856956 61.728 -36.2738
134.826938 64.301 -59.2004
135.803950 66.632 -80.8319
136.788041 68.421 -103.3164
137.779264 69.488 -126.0223
138.777669 69.866 -146.5951
139.783309 69.785 -163.1552
140.796237 69.512 -175.8732
141.816504 69.174 173.8494
142.844165 68.770 165.3345
143.879273 68.301 158.7653
144.921881 67.835 154.5175
145.972045 67.500 152.3210
147.029819 67.394 151.1450
148.095257 67.565 150.4940
149.168417 68.057 149.8759
150.249353 68.808 147.5441
151.338121 69.610 142.2698
152.434780 70.258 134.4346
153.539385 70.633 124.9862
154.651995 70.695 115.0156
155.772667 70.495 105.6708
156.901460 70.158 97.4019
158.038432 69.793 89.4050
159.183644 69.381 80.3734
160.337154 68.788 69.9878
161.499023 67.880 59.2173
162.669312 66.636 49.9047
163.848081 65.231 43.4507
165.035392 63.937 37.4401
166.231306 62.727 27.8771
167.435887 61.268 15.1798
168.649196 59.358 1.6942
169.871298 57.035 -12.3129
171.102255 54.464 -28.2616
172.342133 51.977 -47.3660
173.590995 50.353 -67.4639
174.848907 50.888 -78.6630
176.115934 53.663 -79.2435
