* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.1 dBFS, measurement signal peak level -22.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:44:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.0220 ms (-1.037 m, -(3 ft 4.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p3-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 15.456 40.7170
10.166832 16.161 37.8034
10.240505 17.003 34.5756
10.314712 17.864 31.2513
10.389457 18.705 27.9165
10.464743 19.444 24.5226
10.540575 20.025 20.7971
10.616956 20.506 16.9157
10.693891 20.916 13.0574
10.771383 21.269 9.3288
10.849437 21.564 5.4493
10.928057 21.795 1.3240
11.007246 21.968 -2.8416
11.087009 22.092 -6.8692
11.167350 22.167 -10.8327
11.248273 22.188 -15.0492
11.329783 22.159 -19.3580
11.411883 22.083 -23.5601
11.494578 21.961 -27.5904
11.577873 21.791 -31.7946
11.661771 21.573 -36.0936
11.746277 21.312 -40.3070
11.831395 21.006 -44.3084
11.917130 20.655 -48.3655
12.003487 20.259 -52.4605
12.090469 19.823 -56.4579
12.178081 19.347 -60.2199
12.266329 18.828 -63.8802
12.355216 18.272 -67.4608
12.444747 17.686 -70.8947
12.534926 17.069 -74.0237
12.625760 16.419 -76.8351
12.717251 15.751 -79.3962
12.809406 15.076 -81.7302
12.902228 14.388 -83.5544
12.995723 13.697 -84.8228
13.089895 13.030 -85.6559
13.184750 12.399 -86.0840
13.280292 11.798 -85.7499
13.376526 11.259 -84.7143
13.473458 10.826 -83.1614
13.571093 10.500 -80.9842
13.669434 10.292 -78.1914
13.768489 10.237 -75.0737
13.868261 10.367 -71.8481
13.968756 10.673 -68.5767
14.069979 11.118 -65.7047
14.171936 11.676 -63.5429
14.274632 12.358 -61.8825
14.378072 13.114 -60.9063
14.482261 13.879 -60.7938
14.587206 14.647 -61.3432
14.692910 15.408 -62.3808
14.799381 16.125 -63.9020
14.906624 16.784 -65.9334
15.014643 17.386 -68.2904
15.123446 17.918 -70.7540
15.233036 18.370 -73.3969
15.343421 18.744 -76.2592
15.454606 19.034 -78.9564
15.566596 19.236 -81.4533
15.679398 19.351 -83.9617
15.793018 19.386 -86.0461
15.907460 19.340 -87.5164
16.022732 19.221 -88.5684
16.138840 19.077 -88.8889
16.255788 18.924 -88.1929
16.373585 18.788 -86.5911
16.492234 18.765 -84.3718
16.611744 18.903 -81.4305
16.732119 19.184 -78.2141
16.853367 19.608 -75.7322
16.975494 20.184 -73.8414
17.098505 20.830 -72.8266
17.222408 21.456 -73.0845
17.347209 22.059 -74.2929
17.472914 22.588 -76.2149
17.599530 23.002 -78.9412
17.727063 23.302 -82.3528
17.855521 23.462 -85.9184
17.984909 23.476 -90.0466
18.115235 23.326 -94.4181
18.246506 22.992 -98.5152
18.378727 22.463 -102.9335
18.511907 21.687 -106.8524
18.646052 20.632 -110.0179
18.781169 19.273 -112.2994
18.917265 17.499 -111.9001
19.054347 15.350 -106.4728
19.192423 13.811 -92.3428
19.331499 13.655 -66.8298
19.471583 14.551 -44.9311
19.612682 16.061 -35.9833
19.754804 17.885 -34.0585
19.897956 19.351 -35.6613
20.042144 20.332 -39.9349
20.187378 20.940 -44.8931
20.333664 21.212 -50.8243
20.481010 21.132 -57.4378
20.629424 20.696 -63.7279
20.778913 19.850 -70.9395
20.929486 18.398 -77.0699
21.081150 16.315 -83.1827
21.233912 14.240 -86.0852
21.387782 12.589 -65.2865
21.542767 12.789 39.2605
21.698874 15.503 44.9542
21.856113 18.619 40.7616
22.014492 20.792 33.6792
22.174018 22.377 26.0820
22.334700 23.536 18.2594
22.496546 24.301 10.0842
22.659566 24.752 2.4928
22.823766 24.892 -5.3233
22.989157 24.738 -11.9556
23.155745 24.290 -18.2220
23.323542 23.545 -22.4151
23.492554 22.559 -24.5635
23.662790 21.514 -22.8672
23.834261 20.652 -16.2588
24.006973 20.580 -6.7427
24.180938 21.261 2.8091
24.356163 22.355 7.5685
24.532658 23.573 8.8311
24.710431 24.512 7.2834
24.889493 25.144 4.7311
25.069853 25.425 2.3096
25.251519 25.447 1.3470
25.434502 25.314 3.4176
25.618811 25.495 9.4269
25.804456 26.316 19.3424
25.991445 27.864 27.7000
26.179790 29.938 32.5957
26.369500 31.999 32.2623
26.560584 33.913 29.1172
26.753053 35.553 23.5496
26.946917 36.928 16.9762
27.142185 38.039 9.4193
27.338869 38.906 1.8140
27.536977 39.536 -6.0712
27.736522 39.945 -13.4423
27.937512 40.147 -20.3642
28.139959 40.163 -26.3756
28.343872 40.045 -31.0915
28.549264 39.848 -34.3016
28.756143 39.705 -35.3164
28.964522 39.723 -35.7376
29.174411 40.007 -34.8684
29.385821 40.539 -34.6475
29.598763 41.242 -35.4667
29.813248 41.970 -37.9943
30.029287 42.620 -41.7995
30.246891 43.127 -46.7182
30.466073 43.444 -52.1952
30.686842 43.562 -57.7796
30.909212 43.476 -63.2812
31.133193 43.203 -67.9660
31.358797 42.782 -71.6323
31.586035 42.265 -73.8096
31.814921 41.764 -74.2635
32.045465 41.383 -73.2701
32.277680 41.201 -71.2371
32.511577 41.229 -69.2912
32.747169 41.384 -68.0150
32.984469 41.578 -67.2075
33.223488 41.730 -66.9112
33.464239 41.832 -66.3067
33.706735 41.930 -65.0174
33.950987 42.109 -62.7421
34.197010 42.480 -59.7803
34.444816 43.069 -57.0014
34.694417 43.836 -55.1064
34.945827 44.687 -54.5665
35.199059 45.516 -55.3604
35.454126 46.270 -57.0724
35.711041 46.930 -59.3422
35.969818 47.500 -61.8354
36.230470 48.009 -64.2963
36.493011 48.486 -66.7117
36.757455 48.948 -69.1587
37.023814 49.400 -71.7568
37.292104 49.823 -74.6452
37.562338 50.191 -77.8232
37.834530 50.480 -81.1389
38.108695 50.682 -84.3807
38.384846 50.807 -87.2948
38.662999 50.887 -89.6203
38.943167 50.979 -91.2539
39.225365 51.135 -92.3624
39.509608 51.385 -93.2731
39.795911 51.724 -94.3381
40.084289 52.121 -95.7935
40.374756 52.543 -97.6705
40.667328 52.976 -99.8301
40.962020 53.434 -102.1588
41.258848 53.943 -104.7437
41.557827 54.515 -107.8722
41.858972 55.127 -111.9026
42.162299 55.726 -117.0959
42.467824 56.240 -123.5150
42.775564 56.601 -131.0174
43.085533 56.755 -139.3019
43.397749 56.665 -147.9568
43.712227 56.312 -156.4851
44.028983 55.695 -164.3443
44.348036 54.839 -170.9619
44.669400 53.803 -175.7938
44.993093 52.691 -178.5090
45.319131 51.629 -179.2804
45.647532 50.701 -178.8822
45.978313 49.898 -178.2302
46.311491 49.128 -177.6830
46.647083 48.298 -176.8248
46.985107 47.391 -174.7894
47.325581 46.481 -170.8128
47.668521 45.704 -164.8198
48.013947 45.165 -157.5739
48.361876 44.882 -149.9426
48.712326 44.830 -142.1244
49.065315 45.030 -133.9179
49.420863 45.537 -125.5651
49.778987 46.356 -117.9890
50.139706 47.405 -112.0742
50.503039 48.575 -108.0145
50.869005 49.798 -105.4417
51.237623 51.068 -103.8953
51.608912 52.414 -103.2065
51.982891 53.853 -103.6535
52.359580 55.356 -105.7962
52.739000 56.838 -110.0865
53.121168 58.202 -116.5974
53.506106 59.360 -125.0382
53.893833 60.251 -134.9333
54.284370 60.840 -145.7496
54.677737 61.111 -156.9234
55.073955 61.071 -167.8871
55.473043 60.742 -178.0888
55.875024 60.172 172.9592
56.279917 59.432 165.5978
56.687745 58.606 159.9557
57.098527 57.778 155.8481
57.512287 57.001 152.8936
57.929045 56.298 150.7672
58.348822 55.683 149.2935
58.771642 55.175 148.2791
59.197525 54.787 147.3720
59.626495 54.505 146.1530
60.058573 54.281 144.3799
60.493782 54.064 142.1025
60.932145 53.827 139.5676
61.373685 53.572 136.9918
61.818424 53.320 134.4391
62.266386 53.085 131.7917
62.717593 52.865 128.8751
63.172071 52.639 125.6034
63.629842 52.386 122.0723
64.090930 52.104 118.4746
64.555359 51.818 114.9226
65.023154 51.562 111.2478
65.494339 51.344 107.0634
65.968938 51.128 102.0382
66.446976 50.863 96.1907
66.928478 50.520 89.8776
67.413469 50.121 83.5138
67.901975 49.730 77.2759
68.394021 49.417 71.0782
68.889632 49.234 64.7859
69.388835 49.225 58.3311
69.891655 49.429 51.5873
70.398118 49.837 44.1120
70.908252 50.356 35.5875
71.422083 50.857 26.3050
71.939636 51.278 17.1797
72.460941 51.686 9.2736
72.986023 52.219 2.7056
73.514909 52.934 -3.6851
74.047629 53.706 -11.2264
74.584208 54.336 -20.1160
75.124676 54.708 -29.3301
75.669061 54.828 -37.6852
76.217390 54.800 -44.3361
76.769692 54.739 -49.3134
77.325997 54.705 -53.1010
77.886333 54.700 -56.0350
78.450730 54.726 -58.0759
79.019216 54.808 -59.1779
79.591822 54.975 -59.4581
80.168577 55.258 -59.0231
80.749512 55.693 -58.0134
81.334656 56.311 -56.8659
81.924040 57.090 -56.2993
82.517696 57.958 -56.8931
83.115653 58.821 -58.7985
83.717943 59.609 -61.7174
84.324598 60.300 -65.1055
84.935649 60.912 -68.5485
85.551128 61.477 -71.9417
86.171066 62.010 -75.3146
86.795497 62.529 -78.5818
87.424453 63.067 -81.6749
88.057967 63.649 -84.8705
88.696071 64.257 -88.6343
89.338800 64.840 -93.1571
89.986185 65.358 -98.2905
90.638262 65.792 -103.8219
91.295065 66.135 -109.5807
91.956626 66.395 -115.3806
92.622982 66.587 -121.1177
93.294166 66.724 -126.9060
93.970214 66.790 -132.8722
94.651161 66.767 -138.8364
95.337042 66.670 -144.4563
96.027894 66.542 -149.6983
96.723752 66.402 -154.9186
97.424652 66.229 -160.3806
98.130631 66.000 -165.9463
98.841726 65.723 -171.3746
99.557974 65.428 -176.7787
100.279412 65.119 177.3952
101.006078 64.757 170.8800
101.738010 64.302 163.8154
102.475245 63.748 156.3306
103.217823 63.093 148.1582
103.965782 62.294 138.9436
104.719161 61.283 128.7465
105.477999 60.020 117.9739
106.242336 58.521 106.8663
107.012212 56.861 95.0220
107.787666 55.143 81.5126
108.568740 53.509 65.7471
109.355474 52.241 48.5312
110.147909 51.784 32.0636
110.946086 52.345 18.0483
111.750047 53.586 6.4833
112.559834 55.054 -3.1594
113.375489 56.496 -11.3795
114.197055 57.798 -18.6274
115.024574 58.932 -24.8618
115.858089 59.967 -29.4449
116.697645 61.045 -32.1895
117.543284 62.238 -34.3157
118.395051 63.478 -37.3458
119.252990 64.647 -41.6324
120.117147 65.681 -46.6487
120.987565 66.583 -51.7270
121.864291 67.406 -56.3749
122.747370 68.215 -60.5894
123.636848 69.036 -64.8699
124.532771 69.853 -69.5602
125.435187 70.665 -74.5162
126.344142 71.492 -79.7817
127.259684 72.314 -86.0490
128.181860 73.043 -93.8364
129.110718 73.597 -102.8080
130.046308 73.957 -112.3126
130.988677 74.139 -122.0695
131.937875 74.148 -132.1415
132.893951 73.967 -142.6382
133.856956 73.561 -153.4050
134.826938 72.926 -164.0024
135.803950 72.097 -174.4299
136.788041 71.090 174.5146
137.779264 69.848 162.0317
138.777669 68.306 147.4885
139.783309 66.483 129.2371
140.796237 64.689 102.4717
141.816504 63.810 59.4724
142.844165 64.579 12.4709
143.879273 66.298 -19.1255
144.921881 68.017 -40.5962
145.972045 69.376 -57.3346
147.029819 70.347 -71.2482
148.095257 70.949 -83.6486
149.168417 71.148 -95.0836
150.249353 70.938 -104.7007
151.338121 70.415 -111.2047
152.434780 69.789 -113.5442
153.539385 69.357 -112.0460
154.651995 69.316 -109.1525
155.772667 69.608 -107.4186
156.901460 70.054 -107.1266
158.038432 70.556 -107.5171
159.183644 71.073 -108.7213
160.337154 71.562 -110.6979
161.499023 72.037 -112.6979
162.669312 72.556 -114.6205
163.848081 73.108 -117.6411
165.035392 73.563 -122.7106
166.231306 73.789 -129.0392
167.435887 73.767 -135.1349
168.649196 73.566 -140.2578
