* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.7 dBFS, measurement signal peak level -19.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:45:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -6.6701 ms (-2.288 m, -(7 ft 6.1 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p3-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 21.440 -12.7847
10.166832 21.955 -13.7494
10.240505 22.573 -14.9588
10.314712 23.207 -16.3625
10.389457 23.833 -17.9386
10.464743 24.408 -19.6935
10.540575 24.903 -21.6457
10.616956 25.345 -23.7390
10.693891 25.744 -25.9357
10.771383 26.104 -28.2264
10.849437 26.422 -30.7027
10.928057 26.698 -33.3646
11.007246 26.932 -36.1420
11.087009 27.124 -38.9978
11.167350 27.276 -42.0197
11.248273 27.385 -45.3323
11.329783 27.449 -48.8306
11.411883 27.465 -52.4374
11.494578 27.432 -56.2245
11.577873 27.349 -60.4712
11.661771 27.215 -65.0579
11.746277 27.026 -69.8601
11.831395 26.774 -74.9666
11.917130 26.458 -80.8703
12.003487 26.093 -87.4614
12.090469 25.698 -94.5758
12.178081 25.265 -102.4560
12.266329 24.782 -111.9017
12.355216 24.337 -122.7190
12.444747 24.034 -134.5039
12.534926 23.915 -147.6772
12.625760 23.955 -162.3882
12.717251 24.163 -177.1662
12.809406 24.565 169.1181
12.902228 25.194 155.9199
12.995723 25.968 143.8260
13.089895 26.764 133.3703
13.184750 27.511 124.1615
13.280292 28.240 115.3752
13.376526 28.927 107.3829
13.473458 29.534 100.3294
13.571093 30.055 93.4633
13.669434 30.497 86.7341
13.768489 30.858 80.5184
13.868261 31.136 74.7069
13.968756 31.329 68.7059
14.069979 31.436 62.8864
14.171936 31.456 57.5513
14.274632 31.389 52.0757
14.378072 31.229 46.5558
14.482261 30.971 41.4330
14.587206 30.616 36.4138
14.692910 30.155 31.2664
14.799381 29.575 26.3647
14.906624 28.873 21.8334
15.014643 28.041 17.2977
15.123446 27.050 12.9331
15.233036 25.887 9.1503
15.343421 24.544 5.8635
15.454606 22.954 2.9693
15.566596 21.031 1.0775
15.679398 18.795 1.3317
15.793018 16.409 3.8851
15.907460 13.909 10.6240
16.022732 11.382 28.6318
16.138840 9.535 59.3882
16.255788 9.112 88.9609
16.373585 9.765 107.0235
16.492234 10.618 120.9240
16.611744 11.327 134.0231
16.732119 12.155 146.7982
16.853367 13.366 158.7509
16.975494 15.011 169.3467
17.098505 16.806 176.5068
17.222408 18.505 179.5941
17.347209 20.109 -179.2596
17.472914 21.539 -179.8553
17.599530 22.725 177.8936
17.727063 23.693 174.7720
17.855521 24.463 171.2195
17.984909 25.036 166.8260
18.115235 25.420 162.1111
18.246506 25.626 157.4363
18.378727 25.651 152.1541
18.511907 25.495 147.0729
18.646052 25.157 142.0013
18.781169 24.630 136.7558
18.917265 23.901 132.1758
19.054347 22.966 127.8115
19.192423 21.817 124.1203
19.331499 20.420 121.9825
19.471583 18.886 121.4847
19.612682 17.345 123.5049
19.754804 15.923 129.5528
19.897956 15.126 136.5925
20.042144 15.155 143.4346
20.187378 15.685 146.3806
20.333664 16.501 144.2192
20.481010 17.463 138.8092
20.629424 18.370 130.3609
20.778913 19.238 119.9043
20.929486 20.095 108.8167
21.081150 20.941 96.8780
21.233912 21.759 85.7426
21.387782 22.540 74.7981
21.542767 23.248 65.0250
21.698874 23.862 56.0691
21.856113 24.366 48.1028
22.014492 24.744 41.3103
22.174018 24.998 35.3738
22.334700 25.130 30.8324
22.496546 25.157 27.3108
22.659566 25.115 25.3531
22.823766 25.043 24.7772
22.989157 25.031 25.6729
23.155745 25.121 27.9265
23.323542 25.392 30.7506
23.492554 25.838 33.9092
23.662790 26.410 36.3734
23.834261 27.059 38.2057
24.006973 27.684 39.1458
24.180938 28.253 39.4971
24.356163 28.718 39.6428
24.532658 29.084 39.8251
24.710431 29.371 40.6889
24.889493 29.644 42.3228
25.069853 29.994 45.1950
25.251519 30.520 48.7427
25.434502 31.306 52.6995
25.618811 32.317 55.6286
25.804456 33.509 57.3477
25.991445 34.742 57.0452
26.179790 35.947 55.2627
26.369500 37.040 51.9558
26.560584 37.998 47.6860
26.753053 38.793 42.5829
26.946917 39.421 37.1351
27.142185 39.876 31.3089
27.338869 40.161 25.7289
27.536977 40.282 20.2416
27.736522 40.257 15.5247
27.937512 40.113 11.5331
28.139959 39.895 8.7709
28.343872 39.688 7.2072
28.549264 39.566 6.9720
28.756143 39.629 7.4150
28.964522 39.888 7.9543
29.174411 40.320 7.8857
29.385821 40.817 6.6624
29.598763 41.305 4.3859
29.813248 41.695 1.1093
30.029287 41.946 -2.5999
30.246891 42.035 -6.6097
30.466073 41.961 -10.2274
30.686842 41.752 -13.1683
30.909212 41.450 -15.0482
31.133193 41.155 -15.5159
31.358797 40.968 -14.8173
31.586035 40.975 -13.2302
31.814921 41.207 -11.9056
32.045465 41.597 -11.4771
32.277680 42.053 -12.2953
32.511577 42.462 -14.4171
32.747169 42.758 -17.3776
32.984469 42.904 -20.9049
33.223488 42.881 -24.5571
33.464239 42.699 -27.8169
33.706735 42.380 -30.4260
33.950987 41.965 -31.9907
34.197010 41.529 -32.2329
34.444816 41.160 -31.2620
34.694417 40.932 -29.3777
34.945827 40.892 -27.2556
35.199059 41.001 -25.8022
35.454126 41.172 -25.4034
35.711041 41.303 -26.1168
35.969818 41.299 -27.7813
36.230470 41.079 -29.8015
36.493011 40.598 -31.4259
36.757455 39.852 -31.7740
37.023814 38.899 -29.5255
37.292104 37.940 -23.0332
37.562338 37.401 -12.2007
37.834530 37.542 -0.0460
38.108695 38.236 9.5813
38.384846 39.120 15.6500
38.662999 39.918 19.5250
38.943167 40.603 23.0446
39.225365 41.294 27.1194
39.509608 42.112 31.5942
39.795911 43.101 35.6248
40.084289 44.199 38.3897
40.374756 45.292 39.6995
40.667328 46.312 40.0616
40.962020 47.281 40.2096
41.258848 48.281 40.4966
41.557827 49.394 40.6510
41.858972 50.637 39.9307
42.162299 51.946 37.6068
42.467824 53.212 33.3647
42.775564 54.328 27.3403
43.085533 55.225 19.9422
43.397749 55.864 11.6845
43.712227 56.233 3.1085
44.028983 56.339 -5.2751
44.348036 56.209 -13.0055
44.669400 55.888 -19.6896
44.993093 55.444 -25.0674
45.319131 54.956 -29.1122
45.647532 54.491 -32.0865
45.978313 54.076 -34.4387
46.311491 53.692 -36.5468
46.647083 53.297 -38.5120
46.985107 52.865 -40.1707
47.325581 52.401 -41.2949
47.668521 51.938 -41.8375
48.013947 51.501 -42.0461
48.361876 51.074 -42.3075
48.712326 50.594 -42.8087
49.065315 49.978 -43.2930
49.420863 49.170 -43.0362
49.778987 48.174 -40.9601
50.139706 47.087 -35.8518
50.503039 46.124 -26.7969
50.869005 45.604 -13.7892
51.237623 45.854 2.0119
51.608912 47.037 18.1965
51.982891 48.973 31.1861
52.359580 51.249 38.4278
52.739000 53.494 39.9572
53.121168 55.497 37.1405
53.506106 57.168 31.3862
53.893833 58.478 23.7789
54.284370 59.424 15.1194
54.677737 60.018 6.0621
55.073955 60.284 -2.8198
55.473043 60.260 -11.0132
55.875024 60.000 -18.0953
56.279917 59.573 -23.8090
56.687745 59.056 -28.0963
57.098527 58.514 -31.1523
57.512287 57.981 -33.2844
57.929045 57.465 -34.6960
58.348822 56.973 -35.4425
58.771642 56.519 -35.6046
59.197525 56.110 -35.4161
59.626495 55.724 -35.0991
60.058573 55.316 -34.5320
60.493782 54.879 -33.1168
60.932145 54.492 -30.2135
61.373685 54.294 -25.9730
61.818424 54.356 -21.7072
62.266386 54.588 -18.7495
62.717593 54.829 -17.1932
63.172071 54.990 -16.1885
63.629842 55.086 -14.8680
64.090930 55.189 -13.0266
64.555359 55.341 -11.0767
65.023154 55.526 -9.4738
65.494339 55.702 -8.2670
65.968938 55.848 -7.2421
66.446976 55.964 -6.2456
66.928478 56.058 -5.2603
67.413469 56.129 -4.2878
67.901975 56.178 -3.2924
68.394021 56.207 -2.2655
68.889632 56.212 -1.2352
69.388835 56.181 -0.1537
69.891655 56.109 1.1410
70.398118 56.002 2.8316
70.908252 55.873 5.0311
71.422083 55.735 7.9432
71.939636 55.633 11.9619
72.460941 55.665 17.4138
72.986023 55.946 23.9060
73.514909 56.514 30.2631
74.047629 57.297 35.4613
74.584208 58.192 39.2754
75.124676 59.137 42.0409
75.669061 60.123 44.0632
76.217390 61.156 45.2669
76.769692 62.206 45.2396
77.325997 63.202 43.6768
77.886333 64.062 40.7043
78.450730 64.736 36.8495
79.019216 65.220 32.6891
79.591822 65.537 28.6599
80.168577 65.719 24.9758
80.749512 65.793 21.7675
81.334656 65.790 19.1367
81.924040 65.738 17.0681
82.517696 65.654 15.4287
83.115653 65.534 14.1638
83.717943 65.379 13.4772
84.324598 65.225 13.6639
84.935649 65.136 14.6974
85.551128 65.155 16.1326
86.171066 65.277 17.4619
86.795497 65.472 18.4556
87.424453 65.709 19.0970
88.057967 65.970 19.3913
88.696071 66.238 19.3318
89.338800 66.503 18.9261
89.986185 66.754 18.1790
90.638262 66.978 17.0593
91.295065 67.154 15.4858
91.956626 67.244 13.4116
92.622982 67.202 11.0662
93.294166 67.015 9.1251
93.970214 66.751 8.3667
94.651161 66.530 8.7673
95.337042 66.417 9.1356
96.027894 66.327 8.3551
96.723752 66.119 6.4956
97.424652 65.693 4.3555
98.130631 65.008 2.7902
98.841726 64.063 2.7559
99.557974 62.915 5.5673
100.279412 61.750 12.7322
101.006078 60.942 25.1152
101.738010 60.924 40.7873
102.475245 61.750 54.5131
103.217823 63.012 63.2760
103.965782 64.327 67.9200
104.719161 65.523 69.9289
105.477999 66.541 70.2970
106.242336 67.373 69.7935
107.012212 68.042 68.9842
107.787666 68.580 68.1702
108.568740 69.018 67.5828
109.355474 69.400 67.4332
110.147909 69.771 67.6763
110.946086 70.152 68.0236
111.750047 70.537 68.2509
112.559834 70.905 68.2889
113.375489 71.237 68.1743
114.197055 71.526 68.1348
115.024574 71.794 68.4514
115.858089 72.076 69.0796
116.697645 72.378 69.6651
117.543284 72.674 70.0159
118.395051 72.941 70.3263
119.252990 73.190 70.9383
120.117147 73.460 72.0450
120.987565 73.799 73.5732
121.864291 74.238 75.1512
122.747370 74.767 76.3398
123.636848 75.360 76.9567
124.532771 75.980 76.7990
125.435187 76.558 75.4748
126.344142 77.016 73.2570
127.259684 77.354 71.2065
128.181860 77.658 69.8585
129.110718 77.999 68.6850
130.046308 78.376 67.0762
130.988677 78.745 64.6709
131.937875 79.026 61.2068
132.893951 79.132 56.9274
133.856956 79.015 52.6357
134.826938 78.690 49.1872
135.803950 78.218 47.1223
136.788041 77.692 46.8280
137.779264 77.235 48.3997
138.777669 76.947 50.9081
139.783309 76.823 53.2680
140.796237 76.806 55.3798
141.816504 76.861 57.3987
142.844165 76.987 59.3615
143.879273 77.195 61.2364
144.921881 77.502 62.8278
145.972045 77.894 63.6217
147.029819 78.280 62.7240
148.095257 78.507 60.0512
149.168417 78.480 56.9525
150.249353 78.236 54.9532
151.338121 77.898 54.6790
152.434780 77.602 55.8940
153.539385 77.436 57.8787
154.651995 77.419 59.8691
155.772667 77.519 61.4022
156.901460 77.685 62.1842
158.038432 77.850 62.0101
159.183644 77.952 61.0425
160.337154 77.952 59.5752
161.499023 77.824 57.8302
162.669312 77.556 56.1981
163.848081 77.167 55.1447
165.035392 76.692 54.7856
166.231306 76.133 54.6790
167.435887 75.422 54.6996
168.649196 74.503 56.2537
169.871298 73.513 62.2272
171.102255 72.934 74.6077
172.342133 73.278 89.3324
173.590995 74.426 99.6606
174.848907 75.886 104.5943
176.115934 77.331 105.4401
177.392143 78.571 102.6222
178.677599 79.480 97.0391
179.972371 80.006 90.0172
181.276525 80.152 82.6104
182.590129 79.957 75.6760
183.913252 79.489 69.8106
