* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.5 dBFS, measurement signal peak level -18.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:45:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.0070 ms (-688 mm, -(2 ft 3.1 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p3-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 62.917 -65.7797
10.166832 63.036 -67.3806
10.240505 63.181 -68.9469
10.314712 63.330 -70.4969
10.389457 63.483 -72.0476
10.464743 63.643 -73.6088
10.540575 63.814 -75.1535
10.616956 63.993 -76.6961
10.693891 64.178 -78.2596
10.771383 64.366 -79.8661
10.849437 64.559 -81.5027
10.928057 64.757 -83.1590
11.007246 64.958 -84.8501
11.087009 65.158 -86.5913
11.167350 65.357 -88.3895
11.248273 65.557 -90.2312
11.329783 65.756 -92.1119
11.411883 65.949 -94.0295
11.494578 66.136 -95.9898
11.577873 66.318 -98.0020
11.661771 66.493 -100.0433
11.746277 66.660 -102.0917
11.831395 66.817 -104.1439
11.917130 66.964 -106.2297
12.003487 67.103 -108.3175
12.090469 67.232 -110.3717
12.178081 67.351 -112.3850
12.266329 67.460 -114.3912
12.355216 67.560 -116.3592
12.444747 67.655 -118.2532
12.534926 67.744 -120.0712
12.625760 67.826 -121.8329
12.717251 67.908 -123.5238
12.809406 67.992 -125.1273
12.902228 68.078 -126.6363
12.995723 68.167 -128.0687
13.089895 68.266 -129.4449
13.184750 68.377 -130.7677
13.280292 68.500 -132.0160
13.376526 68.635 -133.2392
13.473458 68.786 -134.4893
13.571093 68.953 -135.7378
13.669434 69.134 -136.9983
13.768489 69.326 -138.3309
13.868261 69.529 -139.7610
13.968756 69.743 -141.2531
14.069979 69.961 -142.8365
14.171936 70.179 -144.5398
14.274632 70.398 -146.3498
14.378072 70.614 -148.2521
14.482261 70.821 -150.2406
14.587206 71.019 -152.3300
14.692910 71.208 -154.4985
14.799381 71.383 -156.7077
14.906624 71.543 -158.9648
15.014643 71.690 -161.2732
15.123446 71.822 -163.5815
15.233036 71.940 -165.8781
15.343421 72.043 -168.1851
15.454606 72.134 -170.4599
15.566596 72.213 -172.6835
15.679398 72.281 -174.8773
15.793018 72.341 -177.0193
15.907460 72.394 -179.0964
16.022732 72.441 178.8797
16.138840 72.483 176.9125
16.255788 72.523 175.0055
16.373585 72.559 173.1556
16.492234 72.594 171.3596
16.611744 72.628 169.6160
16.732119 72.661 167.9273
16.853367 72.695 166.2965
16.975494 72.727 164.7216
17.098505 72.762 163.2086
17.222408 72.799 161.7662
17.347209 72.840 160.3940
17.472914 72.888 159.0878
17.599530 72.946 157.8528
17.727063 73.015 156.6826
17.855521 73.101 155.5360
17.984909 73.205 154.4264
18.115235 73.327 153.3082
18.246506 73.469 152.1218
18.378727 73.630 150.8875
18.511907 73.805 149.5282
18.646052 73.991 148.0286
18.781169 74.183 146.3923
18.917265 74.372 144.5851
19.054347 74.556 142.6177
19.192423 74.726 140.5284
19.331499 74.879 138.3022
19.471583 75.011 135.9913
19.612682 75.118 133.6531
19.754804 75.201 131.2717
19.897956 75.260 128.9541
20.042144 75.296 126.6863
20.187378 75.314 124.5225
20.333664 75.320 122.5030
20.481010 75.318 120.6146
20.629424 75.318 118.8798
20.778913 75.323 117.2904
20.929486 75.340 115.7938
21.081150 75.372 114.4000
21.233912 75.420 113.0293
21.387782 75.484 111.6717
21.542767 75.560 110.2925
21.698874 75.646 108.8630
21.856113 75.736 107.3973
22.014492 75.827 105.8905
22.174018 75.918 104.3611
22.334700 76.007 102.8402
22.496546 76.097 101.3284
22.659566 76.190 99.8554
22.823766 76.290 98.4112
22.989157 76.400 96.9863
23.155745 76.522 95.5715
23.323542 76.658 94.1237
23.492554 76.806 92.6400
23.662790 76.963 91.0851
23.834261 77.128 89.4640
24.006973 77.297 87.7794
24.180938 77.470 86.0383
24.356163 77.648 84.2681
24.532658 77.833 82.4616
24.710431 78.032 80.6266
24.889493 78.247 78.7208
25.069853 78.484 76.7072
25.251519 78.739 74.5046
25.434502 79.011 72.0621
25.618811 79.287 69.3038
25.804456 79.557 66.2050
25.991445 79.802 62.7709
26.179790 80.011 59.0116
26.369500 80.166 55.0390
26.560584 80.263 50.9018
26.753053 80.293 46.7625
26.946917 80.262 42.7336
27.142185 80.174 38.9404
27.338869 80.052 35.5193
27.536977 79.917 32.5246
27.736522 79.805 29.9484
27.937512 79.740 27.6691
28.139959 79.746 25.5161
28.343872 79.818 23.1450
28.549264 79.946 20.4191
28.756143 80.090 17.0760
28.964522 80.214 13.1777
29.174411 80.284 8.6904
29.385821 80.268 3.8871
29.598763 80.151 -1.1451
29.813248 79.923 -6.0891
30.029287 79.594 -10.7050
30.246891 79.179 -14.8022
30.466073 78.718 -18.1093
30.686842 78.260 -20.6442
30.909212 77.853 -22.3828
31.133193 77.546 -23.7521
31.358797 77.340 -25.0895
31.586035 77.219 -26.7470
31.814921 77.130 -28.9741
32.045465 77.027 -31.6666
32.277680 76.878 -34.7252
32.511577 76.663 -37.8168
32.747169 76.396 -40.7208
32.984469 76.097 -43.2913
33.223488 75.803 -45.4417
33.464239 75.544 -47.3392
33.706735 75.327 -49.1398
33.950987 75.149 -51.0339
34.197010 74.983 -53.1182
34.444816 74.812 -55.2850
34.694417 74.630 -57.4076
34.945827 74.450 -59.3049
35.199059 74.311 -60.9155
35.454126 74.246 -62.4181
35.711041 74.271 -64.0834
35.969818 74.375 -66.2554
36.230470 74.515 -69.2043
36.493011 74.641 -72.9141
36.757455 74.714 -77.2393
37.023814 74.709 -81.9625
37.292104 74.621 -86.7905
37.562338 74.463 -91.4514
37.834530 74.262 -95.7848
38.108695 74.051 -99.6974
38.384846 73.865 -103.1820
38.662999 73.737 -106.3407
38.943167 73.693 -109.3861
39.225365 73.737 -112.5565
39.509608 73.857 -116.0538
39.795911 74.032 -119.9868
40.084289 74.237 -124.3413
40.374756 74.456 -128.9814
40.667328 74.698 -133.6989
40.962020 74.996 -138.3734
41.258848 75.394 -143.1223
41.557827 75.917 -148.3134
41.858972 76.546 -154.4174
42.162299 77.223 -161.7897
42.467824 77.868 -170.5323
42.775564 78.406 179.5058
43.085533 78.781 168.6529
43.397749 78.962 157.3363
43.712227 78.938 146.0294
44.028983 78.721 135.1921
44.348036 78.344 125.2283
44.669400 77.860 116.4283
44.993093 77.337 108.8844
45.319131 76.836 102.4361
45.647532 76.386 96.7468
45.978313 75.979 91.5145
46.311491 75.587 86.6679
46.647083 75.194 82.3851
46.985107 74.818 78.9209
47.325581 74.506 76.3588
47.668521 74.306 74.4592
48.013947 74.231 72.7761
48.361876 74.252 70.9742
48.712326 74.330 69.0331
49.065315 74.451 67.1587
49.420863 74.633 65.5293
49.778987 74.909 64.0898
50.139706 75.297 62.5539
50.503039 75.786 60.6046
50.869005 76.349 58.0913
51.237623 76.969 55.0413
51.608912 77.649 51.4924
51.982891 78.398 47.3021
52.359580 79.209 42.1049
52.739000 80.033 35.4814
53.121168 80.796 27.2004
53.506106 81.412 17.3317
53.893833 81.812 6.1840
54.284370 81.946 -5.7875
54.677737 81.785 -18.0293
55.073955 81.325 -29.9329
55.473043 80.588 -40.8760
55.875024 79.628 -50.3053
56.279917 78.526 -57.8570
56.687745 77.383 -63.5362
57.098527 76.279 -67.7733
57.512287 75.248 -71.1051
57.929045 74.285 -73.7922
58.348822 73.388 -75.8284
58.771642 72.574 -77.2458
59.197525 71.860 -78.3056
59.626495 71.243 -79.3381
60.058573 70.698 -80.5056
60.493782 70.204 -81.8118
60.932145 69.749 -83.2776
61.373685 69.319 -84.9753
61.818424 68.891 -86.8949
62.266386 68.454 -88.8943
62.717593 68.012 -90.8488
63.172071 67.574 -92.7681
63.629842 67.146 -94.7361
64.090930 66.725 -96.7614
64.555359 66.316 -98.8060
65.023154 65.932 -100.9776
65.494339 65.568 -103.5492
65.968938 65.194 -106.7172
66.446976 64.774 -110.3969
66.928478 64.293 -114.3679
67.413469 63.759 -118.5995
67.901975 63.167 -123.3217
68.394021 62.486 -128.7292
68.889632 61.676 -134.7188
69.388835 60.729 -141.0645
69.891655 59.678 -148.0276
70.398118 58.558 -156.8647
70.908252 57.362 -169.6240
71.422083 56.099 170.9177
71.939636 55.008 140.2334
72.460941 54.701 95.2166
72.986023 55.444 49.4659
73.514909 56.631 15.8821
74.047629 57.626 -8.9310
74.584208 58.203 -28.5255
75.124676 58.410 -44.2690
75.669061 58.401 -57.1738
76.217390 58.310 -68.8544
76.769692 58.152 -81.1581
77.325997 57.852 -95.2496
77.886333 57.350 -111.5256
78.450730 56.674 -130.4171
79.019216 55.944 -152.7278
79.591822 55.352 -178.9347
80.168577 55.087 152.3735
80.749512 55.217 124.7760
81.334656 55.634 101.3116
81.924040 56.144 82.6118
82.517696 56.598 68.0979
83.115653 56.942 57.3430
83.717943 57.247 50.3479
84.324598 57.674 46.8761
84.935649 58.370 45.6451
85.551128 59.339 44.5223
86.171066 60.446 41.8542
86.795497 61.531 37.3262
87.424453 62.501 31.5726
88.057967 63.344 25.3096
88.696071 64.085 18.8113
89.338800 64.741 11.9954
89.986185 65.312 4.7344
90.638262 65.785 -3.1152
91.295065 66.124 -11.8469
91.956626 66.250 -21.7396
92.622982 66.050 -32.6040
93.294166 65.416 -43.4277
93.970214 64.308 -52.2266
94.651161 62.835 -56.0953
95.337042 61.371 -52.3743
96.027894 60.517 -42.4128
96.723752 60.627 -32.5281
97.424652 61.452 -27.2014
98.130631 62.540 -26.7667
98.841726 63.604 -29.9854
99.557974 64.518 -35.8156
100.279412 65.219 -43.6940
101.006078 65.657 -53.1498
101.738010 65.798 -63.5593
102.475245 65.636 -74.1741
103.217823 65.196 -84.3678
103.965782 64.517 -93.8889
104.719161 63.618 -102.6456
105.477999 62.511 -110.2471
106.242336 61.235 -116.0752
107.012212 59.874 -119.7668
107.787666 58.533 -121.4958
108.568740 57.306 -122.1360
109.355474 56.213 -122.6399
110.147909 55.236 -123.1492
110.946086 54.367 -123.8975
111.750047 53.573 -125.9474
112.559834 52.748 -130.0583
113.375489 51.756 -136.1562
114.197055 50.482 -143.7770
115.024574 48.853 -152.7952
115.858089 46.802 -163.9586
116.697645 44.257 -178.5184
117.543284 41.346 159.9978
118.395051 39.053 123.0861
119.252990 39.134 83.5326
120.117147 41.022 61.8254
120.987565 43.232 51.7262
121.864291 45.402 47.7581
122.747370 47.433 43.9307
123.636848 49.165 37.5487
124.532771 50.592 30.6560
125.435187 51.762 23.2676
126.344142 52.622 14.4398
127.259684 53.120 5.0920
128.181860 53.271 -3.8240
129.110718 53.118 -11.4312
130.046308 52.797 -16.2823
130.988677 52.523 -18.4388
131.937875 52.396 -20.7745
132.893951 52.252 -26.3118
133.856956 51.761 -36.0200
134.826938 50.640 -48.8661
135.803950 49.079 -59.0847
136.788041 48.618 16.6560
137.779264 49.998 37.3093
138.777669 51.239 19.5839
139.783309 51.386 2.2911
140.796237 50.520 -9.4629
141.816504 49.269 -10.4946
142.844165 49.429 25.3478
143.879273 51.887 64.8807
144.921881 54.730 63.3827
145.972045 56.897 51.2935
147.029819 58.304 37.3619
148.095257 59.118 24.5607
149.168417 59.514 13.5187
150.249353 59.629 4.2042
151.338121 59.562 -3.6476
152.434780 59.375 -10.3384
153.539385 59.115 -16.0079
154.651995 58.793 -21.3536
155.772667 58.348 -27.0874
156.901460 57.726 -31.9279
158.038432 57.009 -33.8992
159.183644 56.392 -33.0601
160.337154 56.052 -30.4248
161.499023 55.973 -29.7446
162.669312 55.892 -32.8973
163.848081 55.617 -36.3080
165.035392 55.238 -36.8795
166.231306 54.873 -37.3911
167.435887 54.410 -40.0975
168.649196 53.732 -41.7870
169.871298 52.948 -39.7275
171.102255 52.349 -33.0121
172.342133 52.256 -23.2448
173.590995 52.704 -15.7231
