* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.3 dBFS, measurement signal peak level -25.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:46:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0078 ms (-2.7 mm, -0.11 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: abs-p1-lrss-dup
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 60.872 -65.6971
10.166832 60.955 -67.4083
10.240505 61.055 -69.0863
10.314712 61.159 -70.7354
10.389457 61.265 -72.3579
10.464743 61.374 -73.9513
10.540575 61.489 -75.5050
10.616956 61.608 -77.0320
10.693891 61.731 -78.5481
10.771383 61.859 -80.0682
10.849437 61.992 -81.5787
10.928057 62.130 -83.0748
11.007246 62.272 -84.5749
11.087009 62.416 -86.0980
11.167350 62.564 -87.6497
11.248273 62.716 -89.2135
11.329783 62.869 -90.7947
11.411883 63.023 -92.4012
11.494578 63.174 -94.0440
11.577873 63.326 -95.7223
11.661771 63.476 -97.4223
11.746277 63.622 -99.1330
11.831395 63.763 -100.8577
11.917130 63.899 -102.6178
12.003487 64.030 -104.3875
12.090469 64.155 -106.1391
12.178081 64.274 -107.8701
12.266329 64.386 -109.6107
12.355216 64.494 -111.3335
12.444747 64.598 -113.0072
12.534926 64.697 -114.6313
12.625760 64.793 -116.2264
12.717251 64.888 -117.7801
12.809406 64.986 -119.2760
12.902228 65.086 -120.7063
12.995723 65.189 -122.0900
13.089895 65.299 -123.4465
13.184750 65.419 -124.7743
13.280292 65.549 -126.0488
13.376526 65.689 -127.3174
13.473458 65.841 -128.6282
13.571093 66.005 -129.9464
13.669434 66.181 -131.2804
13.768489 66.366 -132.6876
13.868261 66.558 -134.1931
13.968756 66.759 -135.7561
14.069979 66.963 -137.4020
14.171936 67.166 -139.1628
14.274632 67.368 -141.0307
14.378072 67.567 -142.9838
14.482261 67.757 -145.0145
14.587206 67.938 -147.1540
14.692910 68.108 -149.3761
14.799381 68.265 -151.6305
14.906624 68.406 -153.9399
15.014643 68.532 -156.3160
15.123446 68.643 -158.6863
15.233036 68.738 -161.0442
15.343421 68.817 -163.4323
15.454606 68.883 -165.7838
15.566596 68.934 -168.0746
15.679398 68.973 -170.3495
15.793018 69.003 -172.5683
15.907460 69.024 -174.7084
16.022732 69.039 -176.7993
16.138840 69.049 -178.8338
16.255788 69.058 179.1986
16.373585 69.065 177.2844
16.492234 69.073 175.4051
16.611744 69.081 173.5627
16.732119 69.091 171.7514
16.853367 69.100 169.9493
16.975494 69.110 168.1541
17.098505 69.119 166.3682
17.222408 69.124 164.5860
17.347209 69.125 162.7994
17.472914 69.122 161.0288
17.599530 69.112 159.2801
17.727063 69.097 157.5455
17.855521 69.077 155.8570
17.984909 69.052 154.2150
18.115235 69.024 152.6171
18.246506 68.996 151.0789
18.378727 68.969 149.6008
18.511907 68.947 148.1540
18.646052 68.932 146.7485
18.781169 68.923 145.3631
18.917265 68.922 143.9491
19.054347 68.928 142.5237
19.192423 68.937 141.0429
19.331499 68.948 139.4855
19.471583 68.955 137.8668
19.612682 68.952 136.1723
19.754804 68.938 134.3996
19.897956 68.904 132.6190
20.042144 68.848 130.7923
20.187378 68.770 129.0153
20.333664 68.665 127.3175
20.481010 68.539 125.7199
20.629424 68.393 124.3335
20.778913 68.235 123.1403
20.929486 68.076 122.2052
21.081150 67.924 121.5592
21.233912 67.797 121.1265
21.387782 67.704 120.9555
21.542767 67.657 120.8787
21.698874 67.664 120.8525
21.856113 67.719 120.7547
22.014492 67.821 120.3802
22.174018 67.956 119.8517
22.334700 68.107 118.9830
22.496546 68.263 117.7675
22.659566 68.404 116.2250
22.823766 68.522 114.3909
22.989157 68.604 112.3670
23.155745 68.645 110.1463
23.323542 68.640 107.9017
23.492554 68.589 105.6012
23.662790 68.494 103.4301
23.834261 68.359 101.3582
24.006973 68.193 99.5297
24.180938 68.005 97.9275
24.356163 67.810 96.6098
24.532658 67.617 95.5565
24.710431 67.442 94.7221
24.889493 67.290 94.0591
25.069853 67.168 93.4579
25.251519 67.070 92.8586
25.434502 66.991 92.1687
25.618811 66.918 91.3823
25.804456 66.839 90.4636
25.991445 66.742 89.5123
26.179790 66.621 88.5391
26.369500 66.475 87.7130
26.560584 66.312 87.0625
26.753053 66.145 86.7262
26.946917 65.997 86.6686
27.142185 65.888 86.9218
27.338869 65.839 87.2633
27.536977 65.858 87.6205
27.736522 65.939 87.6729
27.937512 66.060 87.3552
28.139959 66.196 86.5090
28.343872 66.311 85.2032
28.549264 66.384 83.4492
28.756143 66.391 81.4548
28.964522 66.326 79.3443
29.174411 66.187 77.2785
29.385821 65.985 75.4737
29.598763 65.736 73.9865
29.813248 65.467 72.9413
30.029287 65.204 72.2386
30.246891 64.966 71.8408
30.466073 64.760 71.4896
30.686842 64.574 71.0634
30.909212 64.387 70.4397
31.133193 64.160 69.6243
31.358797 63.867 68.7960
31.586035 63.487 68.1248
31.814921 63.017 68.0707
32.045465 62.490 68.9592
32.277680 61.959 71.1606
32.511577 61.529 74.8239
32.747169 61.304 79.5228
32.984469 61.337 84.5645
33.223488 61.615 88.9419
33.464239 62.033 92.0782
33.706735 62.504 93.9859
33.950987 62.953 94.8718
34.197010 63.345 95.1976
34.444816 63.688 95.3087
34.694417 64.006 95.3984
34.945827 64.334 95.5805
35.199059 64.705 95.7180
35.454126 65.130 95.5576
35.711041 65.597 94.8843
35.969818 66.079 93.5091
36.230470 66.532 91.3489
36.493011 66.923 88.5144
36.757455 67.225 85.1614
37.023814 67.421 81.4619
37.292104 67.507 77.6418
37.562338 67.489 73.9398
37.834530 67.382 70.5037
38.108695 67.208 67.4405
38.384846 66.990 64.8112
38.662999 66.752 62.6019
38.943167 66.510 60.7166
39.225365 66.269 59.0579
39.509608 66.026 57.5630
39.795911 65.776 56.2123
40.084289 65.515 55.0287
40.374756 65.246 54.0555
40.667328 64.976 53.3089
40.962020 64.713 52.7477
41.258848 64.456 52.3058
41.557827 64.196 51.9456
41.858972 63.921 51.7072
42.162299 63.624 51.7262
42.467824 63.312 52.2061
42.775564 63.017 53.3311
43.085533 62.789 55.1331
43.397749 62.679 57.3847
43.712227 62.710 59.6328
44.028983 62.863 61.4094
44.348036 63.089 62.4400
44.669400 63.334 62.6948
44.993093 63.558 62.3094
45.319131 63.738 61.4783
45.647532 63.866 60.3875
45.978313 63.943 59.1903
46.311491 63.975 58.0102
46.647083 63.972 56.9446
46.985107 63.948 56.0566
47.325581 63.920 55.3565
47.668521 63.901 54.7961
48.013947 63.896 54.2955
48.361876 63.902 53.8001
48.712326 63.913 53.3304
49.065315 63.932 52.9802
49.420863 63.976 52.8470
49.778987 64.075 52.9288
50.139706 64.256 53.0599
50.503039 64.529 52.9579
50.869005 64.880 52.3550
51.237623 65.286 51.1034
51.608912 65.723 49.1624
51.982891 66.181 46.4953
52.359580 66.648 42.9843
52.739000 67.098 38.4476
53.121168 67.486 32.7455
53.506106 67.757 25.8867
53.893833 67.852 18.0439
54.284370 67.727 9.5375
54.677737 67.350 0.8099
55.073955 66.712 -7.6201
55.473043 65.825 -15.2026
55.875024 64.731 -21.4221
56.279917 63.496 -25.8728
56.687745 62.210 -28.3767
57.098527 60.967 -29.0681
57.512287 59.848 -28.2771
57.929045 58.922 -26.3663
58.348822 58.246 -23.7886
58.771642 57.852 -21.2562
59.197525 57.713 -19.5475
59.626495 57.750 -19.1136
60.058573 57.882 -19.9872
60.493782 58.056 -22.0116
60.932145 58.244 -25.0707
61.373685 58.423 -29.1223
61.818424 58.565 -34.0924
62.266386 58.649 -39.7948
62.717593 58.665 -45.9857
63.172071 58.621 -52.4075
63.629842 58.536 -58.8514
64.090930 58.432 -65.1851
64.555359 58.334 -71.2793
65.023154 58.270 -77.0137
65.494339 58.276 -82.3405
65.968938 58.382 -87.3708
66.446976 58.595 -92.3248
66.928478 58.893 -97.3937
67.413469 59.240 -102.5815
67.901975 59.619 -107.7435
68.394021 60.030 -112.7778
68.889632 60.476 -117.7606
69.388835 60.938 -122.8726
69.891655 61.381 -128.1633
70.398118 61.780 -133.4656
70.908252 62.133 -138.5844
71.422083 62.451 -143.5031
71.939636 62.720 -148.3823
72.460941 62.896 -153.1794
72.986023 62.959 -157.3145
73.514909 62.987 -159.7451
74.047629 63.180 -159.9894
74.584208 63.725 -159.2090
75.124676 64.578 -159.8273
75.669061 65.512 -163.0239
76.217390 66.322 -168.4114
76.769692 66.913 -175.0057
77.325997 67.265 178.0319
77.886333 67.398 171.4426
78.450730 67.373 165.7662
79.019216 67.274 161.2134
79.591822 67.168 157.4139
80.168577 67.048 153.8838
80.749512 66.877 150.7473
81.334656 66.677 148.7617
81.924040 66.565 148.2633
82.517696 66.648 148.4642
83.115653 66.921 148.3337
83.717943 67.336 147.6598
84.324598 67.883 146.4532
84.935649 68.536 144.1259
85.551128 69.203 140.0877
86.171066 69.772 134.4672
86.795497 70.189 127.9103
87.424453 70.462 121.0252
88.057967 70.631 114.1024
88.696071 70.739 107.1138
89.338800 70.811 99.7809
89.986185 70.836 91.7300
90.638262 70.771 82.6989
91.295065 70.559 72.5819
91.956626 70.138 61.2910
92.622982 69.421 48.7419
93.294166 68.281 35.1275
93.970214 66.565 21.2982
94.651161 64.127 9.2672
95.337042 60.900 4.1074
96.027894 57.269 23.7841
96.723752 54.997 72.7248
97.424652 55.313 87.0206
98.130631 56.392 86.9737
98.841726 57.157 83.3777
99.557974 57.478 78.3778
100.279412 57.364 72.6753
101.006078 56.824 67.3760
101.738010 55.939 64.0035
102.475245 54.886 63.1861
103.217823 53.826 64.0099
103.965782 52.834 65.8642
104.719161 52.009 68.9893
105.477999 51.496 71.7274
106.242336 51.243 70.5794
107.012212 50.981 63.7631
107.787666 50.517 50.8567
108.568740 49.968 30.0309
109.355474 49.868 -2.8594
110.147909 50.783 -44.9792
110.946086 52.528 -79.8517
111.750047 54.508 -103.3518
112.559834 56.374 -120.1136
113.375489 57.992 -133.6238
114.197055 59.316 -145.4771
115.024574 60.360 -156.0823
115.858089 61.164 -165.5991
116.697645 61.761 -174.0968
117.543284 62.200 178.6355
118.395051 62.552 172.6423
119.252990 62.874 167.6357
120.117147 63.209 163.5010
120.987565 63.622 160.2355
121.864291 64.164 157.2258
122.747370 64.806 153.4977
123.636848 65.457 148.5718
124.532771 66.025 142.5314
125.435187 66.448 135.8357
126.344142 66.729 129.3601
127.259684 66.951 123.7412
128.181860 67.205 118.7421
129.110718 67.536 113.8470
130.046308 67.957 108.7134
130.988677 68.433 102.5557
131.937875 68.846 94.6965
132.893951 69.077 85.6923
133.856956 69.123 76.8263
134.826938 69.082 68.6332
135.803950 69.021 60.3037
136.788041 68.865 50.7524
137.779264 68.446 40.1173
138.777669 67.645 29.9991
139.783309 66.482 22.3353
140.796237 65.112 18.4504
141.816504 63.818 19.3344
142.844165 63.003 23.9155
143.879273 62.862 27.7949
144.921881 63.130 28.0682
145.972045 63.418 25.0649
147.029819 63.523 20.9213
148.095257 63.462 17.3215
149.168417 63.315 14.4153
150.249353 63.132 12.1783
151.338121 63.013 11.3466
152.434780 63.172 12.5591
153.539385 63.763 13.7614
154.651995 64.561 10.6783
155.772667 65.142 3.0840
156.901460 65.299 -6.0320
158.038432 65.062 -14.2239
159.183644 64.603 -20.0251
160.337154 64.167 -23.4592
161.499023 63.878 -26.9514
162.669312 63.582 -32.6334
163.848081 63.017 -39.6599
165.035392 62.071 -45.2166
166.231306 60.904 -46.3042
167.435887 59.907 -42.9429
168.649196 59.337 -39.4640
169.871298 59.041 -38.6536
171.102255 58.804 -38.4222
172.342133 58.750 -35.8022
173.590995 59.063 -33.9437
174.848907 59.475 -37.7594
176.115934 59.535 -46.4550
177.392143 58.985 -57.0043
178.677599 57.806 -66.3586
179.972371 56.215 -73.5590
181.276525 54.645 -83.7123
