* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.9 dBFS, measurement signal peak level -25.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:44:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0076 ms (-2.6 mm, -0.1 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: abs-p1-lrss
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 60.800 -66.0980
10.166832 60.885 -67.7487
10.240505 60.987 -69.3559
10.314712 61.093 -70.9310
10.389457 61.202 -72.4827
10.464743 61.316 -74.0130
10.540575 61.438 -75.5007
10.616956 61.567 -76.9620
10.693891 61.701 -78.4197
10.771383 61.841 -79.8957
10.849437 61.987 -81.3736
10.928057 62.139 -82.8443
11.007246 62.295 -84.3286
11.087009 62.454 -85.8483
11.167350 62.615 -87.4120
11.248273 62.780 -89.0009
11.329783 62.946 -90.6161
11.411883 63.111 -92.2628
11.494578 63.272 -93.9527
11.577873 63.431 -95.6906
11.661771 63.586 -97.4554
11.746277 63.736 -99.2288
11.831395 63.879 -101.0124
11.917130 64.014 -102.8371
12.003487 64.143 -104.6704
12.090469 64.264 -106.4764
12.178081 64.377 -108.2503
12.266329 64.482 -110.0303
12.355216 64.581 -111.7852
12.444747 64.675 -113.4777
12.534926 64.764 -115.1055
12.625760 64.849 -116.6931
12.717251 64.934 -118.2290
12.809406 65.022 -119.6962
12.902228 65.112 -121.0823
12.995723 65.207 -122.4109
13.089895 65.311 -123.7081
13.184750 65.427 -124.9745
13.280292 65.554 -126.1791
13.376526 65.693 -127.3779
13.473458 65.846 -128.6292
13.571093 66.013 -129.8938
13.669434 66.194 -131.1796
13.768489 66.384 -132.5503
13.868261 66.581 -134.0352
13.968756 66.788 -135.5889
14.069979 66.997 -137.2352
14.171936 67.204 -139.0061
14.274632 67.409 -140.8967
14.378072 67.610 -142.8794
14.482261 67.800 -144.9400
14.587206 67.979 -147.1146
14.692910 68.147 -149.3753
14.799381 68.299 -151.6633
14.906624 68.435 -154.0015
15.014643 68.555 -156.4053
15.123446 68.658 -158.7961
15.233036 68.745 -161.1642
15.343421 68.816 -163.5561
15.454606 68.873 -165.9043
15.566596 68.917 -168.1816
15.679398 68.949 -170.4335
15.793018 68.972 -172.6247
15.907460 68.989 -174.7320
16.022732 69.000 -176.7825
16.138840 69.009 -178.7780
16.255788 69.018 179.2907
16.373585 69.027 177.4131
16.492234 69.037 175.5624
16.611744 69.050 173.7391
16.732119 69.065 171.9395
16.853367 69.080 170.1392
16.975494 69.095 168.3335
17.098505 69.109 166.5292
17.222408 69.118 164.7236
17.347209 69.122 162.9049
17.472914 69.120 161.1014
17.599530 69.110 159.3226
17.727063 69.094 157.5579
17.855521 69.071 155.8472
17.984909 69.043 154.1918
18.115235 69.011 152.5883
18.246506 68.981 151.0555
18.378727 68.951 149.5939
18.511907 68.928 148.1696
18.646052 68.912 146.7938
18.781169 68.905 145.4425
18.917265 68.907 144.0587
19.054347 68.918 142.6628
19.192423 68.933 141.2040
19.331499 68.951 139.6591
19.471583 68.965 138.0450
19.612682 68.969 136.3452
19.754804 68.961 134.5578
19.897956 68.932 132.7578
20.042144 68.881 130.9044
20.187378 68.805 129.0988
20.333664 68.702 127.3721
20.481010 68.576 125.7451
20.629424 68.430 124.3336
20.778913 68.269 123.1182
20.929486 68.108 122.1656
21.081150 67.952 121.5078
21.233912 67.822 121.0674
21.387782 67.726 120.8939
21.542767 67.675 120.8276
21.698874 67.678 120.8426
21.856113 67.730 120.7061
22.014492 67.827 120.3410
22.174018 67.959 119.8228
22.334700 68.106 118.9692
22.496546 68.258 117.7716
22.659566 68.395 116.2509
22.823766 68.511 114.4414
22.989157 68.590 112.4440
23.155745 68.630 110.2516
23.323542 68.625 108.0335
23.492554 68.574 105.7586
23.662790 68.481 103.6069
23.834261 68.348 101.5493
24.006973 68.186 99.7251
24.180938 68.001 98.1179
24.356163 67.809 96.7851
24.532658 67.618 95.7076
24.710431 67.443 94.8444
24.889493 67.290 94.1508
25.069853 67.165 93.5247
25.251519 67.064 92.9081
25.434502 66.981 92.2133
25.618811 66.905 91.4313
25.804456 66.824 90.5274
25.991445 66.728 89.5917
26.179790 66.610 88.6341
26.369500 66.469 87.8118
26.560584 66.313 87.1515
26.753053 66.153 86.7828
26.946917 66.010 86.6726
27.142185 65.905 86.8514
27.338869 65.855 87.1125
27.536977 65.869 87.3896
27.736522 65.940 87.3830
27.937512 66.050 87.0307
28.139959 66.174 86.1812
28.343872 66.278 84.8969
28.549264 66.343 83.1864
28.756143 66.345 81.2463
28.964522 66.278 79.1951
29.174411 66.139 77.1868
29.385821 65.941 75.4277
29.598763 65.697 73.9714
29.813248 65.435 72.9353
30.029287 65.177 72.2242
30.246891 64.941 71.8023
30.466073 64.736 71.4265
30.686842 64.547 70.9840
30.909212 64.355 70.3603
31.133193 64.125 69.5637
31.358797 63.830 68.7661
31.586035 63.451 68.1324
31.814921 62.986 68.1055
32.045465 62.465 69.0019
32.277680 61.940 71.1809
32.511577 61.513 74.7951
32.747169 61.287 79.4438
32.984469 61.314 84.4604
33.223488 61.587 88.8562
33.464239 62.005 92.0309
33.706735 62.480 93.9698
33.950987 62.937 94.8595
34.197010 63.336 95.1482
34.444816 63.682 95.1941
34.694417 63.997 95.2077
34.945827 64.316 95.3300
35.199059 64.675 95.4580
35.454126 65.088 95.3440
35.711041 65.549 94.7610
35.969818 66.032 93.4961
36.230470 66.494 91.4302
36.493011 66.898 88.6547
36.757455 67.215 85.3212
37.023814 67.425 81.6027
37.292104 67.521 77.7344
37.562338 67.507 73.9734
37.834530 67.400 70.4835
38.108695 67.222 67.3844
38.384846 66.998 64.7472
38.662999 66.754 62.5590
38.943167 66.510 60.7117
39.225365 66.269 59.0923
39.509608 66.028 57.6281
39.795911 65.780 56.2974
40.084289 65.520 55.1290
40.374756 65.252 54.1771
40.667328 64.984 53.4639
40.962020 64.725 52.9398
41.258848 64.477 52.5185
41.557827 64.229 52.1425
41.858972 63.964 51.8416
42.162299 63.671 51.7585
42.467824 63.357 52.1216
42.775564 63.052 53.1518
43.085533 62.810 54.9131
43.397749 62.688 57.1830
43.712227 62.712 59.4766
44.028983 62.864 61.2825
44.348036 63.091 62.3055
44.669400 63.333 62.5281
44.993093 63.551 62.1157
45.319131 63.722 61.2905
45.647532 63.841 60.2497
45.978313 63.915 59.1372
46.311491 63.950 58.0497
46.647083 63.957 57.0519
46.985107 63.945 56.1840
47.325581 63.928 55.4548
47.668521 63.913 54.8379
48.013947 63.907 54.2876
48.361876 63.907 53.7766
48.712326 63.913 53.3314
49.065315 63.930 53.0289
49.420863 63.976 52.9396
49.778987 64.079 53.0417
50.139706 64.263 53.1687
50.503039 64.537 53.0542
50.869005 64.888 52.4458
51.237623 65.294 51.1967
51.608912 65.733 49.2542
51.982891 66.194 46.5690
52.359580 66.661 43.0216
52.739000 67.109 38.4406
53.121168 67.493 32.7005
53.506106 67.759 25.8184
53.893833 67.849 17.9677
54.284370 67.720 9.4656
54.677737 67.341 0.7507
55.073955 66.701 -7.6600
55.473043 65.816 -15.2162
55.875024 64.724 -21.4031
56.279917 63.495 -25.8217
56.687745 62.219 -28.3112
57.098527 60.986 -29.0234
57.512287 59.877 -28.2825
57.929045 58.954 -26.4177
58.348822 58.278 -23.8539
58.771642 57.883 -21.3190
59.197525 57.743 -19.6291
59.626495 57.773 -19.2310
60.058573 57.891 -20.1093
60.493782 58.050 -22.0676
60.932145 58.229 -25.0070
61.373685 58.408 -28.9441
61.818424 58.557 -33.8580
62.266386 58.645 -39.5657
62.717593 58.661 -45.7858
63.172071 58.614 -52.2172
63.629842 58.528 -58.6393
64.090930 58.432 -64.9466
64.555359 58.348 -71.0552
65.023154 58.299 -76.8673
65.494339 58.315 -82.3171
65.968938 58.422 -87.4712
66.446976 58.630 -92.5168
66.928478 58.918 -97.6405
67.413469 59.255 -102.8559
67.901975 59.620 -108.0181
68.394021 60.017 -113.0102
68.889632 60.451 -117.8990
69.388835 60.910 -122.8837
69.891655 61.359 -128.0520
70.398118 61.771 -133.2754
70.908252 62.140 -138.3722
71.422083 62.472 -143.3184
71.939636 62.752 -148.2581
72.460941 62.937 -153.1374
72.986023 63.003 -157.3704
73.514909 63.028 -159.8966
74.047629 63.213 -160.1978
74.584208 63.751 -159.4135
75.124676 64.601 -160.0042
75.669061 65.536 -163.1903
76.217390 66.347 -168.5875
76.769692 66.938 -175.1995
77.325997 67.287 177.8187
77.886333 67.418 171.2119
78.450730 67.389 165.5272
79.019216 67.287 160.9822
79.591822 67.180 157.1953
80.168577 67.062 153.6589
80.749512 66.891 150.4902
81.334656 66.688 148.4680
81.924040 66.573 147.9535
82.517696 66.652 148.1512
83.115653 66.921 148.0036
83.717943 67.329 147.3029
84.324598 67.866 146.0973
84.935649 68.511 143.8150
85.551128 69.173 139.8416
86.171066 69.741 134.2781
86.795497 70.160 127.7678
87.424453 70.436 120.9265
88.057967 70.610 114.0380
88.696071 70.726 107.0549
89.338800 70.805 99.6930
89.986185 70.832 91.5999
90.638262 70.764 82.5425
91.295065 70.549 72.4283
91.956626 70.125 61.1674
92.622982 69.407 48.6664
93.294166 68.270 35.1080
93.970214 66.559 21.3410
94.651161 64.128 9.3907
95.337042 60.912 4.2925
96.027894 57.277 23.1089
96.723752 54.936 70.9116
97.424652 55.186 86.2960
98.130631 56.266 86.8252
98.841726 57.051 83.4579
99.557974 57.390 78.5533
100.279412 57.290 72.9302
101.006078 56.763 67.7092
101.738010 55.893 64.4066
102.475245 54.855 63.6511
103.217823 53.812 64.5045
103.965782 52.831 66.3431
104.719161 52.010 69.5165
105.477999 51.507 72.4719
106.242336 51.279 71.4735
107.012212 51.038 64.5291
107.787666 50.561 51.3803
108.568740 49.961 30.4225
109.355474 49.802 -2.6026
110.147909 50.695 -45.0695
110.946086 52.450 -80.0982
111.750047 54.441 -103.5893
112.559834 56.316 -120.3242
113.375489 57.939 -133.8171
114.197055 59.269 -145.6379
115.024574 60.323 -156.1882
115.858089 61.139 -165.6711
116.697645 61.744 -174.1743
117.543284 62.186 178.5503
118.395051 62.538 172.5903
119.252990 62.862 167.6760
120.117147 63.208 163.6272
120.987565 63.635 160.3402
121.864291 64.185 157.2417
122.747370 64.830 153.4502
123.636848 65.483 148.4882
124.532771 66.051 142.4236
125.435187 66.473 135.7168
126.344142 66.751 129.2607
127.259684 66.971 123.6897
128.181860 67.225 118.7117
129.110718 67.554 113.7874
130.046308 67.970 108.6014
130.988677 68.439 102.3955
131.937875 68.845 94.5175
132.893951 69.073 85.5251
133.856956 69.118 76.6847
134.826938 69.078 68.5261
135.803950 69.018 60.2422
136.788041 68.865 50.7312
137.779264 68.449 40.1102
138.777669 67.651 29.9742
139.783309 66.490 22.2766
140.796237 65.120 18.3601
141.816504 63.825 19.2180
142.844165 63.009 23.8103
143.879273 62.864 27.7139
144.921881 63.126 28.0073
145.972045 63.406 25.0621
147.029819 63.507 20.9796
148.095257 63.446 17.3668
149.168417 63.296 14.3884
150.249353 63.111 12.0902
151.338121 62.993 11.2310
152.434780 63.156 12.4449
153.539385 63.754 13.6401
154.651995 64.553 10.5439
155.772667 65.133 2.9802
156.901460 65.288 -6.0734
158.038432 65.051 -14.2274
159.183644 64.594 -20.0348
160.337154 64.159 -23.5165
161.499023 63.871 -27.0817
162.669312 63.574 -32.8231
163.848081 63.006 -39.8966
165.035392 62.054 -45.5216
166.231306 60.872 -46.6854
167.435887 59.844 -43.3054
168.649196 59.242 -39.6213
169.871298 58.931 -38.5466
171.102255 58.701 -38.0276
172.342133 58.679 -35.2026
173.590995 59.030 -33.3685
174.848907 59.465 -37.3315
176.115934 59.532 -46.1469
177.392143 58.979 -56.7522
178.677599 57.792 -66.0669
179.972371 56.193 -73.0951
181.276525 54.620 -82.9761
182.590129 53.803 -107.9905
