* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -35.9 dBFS, measurement signal peak level -26.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:42:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0085 ms (-2.9 mm, -0.11 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-lrss
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 60.876 -65.7439
10.166832 60.959 -67.4441
10.240505 61.061 -69.1099
10.314712 61.167 -70.7466
10.389457 61.274 -72.3575
10.464743 61.385 -73.9412
10.540575 61.501 -75.4859
10.616956 61.622 -77.0045
10.693891 61.748 -78.5133
10.771383 61.878 -80.0277
10.849437 62.012 -81.5345
10.928057 62.152 -83.0285
11.007246 62.295 -84.5275
11.087009 62.441 -86.0499
11.167350 62.589 -87.6019
11.248273 62.742 -89.1677
11.329783 62.895 -90.7512
11.411883 63.048 -92.3595
11.494578 63.199 -94.0030
11.577873 63.350 -95.6826
11.661771 63.498 -97.3837
11.746277 63.643 -99.0938
11.831395 63.781 -100.8159
11.917130 63.915 -102.5726
12.003487 64.044 -104.3378
12.090469 64.166 -106.0831
12.178081 64.283 -107.8055
12.266329 64.392 -109.5358
12.355216 64.496 -111.2469
12.444747 64.597 -112.9076
12.534926 64.694 -114.5167
12.625760 64.787 -116.0950
12.717251 64.880 -117.6310
12.809406 64.975 -119.1093
12.902228 65.073 -120.5208
12.995723 65.174 -121.8850
13.089895 65.283 -123.2230
13.184750 65.403 -124.5340
13.280292 65.532 -125.7921
13.376526 65.671 -127.0457
13.473458 65.823 -128.3447
13.571093 65.988 -129.6537
13.669434 66.164 -130.9807
13.768489 66.349 -132.3837
13.868261 66.542 -133.8885
13.968756 66.744 -135.4534
14.069979 66.948 -137.1036
14.171936 67.151 -138.8710
14.274632 67.354 -140.7480
14.378072 67.553 -142.7121
14.482261 67.743 -144.7550
14.587206 67.924 -146.9084
14.692910 68.094 -149.1457
14.799381 68.251 -151.4163
14.906624 68.392 -153.7428
15.014643 68.518 -156.1372
15.123446 68.629 -158.5264
15.233036 68.724 -160.9042
15.343421 68.803 -163.3132
15.454606 68.868 -165.6865
15.566596 68.920 -167.9998
15.679398 68.958 -170.2985
15.793018 68.987 -172.5416
15.907460 69.009 -174.7065
16.022732 69.022 -176.8231
16.138840 69.032 -178.8829
16.255788 69.040 179.1248
16.373585 69.045 177.1859
16.492234 69.051 175.2847
16.611744 69.057 173.4228
16.732119 69.064 171.5946
16.853367 69.070 169.7809
16.975494 69.077 167.9790
17.098505 69.082 166.1918
17.222408 69.084 164.4157
17.347209 69.083 162.6425
17.472914 69.077 160.8921
17.599530 69.065 159.1714
17.727063 69.049 157.4731
17.855521 69.029 155.8248
17.984909 69.006 154.2301
18.115235 68.981 152.6827
18.246506 68.959 151.1924
18.378727 68.939 149.7632
18.511907 68.927 148.3569
18.646052 68.922 146.9815
18.781169 68.926 145.6151
18.917265 68.938 144.2015
19.054347 68.957 142.7592
19.192423 68.979 141.2448
19.331499 69.001 139.6332
19.471583 69.017 137.9460
19.612682 69.020 136.1728
19.754804 69.008 134.3080
19.897956 68.973 132.4378
20.042144 68.913 130.5175
20.187378 68.826 128.6561
20.333664 68.709 126.8889
20.481010 68.566 125.2379
20.629424 68.402 123.8298
20.778913 68.223 122.6456
20.929486 68.044 121.7568
21.081150 67.872 121.2025
21.233912 67.730 120.8912
21.387782 67.629 120.8776
21.542767 67.580 120.9648
21.698874 67.594 121.0963
21.856113 67.664 121.1317
22.014492 67.784 120.8984
22.174018 67.941 120.3942
22.334700 68.112 119.4771
22.496546 68.287 118.2105
22.659566 68.441 116.5878
22.823766 68.569 114.6480
22.989157 68.654 112.5149
23.155745 68.695 110.1770
23.323542 68.684 107.8291
23.492554 68.624 105.4327
23.662790 68.518 103.1881
23.834261 68.369 101.0619
24.006973 68.189 99.2031
24.180938 67.987 97.5947
24.356163 67.778 96.2905
24.532658 67.574 95.2708
24.710431 67.390 94.4796
24.889493 67.231 93.8693
25.069853 67.104 93.3215
25.251519 67.002 92.7779
25.434502 66.921 92.1436
25.618811 66.846 91.4163
25.804456 66.766 90.5619
25.991445 66.670 89.6799
26.179790 66.552 88.7821
26.369500 66.413 88.0285
26.560584 66.258 87.4444
26.753053 66.104 87.1530
26.946917 65.968 87.1143
27.142185 65.871 87.3496
27.338869 65.831 87.6484
27.536977 65.852 87.9428
27.736522 65.928 87.9442
27.937512 66.040 87.5983
28.139959 66.162 86.7657
28.343872 66.264 85.5143
28.549264 66.326 83.8550
28.756143 66.327 81.9806
28.964522 66.261 80.0033
29.174411 66.127 78.0708
29.385821 65.936 76.3745
29.598763 65.703 74.9633
29.813248 65.451 73.9412
30.029287 65.203 73.2162
30.246891 64.974 72.7521
30.466073 64.771 72.3244
30.686842 64.580 71.8334
30.909212 64.382 71.1773
31.133193 64.145 70.3743
31.358797 63.843 69.5937
31.586035 63.460 69.0006
31.814921 62.993 69.0274
32.045465 62.476 69.9839
32.277680 61.958 72.2185
32.511577 61.544 75.8672
32.747169 61.332 80.5197
32.984469 61.374 85.5072
33.223488 61.660 89.8562
33.464239 62.090 92.9831
33.706735 62.576 94.8799
33.950987 63.045 95.7336
34.197010 63.458 95.9835
34.444816 63.822 95.9761
34.694417 64.155 95.9119
34.945827 64.492 95.9212
35.199059 64.866 95.8982
35.454126 65.288 95.6082
35.711041 65.752 94.8433
35.969818 66.230 93.4105
36.230470 66.683 91.2097
36.493011 67.074 88.3381
36.757455 67.377 84.9450
37.023814 67.574 81.2001
37.292104 67.658 77.3333
37.562338 67.634 73.5940
37.834530 67.519 70.1405
38.108695 67.335 67.0878
38.384846 67.108 64.5017
38.662999 66.865 62.3632
38.943167 66.623 60.5562
39.225365 66.387 58.9580
39.509608 66.153 57.4858
39.795911 65.913 56.1086
40.084289 65.659 54.8506
40.374756 65.391 53.7690
40.667328 65.115 52.9021
40.962020 64.841 52.2268
41.258848 64.570 51.6822
41.557827 64.295 51.2258
41.858972 64.002 50.8882
42.162299 63.682 50.8033
42.467824 63.343 51.1905
42.775564 63.014 52.2706
43.085533 62.751 54.1180
43.397749 62.613 56.5167
43.712227 62.632 58.9636
44.028983 62.791 60.9037
44.348036 63.031 61.9991
44.669400 63.291 62.2133
44.993093 63.521 61.7205
45.319131 63.696 60.7717
45.647532 63.810 59.6021
45.978313 63.868 58.3920
46.311491 63.883 57.2647
46.647083 63.868 56.2951
46.985107 63.839 55.5150
47.325581 63.810 54.9107
47.668521 63.792 54.4253
48.013947 63.788 53.9843
48.361876 63.794 53.5433
48.712326 63.804 53.1290
49.065315 63.821 52.8344
49.420863 63.864 52.7535
49.778987 63.960 52.8822
50.139706 64.138 53.0561
50.503039 64.406 52.9971
50.869005 64.752 52.4429
51.237623 65.152 51.2525
51.608912 65.586 49.3922
51.982891 66.043 46.8272
52.359580 66.515 43.4310
52.739000 66.977 39.0014
53.121168 67.385 33.3735
53.506106 67.680 26.5370
53.893833 67.801 18.6560
54.284370 67.701 10.0487
54.677737 67.346 1.1603
55.073955 66.724 -7.4838
55.473043 65.845 -15.3191
55.875024 64.746 -21.8048
56.279917 63.495 -26.4980
56.687745 62.181 -29.1770
57.098527 60.905 -29.9489
57.512287 59.755 -29.1412
57.929045 58.804 -27.1245
58.348822 58.119 -24.3811
58.771642 57.738 -21.7181
59.197525 57.623 -20.0310
59.626495 57.679 -19.7854
60.058573 57.813 -20.9028
60.493782 57.974 -23.0804
60.932145 58.153 -26.1499
61.373685 58.345 -30.1511
61.818424 58.526 -35.1666
62.266386 58.659 -41.1229
62.717593 58.718 -47.7802
63.172071 58.697 -54.7949
63.629842 58.615 -61.8344
64.090930 58.500 -68.6792
64.555359 58.388 -75.1694
65.023154 58.314 -81.2054
65.494339 58.312 -86.7662
65.968938 58.408 -91.9578
66.446976 58.605 -96.9637
66.928478 58.882 -101.9426
67.413469 59.210 -106.9052
67.901975 59.574 -111.7509
68.394021 59.971 -116.4283
68.889632 60.403 -121.0317
69.388835 60.850 -125.7297
69.891655 61.283 -130.5637
70.398118 61.683 -135.3913
70.908252 62.052 -140.0582
71.422083 62.401 -144.5911
71.939636 62.716 -149.1904
72.460941 62.951 -153.9053
72.986023 63.067 -158.2892
73.514909 63.100 -161.3813
74.047629 63.209 -162.4098
74.584208 63.598 -161.7972
75.124676 64.325 -161.6087
75.669061 65.226 -163.5870
76.217390 66.074 -167.9832
76.769692 66.724 -173.9505
77.325997 67.129 179.5077
77.886333 67.311 173.3499
78.450730 67.348 168.1785
79.019216 67.339 164.0704
79.591822 67.340 160.4659
80.168577 67.327 156.8804
80.749512 67.255 153.5333
81.334656 67.150 151.1432
81.924040 67.115 149.8934
82.517696 67.220 149.0483
83.115653 67.446 147.8605
83.717943 67.750 146.3366
84.324598 68.142 144.6379
84.935649 68.627 142.3523
85.551128 69.156 138.9088
86.171066 69.648 134.2104
86.795497 70.048 128.5881
87.424453 70.343 122.4220
88.057967 70.543 115.9583
88.696071 70.673 109.2687
89.338800 70.748 102.2081
89.986185 70.759 94.5057
90.638262 70.669 85.9897
91.295065 70.434 76.6404
91.956626 70.010 66.3776
92.622982 69.325 54.9872
93.294166 68.248 42.4951
93.970214 66.606 29.7590
94.651161 64.234 19.2254
95.337042 61.119 17.6225
96.027894 57.946 44.7884
96.723752 56.693 82.6050
97.424652 57.518 90.8420
98.130631 58.589 88.9718
98.841726 59.273 84.3779
99.557974 59.555 78.7203
100.279412 59.470 72.3959
101.006078 59.020 65.9752
101.738010 58.227 60.4860
102.475245 57.174 56.6743
103.217823 55.949 54.5124
103.965782 54.612 54.1915
104.719161 53.290 56.7151
105.477999 52.252 61.3420
106.242336 51.638 63.6453
107.012212 51.197 60.3470
107.787666 50.588 51.3650
108.568740 49.743 36.1246
109.355474 49.022 10.6171
110.147909 49.182 -29.8551
110.946086 50.576 -71.6519
111.750047 52.626 -99.5435
112.559834 54.718 -117.7932
113.375489 56.573 -131.7220
114.197055 58.104 -143.6743
115.024574 59.325 -154.2355
115.858089 60.283 -163.6062
116.697645 61.018 -171.8948
117.543284 61.585 -178.9158
118.395051 62.059 175.3396
119.252990 62.495 170.5264
120.117147 62.934 166.4950
120.987565 63.436 163.2476
121.864291 64.048 160.1896
122.747370 64.741 156.3845
123.636848 65.427 151.4426
124.532771 66.028 145.5013
125.435187 66.494 138.9822
126.344142 66.836 132.6748
127.259684 67.128 127.0466
128.181860 67.437 121.6990
129.110718 67.775 116.2264
130.046308 68.150 110.6199
130.988677 68.555 104.3102
131.937875 68.893 96.5417
132.893951 69.049 87.7684
133.856956 69.021 79.4016
134.826938 68.940 72.2253
135.803950 68.937 65.3806
136.788041 68.965 56.9766
137.779264 68.792 46.2559
138.777669 68.193 34.7893
139.783309 67.115 25.1686
140.796237 65.687 19.4312
141.816504 64.187 18.9957
142.844165 63.059 23.4176
143.879273 62.647 28.6562
144.921881 62.816 30.7319
145.972045 63.121 28.6306
147.029819 63.235 24.3827
148.095257 63.101 20.4202
149.168417 62.811 17.7427
150.249353 62.506 16.8359
151.338121 62.400 18.1155
152.434780 62.735 20.9692
153.539385 63.534 22.2344
154.651995 64.434 18.2919
155.772667 65.015 10.0334
156.901460 65.117 0.7356
158.038432 64.813 -7.0945
159.183644 64.324 -11.9136
160.337154 63.955 -13.9114
161.499023 63.866 -15.9824
162.669312 63.893 -20.7338
163.848081 63.733 -27.9496
165.035392 63.196 -35.6056
166.231306 62.302 -40.8597
167.435887 61.295 -42.2590
168.649196 60.446 -41.8240
169.871298 59.783 -42.2228
171.102255 59.185 -42.7501
172.342133 58.738 -40.9109
173.590995 58.664 -38.5139
174.848907 58.833 -40.5416
176.115934 58.824 -47.4373
177.392143 58.343 -56.5558
178.677599 57.386 -64.8646
179.972371 56.268 -71.6340
181.276525 55.511 -82.4585
182.590129 55.532 -106.8962
