* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.7 dBFS, measurement signal peak level -25.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:39:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9313 ms (-319 mm, -(1 ft 0.58 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: abs-fr-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 21.606 46.3157
10.166832 21.552 44.5074
10.240505 21.486 42.6150
10.314712 21.417 40.8012
10.389457 21.336 39.2539
10.464743 21.200 38.1401
10.540575 20.970 37.2718
10.616956 20.688 36.6905
10.693891 20.394 36.5438
10.771383 20.114 37.0152
10.849437 19.826 38.2798
10.928057 19.537 40.3230
11.007246 19.312 43.0062
11.087009 19.230 46.0636
11.167350 19.338 49.4256
11.248273 19.611 53.1968
11.329783 20.011 56.6942
11.411883 20.503 59.3002
11.494578 21.083 60.8250
11.577873 21.772 61.7789
11.661771 22.514 61.9884
11.746277 23.243 61.3115
11.831395 23.921 59.7310
11.917130 24.572 57.5773
12.003487 25.191 54.9876
12.090469 25.767 51.9958
12.178081 26.291 48.5202
12.266329 26.766 44.5927
12.355216 27.197 40.4408
12.444747 27.585 36.1839
12.534926 27.931 31.6272
12.625760 28.232 26.7222
12.717251 28.493 21.7443
12.809406 28.717 16.8526
12.902228 28.902 11.6790
12.995723 29.048 6.3096
13.089895 29.157 1.0419
13.184750 29.231 -4.0624
13.280292 29.267 -9.3970
13.376526 29.265 -14.7174
13.473458 29.226 -19.7010
13.571093 29.148 -24.5903
13.669434 29.031 -29.4748
13.768489 28.875 -34.0580
13.868261 28.680 -38.1521
13.968756 28.444 -42.0275
14.069979 28.178 -45.5434
14.171936 27.888 -48.4241
14.274632 27.567 -50.6447
14.378072 27.243 -52.2585
14.482261 26.957 -53.2273
14.587206 26.709 -53.2789
14.692910 26.520 -52.5163
14.799381 26.441 -51.3402
14.906624 26.506 -49.7771
15.014643 26.695 -47.8420
15.123446 26.984 -46.1247
15.233036 27.368 -44.8748
15.343421 27.836 -43.9178
15.454606 28.328 -43.4004
15.566596 28.807 -43.4030
15.679398 29.279 -43.7890
15.793018 29.721 -44.3509
15.907460 30.116 -45.0528
16.022732 30.469 -45.9124
16.138840 30.787 -46.6602
16.255788 31.070 -47.2271
16.373585 31.327 -47.6895
16.492234 31.580 -47.9093
16.611744 31.837 -47.8259
16.732119 32.107 -47.5458
16.853367 32.413 -47.1758
16.975494 32.761 -46.6438
17.098505 33.146 -46.1385
17.222408 33.566 -45.8719
17.347209 34.020 -45.7343
17.472914 34.486 -45.8745
17.599530 34.947 -46.3827
17.727063 35.399 -47.1473
17.855521 35.819 -48.1370
17.984909 36.201 -49.3985
18.115235 36.540 -50.7807
18.246506 36.828 -52.1601
18.378727 37.064 -53.6188
18.511907 37.255 -54.9099
18.646052 37.399 -56.0179
18.781169 37.509 -56.9263
18.917265 37.601 -57.4520
19.054347 37.679 -57.6432
19.192423 37.771 -57.4941
19.331499 37.890 -56.9532
19.471583 38.050 -56.1446
19.612682 38.268 -55.1958
19.754804 38.543 -54.1130
19.897956 38.874 -53.1540
20.042144 39.257 -52.3055
20.187378 39.677 -51.6846
20.333664 40.122 -51.3354
20.481010 40.585 -51.2286
20.629424 41.053 -51.3869
20.778913 41.525 -51.7656
20.929486 41.994 -52.3684
21.081150 42.461 -53.1548
21.233912 42.922 -54.1510
21.387782 43.375 -55.3264
21.542767 43.817 -56.6941
21.698874 44.244 -58.2613
21.856113 44.649 -59.9854
22.014492 45.025 -61.8804
22.174018 45.369 -63.8826
22.334700 45.675 -65.9400
22.496546 45.940 -68.0259
22.659566 46.164 -69.9961
22.823766 46.350 -71.8711
22.989157 46.508 -73.4676
23.155745 46.646 -74.8236
23.323542 46.783 -75.8202
23.492554 46.930 -76.4921
23.662790 47.112 -76.8733
23.834261 47.337 -77.0000
24.006973 47.617 -77.0449
24.180938 47.950 -77.0350
24.356163 48.330 -77.1465
24.532658 48.750 -77.3678
24.710431 49.198 -77.7680
24.889493 49.670 -78.3138
25.069853 50.163 -78.9851
25.251519 50.682 -79.7997
25.434502 51.231 -80.7171
25.618811 51.815 -81.8785
25.804456 52.437 -83.2439
25.991445 53.089 -85.0543
26.179790 53.764 -87.2429
26.369500 54.441 -90.0193
26.560584 55.106 -93.2763
26.753053 55.735 -97.1048
26.946917 56.315 -101.3576
27.142185 56.831 -106.0661
27.338869 57.273 -111.0207
27.536977 57.635 -116.2591
27.736522 57.913 -121.5529
27.937512 58.108 -126.8905
28.139959 58.221 -132.1698
28.343872 58.261 -137.2525
28.549264 58.232 -142.1655
28.756143 58.146 -146.7515
28.964522 58.010 -151.0530
29.174411 57.834 -155.0182
29.385821 57.624 -158.6517
29.598763 57.383 -161.9555
29.813248 57.114 -164.9175
30.029287 56.814 -167.4948
30.246891 56.485 -169.6339
30.466073 56.134 -171.2086
30.686842 55.778 -172.1235
30.909212 55.442 -172.2566
31.133193 55.172 -171.6096
31.358797 55.011 -170.3275
31.586035 54.990 -168.6125
31.814921 55.120 -166.9388
32.045465 55.380 -165.6007
32.277680 55.739 -164.8020
32.511577 56.150 -164.6448
32.747169 56.588 -165.0593
32.984469 57.035 -165.9762
33.223488 57.483 -167.3147
33.464239 57.927 -169.0457
33.706735 58.364 -171.1528
33.950987 58.787 -173.6311
34.197010 59.186 -176.4812
34.444816 59.552 -179.6499
34.694417 59.877 176.9143
34.945827 60.158 173.2721
35.199059 60.397 169.5148
35.454126 60.598 165.6754
35.711041 60.767 161.7612
35.969818 60.908 157.7581
36.230470 61.017 153.6252
36.493011 61.087 149.3387
36.757455 61.104 144.9075
37.023814 61.052 140.3688
37.292104 60.917 135.8362
37.562338 60.692 131.5131
37.834530 60.383 127.5859
38.108695 60.006 124.2375
38.384846 59.595 121.6300
38.662999 59.192 119.8221
38.943167 58.846 118.6459
39.225365 58.581 117.7935
39.509608 58.393 116.9373
39.795911 58.254 115.8332
40.084289 58.119 114.3996
40.374756 57.951 112.7420
40.667328 57.726 111.1185
40.962020 57.448 109.8317
41.258848 57.144 109.1240
41.557827 56.861 109.1148
41.858972 56.649 109.7354
42.162299 56.550 110.7086
42.467824 56.577 111.6278
42.775564 56.710 112.1145
43.085533 56.909 111.9527
43.397749 57.127 111.1188
43.712227 57.333 109.7220
44.028983 57.511 107.9131
44.348036 57.656 105.8124
44.669400 57.772 103.4785
44.993093 57.857 100.9150
45.319131 57.905 98.1062
45.647532 57.903 95.0648
45.978313 57.835 91.8669
46.311491 57.690 88.6575
46.647083 57.466 85.6265
46.985107 57.175 82.9602
47.325581 56.842 80.7833
47.668521 56.494 79.1154
48.013947 56.156 77.8716
48.361876 55.838 76.9177
48.712326 55.538 76.1507
49.065315 55.251 75.5391
49.420863 54.978 75.0946
49.778987 54.726 74.7998
50.139706 54.498 74.5610
50.503039 54.290 74.2382
50.869005 54.080 73.7340
51.237623 53.841 73.0788
51.608912 53.551 72.4441
51.982891 53.208 72.0786
52.359580 52.828 72.2079
52.739000 52.443 72.9511
53.121168 52.086 74.2970
53.506106 51.786 76.1439
53.893833 51.563 78.3488
54.284370 51.430 80.7228
54.677737 51.387 83.0122
55.073955 51.411 84.9548
55.473043 51.456 86.4259
55.875024 51.472 87.5612
56.279917 51.430 88.7444
56.687745 51.337 90.5331
57.098527 51.257 93.5010
57.512287 51.309 97.9760
57.929045 51.634 103.6988
58.348822 52.324 109.6713
58.771642 53.353 114.5201
59.197525 54.598 117.2496
59.626495 55.919 117.5851
60.058573 57.208 115.7307
60.493782 58.392 112.0182
60.932145 59.426 106.8125
61.373685 60.283 100.4672
61.818424 60.944 93.3413
62.266386 61.408 85.8174
62.717593 61.682 78.2147
63.172071 61.790 70.8310
63.629842 61.766 63.8958
64.090930 61.646 57.5006
64.555359 61.468 51.6620
65.023154 61.264 46.3135
65.494339 61.061 41.3245
65.968938 60.876 36.5071
66.446976 60.713 31.6743
66.928478 60.570 26.6636
67.413469 60.439 21.3405
67.901975 60.315 15.5587
68.394021 60.183 9.1266
68.889632 60.022 1.8712
69.388835 59.803 -6.2886
69.891655 59.513 -15.4091
70.398118 59.158 -25.6224
70.908252 58.752 -37.3400
71.422083 58.298 -51.1608
71.939636 57.777 -67.7406
72.460941 57.168 -87.3756
72.986023 56.488 -109.9957
73.514909 55.813 -134.4266
74.047629 55.290 -158.5120
74.584208 55.111 -179.6380
75.124676 55.439 163.3972
75.669061 56.275 149.8335
76.217390 57.431 137.8019
76.769692 58.681 126.0023
77.325997 59.867 113.9075
77.886333 60.907 101.3866
78.450730 61.742 88.4354
79.019216 62.323 75.1954
79.591822 62.622 62.1821
80.168577 62.664 50.0750
80.749512 62.541 39.4786
81.334656 62.395 30.5140
81.924040 62.340 22.4698
82.517696 62.391 14.3329
83.115653 62.474 5.4478
83.717943 62.494 -4.2657
84.324598 62.377 -14.4966
84.935649 62.084 -24.7220
85.551128 61.623 -34.2698
86.171066 61.066 -42.5373
86.795497 60.536 -49.4247
87.424453 60.137 -55.5593
88.057967 59.896 -61.8049
88.696071 59.767 -68.7562
89.338800 59.675 -76.8259
89.986185 59.504 -86.3154
90.638262 59.105 -97.0716
91.295065 58.330 -108.1725
91.956626 57.087 -117.8899
92.622982 55.407 -123.5200
93.294166 53.647 -120.6264
93.970214 52.878 -105.4237
94.651161 53.956 -89.9836
95.337042 55.880 -87.7498
96.027894 57.553 -94.6684
96.723752 58.665 -105.1748
97.424652 59.262 -116.0446
98.130631 59.502 -125.6708
98.841726 59.545 -133.6606
99.557974 59.500 -140.1818
100.279412 59.448 -145.1509
101.006078 59.517 -148.4104
101.738010 59.822 -150.8385
102.475245 60.320 -154.2424
103.217823 60.818 -159.4546
103.965782 61.159 -165.6208
104.719161 61.338 -171.2156
105.477999 61.494 -175.1626
106.242336 61.817 -177.7341
107.012212 62.374 179.4436
107.787666 63.056 174.9561
108.568740 63.700 168.6488
109.355474 64.202 161.1057
110.147909 64.523 152.9915
110.946086 64.673 144.9200
111.750047 64.700 137.2126
112.559834 64.642 129.6584
113.375489 64.488 121.9534
114.197055 64.209 114.1150
115.024574 63.780 106.2070
115.858089 63.168 98.3157
116.697645 62.340 90.9241
117.543284 61.311 84.6343
118.395051 60.115 79.6277
119.252990 58.774 76.2474
120.117147 57.339 75.2239
120.987565 55.903 76.3502
121.864291 54.499 79.0540
122.747370 53.151 84.5293
123.636848 52.098 94.5963
124.532771 51.885 110.1829
125.435187 52.898 126.7557
126.344142 54.595 134.1548
127.259684 56.188 132.3013
128.181860 57.341 125.5364
129.110718 57.966 115.8743
130.046308 57.980 104.2750
130.988677 57.306 92.0023
131.937875 55.911 80.0898
132.893951 53.970 69.0037
133.856956 52.915 63.3212
134.826938 55.040 -147.9922
135.803950 58.387 -160.3176
136.788041 61.055 -177.7750
137.779264 62.740 163.4185
138.777669 63.526 145.5450
139.783309 63.634 130.6436
140.796237 63.335 119.1453
141.816504 62.781 109.8645
142.844165 61.991 102.6711
143.879273 61.058 99.2646
144.921881 60.281 100.2477
145.972045 59.929 102.6768
147.029819 59.957 103.7081
148.095257 60.174 103.2463
149.168417 60.486 101.9867
150.249353 60.893 100.0833
151.338121 61.357 96.3433
152.434780 61.739 90.1517
153.539385 61.933 82.2242
154.651995 61.887 72.7689
155.772667 61.517 61.7368
156.901460 60.739 49.8190
158.038432 59.542 38.0659
159.183644 58.057 27.0203
160.337154 56.663 15.0225
161.499023 55.995 -3.7981
162.669312 56.462 -35.3049
163.848081 57.769 -74.8845
165.035392 59.283 -110.2498
166.231306 60.577 -137.4248
167.435887 61.528 -157.8348
168.649196 62.160 -173.0978
169.871298 62.563 175.8340
171.102255 62.889 168.5494
172.342133 63.324 164.4812
173.590995 63.941 161.3501
174.848907 64.592 156.9366
176.115934 65.133 152.0010
177.392143 65.651 148.7654
