* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -38.2 dBFS, measurement signal peak level -30.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:34:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0121 ms (-4.1 mm, -0.16 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: abs-fr-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 18.548 16.0373
10.166832 18.513 10.2863
10.240505 18.469 3.9745
10.314712 18.423 -2.6100
10.389457 18.367 -9.2030
10.464743 18.264 -15.7466
10.540575 18.082 -23.0842
10.616956 17.854 -31.1499
10.693891 17.603 -39.5990
10.771383 17.345 -48.0833
10.849437 17.060 -57.3702
10.928057 16.755 -68.0347
11.007246 16.486 -79.5995
11.087009 16.314 -91.4195
11.167350 16.270 -103.7119
11.248273 16.335 -117.4102
11.329783 16.503 -131.4446
11.411883 16.780 -144.6952
11.494578 17.185 -157.0867
11.577873 17.725 -169.5613
11.661771 18.341 178.7188
11.746277 18.965 168.2965
11.831395 19.563 158.8777
11.917130 20.158 149.5191
12.003487 20.737 140.6791
12.090469 21.272 132.6945
12.178081 21.747 125.2834
12.266329 22.172 117.7564
12.355216 22.546 110.5021
12.444747 22.866 103.8571
12.534926 23.130 97.4699
12.625760 23.337 90.9371
12.717251 23.489 84.6198
12.809406 23.587 78.8381
12.902228 23.629 73.0843
12.995723 23.613 67.2843
13.089895 23.543 61.7655
13.184750 23.417 56.7094
13.280292 23.234 51.6513
13.376526 22.995 46.7127
13.473458 22.703 42.2130
13.571093 22.353 38.0948
13.669434 21.951 34.1955
13.768489 21.508 30.6519
13.868261 21.026 27.7185
13.968756 20.502 25.3969
14.069979 19.975 23.5984
14.171936 19.480 22.3430
14.274632 19.008 22.0337
14.378072 18.598 22.4429
14.482261 18.316 23.0746
14.587206 18.184 24.1445
14.692910 18.186 25.4879
14.799381 18.309 26.3854
14.906624 18.561 26.6797
15.014643 18.922 26.5551
15.123446 19.329 25.7268
15.233036 19.752 24.0974
15.343421 20.196 21.9072
15.454606 20.631 19.2505
15.566596 21.040 16.0997
15.679398 21.427 12.5219
15.793018 21.786 8.7431
15.907460 22.112 4.7521
16.022732 22.407 0.4962
16.138840 22.669 -3.7577
16.255788 22.897 -8.0441
16.373585 23.091 -12.4406
16.492234 23.248 -16.6530
16.611744 23.369 -20.7803
16.732119 23.451 -24.8361
16.853367 23.495 -28.5186
16.975494 23.498 -31.9738
17.098505 23.466 -35.1154
17.222408 23.405 -37.6735
17.347209 23.313 -39.7526
17.472914 23.219 -41.2439
17.599530 23.141 -41.9581
17.727063 23.092 -41.9467
17.855521 23.128 -41.3790
17.984909 23.268 -40.1332
18.115235 23.521 -38.5831
18.246506 23.905 -37.2021
18.378727 24.412 -35.8844
18.511907 24.987 -35.1553
18.646052 25.610 -35.0677
18.781169 26.249 -35.4922
18.917265 26.853 -36.5264
19.054347 27.417 -38.0537
19.192423 27.916 -39.7924
19.331499 28.340 -41.8185
19.471583 28.688 -43.8890
19.612682 28.959 -45.7446
19.754804 29.157 -47.5095
19.897956 29.305 -48.7623
20.042144 29.409 -49.5482
20.187378 29.512 -49.7839
20.333664 29.647 -49.3039
20.481010 29.843 -48.3373
20.629424 30.150 -47.0907
20.778913 30.569 -45.6619
20.929486 31.090 -44.7125
21.081150 31.703 -44.1348
21.233912 32.350 -44.3474
21.387782 33.005 -45.2838
21.542767 33.629 -46.8340
21.698874 34.192 -49.0380
21.856113 34.682 -51.5940
22.014492 35.082 -54.4451
22.174018 35.391 -57.4373
22.334700 35.607 -60.3008
22.496546 35.735 -63.0684
22.659566 35.789 -65.3399
22.823766 35.783 -67.2070
22.989157 35.754 -68.3453
23.155745 35.727 -68.8102
23.323542 35.758 -68.6091
23.492554 35.870 -67.8074
23.662790 36.099 -66.8459
23.834261 36.442 -65.8121
24.006973 36.874 -65.2231
24.180938 37.369 -65.0336
24.356163 37.877 -65.4268
24.532658 38.378 -66.2343
24.710431 38.844 -67.3384
24.889493 39.276 -68.5751
25.069853 39.675 -69.7367
25.251519 40.065 -70.7510
25.434502 40.468 -71.4763
25.618811 40.917 -72.0590
25.804456 41.435 -72.4735
25.991445 42.032 -73.1373
26.179790 42.705 -74.0558
26.369500 43.426 -75.6594
26.560584 44.171 -77.8579
26.753053 44.901 -80.8396
26.946917 45.590 -84.4306
27.142185 46.217 -88.6487
27.338869 46.764 -93.2642
27.536977 47.222 -98.2766
27.736522 47.586 -103.4435
27.937512 47.856 -108.7219
28.139959 48.033 -114.0070
28.343872 48.122 -119.1243
28.549264 48.130 -124.1067
28.756143 48.067 -128.7556
28.964522 47.942 -133.1102
29.174411 47.767 -137.0948
29.385821 47.553 -140.7031
29.598763 47.304 -143.9379
29.813248 47.029 -146.7955
30.029287 46.726 -149.2659
30.246891 46.398 -151.3129
30.466073 46.047 -152.8513
30.686842 45.683 -153.7721
30.909212 45.326 -153.9459
31.133193 45.017 -153.2794
31.358797 44.805 -151.8441
31.586035 44.734 -149.7807
31.814921 44.840 -147.5996
32.045465 45.106 -145.7479
32.277680 45.499 -144.5527
32.511577 45.953 -144.2562
32.747169 46.416 -144.7538
32.984469 46.854 -145.9022
33.223488 47.245 -147.4924
33.464239 47.588 -149.2736
33.706735 47.895 -151.1263
33.950987 48.180 -152.9473
34.197010 48.467 -154.7194
34.444816 48.767 -156.5405
34.694417 49.085 -158.5062
34.945827 49.415 -160.7418
35.199059 49.740 -163.3683
35.454126 50.037 -166.3912
35.711041 50.285 -169.7805
35.969818 50.465 -173.4754
36.230470 50.562 -177.3135
36.493011 50.570 178.8672
36.757455 50.491 175.2084
37.023814 50.331 171.8618
37.292104 50.108 168.9858
37.562338 49.842 166.6743
37.834530 49.558 164.9521
38.108695 49.279 163.8066
38.384846 49.021 163.1797
38.662999 48.797 162.9794
38.943167 48.609 163.1188
39.225365 48.459 163.5561
39.509608 48.345 164.2806
39.795911 48.267 165.3158
40.084289 48.231 166.7275
40.374756 48.250 168.6286
40.667328 48.358 171.1705
40.962020 48.616 174.4243
41.258848 49.096 178.1640
41.557827 49.843 -178.2507
41.858972 50.834 -175.6880
42.162299 51.985 -174.8318
42.467824 53.183 -175.9255
42.775564 54.334 -178.8291
43.085533 55.374 176.7925
43.397749 56.270 171.3205
43.712227 57.011 165.1080
44.028983 57.598 158.4473
44.348036 58.038 151.5636
44.669400 58.341 144.6293
44.993093 58.517 137.7821
45.319131 58.578 131.1422
45.647532 58.535 124.8281
45.978313 58.403 118.9617
46.311491 58.204 113.6560
46.647083 57.966 108.9842
46.985107 57.723 104.9390
47.325581 57.504 101.4117
47.668521 57.327 98.2243
48.013947 57.190 95.2152
48.361876 57.084 92.3226
48.712326 57.007 89.5958
49.065315 56.973 87.1114
49.420863 57.013 84.8423
49.778987 57.153 82.5791
50.139706 57.399 79.9944
50.503039 57.727 76.8136
50.869005 58.104 72.9276
51.237623 58.511 68.3589
51.608912 58.945 63.1166
51.982891 59.414 57.0677
52.359580 59.905 49.9365
52.739000 60.380 41.4360
53.121168 60.780 31.4214
53.506106 61.039 19.9518
53.893833 61.104 7.2189
54.284370 60.937 -6.4928
54.677737 60.518 -20.8367
55.073955 59.845 -35.4508
55.473043 58.931 -49.9838
55.875024 57.812 -64.1298
56.279917 56.540 -77.6764
56.687745 55.197 -90.5046
57.098527 53.882 -102.6779
57.512287 52.710 -114.4470
57.929045 51.784 -126.1370
58.348822 51.184 -138.0138
58.771642 50.939 -150.2974
59.197525 51.022 -163.0834
59.626495 51.353 -176.3397
60.058573 51.832 170.0500
60.493782 52.359 156.2450
60.932145 52.858 142.4226
61.373685 53.273 128.6875
61.818424 53.567 115.1814
62.266386 53.713 102.0947
62.717593 53.703 89.5743
63.172071 53.548 77.8472
63.629842 53.284 67.1372
64.090930 52.967 57.4861
64.555359 52.661 48.7323
65.023154 52.410 40.5098
65.494339 52.224 32.4465
65.968938 52.093 24.3154
66.446976 52.009 16.0942
66.928478 51.988 7.8181
67.413469 52.057 -0.5770
67.901975 52.235 -9.2778
68.394021 52.514 -18.4890
68.889632 52.871 -28.2428
69.388835 53.288 -38.3846
69.891655 53.771 -48.7084
70.398118 54.340 -59.1307
70.908252 55.001 -69.7878
71.422083 55.722 -80.9487
71.939636 56.437 -92.7284
72.460941 57.079 -104.9558
72.986023 57.611 -117.2606
73.514909 58.042 -129.1824
74.047629 58.415 -140.4825
74.584208 58.783 -151.2234
75.124676 59.168 -161.7943
75.669061 59.549 -172.6553
76.217390 59.866 175.8867
76.769692 60.057 163.7759
77.325997 60.067 151.0494
77.886333 59.850 137.8223
78.450730 59.350 124.1305
79.019216 58.494 110.0269
79.591822 57.180 95.7880
80.168577 55.280 81.8741
80.749512 52.676 69.2911
81.334656 49.552 61.8743
81.924040 47.870 177.2179
82.517696 49.700 -159.2236
83.115653 52.596 -165.4595
83.717943 55.094 -173.7252
84.324598 57.103 176.8883
84.935649 58.677 166.5012
85.551128 59.850 155.3971
86.171066 60.647 144.1028
86.795497 61.117 133.3256
87.424453 61.353 123.7163
88.057967 61.475 115.4569
88.696071 61.577 108.1169
89.338800 61.688 101.0964
89.986185 61.801 94.1903
90.638262 61.939 87.4480
91.295065 62.147 80.4791
91.956626 62.401 72.2544
92.622982 62.561 61.9120
93.294166 62.436 49.5431
93.970214 61.867 36.1733
94.651161 60.770 23.4412
95.337042 59.159 13.4097
96.027894 57.191 8.2009
96.723752 55.200 8.5089
97.424652 53.579 11.7058
98.130631 52.458 14.1738
98.841726 51.648 15.0194
99.557974 50.933 14.8643
100.279412 50.180 14.1965
101.006078 49.327 14.0674
101.738010 48.470 16.2800
102.475245 47.865 20.3973
103.217823 47.574 22.6226
103.965782 47.308 21.5486
104.719161 46.819 19.3177
105.477999 46.113 18.2173
106.242336 45.385 19.0405
107.012212 44.876 20.4146
107.787666 44.670 19.4956
108.568740 44.643 14.2166
109.355474 44.620 3.4448
110.147909 44.460 -13.7864
110.946086 44.139 -37.8251
111.750047 43.892 -67.3204
112.559834 44.168 -97.4530
113.375489 45.194 -122.2366
114.197055 46.741 -140.4399
115.024574 48.460 -154.2975
115.858089 50.092 -166.1584
116.697645 51.500 -177.0081
117.543284 52.661 173.2662
118.395051 53.619 164.8052
119.252990 54.422 157.4625
120.117147 55.119 151.2493
120.987565 55.793 146.3397
121.864291 56.528 142.2739
122.747370 57.330 138.0520
123.636848 58.145 133.1382
124.532771 58.906 127.3939
125.435187 59.549 120.7889
126.344142 60.035 113.9316
127.259684 60.415 107.7068
128.181860 60.783 102.1711
129.110718 61.188 96.6924
130.046308 61.637 90.9474
130.988677 62.115 84.4794
131.937875 62.540 76.4486
132.893951 62.786 66.8994
133.856956 62.810 56.9265
134.826938 62.683 47.1918
135.803950 62.479 36.8762
136.788041 62.128 24.5111
137.779264 61.432 9.6929
138.777669 60.206 -6.6824
139.783309 58.385 -23.9607
140.796237 56.056 -44.3412
141.816504 53.604 -77.9895
142.844165 52.234 -154.6855
143.879273 52.981 148.7817
144.921881 54.658 123.9949
145.972045 56.102 107.3459
147.029819 57.056 94.1958
148.095257 57.609 83.7874
149.168417 57.875 75.2107
150.249353 57.886 67.8079
151.338121 57.703 62.4143
152.434780 57.573 60.7319
153.539385 57.840 61.6626
154.651995 58.435 59.3074
155.772667 58.859 51.8262
156.901460 58.797 42.7939
158.038432 58.254 35.3579
159.183644 57.381 30.8899
160.337154 56.372 29.8911
161.499023 55.499 32.9507
162.669312 55.205 40.5781
163.848081 55.828 49.1411
165.035392 57.010 51.1111
166.231306 58.047 45.1741
167.435887 58.510 34.8008
168.649196 58.272 23.7344
169.871298 57.391 15.1143
171.102255 56.089 11.7029
172.342133 54.800 15.2900
173.590995 53.955 20.4417
174.848907 53.357 20.8352
176.115934 52.580 20.8787
177.392143 51.891 30.2190
178.677599 52.150 47.8894
