* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -38.4 dBFS, measurement signal peak level -30.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:38:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0022 ms (-0.74 mm, -0.03 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: abs-fr-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 7.801 9.0596
10.166832 8.672 8.3035
10.240505 9.710 7.2982
10.314712 10.769 6.0868
10.389457 11.814 4.6881
10.464743 12.775 3.1124
10.540575 13.604 1.4319
10.616956 14.354 -0.3169
10.693891 15.051 -2.1240
10.771383 15.711 -3.9922
10.849437 16.331 -5.9199
10.928057 16.905 -7.8916
11.007246 17.443 -9.9030
11.087009 17.951 -11.9596
11.167350 18.434 -14.0755
11.248273 18.887 -16.2470
11.329783 19.310 -18.4633
11.411883 19.707 -20.7269
11.494578 20.079 -23.0649
11.577873 20.426 -25.5020
11.661771 20.744 -27.9970
11.746277 21.033 -30.5261
11.831395 21.293 -33.1241
11.917130 21.523 -35.8741
12.003487 21.719 -38.6877
12.090469 21.877 -41.4887
12.178081 21.996 -44.3276
12.266329 22.075 -47.3494
12.355216 22.109 -50.4034
12.444747 22.089 -53.3379
12.534926 22.014 -56.2753
12.625760 21.885 -59.3508
12.717251 21.686 -62.3372
12.809406 21.408 -64.9931
12.902228 21.051 -67.5668
12.995723 20.609 -70.0229
13.089895 20.062 -72.0194
13.184750 19.379 -73.2225
13.280292 18.554 -73.7157
13.376526 17.668 -73.1134
13.473458 16.802 -70.7614
13.571093 15.898 -65.7677
13.669434 15.080 -57.6472
13.768489 14.685 -47.1000
13.868261 15.004 -35.9707
13.968756 15.932 -25.7698
14.069979 17.119 -18.6501
14.171936 18.306 -14.9407
14.274632 19.528 -13.4181
14.378072 20.728 -13.3949
14.482261 21.787 -14.5082
14.587206 22.680 -16.6240
14.692910 23.443 -19.2984
14.799381 24.094 -22.1525
14.906624 24.633 -25.3320
15.014643 25.063 -28.8322
15.123446 25.393 -32.1973
15.233036 25.631 -35.4404
15.343421 25.772 -38.8196
15.454606 25.827 -41.8940
15.566596 25.797 -44.5056
15.679398 25.684 -46.9355
15.793018 25.510 -48.8452
15.907460 25.280 -49.9658
16.022732 25.006 -50.4160
16.138840 24.750 -50.1081
16.255788 24.543 -48.8218
16.373585 24.401 -46.6079
16.492234 24.397 -44.0039
16.611744 24.571 -41.0679
16.732119 24.892 -38.1022
16.853367 25.320 -35.8669
16.975494 25.855 -34.2925
17.098505 26.439 -33.4124
17.222408 27.002 -33.3680
17.347209 27.541 -34.0100
17.472914 28.032 -35.0787
17.599530 28.452 -36.5267
17.727063 28.804 -38.3139
17.855521 29.088 -40.0817
17.984909 29.300 -41.9244
18.115235 29.451 -43.7163
18.246506 29.551 -45.1994
18.378727 29.604 -46.4981
18.511907 29.636 -47.4745
18.646052 29.657 -48.0356
18.781169 29.683 -48.2739
18.917265 29.743 -48.2329
19.054347 29.841 -47.8769
19.192423 29.988 -47.4807
19.331499 30.193 -47.0661
19.471583 30.442 -46.7412
19.612682 30.724 -46.7047
19.754804 31.032 -46.8851
19.897956 31.341 -47.3480
20.042144 31.646 -48.0938
20.187378 31.936 -49.0160
20.333664 32.203 -50.1033
20.481010 32.448 -51.2936
20.629424 32.671 -52.4786
20.778913 32.877 -53.6836
20.929486 33.073 -54.8189
21.081150 33.263 -55.8939
21.233912 33.456 -56.9197
21.387782 33.655 -57.8845
21.542767 33.861 -58.8342
21.698874 34.076 -59.7883
21.856113 34.295 -60.7403
22.014492 34.515 -61.7154
22.174018 34.731 -62.6681
22.334700 34.941 -63.5522
22.496546 35.147 -64.3446
22.659566 35.355 -64.9269
22.823766 35.573 -65.3182
22.989157 35.820 -65.4422
23.155745 36.108 -65.3463
23.323542 36.458 -65.1328
23.492554 36.873 -64.8526
23.662790 37.356 -64.7736
23.834261 37.896 -64.8943
24.006973 38.470 -65.4571
24.180938 39.062 -66.3736
24.356163 39.641 -67.7146
24.532658 40.198 -69.3477
24.710431 40.716 -71.1881
24.889493 41.196 -73.1135
25.069853 41.638 -74.9806
25.251519 42.059 -76.7201
25.434502 42.475 -78.2218
25.618811 42.912 -79.5616
25.804456 43.388 -80.7018
25.991445 43.920 -81.9425
26.179790 44.510 -83.2895
26.369500 45.145 -85.1239
26.560584 45.806 -87.4095
26.753053 46.463 -90.3652
26.946917 47.089 -93.8766
27.142185 47.661 -97.9930
27.338869 48.158 -102.5152
27.536977 48.569 -107.4522
27.736522 48.882 -112.5609
27.937512 49.097 -117.7909
28.139959 49.211 -123.0235
28.343872 49.232 -128.0578
28.549264 49.166 -132.9132
28.756143 49.027 -137.3577
28.964522 48.829 -141.4323
29.174411 48.589 -145.0349
29.385821 48.327 -148.2146
29.598763 48.052 -150.9799
29.813248 47.773 -153.4159
30.029287 47.489 -155.5723
30.246891 47.194 -157.4639
30.466073 46.878 -159.0623
30.686842 46.538 -160.2358
30.909212 46.177 -160.8510
31.133193 45.821 -160.6701
31.358797 45.515 -159.6042
31.586035 45.312 -157.5962
31.814921 45.282 -154.9394
32.045465 45.451 -152.1008
32.277680 45.820 -149.5483
32.511577 46.343 -147.7977
32.747169 46.958 -147.0185
32.984469 47.619 -147.2002
33.223488 48.283 -148.2670
33.464239 48.923 -150.0760
33.706735 49.526 -152.4859
33.950987 50.083 -155.3905
34.197010 50.588 -158.6757
34.444816 51.039 -162.2367
34.694417 51.438 -166.0028
34.945827 51.789 -169.9076
35.199059 52.098 -173.8884
35.454126 52.372 -177.9445
35.711041 52.616 177.9082
35.969818 52.830 173.6346
36.230470 53.009 169.1931
36.493011 53.140 164.5829
36.757455 53.211 159.8390
37.023814 53.209 155.0282
37.292104 53.124 150.2999
37.562338 52.961 145.8766
37.834530 52.735 141.9344
38.108695 52.480 138.6136
38.384846 52.240 135.9827
38.662999 52.068 133.9418
38.943167 52.000 132.1428
39.225365 52.041 130.1855
39.509608 52.165 127.7621
39.795911 52.330 124.7171
40.084289 52.498 121.0508
40.374756 52.646 116.8735
40.667328 52.771 112.3232
40.962020 52.882 107.4573
41.258848 52.996 102.2152
41.557827 53.117 96.4500
41.858972 53.240 89.9810
42.162299 53.343 82.6505
42.467824 53.399 74.3652
42.775564 53.375 65.1112
43.085533 53.250 54.9448
43.397749 53.009 43.9707
43.712227 52.651 32.3214
44.028983 52.188 20.1245
44.348036 51.642 7.4954
44.669400 51.049 -5.4513
44.993093 50.449 -18.5825
45.319131 49.887 -31.7268
45.647532 49.399 -44.6526
45.978313 49.013 -57.0713
46.311491 48.741 -68.6696
46.647083 48.590 -79.1726
46.985107 48.567 -88.4178
47.325581 48.673 -96.4117
47.668521 48.898 -103.3226
48.013947 49.216 -109.3823
48.361876 49.590 -114.7361
48.712326 49.991 -119.3497
49.065315 50.429 -123.0583
49.420863 50.951 -125.7630
49.778987 51.620 -127.6656
50.139706 52.468 -129.3208
50.503039 53.470 -131.3606
50.869005 54.568 -134.1572
51.237623 55.714 -137.7570
51.608912 56.890 -142.0951
51.982891 58.095 -147.2377
52.359580 59.312 -153.4359
52.739000 60.496 -160.9756
53.121168 61.579 -169.9827
53.506106 62.491 179.6550
53.893833 63.177 168.2143
54.284370 63.601 156.0670
54.677737 63.743 143.6486
55.073955 63.598 131.4197
55.473043 63.179 119.8444
55.875024 62.512 109.3599
56.279917 61.644 100.3256
56.687745 60.636 93.0193
57.098527 59.563 87.5284
57.512287 58.492 83.7394
57.929045 57.479 81.4595
58.348822 56.570 80.5242
58.771642 55.814 80.7033
59.197525 55.257 81.6019
59.626495 54.917 82.6628
60.058573 54.770 83.3661
60.493782 54.767 83.3900
60.932145 54.853 82.6165
61.373685 54.986 81.0129
61.818424 55.124 78.5863
62.266386 55.229 75.4217
62.717593 55.275 71.6732
63.172071 55.248 67.5287
63.629842 55.143 63.1537
64.090930 54.962 58.6597
64.555359 54.708 54.1760
65.023154 54.394 49.8571
65.494339 54.050 45.7986
65.968938 53.716 41.9075
66.446976 53.417 37.8560
66.928478 53.146 33.2170
67.413469 52.862 27.7345
67.901975 52.522 21.4082
68.394021 52.107 14.3401
68.889632 51.622 6.4773
69.388835 51.080 -2.4305
69.891655 50.487 -12.7965
70.398118 49.850 -25.0914
70.908252 49.194 -39.9543
71.422083 48.564 -58.1190
71.939636 47.991 -80.2850
72.460941 47.450 -106.2095
72.986023 46.829 -134.7075
73.514909 45.935 -163.5996
74.047629 44.557 168.5094
74.584208 42.695 141.5620
75.124676 41.554 104.0000
75.669061 43.216 -66.7994
76.217390 46.360 -88.9637
76.769692 49.281 -105.2559
77.325997 51.716 -119.2297
77.886333 53.758 -131.8694
78.450730 55.497 -143.8076
79.019216 56.984 -155.4921
79.591822 58.232 -167.2175
80.168577 59.233 -179.0391
80.749512 59.987 169.2057
81.334656 60.513 157.8083
81.924040 60.848 146.9156
82.517696 61.015 136.3987
83.115653 61.000 126.0330
83.717943 60.751 115.8018
84.324598 60.204 106.1343
84.935649 59.320 97.9283
85.551128 58.123 92.6998
86.171066 56.806 92.7363
86.795497 55.870 99.6221
87.424453 55.889 109.4224
88.057967 56.754 115.3411
88.696071 57.944 116.5344
89.338800 59.192 114.9436
89.986185 60.430 111.2147
90.638262 61.584 105.0582
91.295065 62.552 96.4862
91.956626 63.252 85.8545
92.622982 63.608 73.4707
93.294166 63.525 59.7253
93.970214 62.890 45.5464
94.651161 61.624 32.7047
95.337042 59.746 23.9075
96.027894 57.463 22.3522
96.723752 55.270 29.3329
97.424652 53.840 41.1968
98.130631 53.521 52.3789
98.841726 54.051 59.8944
99.557974 54.975 63.3591
100.279412 55.981 63.1694
101.006078 56.861 59.7172
101.738010 57.473 53.8723
102.475245 57.757 46.9125
103.217823 57.727 40.0203
103.965782 57.452 34.0663
104.719161 57.046 29.6295
105.477999 56.662 26.8784
106.242336 56.456 25.0497
107.012212 56.464 22.4308
107.787666 56.561 17.8265
108.568740 56.585 11.4232
109.355474 56.458 3.9647
110.147909 56.170 -4.0731
110.946086 55.743 -12.5325
111.750047 55.208 -21.6025
112.559834 54.566 -31.7678
113.375489 53.793 -43.2556
114.197055 52.908 -55.9797
115.024574 52.013 -70.4045
115.858089 51.214 -87.5516
116.697645 50.559 -107.4509
117.543284 50.119 -128.4120
118.395051 49.983 -148.2389
119.252990 50.142 -165.2979
120.117147 50.544 -178.5922
120.987565 51.204 171.9460
121.864291 52.129 164.9532
122.747370 53.223 158.6047
123.636848 54.340 151.8712
124.532771 55.370 144.5608
125.435187 56.239 136.7981
126.344142 56.919 129.0643
127.259684 57.433 121.9039
128.181860 57.818 115.3241
129.110718 58.085 109.3013
130.046308 58.276 104.2957
130.988677 58.476 100.3466
131.937875 58.729 96.6366
132.893951 58.986 92.3496
133.856956 59.154 87.3810
134.826938 59.173 82.3995
135.803950 59.077 78.5624
136.788041 58.990 76.2959
137.779264 58.995 74.4821
138.777669 59.046 72.2220
139.783309 59.088 69.9733
140.796237 59.144 68.3361
141.816504 59.253 66.8419
142.844165 59.368 64.5867
143.879273 59.387 61.7075
144.921881 59.277 59.3860
145.972045 59.157 59.2501
147.029819 59.295 61.8075
148.095257 59.876 64.8229
149.168417 60.801 65.5454
150.249353 61.833 63.2159
151.338121 62.803 58.4319
152.434780 63.646 51.9860
153.539385 64.338 44.1628
154.651995 64.840 34.8739
155.772667 65.086 24.3173
156.901460 65.025 13.0179
158.038432 64.629 1.7832
159.183644 63.935 -8.3239
160.337154 63.069 -16.5677
161.499023 62.202 -23.6340
162.669312 61.397 -31.7369
163.848081 60.500 -42.5797
165.035392 59.234 -56.3247
166.231306 57.332 -71.9634
167.435887 54.603 -88.0190
168.649196 51.096 -103.2837
169.871298 48.057 76.6635
171.102255 48.195 61.3284
172.342133 50.081 51.9731
173.590995 51.607 42.2617
