* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -36.7 dBFS, measurement signal peak level -25.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:07:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9318 ms (-320 mm, -(1 ft 0.58 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 15.702 161.3029
10.166832 15.181 166.6553
10.240505 14.540 174.6593
10.314712 13.885 -174.3384
10.389457 13.313 -161.1245
10.464743 13.212 -147.8750
10.540575 13.909 -135.8426
10.616956 15.017 -126.5045
10.693891 16.196 -120.0052
10.771383 17.211 -115.7809
10.849437 18.068 -113.2890
10.928057 18.842 -111.9208
11.007246 19.495 -111.1113
11.087009 19.973 -110.4360
11.167350 20.248 -109.9407
11.248273 20.339 -109.9105
11.329783 20.250 -109.6868
11.411883 19.965 -108.5242
11.494578 19.390 -105.9076
11.577873 18.452 -102.1145
11.661771 17.483 -95.5535
11.746277 16.987 -83.7849
11.831395 17.364 -65.4099
11.917130 18.503 -43.9459
12.003487 20.075 -26.5786
12.090469 21.804 -16.2949
12.178081 23.613 -11.0000
12.266329 25.569 -8.0225
12.355216 27.506 -6.8589
12.444747 29.244 -7.1476
12.534926 30.727 -8.2916
12.625760 32.032 -9.7853
12.717251 33.211 -11.6348
12.809406 34.299 -13.8677
12.902228 35.287 -16.3568
12.995723 36.178 -18.9628
13.089895 36.992 -21.6537
13.184750 37.740 -24.4734
13.280292 38.415 -27.4344
13.376526 39.023 -30.4218
13.473458 39.575 -33.3828
13.571093 40.070 -36.4496
13.669434 40.507 -39.5820
13.768489 40.891 -42.6636
13.868261 41.227 -45.7156
13.968756 41.510 -48.8729
14.069979 41.743 -52.0080
14.171936 41.929 -55.0382
14.274632 42.066 -58.1456
14.378072 42.154 -61.2661
14.482261 42.192 -64.2697
14.587206 42.180 -67.2844
14.692910 42.115 -70.3345
14.799381 41.995 -73.2768
14.906624 41.817 -76.1533
15.014643 41.578 -79.0630
15.123446 41.269 -81.8502
15.233036 40.886 -84.4814
15.343421 40.424 -87.0831
15.454606 39.864 -89.4714
15.566596 39.194 -91.5174
15.679398 38.409 -93.2893
15.793018 37.470 -94.4984
15.907460 36.323 -94.7547
16.022732 34.994 -93.7012
16.138840 33.601 -90.4879
16.255788 32.132 -83.4898
16.373585 30.760 -70.5829
16.492234 30.167 -52.3009
16.611744 30.808 -33.5536
16.732119 32.190 -20.1095
16.853367 33.660 -12.9989
16.975494 35.120 -9.9287
17.098505 36.498 -9.2181
17.222408 37.644 -10.0341
17.347209 38.566 -11.9939
17.472914 39.320 -14.4650
17.599530 39.928 -17.3353
17.727063 40.391 -20.6512
17.855521 40.732 -23.9069
17.984909 40.956 -27.3411
18.115235 41.071 -30.8045
18.246506 41.088 -33.9504
18.378727 41.008 -37.0688
18.511907 40.848 -39.8282
18.646052 40.613 -42.1243
18.781169 40.322 -44.0230
18.917265 40.005 -45.2784
19.054347 39.672 -45.8301
19.192423 39.378 -45.8288
19.331499 39.152 -45.1263
19.471583 39.016 -43.9638
19.612682 39.010 -42.7565
19.754804 39.127 -41.4626
19.897956 39.341 -40.6291
20.042144 39.644 -40.2530
20.187378 39.992 -40.3981
20.333664 40.357 -41.1346
20.481010 40.725 -42.2968
20.629424 41.076 -43.7841
20.778913 41.409 -45.5616
20.929486 41.725 -47.4187
21.081150 42.025 -49.3769
21.233912 42.319 -51.3211
21.387782 42.612 -53.2259
21.542767 42.910 -55.1076
21.698874 43.220 -56.9411
21.856113 43.539 -58.7652
22.014492 43.870 -60.6069
22.174018 44.206 -62.4571
22.334700 44.542 -64.3477
22.496546 44.873 -66.2484
22.659566 45.192 -68.1321
22.823766 45.499 -69.9872
22.989157 45.790 -71.7294
23.155745 46.068 -73.3705
23.323542 46.339 -74.8228
23.492554 46.605 -76.1069
23.662790 46.877 -77.1813
23.834261 47.158 -78.0663
24.006973 47.458 -78.7761
24.180938 47.781 -79.3294
24.356163 48.131 -79.7694
24.532658 48.513 -80.1198
24.710431 48.931 -80.4284
24.889493 49.388 -80.7462
25.069853 49.888 -81.1207
25.251519 50.431 -81.6649
25.434502 51.017 -82.4055
25.618811 51.638 -83.5169
25.804456 52.284 -84.9749
25.991445 52.939 -86.9395
26.179790 53.589 -89.3334
26.369500 54.215 -92.2280
26.560584 54.807 -95.5179
26.753053 55.349 -99.1929
26.946917 55.837 -103.1210
27.142185 56.265 -107.2924
27.338869 56.634 -111.5353
27.536977 56.946 -115.8726
27.736522 57.208 -120.1545
27.937512 57.428 -124.4096
28.139959 57.613 -128.5904
28.343872 57.771 -132.7201
28.549264 57.906 -136.8318
28.756143 58.017 -140.9703
28.964522 58.098 -145.1599
29.174411 58.139 -149.4608
29.385821 58.124 -153.7923
29.598763 58.040 -158.1580
29.813248 57.871 -162.4165
30.029287 57.609 -166.3666
30.246891 57.252 -169.8945
30.466073 56.812 -172.6132
30.686842 56.323 -174.3585
30.909212 55.833 -174.8373
31.133193 55.430 -174.0603
31.358797 55.188 -172.3203
31.586035 55.157 -170.0500
31.814921 55.329 -168.1170
32.045465 55.643 -166.8748
32.277680 56.034 -166.5039
32.511577 56.434 -166.9026
32.747169 56.820 -167.7991
32.984469 57.184 -169.0247
33.223488 57.539 -170.3980
33.464239 57.902 -171.9171
33.706735 58.280 -173.6401
33.950987 58.674 -175.6405
34.197010 59.070 -178.0385
34.444816 59.450 179.1671
34.694417 59.800 176.0109
34.945827 60.106 172.5506
35.199059 60.365 168.9070
35.454126 60.580 165.1447
35.711041 60.755 161.2939
35.969818 60.896 157.3627
36.230470 61.002 153.3260
36.493011 61.065 149.1665
36.757455 61.074 144.8983
37.023814 61.014 140.5637
37.292104 60.876 136.2813
37.562338 60.654 132.2487
37.834530 60.359 128.6349
38.108695 60.014 125.5901
38.384846 59.649 123.2217
38.662999 59.308 121.5150
38.943167 59.024 120.2558
39.225365 58.808 119.1587
39.509608 58.649 117.9732
39.795911 58.516 116.5486
40.084289 58.376 114.8715
40.374756 58.200 113.0608
40.667328 57.977 111.3245
40.962020 57.711 109.8808
41.258848 57.420 108.9051
41.557827 57.137 108.5113
41.858972 56.899 108.7169
42.162299 56.748 109.4068
42.467824 56.714 110.3194
42.775564 56.807 111.0887
43.085533 57.009 111.3473
43.397749 57.277 110.8427
43.712227 57.560 109.4986
44.028983 57.814 107.3987
44.348036 58.006 104.7173
44.669400 58.120 101.6556
44.993093 58.150 98.4022
45.319131 58.097 95.1165
45.647532 57.967 91.9317
45.978313 57.767 88.9648
46.311491 57.508 86.3232
46.647083 57.208 84.0953
46.985107 56.889 82.3225
47.325581 56.575 80.9680
47.668521 56.281 79.9106
48.013947 56.014 78.9904
48.361876 55.761 78.0898
48.712326 55.508 77.1976
49.065315 55.244 76.4061
49.420863 54.974 75.8370
49.778987 54.718 75.5360
50.139706 54.494 75.4023
50.503039 54.308 75.2246
50.869005 54.138 74.8122
51.237623 53.951 74.1465
51.608912 53.715 73.3818
51.982891 53.424 72.8540
52.359580 53.101 72.8251
52.739000 52.786 73.3586
53.121168 52.513 74.2575
53.506106 52.281 75.2274
53.893833 52.064 76.1420
54.284370 51.834 77.1593
54.677737 51.596 78.5940
55.073955 51.386 80.6106
55.473043 51.243 83.0057
55.875024 51.163 85.3695
56.279917 51.099 87.5381
56.687745 51.009 89.8802
57.098527 50.916 93.2060
57.512287 50.942 98.1692
57.929045 51.264 104.6362
58.348822 51.987 111.2992
58.771642 53.063 116.5488
59.197525 54.348 119.5282
59.626495 55.712 120.1540
60.058573 57.061 118.6256
60.493782 58.325 115.1404
60.932145 59.448 109.9536
61.373685 60.385 103.4090
61.818424 61.109 95.9230
62.266386 61.608 87.9751
62.717593 61.895 79.9768
63.172071 61.999 72.3060
63.629842 61.966 65.2300
64.090930 61.844 58.8132
64.555359 61.675 52.9912
65.023154 61.489 47.6209
65.494339 61.305 42.5631
65.968938 61.137 37.6787
66.446976 60.996 32.8047
66.928478 60.885 27.7149
67.413469 60.792 22.1805
67.901975 60.694 16.0542
68.394021 60.570 9.2759
68.889632 60.407 1.8055
69.388835 60.200 -6.4404
69.891655 59.949 -15.6709
70.398118 59.646 -26.1817
70.908252 59.277 -38.3614
71.422083 58.825 -52.5636
71.939636 58.282 -69.1981
72.460941 57.665 -88.4610
72.986023 57.031 -110.3870
73.514909 56.469 -134.1397
74.047629 56.084 -157.9925
74.584208 55.961 -179.7027
75.124676 56.164 162.2268
75.669061 56.722 147.8626
76.217390 57.603 136.0665
76.769692 58.692 125.2736
77.325997 59.837 114.2751
77.886333 60.891 102.4750
78.450730 61.749 89.8790
79.019216 62.340 76.8172
79.591822 62.643 63.9795
80.168577 62.696 52.0938
80.749512 62.600 41.7074
81.334656 62.494 32.8224
81.924040 62.475 24.6824
82.517696 62.542 16.3681
83.115653 62.621 7.3647
83.717943 62.631 -2.3351
84.324598 62.515 -12.4407
84.935649 62.245 -22.5059
85.551128 61.837 -31.9832
86.171066 61.357 -40.4496
86.795497 60.900 -47.9640
87.424453 60.530 -55.0704
88.057967 60.248 -62.2421
88.696071 60.040 -69.6783
89.338800 59.895 -77.7603
89.986185 59.746 -87.1808
90.638262 59.444 -98.2976
91.295065 58.818 -110.6804
91.956626 57.730 -123.4106
92.622982 56.081 -135.3455
93.294166 53.901 -143.4221
93.970214 52.196 -127.4904
94.651161 53.261 -66.6842
95.337042 55.893 -65.1263
96.027894 58.001 -78.7354
96.723752 59.269 -94.4081
97.424652 59.877 -108.8850
98.130631 60.058 -121.0574
98.841726 60.007 -130.8801
99.557974 59.852 -138.6798
100.279412 59.690 -144.6157
101.006078 59.629 -148.8195
101.738010 59.762 -152.0216
102.475245 60.072 -155.5990
103.217823 60.417 -160.4278
103.965782 60.651 -166.0184
104.719161 60.753 -170.9855
105.477999 60.866 -174.1033
106.242336 61.210 -175.5854
107.012212 61.863 -177.4788
107.787666 62.672 178.4101
108.568740 63.432 172.0390
109.355474 64.026 164.2658
110.147909 64.424 155.8676
110.946086 64.637 147.4288
111.750047 64.706 139.2410
112.559834 64.655 131.1432
113.375489 64.467 122.9593
114.197055 64.119 114.8891
115.024574 63.607 107.1501
115.858089 62.931 99.8008
116.697645 62.085 93.1447
117.543284 61.091 87.5492
118.395051 59.975 82.9671
119.252990 58.735 79.7632
120.117147 57.423 79.0187
120.987565 56.170 80.4343
121.864291 55.006 82.3219
122.747370 53.834 85.2787
123.636848 52.723 92.0801
124.532771 52.114 104.6979
125.435187 52.580 120.9791
126.344142 53.978 131.4963
127.259684 55.541 132.5141
128.181860 56.781 127.5397
129.110718 57.533 119.0865
130.046308 57.712 108.4999
130.988677 57.271 97.0427
131.937875 56.191 85.2308
132.893951 54.557 72.6226
133.856956 53.364 57.7570
134.826938 55.014 -128.5359
135.803950 58.391 -149.4449
136.788041 61.263 -169.3448
137.779264 63.130 169.9263
138.777669 64.040 150.1566
139.783309 64.192 133.2578
140.796237 63.841 119.9444
141.816504 63.165 109.4947
142.844165 62.224 101.7361
143.879273 61.132 98.0756
144.921881 60.188 99.2028
145.972045 59.698 102.3459
147.029819 59.649 104.1545
148.095257 59.841 104.4258
149.168417 60.176 103.9890
150.249353 60.649 102.7117
151.338121 61.189 99.2249
152.434780 61.625 92.9386
153.539385 61.830 84.7350
154.651995 61.741 75.1250
155.772667 61.284 64.2231
156.901460 60.374 52.8990
158.038432 59.009 42.5458
159.183644 57.338 33.9910
160.337154 55.761 25.2919
161.499023 54.912 9.2216
162.669312 55.243 -22.5671
163.848081 56.574 -67.2275
165.035392 58.269 -106.6815
166.231306 59.809 -135.0901
167.435887 61.016 -155.6011
168.649196 61.903 -170.7102
169.871298 62.552 178.1006
171.102255 63.080 170.1484
172.342133 63.634 164.9272
173.590995 64.278 160.6863
174.848907 64.911 155.6837
