* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.1 dBFS, measurement signal peak level -31.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:06:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0123 ms (-4.2 mm, -0.17 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 8.998 -120.1521
10.166832 8.468 -125.5311
10.240505 7.815 -131.6665
10.314712 7.133 -138.4444
10.389457 6.408 -145.5490
10.464743 5.487 -152.6135
10.540575 4.172 -160.9891
10.616956 2.671 -171.7163
10.693891 1.286 174.4370
10.771383 0.332 157.3489
10.849437 -0.077 134.0187
10.928057 -0.053 101.1888
11.007246 0.290 69.9639
11.087009 0.880 48.9982
11.167350 1.749 33.7547
11.248273 2.919 20.2000
11.329783 4.160 8.9945
11.411883 5.220 -0.0177
11.494578 5.966 -8.0996
11.577873 6.483 -17.1892
11.661771 6.813 -26.3000
11.746277 6.972 -34.6501
11.831395 6.942 -42.6960
11.917130 6.701 -52.7206
12.003487 6.332 -64.0350
12.090469 5.933 -75.7177
12.178081 5.503 -89.0137
12.266329 5.000 -108.3528
12.355216 4.696 -132.9419
12.444747 4.967 -159.2889
12.534926 6.029 173.7295
12.625760 7.653 150.9327
12.717251 9.442 134.3287
12.809406 11.118 121.1418
12.902228 12.715 109.3986
12.995723 14.259 99.3605
13.089895 15.687 90.6325
13.184750 16.956 82.3665
13.280292 18.083 74.2654
13.376526 19.099 66.7463
13.473458 20.026 59.7628
13.571093 20.860 52.6756
13.669434 21.602 45.6865
13.768489 22.265 39.1364
13.868261 22.856 32.8130
13.968756 23.370 26.2960
14.069979 23.810 20.0314
14.171936 24.181 14.2311
14.274632 24.482 8.2881
14.378072 24.712 2.4362
14.482261 24.872 -2.9017
14.587206 24.962 -8.1024
14.692910 24.980 -13.2543
14.799381 24.927 -17.9149
14.906624 24.800 -22.0825
15.014643 24.602 -26.0367
15.123446 24.341 -29.4310
15.233036 24.016 -31.9930
15.343421 23.634 -33.8848
15.454606 23.247 -34.9775
15.566596 22.877 -34.9635
15.679398 22.537 -33.7380
15.793018 22.320 -31.7012
15.907460 22.299 -29.0181
16.022732 22.458 -25.6928
16.138840 22.776 -22.7371
16.255788 23.260 -20.5319
16.373585 23.871 -18.9315
16.492234 24.508 -18.2981
16.611744 25.136 -18.6078
16.732119 25.746 -19.5580
16.853367 26.296 -20.9943
16.975494 26.778 -22.9721
17.098505 27.192 -25.2209
17.222408 27.534 -27.5163
17.347209 27.804 -30.0305
17.472914 28.011 -32.4898
17.599530 28.157 -34.7714
17.727063 28.248 -37.0066
17.855521 28.297 -38.9668
17.984909 28.309 -40.6541
18.115235 28.296 -42.0996
18.246506 28.274 -43.2227
18.378727 28.247 -44.0317
18.511907 28.228 -44.6141
18.646052 28.226 -44.9569
18.781169 28.242 -45.0987
18.917265 28.278 -45.1536
19.054347 28.333 -45.0941
19.192423 28.402 -44.9446
19.331499 28.481 -44.7388
19.471583 28.573 -44.4219
19.612682 28.679 -43.9399
19.754804 28.803 -43.3111
19.897956 28.966 -42.4923
20.042144 29.173 -41.4652
20.187378 29.445 -40.4013
20.333664 29.795 -39.3131
20.481010 30.220 -38.3884
20.629424 30.715 -37.8823
20.778913 31.270 -37.7327
20.929486 31.850 -38.2450
21.081150 32.445 -39.2737
21.233912 33.021 -40.8663
21.387782 33.563 -43.0018
21.542767 34.054 -45.4719
21.698874 34.480 -48.3159
21.856113 34.836 -51.3033
22.014492 35.115 -54.3436
22.174018 35.319 -57.3591
22.334700 35.451 -60.0752
22.496546 35.520 -62.5432
22.659566 35.546 -64.4193
22.823766 35.546 -65.7766
22.989157 35.563 -66.4244
23.155745 35.621 -66.4180
23.323542 35.771 -65.9442
23.492554 36.023 -65.0861
23.662790 36.389 -64.3494
23.834261 36.853 -63.7727
24.006973 37.376 -63.7556
24.180938 37.931 -64.1913
24.356163 38.475 -65.1449
24.532658 38.995 -66.4529
24.710431 39.471 -67.9655
24.889493 39.908 -69.5602
25.069853 40.313 -71.0522
25.251519 40.705 -72.4135
25.434502 41.105 -73.5360
25.618811 41.536 -74.5685
25.804456 42.013 -75.4947
25.991445 42.542 -76.6412
26.179790 43.117 -78.0047
26.369500 43.716 -79.8883
26.560584 44.320 -82.2180
26.753053 44.901 -85.1133
26.946917 45.439 -88.4247
27.142185 45.918 -92.1616
27.338869 46.330 -96.1077
27.536977 46.670 -100.2682
27.736522 46.942 -104.4237
27.937512 47.152 -108.5698
28.139959 47.309 -112.6032
28.343872 47.428 -116.5007
28.549264 47.518 -120.2769
28.756143 47.589 -123.9641
28.964522 47.643 -127.6284
29.174411 47.678 -131.3435
29.385821 47.680 -135.1455
29.598763 47.637 -139.0530
29.813248 47.526 -143.0364
30.029287 47.330 -146.9235
30.246891 47.037 -150.6550
30.466073 46.638 -153.8628
30.686842 46.145 -156.3101
30.909212 45.581 -157.6443
31.133193 45.017 -157.4873
31.358797 44.550 -155.8013
31.586035 44.283 -152.6782
31.814921 44.308 -149.0880
32.045465 44.600 -145.9329
32.277680 45.094 -143.8684
32.511577 45.663 -143.2161
32.747169 46.229 -143.6951
32.984469 46.744 -145.0261
33.223488 47.187 -146.8662
33.464239 47.566 -148.8965
33.706735 47.894 -150.9841
33.950987 48.192 -153.0200
34.197010 48.481 -154.9897
34.444816 48.773 -156.9779
34.694417 49.072 -159.0618
34.945827 49.374 -161.3409
35.199059 49.668 -163.9102
35.454126 49.936 -166.7832
35.711041 50.162 -169.9481
35.969818 50.329 -173.3694
36.230470 50.425 -176.9298
36.493011 50.440 179.5042
36.757455 50.373 176.0603
37.023814 50.228 172.8827
37.292104 50.016 170.1376
37.562338 49.759 167.9431
37.834530 49.481 166.3425
38.108695 49.208 165.3342
38.384846 48.959 164.8616
38.662999 48.750 164.8215
38.943167 48.584 165.1165
39.225365 48.464 165.6997
39.509608 48.390 166.5444
39.795911 48.367 167.6304
40.084289 48.398 168.9458
40.374756 48.485 170.5049
40.667328 48.637 172.3977
40.962020 48.886 174.7815
41.258848 49.289 177.7107
41.557827 49.915 -179.0916
41.858972 50.792 -176.3170
42.162299 51.884 -174.8160
42.467824 53.092 -175.1719
42.775564 54.302 -177.5061
43.085533 55.425 178.4138
43.397749 56.407 172.9779
43.712227 57.223 166.5991
44.028983 57.868 159.6432
44.348036 58.346 152.4036
44.669400 58.670 145.1089
44.993093 58.854 137.9374
45.319131 58.913 131.0323
45.647532 58.864 124.5175
45.978313 58.726 118.5050
46.311491 58.524 113.0903
46.647083 58.287 108.3263
46.985107 58.051 104.1847
47.325581 57.847 100.5291
47.668521 57.689 97.1379
48.013947 57.574 93.7930
48.361876 57.481 90.3828
48.712326 57.391 86.9519
49.065315 57.300 83.6538
49.420863 57.230 80.6313
49.778987 57.219 77.8778
50.139706 57.301 75.1711
50.503039 57.484 72.1587
50.869005 57.745 68.5349
51.237623 58.048 64.1737
51.608912 58.365 59.1093
51.982891 58.691 53.4001
52.359580 59.033 46.9944
52.739000 59.392 39.6892
53.121168 59.744 31.2148
53.506106 60.044 21.3772
53.893833 60.232 10.1299
54.284370 60.254 -2.4174
54.677737 60.065 -16.0200
55.073955 59.636 -30.3495
55.473043 58.957 -45.0276
55.875024 58.036 -59.6583
56.279917 56.905 -73.8915
56.687745 55.629 -87.3842
57.098527 54.312 -99.9587
57.512287 53.090 -111.7557
57.929045 52.096 -123.2037
58.348822 51.416 -134.7681
58.771642 51.066 -146.7606
59.197525 51.019 -159.1970
59.626495 51.229 -171.9691
60.058573 51.631 174.9701
60.493782 52.135 161.5853
60.932145 52.644 147.8933
61.373685 53.073 133.9827
61.818424 53.361 120.0973
62.266386 53.478 106.5898
62.717593 53.422 93.7284
63.172071 53.221 81.7928
63.629842 52.927 70.9708
64.090930 52.600 61.2206
64.555359 52.299 52.3113
65.023154 52.056 43.8889
65.494339 51.880 35.6539
65.968938 51.765 27.4348
66.446976 51.714 19.1925
66.928478 51.742 10.8965
67.413469 51.866 2.4459
67.901975 52.095 -6.2972
68.394021 52.425 -15.4303
68.889632 52.847 -24.9269
69.388835 53.366 -34.7175
69.891655 53.990 -44.8014
70.398118 54.712 -55.3456
70.908252 55.491 -66.5375
71.422083 56.261 -78.4419
71.939636 56.961 -90.8882
72.460941 57.555 -103.4911
72.986023 58.040 -115.9078
73.514909 58.439 -127.8673
74.047629 58.780 -139.3309
74.584208 59.083 -150.3831
75.124676 59.355 -161.1542
75.669061 59.598 -171.8160
76.217390 59.805 177.4037
76.769692 59.951 166.2021
77.325997 59.980 154.2876
77.886333 59.816 141.5573
78.450730 59.371 128.0815
79.019216 58.553 114.0751
79.591822 57.263 100.0034
80.168577 55.388 86.4158
80.749512 52.822 74.2609
81.334656 49.693 66.5837
81.924040 47.721 155.1871
82.517696 49.301 -154.1257
83.115653 52.211 -159.7373
83.717943 54.743 -167.8718
84.324598 56.780 -176.8639
84.935649 58.409 173.4429
85.551128 59.679 163.0839
86.171066 60.610 152.3248
86.795497 61.230 141.7302
87.424453 61.611 131.9119
88.057967 61.849 123.0839
88.696071 62.015 114.9636
89.338800 62.133 107.2074
89.986185 62.218 99.8179
90.638262 62.324 92.8767
91.295065 62.518 85.8728
91.956626 62.784 77.6208
92.622982 62.977 67.1368
93.294166 62.893 54.4187
93.970214 62.352 40.4595
94.651161 61.246 27.0070
95.337042 59.577 16.4535
96.027894 57.516 11.3752
96.723752 55.458 12.3403
97.424652 53.828 15.6975
98.130631 52.700 17.7676
98.841726 51.845 18.3357
99.557974 51.063 18.0894
100.279412 50.238 17.2819
101.006078 49.296 16.6544
101.738010 48.271 17.8613
102.475245 47.363 21.2939
103.217823 46.695 24.0312
103.965782 46.064 24.2476
104.719161 45.228 24.3258
105.477999 44.284 28.0081
106.242336 43.687 36.1027
107.012212 43.768 42.8899
107.787666 44.231 43.0093
108.568740 44.592 36.7704
109.355474 44.619 25.2227
110.147909 44.253 7.6892
110.946086 43.592 -17.8092
111.750047 43.113 -53.6436
112.559834 43.568 -94.0811
113.375489 45.026 -125.1416
114.197055 46.859 -145.7012
115.024574 48.647 -160.0479
115.858089 50.261 -171.1001
116.697645 51.660 179.4749
117.543284 52.839 171.1577
118.395051 53.835 163.8840
119.252990 54.690 157.4585
120.117147 55.439 151.8069
120.987565 56.145 147.0635
121.864291 56.874 142.9331
122.747370 57.640 138.6880
123.636848 58.408 133.9292
124.532771 59.138 128.5449
125.435187 59.775 122.3774
126.344142 60.267 115.7454
127.259684 60.630 109.5061
128.181860 60.950 104.0908
129.110718 61.310 99.1143
130.046308 61.745 94.0789
130.988677 62.246 88.2656
131.937875 62.709 80.6704
132.893951 62.980 71.2815
133.856956 62.984 61.3223
134.826938 62.786 51.9119
135.803950 62.503 42.6228
136.788041 62.116 31.6631
137.779264 61.421 18.1504
138.777669 60.179 3.0701
139.783309 58.256 -12.1775
140.796237 55.658 -28.0435
141.816504 52.747 -51.0510
142.844165 51.221 171.4553
143.879273 52.486 129.0049
144.921881 54.578 113.4294
145.972045 56.246 101.2632
147.029819 57.344 90.4609
148.095257 57.991 81.2209
149.168417 58.314 73.2104
150.249353 58.350 65.9468
151.338121 58.134 60.2920
152.434780 57.878 58.3320
153.539385 57.961 59.8794
154.651995 58.437 59.3074
155.772667 58.858 53.6655
156.901460 58.871 46.2087
158.038432 58.497 40.5686
159.183644 57.949 37.6953
160.337154 57.413 36.7085
161.499023 57.004 37.2578
162.669312 56.886 39.7715
163.848081 57.243 43.1094
165.035392 58.015 43.8767
166.231306 58.830 39.3345
167.435887 59.274 30.0532
168.649196 59.118 18.8782
169.871298 58.325 8.7539
171.102255 57.011 2.4924
172.342133 55.489 2.5134
173.590995 54.188 5.8835
174.848907 53.109 5.6812
176.115934 51.816 4.0769
177.392143 50.409 13.7485
