* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -36.6 dBFS, measurement signal peak level -30.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:06:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0033 ms (-1.1 mm, -0.04 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 3.812 45.2448
10.166832 4.117 44.1517
10.240505 4.485 43.6370
10.314712 4.868 43.1619
10.389457 5.278 42.2430
10.464743 5.786 40.6252
10.540575 6.454 38.9439
10.616956 7.204 37.1327
10.693891 7.975 34.9708
10.771383 8.718 32.2610
10.849437 9.439 29.0725
10.928057 10.148 25.7085
11.007246 10.829 22.2866
11.087009 11.460 18.8153
11.167350 12.033 15.1155
11.248273 12.556 11.1402
11.329783 13.024 7.2073
11.411883 13.430 3.5259
11.494578 13.769 0.0181
11.577873 14.042 -3.7217
11.661771 14.247 -7.3580
11.746277 14.379 -10.5270
11.831395 14.430 -13.1209
11.917130 14.396 -15.6339
12.003487 14.298 -17.7716
12.090469 14.153 -19.0777
12.178081 13.950 -19.2465
12.266329 13.676 -18.4985
12.355216 13.441 -16.6798
12.444747 13.375 -13.6873
12.534926 13.529 -9.3298
12.625760 13.869 -3.9518
12.717251 14.394 1.2637
12.809406 15.127 5.2354
12.902228 16.102 8.4330
12.995723 17.223 10.5998
13.089895 18.347 11.3372
13.184750 19.394 10.7011
13.280292 20.402 9.3695
13.376526 21.354 7.4651
13.473458 22.219 4.9848
13.571093 22.991 1.9120
13.669434 23.678 -1.4652
13.768489 24.285 -4.9316
13.868261 24.809 -8.5734
13.968756 25.250 -12.5492
14.069979 25.610 -16.5026
14.171936 25.891 -20.2414
14.274632 26.090 -24.1840
14.378072 26.209 -28.1104
14.482261 26.248 -31.6375
14.587206 26.204 -35.0101
14.692910 26.080 -38.2782
14.799381 25.881 -41.0484
14.906624 25.603 -43.2000
15.014643 25.255 -44.8913
15.123446 24.877 -45.8794
15.233036 24.478 -45.8404
15.343421 24.073 -44.7402
15.454606 23.761 -42.7883
15.566596 23.612 -40.0133
15.679398 23.615 -36.3807
15.793018 23.785 -32.8616
15.907460 24.149 -29.9831
16.022732 24.674 -27.6171
16.138840 25.252 -26.2619
16.255788 25.832 -26.0189
16.373585 26.413 -26.5494
16.492234 26.938 -27.6771
16.611744 27.386 -29.4615
16.732119 27.760 -31.6775
16.853367 28.053 -33.9614
16.975494 28.260 -36.5171
17.098505 28.388 -39.1305
17.222408 28.443 -41.4649
17.347209 28.424 -43.7461
17.472914 28.350 -45.7411
17.599530 28.232 -47.2313
17.727063 28.080 -48.3318
17.855521 27.934 -48.9484
17.984909 27.803 -48.9417
18.115235 27.716 -48.4787
18.246506 27.711 -47.7455
18.378727 27.792 -46.6617
18.511907 27.957 -45.6840
18.646052 28.213 -44.9129
18.781169 28.534 -44.4041
18.917265 28.887 -44.4118
19.054347 29.264 -44.8373
19.192423 29.635 -45.6326
19.331499 29.983 -46.8284
19.471583 30.302 -48.2617
19.612682 30.581 -49.8097
19.754804 30.819 -51.5010
19.897956 31.020 -53.0721
20.042144 31.182 -54.5830
20.187378 31.319 -55.8744
20.333664 31.437 -56.8598
20.481010 31.551 -57.5596
20.629424 31.682 -57.8686
20.778913 31.839 -57.8326
20.929486 32.049 -57.5426
21.081150 32.318 -56.9857
21.233912 32.655 -56.4424
21.387782 33.064 -55.9093
21.542767 33.527 -55.6262
21.698874 34.035 -55.6573
21.856113 34.567 -56.0326
22.014492 35.101 -56.8321
22.174018 35.622 -57.9469
22.334700 36.113 -59.3748
22.496546 36.566 -61.0203
22.659566 36.973 -62.7637
22.823766 37.333 -64.5826
22.989157 37.648 -66.2826
23.155745 37.922 -67.8918
23.323542 38.170 -69.2273
23.492554 38.399 -70.3298
23.662790 38.630 -71.1166
23.834261 38.875 -71.6300
24.006973 39.154 -71.9327
24.180938 39.471 -72.0729
24.356163 39.835 -72.2117
24.532658 40.242 -72.3866
24.710431 40.686 -72.7440
24.889493 41.159 -73.2914
25.069853 41.651 -74.0912
25.251519 42.156 -75.1390
25.434502 42.667 -76.4288
25.618811 43.181 -77.9803
25.804456 43.697 -79.7622
25.991445 44.211 -81.8294
26.179790 44.721 -84.1472
26.369500 45.220 -86.7779
26.560584 45.704 -89.6837
26.753053 46.163 -92.8978
26.946917 46.592 -96.3608
27.142185 46.983 -100.0858
27.338869 47.330 -103.9696
27.536977 47.633 -108.0247
27.736522 47.888 -112.1330
27.937512 48.099 -116.2883
28.139959 48.268 -120.4379
28.343872 48.399 -124.5386
28.549264 48.497 -128.6095
28.756143 48.564 -132.6217
28.964522 48.599 -136.6010
29.174411 48.600 -140.5699
29.385821 48.558 -144.4935
29.598763 48.464 -148.3794
29.813248 48.307 -152.1541
30.029287 48.075 -155.6778
30.246891 47.764 -158.8739
30.466073 47.373 -161.4456
30.686842 46.920 -163.2081
30.909212 46.430 -163.8841
31.133193 45.970 -163.2624
31.358797 45.615 -161.3781
31.586035 45.439 -158.3904
31.814921 45.503 -155.0352
32.045465 45.789 -151.9511
32.277680 46.256 -149.6286
32.511577 46.820 -148.3589
32.747169 47.424 -148.0630
32.984469 48.032 -148.6062
33.223488 48.621 -149.8290
33.464239 49.181 -151.6007
33.706735 49.709 -153.8326
33.950987 50.200 -156.4625
34.197010 50.653 -159.4387
34.444816 51.064 -162.7003
34.694417 51.432 -166.2017
34.945827 51.760 -169.8978
35.199059 52.049 -173.7366
35.454126 52.304 -177.7074
35.711041 52.528 178.1882
35.969818 52.720 173.9362
36.230470 52.874 169.5296
36.493011 52.984 164.9905
36.757455 53.038 160.3655
37.023814 53.031 155.7267
37.292104 52.957 151.2094
37.562338 52.823 146.9918
37.834530 52.648 143.2019
38.108695 52.457 139.9297
38.384846 52.287 137.2000
38.662999 52.175 134.9104
38.943167 52.144 132.7906
39.225365 52.197 130.5461
39.509608 52.312 127.9459
39.795911 52.462 124.8595
40.084289 52.616 121.2636
40.374756 52.755 117.2183
40.667328 52.873 112.8166
40.962020 52.977 108.1061
41.258848 53.080 103.0465
41.557827 53.193 97.5141
41.858972 53.316 91.3297
42.162299 53.441 84.3005
42.467824 53.545 76.2641
42.775564 53.603 67.1194
43.085533 53.588 56.8374
43.397749 53.479 45.4577
43.712227 53.263 33.0833
44.028983 52.937 19.8574
44.348036 52.508 5.9592
44.669400 51.990 -8.3831
44.993093 51.406 -22.8775
45.319131 50.785 -37.1653
45.647532 50.161 -50.8336
45.978313 49.574 -63.4572
46.311491 49.072 -74.6674
46.647083 48.707 -84.2394
46.985107 48.529 -92.1789
47.325581 48.571 -98.7649
47.668521 48.827 -104.4785
48.013947 49.247 -109.8097
48.361876 49.756 -115.0477
48.712326 50.285 -120.1896
49.065315 50.798 -124.9988
49.420863 51.306 -129.1601
49.778987 51.856 -132.4812
50.139706 52.511 -135.0740
50.503039 53.307 -137.3716
50.869005 54.230 -139.9152
51.237623 55.236 -143.0657
51.608912 56.283 -146.9135
51.982891 57.350 -151.4274
52.359580 58.435 -156.6570
52.739000 59.526 -162.8066
53.121168 60.586 -170.1371
53.506106 61.557 -178.7973
53.893833 62.375 171.2557
54.284370 62.985 160.2322
54.677737 63.343 148.4748
55.073955 63.425 136.4072
55.473043 63.219 124.5007
55.875024 62.732 113.2506
56.279917 61.985 103.1254
56.687745 61.028 94.6208
57.098527 59.934 88.1202
57.512287 58.799 83.7340
57.929045 57.720 81.2502
58.348822 56.767 80.2662
58.771642 55.978 80.3314
59.197525 55.377 81.1077
59.626495 54.978 82.2560
60.058573 54.782 83.3356
60.493782 54.760 83.8845
60.932145 54.858 83.6062
61.373685 55.022 82.3965
61.818424 55.203 80.2539
62.266386 55.359 77.2471
62.717593 55.455 73.5059
63.172071 55.468 69.2288
63.629842 55.388 64.6540
64.090930 55.218 59.9820
64.555359 54.970 55.3978
65.023154 54.670 51.0390
65.494339 54.349 46.9509
65.968938 54.047 43.0130
66.446976 53.789 38.9189
66.928478 53.569 34.2543
67.413469 53.349 28.7195
67.901975 53.082 22.2601
68.394021 52.738 14.9939
68.889632 52.316 6.9699
69.388835 51.839 -1.9619
69.891655 51.329 -12.2357
70.398118 50.792 -24.4354
70.908252 50.227 -39.1945
71.422083 49.630 -56.9817
71.939636 49.005 -78.1554
72.460941 48.342 -102.3585
72.986023 47.581 -128.7190
73.514909 46.590 -155.5483
74.047629 45.181 178.4690
74.584208 43.271 154.0718
75.124676 41.725 131.5774
75.669061 42.860 -67.8592
76.217390 45.975 -86.4054
76.769692 48.974 -102.6522
77.325997 51.438 -117.0363
77.886333 53.487 -129.8132
78.450730 55.252 -141.5735
79.019216 56.793 -153.0032
79.591822 58.106 -164.6487
80.168577 59.159 -176.5872
80.749512 59.939 171.4619
81.334656 60.472 159.9305
81.924040 60.806 149.0314
82.517696 60.977 138.6304
83.115653 60.981 128.4775
83.717943 60.776 118.5183
84.324598 60.313 109.0491
84.935649 59.554 100.6594
85.551128 58.487 94.4199
86.171066 57.202 92.3506
86.795497 56.072 97.0518
87.424453 55.756 107.2188
88.057967 56.457 115.5117
88.696071 57.702 118.7363
89.338800 59.105 118.3162
89.986185 60.506 114.9747
90.638262 61.785 108.7375
91.295065 62.845 100.0273
91.956626 63.633 89.3519
92.622982 64.095 76.8813
93.294166 64.127 62.8368
93.970214 63.606 48.1274
94.651161 62.447 34.6144
95.337042 60.685 25.0294
96.027894 58.553 22.1293
96.723752 56.507 25.9509
97.424652 54.995 32.8135
98.130631 54.179 40.1635
98.841726 54.021 47.3081
99.557974 54.404 53.0201
100.279412 55.120 55.8236
101.006078 55.904 55.0444
101.738010 56.529 51.2870
102.475245 56.880 45.8574
103.217823 56.937 40.0276
103.965782 56.752 34.7756
104.719161 56.423 30.7780
105.477999 56.100 28.3982
106.242336 55.956 27.1393
107.012212 56.053 25.1475
107.787666 56.256 20.8635
108.568740 56.377 14.5337
109.355474 56.335 7.0995
110.147909 56.127 -1.0607
110.946086 55.754 -9.8872
111.750047 55.229 -19.3036
112.559834 54.571 -29.5366
113.375489 53.776 -40.9479
114.197055 52.853 -53.5720
115.024574 51.882 -67.6119
115.858089 50.996 -84.0159
116.697645 50.284 -103.3992
117.543284 49.809 -124.6040
118.395051 49.655 -145.2328
119.252990 49.839 -163.2141
120.117147 50.294 -177.3837
120.987565 51.014 172.6588
121.864291 52.026 165.7427
122.747370 53.230 159.4675
123.636848 54.439 152.4222
124.532771 55.529 144.6591
125.435187 56.446 136.3794
126.344142 57.153 127.7928
127.259684 57.641 119.4199
128.181860 57.934 111.6705
129.110718 58.058 104.7550
130.046308 58.053 99.0574
130.988677 57.999 94.9268
131.937875 58.000 92.1648
132.893951 58.108 89.8450
133.856956 58.277 86.9902
134.826938 58.416 83.5013
135.803950 58.481 80.1282
136.788041 58.518 77.5649
137.779264 58.585 75.4620
138.777669 58.670 73.1250
139.783309 58.728 70.7482
140.796237 58.770 68.9196
141.816504 58.843 67.5209
142.844165 58.941 65.8479
143.879273 58.997 63.6166
144.921881 58.951 61.3707
145.972045 58.859 60.7245
147.029819 58.970 63.0101
148.095257 59.543 66.6461
149.168417 60.536 68.2002
150.249353 61.682 66.2323
151.338121 62.768 61.3313
152.434780 63.695 54.3093
153.539385 64.425 45.7277
154.651995 64.925 35.7246
155.772667 65.137 24.4373
156.901460 65.001 12.4983
158.038432 64.497 0.8611
159.183644 63.667 -9.4089
160.337154 62.633 -17.4932
161.499023 61.580 -23.8804
162.669312 60.607 -30.7833
163.848081 59.588 -40.1935
165.035392 58.244 -52.4358
166.231306 56.287 -66.4742
167.435887 53.519 -80.4486
168.649196 50.084 -88.6615
169.871298 47.637 54.6895
171.102255 48.363 56.3790
172.342133 50.204 49.8463
173.590995 51.572 41.9843
174.848907 52.408 35.2552
176.115934 52.948 29.5732
