* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -35.9 dBFS, measurement signal peak level -25.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:22:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9313 ms (-319 mm, -(1 ft 0.58 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-2nd-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 20.417 65.1252
10.166832 20.560 62.3006
10.240505 20.733 59.0261
10.314712 20.911 55.4781
10.389457 21.082 51.7748
10.464743 21.220 47.9040
10.540575 21.302 43.4998
10.616956 21.346 38.7320
10.693891 21.351 33.8534
10.771383 21.315 29.0737
10.849437 21.240 24.0034
10.928057 21.124 18.4497
11.007246 20.960 12.7423
11.087009 20.740 7.2532
11.167350 20.469 1.9235
11.248273 20.148 -3.8725
11.329783 19.751 -9.8274
11.411883 19.244 -15.4139
11.494578 18.614 -20.2998
11.577873 17.874 -25.2653
11.661771 16.994 -30.0498
11.746277 15.909 -33.8088
11.831395 14.453 -35.3142
11.917130 12.501 -34.0847
12.003487 10.564 -27.5794
12.090469 9.528 -11.2918
12.178081 10.182 13.7489
12.266329 12.199 34.9240
12.355216 14.676 44.6901
12.444747 16.955 46.8341
12.534926 18.910 45.4157
12.625760 20.742 42.8195
12.717251 22.425 39.4187
12.809406 23.906 35.2476
12.902228 25.173 30.5061
12.995723 26.272 25.6705
13.089895 27.258 20.8883
13.184750 28.158 15.9871
13.280292 28.955 10.8357
13.376526 29.660 5.7920
13.473458 30.289 1.0121
13.571093 30.842 -3.9010
13.669434 31.317 -8.8603
13.768489 31.722 -13.5400
13.868261 32.059 -17.9676
13.968756 32.327 -22.5052
14.069979 32.529 -26.8462
14.171936 32.669 -30.7369
14.274632 32.743 -34.5398
14.378072 32.758 -38.1642
14.482261 32.720 -41.3102
14.587206 32.626 -44.0533
14.692910 32.485 -46.4860
14.799381 32.316 -48.4392
14.906624 32.123 -49.7666
15.014643 31.912 -50.5426
15.123446 31.723 -50.8399
15.233036 31.576 -50.5833
15.343421 31.470 -49.7225
15.454606 31.430 -48.6054
15.566596 31.478 -47.3979
15.679398 31.606 -46.0045
15.793018 31.791 -44.7780
15.907460 32.024 -43.9024
16.022732 32.300 -43.2621
16.138840 32.582 -42.9103
16.255788 32.853 -42.8972
16.373585 33.114 -43.1457
16.492234 33.350 -43.5010
16.611744 33.555 -43.9746
16.732119 33.733 -44.5307
16.853367 33.892 -45.0081
16.975494 34.030 -45.4211
17.098505 34.158 -45.7730
17.222408 34.290 -46.0141
17.347209 34.426 -46.1414
17.472914 34.573 -46.2396
17.599530 34.739 -46.3397
17.727063 34.921 -46.4313
17.855521 35.113 -46.6218
17.984909 35.314 -46.9237
18.115235 35.516 -47.3092
18.246506 35.708 -47.7929
18.378727 35.889 -48.3798
18.511907 36.054 -48.9419
18.646052 36.199 -49.4844
18.781169 36.330 -49.9565
18.917265 36.455 -50.2157
19.054347 36.575 -50.3014
19.192423 36.715 -50.1642
19.331499 36.881 -49.7564
19.471583 37.089 -49.1792
19.612682 37.356 -48.5096
19.754804 37.682 -47.7616
19.897956 38.068 -47.1940
20.042144 38.512 -46.7633
20.187378 38.997 -46.6379
20.333664 39.511 -46.8590
20.481010 40.043 -47.3885
20.629424 40.573 -48.2835
20.778913 41.099 -49.4578
20.929486 41.607 -50.8888
21.081150 42.094 -52.5436
21.233912 42.557 -54.3418
21.387782 42.993 -56.2833
21.542767 43.401 -58.2861
21.698874 43.781 -60.3444
21.856113 44.133 -62.4051
22.014492 44.457 -64.4322
22.174018 44.754 -66.4090
22.334700 45.026 -68.2659
22.496546 45.276 -70.0136
22.659566 45.509 -71.5661
22.823766 45.729 -72.9470
22.989157 45.945 -74.0905
23.155745 46.163 -75.0205
23.323542 46.394 -75.7292
23.492554 46.645 -76.2364
23.662790 46.923 -76.5998
23.834261 47.232 -76.8354
24.006973 47.574 -77.0298
24.180938 47.950 -77.1922
24.356163 48.359 -77.3919
24.532658 48.800 -77.6367
24.710431 49.273 -77.9678
24.889493 49.778 -78.4171
25.069853 50.318 -79.0147
25.251519 50.891 -79.8491
25.434502 51.495 -80.9304
25.618811 52.121 -82.4002
25.804456 52.763 -84.2262
25.991445 53.403 -86.5356
26.179790 54.033 -89.2554
26.369500 54.633 -92.4356
26.560584 55.194 -95.9829
26.753053 55.706 -99.8808
26.946917 56.162 -104.0070
27.142185 56.557 -108.3571
27.338869 56.894 -112.7629
27.536977 57.173 -117.2553
27.736522 57.401 -121.6832
27.937512 57.584 -126.0766
28.139959 57.730 -130.3857
28.343872 57.846 -134.6214
28.549264 57.935 -138.8161
28.756143 57.998 -142.9955
28.964522 58.030 -147.1847
29.174411 58.022 -151.4324
29.385821 57.961 -155.6631
29.598763 57.836 -159.8788
29.813248 57.633 -163.9438
30.029287 57.345 -167.6753
30.246891 56.973 -170.9569
30.466073 56.530 -173.4422
30.686842 56.050 -174.9868
30.909212 55.577 -175.3365
31.133193 55.193 -174.5373
31.358797 54.961 -172.8601
31.586035 54.925 -170.6967
31.814921 55.077 -168.7947
32.045465 55.367 -167.4657
32.277680 55.740 -166.8831
32.511577 56.142 -166.9887
32.747169 56.550 -167.5968
32.984469 56.957 -168.5915
33.223488 57.368 -169.8659
33.464239 57.788 -171.4522
33.706735 58.214 -173.3859
33.950987 58.638 -175.7109
34.197010 59.042 -178.4669
34.444816 59.412 178.4116
34.694417 59.736 174.9922
34.945827 60.010 171.3607
35.199059 60.237 167.6379
35.454126 60.424 163.8610
35.711041 60.581 160.0344
35.969818 60.712 156.1332
36.230470 60.813 152.0949
36.493011 60.875 147.8895
36.757455 60.881 143.5299
37.023814 60.814 139.0644
37.292104 60.660 134.6301
37.562338 60.414 130.4522
37.834530 60.086 126.7229
38.108695 59.699 123.6176
38.384846 59.288 121.2697
38.662999 58.900 119.6818
38.943167 58.574 118.6320
39.225365 58.326 117.8095
39.509608 58.144 116.9325
39.795911 57.997 115.8268
40.084289 57.848 114.4730
40.374756 57.667 113.0009
40.667328 57.444 111.6379
40.962020 57.185 110.6154
41.258848 56.916 110.1005
41.557827 56.674 110.1646
41.858972 56.499 110.7452
42.162299 56.424 111.6299
42.467824 56.465 112.4947
42.775564 56.611 112.9976
43.085533 56.830 112.8879
43.397749 57.077 112.0696
43.712227 57.315 110.5959
44.028983 57.517 108.6091
44.348036 57.672 106.2682
44.669400 57.777 103.6974
44.993093 57.836 100.9677
45.319131 57.849 98.1088
45.647532 57.810 95.1464
45.978313 57.713 92.1407
46.311491 57.551 89.2040
46.647083 57.328 86.4864
46.985107 57.057 84.1280
47.325581 56.763 82.1996
47.668521 56.470 80.6614
48.013947 56.196 79.3779
48.361876 55.938 78.1957
48.712326 55.685 77.0352
49.065315 55.422 75.9278
49.420863 55.146 74.9738
49.778987 54.866 74.2510
50.139706 54.598 73.7354
50.503039 54.350 73.2971
50.869005 54.114 72.7796
51.237623 53.866 72.1152
51.608912 53.580 71.3903
51.982891 53.241 70.8173
52.359580 52.855 70.6368
52.739000 52.446 71.0076
53.121168 52.042 71.9496
53.506106 51.664 73.3926
53.893833 51.322 75.2930
54.284370 51.029 77.6902
54.677737 50.814 80.6135
55.073955 50.709 83.8840
55.473043 50.723 87.0618
55.875024 50.815 89.7201
56.279917 50.914 91.8086
56.687745 50.966 93.7783
57.098527 50.984 96.4389
57.512287 51.073 100.5654
57.929045 51.406 106.2765
58.348822 52.121 112.5576
58.771642 53.204 117.6619
59.197525 54.506 120.3553
59.626495 55.864 120.4472
60.058573 57.165 118.3231
60.493782 58.350 114.4337
60.932145 59.385 109.1657
61.373685 60.251 102.8288
61.818424 60.934 95.7107
62.266386 61.425 88.1313
62.717593 61.726 80.3870
63.172071 61.853 72.7952
63.629842 61.835 65.6351
64.090930 61.712 59.0371
64.555359 61.522 53.0286
65.023154 61.299 47.5380
65.494339 61.067 42.4618
65.968938 60.846 37.6909
66.446976 60.658 33.0884
66.928478 60.517 28.4126
67.413469 60.423 23.3401
67.901975 60.354 17.5854
68.394021 60.276 10.9693
68.889632 60.160 3.4223
69.388835 59.991 -5.1098
69.891655 59.764 -14.8177
70.398118 59.478 -26.0321
70.908252 59.123 -39.2440
71.422083 58.686 -54.9203
71.939636 58.170 -73.5887
72.460941 57.617 -95.4524
72.986023 57.113 -120.3542
73.514909 56.763 -146.8162
74.047629 56.631 -172.4286
74.584208 56.718 165.0723
75.124676 57.001 146.7035
75.669061 57.476 132.1971
76.217390 58.146 120.5294
76.769692 58.971 110.3067
77.325997 59.864 100.3499
77.886333 60.714 89.9653
78.450730 61.429 79.0009
79.019216 61.940 67.6349
79.591822 62.215 56.4167
80.168577 62.279 46.0505
80.749512 62.231 37.1398
81.334656 62.220 29.7006
81.924040 62.347 22.8110
82.517696 62.590 15.3511
83.115653 62.843 6.8209
83.717943 63.007 -2.5729
84.324598 63.038 -12.3573
84.935649 62.929 -22.0825
85.551128 62.705 -31.3193
86.171066 62.426 -39.7444
86.795497 62.174 -47.4056
87.424453 61.999 -54.8054
88.057967 61.891 -62.4594
88.696071 61.809 -70.5274
89.338800 61.723 -79.0140
89.986185 61.603 -88.0347
90.638262 61.398 -97.6037
91.295065 61.071 -107.3116
91.956626 60.651 -116.6837
92.622982 60.202 -126.1340
93.294166 59.674 -137.0114
93.970214 58.816 -149.8945
94.651161 57.313 -163.0046
95.337042 55.045 -170.2046
96.027894 52.825 -150.7686
96.723752 52.826 -111.5382
97.424652 54.628 -106.2776
98.130631 56.372 -112.0950
98.841726 57.643 -120.0181
99.557974 58.504 -128.1108
100.279412 59.072 -135.4431
101.006078 59.504 -141.4238
101.738010 59.945 -146.3833
102.475245 60.427 -151.4829
103.217823 60.858 -157.5200
103.965782 61.130 -164.0918
104.719161 61.236 -169.9521
105.477999 61.310 -173.9813
106.242336 61.552 -176.2959
107.012212 62.059 -178.4983
107.787666 62.740 177.8108
108.568740 63.425 172.2139
109.355474 63.986 165.1487
110.147909 64.364 157.2921
110.946086 64.557 149.3008
111.750047 64.600 141.5195
112.559834 64.516 133.8384
113.375489 64.293 126.1781
114.197055 63.912 118.8268
115.024574 63.381 112.0669
115.858089 62.711 106.0189
116.697645 61.913 100.9535
117.543284 61.021 97.1224
118.395051 60.072 94.5947
119.252990 59.124 93.7676
120.117147 58.287 94.7117
120.987565 57.637 96.0599
121.864291 57.103 96.7297
122.747370 56.569 97.3729
123.636848 56.041 99.4326
124.532771 55.697 103.9752
125.435187 55.775 110.0096
126.344142 56.275 113.9441
127.259684 56.900 113.7968
128.181860 57.366 110.4858
129.110718 57.525 105.1190
130.046308 57.287 98.7085
130.988677 56.634 92.3892
131.937875 55.576 85.8181
132.893951 54.119 77.9116
133.856956 53.016 71.4631
134.826938 54.637 -164.0242
135.803950 58.185 -155.2703
136.788041 61.293 -171.5728
137.779264 63.365 168.6942
138.777669 64.425 148.9658
139.783309 64.684 131.8427
140.796237 64.420 118.2435
141.816504 63.814 107.3052
142.844165 62.913 98.8308
143.879273 61.799 94.2148
144.921881 60.728 94.3383
145.972045 60.017 97.5740
147.029819 59.797 101.1210
148.095257 59.995 103.7615
149.168417 60.513 105.3350
150.249353 61.274 105.2596
151.338121 62.139 102.2820
152.434780 62.920 96.0315
153.539385 63.483 87.2007
154.651995 63.744 76.2085
155.772667 63.612 63.2888
156.901460 62.994 49.1823
158.038432 61.844 35.0688
159.183644 60.218 22.1571
160.337154 58.355 10.2172
161.499023 56.771 -5.4103
162.669312 56.082 -33.0789
163.848081 56.493 -75.5135
165.035392 57.541 -117.9631
166.231306 58.650 -148.9211
167.435887 59.603 -169.8148
168.649196 60.404 175.7905
169.871298 61.007 164.4108
171.102255 61.317 154.9396
172.342133 61.398 148.7666
173.590995 61.482 146.2585
174.848907 61.734 145.4435
176.115934 62.205 145.5541
177.392143 62.977 146.8462
