* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -36.1 dBFS, measurement signal peak level -30.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:20:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0134 ms (-4.6 mm, -0.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-2nd-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 13.407 47.5150
10.166832 14.188 26.5796
10.240505 15.121 6.4802
10.314712 16.077 -9.8226
10.389457 17.036 -22.2408
10.464743 17.980 -32.2163
10.540575 18.906 -41.7862
10.616956 19.793 -50.5693
10.693891 20.585 -58.2556
10.771383 21.233 -64.8935
10.849437 21.731 -71.6689
10.928057 22.095 -78.8883
11.007246 22.327 -85.9357
11.087009 22.422 -92.3943
11.167350 22.378 -98.7876
11.248273 22.191 -106.3263
11.329783 21.858 -114.4920
11.411883 21.360 -122.6713
11.494578 20.615 -131.1329
11.577873 19.556 -142.5944
11.661771 18.472 -157.7954
11.746277 17.795 -177.0759
11.831395 17.873 157.5969
11.917130 18.623 124.0993
12.003487 19.789 95.7065
12.090469 21.152 76.4369
12.178081 22.659 61.7937
12.266329 24.357 49.8513
12.355216 26.062 40.2611
12.444747 27.573 32.0855
12.534926 28.831 24.2142
12.625760 29.913 16.6184
12.717251 30.865 9.6299
12.809406 31.716 3.1274
12.902228 32.457 -3.6265
12.995723 33.091 -10.3659
13.089895 33.635 -16.7332
13.184750 34.098 -22.8950
13.280292 34.473 -29.4530
13.376526 34.763 -35.9615
13.473458 34.975 -42.0620
13.571093 35.107 -48.3759
13.669434 35.156 -54.9791
13.768489 35.122 -61.3820
13.868261 35.004 -67.5373
13.968756 34.801 -74.1544
14.069979 34.503 -80.8624
14.171936 34.105 -87.1910
14.274632 33.608 -93.8351
14.378072 32.997 -100.8414
14.482261 32.251 -107.6652
14.587206 31.374 -114.5587
14.692910 30.343 -122.0729
14.799381 29.100 -129.9319
14.906624 27.588 -137.9358
15.014643 25.838 -147.2335
15.123446 23.944 -158.7046
15.233036 21.849 -173.0617
15.343421 19.651 163.9757
15.454606 18.135 123.5616
15.566596 18.160 82.2573
15.679398 19.382 54.5193
15.793018 20.782 38.7922
15.907460 21.843 29.1235
16.022732 22.724 20.9978
16.138840 23.398 14.9774
16.255788 23.812 10.9100
16.373585 24.028 7.6284
16.492234 24.178 5.5499
16.611744 24.303 5.0135
16.732119 24.442 5.4490
16.853367 24.708 6.2032
16.975494 25.132 7.5684
17.098505 25.671 8.7651
17.222408 26.293 8.8844
17.347209 26.992 8.3862
17.472914 27.688 7.0573
17.599530 28.324 4.6887
17.727063 28.901 1.6493
17.855521 29.389 -1.7554
17.984909 29.778 -5.7615
18.115235 30.071 -10.0080
18.246506 30.266 -14.1550
18.378727 30.364 -18.5516
18.511907 30.378 -22.6700
18.646052 30.310 -26.4877
18.781169 30.175 -30.0777
18.917265 29.998 -33.0266
19.054347 29.785 -35.4257
19.192423 29.583 -37.2687
19.331499 29.412 -38.3527
19.471583 29.298 -38.8819
19.612682 29.280 -39.0897
19.754804 29.359 -38.9046
19.897956 29.525 -38.8264
20.042144 29.778 -38.8373
20.187378 30.083 -39.0661
20.333664 30.417 -39.6202
20.481010 30.768 -40.3855
20.629424 31.114 -41.3202
20.778913 31.457 -42.3987
20.929486 31.794 -43.4983
21.081150 32.126 -44.6230
21.233912 32.459 -45.7496
21.387782 32.794 -46.8600
21.542767 33.132 -47.9904
21.698874 33.471 -49.1530
21.856113 33.807 -50.3378
22.014492 34.134 -51.5617
22.174018 34.450 -52.7889
22.334700 34.754 -53.9769
22.496546 35.049 -55.1249
22.659566 35.340 -56.1715
22.823766 35.634 -57.1465
22.989157 35.942 -58.0809
23.155745 36.266 -58.9943
23.323542 36.605 -60.0297
23.492554 36.956 -61.1688
23.662790 37.301 -62.5321
23.834261 37.631 -64.0660
24.006973 37.924 -65.7166
24.180938 38.175 -67.4208
24.356163 38.375 -68.9225
24.532658 38.537 -70.1729
24.710431 38.684 -70.8328
24.889493 38.859 -70.9565
25.069853 39.117 -70.3823
25.251519 39.505 -69.5364
25.434502 40.060 -68.5844
25.618811 40.759 -68.2947
25.804456 41.574 -68.7553
25.991445 42.426 -70.4277
26.179790 43.270 -73.0815
26.369500 44.047 -76.7162
26.560584 44.734 -81.0320
26.753053 45.307 -85.8652
26.946917 45.765 -90.8953
27.142185 46.104 -96.0622
27.338869 46.340 -100.9595
27.536977 46.485 -105.6324
27.736522 46.573 -109.7424
27.937512 46.631 -113.3998
28.139959 46.699 -116.4911
28.343872 46.808 -119.3182
28.549264 46.971 -121.9537
28.756143 47.183 -124.8450
28.964522 47.415 -128.0693
29.174411 47.631 -131.8546
29.385821 47.780 -136.0950
29.598763 47.831 -140.7534
29.813248 47.747 -145.6117
30.029287 47.506 -150.2982
30.246891 47.097 -154.6777
30.466073 46.522 -158.0710
30.686842 45.819 -160.1411
30.909212 45.049 -160.2291
31.133193 44.370 -157.9854
31.358797 43.957 -153.7506
31.586035 43.943 -148.4629
31.814921 44.317 -144.1528
32.045465 44.924 -141.6576
32.277680 45.607 -141.1482
32.511577 46.229 -142.2356
32.747169 46.746 -144.2681
32.984469 47.143 -146.8589
33.223488 47.428 -149.5732
33.464239 47.634 -152.0862
33.706735 47.792 -154.2915
33.950987 47.943 -156.0862
34.197010 48.128 -157.5403
34.444816 48.372 -158.8859
34.694417 48.685 -160.3467
34.945827 49.054 -162.1877
35.199059 49.444 -164.6531
35.454126 49.815 -167.7595
35.711041 50.129 -171.4517
35.969818 50.352 -175.6282
36.230470 50.462 179.9769
36.493011 50.448 175.6248
36.757455 50.314 171.5327
37.023814 50.076 167.9340
37.292104 49.759 165.0544
37.562338 49.401 162.9739
37.834530 49.036 161.6576
38.108695 48.687 161.0269
38.384846 48.365 160.9731
38.662999 48.072 161.4348
38.943167 47.815 162.4644
39.225365 47.619 164.1138
39.509608 47.518 166.2844
39.795911 47.536 168.7032
40.084289 47.665 171.0205
40.374756 47.866 173.0304
40.667328 48.096 174.9058
40.962020 48.363 177.1631
41.258848 48.752 -179.7668
41.557827 49.385 -176.0422
41.858972 50.329 -172.6433
42.162299 51.532 -170.8601
42.467824 52.849 -171.4481
42.775564 54.129 -174.3838
43.085533 55.273 -179.1909
43.397749 56.237 174.7146
43.712227 57.014 167.8560
44.028983 57.615 160.6339
44.348036 58.060 153.3198
44.669400 58.371 146.0803
44.993093 58.565 139.0101
45.319131 58.653 132.1697
45.647532 58.641 125.6289
45.978313 58.534 119.4990
46.311491 58.344 113.9329
46.647083 58.098 109.0880
46.985107 57.837 105.0448
47.325581 57.607 101.7200
47.668521 57.444 98.8474
48.013947 57.352 96.0905
48.361876 57.307 93.2266
48.712326 57.279 90.2559
49.065315 57.260 87.3446
49.420863 57.272 84.6484
49.778987 57.355 82.1355
50.139706 57.540 79.5433
50.503039 57.826 76.5276
50.869005 58.188 72.8595
51.237623 58.600 68.4890
51.608912 59.057 63.4194
51.982891 59.564 57.5339
52.359580 60.113 50.5441
52.739000 60.666 42.1177
53.121168 61.154 32.0686
53.506106 61.503 20.4467
53.893833 61.650 7.4651
54.284370 61.551 -6.5549
54.677737 61.180 -21.2188
55.073955 60.532 -36.1088
55.473043 59.619 -50.8085
55.875024 58.477 -64.9403
56.279917 57.167 -78.2252
56.687745 55.780 -90.5142
57.098527 54.430 -101.9279
57.512287 53.230 -112.8571
57.929045 52.264 -123.7531
58.348822 51.572 -134.9042
58.771642 51.164 -146.4468
59.197525 51.028 -158.4009
59.626495 51.128 -170.7737
60.058573 51.402 176.4166
60.493782 51.770 163.1697
60.932145 52.155 149.5643
61.373685 52.492 135.7041
61.818424 52.730 121.7919
62.266386 52.838 108.1194
62.717593 52.807 94.9266
63.172071 52.651 82.4972
63.629842 52.408 71.0569
64.090930 52.127 60.6156
64.555359 51.855 51.0203
65.023154 51.622 42.0127
65.494339 51.442 33.3666
65.968938 51.324 24.9263
66.446976 51.286 16.5848
66.928478 51.346 8.2086
67.413469 51.520 -0.3379
67.901975 51.817 -9.1299
68.394021 52.242 -18.2072
68.889632 52.799 -27.5862
69.388835 53.482 -37.3328
69.891655 54.269 -47.4985
70.398118 55.128 -58.1678
70.908252 56.017 -69.3998
71.422083 56.885 -81.2318
71.939636 57.678 -93.6019
72.460941 58.354 -106.2819
72.986023 58.892 -118.9845
73.514909 59.300 -131.3539
74.047629 59.607 -143.1655
74.584208 59.856 -154.3442
75.124676 60.086 -165.0245
75.669061 60.316 -175.5389
76.217390 60.529 173.6699
76.769692 60.675 162.2212
77.325997 60.676 149.8939
77.886333 60.447 136.7610
78.450730 59.913 123.0227
79.019216 59.004 108.9346
79.591822 57.648 94.8402
80.168577 55.756 80.9749
80.749512 53.226 67.5597
81.334656 50.114 54.6012
81.924040 47.753 26.4442
82.517696 48.811 -143.5596
83.115653 51.689 -153.8198
83.717943 54.322 -163.2393
84.324598 56.460 -172.8242
84.935649 58.160 177.0840
85.551128 59.475 166.5342
86.171066 60.446 155.8523
86.795497 61.122 145.4854
87.424453 61.568 135.7910
88.057967 61.855 126.8713
88.696071 62.035 118.6396
89.338800 62.149 111.0322
89.986185 62.247 104.0613
90.638262 62.402 97.5654
91.295065 62.665 90.9072
91.956626 63.012 83.0574
92.622982 63.322 73.1318
93.294166 63.417 60.9055
93.970214 63.122 46.9341
94.651161 62.303 32.4270
95.337042 60.892 19.1511
96.027894 58.907 9.4255
96.723752 56.515 5.7771
97.424652 54.083 9.1819
98.130631 52.109 16.9175
98.841726 50.906 24.9253
99.557974 50.397 30.7649
100.279412 50.248 33.4473
101.006078 50.148 33.7083
101.738010 49.966 33.0178
102.475245 49.696 31.8264
103.217823 49.298 29.7344
103.965782 48.679 27.2170
104.719161 47.812 25.8484
105.477999 46.822 27.1379
106.242336 45.980 31.4766
107.012212 45.574 36.7280
107.787666 45.617 38.8040
108.568740 45.804 35.4907
109.355474 45.805 26.5195
110.147909 45.387 11.6963
110.946086 44.462 -9.6877
111.750047 43.329 -40.3765
112.559834 42.919 -82.4438
113.375489 43.941 -121.0088
114.197055 45.790 -145.7786
115.024574 47.741 -161.6912
115.858089 49.522 -173.4336
116.697645 51.032 176.5537
117.543284 52.268 167.9265
118.395051 53.304 160.7737
119.252990 54.196 154.6335
120.117147 54.980 149.4563
120.987565 55.744 145.5728
121.864291 56.581 142.4143
122.747370 57.482 138.7654
123.636848 58.368 133.9907
124.532771 59.168 128.2632
125.435187 59.856 121.9851
126.344142 60.438 115.5427
127.259684 60.948 109.2778
128.181860 61.424 103.1489
129.110718 61.874 96.8406
130.046308 62.297 90.3694
130.988677 62.700 83.5168
131.937875 63.032 75.4475
132.893951 63.171 65.9692
133.856956 63.047 56.1594
134.826938 62.730 47.2859
135.803950 62.376 39.2124
136.788041 62.033 29.9746
137.779264 61.509 17.9900
138.777669 60.522 4.0042
139.783309 58.898 -9.9949
140.796237 56.600 -23.1624
141.816504 53.647 -36.6421
142.844165 50.408 -54.2927
143.879273 49.105 136.2759
144.921881 51.055 120.9282
145.972045 53.505 110.4512
147.029819 55.278 99.3674
148.095257 56.388 89.3379
149.168417 57.056 81.2212
150.249353 57.410 74.2065
151.338121 57.505 68.3706
152.434780 57.533 65.7188
153.539385 57.848 66.2798
154.651995 58.483 64.8169
155.772667 59.027 58.7505
156.901460 59.193 51.1975
158.038432 59.027 45.1694
159.183644 58.737 41.5652
160.337154 58.526 39.6487
161.499023 58.462 37.5918
162.669312 58.444 34.1648
163.848081 58.320 29.5576
165.035392 58.033 25.1204
166.231306 57.658 21.7422
167.435887 57.243 17.9070
168.649196 56.625 12.1785
169.871298 55.568 6.2983
171.102255 54.030 4.9326
172.342133 52.444 14.6987
173.590995 51.680 30.9919
174.848907 51.956 41.1560
176.115934 52.857 48.6650
177.392143 54.110 54.0557
