* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -36.3 dBFS, measurement signal peak level -30.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:22:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0029 ms (-0.98 mm, -0.04 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-2nd-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.121 -3.6403
10.166832 16.910 -7.4797
10.240505 16.653 -11.6953
10.314712 16.384 -16.1297
10.389457 16.095 -20.6050
10.464743 15.714 -25.0330
10.540575 15.191 -30.0416
10.616956 14.554 -35.6981
10.693891 13.787 -41.8492
10.771383 12.838 -48.2367
10.849437 11.565 -55.6464
10.928057 10.034 -65.4020
11.007246 8.565 -78.4703
11.087009 7.577 -96.0205
11.167350 7.359 -120.9411
11.248273 7.792 -155.2184
11.329783 8.643 174.8013
11.411883 9.716 155.1315
11.494578 10.960 141.1980
11.577873 12.447 129.8389
11.661771 14.004 120.5977
11.746277 15.416 112.8057
11.831395 16.560 105.6090
11.917130 17.508 98.3725
12.003487 18.321 91.4688
12.090469 19.043 85.0219
12.178081 19.689 78.6796
12.266329 20.242 72.0035
12.355216 20.718 65.3967
12.444747 21.136 59.1093
12.534926 21.500 52.7539
12.625760 21.803 46.0634
12.717251 22.056 39.4466
12.809406 22.269 33.1799
12.902228 22.439 26.6965
12.995723 22.566 20.0322
13.089895 22.656 13.5957
13.184750 22.714 7.5187
13.280292 22.735 1.2552
13.376526 22.723 -4.9231
13.473458 22.680 -10.5878
13.571093 22.604 -15.9716
13.669434 22.497 -21.2235
13.768489 22.368 -26.0192
13.868261 22.217 -30.0803
13.968756 22.042 -33.6519
14.069979 21.875 -36.6749
14.171936 21.740 -38.9278
14.274632 21.631 -40.2385
14.378072 21.582 -40.8474
14.482261 21.649 -41.0471
14.587206 21.849 -40.5865
14.692910 22.167 -39.7343
14.799381 22.591 -39.1753
14.906624 23.131 -38.9607
15.014643 23.762 -38.9451
15.123446 24.420 -39.5223
15.233036 25.074 -40.7861
15.343421 25.726 -42.4426
15.454606 26.342 -44.4577
15.566596 26.897 -46.8992
15.679398 27.396 -49.6743
15.793018 27.828 -52.5233
15.907460 28.185 -55.4820
16.022732 28.468 -58.6399
16.138840 28.674 -61.6450
16.255788 28.800 -64.5145
16.373585 28.847 -67.3823
16.492234 28.818 -69.8725
16.611744 28.710 -72.0000
16.732119 28.531 -73.8140
16.853367 28.298 -74.9980
16.975494 28.007 -75.4888
17.098505 27.694 -75.2815
17.222408 27.403 -74.2469
17.347209 27.139 -72.2252
17.472914 26.961 -69.5098
17.599530 26.922 -66.3052
17.727063 27.015 -62.6791
17.855521 27.231 -59.3154
17.984909 27.573 -56.3387
18.115235 27.993 -53.8746
18.246506 28.432 -52.1143
18.378727 28.883 -50.9521
18.511907 29.314 -50.2193
18.646052 29.703 -49.8893
18.781169 30.055 -49.8279
18.917265 30.368 -49.8326
19.054347 30.643 -49.9449
19.192423 30.895 -50.0336
19.331499 31.130 -50.0524
19.471583 31.358 -50.0446
19.612682 31.590 -50.0040
19.754804 31.829 -49.9405
19.897956 32.078 -49.9688
20.042144 32.339 -50.0695
20.187378 32.602 -50.3074
20.333664 32.866 -50.7231
20.481010 33.122 -51.2786
20.629424 33.363 -51.9786
20.778913 33.588 -52.8038
20.929486 33.792 -53.6627
21.081150 33.975 -54.5743
21.233912 34.143 -55.4344
21.387782 34.297 -56.2377
21.542767 34.448 -56.9520
21.698874 34.601 -57.5443
21.856113 34.765 -58.0433
22.014492 34.948 -58.4454
22.174018 35.152 -58.7817
22.334700 35.384 -59.0975
22.496546 35.643 -59.4022
22.659566 35.930 -59.7565
22.823766 36.244 -60.1554
22.989157 36.583 -60.6503
23.155745 36.946 -61.2299
23.323542 37.329 -61.9414
23.492554 37.731 -62.7671
23.662790 38.147 -63.7527
23.834261 38.573 -64.8712
24.006973 39.002 -66.1462
24.180938 39.431 -67.5419
24.356163 39.852 -69.0359
24.532658 40.265 -70.5894
24.710431 40.669 -72.1384
24.889493 41.068 -73.6572
25.069853 41.469 -75.0778
25.251519 41.883 -76.4287
25.434502 42.321 -77.6724
25.618811 42.795 -78.9507
25.804456 43.309 -80.2522
25.991445 43.861 -81.8204
26.179790 44.447 -83.6302
26.369500 45.047 -85.9026
26.560584 45.648 -88.5693
26.753053 46.227 -91.7289
26.946917 46.768 -95.2687
27.142185 47.259 -99.2076
27.338869 47.688 -103.3787
27.536977 48.050 -107.7935
27.736522 48.344 -112.2713
27.937512 48.570 -116.7974
28.139959 48.733 -121.2899
28.343872 48.840 -125.6702
28.549264 48.896 -129.9604
28.756143 48.909 -134.0949
28.964522 48.882 -138.1141
29.174411 48.815 -142.0280
29.385821 48.705 -145.8240
29.598763 48.546 -149.5133
29.813248 48.327 -153.0405
30.029287 48.040 -156.2818
30.246891 47.681 -159.1555
30.466073 47.253 -161.3835
30.686842 46.777 -162.7924
30.909212 46.284 -163.1243
31.133193 45.844 -162.2604
31.358797 45.527 -160.3248
31.586035 45.393 -157.5714
31.814921 45.473 -154.7303
32.045465 45.737 -152.2764
32.277680 46.135 -150.5359
32.511577 46.602 -149.6010
32.747169 47.104 -149.3276
32.984469 47.624 -149.6018
33.223488 48.159 -150.3031
33.464239 48.713 -151.4558
33.706735 49.280 -153.0963
33.950987 49.850 -155.2665
34.197010 50.404 -158.0389
34.444816 50.919 -161.3549
34.694417 51.380 -165.1369
34.945827 51.773 -169.2989
35.199059 52.094 -173.6725
35.454126 52.348 -178.1489
35.711041 52.541 177.3395
35.969818 52.683 172.8502
36.230470 52.784 168.4060
36.493011 52.847 163.9842
36.757455 52.870 159.5728
37.023814 52.850 155.1731
37.292104 52.777 150.8324
37.562338 52.649 146.6762
37.834530 52.471 142.8370
38.108695 52.262 139.4427
38.384846 52.050 136.5941
38.662999 51.878 134.2950
38.943167 51.786 132.3442
39.225365 51.792 130.4204
39.509608 51.889 128.2072
39.795911 52.046 125.4788
40.084289 52.228 122.1482
40.374756 52.405 118.2623
40.667328 52.565 113.9459
40.962020 52.714 109.2869
41.258848 52.868 104.2587
41.557827 53.040 98.7224
41.858972 53.229 92.4706
42.162299 53.417 85.2933
42.467824 53.574 77.0411
42.775564 53.662 67.6589
43.085533 53.650 57.1874
43.397749 53.516 45.7426
43.712227 53.251 33.4936
44.028983 52.860 20.6232
44.348036 52.361 7.3156
44.669400 51.783 -6.2358
44.993093 51.168 -19.8176
45.319131 50.559 -33.1898
45.647532 49.998 -46.0815
45.978313 49.518 -58.2001
46.311491 49.146 -69.2577
46.647083 48.901 -79.0197
46.985107 48.805 -87.3773
47.325581 48.876 -94.4203
47.668521 49.114 -100.4437
48.013947 49.487 -105.8208
48.361876 49.940 -110.8002
48.712326 50.426 -115.3777
49.065315 50.933 -119.3553
49.420863 51.494 -122.5520
49.778987 52.165 -125.0459
50.139706 52.983 -127.2495
50.503039 53.936 -129.6902
50.869005 54.982 -132.7062
51.237623 56.084 -136.3618
51.608912 57.235 -140.6390
51.982891 58.437 -145.6746
52.359580 59.672 -151.8029
52.739000 60.884 -159.3717
53.121168 61.997 -168.5222
53.506106 62.934 -179.1198
53.893833 63.637 169.1467
54.284370 64.067 156.6807
54.677737 64.205 143.9426
55.073955 64.047 131.4121
55.473043 63.607 119.5667
55.875024 62.914 108.8527
56.279917 62.013 99.6338
56.687745 60.968 92.1885
57.098527 59.852 86.6033
57.512287 58.732 82.7729
57.929045 57.664 80.5308
58.348822 56.697 79.7472
58.771642 55.887 80.2023
59.197525 55.288 81.4636
59.626495 54.921 82.9180
60.058573 54.762 84.0225
60.493782 54.760 84.4679
60.932145 54.869 84.1301
61.373685 55.046 82.9222
61.818424 55.249 80.7683
62.266386 55.430 77.6919
62.717593 55.550 73.8391
63.172071 55.585 69.4408
63.629842 55.524 64.7448
64.090930 55.369 59.9421
64.555359 55.129 55.2190
65.023154 54.826 50.7389
65.494339 54.490 46.5834
65.968938 54.164 42.6580
66.446976 53.875 38.6588
66.928478 53.620 34.1747
67.413469 53.363 28.9335
67.901975 53.067 22.9071
68.394021 52.717 16.1727
68.889632 52.323 8.6445
69.388835 51.903 -0.0365
69.891655 51.453 -10.4254
70.398118 50.949 -23.0707
70.908252 50.369 -38.5225
71.422083 49.717 -57.2262
71.939636 49.022 -79.7502
72.460941 48.322 -106.0614
72.986023 47.620 -135.5748
73.514909 46.851 -166.7063
74.047629 45.912 161.3347
74.584208 44.802 126.8168
75.124676 43.993 81.9647
75.669061 44.549 13.7729
76.217390 46.676 -41.3231
76.769692 49.295 -72.8606
77.325997 51.732 -94.9688
77.886333 53.841 -112.8738
78.450730 55.638 -128.5978
79.019216 57.155 -143.1423
79.591822 58.403 -157.0374
80.168577 59.381 -170.4707
80.749512 60.100 176.6158
81.334656 60.589 164.4113
81.924040 60.886 152.9655
82.517696 61.018 142.1017
83.115653 60.973 131.5942
83.717943 60.708 121.4276
84.324598 60.174 111.9696
84.935649 59.339 103.9457
85.551128 58.219 98.5526
86.171066 56.953 97.7318
86.795497 55.956 103.5391
87.424453 55.844 113.9351
88.057967 56.706 121.8507
88.696071 58.035 124.5684
89.338800 59.460 123.6498
89.986185 60.850 120.0800
90.638262 62.121 114.0146
91.295065 63.206 105.8223
91.956626 64.074 95.9468
92.622982 64.695 84.4067
93.294166 64.978 71.0936
93.970214 64.791 56.5128
94.651161 64.027 42.0737
95.337042 62.671 29.9058
96.027894 60.846 22.3438
96.723752 58.845 20.6235
97.424652 57.036 23.4202
98.130631 55.672 28.2539
98.841726 54.821 33.8955
99.557974 54.478 39.8890
100.279412 54.622 45.3314
101.006078 55.139 48.5586
101.738010 55.791 48.4183
102.475245 56.337 45.2767
103.217823 56.639 40.4120
103.965782 56.673 35.2200
104.719161 56.509 30.8470
105.477999 56.292 27.9194
106.242336 56.189 26.0009
107.012212 56.259 23.5093
107.787666 56.404 19.2207
108.568740 56.482 13.2979
109.355474 56.432 6.3700
110.147909 56.241 -1.3635
110.946086 55.897 -9.7944
111.750047 55.406 -18.6993
112.559834 54.792 -28.2198
113.375489 54.054 -38.6980
114.197055 53.189 -50.1724
115.024574 52.247 -62.9119
115.858089 51.291 -77.8396
116.697645 50.354 -95.4688
117.543284 49.508 -115.0483
118.395051 48.905 -134.9641
119.252990 48.658 -153.0400
120.117147 48.820 -167.1306
120.987565 49.462 -176.6511
121.864291 50.540 176.4531
122.747370 51.835 169.7512
123.636848 53.129 162.3594
124.532771 54.312 154.4312
125.435187 55.336 146.1313
126.344142 56.173 137.7153
127.259684 56.826 129.6240
128.181860 57.313 122.0830
129.110718 57.646 115.1929
130.046308 57.847 109.1943
130.988677 57.968 104.4080
131.937875 58.106 101.0276
132.893951 58.343 98.2476
133.856956 58.631 94.5754
134.826938 58.835 89.8293
135.803950 58.889 85.1838
136.788041 58.851 81.6650
137.779264 58.822 79.3149
138.777669 58.869 77.5864
139.783309 59.004 76.0413
140.796237 59.225 74.5513
141.816504 59.521 72.6851
142.844165 59.821 69.7402
143.879273 60.013 65.7009
144.921881 60.011 61.1992
145.972045 59.801 57.5959
147.029819 59.544 56.9033
148.095257 59.574 59.5588
149.168417 60.101 62.5432
150.249353 60.998 62.9021
151.338121 62.022 60.2673
152.434780 63.008 55.0322
153.539385 63.853 47.5164
154.651995 64.485 38.0605
155.772667 64.846 27.0369
156.901460 64.879 14.7549
158.038432 64.521 1.7830
159.183644 63.739 -10.8127
160.337154 62.576 -21.8787
161.499023 61.139 -31.1863
162.669312 59.499 -40.1450
163.848081 57.546 -49.9661
165.035392 55.030 -59.0857
166.231306 51.773 -61.3723
167.435887 48.130 -35.5020
168.649196 46.122 28.1726
169.871298 47.378 51.8655
171.102255 49.819 61.3435
172.342133 52.056 62.0945
173.590995 53.743 56.8337
174.848907 54.919 49.9690
