* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -36.8 dBFS, measurement signal peak level -25.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:11:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9311 ms (-319 mm, -(1 ft 0.57 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-fr-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 20.451 46.7353
10.166832 20.702 45.6916
10.240505 21.007 44.6272
10.314712 21.320 43.4633
10.389457 21.639 42.1218
10.464743 21.968 40.5394
10.540575 22.313 38.7853
10.616956 22.664 36.9192
10.693891 23.010 34.9696
10.771383 23.339 32.9463
10.849437 23.651 30.7854
10.928057 23.948 28.5142
11.007246 24.231 26.2273
11.087009 24.495 24.0019
11.167350 24.739 21.8204
11.248273 24.964 19.5926
11.329783 25.172 17.4026
11.411883 25.370 15.3390
11.494578 25.557 13.4463
11.577873 25.732 11.6356
11.661771 25.900 9.9177
11.746277 26.074 8.3247
11.831395 26.258 6.9018
11.917130 26.448 5.6477
12.003487 26.650 4.4850
12.090469 26.873 3.3433
12.178081 27.123 2.2360
12.266329 27.398 1.2377
12.355216 27.694 0.2136
12.444747 28.010 -0.9682
12.534926 28.347 -2.2771
12.625760 28.703 -3.6373
12.717251 29.068 -5.1437
12.809406 29.429 -6.8864
12.902228 29.790 -8.8260
12.995723 30.146 -10.9030
13.089895 30.486 -13.1097
13.184750 30.803 -15.4869
13.280292 31.098 -18.0577
13.376526 31.367 -20.7050
13.473458 31.604 -23.3424
13.571093 31.806 -26.1032
13.669434 31.975 -28.9456
13.768489 32.108 -31.6996
13.868261 32.202 -34.3317
13.968756 32.259 -36.9986
14.069979 32.282 -39.5439
14.171936 32.274 -41.8071
14.274632 32.230 -43.9103
14.378072 32.162 -45.8216
14.482261 32.082 -47.4122
14.587206 31.987 -48.6388
14.692910 31.889 -49.5574
14.799381 31.809 -50.1939
14.906624 31.756 -50.4749
15.014643 31.731 -50.4198
15.123446 31.750 -50.2323
15.233036 31.824 -49.9675
15.343421 31.949 -49.5674
15.454606 32.113 -49.2600
15.566596 32.312 -49.1612
15.679398 32.543 -49.1820
15.793018 32.784 -49.3838
15.907460 33.021 -49.8222
16.022732 33.255 -50.4465
16.138840 33.472 -51.1511
16.255788 33.664 -51.9355
16.373585 33.834 -52.7979
16.492234 33.983 -53.5819
16.611744 34.111 -54.2765
16.732119 34.224 -54.8968
16.853367 34.334 -55.3591
16.975494 34.443 -55.6449
17.098505 34.559 -55.8121
17.222408 34.693 -55.8968
17.347209 34.847 -55.8670
17.472914 35.018 -55.8388
17.599530 35.207 -55.8804
17.727063 35.411 -55.9575
17.855521 35.614 -56.1287
17.984909 35.813 -56.4298
18.115235 36.000 -56.7794
18.246506 36.164 -57.1202
18.378727 36.305 -57.4893
18.511907 36.425 -57.6953
18.646052 36.522 -57.7115
18.781169 36.611 -57.5134
18.917265 36.709 -56.9576
19.054347 36.824 -56.0727
19.192423 36.986 -54.9436
19.331499 37.211 -53.5391
19.471583 37.505 -52.0627
19.612682 37.876 -50.7384
19.754804 38.318 -49.5510
19.897956 38.806 -48.8125
20.042144 39.332 -48.4600
20.187378 39.868 -48.5452
20.333664 40.396 -49.0876
20.481010 40.907 -49.9662
20.629424 41.386 -51.1374
20.778913 41.832 -52.5508
20.929486 42.243 -54.0664
21.081150 42.619 -55.7024
21.233912 42.966 -57.3381
21.387782 43.287 -58.9743
21.542767 43.590 -60.5753
21.698874 43.877 -62.1189
21.856113 44.155 -63.6190
22.014492 44.425 -65.0686
22.174018 44.690 -66.4774
22.334700 44.950 -67.8525
22.496546 45.205 -69.1899
22.659566 45.454 -70.4788
22.823766 45.697 -71.7163
22.989157 45.937 -72.8636
23.155745 46.176 -73.9258
23.323542 46.417 -74.8624
23.492554 46.666 -75.6830
23.662790 46.930 -76.3777
23.834261 47.212 -76.9580
24.006973 47.520 -77.4521
24.180938 47.855 -77.8726
24.356163 48.223 -78.2673
24.532658 48.625 -78.6534
24.710431 49.063 -79.0794
24.889493 49.538 -79.5841
25.069853 50.052 -80.2087
25.251519 50.604 -81.0406
25.434502 51.190 -82.0944
25.618811 51.804 -83.5081
25.804456 52.439 -85.2511
25.991445 53.077 -87.4552
26.179790 53.710 -90.0493
26.369500 54.320 -93.0974
26.560584 54.897 -96.5077
26.753053 55.429 -100.2770
26.946917 55.908 -104.2873
27.142185 56.330 -108.5375
27.338869 56.694 -112.8654
27.536977 56.999 -117.2983
27.736522 57.251 -121.6852
27.937512 57.455 -126.0472
28.139959 57.617 -130.3303
28.343872 57.744 -134.5288
28.549264 57.841 -138.6727
28.756143 57.909 -142.7720
28.964522 57.945 -146.8560
29.174411 57.943 -150.9672
29.385821 57.891 -155.0474
29.598763 57.779 -159.1007
29.813248 57.595 -163.0125
30.029287 57.331 -166.6141
30.246891 56.987 -169.8014
30.466073 56.573 -172.2487
30.686842 56.122 -173.8107
30.909212 55.672 -174.2435
31.133193 55.302 -173.5541
31.358797 55.073 -171.9791
31.586035 55.033 -169.8657
31.814921 55.182 -167.9431
32.045465 55.476 -166.5566
32.277680 55.862 -165.9106
32.511577 56.282 -165.9939
32.747169 56.709 -166.6299
32.984469 57.134 -167.6990
33.223488 57.556 -169.0808
33.464239 57.980 -170.7764
33.706735 58.406 -172.8056
33.950987 58.825 -175.1998
34.197010 59.224 -177.9973
34.444816 59.589 178.8564
34.694417 59.908 175.4208
34.945827 60.176 171.7732
35.199059 60.395 168.0349
35.454126 60.573 164.2513
35.711041 60.715 160.4358
35.969818 60.830 156.5747
36.230470 60.918 152.6125
36.493011 60.968 148.5104
36.757455 60.969 144.2682
37.023814 60.903 139.9182
37.292104 60.757 135.5739
37.562338 60.524 131.4405
37.834530 60.212 127.7010
38.108695 59.839 124.5271
38.384846 59.438 122.0583
38.662999 59.052 120.3209
38.943167 58.722 119.1300
39.225365 58.467 118.1998
39.509608 58.279 117.2532
39.795911 58.132 116.1004
40.084289 57.990 114.6925
40.374756 57.822 113.1268
40.667328 57.614 111.6054
40.962020 57.366 110.3513
41.258848 57.097 109.5482
41.557827 56.838 109.3165
41.858972 56.627 109.6752
42.162299 56.506 110.5031
42.467824 56.505 111.5251
42.775564 56.631 112.3615
43.085533 56.863 112.6390
43.397749 57.156 112.1120
43.712227 57.456 110.7215
44.028983 57.719 108.5725
44.348036 57.914 105.8588
44.669400 58.028 102.7960
44.993093 58.057 99.5775
45.319131 58.006 96.3550
45.647532 57.884 93.2403
45.978313 57.700 90.3202
46.311491 57.462 87.6720
46.647083 57.184 85.3670
46.985107 56.883 83.4540
47.325581 56.579 81.9277
47.668521 56.289 80.7080
48.013947 56.022 79.6595
48.361876 55.771 78.6547
48.712326 55.524 77.6440
49.065315 55.265 76.6816
49.420863 54.993 75.8846
49.778987 54.719 75.3426
50.139706 54.462 75.0360
50.503039 54.233 74.8244
50.869005 54.024 74.5311
51.237623 53.811 74.0759
51.608912 53.567 73.5540
51.982891 53.279 73.1971
52.359580 52.962 73.2371
52.739000 52.646 73.7514
53.121168 52.355 74.6116
53.506106 52.090 75.6180
53.893833 51.832 76.7260
54.284370 51.567 78.1414
54.677737 51.315 80.1722
55.073955 51.131 82.8824
55.473043 51.055 85.8749
55.875024 51.068 88.5719
56.279917 51.099 90.7930
56.687745 51.090 93.0286
57.098527 51.065 96.2408
57.512287 51.168 101.2247
57.929045 51.595 107.7314
58.348822 52.445 114.1961
58.771642 53.633 118.7991
59.197525 54.981 120.7421
59.626495 56.341 120.1686
60.058573 57.627 117.5153
60.493782 58.787 113.1674
60.932145 59.787 107.4693
61.373685 60.604 100.7429
61.818424 61.226 93.3263
62.266386 61.649 85.5898
62.717593 61.883 77.8510
63.172071 61.954 70.4225
63.629842 61.898 63.5498
64.090930 61.760 57.3136
64.555359 61.582 51.6653
65.023154 61.395 46.4512
65.494339 61.213 41.5096
65.968938 61.045 36.7090
66.446976 60.899 31.9381
66.928478 60.785 27.0179
67.413469 60.697 21.6963
67.901975 60.616 15.7477
68.394021 60.512 9.0613
68.889632 60.362 1.6428
69.388835 60.167 -6.4863
69.891655 59.942 -15.4882
70.398118 59.702 -25.7570
70.908252 59.439 -37.8477
71.422083 59.122 -52.2463
71.939636 58.718 -69.3354
72.460941 58.218 -89.1310
72.986023 57.656 -111.4564
73.514909 57.110 -135.3109
74.047629 56.680 -159.0361
74.584208 56.471 179.4067
75.124676 56.566 161.3483
75.669061 57.013 146.8252
76.217390 57.781 134.7666
76.769692 58.756 123.7532
77.325997 59.792 112.7036
77.886333 60.754 101.0757
78.450730 61.538 88.8446
79.019216 62.079 76.2980
79.591822 62.356 64.0935
80.168577 62.413 52.9441
80.749512 62.363 43.3462
81.334656 62.352 35.1415
81.924040 62.461 27.3722
82.517696 62.657 19.0626
83.115653 62.844 9.8182
83.717943 62.938 -0.1988
84.324598 62.894 -10.6105
84.935649 62.697 -21.0016
85.551128 62.363 -30.9205
86.171066 61.947 -40.0042
86.795497 61.525 -48.2305
87.424453 61.157 -55.9648
88.057967 60.858 -63.6008
88.696071 60.625 -71.3852
89.338800 60.443 -79.6998
89.986185 60.248 -89.1241
90.638262 59.905 -99.8942
91.295065 59.259 -111.4432
91.956626 58.201 -122.5446
92.622982 56.688 -131.5807
93.294166 54.787 -135.8347
93.970214 53.046 -128.2570
94.651161 53.001 -103.9996
95.337042 54.861 -91.1642
96.027894 56.889 -95.5649
96.723752 58.298 -106.3841
97.424652 59.072 -118.2600
98.130631 59.386 -128.9298
98.841726 59.432 -137.7195
99.557974 59.348 -144.7588
100.279412 59.231 -150.1826
101.006078 59.183 -153.9277
101.738010 59.320 -156.4495
102.475245 59.666 -159.1547
103.217823 60.089 -163.2163
103.965782 60.430 -168.3546
104.719161 60.643 -173.2706
105.477999 60.837 -176.7476
106.242336 61.203 -178.7507
107.012212 61.832 179.1138
107.787666 62.615 175.0878
108.568740 63.359 168.8328
109.355474 63.935 161.0773
110.147909 64.304 152.7000
110.946086 64.488 144.3987
111.750047 64.543 136.4677
112.559834 64.506 128.6616
113.375489 64.363 120.6675
114.197055 64.077 112.5344
115.024574 63.623 104.4293
115.858089 62.978 96.5315
116.697645 62.124 89.2932
117.543284 61.083 83.2009
118.395051 59.887 78.3253
119.252990 58.545 75.0029
120.117147 57.109 74.3287
120.987565 55.718 76.3441
121.864291 54.451 79.2332
122.747370 53.235 83.1943
123.636848 52.155 91.3037
124.532771 51.716 105.3989
125.435187 52.459 122.4158
126.344142 54.075 132.2451
127.259684 55.722 131.8356
128.181860 56.959 125.6979
129.110718 57.688 116.6367
130.046308 57.868 105.7904
130.988677 57.479 94.2529
131.937875 56.544 82.1948
132.893951 55.135 68.0750
133.856956 53.910 46.9235
134.826938 54.940 -65.7856
135.803950 58.048 -136.0624
136.788041 60.980 -161.4692
137.779264 62.973 175.5022
138.777669 63.998 154.0476
139.783309 64.233 135.5630
140.796237 63.920 120.6425
141.816504 63.221 108.5889
142.844165 62.183 99.3995
143.879273 60.905 94.7299
144.921881 59.693 95.6672
145.972045 58.928 99.8237
147.029819 58.714 103.4867
148.095257 58.891 105.6870
149.168417 59.333 106.8406
150.249353 59.991 106.7568
151.338121 60.748 103.7942
152.434780 61.382 97.2626
153.539385 61.734 88.3508
154.651995 61.751 77.9025
155.772667 61.374 66.0393
156.901460 60.520 53.3740
158.038432 59.155 41.1781
159.183644 57.379 30.5651
160.337154 55.579 20.2120
161.499023 54.548 2.7388
162.669312 54.980 -31.1404
163.848081 56.556 -75.6830
165.035392 58.388 -112.5940
166.231306 59.932 -139.2604
167.435887 61.067 -158.7906
168.649196 61.861 -173.2145
169.871298 62.414 176.0980
171.102255 62.846 168.5996
172.342133 63.320 164.0648
173.590995 63.932 160.7911
174.848907 64.590 156.6934
176.115934 65.166 152.0046
177.392143 65.723 148.6514
