* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.3 dBFS, measurement signal peak level -29.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:09:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0121 ms (-4.1 mm, -0.16 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-fr-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 18.169 -7.2313
10.166832 18.758 -11.4243
10.240505 19.465 -15.4739
10.314712 20.189 -19.3964
10.389457 20.910 -23.2673
10.464743 21.596 -27.2008
10.540575 22.227 -31.2352
10.616956 22.818 -35.2454
10.693891 23.370 -39.1729
10.771383 23.878 -43.0295
10.849437 24.341 -47.0258
10.928057 24.759 -51.1431
11.007246 25.131 -55.2131
11.087009 25.456 -59.1375
11.167350 25.732 -63.0531
11.248273 25.960 -67.1882
11.329783 26.135 -71.3337
11.411883 26.254 -75.3020
11.494578 26.318 -79.1053
11.577873 26.325 -83.1209
11.661771 26.270 -87.1719
11.746277 26.146 -91.0117
11.831395 25.951 -94.5467
11.917130 25.687 -98.1794
12.003487 25.342 -101.7752
12.090469 24.903 -105.0496
12.178081 24.360 -107.8114
12.266329 23.717 -110.3247
12.355216 22.967 -112.4475
12.444747 22.096 -113.8376
12.534926 21.038 -114.0087
12.625760 19.829 -112.6508
12.717251 18.664 -109.4210
12.809406 17.757 -104.0116
12.902228 17.120 -95.2209
12.995723 16.754 -83.7587
13.089895 16.746 -72.5378
13.184750 17.208 -63.9691
13.280292 18.115 -57.9650
13.376526 19.158 -54.3529
13.473458 20.043 -52.5554
13.571093 20.738 -52.4189
13.669434 21.300 -53.2893
13.768489 21.715 -54.3969
13.868261 21.961 -55.5712
13.968756 22.045 -57.2392
14.069979 21.983 -58.7211
14.171936 21.781 -59.3452
14.274632 21.416 -59.4641
14.378072 20.964 -58.7884
14.482261 20.526 -56.6418
14.587206 20.089 -52.5114
14.692910 19.740 -46.5341
14.799381 19.703 -39.5637
14.906624 20.118 -32.2289
15.014643 20.871 -25.3826
15.123446 21.774 -20.6354
15.233036 22.749 -18.1621
15.343421 23.792 -17.1394
15.454606 24.773 -17.4513
15.566596 25.612 -19.0022
15.679398 26.336 -21.3991
15.793018 26.945 -24.1795
15.907460 27.431 -27.3742
16.022732 27.798 -31.0620
16.138840 28.054 -34.7006
16.255788 28.202 -38.3340
16.373585 28.240 -42.1751
16.492234 28.179 -45.6781
16.611744 28.016 -48.8935
16.732119 27.760 -51.9410
16.853367 27.427 -54.3676
16.975494 27.014 -56.1167
17.098505 26.558 -57.2163
17.222408 26.108 -57.4433
17.347209 25.667 -56.5488
17.472914 25.311 -54.8761
17.599530 25.109 -52.6148
17.727063 25.054 -49.7502
17.855521 25.143 -47.1512
17.984909 25.384 -44.9778
18.115235 25.717 -43.3173
18.246506 26.071 -42.3981
18.378727 26.440 -42.1278
18.511907 26.787 -42.1885
18.646052 27.090 -42.5634
18.781169 27.362 -43.1068
18.917265 27.611 -43.5027
19.054347 27.842 -43.8316
19.192423 28.087 -44.0161
19.331499 28.359 -43.9675
19.471583 28.670 -43.8599
19.612682 29.035 -43.8257
19.754804 29.448 -43.8385
19.897956 29.894 -44.1888
20.042144 30.366 -44.8237
20.187378 30.837 -45.7658
20.333664 31.289 -47.0716
20.481010 31.714 -48.5941
20.629424 32.095 -50.2517
20.778913 32.432 -52.0344
20.929486 32.726 -53.6963
21.081150 32.978 -55.3002
21.233912 33.205 -56.6710
21.387782 33.414 -57.7896
21.542767 33.622 -58.6830
21.698874 33.844 -59.3052
21.856113 34.087 -59.7783
22.014492 34.360 -60.1720
22.174018 34.660 -60.5403
22.334700 34.978 -61.0275
22.496546 35.307 -61.6000
22.659566 35.630 -62.3198
22.823766 35.942 -63.1407
22.989157 36.233 -63.9855
23.155745 36.503 -64.8422
23.323542 36.756 -65.5715
23.492554 36.998 -66.1897
23.662790 37.243 -66.6142
23.834261 37.501 -66.8751
24.006973 37.787 -67.0104
24.180938 38.104 -67.0553
24.356163 38.458 -67.1265
24.532658 38.847 -67.2450
24.710431 39.267 -67.5072
24.889493 39.713 -67.9131
25.069853 40.180 -68.4924
25.251519 40.667 -69.2598
25.434502 41.175 -70.2006
25.618811 41.702 -71.3935
25.804456 42.250 -72.8075
25.991445 42.812 -74.5810
26.179790 43.384 -76.6683
26.369500 43.952 -79.1930
26.560584 44.506 -82.0860
26.753053 45.030 -85.3958
26.946917 45.513 -89.0135
27.142185 45.946 -92.9482
27.338869 46.322 -97.0309
27.536977 46.640 -101.2747
27.736522 46.900 -105.4994
27.937512 47.108 -109.7039
28.139959 47.271 -113.8025
28.343872 47.401 -117.7721
28.549264 47.504 -121.6283
28.756143 47.589 -125.3938
28.964522 47.655 -129.1230
29.174411 47.699 -132.8796
29.385821 47.706 -136.6766
29.598763 47.664 -140.5259
29.813248 47.552 -144.3752
30.029287 47.355 -148.0422
30.246891 47.063 -151.4477
30.466073 46.674 -154.2102
30.686842 46.209 -156.1048
30.909212 45.703 -156.7900
31.133193 45.242 -156.0388
31.358797 44.919 -154.0082
31.586035 44.818 -151.0273
31.814921 44.973 -148.1508
32.045465 45.326 -146.0397
32.277680 45.795 -145.0698
32.511577 46.276 -145.2746
32.747169 46.715 -146.2811
32.984469 47.089 -147.8180
33.223488 47.397 -149.5410
33.464239 47.664 -151.2136
33.706735 47.915 -152.7925
33.950987 48.176 -154.2619
34.197010 48.467 -155.7748
34.444816 48.786 -157.5022
34.694417 49.121 -159.5529
34.945827 49.454 -162.0246
35.199059 49.760 -164.9231
35.454126 50.020 -168.1716
35.711041 50.220 -171.6933
35.969818 50.352 -175.3962
36.230470 50.411 -179.1378
36.493011 50.395 177.1949
36.757455 50.307 173.7030
37.023814 50.151 170.4970
37.292104 49.937 167.7021
37.562338 49.681 165.4160
37.834530 49.401 163.6890
38.108695 49.117 162.5430
38.384846 48.848 161.9605
38.662999 48.607 161.8828
38.943167 48.404 162.2401
39.225365 48.244 162.9939
39.509608 48.135 164.1169
39.795911 48.083 165.5801
40.084289 48.095 167.3500
40.374756 48.179 169.4012
40.667328 48.343 171.7625
40.962020 48.613 174.5294
41.258848 49.037 177.7333
41.557827 49.674 -178.8652
41.858972 50.554 -175.8808
42.162299 51.646 -174.1097
42.467824 52.862 -174.1490
42.775564 54.092 -176.1752
43.085533 55.246 179.9919
43.397749 56.265 174.7138
43.712227 57.120 168.3959
44.028983 57.801 161.4135
44.348036 58.310 154.0789
44.669400 58.657 146.6453
44.993093 58.856 139.3185
45.319131 58.924 132.2680
45.647532 58.880 125.6391
45.978313 58.745 119.5564
46.311491 58.547 114.1166
46.647083 58.319 109.3642
46.985107 58.096 105.2568
47.325581 57.909 101.6447
47.668521 57.772 98.3004
48.013947 57.679 95.0060
48.361876 57.610 91.6525
48.712326 57.545 88.2823
49.065315 57.483 85.0412
49.420863 57.445 82.0588
49.778987 57.469 79.3150
50.139706 57.587 76.5773
50.503039 57.808 73.4823
50.869005 58.108 69.7063
51.237623 58.446 65.0930
51.608912 58.791 59.6439
51.982891 59.126 53.4092
52.359580 59.446 46.3813
52.739000 59.746 38.4599
53.121168 60.005 29.4996
53.506106 60.191 19.3960
53.893833 60.261 8.1278
54.284370 60.175 -4.2227
54.677737 59.900 -17.4716
55.073955 59.414 -31.3685
55.473043 58.710 -45.6216
55.875024 57.797 -59.9226
56.279917 56.703 -74.0005
56.687745 55.487 -87.5803
57.098527 54.245 -100.5007
57.512287 53.106 -112.8427
57.929045 52.207 -124.9370
58.348822 51.638 -137.1913
58.771642 51.415 -149.9231
59.197525 51.484 -163.1489
59.626495 51.766 -176.6824
60.058573 52.183 169.6566
60.493782 52.659 155.9576
60.932145 53.122 142.2576
61.373685 53.508 128.5687
61.818424 53.762 115.0308
62.266386 53.856 101.9146
62.717593 53.785 89.4615
63.172071 53.574 77.9544
63.629842 53.275 67.5914
64.090930 52.951 58.3351
64.555359 52.659 49.9422
65.023154 52.431 42.0519
65.494339 52.274 34.3695
65.968938 52.184 26.7100
66.446976 52.164 18.9869
66.928478 52.222 11.0975
67.413469 52.363 2.8992
67.901975 52.584 -5.7177
68.394021 52.874 -14.7648
68.889632 53.235 -24.1425
69.388835 53.688 -33.7415
69.891655 54.257 -43.5847
70.398118 54.948 -53.9133
70.908252 55.726 -64.9954
71.422083 56.521 -76.9739
71.939636 57.262 -89.7197
72.460941 57.901 -102.8830
72.986023 58.423 -116.1190
73.514909 58.833 -129.0935
74.047629 59.150 -141.6215
74.584208 59.401 -153.6140
75.124676 59.614 -165.0991
75.669061 59.812 -176.2993
76.217390 59.991 172.4084
76.769692 60.107 160.6458
77.325997 60.091 148.1909
77.886333 59.868 135.1099
78.450730 59.370 121.5469
79.019216 58.536 107.6421
79.591822 57.287 93.6155
80.168577 55.516 79.7130
80.749512 53.105 66.3463
81.334656 50.042 54.0366
81.924040 47.354 42.1091
82.517696 47.944 -145.6263
83.115653 50.879 -154.9713
83.717943 53.689 -164.2769
84.324598 55.980 -174.0835
84.935649 57.811 175.4333
85.551128 59.236 164.2507
86.171066 60.278 152.6274
86.795497 60.968 141.1804
87.424453 61.388 130.6277
88.057967 61.649 121.2539
88.696071 61.841 112.7329
89.338800 61.992 104.6283
89.986185 62.112 96.9158
90.638262 62.261 89.6860
91.295065 62.508 82.3771
91.956626 62.826 73.7308
92.622982 63.062 62.7722
93.294166 63.006 49.5417
93.970214 62.482 35.0172
94.651161 61.379 20.8699
95.337042 59.683 9.4287
96.027894 57.539 3.4293
96.723752 55.327 4.0590
97.424652 53.537 7.8864
98.130631 52.331 10.3115
98.841726 51.466 10.5533
99.557974 50.667 9.4829
100.279412 49.774 7.8933
101.006078 48.722 7.0292
101.738010 47.591 8.7866
102.475245 46.650 13.5702
103.217823 46.086 17.9530
103.965782 45.701 19.2314
104.719161 45.199 19.0430
105.477999 44.567 20.5905
106.242336 44.134 25.3450
107.012212 44.233 29.6160
107.787666 44.711 28.1461
108.568740 45.159 20.1974
109.355474 45.358 6.6727
110.147909 45.265 -12.5000
110.946086 44.966 -37.4438
111.750047 44.775 -66.5668
112.559834 45.140 -95.3893
113.375489 46.176 -119.4353
114.197055 47.579 -138.0389
115.024574 49.058 -152.6323
115.858089 50.450 -164.9225
116.697645 51.664 -175.9340
117.543284 52.683 174.2053
118.395051 53.539 165.4596
119.252990 54.261 157.7203
120.117147 54.892 151.1169
120.987565 55.505 145.7551
121.864291 56.164 141.2758
122.747370 56.883 136.9263
123.636848 57.622 132.1394
124.532771 58.331 126.7611
125.435187 58.952 120.5000
126.344142 59.408 113.3806
127.259684 59.676 106.4082
128.181860 59.839 100.3293
129.110718 59.977 94.8219
130.046308 60.143 89.9155
130.988677 60.419 85.4608
131.937875 60.777 79.6996
132.893951 61.029 71.7844
133.856956 61.049 63.0820
134.826938 60.901 54.9938
135.803950 60.728 47.0697
136.788041 60.530 37.1252
137.779264 60.083 23.7648
138.777669 59.115 7.7048
139.783309 57.494 -10.0286
140.796237 55.299 -31.3608
141.816504 53.051 -69.0220
142.844165 52.227 -160.0850
143.879273 53.498 151.1757
144.921881 55.388 129.6205
145.972045 56.944 114.1715
147.029819 57.967 100.9283
148.095257 58.513 89.6317
149.168417 58.693 80.2915
150.249353 58.597 72.8555
151.338121 58.359 68.1635
152.434780 58.284 67.4685
153.539385 58.692 68.7524
154.651995 59.425 66.1470
155.772667 59.952 58.2458
156.901460 59.963 48.7803
158.038432 59.501 41.3419
159.183644 58.797 37.4119
160.337154 58.125 36.7302
161.499023 57.708 38.0345
162.669312 57.671 40.1013
163.848081 58.027 41.3875
165.035392 58.636 40.1470
166.231306 59.230 35.0593
167.435887 59.505 26.2224
168.649196 59.248 15.7323
169.871298 58.407 6.2528
171.102255 57.077 0.5361
172.342133 55.565 1.2324
173.590995 54.321 5.6403
