* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.2 dBFS, measurement signal peak level -31.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:10:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0024 ms (-0.83 mm, -0.03 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-fr-p1-r-dup
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 18.468 37.7822
10.166832 19.105 37.8345
10.240505 19.868 37.3644
10.314712 20.649 36.3994
10.389457 21.423 34.9501
10.464743 22.140 32.9983
10.540575 22.772 30.6166
10.616956 23.345 27.9808
10.693891 23.865 25.1988
10.771383 24.333 22.3099
10.849437 24.745 19.1320
10.928057 25.103 15.6898
11.007246 25.407 12.1718
11.087009 25.660 8.7062
11.167350 25.864 5.1836
11.248273 26.014 1.3679
11.329783 26.110 -2.5380
11.411883 26.152 -6.3385
11.494578 26.138 -10.0244
11.577873 26.069 -13.9665
11.661771 25.939 -18.0068
11.746277 25.742 -21.9093
11.831395 25.477 -25.5761
11.917130 25.146 -29.4022
12.003487 24.735 -33.2715
12.090469 24.228 -36.9174
12.178081 23.621 -40.1735
12.266329 22.920 -43.3435
12.355216 22.089 -46.2950
12.444747 21.076 -48.6719
12.534926 19.791 -50.0652
12.625760 18.278 -50.2435
12.717251 16.754 -48.5567
12.809406 15.445 -43.7922
12.902228 14.309 -33.0829
12.995723 13.461 -14.7942
13.089895 13.249 5.7243
13.184750 14.022 20.3316
13.280292 15.655 28.6942
13.376526 17.519 32.4935
13.473458 19.092 33.4757
13.571093 20.324 32.5902
13.669434 21.363 30.6627
13.768489 22.261 28.2458
13.868261 23.031 25.4365
13.968756 23.664 22.1204
14.069979 24.194 18.6723
14.171936 24.650 15.3009
14.274632 25.024 11.6931
14.378072 25.326 8.0063
14.482261 25.573 4.4963
14.587206 25.765 0.9882
14.692910 25.905 -2.5576
14.799381 26.003 -5.9298
14.906624 26.063 -9.1387
15.014643 26.085 -12.3103
15.123446 26.079 -15.3027
15.233036 26.048 -18.0548
15.343421 25.994 -20.6686
15.454606 25.926 -23.0759
15.566596 25.850 -25.2080
15.679398 25.767 -27.1062
15.793018 25.689 -28.7789
15.907460 25.626 -30.1805
16.022732 25.578 -31.3055
16.138840 25.559 -32.2611
16.255788 25.579 -33.0335
16.373585 25.637 -33.6149
16.492234 25.738 -34.2092
16.611744 25.886 -34.8032
16.732119 26.074 -35.4164
16.853367 26.290 -36.2370
16.975494 26.533 -37.2365
17.098505 26.788 -38.3994
17.222408 27.035 -39.7879
17.347209 27.274 -41.4050
17.472914 27.487 -43.1018
17.599530 27.661 -44.8748
17.727063 27.798 -46.7337
17.855521 27.889 -48.3746
17.984909 27.931 -49.8770
18.115235 27.935 -51.1066
18.246506 27.914 -51.7710
18.378727 27.876 -51.9483
18.511907 27.870 -51.5454
18.646052 27.922 -50.4125
18.781169 28.060 -48.7933
18.917265 28.335 -47.0337
19.054347 28.747 -45.1029
19.192423 29.268 -43.7304
19.331499 29.891 -42.9521
19.471583 30.565 -42.8524
19.612682 31.232 -43.6792
19.754804 31.880 -45.1509
19.897956 32.466 -47.1727
20.042144 32.979 -49.7728
20.187378 33.406 -52.5624
20.333664 33.737 -55.5674
20.481010 33.975 -58.6301
20.629424 34.119 -61.4156
20.778913 34.175 -64.0797
20.929486 34.162 -66.1597
21.081150 34.088 -67.7369
21.233912 33.998 -68.6286
21.387782 33.912 -68.6896
21.542767 33.883 -68.1424
21.698874 33.949 -66.9641
21.856113 34.121 -65.5208
22.014492 34.415 -64.1780
22.174018 34.800 -63.0542
22.334700 35.238 -62.5111
22.496546 35.704 -62.4184
22.659566 36.153 -62.8000
22.823766 36.576 -63.5354
22.989157 36.960 -64.4026
23.155745 37.308 -65.3835
23.323542 37.632 -66.2471
23.492554 37.941 -67.0277
23.662790 38.260 -67.6615
23.834261 38.595 -68.1902
24.006973 38.959 -68.7298
24.180938 39.349 -69.2979
24.356163 39.760 -70.0421
24.532658 40.182 -70.9266
24.710431 40.604 -71.9928
24.889493 41.020 -73.1686
25.069853 41.428 -74.3953
25.251519 41.837 -75.6337
25.434502 42.257 -76.8122
25.618811 42.704 -78.0249
25.804456 43.189 -79.2391
25.991445 43.718 -80.7187
26.179790 44.288 -82.4431
26.369500 44.883 -84.6986
26.560584 45.484 -87.4153
26.753053 46.065 -90.7345
26.946917 46.605 -94.5105
27.142185 47.085 -98.7773
27.338869 47.492 -103.2987
27.536977 47.819 -108.0961
27.736522 48.063 -112.9014
27.937512 48.228 -117.6950
28.139959 48.321 -122.3322
28.343872 48.358 -126.7129
28.549264 48.350 -130.8335
28.756143 48.318 -134.6404
28.964522 48.273 -138.2169
29.174411 48.223 -141.6040
29.385821 48.166 -144.9275
29.598763 48.091 -148.2215
29.813248 47.982 -151.5525
30.029287 47.816 -154.8067
30.246891 47.578 -157.9480
30.466073 47.253 -160.6802
30.686842 46.847 -162.7739
30.909212 46.379 -163.9342
31.133193 45.903 -163.8019
31.358797 45.502 -162.3183
31.586035 45.261 -159.5026
31.814921 45.267 -156.0584
32.045465 45.522 -152.7217
32.277680 45.986 -150.1071
32.511577 46.569 -148.6230
32.747169 47.202 -148.1941
32.984469 47.843 -148.6689
33.223488 48.465 -149.8557
33.464239 49.063 -151.6130
33.706735 49.631 -153.8557
33.950987 50.168 -156.5282
34.197010 50.665 -159.5998
34.444816 51.117 -163.0062
34.694417 51.519 -166.6914
34.945827 51.868 -170.5960
35.199059 52.168 -174.6298
35.454126 52.423 -178.7570
35.711041 52.638 177.0340
35.969818 52.816 172.7378
36.230470 52.956 168.3326
36.493011 53.051 163.8121
36.757455 53.090 159.2006
37.023814 53.061 154.5522
37.292104 52.955 150.0004
37.562338 52.773 145.7595
37.834530 52.532 142.0120
38.108695 52.264 138.9109
38.384846 52.016 136.5376
38.662999 51.842 134.7955
38.943167 51.787 133.3083
39.225365 51.852 131.6247
39.509608 52.007 129.3953
39.795911 52.204 126.4537
40.084289 52.398 122.8226
40.374756 52.559 118.6641
40.667328 52.686 114.1906
40.962020 52.800 109.5236
41.258848 52.930 104.6172
41.557827 53.099 99.2750
41.858972 53.310 93.2130
42.162299 53.543 86.1535
42.467824 53.759 77.9069
42.775564 53.914 68.4082
43.085533 53.970 57.7074
43.397749 53.898 45.9370
43.712227 53.687 33.2856
44.028983 53.335 19.9576
44.348036 52.853 6.1628
44.669400 52.263 -7.8705
44.993093 51.599 -21.8832
45.319131 50.905 -35.5820
45.647532 50.230 -48.6481
45.978313 49.629 -60.7690
46.311491 49.152 -71.6899
46.647083 48.842 -81.2705
46.985107 48.726 -89.5277
47.325581 48.810 -96.6428
47.668521 49.074 -102.9118
48.013947 49.474 -108.6381
48.361876 49.954 -114.0120
48.712326 50.466 -119.0446
49.065315 50.987 -123.5952
49.420863 51.530 -127.4847
49.778987 52.136 -130.6537
50.139706 52.848 -133.2867
50.503039 53.688 -135.7917
50.869005 54.640 -138.6256
51.237623 55.665 -142.1046
51.608912 56.724 -146.3561
51.982891 57.790 -151.4144
52.359580 58.843 -157.3287
52.739000 59.861 -164.1924
53.121168 60.809 -172.0908
53.506106 61.646 178.9691
53.893833 62.330 169.0806
54.284370 62.824 158.4283
54.677737 63.100 147.2802
55.073955 63.139 135.9598
55.473043 62.932 124.8297
55.875024 62.483 114.2762
56.279917 61.805 104.6752
56.687745 60.930 96.4511
57.098527 59.914 89.9948
57.512287 58.834 85.5461
57.929045 57.790 83.0892
58.348822 56.874 82.3170
58.771642 56.153 82.6328
59.197525 55.650 83.4107
59.626495 55.352 84.1606
60.058573 55.228 84.5286
60.493782 55.231 84.2535
60.932145 55.314 83.1852
61.373685 55.429 81.2889
61.818424 55.536 78.6218
62.266386 55.604 75.3118
62.717593 55.614 71.5090
63.172071 55.556 67.3742
63.629842 55.428 63.0558
64.090930 55.232 58.6631
64.555359 54.974 54.3148
65.023154 54.669 50.1414
65.494339 54.343 46.2349
65.968938 54.035 42.5344
66.446976 53.779 38.7399
66.928478 53.571 34.3681
67.413469 53.369 29.0429
67.901975 53.111 22.7185
68.394021 52.757 15.6307
68.889632 52.314 7.9817
69.388835 51.825 -0.2908
69.891655 51.339 -9.6843
70.398118 50.870 -20.9788
70.908252 50.395 -34.9099
71.422083 49.868 -51.8899
71.939636 49.245 -72.1139
72.460941 48.480 -95.1069
72.986023 47.500 -120.0680
73.514909 46.177 -145.3149
74.047629 44.352 -169.0028
74.584208 42.146 172.6646
75.124676 41.347 -153.2058
75.669061 43.780 -78.9543
76.217390 47.107 -89.4019
76.769692 49.949 -103.2864
77.325997 52.247 -116.7649
77.886333 54.153 -129.2737
78.450730 55.789 -140.9924
79.019216 57.219 -152.3357
79.591822 58.450 -163.7279
80.168577 59.460 -175.2955
80.749512 60.238 173.1455
81.334656 60.801 161.9399
81.924040 61.193 151.2439
82.517696 61.441 140.8881
83.115653 61.530 130.6077
83.717943 61.411 120.3676
84.324598 61.033 110.5094
84.935649 60.358 101.6489
85.551128 59.382 94.7837
86.171066 58.185 91.6475
86.795497 57.076 94.4231
87.424453 56.620 102.3704
88.057967 57.075 109.6190
88.696071 58.093 112.7405
89.338800 59.323 112.5817
89.986185 60.608 109.7351
90.638262 61.824 104.0225
91.295065 62.856 95.6418
91.956626 63.623 85.0605
92.622982 64.058 72.5640
93.294166 64.058 58.4932
93.970214 63.508 43.7727
94.651161 62.325 30.1780
95.337042 60.528 20.3422
96.027894 58.322 17.1714
96.723752 56.145 21.3579
97.424652 54.504 29.3296
98.130631 53.625 37.6366
98.841726 53.449 45.3684
99.557974 53.835 51.6604
100.279412 54.577 55.0668
101.006078 55.408 54.7408
101.738010 56.094 51.2579
102.475245 56.514 45.9556
103.217823 56.647 40.0664
103.965782 56.532 34.5144
104.719161 56.252 30.0464
105.477999 55.952 27.1713
106.242336 55.807 25.4358
107.012212 55.883 23.0043
107.787666 56.055 18.3724
108.568740 56.142 11.7280
109.355474 56.061 3.9385
110.147909 55.806 -4.5381
110.946086 55.393 -13.5112
111.750047 54.861 -22.9651
112.559834 54.243 -33.3754
113.375489 53.530 -45.2450
114.197055 52.724 -58.5210
115.024574 51.922 -73.3016
115.858089 51.259 -90.3723
116.697645 50.791 -109.8977
117.543284 50.535 -130.2875
118.395051 50.532 -149.3062
119.252990 50.782 -165.5496
120.117147 51.230 -178.5170
120.987565 51.865 171.9628
121.864291 52.735 165.3096
122.747370 53.823 159.7789
123.636848 54.989 153.6788
124.532771 56.084 146.5865
125.435187 57.017 138.7471
126.344142 57.747 130.6224
127.259684 58.281 122.7277
128.181860 58.648 115.3258
129.110718 58.877 108.6040
130.046308 59.018 102.8452
130.988677 59.140 98.0315
131.937875 59.284 93.7014
132.893951 59.442 89.2770
133.856956 59.554 84.4193
134.826938 59.546 79.1866
135.803950 59.369 74.2910
136.788041 59.067 70.8761
137.779264 58.773 69.4355
138.777669 58.628 69.3763
139.783309 58.689 69.5471
140.796237 58.917 69.1262
141.816504 59.230 67.6580
142.844165 59.504 64.7108
143.879273 59.606 60.5656
144.921881 59.448 56.3423
145.972045 59.078 54.1290
147.029819 58.794 56.3176
148.095257 59.046 62.0804
149.168417 59.948 66.3936
150.249353 61.175 66.3528
151.338121 62.406 62.5255
152.434780 63.481 55.9138
153.539385 64.330 47.2491
154.651995 64.912 36.9982
155.772667 65.184 25.5264
156.901460 65.104 13.3740
158.038432 64.650 1.3413
159.183644 63.849 -9.5538
160.337154 62.801 -18.4257
161.499023 61.672 -25.5400
162.669312 60.560 -32.9154
163.848081 59.354 -42.4730
165.035392 57.786 -54.4170
166.231306 55.580 -67.5688
167.435887 52.589 -79.6882
168.649196 49.268 -74.6199
169.871298 47.951 58.7053
171.102255 49.535 57.0743
172.342133 51.519 51.0597
173.590995 52.961 43.3193
174.848907 53.916 35.9260
176.115934 54.583 28.8397
