* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.4 dBFS, measurement signal peak level -31.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:10:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0031 ms (-1.1 mm, -0.04 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: qrd-fr-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.831 -61.3059
10.166832 17.651 -66.0952
10.240505 17.430 -71.4307
10.314712 17.200 -77.1661
10.389457 16.955 -83.1424
10.464743 16.644 -89.3196
10.540575 16.214 -96.4292
10.616956 15.728 -104.5971
10.693891 15.266 -113.7019
10.771383 14.897 -123.5304
10.849437 14.608 -134.6920
10.928057 14.393 -147.5946
11.007246 14.309 -161.5018
11.087009 14.432 -175.3135
11.167350 14.824 171.4446
11.248273 15.461 158.7116
11.329783 16.237 147.2634
11.411883 17.041 137.4252
11.494578 17.823 128.9400
11.577873 18.626 121.1924
11.661771 19.429 114.2426
11.746277 20.190 108.1090
11.831395 20.886 102.6433
11.917130 21.527 97.4891
12.003487 22.124 92.6689
12.090469 22.684 88.2190
12.178081 23.207 84.0871
12.266329 23.690 80.1058
12.355216 24.140 76.2702
12.444747 24.568 72.5834
12.534926 24.974 69.0127
12.625760 25.356 65.4992
12.717251 25.719 62.0099
12.809406 26.068 58.5080
12.902228 26.402 54.9730
12.995723 26.720 51.3950
13.089895 27.022 47.7419
13.184750 27.308 43.9532
13.280292 27.579 40.0082
13.376526 27.831 35.9497
13.473458 28.062 31.7741
13.571093 28.272 27.3395
13.669434 28.459 22.6996
13.768489 28.620 17.9651
13.868261 28.752 13.0605
13.968756 28.857 7.8154
14.069979 28.931 2.4446
14.171936 28.972 -2.9368
14.274632 28.978 -8.6880
14.378072 28.949 -14.6405
14.482261 28.881 -20.5011
14.587206 28.773 -26.5963
14.692910 28.622 -32.9659
14.799381 28.422 -39.2166
14.906624 28.172 -45.4601
15.014643 27.869 -51.9954
15.123446 27.498 -58.3964
15.233036 27.057 -64.5482
15.343421 26.539 -70.8964
15.454606 25.918 -77.0474
15.566596 25.184 -82.6894
15.679398 24.324 -88.2430
15.793018 23.266 -93.3411
15.907460 21.935 -97.3691
16.022732 20.351 -100.2491
16.138840 18.579 -101.0619
16.255788 16.487 -97.0104
16.373585 14.373 -81.9595
16.492234 13.564 -50.9561
16.611744 14.987 -22.3461
16.732119 17.475 -9.5573
16.853367 19.736 -5.7648
16.975494 21.617 -5.9080
17.098505 23.255 -7.6669
17.222408 24.626 -10.1759
17.347209 25.740 -13.3348
17.472914 26.676 -16.5838
17.599530 27.483 -19.8383
17.727063 28.158 -23.2144
17.855521 28.731 -26.3398
17.984909 29.210 -29.3927
18.115235 29.605 -32.2923
18.246506 29.930 -34.9452
18.378727 30.189 -37.2887
18.511907 30.399 -39.2300
18.646052 30.566 -40.8735
18.781169 30.705 -42.2070
18.917265 30.840 -43.1512
19.054347 30.975 -43.7189
19.192423 31.137 -44.1021
19.331499 31.338 -44.2487
19.471583 31.580 -44.3680
19.612682 31.867 -44.7210
19.754804 32.191 -45.2295
19.897956 32.527 -46.2242
20.042144 32.866 -47.6678
20.187378 33.176 -49.5366
20.333664 33.435 -51.9550
20.481010 33.629 -54.7300
20.629424 33.731 -57.7578
20.778913 33.734 -61.1108
20.929486 33.620 -64.2823
21.081150 33.381 -67.5167
21.233912 33.014 -70.1733
21.387782 32.514 -72.1864
21.542767 31.926 -73.1293
21.698874 31.272 -72.3394
21.856113 30.700 -69.7452
22.014492 30.378 -65.0715
22.174018 30.392 -59.1056
22.334700 30.861 -53.6393
22.496546 31.673 -49.4242
22.659566 32.618 -47.6089
22.823766 33.620 -47.5314
22.989157 34.535 -48.9580
23.155745 35.350 -51.3822
23.323542 36.048 -54.1933
23.492554 36.638 -57.3188
23.662790 37.148 -60.1543
23.834261 37.599 -62.8015
24.006973 38.039 -64.8986
24.180938 38.495 -66.5931
24.356163 39.010 -67.9282
24.532658 39.594 -69.0770
24.710431 40.250 -70.3629
24.889493 40.957 -71.8715
25.069853 41.685 -73.8484
25.251519 42.402 -76.1927
25.434502 43.081 -78.9612
25.618811 43.704 -81.9112
25.804456 44.262 -85.0364
25.991445 44.758 -88.0516
26.179790 45.201 -90.9698
26.369500 45.613 -93.5962
26.560584 46.011 -96.0038
26.753053 46.422 -98.1767
26.946917 46.856 -100.3132
27.142185 47.322 -102.4846
27.338869 47.806 -104.9794
27.536977 48.296 -107.8127
27.736522 48.761 -111.1644
27.937512 49.180 -114.9395
28.139959 49.528 -119.1896
28.343872 49.788 -123.6936
28.549264 49.950 -128.4871
28.756143 50.006 -133.2898
28.964522 49.956 -138.0623
29.174411 49.804 -142.6785
29.385821 49.560 -146.9464
29.598763 49.233 -150.8569
29.813248 48.840 -154.2466
30.029287 48.398 -157.1158
30.246891 47.918 -159.3850
30.466073 47.418 -161.0432
30.686842 46.909 -162.0229
30.909212 46.408 -162.2277
31.133193 45.946 -161.5536
31.358797 45.574 -159.9453
31.586035 45.347 -157.4313
31.814921 45.338 -154.4348
32.045465 45.563 -151.5747
32.277680 46.001 -149.3915
32.511577 46.572 -148.4126
32.747169 47.194 -148.6298
32.984469 47.807 -149.8683
33.223488 48.370 -151.8687
33.464239 48.874 -154.2648
33.706735 49.329 -156.8669
33.950987 49.753 -159.5173
34.197010 50.172 -162.1635
34.444816 50.600 -164.9135
34.694417 51.040 -167.8663
34.945827 51.483 -171.1570
35.199059 51.905 -174.8984
35.454126 52.281 -179.0571
35.711041 52.587 176.4276
35.969818 52.806 171.6474
36.230470 52.930 166.8104
36.493011 52.958 162.0880
36.757455 52.901 157.6124
37.023814 52.775 153.5184
37.292104 52.604 149.9225
37.562338 52.419 146.8441
37.834530 52.249 144.2246
38.108695 52.117 141.9568
38.384846 52.040 139.8794
38.662999 52.027 137.7931
38.943167 52.069 135.4971
39.225365 52.155 132.8597
39.509608 52.264 129.8131
39.795911 52.379 126.3487
40.084289 52.486 122.5078
40.374756 52.582 118.3657
40.667328 52.672 113.9991
40.962020 52.774 109.4193
41.258848 52.905 104.5329
41.557827 53.078 99.1499
41.858972 53.288 93.0279
42.162299 53.514 85.9362
42.467824 53.721 77.7145
42.775564 53.866 68.2999
43.085533 53.914 57.7251
43.397749 53.835 46.0963
43.712227 53.616 33.5747
44.028983 53.254 20.3395
44.348036 52.757 6.5796
44.669400 52.149 -7.4925
44.993093 51.463 -21.6216
45.319131 50.746 -35.5002
45.647532 50.052 -48.7720
45.978313 49.440 -61.0712
46.311491 48.967 -72.0916
46.647083 48.678 -81.6677
46.985107 48.600 -89.8326
47.325581 48.734 -96.8169
47.668521 49.048 -102.9700
48.013947 49.490 -108.6242
48.361876 49.997 -113.9658
48.712326 50.521 -118.9824
49.065315 51.043 -123.5098
49.420863 51.580 -127.3582
49.778987 52.178 -130.4758
50.139706 52.884 -133.0698
50.503039 53.719 -135.5685
50.869005 54.666 -138.4309
51.237623 55.683 -141.9545
51.608912 56.734 -146.2419
51.982891 57.794 -151.3136
52.359580 58.845 -157.2219
52.739000 59.866 -164.0753
53.121168 60.820 -171.9755
53.506106 61.664 179.0629
53.893833 62.353 169.1350
54.284370 62.848 158.4348
54.677737 63.120 147.2422
55.073955 63.151 135.8939
55.473043 62.932 124.7638
55.875024 62.469 114.2468
56.279917 61.778 104.7219
56.687745 60.896 96.6060
57.098527 59.881 90.2638
57.512287 58.813 85.8884
57.929045 57.788 83.4095
58.348822 56.892 82.4895
58.771642 56.180 82.5574
59.197525 55.669 83.0645
59.626495 55.347 83.6091
60.058573 55.189 83.9016
60.493782 55.163 83.6938
60.932145 55.230 82.7905
61.373685 55.346 81.0868
61.818424 55.468 78.5769
62.266386 55.559 75.3558
62.717593 55.592 71.5682
63.172071 55.552 67.3826
63.629842 55.432 62.9712
64.090930 55.232 58.4829
64.555359 54.960 54.0908
65.023154 54.637 49.9553
65.494339 54.298 46.1388
65.968938 53.988 42.4965
66.446976 53.730 38.6732
66.928478 53.515 34.2258
67.413469 53.300 28.8712
67.901975 53.036 22.5978
68.394021 52.694 15.5734
68.889632 52.280 7.8997
69.388835 51.824 -0.5229
69.891655 51.358 -10.1021
70.398118 50.898 -21.4614
70.908252 50.432 -35.2677
71.422083 49.926 -51.9938
71.939636 49.336 -71.9426
72.460941 48.605 -94.7697
72.986023 47.649 -119.7820
73.514909 46.334 -145.3691
74.047629 44.503 -169.7229
74.584208 42.248 170.6893
75.124676 41.255 -160.8344
75.669061 43.503 -78.3749
76.217390 46.798 -89.2078
76.769692 49.671 -102.8760
77.325997 52.043 -115.9374
77.886333 54.046 -128.1893
78.450730 55.769 -139.9994
79.019216 57.247 -151.7324
79.591822 58.485 -163.5658
80.168577 59.477 -175.4229
80.749512 60.235 172.9207
81.334656 60.790 161.7291
81.924040 61.183 151.0649
82.517696 61.435 140.7382
83.115653 61.531 130.5063
83.717943 61.424 120.3304
84.324598 61.059 110.5114
84.935649 60.396 101.6538
85.551128 59.425 94.8040
86.171066 58.230 91.7415
86.795497 57.127 94.5677
87.424453 56.673 102.4116
88.057967 57.114 109.5560
88.696071 58.114 112.6625
89.338800 59.327 112.4939
89.986185 60.595 109.6621
90.638262 61.802 104.0288
91.295065 62.835 95.7512
91.956626 63.613 85.2452
92.622982 64.063 72.7861
93.294166 64.081 58.7174
93.970214 63.549 43.9509
94.651161 62.383 30.2441
95.337042 60.597 20.2339
96.027894 58.391 16.8727
96.723752 56.205 20.8691
97.424652 54.539 28.5640
98.130631 53.614 36.6816
98.841726 53.396 44.5980
99.557974 53.770 51.2026
100.279412 54.521 54.7087
101.006078 55.358 54.3961
101.738010 56.049 51.0082
102.475245 56.481 45.8292
103.217823 56.628 40.0051
103.965782 56.523 34.4679
104.719161 56.249 29.9952
105.477999 55.949 27.0713
106.242336 55.796 25.2411
107.012212 55.860 22.7650
107.787666 56.023 18.1901
108.568740 56.114 11.6422
109.355474 56.046 3.9264
110.147909 55.804 -4.4952
110.946086 55.399 -13.4012
111.750047 54.866 -22.7635
112.559834 54.240 -33.0524
113.375489 53.518 -44.8047
114.197055 52.715 -58.0902
115.024574 51.928 -73.1146
115.858089 51.289 -90.5625
116.697645 50.850 -110.3209
117.543284 50.627 -130.6299
118.395051 50.642 -149.3840
119.252990 50.873 -165.4220
120.117147 51.267 -178.2587
120.987565 51.848 172.4321
121.864291 52.704 166.0055
122.747370 53.814 160.5033
123.636848 55.016 154.2570
124.532771 56.144 146.9441
125.435187 57.095 138.8416
126.344142 57.823 130.4932
127.259684 58.342 122.5596
128.181860 58.699 115.3075
129.110718 58.928 108.6970
130.046308 59.068 102.8982
130.988677 59.177 97.9867
131.937875 59.303 93.6113
132.893951 59.446 89.2566
133.856956 59.558 84.4779
134.826938 59.555 79.2474
135.803950 59.381 74.3025
136.788041 59.071 70.8193
137.779264 58.764 69.4117
138.777669 58.609 69.4359
139.783309 58.665 69.6464
140.796237 58.892 69.2810
141.816504 59.207 67.8145
142.844165 59.480 64.8351
143.879273 59.579 60.7255
144.921881 59.425 56.5713
145.972045 59.062 54.3391
147.029819 58.778 56.4027
148.095257 59.023 62.1178
149.168417 59.923 66.5002
150.249353 61.157 66.5223
151.338121 62.396 62.6853
152.434780 63.476 56.0475
153.539385 64.328 47.3997
154.651995 64.913 37.1525
155.772667 65.185 25.6465
156.901460 65.101 13.4497
158.038432 64.638 1.4106
159.183644 63.829 -9.4231
160.337154 62.780 -18.2096
161.499023 61.659 -25.3047
162.669312 60.558 -32.7369
163.848081 59.363 -42.3390
165.035392 57.812 -54.3599
166.231306 55.624 -67.6713
167.435887 52.639 -79.8145
168.649196 49.295 -75.6841
169.871298 47.934 58.6760
171.102255 49.533 57.6365
172.342133 51.544 51.6545
173.590995 52.993 43.8125
174.848907 53.939 36.3514
176.115934 54.591 29.2444
