* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:02:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-empty-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 52.399 60.0651
10.166832 52.750 56.0277
10.240505 53.173 51.7675
10.314712 53.606 47.4854
10.389457 54.032 43.2903
10.464743 54.411 39.1511
10.540575 54.716 34.7102
10.616956 54.970 30.1237
10.693891 55.176 25.6024
10.771383 55.335 21.3037
10.849437 55.445 16.9104
10.928057 55.505 12.2711
11.007246 55.514 7.6233
11.087009 55.471 3.2136
11.167350 55.374 -0.9998
11.248273 55.223 -5.4238
11.329783 55.014 -9.8783
11.411883 54.742 -14.0811
11.494578 54.404 -17.8554
11.577873 53.999 -21.5867
11.661771 53.527 -25.1928
11.746277 52.986 -28.4003
11.831395 52.361 -30.8609
11.917130 51.636 -32.6284
12.003487 50.874 -33.6456
12.090469 50.153 -33.7286
12.178081 49.493 -32.4226
12.266329 48.870 -29.1898
12.355216 48.398 -24.5053
12.444747 48.242 -19.4496
12.534926 48.506 -14.4458
12.625760 49.108 -9.7041
12.717251 49.877 -6.3697
12.809406 50.680 -4.9961
12.902228 51.542 -5.0360
12.995723 52.441 -6.0420
13.089895 53.297 -7.8457
13.184750 54.056 -10.4150
13.280292 54.740 -13.6224
13.376526 55.361 -17.0877
13.473458 55.922 -20.5871
13.571093 56.419 -24.3529
13.669434 56.856 -28.2778
13.768489 57.247 -32.0543
13.868261 57.596 -35.6208
13.968756 57.900 -39.2218
14.069979 58.174 -42.6663
14.171936 58.430 -45.7647
14.274632 58.663 -48.6501
14.378072 58.887 -51.3596
14.482261 59.117 -53.8385
14.587206 59.357 -56.0263
14.692910 59.609 -58.0325
14.799381 59.880 -59.9958
14.906624 60.178 -61.8850
15.014643 60.497 -63.6910
15.123446 60.826 -65.6041
15.233036 61.163 -67.6993
15.343421 61.504 -69.8803
15.454606 61.828 -72.1969
15.566596 62.125 -74.7472
15.679398 62.393 -77.4921
15.793018 62.614 -80.2753
15.907460 62.776 -83.1582
16.022732 62.879 -86.2152
16.138840 62.910 -89.1218
16.255788 62.859 -91.8988
16.373585 62.726 -94.6619
16.492234 62.504 -96.9705
16.611744 62.183 -98.7988
16.732119 61.776 -100.1459
16.853367 61.305 -100.5394
16.975494 60.755 -99.7414
17.098505 60.217 -97.6545
17.222408 59.808 -94.1074
17.347209 59.543 -88.8347
17.472914 59.521 -82.7923
17.599530 59.839 -76.9088
17.727063 60.432 -71.5745
17.855521 61.144 -67.8548
17.984909 61.937 -65.6582
18.115235 62.738 -64.6648
18.246506 63.449 -64.7498
18.378727 64.072 -65.7031
18.511907 64.591 -67.0122
18.646052 64.995 -68.7073
18.781169 65.290 -70.5751
18.917265 65.482 -72.1915
19.054347 65.573 -73.7699
19.192423 65.584 -74.8605
19.331499 65.521 -75.3768
19.471583 65.420 -75.2730
19.612682 65.326 -74.2537
19.754804 65.262 -72.3583
19.897956 65.311 -69.7966
20.042144 65.500 -66.5511
20.187378 65.844 -63.3141
20.333664 66.359 -60.4083
20.481010 66.996 -58.1144
20.629424 67.693 -56.8647
20.778913 68.426 -56.4175
20.929486 69.131 -56.8703
21.081150 69.792 -58.0464
21.233912 70.387 -59.6963
21.387782 70.903 -61.8314
21.542767 71.339 -64.1130
21.698874 71.691 -66.5248
21.856113 71.969 -68.8804
22.014492 72.181 -70.9887
22.174018 72.342 -72.8645
22.334700 72.478 -74.2555
22.496546 72.609 -75.2626
22.659566 72.774 -75.8371
22.823766 72.989 -76.0727
22.989157 73.280 -76.2703
23.155745 73.643 -76.4606
23.323542 74.060 -77.0672
23.492554 74.513 -78.0097
23.662790 74.958 -79.4685
23.834261 75.375 -81.3132
24.006973 75.733 -83.3771
24.180938 76.026 -85.5732
24.356163 76.250 -87.4991
24.532658 76.425 -89.1283
24.710431 76.587 -90.0319
24.889493 76.787 -90.3336
25.069853 77.093 -89.8962
25.251519 77.547 -89.2841
25.434502 78.182 -88.7301
25.618811 78.950 -89.0536
25.804456 79.814 -90.3037
25.991445 80.684 -92.8474
26.179790 81.514 -96.4258
26.369500 82.247 -100.9483
26.560584 82.862 -106.1323
26.753053 83.335 -111.7729
26.946917 83.660 -117.5180
27.142185 83.834 -123.3216
27.338869 83.864 -128.6165
27.536977 83.764 -133.4471
27.736522 83.574 -137.1974
27.937512 83.349 -139.9144
28.139959 83.168 -141.2308
28.343872 83.132 -141.6640
28.549264 83.297 -141.4057
28.756143 83.675 -141.6184
28.964522 84.199 -142.6561
29.174411 84.784 -144.9630
29.385821 85.329 -148.4427
29.598763 85.783 -152.8755
29.813248 86.100 -157.9879
30.029287 86.265 -163.3069
30.246891 86.273 -168.7561
30.466073 86.135 -173.7810
30.686842 85.871 -178.2444
30.909212 85.510 178.1105
31.133193 85.106 175.5306
31.358797 84.715 173.9639
31.586035 84.389 173.4300
31.814921 84.176 173.5082
32.045465 84.086 173.9156
32.277680 84.113 174.3687
32.511577 84.231 174.6288
32.747169 84.423 174.6461
32.984469 84.678 174.3667
33.223488 84.989 173.7357
33.464239 85.340 172.6176
33.706735 85.711 170.9695
33.950987 86.072 168.7570
34.197010 86.392 166.0522
34.444816 86.650 163.0645
34.694417 86.843 159.9659
34.945827 86.978 156.9758
35.199059 87.087 154.2883
35.454126 87.206 151.8672
35.711041 87.367 149.5925
35.969818 87.585 147.2320
36.230470 87.845 144.4283
36.493011 88.105 141.0259
36.757455 88.322 137.0246
37.023814 88.454 132.5094
37.292104 88.471 127.7139
37.562338 88.360 122.9985
37.834530 88.134 118.6416
38.108695 87.817 114.8824
38.384846 87.452 111.9116
38.662999 87.092 109.7737
38.943167 86.783 108.2599
39.225365 86.547 107.0541
39.509608 86.377 105.8625
39.795911 86.247 104.4904
40.084289 86.122 102.8899
40.374756 85.976 101.1512
40.667328 85.795 99.4464
40.962020 85.582 97.9522
41.258848 85.348 96.8134
41.557827 85.116 96.1399
41.858972 84.916 95.9855
42.162299 84.783 96.3097
42.467824 84.753 96.9363
42.775564 84.845 97.5501
43.085533 85.053 97.7723
43.397749 85.342 97.2934
43.712227 85.661 95.9762
44.028983 85.962 93.8663
44.348036 86.210 91.1220
44.669400 86.388 87.9387
44.993093 86.486 84.4995
45.319131 86.505 80.9559
45.647532 86.448 77.4315
45.978313 86.319 74.0364
46.311491 86.127 70.8789
46.647083 85.883 68.0620
46.985107 85.608 65.6601
47.325581 85.323 63.6844
47.668521 85.052 62.0587
48.013947 84.806 60.6361
48.361876 84.583 59.2621
48.712326 84.369 57.8497
49.065315 84.147 56.4178
49.420863 83.910 55.0662
49.778987 83.664 53.9022
50.139706 83.423 52.9609
50.503039 83.204 52.1715
50.869005 83.007 51.3990
51.237623 82.821 50.5407
51.608912 82.629 49.6079
51.982891 82.418 48.7197
52.359580 82.194 48.0139
52.739000 81.973 47.5378
53.121168 81.767 47.2111
53.506106 81.573 46.9079
53.893833 81.377 46.5917
54.284370 81.163 46.3768
54.677737 80.935 46.4620
55.073955 80.719 46.9644
55.473043 80.543 47.7924
55.875024 80.416 48.6967
56.279917 80.317 49.4778
56.687745 80.215 50.1531
57.098527 80.089 50.9930
57.512287 79.952 52.4050
57.929045 79.863 54.7379
58.348822 79.909 58.0561
58.771642 80.179 61.9417
59.197525 80.705 65.5649
59.626495 81.449 68.1443
60.058573 82.334 69.2886
60.493782 83.291 68.8828
60.932145 84.257 66.8727
61.373685 85.174 63.2341
61.818424 85.971 58.0405
62.266386 86.583 51.6163
62.717593 86.970 44.4712
63.172071 87.132 37.2528
63.629842 87.109 30.5889
64.090930 86.981 24.8085
64.555359 86.835 19.8508
65.023154 86.731 15.2622
65.494339 86.671 10.5593
65.968938 86.625 5.5073
66.446976 86.571 0.1541
66.928478 86.516 -5.4347
67.413469 86.478 -11.4021
67.901975 86.458 -18.0739
68.394021 86.424 -25.7628
68.889632 86.332 -34.5853
69.388835 86.148 -44.4512
69.891655 85.869 -55.2855
70.398118 85.526 -67.0780
70.908252 85.174 -80.0784
71.422083 84.882 -94.6894
71.939636 84.714 -111.3521
72.460941 84.711 -130.1991
72.986023 84.875 -150.8450
73.514909 85.161 -172.2701
74.047629 85.495 166.7807
74.584208 85.814 147.3763
75.124676 86.092 130.3125
75.669061 86.364 115.8555
76.217390 86.706 103.8926
76.769692 87.183 93.7159
77.325997 87.800 84.3495
77.886333 88.495 74.8704
78.450730 89.171 64.8248
79.019216 89.739 54.1703
79.591822 90.138 43.2433
80.168577 90.352 32.5641
80.749512 90.412 22.6690
81.334656 90.399 13.9268
81.924040 90.408 6.2061
82.517696 90.497 -1.1061
83.115653 90.648 -8.7296
83.717943 90.789 -16.9891
84.324598 90.855 -25.6207
84.935649 90.839 -34.0993
85.551128 90.792 -42.0818
86.171066 90.778 -49.6816
86.795497 90.821 -57.3163
87.424453 90.905 -65.2335
88.057967 91.015 -73.3903
88.696071 91.159 -81.8802
89.338800 91.320 -91.1737
89.986185 91.410 -101.6812
90.638262 91.314 -113.1848
91.295065 90.964 -124.8792
91.956626 90.363 -135.9258
92.622982 89.551 -145.8955
93.294166 88.545 -154.4060
93.970214 87.393 -160.0687
94.651161 86.386 -160.7061
95.337042 86.064 -157.5869
96.027894 86.526 -157.1917
96.723752 87.222 -162.2856
97.424652 87.699 -170.7344
98.130631 87.826 179.9065
98.841726 87.640 171.2162
99.557974 87.249 164.1031
100.279412 86.790 158.8246
101.006078 86.381 155.0674
101.738010 86.097 152.3276
102.475245 85.968 149.9893
103.217823 85.957 147.2786
103.965782 85.967 143.9440
104.719161 85.941 140.7423
105.477999 85.950 138.7498
106.242336 86.158 138.0336
107.012212 86.653 137.0886
107.787666 87.328 134.2061
108.568740 87.980 128.8865
109.355474 88.442 121.8394
110.147909 88.661 114.3645
110.946086 88.700 107.5588
111.750047 88.662 101.3845
112.559834 88.568 94.8734
113.375489 88.331 87.6182
114.197055 87.869 80.2656
115.024574 87.178 73.6812
115.858089 86.304 68.2382
116.697645 85.278 63.8395
117.543284 84.091 60.8376
118.395051 82.774 60.5670
119.252990 81.505 64.5125
120.117147 80.621 72.7996
120.987565 80.361 81.6489
121.864291 80.534 87.4355
122.747370 80.900 92.3582
123.636848 81.528 98.2163
124.532771 82.486 103.1562
125.435187 83.672 105.5405
126.344142 84.904 104.5771
127.259684 85.994 100.2122
128.181860 86.812 93.2429
129.110718 87.303 84.7283
130.046308 87.457 75.3071
130.988677 87.226 64.8553
131.937875 86.473 53.5100
132.893951 85.046 42.8009
133.856956 83.025 35.4534
134.826938 81.643 42.6165
135.803950 83.327 138.8722
136.788041 86.479 142.4648
137.779264 88.950 126.4690
138.777669 90.406 108.0542
139.783309 91.020 91.0472
140.796237 91.036 76.7059
141.816504 90.638 64.8992
142.844165 89.924 55.5638
143.879273 88.990 49.2795
144.921881 87.978 46.1102
145.972045 87.034 45.8516
147.029819 86.371 48.9473
148.095257 86.276 54.4020
149.168417 86.848 58.9675
150.249353 87.837 59.5378
151.338121 88.875 55.5173
152.434780 89.722 47.9148
153.539385 90.268 37.8807
154.651995 90.480 26.1986
155.772667 90.328 12.9956
156.901460 89.754 -1.2909
158.038432 88.758 -15.6486
159.183644 87.462 -29.6497
160.337154 86.133 -44.4087
161.499023 85.182 -63.3922
162.669312 84.967 -90.5472
163.848081 85.473 -124.9343
165.035392 86.322 -158.9475
166.231306 87.158 173.4001
167.435887 87.860 152.9886
168.649196 88.470 138.4270
169.871298 89.024 127.6309
171.102255 89.545 119.5216
172.342133 90.091 113.5808
173.590995 90.695 108.7429
174.848907 91.319 104.0575
176.115934 91.949 99.8064
177.392143 92.673 96.6437
178.677599 93.570 93.6512
179.972371 94.564 88.9181
181.276525 95.493 81.9716
182.590129 96.245 73.4226
183.913252 96.771 63.8712
185.245964 97.031 53.4686
186.588332 96.937 42.1068
187.940428 96.364 30.6479
