* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:02:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-empty-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 49.681 -53.7495
10.166832 49.705 -54.7832
10.240505 49.734 -56.3697
10.314712 49.761 -58.1546
10.389457 49.765 -59.7963
10.464743 49.656 -61.0500
10.540575 49.367 -62.4031
10.616956 48.952 -63.7452
10.693891 48.424 -64.7216
10.771383 47.772 -64.8284
10.849437 46.911 -63.8400
10.928057 45.881 -61.6395
11.007246 44.879 -57.7439
11.087009 44.145 -51.6777
11.167350 43.819 -42.9611
11.248273 43.829 -31.5596
11.329783 44.111 -19.8643
11.411883 44.631 -10.5340
11.494578 45.417 -4.4763
11.577873 46.494 -0.6531
11.661771 47.679 1.3187
11.746277 48.758 1.8476
11.831395 49.613 1.1537
11.917130 50.314 -0.5592
12.003487 50.890 -2.7805
12.090469 51.351 -5.1650
12.178081 51.695 -7.7840
12.266329 51.918 -10.9882
12.355216 52.024 -14.3500
12.444747 52.020 -17.4508
12.534926 51.906 -20.4743
12.625760 51.678 -23.7729
12.717251 51.329 -26.9510
12.809406 50.850 -29.4981
12.902228 50.226 -31.6107
12.995723 49.478 -33.3377
13.089895 48.636 -34.2854
13.184750 47.686 -33.7795
13.280292 46.599 -31.2903
13.376526 45.586 -26.7723
13.473458 44.934 -20.7533
13.571093 44.749 -12.8669
13.669434 44.920 -4.5210
13.768489 45.318 1.6985
13.868261 45.906 4.7766
13.968756 46.684 5.7005
14.069979 47.452 4.8934
14.171936 48.026 2.5079
14.274632 48.421 -1.7924
14.378072 48.654 -7.0990
14.482261 48.710 -12.7219
14.587206 48.576 -19.8976
14.692910 48.264 -28.6292
14.799381 47.782 -37.8016
14.906624 47.082 -48.6074
15.014643 46.239 -62.9870
15.123446 45.517 -79.8538
15.233036 45.078 -100.5944
15.343421 44.921 -128.2791
15.454606 45.198 -155.7302
15.566596 46.059 -179.9907
15.679398 47.360 158.7586
15.793018 48.712 142.4260
15.907460 49.910 128.2067
16.022732 51.017 114.6891
16.138840 52.000 102.9112
16.255788 52.831 91.4710
16.373585 53.529 79.8060
16.492234 54.122 69.1021
16.611744 54.615 58.1733
16.732119 55.013 46.9528
16.853367 55.332 36.5706
16.975494 55.575 25.7319
17.098505 55.743 14.8652
17.222408 55.840 4.8711
17.347209 55.864 -5.5574
17.472914 55.807 -15.5486
17.599530 55.665 -24.6722
17.727063 55.430 -33.8987
17.855521 55.085 -42.0593
17.984909 54.620 -49.3391
18.115235 54.035 -55.9001
18.246506 53.312 -60.5980
18.378727 52.469 -63.4061
18.511907 51.676 -64.0685
18.646052 51.008 -61.2900
18.781169 50.639 -55.4886
18.917265 50.872 -48.9989
19.054347 51.676 -42.4697
19.192423 52.723 -38.4836
19.331499 53.876 -37.1183
19.471583 55.022 -37.4100
19.612682 56.000 -39.0780
19.754804 56.824 -41.6693
19.897956 57.499 -44.3439
20.042144 58.025 -47.3179
20.187378 58.435 -50.0276
20.333664 58.747 -52.2916
20.481010 58.992 -54.2080
20.629424 59.217 -55.4528
20.778913 59.437 -56.1932
20.929486 59.701 -56.6276
21.081150 60.017 -56.7114
21.233912 60.382 -56.9435
21.387782 60.792 -57.3483
21.542767 61.207 -58.0557
21.698874 61.601 -59.2148
21.856113 61.949 -60.5766
22.014492 62.223 -62.1133
22.174018 62.423 -63.6376
22.334700 62.547 -64.7931
22.496546 62.617 -65.5980
22.659566 62.674 -65.6337
22.823766 62.755 -65.0156
22.989157 62.937 -63.8137
23.155745 63.239 -62.2036
23.323542 63.685 -60.9127
23.492554 64.250 -59.9954
23.662790 64.867 -60.0776
23.834261 65.496 -60.9297
24.006973 66.066 -62.5884
24.180938 66.555 -64.8028
24.356163 66.934 -67.1920
24.532658 67.208 -69.6274
24.710431 67.392 -71.5624
24.889493 67.525 -72.9800
25.069853 67.668 -73.4360
25.251519 67.895 -73.2518
25.434502 68.277 -72.4072
25.618811 68.833 -71.8534
25.804456 69.560 -71.7826
25.991445 70.367 -73.0219
26.179790 71.199 -75.3751
26.369500 71.964 -78.9827
26.560584 72.627 -83.4614
26.753053 73.147 -88.6562
26.946917 73.510 -94.1123
27.142185 73.705 -99.7935
27.338869 73.737 -105.0327
27.536977 73.615 -109.8814
27.736522 73.376 -113.5942
27.937512 73.081 -116.1831
28.139959 72.816 -117.1407
28.343872 72.713 -116.9934
28.549264 72.846 -115.9607
28.756143 73.237 -115.4752
28.964522 73.806 -116.0125
29.174411 74.444 -118.1032
29.385821 75.029 -121.5834
29.598763 75.501 -126.1677
29.813248 75.810 -131.5048
30.029287 75.941 -137.0313
30.246891 75.890 -142.6548
30.466073 75.671 -147.6967
30.686842 75.314 -151.9945
30.909212 74.861 -155.1910
31.133193 74.392 -157.0472
31.358797 73.988 -157.7233
31.586035 73.716 -157.3716
31.814921 73.611 -156.8036
32.045465 73.638 -156.4034
32.277680 73.744 -156.4706
32.511577 73.861 -156.9788
32.747169 73.966 -157.6156
32.984469 74.061 -158.1912
33.223488 74.176 -158.4631
33.464239 74.353 -158.5327
33.706735 74.611 -158.6129
33.950987 74.949 -158.9581
34.197010 75.330 -159.8648
34.444816 75.713 -161.3234
34.694417 76.069 -163.2461
34.945827 76.378 -165.4796
35.199059 76.644 -167.8133
35.454126 76.882 -170.1904
35.711041 77.102 -172.6183
35.969818 77.313 -175.1699
36.230470 77.502 -177.9805
36.493011 77.644 178.9238
36.757455 77.714 175.6055
37.023814 77.689 172.1912
37.292104 77.555 168.9362
37.562338 77.322 166.1581
37.834530 77.018 164.0677
38.108695 76.685 162.7958
38.384846 76.368 162.3469
38.662999 76.105 162.5358
38.943167 75.907 163.0795
39.225365 75.759 163.8335
39.509608 75.649 164.8012
39.795911 75.576 166.0776
40.084289 75.557 167.7632
40.374756 75.620 169.8564
40.667328 75.790 172.2198
40.962020 76.076 174.7109
41.258848 76.488 177.2876
41.557827 77.049 179.9198
41.858972 77.794 -177.6013
42.162299 78.737 -175.7640
42.467824 79.845 -175.1931
42.775564 81.035 -176.3473
43.085533 82.209 -179.3331
43.397749 83.285 176.0543
43.712227 84.215 170.1857
44.028983 84.974 163.4690
44.348036 85.556 156.2718
44.669400 85.969 148.8995
44.993093 86.226 141.5987
45.319131 86.345 134.5638
45.647532 86.347 127.9487
45.978313 86.256 121.8755
46.311491 86.098 116.4370
46.647083 85.904 111.6841
46.985107 85.708 107.6051
47.325581 85.543 104.0544
47.668521 85.429 100.8340
48.013947 85.366 97.6858
48.361876 85.332 94.4443
48.712326 85.303 91.1123
49.065315 85.264 87.8490
49.420863 85.231 84.8583
49.778987 85.245 82.2217
50.139706 85.351 79.7722
50.503039 85.571 77.1349
50.869005 85.888 73.9290
51.237623 86.266 69.9642
51.608912 86.675 65.2447
51.982891 87.113 59.7957
52.359580 87.583 53.4854
52.739000 88.075 46.0040
53.121168 88.542 37.0234
53.506106 88.910 26.3950
53.893833 89.096 14.1938
54.284370 89.031 0.6870
54.677737 88.661 -13.7066
55.073955 87.950 -28.4717
55.473043 86.879 -43.0155
55.875024 85.456 -56.6863
56.279917 83.720 -68.8253
56.687745 81.771 -78.8967
57.098527 79.772 -87.0527
57.512287 77.905 -94.5797
57.929045 76.257 -103.3386
58.348822 74.782 -114.6689
58.771642 73.415 -129.1121
59.197525 72.224 -146.6797
59.626495 71.452 -166.9075
60.058573 71.358 171.6208
60.493782 71.943 150.7848
60.932145 72.928 131.6006
61.373685 74.008 114.0017
61.818424 74.979 97.5952
62.266386 75.734 82.1687
62.717593 76.233 67.6494
63.172071 76.483 54.2804
63.629842 76.539 42.4912
64.090930 76.508 32.5314
64.555359 76.534 24.2876
65.023154 76.726 17.0186
65.494339 77.085 9.7958
65.968938 77.533 2.0697
66.446976 78.000 -6.0436
66.928478 78.474 -14.1440
67.413469 78.993 -22.0121
67.901975 79.595 -29.8066
68.394021 80.273 -37.9066
68.889632 80.984 -46.5243
69.388835 81.683 -55.5852
69.891655 82.355 -64.8330
70.398118 83.017 -74.0266
70.908252 83.695 -83.1379
71.422083 84.402 -92.3281
71.939636 85.121 -101.8044
72.460941 85.820 -111.7167
72.986023 86.459 -122.0869
73.514909 87.000 -132.8240
74.047629 87.417 -143.7269
74.584208 87.701 -154.5349
75.124676 87.872 -164.9689
75.669061 87.965 -174.9647
76.217390 88.011 175.3014
76.769692 88.010 165.4674
77.325997 87.921 155.2386
77.886333 87.686 144.5679
78.450730 87.253 133.5312
79.019216 86.569 122.1885
79.591822 85.562 110.6085
80.168577 84.118 98.9827
80.749512 82.090 88.0093
81.334656 79.406 80.2039
81.924040 76.848 93.3284
82.517696 77.153 -167.8491
83.115653 79.939 -161.9578
83.717943 82.637 -169.0388
84.324598 84.721 -178.6807
84.935649 86.253 170.8743
85.551128 87.347 160.4883
86.171066 88.119 150.6880
86.795497 88.671 141.6371
87.424453 89.070 133.2510
88.057967 89.355 125.4470
88.696071 89.563 118.2073
89.338800 89.730 111.4775
89.986185 89.890 105.1803
90.638262 90.089 99.2506
91.295065 90.382 93.3629
91.956626 90.776 86.6194
92.622982 91.174 77.9784
93.294166 91.401 67.1320
93.970214 91.299 54.7427
94.651161 90.784 42.0621
95.337042 89.862 30.4912
96.027894 88.632 21.1545
96.723752 87.254 14.4176
97.424652 85.888 9.7291
98.130631 84.633 6.1625
98.841726 83.506 2.9479
99.557974 82.469 -0.4683
100.279412 81.443 -4.2118
101.006078 80.367 -7.9064
101.738010 79.233 -11.3162
102.475245 78.044 -14.7360
103.217823 76.763 -18.2689
103.965782 75.364 -21.7211
104.719161 73.825 -25.6871
105.477999 72.022 -30.7024
106.242336 69.757 -34.5190
107.012212 67.074 -31.6261
107.787666 64.700 -19.9885
108.568740 63.954 -14.9115
109.355474 64.950 -29.5029
110.147909 66.690 -61.0631
110.946086 68.647 -96.3092
111.750047 70.671 -123.2815
112.559834 72.682 -141.5876
113.375489 74.573 -154.8925
114.197055 76.233 -166.0391
115.024574 77.624 -175.8536
115.858089 78.819 176.0327
116.697645 79.931 169.4014
117.543284 80.967 162.9038
118.395051 81.834 155.9338
119.252990 82.492 149.2588
120.117147 82.995 143.6425
120.987565 83.442 139.4165
121.864291 83.952 136.5923
122.747370 84.615 134.3912
123.636848 85.403 131.4757
124.532771 86.197 127.0653
125.435187 86.878 121.3855
126.344142 87.400 115.3060
127.259684 87.802 109.6107
128.181860 88.172 104.6299
129.110718 88.606 100.2709
130.046308 89.163 95.7870
130.988677 89.782 89.7582
131.937875 90.294 81.5144
132.893951 90.560 71.8558
133.856956 90.561 62.0435
134.826938 90.379 52.9222
135.803950 90.143 44.3138
136.788041 89.891 34.5635
137.779264 89.455 22.0575
138.777669 88.564 7.1041
139.783309 87.020 -8.9335
140.796237 84.718 -25.3561
141.816504 81.662 -42.9626
142.844165 78.612 -85.9341
143.879273 78.207 133.6533
144.921881 80.334 118.7832
145.972045 82.498 107.9045
147.029819 84.032 97.1519
148.095257 84.954 87.0149
149.168417 85.445 78.8999
150.249353 85.743 73.2190
151.338121 86.057 69.5266
152.434780 86.552 67.0935
153.539385 87.232 63.6204
154.651995 87.860 56.8677
155.772667 88.130 47.0979
156.901460 87.874 36.8743
158.038432 87.158 29.1436
159.183644 86.208 24.8721
160.337154 85.236 23.3572
161.499023 84.396 24.1584
162.669312 83.888 27.8301
163.848081 83.957 33.0847
165.035392 84.545 35.4075
166.231306 85.220 32.1636
167.435887 85.563 24.6306
168.649196 85.368 15.4263
169.871298 84.598 7.4353
171.102255 83.395 3.3066
172.342133 82.021 3.5486
173.590995 80.733 7.5354
174.848907 79.744 14.1318
176.115934 79.265 23.1167
177.392143 79.646 36.7764
178.677599 80.890 47.3901
179.972371 82.298 48.0625
181.276525 83.325 42.7920
182.590129 83.865 36.1262
183.913252 84.155 31.9700
