* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:03:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-empty-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 83.939 0.7663
10.166832 84.084 -0.3526
10.240505 84.261 -1.4554
10.314712 84.444 -2.5687
10.389457 84.629 -3.7190
10.464743 84.820 -4.9264
10.540575 85.019 -6.1632
10.616956 85.223 -7.4279
10.693891 85.425 -8.7296
10.771383 85.624 -10.0800
10.849437 85.819 -11.4926
10.928057 86.011 -12.9534
11.007246 86.197 -14.4410
11.087009 86.374 -15.9389
11.167350 86.540 -17.4629
11.248273 86.697 -19.0389
11.329783 86.844 -20.6216
11.411883 86.979 -22.1671
11.494578 87.102 -23.6667
11.577873 87.211 -25.1802
11.661771 87.308 -26.6626
11.746277 87.396 -28.0584
11.831395 87.474 -29.3391
11.917130 87.541 -30.5602
12.003487 87.601 -31.6971
12.090469 87.662 -32.7115
12.178081 87.724 -33.5733
12.266329 87.785 -34.3034
12.355216 87.853 -34.9220
12.444747 87.938 -35.4451
12.534926 88.041 -35.8385
12.625760 88.161 -36.1056
12.717251 88.304 -36.3332
12.809406 88.473 -36.5981
12.902228 88.673 -36.8216
12.995723 88.898 -37.0510
13.089895 89.144 -37.3986
13.184750 89.409 -37.9153
13.280292 89.696 -38.5130
13.376526 89.996 -39.2495
13.473458 90.297 -40.1918
13.571093 90.601 -41.3198
13.669434 90.905 -42.5933
13.768489 91.199 -44.0101
13.868261 91.479 -45.5894
13.968756 91.746 -47.3243
14.069979 91.995 -49.1481
14.171936 92.222 -51.0232
14.274632 92.428 -53.0172
14.378072 92.611 -55.0634
14.482261 92.772 -57.0720
14.587206 92.909 -59.1002
14.692910 93.023 -61.1404
14.799381 93.117 -63.0963
14.906624 93.192 -64.9649
15.014643 93.249 -66.7881
15.123446 93.294 -68.5030
15.233036 93.328 -70.0755
15.343421 93.354 -71.5433
15.454606 93.378 -72.9020
15.566596 93.405 -74.1303
15.679398 93.434 -75.2349
15.793018 93.472 -76.2673
15.907460 93.521 -77.2358
16.022732 93.581 -78.1250
16.138840 93.652 -79.0084
16.255788 93.734 -79.9082
16.373585 93.826 -80.8042
16.492234 93.922 -81.7426
16.611744 94.020 -82.7414
16.732119 94.119 -83.7788
16.853367 94.211 -84.8450
16.975494 94.296 -85.9627
17.098505 94.372 -87.0924
17.222408 94.437 -88.1885
17.347209 94.489 -89.2811
17.472914 94.532 -90.3144
17.599530 94.567 -91.2508
17.727063 94.595 -92.1113
17.855521 94.624 -92.8648
17.984909 94.655 -93.4917
18.115235 94.694 -94.0234
18.246506 94.748 -94.4796
18.378727 94.817 -94.8431
18.511907 94.904 -95.2024
18.646052 95.012 -95.5629
18.781169 95.136 -95.9475
18.917265 95.274 -96.4364
19.054347 95.423 -97.0052
19.192423 95.576 -97.6828
19.331499 95.728 -98.4889
19.471583 95.874 -99.3896
19.612682 96.008 -100.3710
19.754804 96.130 -101.4351
19.897956 96.235 -102.5046
20.042144 96.324 -103.5987
20.187378 96.399 -104.6592
20.333664 96.460 -105.6578
20.481010 96.511 -106.5986
20.629424 96.558 -107.4423
20.778913 96.603 -108.2024
20.929486 96.651 -108.8909
21.081150 96.705 -109.5006
21.233912 96.767 -110.0815
21.387782 96.837 -110.6325
21.542767 96.915 -111.1867
21.698874 96.998 -111.7641
21.856113 97.084 -112.3603
22.014492 97.169 -112.9896
22.174018 97.253 -113.6353
22.334700 97.331 -114.2807
22.496546 97.406 -114.9197
22.659566 97.477 -115.5170
22.823766 97.546 -116.0765
22.989157 97.618 -116.5767
23.155745 97.694 -117.0230
23.323542 97.778 -117.4249
23.492554 97.871 -117.7852
23.662790 97.976 -118.1318
23.834261 98.093 -118.4644
24.006973 98.221 -118.8047
24.180938 98.362 -119.1514
24.356163 98.517 -119.5119
24.532658 98.686 -119.8937
24.710431 98.874 -120.3086
24.889493 99.084 -120.7912
25.069853 99.318 -121.3760
25.251519 99.575 -122.1373
25.434502 99.853 -123.1162
25.618811 100.142 -124.4011
25.804456 100.435 -126.0133
25.991445 100.713 -127.9868
26.179790 100.965 -130.3152
26.369500 101.173 -132.9378
26.560584 101.328 -135.8121
26.753053 101.416 -138.8229
26.946917 101.436 -141.8481
27.142185 101.385 -144.8073
27.338869 101.272 -147.4866
27.536977 101.108 -149.8456
27.736522 100.921 -151.7101
27.937512 100.738 -153.1247
28.139959 100.591 -154.0645
28.343872 100.510 -154.8240
28.549264 100.504 -155.5098
28.756143 100.565 -156.5585
28.964522 100.664 -158.0582
29.174411 100.765 -160.2060
29.385821 100.822 -162.9172
29.598763 100.803 -166.1410
29.813248 100.678 -169.6839
30.029287 100.430 -173.2593
30.246891 100.051 -176.7522
30.466073 99.545 -179.7168
30.686842 98.931 178.0239
30.909212 98.238 176.8058
31.133193 97.529 176.8200
31.358797 96.873 178.0493
31.586035 96.337 -179.6013
31.814921 95.974 -176.7806
32.045465 95.781 -173.9311
32.277680 95.730 -171.4725
32.511577 95.766 -169.6063
32.747169 95.856 -168.2954
32.984469 95.976 -167.5069
33.223488 96.113 -167.1859
33.464239 96.255 -167.3644
33.706735 96.384 -168.0405
33.950987 96.478 -169.2118
34.197010 96.510 -170.7625
34.444816 96.463 -172.4752
34.694417 96.336 -174.1542
34.945827 96.141 -175.5355
35.199059 95.919 -176.4075
35.454126 95.719 -176.8147
35.711041 95.581 -176.9274
35.969818 95.529 -177.0946
36.230470 95.541 -177.7904
36.493011 95.566 -179.2024
36.757455 95.547 178.6889
37.023814 95.437 176.0369
37.292104 95.206 173.1782
37.562338 94.853 170.5311
37.834530 94.403 168.3798
38.108695 93.900 166.9177
38.384846 93.395 166.1936
38.662999 92.935 166.0129
38.943167 92.540 165.9948
39.225365 92.193 165.8682
39.509608 91.862 165.5413
39.795911 91.521 165.0850
40.084289 91.161 164.6754
40.374756 90.800 164.4796
40.667328 90.470 164.5101
40.962020 90.203 164.5649
41.258848 90.008 164.3318
41.557827 89.868 163.5093
41.858972 89.754 161.8854
42.162299 89.628 159.3527
42.467824 89.456 155.8759
42.775564 89.204 151.4517
43.085533 88.840 146.0936
43.397749 88.333 139.8423
43.712227 87.647 132.7867
44.028983 86.753 125.0588
44.348036 85.624 116.8181
44.669400 84.245 108.2303
44.993093 82.613 99.4323
45.319131 80.740 90.4763
45.647532 78.666 81.2543
45.978313 76.468 71.4349
46.311491 74.276 60.5422
46.647083 72.297 48.4034
46.985107 70.802 35.9217
47.325581 70.035 25.1301
47.668521 70.067 17.6711
48.013947 70.743 13.4243
48.361876 71.781 11.0045
48.712326 72.906 9.1990
49.065315 73.939 7.7545
49.420863 74.829 7.2126
49.778987 75.656 8.3395
50.139706 76.579 11.3984
50.503039 77.734 15.5449
50.869005 79.111 19.1927
51.237623 80.592 21.2896
51.608912 82.067 21.8433
51.982891 83.503 21.3284
52.359580 84.918 19.9875
52.739000 86.321 17.5905
53.121168 87.673 13.6804
53.506106 88.895 7.9943
53.893833 89.897 0.6473
54.284370 90.609 -7.9640
54.677737 90.985 -17.2657
55.073955 91.005 -26.5897
55.473043 90.679 -35.2179
55.875024 90.048 -42.4337
56.279917 89.192 -47.6361
56.687745 88.233 -50.5226
57.098527 87.294 -51.4048
57.512287 86.444 -51.0635
57.929045 85.672 -50.0670
58.348822 84.942 -48.3665
58.771642 84.269 -45.5915
59.197525 83.718 -41.7056
59.626495 83.346 -37.2543
60.058573 83.151 -32.8514
60.493782 83.101 -28.6850
60.932145 83.192 -24.7494
61.373685 83.426 -21.3739
61.818424 83.761 -19.1794
62.266386 84.100 -18.4874
62.717593 84.350 -19.0232
63.172071 84.464 -20.1466
63.629842 84.453 -21.2202
64.090930 84.366 -21.9172
64.555359 84.258 -22.2512
65.023154 84.163 -22.4653
65.494339 84.091 -22.8043
65.968938 84.037 -23.4413
66.446976 83.996 -24.4858
66.928478 83.962 -26.0541
67.413469 83.926 -28.2895
67.901975 83.878 -31.3792
68.394021 83.794 -35.5685
68.889632 83.635 -41.0648
69.388835 83.348 -47.8889
69.891655 82.893 -55.8708
70.398118 82.270 -64.6594
70.908252 81.537 -74.1493
71.422083 80.806 -84.7606
71.939636 80.175 -97.5063
72.460941 79.668 -113.5005
72.986023 79.211 -133.1578
73.514909 78.689 -155.8968
74.047629 77.985 179.4708
74.584208 76.998 153.9993
75.124676 75.658 127.9808
75.669061 74.020 99.0108
76.217390 72.603 58.5925
76.769692 72.658 -4.1335
77.325997 74.528 -51.7961
77.886333 77.010 -76.9406
78.450730 79.405 -92.9027
79.019216 81.583 -104.8702
79.591822 83.541 -115.3665
80.168577 85.248 -125.7512
80.749512 86.670 -136.4995
81.334656 87.795 -147.5754
81.924040 88.626 -158.8574
82.517696 89.158 -170.3638
83.115653 89.362 177.8972
83.717943 89.195 166.1614
84.324598 88.625 154.9392
84.935649 87.646 144.7078
85.551128 86.258 135.6382
86.171066 84.416 127.5764
86.795497 82.010 120.7039
87.424453 79.104 117.7759
88.057967 77.299 175.3951
88.696071 79.119 -99.9088
89.338800 82.349 -99.7076
89.986185 85.187 -104.6060
90.638262 87.440 -111.7744
91.295065 89.190 -120.2101
91.956626 90.537 -129.3649
92.622982 91.537 -139.2900
93.294166 92.173 -150.2355
93.970214 92.382 -162.0269
94.651161 92.109 -173.8943
95.337042 91.345 175.2679
96.027894 90.133 166.5574
96.723752 88.555 160.8503
97.424652 86.717 158.8236
98.130631 84.761 161.1208
98.841726 82.909 168.2706
99.557974 81.492 179.7701
100.279412 80.810 -167.3835
101.006078 80.828 -157.0753
101.738010 81.211 -150.6609
102.475245 81.636 -147.8112
103.217823 81.872 -147.8236
103.965782 81.781 -149.2468
104.719161 81.355 -150.1520
105.477999 80.709 -149.1980
106.242336 80.017 -146.1812
107.012212 79.448 -141.5756
107.787666 79.113 -136.6368
108.568740 78.972 -133.3567
109.355474 78.834 -132.4799
110.147909 78.537 -132.8877
110.946086 78.068 -133.0817
111.750047 77.531 -132.8030
112.559834 76.998 -133.3453
113.375489 76.426 -135.9280
114.197055 75.726 -141.0547
115.024574 74.819 -149.5190
115.858089 73.614 -162.2634
116.697645 72.071 179.9209
117.543284 70.309 156.0940
118.395051 68.581 127.2024
119.252990 67.064 99.9167
120.117147 65.698 81.4646
120.987565 64.493 76.0029
121.864291 64.251 89.2263
122.747370 65.887 114.1788
123.636848 68.493 127.6704
124.532771 70.912 129.4451
125.435187 72.736 125.6003
126.344142 73.959 120.5803
127.259684 74.710 116.3708
128.181860 75.070 112.9949
129.110718 75.072 111.0723
130.046308 74.873 112.6592
130.988677 74.755 117.4396
131.937875 74.728 119.8513
132.893951 74.421 116.7488
133.856956 73.847 109.6815
134.826938 74.558 100.9486
135.803950 77.598 -96.3726
136.788041 80.917 -111.3630
137.779264 83.337 -127.2889
138.777669 84.786 -141.4221
139.783309 85.478 -151.9720
140.796237 85.693 -158.1058
141.816504 85.704 -160.0806
142.844165 85.759 -158.4635
143.879273 86.099 -153.8685
144.921881 86.822 -148.9517
145.972045 87.746 -146.7688
147.029819 88.584 -147.8069
148.095257 89.153 -150.7642
149.168417 89.401 -154.1660
150.249353 89.343 -157.1565
151.338121 89.032 -158.8503
152.434780 88.607 -158.0852
153.539385 88.288 -154.9536
154.651995 88.164 -152.4866
155.772667 88.000 -153.4357
156.901460 87.469 -156.1418
158.038432 86.471 -156.8521
159.183644 85.156 -153.0967
160.337154 83.836 -144.0146
161.499023 82.977 -129.4838
162.669312 82.997 -112.6559
163.848081 83.686 -102.0468
165.035392 84.340 -99.7866
166.231306 84.499 -101.2349
167.435887 84.074 -102.2939
168.649196 83.166 -100.4318
169.871298 82.002 -93.6349
171.102255 80.979 -81.0309
172.342133 80.636 -63.2908
173.590995 81.272 -44.8439
174.848907 82.414 -35.2512
176.115934 83.328 -34.4056
177.392143 83.682 -36.9829
