* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:03:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-empty-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 79.465 8.5297
10.166832 79.588 7.4448
10.240505 79.737 6.3284
10.314712 79.891 5.1717
10.389457 80.046 3.9629
10.464743 80.198 2.6850
10.540575 80.347 1.3268
10.616956 80.492 -0.0850
10.693891 80.627 -1.5241
10.771383 80.749 -2.9695
10.849437 80.856 -4.4709
10.928057 80.951 -6.0315
11.007246 81.031 -7.5898
11.087009 81.094 -9.0863
11.167350 81.137 -10.5290
11.248273 81.161 -11.9896
11.329783 81.168 -13.3984
11.411883 81.160 -14.6753
11.494578 81.135 -15.7776
11.577873 81.090 -16.7822
11.661771 81.034 -17.6483
11.746277 80.977 -18.3139
11.831395 80.920 -18.7210
11.917130 80.859 -18.8845
12.003487 80.808 -18.8295
12.090469 80.785 -18.5819
12.178081 80.799 -18.1178
12.266329 80.844 -17.3899
12.355216 80.929 -16.5441
12.444747 81.065 -15.7433
12.534926 81.259 -14.9635
12.625760 81.507 -14.1707
12.717251 81.794 -13.5616
12.809406 82.110 -13.2993
12.902228 82.461 -13.2702
12.995723 82.838 -13.4739
13.089895 83.218 -13.9932
13.184750 83.589 -14.8730
13.280292 83.957 -16.0273
13.376526 84.312 -17.4099
13.473458 84.641 -19.0025
13.571093 84.944 -20.8558
13.669434 85.219 -22.9022
13.768489 85.463 -25.0372
13.868261 85.670 -27.2613
13.968756 85.843 -29.6601
14.069979 85.979 -32.0964
14.171936 86.079 -34.4665
14.274632 86.141 -36.9141
14.378072 86.167 -39.3668
14.482261 86.158 -41.6791
14.587206 86.112 -43.9157
14.692910 86.034 -46.0975
14.799381 85.926 -48.1085
14.906624 85.791 -49.9129
15.014643 85.630 -51.5654
15.123446 85.453 -53.0215
15.233036 85.264 -54.2209
15.343421 85.063 -55.1745
15.454606 84.864 -55.9303
15.566596 84.675 -56.4740
15.679398 84.493 -56.7648
15.793018 84.329 -56.9283
15.907460 84.187 -57.0101
16.022732 84.067 -56.9579
16.138840 83.965 -56.9084
16.255788 83.880 -56.9205
16.373585 83.809 -56.9557
16.492234 83.739 -57.0768
16.611744 83.668 -57.3213
16.732119 83.589 -57.6559
16.853367 83.490 -58.0431
16.975494 83.370 -58.5220
17.098505 83.224 -59.0331
17.222408 83.044 -59.4907
17.347209 82.830 -59.9377
17.472914 82.582 -60.2832
17.599530 82.296 -60.4541
17.727063 81.974 -60.4603
17.855521 81.620 -60.2126
17.984909 81.233 -59.6563
18.115235 80.820 -58.7588
18.246506 80.387 -57.4611
18.378727 79.938 -55.6853
18.511907 79.488 -53.4151
18.646052 79.044 -50.5832
18.781169 78.621 -47.1420
18.917265 78.247 -43.1162
19.054347 77.927 -38.4760
19.192423 77.695 -33.3084
19.331499 77.566 -27.7203
19.471583 77.550 -21.8539
19.612682 77.658 -15.9025
19.754804 77.887 -10.0514
19.897956 78.220 -4.4338
20.042144 78.652 0.8090
20.187378 79.161 5.6208
20.333664 79.731 9.9730
20.481010 80.352 13.8242
20.629424 81.009 17.1734
20.778913 81.696 20.0362
20.929486 82.397 22.3434
21.081150 83.107 24.1877
21.233912 83.809 25.4858
21.387782 84.497 26.3261
21.542767 85.156 26.7191
21.698874 85.778 26.6946
21.856113 86.354 26.3576
22.014492 86.876 25.7326
22.174018 87.340 24.9253
22.334700 87.742 24.0291
22.496546 88.083 23.0871
22.659566 88.365 22.2709
22.823766 88.593 21.5699
22.989157 88.776 21.1813
23.155745 88.925 21.0792
23.323542 89.059 21.4084
23.492554 89.190 22.1447
23.662790 89.347 23.3160
23.834261 89.541 24.8800
24.006973 89.797 26.7347
24.180938 90.120 28.8014
24.356163 90.522 30.9070
24.532658 91.000 32.9523
24.710431 91.551 34.7754
24.889493 92.167 36.2748
25.069853 92.835 37.3500
25.251519 93.541 37.8977
25.434502 94.267 37.9068
25.618811 94.994 37.2907
25.804456 95.704 36.1119
25.991445 96.376 34.3543
26.179790 96.997 32.1066
26.369500 97.549 29.4464
26.560584 98.023 26.4726
26.753053 98.409 23.3052
26.946917 98.706 20.1085
27.142185 98.912 16.9463
27.338869 99.040 14.0840
27.536977 99.099 11.5345
27.736522 99.119 9.5346
27.937512 99.129 8.0302
28.139959 99.167 7.0908
28.343872 99.265 6.4254
28.549264 99.440 5.9296
28.756143 99.688 5.1308
28.964522 99.984 3.8961
29.174411 100.291 2.0082
29.385821 100.558 -0.5148
29.598763 100.755 -3.6034
29.813248 100.846 -7.1121
30.029287 100.814 -10.7406
30.246891 100.647 -14.4045
30.466073 100.343 -17.6669
30.686842 99.916 -20.3414
30.909212 99.385 -22.1309
31.133193 98.802 -22.7278
31.358797 98.230 -22.0693
31.586035 97.736 -20.0828
31.814921 97.398 -17.2528
32.045465 97.239 -14.0558
32.277680 97.253 -11.0068
32.511577 97.389 -8.5372
32.747169 97.596 -6.7096
32.984469 97.838 -5.5129
33.223488 98.087 -4.8511
33.464239 98.324 -4.6343
33.706735 98.539 -4.7871
33.950987 98.718 -5.2385
34.197010 98.853 -5.8547
34.444816 98.942 -6.4737
34.694417 98.996 -6.9648
34.945827 99.036 -7.1867
35.199059 99.100 -7.1228
35.454126 99.216 -6.9935
35.711041 99.400 -6.9194
35.969818 99.640 -7.3276
36.230470 99.897 -8.4539
36.493011 100.120 -10.3068
36.757455 100.269 -12.7654
37.023814 100.310 -15.6392
37.292104 100.228 -18.6259
37.562338 100.029 -21.3875
37.834530 99.735 -23.7064
38.108695 99.380 -25.4340
38.384846 99.003 -26.5178
38.662999 98.638 -27.0592
38.943167 98.303 -27.2849
39.225365 97.996 -27.3691
39.509608 97.702 -27.3895
39.795911 97.410 -27.3337
40.084289 97.119 -27.1299
40.374756 96.839 -26.7193
40.667328 96.588 -26.1430
40.962020 96.376 -25.5552
41.258848 96.200 -25.1380
41.557827 96.040 -25.0263
41.858972 95.872 -25.2702
42.162299 95.674 -25.8420
42.467824 95.427 -26.6692
42.775564 95.117 -27.6668
43.085533 94.734 -28.7448
43.397749 94.264 -29.7862
43.712227 93.698 -30.6127
44.028983 93.033 -30.9737
44.348036 92.285 -30.5737
44.669400 91.490 -29.1462
44.993093 90.706 -26.5702
45.319131 89.999 -22.9781
45.647532 89.416 -18.7548
45.978313 88.969 -14.3787
46.311491 88.639 -10.2167
46.647083 88.389 -6.4371
46.985107 88.184 -3.0519
47.325581 88.000 0.0130
47.668521 87.819 2.8729
48.013947 87.637 5.6505
48.361876 87.461 8.4277
48.712326 87.299 11.2061
49.065315 87.156 13.9286
49.420863 87.028 16.5638
49.778987 86.912 19.1763
50.139706 86.818 21.8886
50.503039 86.776 24.7365
50.869005 86.817 27.5367
51.237623 86.952 29.9188
51.608912 87.157 31.5343
51.982891 87.395 32.2290
52.359580 87.633 32.0050
52.739000 87.853 30.8517
53.121168 88.037 28.6444
53.506106 88.146 25.2110
53.893833 88.120 20.4877
54.284370 87.890 14.6298
54.677737 87.390 8.0543
55.073955 86.575 1.4126
55.473043 85.435 -4.4487
55.875024 84.009 -8.5651
56.279917 82.403 -10.0305
56.687745 80.802 -8.4959
57.098527 79.419 -4.6875
57.512287 78.402 0.1340
57.929045 77.825 5.1495
58.348822 77.746 9.6314
58.771642 78.150 12.2511
59.197525 78.869 11.9024
59.626495 79.696 8.7530
60.058573 80.517 3.8058
60.493782 81.327 -1.9571
60.932145 82.163 -8.1044
61.373685 83.023 -14.7034
61.818424 83.848 -21.9198
62.266386 84.550 -29.5918
62.717593 85.068 -37.2175
63.172071 85.397 -44.0840
63.629842 85.593 -49.5554
64.090930 85.744 -53.4339
64.555359 85.930 -56.0547
65.023154 86.171 -58.0906
65.494339 86.428 -60.0259
65.968938 86.652 -61.9590
66.446976 86.814 -63.7382
66.928478 86.911 -65.2155
67.413469 86.946 -66.3471
67.901975 86.920 -67.1354
68.394021 86.831 -67.5513
68.889632 86.679 -67.5284
69.388835 86.468 -66.9667
69.891655 86.209 -65.7529
70.398118 85.921 -63.8212
70.908252 85.621 -61.2148
71.422083 85.313 -57.9975
71.939636 85.001 -54.0113
72.460941 84.722 -48.9144
72.986023 84.543 -42.6944
73.514909 84.512 -35.9586
74.047629 84.612 -29.3127
74.584208 84.809 -22.7587
75.124676 85.106 -16.0274
75.669061 85.527 -9.2328
76.217390 86.072 -2.8161
76.769692 86.705 2.8317
77.325997 87.374 7.5366
77.886333 88.034 11.5108
78.450730 88.689 15.3070
79.019216 89.391 19.1675
79.591822 90.163 22.4456
80.168577 90.941 24.3894
80.749512 91.641 25.1755
81.334656 92.253 25.6189
81.924040 92.833 26.0337
82.517696 93.404 25.8614
83.115653 93.906 24.4747
83.717943 94.249 21.9039
84.324598 94.371 18.7225
84.935649 94.254 15.6048
85.551128 93.919 13.1998
86.171066 93.427 12.0590
86.795497 92.874 12.3531
87.424453 92.347 13.6048
88.057967 91.869 14.9499
88.696071 91.387 15.6785
89.338800 90.792 15.5834
89.986185 89.964 15.1682
90.638262 88.821 15.6783
91.295065 87.371 18.8511
91.956626 85.762 26.8038
92.622982 84.409 42.2234
93.294166 83.999 63.9270
93.970214 84.682 80.9908
94.651161 85.725 88.8439
95.337042 86.549 91.7116
96.027894 87.031 93.2380
96.723752 87.236 94.8886
97.424652 87.247 97.0555
98.130631 87.136 99.9279
98.841726 86.963 103.3705
99.557974 86.747 106.9608
100.279412 86.472 110.6612
101.006078 86.138 114.8572
101.738010 85.780 119.7986
102.475245 85.443 125.3348
103.217823 85.143 130.9725
103.965782 84.852 136.4053
104.719161 84.545 141.9695
105.477999 84.235 147.9146
106.242336 83.925 153.7012
107.012212 83.552 158.8934
107.787666 83.039 164.1035
108.568740 82.381 170.6249
109.355474 81.677 179.5294
110.147909 81.107 -168.8958
110.946086 80.856 -155.5225
111.750047 80.989 -142.4661
112.559834 81.402 -131.2781
113.375489 81.938 -122.0827
114.197055 82.484 -114.4731
115.024574 82.987 -107.8689
115.858089 83.435 -101.9870
116.697645 83.810 -96.8174
117.543284 84.091 -92.2251
118.395051 84.263 -87.8973
119.252990 84.341 -83.3351
120.117147 84.362 -78.3193
120.987565 84.357 -73.0336
121.864291 84.330 -67.6812
122.747370 84.274 -62.2307
123.636848 84.218 -56.0465
124.532771 84.253 -48.8607
125.435187 84.447 -41.7216
126.344142 84.770 -35.7348
127.259684 85.139 -31.3622
128.181860 85.459 -28.6971
129.110718 85.662 -27.4583
130.046308 85.694 -27.5895
130.988677 85.476 -29.2548
131.937875 84.908 -31.9148
132.893951 83.929 -34.4096
133.856956 82.524 -35.7099
134.826938 80.694 -34.9511
135.803950 78.465 -29.9352
136.788041 76.069 -15.5795
137.779264 74.134 7.3180
138.777669 73.047 23.7137
139.783309 72.245 31.9270
140.796237 71.135 38.1412
141.816504 69.523 43.5717
142.844165 67.498 46.7883
143.879273 66.309 53.1832
144.921881 68.069 -142.7076
145.972045 71.115 -142.7383
147.029819 73.787 -142.6708
148.095257 75.897 -142.2372
149.168417 77.473 -142.8127
150.249353 78.545 -143.9705
151.338121 79.193 -144.4601
152.434780 79.526 -143.7933
153.539385 79.667 -141.4747
154.651995 79.734 -138.1573
155.772667 79.684 -136.2827
156.901460 79.315 -136.1091
158.038432 78.506 -134.8025
159.183644 77.350 -129.7410
160.337154 76.067 -120.1309
161.499023 74.881 -107.9640
162.669312 73.926 -93.4583
163.848081 73.505 -72.4800
165.035392 73.853 -52.5654
166.231306 74.587 -40.0081
167.435887 75.293 -31.1496
168.649196 75.857 -23.5141
169.871298 76.344 -15.8081
171.102255 76.870 -7.7847
172.342133 77.453 -1.5286
173.590995 77.965 1.8253
174.848907 78.278 2.7259
176.115934 78.252 0.8143
177.392143 77.761 -2.3715
178.677599 76.855 -4.2362
179.972371 75.699 -5.2928
181.276525 74.368 -7.0015
