* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 1:52:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-empty-p2-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 32.290 128.6804
10.166832 31.389 122.7837
10.240505 30.267 116.3424
10.314712 29.092 109.0654
10.389457 27.873 100.9308
10.464743 26.453 92.4686
10.540575 24.625 83.1660
10.616956 22.579 71.3250
10.693891 20.609 54.8764
10.771383 19.017 33.9580
10.849437 17.885 9.2116
10.928057 17.142 -26.4244
11.007246 16.801 -66.0970
11.087009 16.918 -94.4005
11.167350 17.566 -121.3228
11.248273 18.726 -157.0946
11.329783 20.249 173.1216
11.411883 22.000 150.9067
11.494578 23.958 131.6534
11.577873 26.167 116.6100
11.661771 28.432 105.3907
11.746277 30.536 95.9702
11.831395 32.371 87.0546
11.917130 34.013 79.0281
12.003487 35.509 71.9789
12.090469 36.883 65.5079
12.178081 38.137 59.1329
12.266329 39.261 52.9151
12.355216 40.277 47.1037
12.444747 41.206 41.6616
12.534926 42.049 36.2206
12.625760 42.801 30.7690
12.717251 43.473 25.5884
12.809406 44.073 20.7506
12.902228 44.599 15.8130
12.995723 45.051 10.8944
13.089895 45.435 6.2732
13.184750 45.754 1.9485
13.280292 46.003 -2.4818
13.376526 46.186 -6.7689
13.473458 46.306 -10.6304
13.571093 46.361 -14.3276
13.669434 46.352 -17.9381
13.768489 46.284 -21.1957
13.868261 46.157 -23.9487
13.968756 45.969 -26.4325
14.069979 45.738 -28.5271
14.171936 45.476 -30.0179
14.274632 45.174 -30.8573
14.378072 44.864 -31.1004
14.482261 44.592 -30.7792
14.587206 44.362 -29.6790
14.692910 44.188 -27.9049
14.799381 44.114 -25.8755
14.906624 44.168 -23.6784
15.014643 44.332 -21.3301
15.123446 44.576 -19.3148
15.233036 44.891 -17.8371
15.343421 45.272 -16.7533
15.454606 45.668 -16.1578
15.566596 46.052 -16.0948
15.679398 46.427 -16.4612
15.793018 46.777 -17.1120
15.907460 47.089 -18.0101
16.022732 47.368 -19.1612
16.138840 47.616 -20.3975
16.255788 47.832 -21.6788
16.373585 48.019 -23.0461
16.492234 48.186 -24.3969
16.611744 48.335 -25.7186
16.732119 48.470 -27.0384
16.853367 48.596 -28.3290
16.975494 48.715 -29.5957
17.098505 48.827 -30.8452
17.222408 48.934 -32.0781
17.347209 49.035 -33.3064
17.472914 49.130 -34.4973
17.599530 49.217 -35.6438
17.727063 49.298 -36.7511
17.855521 49.374 -37.7475
17.984909 49.448 -38.6320
18.115235 49.525 -39.3998
18.246506 49.617 -40.0079
18.378727 49.723 -40.4581
18.511907 49.858 -40.8318
18.646052 50.028 -41.1047
18.781169 50.232 -41.3503
18.917265 50.471 -41.7126
19.054347 50.742 -42.1390
19.192423 51.031 -42.7474
19.331499 51.330 -43.5733
19.471583 51.628 -44.5500
19.612682 51.907 -45.6818
19.754804 52.164 -46.9490
19.897956 52.391 -48.1635
20.042144 52.585 -49.3802
20.187378 52.754 -50.4211
20.333664 52.900 -51.2023
20.481010 53.040 -51.7411
20.629424 53.193 -51.9265
20.778913 53.371 -51.8135
20.929486 53.596 -51.5373
21.081150 53.873 -51.0770
21.233912 54.201 -50.7251
21.387782 54.579 -50.4937
21.542767 54.981 -50.5029
21.698874 55.393 -50.8295
21.856113 55.797 -51.3683
22.014492 56.175 -52.1173
22.174018 56.526 -52.9655
22.334700 56.845 -53.7618
22.496546 57.140 -54.5047
22.659566 57.430 -55.0315
22.823766 57.725 -55.4025
22.989157 58.050 -55.6464
23.155745 58.409 -55.8123
23.323542 58.807 -56.1392
23.492554 59.237 -56.6125
23.662790 59.677 -57.4515
23.834261 60.110 -58.5728
24.006973 60.508 -59.9630
24.180938 60.862 -61.5248
24.356163 61.160 -63.0045
24.532658 61.411 -64.3389
24.710431 61.638 -65.1823
24.889493 61.878 -65.5853
25.069853 62.183 -65.3644
25.251519 62.596 -64.9188
25.434502 63.154 -64.3655
25.618811 63.840 -64.4429
25.804456 64.629 -65.2222
25.991445 65.447 -67.1857
26.179790 66.250 -70.1227
26.369500 66.974 -74.0588
26.560584 67.594 -78.7006
26.753053 68.079 -83.8956
26.946917 68.418 -89.2654
27.142185 68.601 -94.7778
27.338869 68.632 -99.8285
27.536977 68.518 -104.4584
27.736522 68.295 -107.9744
27.937512 68.019 -110.3723
28.139959 67.770 -111.1727
28.343872 67.674 -110.8406
28.549264 67.803 -109.5807
28.756143 68.186 -108.7402
28.964522 68.748 -108.8210
29.174411 69.385 -110.3563
29.385821 69.979 -113.2320
29.598763 70.468 -117.1662
29.813248 70.799 -121.8156
30.029287 70.960 -126.6312
30.246891 70.948 -131.4939
30.466073 70.777 -135.7667
30.686842 70.483 -139.3014
30.909212 70.106 -141.7862
31.133193 69.723 -143.0837
31.358797 69.394 -143.3727
31.586035 69.169 -142.8311
31.814921 69.059 -142.0636
32.045465 69.035 -141.2443
32.277680 69.065 -140.5090
32.511577 69.124 -139.6744
32.747169 69.235 -138.5512
32.984469 69.436 -137.1382
33.223488 69.779 -135.6088
33.464239 70.268 -134.6137
33.706735 70.858 -134.5316
33.950987 71.480 -135.6066
34.197010 72.046 -137.8108
34.444816 72.506 -140.7209
34.694417 72.839 -143.9952
34.945827 73.048 -147.2303
35.199059 73.174 -149.9801
35.454126 73.275 -152.1625
35.711041 73.407 -153.8402
35.969818 73.613 -155.2744
36.230470 73.892 -157.0132
36.493011 74.193 -159.3754
36.757455 74.456 -162.4224
37.023814 74.616 -166.0656
37.292104 74.627 -169.9894
37.562338 74.466 -173.6682
37.834530 74.140 -176.6317
38.108695 73.684 -178.3893
38.384846 73.168 -178.4312
38.662999 72.702 -176.4215
38.943167 72.433 -172.5578
39.225365 72.462 -167.6170
39.509608 72.805 -162.7048
39.795911 73.393 -158.7329
40.084289 74.116 -156.0536
40.374756 74.876 -154.5108
40.667328 75.625 -153.6390
40.962020 76.374 -152.8885
41.258848 77.186 -151.9093
41.557827 78.141 -150.7814
41.858972 79.284 -150.0853
42.162299 80.590 -150.6344
42.467824 81.968 -153.0251
42.775564 83.308 -157.4032
43.085533 84.518 -163.5430
43.397749 85.542 -171.0345
43.712227 86.351 -179.4127
44.028983 86.940 171.7678
44.348036 87.314 162.9008
44.669400 87.492 154.3302
44.993093 87.504 146.3479
45.319131 87.390 139.1750
45.647532 87.198 132.9357
45.978313 86.977 127.6320
46.311491 86.767 123.1473
46.647083 86.595 119.2926
46.985107 86.473 115.8748
47.325581 86.404 112.7439
47.668521 86.385 109.7949
48.013947 86.417 106.9449
48.361876 86.497 104.1215
48.712326 86.621 101.2708
49.065315 86.787 98.3644
49.420863 86.997 95.3781
49.778987 87.258 92.2521
50.139706 87.571 88.8774
50.503039 87.930 85.1329
50.869005 88.321 80.9474
51.237623 88.734 76.3256
51.608912 89.171 71.2926
51.982891 89.646 65.7838
52.359580 90.165 59.5681
52.739000 90.711 52.3001
53.121168 91.228 43.6853
53.506106 91.645 33.6336
53.893833 91.887 22.2693
54.284370 91.891 9.8925
54.677737 91.614 -3.0553
55.073955 91.029 -16.0386
55.473043 90.134 -28.4527
55.875024 88.953 -39.6649
56.279917 87.550 -49.1015
56.687745 86.033 -56.4240
57.098527 84.539 -61.8999
57.512287 83.165 -66.4112
57.929045 81.914 -70.8307
58.348822 80.722 -75.4636
58.771642 79.538 -80.1611
59.197525 78.359 -84.8237
59.626495 77.213 -89.8022
60.058573 76.085 -95.7535
60.493782 74.902 -103.2322
60.932145 73.565 -112.4380
61.373685 71.996 -123.5364
61.818424 70.163 -137.0383
62.266386 68.113 -154.3352
62.717593 66.051 -178.1064
63.172071 64.484 150.0024
63.629842 64.005 117.1423
64.090930 64.574 92.8226
64.555359 65.629 76.9019
65.023154 66.771 66.0740
65.494339 67.860 57.9897
65.968938 68.863 51.2773
66.446976 69.779 45.1508
66.928478 70.605 39.1093
67.413469 71.329 32.8757
67.901975 71.936 26.3868
68.394021 72.425 19.7058
68.889632 72.799 12.8759
69.388835 73.064 5.9155
69.891655 73.216 -1.1901
70.398118 73.246 -8.4019
70.908252 73.142 -15.7153
71.422083 72.872 -23.0605
71.939636 72.388 -30.1570
72.460941 71.657 -36.0051
72.986023 70.766 -38.8601
73.514909 70.065 -36.9962
74.047629 70.047 -32.1577
74.584208 70.771 -29.6852
75.124676 71.785 -31.9924
75.669061 72.744 -37.7012
76.217390 73.564 -45.1735
76.769692 74.263 -53.7314
77.325997 74.853 -63.2087
77.886333 75.335 -73.3789
78.450730 75.731 -83.9268
79.019216 76.088 -94.7346
79.591822 76.436 -106.0541
80.168577 76.747 -118.2084
80.749512 76.963 -131.2446
81.334656 77.037 -144.8953
81.924040 76.947 -158.8489
82.517696 76.672 -172.9336
83.115653 76.169 173.0586
83.717943 75.378 159.6685
84.324598 74.262 147.9182
84.935649 72.847 139.2184
85.551128 71.284 135.2535
86.171066 69.925 137.3112
86.795497 69.306 144.2656
87.424453 69.728 151.6777
88.057967 70.950 156.1018
88.696071 72.585 156.9082
89.338800 74.356 154.0247
89.986185 76.068 147.6564
90.638262 77.621 138.6395
91.295065 79.002 127.7067
91.956626 80.197 114.8408
92.622982 81.114 99.7161
93.294166 81.613 82.5942
93.970214 81.588 64.5974
94.651161 81.017 47.4047
95.337042 80.007 32.7539
96.027894 78.801 21.5929
96.723752 77.693 13.1633
97.424652 76.861 5.6337
98.130631 76.319 -2.1826
98.841726 76.036 -10.7471
99.557974 75.992 -20.5771
100.279412 76.147 -32.3495
101.006078 76.412 -46.5795
101.738010 76.670 -63.2017
102.475245 76.853 -81.4854
103.217823 76.974 -100.5808
103.965782 77.064 -120.0868
104.719161 77.090 -139.8645
105.477999 76.969 -159.4305
106.242336 76.658 -177.9648
107.012212 76.168 165.0123
107.787666 75.495 149.4095
108.568740 74.575 135.3396
109.355474 73.350 123.8151
110.147909 71.877 116.4065
110.946086 70.370 114.2019
111.750047 69.147 116.3208
112.559834 68.388 119.8552
113.375489 67.999 123.2020
114.197055 67.898 127.8395
115.024574 68.245 134.9376
115.858089 69.160 142.0967
116.697645 70.419 145.7528
117.543284 71.661 145.1902
118.395051 72.680 142.1637
119.252990 73.481 138.8879
120.117147 74.189 136.3534
120.987565 74.887 133.8967
121.864291 75.550 130.8724
122.747370 76.153 127.6890
123.636848 76.755 125.1044
124.532771 77.483 123.4735
125.435187 78.415 121.7109
126.344142 79.437 117.7900
127.259684 80.347 111.3870
128.181860 81.040 103.7081
129.110718 81.524 95.7419
130.046308 81.837 87.7493
130.988677 81.996 79.7886
131.937875 82.016 71.9702
132.893951 81.907 64.3966
133.856956 81.690 57.2772
134.826938 81.404 50.6521
135.803950 81.058 44.0228
136.788041 80.603 37.1575
137.779264 80.002 30.7211
138.777669 79.297 25.2238
139.783309 78.544 20.0961
140.796237 77.724 14.5408
141.816504 76.759 8.2180
142.844165 75.549 0.9171
143.879273 73.986 -8.0956
144.921881 71.957 -20.5419
145.972045 69.746 -41.4039
147.029819 69.393 -156.9944
148.095257 72.044 151.7366
149.168417 75.232 136.5317
150.249353 77.812 122.7732
151.338121 79.660 108.4124
152.434780 80.861 94.4006
153.539385 81.548 81.6965
154.651995 81.865 70.7974
155.772667 81.927 61.5725
156.901460 81.791 53.6514
158.038432 81.511 47.5906
159.183644 81.262 44.5000
160.337154 81.273 43.2881
161.499023 81.516 40.4861
162.669312 81.724 35.2649
163.848081 81.740 29.5945
165.035392 81.612 25.0300
166.231306 81.488 22.0310
167.435887 81.467 19.1392
168.649196 81.425 14.3760
169.871298 81.156 8.6243
171.102255 80.645 4.9319
172.342133 80.140 4.7942
173.590995 79.901 6.3032
174.848907 80.000 7.5972
176.115934 80.437 8.6814
177.392143 81.253 9.3574
178.677599 82.353 7.2368
179.972371 83.438 0.2708
181.276525 84.208 -11.0188
182.590129 84.499 -24.8469
