* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:47:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-frames-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 43.492 52.1596
10.166832 43.645 50.1474
10.240505 43.832 48.2672
10.314712 44.025 46.4866
10.389457 44.225 44.7793
10.464743 44.448 43.1380
10.540575 44.706 41.6237
10.616956 44.989 40.2021
10.693891 45.292 38.8246
10.771383 45.614 37.4491
10.849437 45.954 36.1316
10.928057 46.315 34.8847
11.007246 46.692 33.6440
11.087009 47.084 32.3535
11.167350 47.490 31.0328
11.248273 47.911 29.7536
11.329783 48.345 28.4422
11.411883 48.788 27.0307
11.494578 49.239 25.5145
11.577873 49.699 23.9987
11.661771 50.165 22.4170
11.746277 50.633 20.6972
11.831395 51.100 18.8219
11.917130 51.568 16.8969
12.003487 52.034 14.8807
12.090469 52.491 12.7143
12.178081 52.939 10.3759
12.266329 53.377 7.9393
12.355216 53.803 5.4032
12.444747 54.210 2.7406
12.534926 54.598 -0.0903
12.625760 54.967 -3.0508
12.717251 55.312 -6.0873
12.809406 55.629 -9.1927
12.902228 55.918 -12.4822
12.995723 56.177 -15.8853
13.089895 56.402 -19.2959
13.184750 56.591 -22.7334
13.280292 56.742 -26.3621
13.376526 56.854 -30.0236
13.473458 56.921 -33.5656
13.571093 56.944 -37.1913
13.669434 56.919 -40.9050
13.768489 56.843 -44.4867
13.868261 56.712 -47.8753
13.968756 56.527 -51.3135
14.069979 56.283 -54.6087
14.171936 55.978 -57.5159
14.274632 55.607 -60.1929
14.378072 55.178 -62.5825
14.482261 54.696 -64.4311
14.587206 54.148 -65.5747
14.692910 53.563 -66.0019
14.799381 52.998 -65.6355
14.906624 52.463 -64.1633
15.014643 51.983 -61.4731
15.123446 51.659 -58.0582
15.233036 51.566 -54.2044
15.343421 51.680 -49.9683
15.454606 51.951 -46.3039
15.566596 52.366 -43.6880
15.679398 52.908 -41.8952
15.793018 53.475 -41.0448
15.907460 54.006 -41.1595
16.022732 54.511 -42.0102
16.138840 54.962 -43.2819
16.255788 55.341 -44.9564
16.373585 55.653 -47.0005
16.492234 55.904 -49.0396
16.611744 56.089 -51.1184
16.732119 56.218 -53.2383
16.853367 56.304 -55.1035
16.975494 56.348 -56.7763
17.098505 56.365 -58.2474
17.222408 56.375 -59.3767
17.347209 56.379 -60.1813
17.472914 56.397 -60.7362
17.599530 56.445 -61.0366
17.727063 56.523 -61.0880
17.855521 56.638 -61.0802
17.984909 56.793 -61.0030
18.115235 56.980 -60.9104
18.246506 57.189 -60.9223
18.378727 57.419 -61.0041
18.511907 57.657 -61.1407
18.646052 57.895 -61.3595
18.781169 58.132 -61.5991
18.917265 58.364 -61.7732
19.054347 58.592 -61.9135
19.192423 58.824 -61.9126
19.331499 59.063 -61.7518
19.471583 59.320 -61.4446
19.612682 59.607 -60.9581
19.754804 59.929 -60.3287
19.897956 60.298 -59.6725
20.042144 60.720 -58.9601
20.187378 61.192 -58.4044
20.333664 61.714 -58.0357
20.481010 62.275 -57.9318
20.629424 62.860 -58.2557
20.778913 63.460 -58.9052
20.929486 64.050 -60.0173
21.081150 64.624 -61.5002
21.233912 65.159 -63.3009
21.387782 65.649 -65.4399
21.542767 66.082 -67.7053
21.698874 66.451 -70.1252
21.856113 66.755 -72.5103
22.014492 66.992 -74.7325
22.174018 67.172 -76.7522
22.334700 67.309 -78.2970
22.496546 67.423 -79.4366
22.659566 67.551 -79.9815
22.823766 67.715 -80.0318
22.989157 67.960 -79.7673
23.155745 68.294 -79.2790
23.323542 68.718 -79.0775
23.492554 69.217 -79.1457
23.662790 69.741 -79.8727
23.834261 70.266 -81.1025
24.006973 70.743 -82.8288
24.180938 71.156 -84.8911
24.356163 71.485 -86.9589
24.532658 71.738 -88.9375
24.710431 71.932 -90.3556
24.889493 72.110 -91.2210
25.069853 72.335 -91.1937
25.251519 72.672 -90.6658
25.434502 73.182 -89.7065
25.618811 73.865 -89.2728
25.804456 74.703 -89.5016
25.991445 75.604 -91.1285
26.179790 76.516 -93.8873
26.369500 77.359 -97.9087
26.560584 78.101 -102.8004
26.753053 78.709 -108.4578
26.946917 79.170 -114.4521
27.142185 79.474 -120.8082
27.338869 79.622 -126.9196
27.536977 79.616 -132.9220
27.736522 79.473 -138.1423
27.937512 79.224 -142.6216
28.139959 78.914 -145.8458
28.343872 78.633 -147.8991
28.549264 78.456 -148.6514
28.756143 78.478 -148.8421
28.964522 78.702 -149.0289
29.174411 79.100 -149.9164
29.385821 79.563 -151.9664
29.598763 80.018 -155.0670
29.813248 80.385 -159.1280
30.029287 80.629 -163.6276
30.246891 80.735 -168.4479
30.466073 80.704 -173.0060
30.686842 80.563 -177.1260
30.909212 80.342 179.4359
31.133193 80.101 176.8670
31.358797 79.891 175.0103
31.586035 79.750 173.7711
31.814921 79.694 172.6603
32.045465 79.699 171.4868
32.277680 79.731 170.0963
32.511577 79.747 168.5509
32.747169 79.737 167.1177
32.984469 79.712 165.9623
33.223488 79.710 165.3158
33.464239 79.786 165.0325
33.706735 79.970 164.8192
33.950987 80.264 164.3127
34.197010 80.622 163.0499
34.444816 80.980 161.0043
34.694417 81.289 158.2933
34.945827 81.511 155.1348
35.199059 81.641 151.9652
35.454126 81.702 149.0393
35.711041 81.734 146.4999
35.969818 81.786 144.3944
36.230470 81.899 142.4478
36.493011 82.077 140.2889
36.757455 82.291 137.6606
37.023814 82.495 134.4069
37.292104 82.638 130.5553
37.562338 82.683 126.3873
37.834530 82.617 122.2029
38.108695 82.450 118.2745
38.384846 82.209 114.8517
38.662999 81.935 112.0884
38.943167 81.677 109.9099
39.225365 81.463 108.0823
39.509608 81.294 106.3507
39.795911 81.151 104.5229
40.084289 81.002 102.5396
40.374756 80.819 100.5010
40.667328 80.590 98.6259
40.962020 80.325 97.1401
41.258848 80.050 96.1953
41.557827 79.800 95.8451
41.858972 79.610 96.0312
42.162299 79.509 96.5911
42.467824 79.518 97.2846
42.775564 79.638 97.8311
43.085533 79.858 97.9494
43.397749 80.147 97.4077
43.712227 80.464 96.0766
44.028983 80.765 93.9609
44.348036 81.012 91.1806
44.669400 81.183 87.9261
44.993093 81.264 84.4115
45.319131 81.257 80.8370
45.647532 81.170 77.3668
45.978313 81.017 74.1192
46.311491 80.815 71.1691
46.647083 80.578 68.5544
46.985107 80.323 66.2814
47.325581 80.067 64.3203
47.668521 79.819 62.6019
48.013947 79.587 61.0255
48.361876 79.367 59.4920
48.712326 79.147 57.9503
49.065315 78.913 56.4295
49.420863 78.660 55.0302
49.778987 78.393 53.8729
50.139706 78.129 53.0239
50.503039 77.889 52.4426
50.869005 77.686 51.9875
51.237623 77.518 51.4892
51.608912 77.366 50.8460
51.982891 77.213 50.0682
52.359580 77.044 49.2493
52.739000 76.858 48.4959
53.121168 76.661 47.8698
53.506106 76.459 47.3754
53.893833 76.253 46.9961
54.284370 76.039 46.7468
54.677737 75.816 46.7059
55.073955 75.593 46.9845
55.473043 75.391 47.6316
55.875024 75.230 48.5373
56.279917 75.110 49.4657
56.687745 75.004 50.2434
57.098527 74.871 51.0270
57.512287 74.703 52.3843
57.929045 74.569 55.0060
58.348822 74.609 59.0943
58.771642 74.953 63.8052
59.197525 75.600 67.6841
59.626495 76.440 69.8958
60.058573 77.369 70.4661
60.493782 78.336 69.6040
60.932145 79.304 67.2577
61.373685 80.219 63.2824
61.818424 81.002 57.7207
62.266386 81.586 50.9794
62.717593 81.941 43.6467
63.172071 82.080 36.3685
63.629842 82.054 29.6625
64.090930 81.933 23.7149
64.555359 81.785 18.4141
65.023154 81.647 13.4491
65.494339 81.526 8.5480
65.968938 81.417 3.5637
66.446976 81.320 -1.5675
66.928478 81.245 -6.9745
67.413469 81.194 -12.9014
67.901975 81.150 -19.6216
68.394021 81.082 -27.3283
68.889632 80.958 -36.0718
69.388835 80.763 -45.7747
69.891655 80.514 -56.4332
70.398118 80.258 -68.1965
70.908252 80.052 -81.5048
71.422083 79.941 -96.9365
71.939636 79.932 -114.9191
72.460941 79.997 -135.2952
72.986023 80.094 -157.3004
73.514909 80.178 -179.4857
74.047629 80.227 159.6443
74.584208 80.258 141.3179
75.124676 80.346 126.1915
75.669061 80.589 114.1108
76.217390 81.055 104.1951
76.769692 81.724 95.2490
77.325997 82.515 86.2830
77.886333 83.321 76.6750
78.450730 84.037 66.2615
79.019216 84.585 55.2327
79.591822 84.928 44.1370
80.168577 85.084 33.5636
80.749512 85.119 23.9251
81.334656 85.115 15.3045
81.924040 85.145 7.3986
82.517696 85.236 -0.2925
83.115653 85.367 -8.2692
83.717943 85.479 -16.7876
84.324598 85.508 -25.6552
84.935649 85.434 -34.3669
85.551128 85.294 -42.4603
86.171066 85.158 -49.8101
86.795497 85.088 -56.6289
87.424453 85.127 -63.2586
88.057967 85.289 -70.1740
88.696071 85.540 -78.0670
89.338800 85.776 -87.4879
89.986185 85.856 -98.3349
90.638262 85.679 -109.8011
91.295065 85.227 -120.7323
91.956626 84.576 -130.1208
92.622982 83.861 -137.5164
93.294166 83.237 -143.0497
93.970214 82.839 -147.2615
94.651161 82.738 -151.3416
95.337042 82.847 -156.7885
96.027894 82.966 -163.9839
96.723752 82.948 -171.9951
97.424652 82.778 -179.8413
98.130631 82.485 172.7494
98.841726 82.075 165.8784
99.557974 81.558 160.0964
100.279412 81.012 156.0164
101.006078 80.567 153.7476
101.738010 80.352 152.7522
102.475245 80.407 151.6313
103.217823 80.603 148.9468
103.965782 80.743 144.9342
104.719161 80.763 141.2407
105.477999 80.792 139.2063
106.242336 81.025 138.5072
107.012212 81.536 137.3718
107.787666 82.206 134.2786
108.568740 82.849 128.8737
109.355474 83.312 121.7563
110.147909 83.538 114.0802
110.946086 83.578 107.0083
111.750047 83.548 100.7618
112.559834 83.500 94.3601
113.375489 83.349 86.9729
114.197055 82.974 78.9530
115.024574 82.313 71.2329
115.858089 81.364 64.5107
116.697645 80.136 59.2358
117.543284 78.636 56.4385
118.395051 76.980 58.3948
119.252990 75.570 67.3403
120.117147 74.973 79.9054
120.987565 75.182 88.1223
121.864291 75.642 91.4146
122.747370 76.101 94.1667
123.636848 76.732 98.6703
124.532771 77.686 102.7821
125.435187 78.850 104.0706
126.344142 80.036 102.3804
127.259684 81.088 97.6821
128.181860 81.862 90.3564
129.110718 82.300 81.6331
130.046308 82.399 71.9360
130.988677 82.075 60.8313
131.937875 81.158 48.7821
132.893951 79.520 37.5402
133.856956 77.435 30.3783
134.826938 76.852 62.6895
135.803950 79.373 148.5043
136.788041 82.370 137.9932
137.779264 84.426 119.6818
138.777669 85.500 101.3389
139.783309 85.857 85.6235
140.796237 85.753 72.6958
141.816504 85.312 61.9021
142.844165 84.590 53.3191
143.879273 83.659 47.5598
144.921881 82.662 45.2211
145.972045 81.797 45.8813
147.029819 81.243 48.5099
148.095257 81.178 52.8586
149.168417 81.726 57.2534
150.249353 82.721 58.0469
151.338121 83.797 53.9628
152.434780 84.691 46.1078
153.539385 85.272 35.4495
154.651995 85.467 22.8127
155.772667 85.250 8.9307
156.901460 84.614 -5.7810
158.038432 83.580 -20.8373
159.183644 82.268 -35.9556
160.337154 80.991 -52.2352
161.499023 80.243 -73.4832
162.669312 80.300 -103.1887
163.848081 80.915 -138.2660
165.035392 81.657 -170.8212
166.231306 82.301 163.6670
167.435887 82.843 145.2821
168.649196 83.343 132.3348
169.871298 83.833 122.8451
171.102255 84.320 115.6984
172.342133 84.852 110.5542
173.590995 85.459 106.3148
174.848907 86.086 101.9139
176.115934 86.725 98.0812
177.392143 87.492 95.4784
178.677599 88.444 92.5359
179.972371 89.463 87.4895
181.276525 90.380 80.1831
182.590129 91.098 71.3990
183.913252 91.577 61.6898
185.245964 91.772 51.1406
186.588332 91.596 39.8629
187.940428 90.945 28.9808
189.302322 89.809 21.0170
