* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:46:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-frames-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 36.516 71.6242
10.166832 36.675 69.4024
10.240505 36.867 66.9806
10.314712 37.063 64.4499
10.389457 37.255 61.8769
10.464743 37.415 59.2668
10.540575 37.527 56.4254
10.616956 37.602 53.4399
10.693891 37.639 50.4457
10.771383 37.634 47.5662
10.849437 37.588 44.6133
10.928057 37.499 41.4934
11.007246 37.362 38.3877
11.087009 37.173 35.5060
11.167350 36.925 32.8646
11.248273 36.620 30.1958
11.329783 36.259 27.6850
11.411883 35.841 25.6250
11.494578 35.345 24.2796
11.577873 34.755 23.5176
11.661771 34.144 23.5255
11.746277 33.609 24.6087
11.831395 33.193 27.1615
11.917130 32.859 31.4998
12.003487 32.691 37.1225
12.090469 32.821 42.9188
12.178081 33.361 48.1082
12.266329 34.268 52.8056
12.355216 35.363 55.9268
12.444747 36.479 56.9560
12.534926 37.584 56.4479
12.625760 38.715 55.1439
12.717251 39.820 52.9867
12.809406 40.844 49.9165
12.902228 41.787 46.2219
12.995723 42.666 42.2285
13.089895 43.485 38.0101
13.184750 44.244 33.4647
13.280292 44.940 28.6092
13.376526 45.579 23.7186
13.473458 46.166 18.8946
13.571093 46.697 13.8464
13.669434 47.174 8.6997
13.768489 47.598 3.7244
13.868261 47.971 -1.1346
13.968756 48.290 -6.1612
14.069979 48.555 -11.0532
14.171936 48.769 -15.6063
14.274632 48.929 -20.1974
14.378072 49.035 -24.6944
14.482261 49.090 -28.7959
14.587206 49.092 -32.6769
14.692910 49.042 -36.4150
14.799381 48.948 -39.7622
14.906624 48.808 -42.6500
15.014643 48.627 -45.2224
15.123446 48.420 -47.3752
15.233036 48.195 -48.9647
15.343421 47.953 -50.0197
15.454606 47.721 -50.6331
15.566596 47.517 -50.7733
15.679398 47.339 -50.3530
15.793018 47.202 -49.6223
15.907460 47.119 -48.7087
16.022732 47.084 -47.5196
16.138840 47.084 -46.2319
16.255788 47.112 -44.9652
16.373585 47.166 -43.6498
16.492234 47.231 -42.1955
16.611744 47.299 -40.6362
16.732119 47.382 -38.9236
16.853367 47.501 -36.8926
16.975494 47.657 -34.5422
17.098505 47.878 -32.0051
17.222408 48.200 -29.4015
17.347209 48.625 -26.7232
17.472914 49.140 -24.4573
17.599530 49.744 -22.7846
17.727063 50.418 -21.6141
17.855521 51.109 -21.3334
17.984909 51.803 -21.7875
18.115235 52.476 -22.8642
18.246506 53.094 -24.6310
18.378727 53.653 -26.9504
18.511907 54.140 -29.5985
18.646052 54.545 -32.6763
18.781169 54.867 -36.0036
18.917265 55.098 -39.3414
19.054347 55.237 -42.9172
19.192423 55.283 -46.2947
19.331499 55.233 -49.5624
19.471583 55.092 -52.6172
19.612682 54.862 -55.0701
19.754804 54.552 -57.0630
19.897956 54.195 -58.1988
20.042144 53.800 -58.2955
20.187378 53.450 -57.3827
20.333664 53.203 -55.2330
20.481010 53.113 -52.1789
20.629424 53.263 -48.9350
20.778913 53.635 -45.7105
20.929486 54.164 -43.5849
21.081150 54.821 -42.4348
21.233912 55.496 -42.4798
21.387782 56.146 -43.6266
21.542767 56.732 -45.4622
21.698874 57.224 -47.9863
21.856113 57.617 -50.7981
22.014492 57.903 -53.7122
22.174018 58.090 -56.6219
22.334700 58.188 -59.1010
22.496546 58.216 -61.2362
22.659566 58.211 -62.5880
22.823766 58.204 -63.2622
22.989157 58.266 -63.2060
23.155745 58.422 -62.5282
23.323542 58.717 -61.7995
23.492554 59.142 -61.1053
23.662790 59.657 -61.1477
23.834261 60.227 -61.7935
24.006973 60.777 -63.2689
24.180938 61.281 -65.3303
24.356163 61.695 -67.7496
24.532658 62.015 -70.3514
24.710431 62.237 -72.6805
24.889493 62.385 -74.6395
25.069853 62.498 -75.7585
25.251519 62.645 -76.1479
25.434502 62.897 -75.6039
25.618811 63.313 -74.8726
25.804456 63.924 -74.1196
25.991445 64.676 -74.4155
26.179790 65.520 -75.6872
26.369500 66.353 -78.3897
26.560584 67.127 -82.1107
26.753053 67.783 -86.8331
26.946917 68.300 -92.0512
27.142185 68.658 -97.7759
27.338869 68.852 -103.3425
27.536977 68.884 -108.8564
27.736522 68.771 -113.5838
27.937512 68.548 -117.5323
28.139959 68.265 -120.1322
28.343872 68.031 -121.4846
28.549264 67.930 -121.4947
28.756143 68.064 -121.0928
28.964522 68.419 -120.9563
29.174411 68.944 -121.8578
29.385821 69.508 -124.1905
29.598763 70.029 -127.7497
29.813248 70.425 -132.3737
30.029287 70.660 -137.4453
30.246891 70.718 -142.8582
30.466073 70.599 -147.9037
30.686842 70.327 -152.3444
30.909212 69.938 -155.8176
31.133193 69.514 -157.9493
31.358797 69.142 -158.8911
31.586035 68.902 -158.7489
31.814921 68.843 -158.4498
32.045465 68.921 -158.5110
32.277680 69.071 -159.3125
32.511577 69.190 -160.8766
32.747169 69.229 -162.7193
32.984469 69.173 -164.5087
33.223488 69.046 -165.6630
33.464239 68.930 -165.9073
33.706735 68.908 -165.3629
33.950987 69.049 -164.3571
34.197010 69.363 -163.7720
34.444816 69.780 -164.1132
34.694417 70.220 -165.5098
34.945827 70.602 -167.8952
35.199059 70.878 -170.8256
35.454126 71.042 -173.9086
35.711041 71.107 -176.8657
35.969818 71.105 -179.4375
36.230470 71.078 178.4582
36.493011 71.055 176.7001
36.757455 71.046 175.1515
37.023814 71.047 173.6714
37.292104 71.038 172.1924
37.562338 71.002 170.8199
37.834530 70.941 169.7035
38.108695 70.871 168.9584
38.384846 70.817 168.6414
38.662999 70.804 168.6130
38.943167 70.840 168.6688
39.225365 70.906 168.6644
39.509608 70.972 168.5284
39.795911 71.014 168.3844
40.084289 71.021 168.4605
40.374756 71.005 169.0469
40.667328 71.006 170.4124
40.962020 71.086 172.7054
41.258848 71.324 175.8774
41.557827 71.792 179.5911
41.858972 72.531 -176.8233
42.162299 73.521 -174.2085
42.467824 74.685 -173.2606
42.775564 75.916 -174.3000
43.085533 77.112 -177.2764
43.397749 78.202 178.0930
43.712227 79.141 172.1881
44.028983 79.909 165.4003
44.348036 80.498 158.0816
44.669400 80.914 150.5344
44.993093 81.168 143.0151
45.319131 81.278 135.7388
45.647532 81.264 128.8851
45.978313 81.152 122.5994
46.311491 80.971 116.9886
46.647083 80.756 112.1061
46.985107 80.541 107.9266
47.325581 80.362 104.3223
47.668521 80.237 101.0736
48.013947 80.168 97.9346
48.361876 80.135 94.7353
48.712326 80.114 91.4559
49.065315 80.092 88.2192
49.420863 80.077 85.1967
49.778987 80.101 82.4697
50.139706 80.204 79.9240
50.503039 80.407 77.2709
50.869005 80.706 74.1931
51.237623 81.076 70.4919
51.608912 81.501 66.0925
51.982891 81.975 60.9120
52.359580 82.493 54.7364
52.739000 83.029 47.2433
53.121168 83.525 38.1616
53.506106 83.904 27.4215
53.893833 84.090 15.1555
54.284370 84.018 1.6578
54.677737 83.641 -12.6470
55.073955 82.929 -27.2511
55.473043 81.867 -41.5768
55.875024 80.468 -54.9987
56.279917 78.777 -66.9020
56.687745 76.892 -76.8263
57.098527 74.973 -84.9825
57.512287 73.178 -92.5846
57.929045 71.573 -101.2770
58.348822 70.105 -112.2014
58.771642 68.710 -125.8325
59.197525 67.452 -142.3273
59.626495 66.569 -161.7005
60.058573 66.346 176.7814
60.493782 66.836 154.8205
60.932145 67.775 133.9855
61.373685 68.834 114.7758
61.818424 69.787 97.0879
62.266386 70.521 80.8136
62.717593 71.003 65.8726
63.172071 71.256 52.4344
63.629842 71.349 40.7496
64.090930 71.387 30.8187
64.555359 71.485 22.3107
65.023154 71.710 14.5204
65.494339 72.056 6.7768
65.968938 72.473 -1.2590
66.446976 72.922 -9.5220
66.928478 73.399 -17.8159
67.413469 73.918 -26.0510
67.901975 74.488 -34.2909
68.394021 75.100 -42.6509
68.889632 75.738 -51.1558
69.388835 76.389 -59.7185
69.891655 77.062 -68.2310
70.398118 77.776 -76.6882
70.908252 78.543 -85.2582
71.422083 79.345 -94.2554
71.939636 80.138 -103.9079
72.460941 80.859 -114.2612
72.986023 81.455 -125.1250
73.514909 81.898 -136.1172
74.047629 82.193 -146.8042
74.584208 82.380 -156.8259
75.124676 82.530 -166.1041
75.669061 82.697 -174.9907
76.217390 82.884 175.8599
76.769692 83.030 165.9453
77.325997 83.052 155.1089
77.886333 82.882 143.5195
78.450730 82.468 131.3203
79.019216 81.756 118.5377
79.591822 80.659 105.2644
80.168577 79.048 91.7996
80.749512 76.775 78.9287
81.334656 73.827 68.7861
81.924040 71.347 83.4657
82.517696 72.255 -151.6392
83.115653 75.293 -156.1072
83.717943 78.041 -165.7842
84.324598 80.103 -177.4312
84.935649 81.531 170.3040
85.551128 82.454 158.6235
86.171066 83.036 148.3163
86.795497 83.430 139.4585
87.424453 83.731 131.5818
88.057967 83.969 124.2653
88.696071 84.158 117.3577
89.338800 84.315 110.8125
89.986185 84.466 104.6428
90.638262 84.660 98.8555
91.295065 84.957 93.0791
91.956626 85.359 86.3782
92.622982 85.768 77.8138
93.294166 86.023 67.1235
93.970214 85.977 54.8287
94.651161 85.536 42.0101
95.337042 84.689 30.0106
96.027894 83.510 19.9901
96.723752 82.138 12.4053
97.424652 80.712 6.9890
98.130631 79.336 3.2587
98.841726 78.088 0.4583
99.557974 76.968 -2.5310
100.279412 75.881 -6.2218
101.006078 74.719 -10.2039
101.738010 73.438 -13.8439
102.475245 72.063 -16.6643
103.217823 70.670 -18.9049
103.965782 69.293 -22.0459
104.719161 67.792 -27.2003
105.477999 65.923 -33.3317
106.242336 63.516 -37.3273
107.012212 60.651 -34.7322
107.787666 57.932 -25.0552
108.568740 56.621 -22.5829
109.355474 57.457 -41.5686
110.147909 59.685 -79.4583
110.946086 62.296 -114.0239
111.750047 64.775 -136.3296
112.559834 67.030 -150.2706
113.375489 69.107 -159.5146
114.197055 71.015 -167.0599
115.024574 72.692 -174.7743
115.858089 74.099 177.1837
116.697645 75.268 169.3711
117.543284 76.235 161.7546
118.395051 76.986 154.1600
119.252990 77.518 147.2148
120.117147 77.910 141.7954
120.987565 78.301 138.2771
121.864291 78.834 136.3203
122.747370 79.572 134.6689
123.636848 80.441 131.8221
124.532771 81.295 127.2764
125.435187 82.025 121.3846
126.344142 82.584 114.8320
127.259684 82.987 108.3290
128.181860 83.301 102.4528
129.110718 83.635 97.4675
130.046308 84.075 92.6768
130.988677 84.572 86.5690
131.937875 84.965 78.5959
132.893951 85.143 69.6896
133.856956 85.127 60.9382
134.826938 85.011 52.5865
135.803950 84.869 43.7488
136.788041 84.633 32.8196
137.779264 84.083 19.1891
138.777669 82.995 3.9291
139.783309 81.249 -11.7166
140.796237 78.791 -27.7943
141.816504 75.697 -46.6511
142.844165 73.021 -124.9937
143.879273 73.321 134.0668
144.921881 75.582 118.7590
145.972045 77.645 107.1615
147.029819 79.085 96.1993
148.095257 79.966 86.1838
149.168417 80.448 77.9694
150.249353 80.711 71.6954
151.338121 80.899 67.0070
152.434780 81.179 64.1790
153.539385 81.684 61.7860
154.651995 82.246 56.1783
155.772667 82.495 46.9868
156.901460 82.217 37.2068
158.038432 81.470 30.1895
159.183644 80.530 27.4930
160.337154 79.701 27.7201
161.499023 79.119 28.7896
162.669312 78.826 30.8510
163.848081 78.924 33.8120
165.035392 79.349 34.2727
166.231306 79.746 30.0416
167.435887 79.784 23.0450
168.649196 79.343 15.6967
169.871298 78.410 10.0393
171.102255 77.140 9.5342
172.342133 75.932 14.6643
173.590995 75.133 21.5784
174.848907 74.841 28.6069
176.115934 75.189 38.1100
177.392143 76.295 47.8907
178.677599 77.728 50.2948
179.972371 78.916 45.8279
181.276525 79.615 38.3931
182.590129 79.850 31.0061
183.913252 79.869 26.3823
185.245964 80.113 25.3813
186.588332 80.751 22.5876
