* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:47:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-frames-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 35.859 -15.3605
10.166832 35.626 -18.0526
10.240505 35.340 -20.3752
10.314712 35.045 -22.2013
10.389457 34.752 -23.3023
10.464743 34.483 -23.3671
10.540575 34.238 -22.1761
10.616956 34.048 -19.9150
10.693891 33.995 -16.9540
10.771383 34.169 -13.8681
10.849437 34.613 -10.4658
10.928057 35.277 -6.9641
11.007246 36.068 -4.2107
11.087009 36.906 -2.7595
11.167350 37.776 -2.5016
11.248273 38.710 -2.7863
11.329783 39.659 -3.6987
11.411883 40.560 -5.3103
11.494578 41.381 -7.6364
11.577873 42.145 -10.3954
11.661771 42.853 -13.3961
11.746277 43.503 -16.5722
11.831395 44.090 -20.0090
11.917130 44.614 -23.7956
12.003487 45.076 -27.6848
12.090469 45.479 -31.5152
12.178081 45.823 -35.3910
12.266329 46.107 -39.5581
12.355216 46.328 -43.7502
12.444747 46.486 -47.7363
12.534926 46.582 -51.7116
12.625760 46.614 -55.8918
12.717251 46.575 -59.9914
12.809406 46.462 -63.7367
12.902228 46.277 -67.4795
12.995723 46.011 -71.2406
13.089895 45.654 -74.7093
13.184750 45.197 -77.6481
13.280292 44.640 -80.3608
13.376526 43.976 -82.6556
13.473458 43.185 -84.0981
13.571093 42.213 -84.3586
13.669434 41.139 -83.1896
13.768489 40.142 -80.1068
13.868261 39.323 -74.3227
13.968756 38.666 -64.9532
14.069979 38.358 -53.4026
14.171936 38.645 -42.6734
14.274632 39.569 -33.8477
14.378072 40.791 -27.9416
14.482261 41.962 -24.9499
14.587206 43.031 -24.0896
14.692910 44.033 -24.5536
14.799381 44.914 -25.8733
14.906624 45.642 -28.0049
15.014643 46.239 -30.7403
15.123446 46.724 -33.6297
15.233036 47.101 -36.7079
15.343421 47.369 -40.1476
15.454606 47.534 -43.4962
15.566596 47.601 -46.6903
15.679398 47.567 -50.0387
15.793018 47.431 -53.1089
15.907460 47.194 -55.7279
16.022732 46.855 -58.1537
16.138840 46.422 -59.9749
16.255788 45.886 -60.8762
16.373585 45.273 -60.8683
16.492234 44.664 -59.6335
16.611744 44.071 -56.6701
16.732119 43.577 -51.9447
16.853367 43.373 -46.1232
16.975494 43.524 -39.3886
17.098505 43.953 -32.9743
17.222408 44.600 -28.1754
17.347209 45.450 -24.7948
17.472914 46.349 -22.9255
17.599530 47.188 -22.4625
17.727063 47.979 -22.9642
17.855521 48.692 -24.0698
17.984909 49.314 -25.7622
18.115235 49.855 -27.7580
18.246506 50.325 -29.8039
18.378727 50.725 -32.0193
18.511907 51.072 -34.1379
18.646052 51.375 -36.1348
18.781169 51.641 -38.0383
18.917265 51.891 -39.7206
19.054347 52.126 -41.2350
19.192423 52.359 -42.5980
19.331499 52.597 -43.7942
19.471583 52.843 -44.8733
19.612682 53.101 -45.8803
19.754804 53.369 -46.8058
19.897956 53.648 -47.6942
20.042144 53.937 -48.5415
20.187378 54.237 -49.3610
20.333664 54.549 -50.1444
20.481010 54.874 -50.9189
20.629424 55.217 -51.7116
20.778913 55.578 -52.5216
20.929486 55.956 -53.4718
21.081150 56.350 -54.5193
21.233912 56.746 -55.7829
21.387782 57.141 -57.2650
21.542767 57.516 -58.9292
21.698874 57.859 -60.8330
21.856113 58.160 -62.8200
22.014492 58.404 -64.8537
22.174018 58.592 -66.8280
22.334700 58.721 -68.5059
22.496546 58.802 -69.8965
22.659566 58.859 -70.6710
22.823766 58.916 -70.8975
22.989157 59.028 -70.4832
23.155745 59.219 -69.5350
23.323542 59.532 -68.4771
23.492554 59.965 -67.4160
23.662790 60.489 -66.9810
23.834261 61.073 -67.0865
24.006973 61.651 -67.9948
24.180938 62.196 -69.4772
24.356163 62.665 -71.3630
24.532658 63.053 -73.4618
24.710431 63.355 -75.3725
24.889493 63.598 -76.9964
25.069853 63.817 -77.9297
25.251519 64.075 -78.3116
25.434502 64.432 -77.9927
25.618811 64.933 -77.6784
25.804456 65.597 -77.4839
25.991445 66.373 -78.3322
26.179790 67.216 -80.1077
26.369500 68.038 -83.2087
26.560584 68.797 -87.2559
26.753053 69.441 -92.2485
26.946917 69.948 -97.7167
27.142185 70.302 -103.6942
27.338869 70.494 -109.5424
27.536977 70.525 -115.3883
27.736522 70.407 -120.5184
27.937512 70.167 -124.9496
28.139959 69.849 -128.1195
28.343872 69.549 -130.0445
28.549264 69.345 -130.5538
28.756143 69.352 -130.3859
28.964522 69.580 -130.1861
29.174411 70.002 -130.7521
29.385821 70.495 -132.6347
29.598763 70.975 -135.7007
29.813248 71.350 -139.8499
30.029287 71.581 -144.4748
30.246891 71.647 -149.4466
30.466073 71.550 -154.0670
30.686842 71.318 -158.1064
30.909212 70.988 -161.2249
31.133193 70.642 -163.1531
31.358797 70.353 -164.0912
31.586035 70.182 -164.2034
31.814921 70.148 -164.2702
32.045465 70.204 -164.5882
32.277680 70.293 -165.3685
32.511577 70.345 -166.4228
32.747169 70.348 -167.2715
32.984469 70.334 -167.6147
33.223488 70.382 -167.1069
33.464239 70.554 -165.9768
33.706735 70.927 -164.9490
33.950987 71.479 -164.6736
34.197010 72.101 -165.8353
34.444816 72.689 -168.2982
34.694417 73.167 -171.7516
34.945827 73.492 -175.8018
35.199059 73.665 -179.7620
35.454126 73.724 176.7558
35.711041 73.735 174.0105
35.969818 73.781 172.1108
36.230470 73.943 170.6136
36.493011 74.232 168.8723
36.757455 74.604 166.4035
37.023814 74.984 162.9316
37.292104 75.286 158.4866
37.562338 75.454 153.5032
37.834530 75.471 148.4450
38.108695 75.351 143.7275
38.384846 75.140 139.7482
38.662999 74.916 136.7709
38.943167 74.771 134.6268
39.225365 74.760 132.7815
39.509608 74.880 130.6437
39.795911 75.077 127.8003
40.084289 75.279 124.1464
40.374756 75.433 119.8766
40.667328 75.521 115.3646
40.962020 75.571 110.9216
41.258848 75.634 106.6182
41.557827 75.760 102.2528
41.858972 75.974 97.4139
42.162299 76.256 91.6429
42.467824 76.552 84.6127
42.775564 76.797 76.2122
43.085533 76.930 66.5181
43.397749 76.914 55.7189
43.712227 76.726 44.0506
44.028983 76.361 31.7346
44.348036 75.825 18.9573
44.669400 75.136 5.8767
44.993093 74.322 -7.3656
45.319131 73.420 -20.6300
45.647532 72.477 -33.7524
45.978313 71.548 -46.5151
46.311491 70.690 -58.6285
46.647083 69.965 -69.7495
46.985107 69.434 -79.5670
47.325581 69.154 -87.9446
47.668521 69.152 -95.0344
48.013947 69.406 -101.2274
48.361876 69.841 -106.9088
48.712326 70.368 -112.2034
49.065315 70.935 -116.9258
49.420863 71.547 -120.7650
49.778987 72.266 -123.6056
50.139706 73.153 -125.7841
50.503039 74.216 -127.9926
50.869005 75.401 -130.8446
51.237623 76.641 -134.5411
51.608912 77.901 -138.9669
51.982891 79.187 -144.0354
52.359580 80.508 -149.9347
52.739000 81.835 -157.0748
53.121168 83.102 -165.8082
53.506106 84.220 -176.1998
53.893833 85.111 171.9658
54.284370 85.717 159.0781
54.677737 86.001 145.6443
55.073955 85.946 132.2377
55.473043 85.556 119.4785
55.875024 84.863 108.0025
56.279917 83.931 98.3708
56.687745 82.866 90.9780
57.098527 81.798 85.7211
57.512287 80.821 81.9454
57.929045 79.951 78.9465
58.348822 79.148 76.5106
58.771642 78.394 74.8831
59.197525 77.730 74.2777
59.626495 77.223 74.4174
60.058573 76.898 74.6887
60.493782 76.726 74.6231
60.932145 76.669 74.1004
61.373685 76.707 73.0346
61.818424 76.814 71.1696
62.266386 76.933 68.2877
62.717593 76.997 64.4680
63.172071 76.964 60.0693
63.629842 76.829 55.5206
64.090930 76.615 51.0836
64.555359 76.357 46.8503
65.023154 76.088 42.7795
65.494339 75.835 38.7500
65.968938 75.619 34.5075
66.446976 75.441 29.6954
66.928478 75.268 23.9758
67.413469 75.047 17.2349
67.901975 74.735 9.6091
68.394021 74.324 1.3458
68.889632 73.842 -7.5079
69.388835 73.338 -17.1829
69.891655 72.853 -28.1726
70.398118 72.419 -41.0703
70.908252 72.066 -56.4805
71.422083 71.820 -74.9157
71.939636 71.671 -96.7074
72.460941 71.546 -121.4990
72.986023 71.323 -148.5919
73.514909 70.856 -176.9253
74.047629 70.040 153.7638
74.584208 68.885 122.1973
75.124676 67.739 83.8109
75.669061 67.545 30.4015
76.217390 68.996 -23.0150
76.769692 71.331 -58.2529
77.325997 73.668 -82.7657
77.886333 75.711 -102.2150
78.450730 77.457 -118.7861
79.019216 78.965 -133.5676
79.591822 80.264 -147.4412
80.168577 81.334 -161.0101
80.749512 82.142 -174.3982
81.334656 82.691 172.6451
81.924040 83.010 160.3010
82.517696 83.119 148.4286
83.115653 82.985 136.8314
83.717943 82.537 125.7462
84.324598 81.716 116.1970
84.935649 80.559 109.8944
85.551128 79.281 108.8213
86.171066 78.322 113.5889
86.795497 78.134 121.2977
87.424453 78.761 127.8307
88.057967 79.918 131.4777
88.696071 81.312 131.9088
89.338800 82.725 129.0981
89.986185 84.008 123.5693
90.638262 85.101 116.2527
91.295065 86.020 107.8636
91.956626 86.791 98.4696
92.622982 87.388 87.6913
93.294166 87.722 75.3586
93.970214 87.693 61.9054
94.651161 87.238 48.2592
95.337042 86.348 35.5508
96.027894 85.070 24.8628
96.723752 83.498 17.0386
97.424652 81.758 12.5859
98.130631 80.008 11.7085
98.841726 78.445 14.2234
99.557974 77.279 19.0906
100.279412 76.630 24.3433
101.006078 76.433 28.3269
101.738010 76.524 30.3217
102.475245 76.712 29.8044
103.217823 76.788 26.7122
103.965782 76.588 22.3319
104.719161 76.111 18.8425
105.477999 75.549 17.7484
106.242336 75.167 18.3645
107.012212 75.084 18.4998
107.787666 75.208 16.5468
108.568740 75.347 11.9109
109.355474 75.307 4.8876
110.147909 74.967 -3.4159
110.946086 74.339 -11.7555
111.750047 73.545 -19.9449
112.559834 72.704 -29.3619
113.375489 71.841 -41.8049
114.197055 70.936 -58.4912
115.024574 70.059 -80.2893
115.858089 69.384 -106.9215
116.697645 69.118 -135.0175
117.543284 69.343 -159.5475
118.395051 69.925 -178.5618
119.252990 70.621 167.1926
120.117147 71.318 157.2650
120.987565 72.139 151.8966
121.864291 73.268 149.7241
122.747370 74.644 147.4204
123.636848 76.018 143.0151
124.532771 77.215 137.0317
125.435187 78.193 130.4786
126.344142 78.956 123.5748
127.259684 79.480 116.3783
128.181860 79.767 109.5509
129.110718 79.871 103.6639
130.046308 79.857 98.8835
130.988677 79.805 95.4817
131.937875 79.815 93.3851
132.893951 79.956 91.9259
133.856956 80.213 90.1190
134.826938 80.472 87.1241
135.803950 80.605 83.4279
136.788041 80.611 80.7184
137.779264 80.660 80.1737
138.777669 80.930 80.7028
139.783309 81.400 80.0056
140.796237 81.899 77.4248
141.816504 82.303 73.7036
142.844165 82.563 69.4341
143.879273 82.639 64.7574
144.921881 82.489 60.3312
145.972045 82.178 58.0333
147.029819 81.987 59.6183
148.095257 82.281 63.8610
149.168417 83.136 66.9979
150.249353 84.307 66.7279
151.338121 85.506 62.8685
152.434780 86.549 56.0934
153.539385 87.345 47.2601
154.651995 87.861 37.2291
155.772667 88.105 26.6439
156.901460 88.089 15.8260
158.038432 87.817 4.9739
159.183644 87.293 -5.4669
160.337154 86.568 -14.8439
161.499023 85.728 -23.6927
162.669312 84.740 -33.4075
163.848081 83.438 -43.9115
165.035392 81.657 -53.4760
166.231306 79.329 -59.0377
167.435887 76.575 -56.8569
168.649196 73.772 -46.0863
169.871298 71.540 -29.3347
171.102255 70.664 -6.2344
172.342133 71.420 12.7405
173.590995 73.072 22.7869
174.848907 74.888 25.8680
176.115934 76.335 20.3021
177.392143 77.140 9.8356
178.677599 77.305 -2.3391
179.972371 76.830 -16.2473
181.276525 75.653 -32.2078
182.590129 73.922 -51.8367
