* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:47:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-frames-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 79.080 0.0670
10.166832 79.199 -1.2761
10.240505 79.343 -2.6090
10.314712 79.492 -3.9309
10.389457 79.643 -5.2410
10.464743 79.794 -6.5388
10.540575 79.946 -7.8267
10.616956 80.099 -9.1049
10.693891 80.253 -10.3734
10.771383 80.406 -11.6321
10.849437 80.558 -12.8825
10.928057 80.710 -14.1252
11.007246 80.861 -15.3596
11.087009 81.012 -16.5851
11.167350 81.163 -17.8034
11.248273 81.313 -19.0164
11.329783 81.462 -20.2215
11.411883 81.610 -21.4162
11.494578 81.757 -22.6008
11.577873 81.903 -23.7807
11.661771 82.048 -24.9509
11.746277 82.192 -26.1058
11.831395 82.334 -27.2441
11.917130 82.475 -28.3733
12.003487 82.615 -29.4877
12.090469 82.755 -30.5800
12.178081 82.893 -31.6478
12.266329 83.031 -32.6978
12.355216 83.169 -33.7265
12.444747 83.308 -34.7296
12.534926 83.449 -35.7033
12.625760 83.590 -36.6518
12.717251 83.734 -37.5802
12.809406 83.882 -38.4917
12.902228 84.034 -39.3749
12.995723 84.191 -40.2399
13.089895 84.352 -41.1048
13.184750 84.520 -41.9741
13.280292 84.694 -42.8299
13.376526 84.874 -43.6976
13.473458 85.060 -44.6041
13.571093 85.252 -45.5318
13.669434 85.450 -46.4831
13.768489 85.650 -47.4855
13.868261 85.854 -48.5510
13.968756 86.060 -49.6592
14.069979 86.267 -50.8215
14.171936 86.471 -52.0519
14.274632 86.673 -53.3465
14.378072 86.872 -54.6943
14.482261 87.064 -56.0896
14.587206 87.248 -57.5468
14.692910 87.425 -59.0522
14.799381 87.593 -60.5790
14.906624 87.750 -62.1369
15.014643 87.896 -63.7302
15.123446 88.032 -65.3202
15.233036 88.157 -66.9023
15.343421 88.271 -68.4965
15.454606 88.374 -70.0658
15.566596 88.468 -71.5976
15.679398 88.552 -73.1143
15.793018 88.628 -74.5903
15.907460 88.698 -76.0149
16.022732 88.760 -77.4039
16.138840 88.818 -78.7451
16.255788 88.871 -80.0344
16.373585 88.920 -81.2794
16.492234 88.965 -82.4757
16.611744 89.008 -83.6247
16.732119 89.048 -84.7271
16.853367 89.086 -85.7769
16.975494 89.122 -86.7786
17.098505 89.155 -87.7257
17.222408 89.188 -88.6078
17.347209 89.220 -89.4288
17.472914 89.253 -90.1814
17.599530 89.288 -90.8552
17.727063 89.328 -91.4543
17.855521 89.376 -91.9903
17.984909 89.434 -92.4479
18.115235 89.503 -92.8558
18.246506 89.588 -93.2463
18.378727 89.689 -93.6014
18.511907 89.805 -93.9930
18.646052 89.937 -94.4269
18.781169 90.083 -94.9167
18.917265 90.236 -95.5207
19.054347 90.396 -96.2201
19.192423 90.556 -97.0276
19.331499 90.711 -97.9607
19.471583 90.858 -98.9847
19.612682 90.990 -100.0805
19.754804 91.107 -101.2532
19.897956 91.206 -102.4208
20.042144 91.286 -103.6053
20.187378 91.350 -104.7432
20.333664 91.399 -105.8043
20.481010 91.437 -106.7918
20.629424 91.469 -107.6594
20.778913 91.500 -108.4221
20.929486 91.535 -109.0920
21.081150 91.578 -109.6596
21.233912 91.631 -110.1879
21.387782 91.697 -110.6738
21.542767 91.774 -111.1653
21.698874 91.860 -111.6882
21.856113 91.952 -112.2426
22.014492 92.044 -112.8520
22.174018 92.134 -113.4954
22.334700 92.219 -114.1575
22.496546 92.298 -114.8283
22.659566 92.371 -115.4631
22.823766 92.440 -116.0653
22.989157 92.510 -116.6011
23.155745 92.581 -117.0773
23.323542 92.660 -117.4981
23.492554 92.748 -117.8672
23.662790 92.848 -118.2158
23.834261 92.959 -118.5431
24.006973 93.082 -118.8733
24.180938 93.216 -119.2022
24.356163 93.362 -119.5300
24.532658 93.521 -119.8593
24.710431 93.700 -120.1863
24.889493 93.901 -120.5452
25.069853 94.131 -120.9592
25.251519 94.390 -121.5192
25.434502 94.681 -122.2661
25.618811 94.994 -123.3278
25.804456 95.322 -124.7262
25.991445 95.645 -126.5439
26.179790 95.951 -128.7659
26.369500 96.218 -131.3697
26.560584 96.435 -134.3002
26.753053 96.586 -137.4666
26.946917 96.667 -140.7354
27.142185 96.671 -144.0485
27.338869 96.603 -147.1717
27.536977 96.469 -150.0863
27.736522 96.291 -152.5701
27.937512 96.088 -154.6468
28.139959 95.890 -156.2202
28.343872 95.728 -157.4849
28.549264 95.619 -158.4902
28.756143 95.570 -159.6056
28.964522 95.565 -160.9498
29.174411 95.579 -162.7405
29.385821 95.570 -164.9856
29.598763 95.511 -167.6565
29.813248 95.367 -170.6131
30.029287 95.124 -173.5945
30.246891 94.773 -176.4821
30.466073 94.321 -178.8837
30.686842 93.792 179.3387
30.909212 93.217 178.4352
31.133193 92.653 178.4442
31.358797 92.148 179.2419
31.586035 91.738 -179.3513
31.814921 91.437 -177.8250
32.045465 91.221 -176.3658
32.277680 91.065 -175.1331
32.511577 90.937 -174.0657
32.747169 90.837 -173.0448
32.984469 90.773 -172.0337
33.223488 90.767 -171.0565
33.464239 90.827 -170.3881
33.706735 90.935 -170.2253
33.950987 91.059 -170.7476
34.197010 91.143 -171.9773
34.444816 91.147 -173.6711
34.694417 91.048 -175.5828
34.945827 90.842 -177.3539
35.199059 90.560 -178.5566
35.454126 90.259 -179.0499
35.711041 90.004 -178.8504
35.969818 89.857 -178.2451
36.230470 89.834 -177.9012
36.493011 89.890 -178.2842
36.757455 89.957 -179.5651
37.023814 89.966 178.3003
37.292104 89.862 175.6135
37.562338 89.627 172.8453
37.834530 89.271 170.3550
38.108695 88.828 168.4245
38.384846 88.348 167.2278
38.662999 87.886 166.7117
38.943167 87.481 166.5540
39.225365 87.134 166.4231
39.509608 86.821 166.1147
39.795911 86.512 165.5930
40.084289 86.186 164.9782
40.374756 85.843 164.4630
40.667328 85.509 164.1668
40.962020 85.221 164.0038
41.258848 85.002 163.7039
41.557827 84.854 162.9130
41.858972 84.749 161.3144
42.162299 84.645 158.7110
42.467824 84.494 155.0386
42.775564 84.253 150.3304
43.085533 83.884 144.6753
43.397749 83.357 138.1926
43.712227 82.646 131.0254
44.028983 81.729 123.3255
44.348036 80.594 115.2445
44.669400 79.232 106.9233
44.993093 77.649 98.4702
45.319131 75.866 89.9205
45.647532 73.926 81.1895
45.978313 71.907 72.0459
46.311491 69.931 62.1930
46.647083 68.179 51.5649
46.985107 66.874 40.7482
47.325581 66.199 30.9718
47.668521 66.182 23.2971
48.013947 66.679 17.8690
48.361876 67.462 14.1290
48.712326 68.333 11.5440
49.065315 69.174 10.0408
49.420863 69.973 9.9445
49.778987 70.812 11.5732
50.139706 71.809 14.6832
50.503039 73.024 18.2453
50.869005 74.408 21.0378
51.237623 75.858 22.4764
51.608912 77.302 22.6836
51.982891 78.724 21.9597
52.359580 80.134 20.3315
52.739000 81.521 17.4916
53.121168 82.832 13.0751
53.506106 83.986 6.9670
53.893833 84.907 -0.6278
54.284370 85.535 -9.2900
54.677737 85.835 -18.4630
55.073955 85.794 -27.5157
55.473043 85.428 -35.7828
55.875024 84.781 -42.6227
56.279917 83.933 -47.5293
56.687745 82.992 -50.2872
57.098527 82.065 -51.1803
57.512287 81.209 -50.8087
57.929045 80.430 -49.5819
58.348822 79.721 -47.5060
58.771642 79.106 -44.4796
59.197525 78.629 -40.6960
59.626495 78.312 -36.6051
60.058573 78.144 -32.5096
60.493782 78.119 -28.4658
60.932145 78.248 -24.6732
61.373685 78.520 -21.6865
61.818424 78.861 -20.0687
62.266386 79.171 -19.8736
62.717593 79.373 -20.6561
63.172071 79.445 -21.7935
63.629842 79.410 -22.7996
64.090930 79.314 -23.4964
64.555359 79.194 -23.9361
65.023154 79.076 -24.2609
65.494339 78.976 -24.6040
65.968938 78.906 -25.1528
66.446976 78.863 -26.1609
66.928478 78.828 -27.8748
67.413469 78.770 -30.3926
67.901975 78.667 -33.6773
68.394021 78.515 -37.7240
68.889632 78.317 -42.7032
69.388835 78.058 -48.8940
69.891655 77.708 -56.4980
70.398118 77.243 -65.5182
70.908252 76.679 -76.0136
71.422083 76.071 -88.3165
71.939636 75.478 -103.2089
72.460941 74.910 -121.5110
72.986023 74.308 -143.6080
73.514909 73.571 -169.0069
74.047629 72.607 163.2017
74.584208 71.370 133.6099
75.124676 69.958 101.4974
75.669061 68.813 63.2061
76.217390 68.812 17.4926
76.769692 70.257 -23.6844
77.325997 72.392 -52.8678
77.886333 74.537 -73.8351
78.450730 76.496 -90.0369
79.019216 78.274 -103.3699
79.591822 79.885 -115.3417
80.168577 81.282 -127.0525
80.749512 82.409 -138.8625
81.334656 83.252 -150.5427
81.924040 83.841 -161.8529
82.517696 84.204 -172.9821
83.115653 84.312 175.6531
83.717943 84.083 163.9042
84.324598 83.417 152.2462
84.935649 82.246 141.5671
85.551128 80.538 132.9099
86.171066 78.278 127.3606
86.795497 75.481 126.8251
87.424453 72.621 140.8960
88.057967 72.034 -146.3276
88.696071 74.600 -112.1520
89.338800 77.688 -108.4153
89.986185 80.300 -111.3697
90.638262 82.398 -117.1508
91.295065 84.060 -124.5488
91.956626 85.351 -133.1191
92.622982 86.291 -142.8005
93.294166 86.855 -153.5737
93.970214 86.991 -165.1460
94.651161 86.648 -176.8198
95.337042 85.805 172.4410
96.027894 84.485 163.8225
96.723752 82.758 158.4248
97.424652 80.733 157.2112
98.130631 78.578 161.4089
98.841726 76.635 172.3691
99.557974 75.445 -171.8923
100.279412 75.262 -158.1023
101.006078 75.710 -149.5701
101.738010 76.318 -145.3120
102.475245 76.809 -144.3351
103.217823 77.011 -145.7690
103.965782 76.833 -147.9545
104.719161 76.312 -148.9399
105.477999 75.606 -147.6030
106.242336 74.906 -144.2065
107.012212 74.350 -139.7708
107.787666 73.988 -135.4329
108.568740 73.773 -132.4084
109.355474 73.566 -131.3499
110.147909 73.233 -131.6270
110.946086 72.750 -132.0227
111.750047 72.193 -132.3572
112.559834 71.608 -133.7202
113.375489 70.948 -137.0117
114.197055 70.139 -142.7571
115.024574 69.097 -151.8911
115.858089 67.707 -165.4209
116.697645 65.903 175.6534
117.543284 63.803 149.7371
118.395051 61.779 117.1208
119.252990 60.177 86.1333
120.117147 58.828 64.6082
120.987565 57.634 57.6417
121.864291 58.121 93.1438
122.747370 60.972 134.8901
123.636848 64.085 138.0973
124.532771 66.515 132.8193
125.435187 68.193 125.7108
126.344142 69.254 119.3613
127.259684 69.866 114.6631
128.181860 70.112 111.0667
129.110718 69.989 108.6064
130.046308 69.540 108.7144
130.988677 68.909 111.7068
131.937875 68.163 115.0320
132.893951 67.363 116.3687
133.856956 67.556 119.5483
134.826938 70.398 -126.0083
135.803950 74.224 -109.7799
136.788041 77.287 -122.0415
137.779264 79.261 -136.9380
138.777669 80.289 -149.9653
139.783309 80.658 -158.8793
140.796237 80.661 -163.4194
141.816504 80.542 -164.0005
142.844165 80.580 -160.3733
143.879273 81.076 -153.5723
144.921881 82.023 -148.2986
145.972045 83.060 -147.4808
147.029819 83.875 -149.8394
148.095257 84.365 -153.2758
149.168417 84.558 -156.4387
150.249353 84.510 -159.0812
151.338121 84.249 -161.0691
152.434780 83.826 -161.6108
153.539385 83.377 -160.0212
154.651995 83.029 -157.7794
155.772667 82.674 -157.7585
156.901460 82.034 -159.4065
158.038432 80.981 -159.0560
159.183644 79.683 -153.5845
160.337154 78.536 -142.4529
161.499023 77.974 -128.3782
162.669312 78.119 -115.4200
163.848081 78.615 -108.1299
165.035392 78.917 -106.6606
166.231306 78.747 -106.5103
167.435887 78.147 -104.4023
168.649196 77.275 -99.6360
169.871298 76.327 -91.1017
171.102255 75.646 -77.7171
172.342133 75.612 -62.1965
173.590995 76.306 -47.9338
174.848907 77.362 -39.6292
176.115934 78.171 -39.7184
