* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 2:48:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-frames-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 74.630 8.9329
10.166832 74.733 7.7954
10.240505 74.858 6.6190
10.314712 74.987 5.4141
10.389457 75.115 4.1882
10.464743 75.237 2.9380
10.540575 75.349 1.6282
10.616956 75.452 0.2870
10.693891 75.545 -1.0477
10.771383 75.624 -2.3407
10.849437 75.689 -3.6349
10.928057 75.741 -4.9442
11.007246 75.781 -6.2144
11.087009 75.808 -7.3886
11.167350 75.822 -8.4573
11.248273 75.821 -9.4748
11.329783 75.812 -10.4020
11.411883 75.799 -11.1902
11.494578 75.784 -11.8004
11.577873 75.764 -12.2571
11.661771 75.746 -12.5693
11.746277 75.743 -12.7411
11.831395 75.761 -12.7544
11.917130 75.796 -12.5722
12.003487 75.853 -12.2729
12.090469 75.942 -11.9481
12.178081 76.070 -11.6152
12.266329 76.234 -11.2022
12.355216 76.429 -10.8365
12.444747 76.652 -10.6483
12.534926 76.905 -10.6254
12.625760 77.186 -10.7093
12.717251 77.481 -10.9855
12.809406 77.780 -11.5271
12.902228 78.085 -12.2894
12.995723 78.391 -13.2356
13.089895 78.688 -14.3663
13.184750 78.968 -15.6988
13.280292 79.234 -17.2280
13.376526 79.482 -18.8870
13.473458 79.706 -20.6248
13.571093 79.906 -22.5034
13.669434 80.082 -24.4932
13.768489 80.232 -26.5015
13.868261 80.356 -28.5109
13.968756 80.453 -30.6009
14.069979 80.524 -32.6848
14.171936 80.571 -34.6844
14.274632 80.593 -36.6811
14.378072 80.592 -38.6465
14.482261 80.571 -40.5051
14.587206 80.530 -42.2758
14.692910 80.471 -43.9787
14.799381 80.398 -45.5763
14.906624 80.312 -47.0502
15.014643 80.213 -48.4222
15.123446 80.107 -49.6955
15.233036 79.994 -50.8587
15.343421 79.875 -51.9102
15.454606 79.750 -52.8748
15.566596 79.623 -53.7588
15.679398 79.491 -54.5466
15.793018 79.355 -55.2592
15.907460 79.214 -55.9060
16.022732 79.068 -56.4721
16.138840 78.916 -56.9612
16.255788 78.758 -57.3720
16.373585 78.593 -57.6953
16.492234 78.422 -57.9252
16.611744 78.246 -58.0483
16.732119 78.065 -58.0633
16.853367 77.883 -57.9788
16.975494 77.700 -57.7713
17.098505 77.519 -57.4616
17.222408 77.340 -57.0831
17.347209 77.166 -56.6098
17.472914 76.993 -56.0865
17.599530 76.821 -55.5464
17.727063 76.646 -54.9714
17.855521 76.462 -54.3812
17.984909 76.264 -53.7939
18.115235 76.046 -53.1646
18.246506 75.797 -52.4461
18.378727 75.516 -51.6457
18.511907 75.195 -50.6154
18.646052 74.830 -49.2981
18.781169 74.426 -47.5993
18.917265 73.990 -45.3095
19.054347 73.528 -42.3424
19.192423 73.085 -38.5369
19.331499 72.678 -33.7486
19.471583 72.361 -27.9934
19.612682 72.205 -21.4375
19.754804 72.220 -14.3165
19.897956 72.428 -7.1742
20.042144 72.835 -0.3855
20.187378 73.379 5.7095
20.333664 74.023 10.9494
20.481010 74.735 15.3390
20.629424 75.466 18.9422
20.778913 76.210 21.8570
20.929486 76.945 24.1629
21.081150 77.667 25.9695
21.233912 78.367 27.3026
21.387782 79.043 28.2482
21.542767 79.688 28.8374
21.698874 80.299 29.1092
21.856113 80.873 29.1322
22.014492 81.404 28.9324
22.174018 81.892 28.5791
22.334700 82.336 28.1326
22.496546 82.735 27.6267
22.659566 83.093 27.1606
22.823766 83.411 26.7344
22.989157 83.697 26.4556
23.155745 83.955 26.3102
23.323542 84.194 26.3825
23.492554 84.419 26.6587
23.662790 84.642 27.1923
23.834261 84.869 27.9705
24.006973 85.113 29.0257
24.180938 85.383 30.3342
24.356163 85.697 31.8978
24.532658 86.064 33.6465
24.710431 86.505 35.5072
24.889493 87.023 37.3170
25.069853 87.627 38.9308
25.251519 88.303 40.1093
25.434502 89.037 40.7674
25.618811 89.800 40.6990
25.804456 90.569 39.9598
25.991445 91.310 38.4794
26.179790 92.005 36.3864
26.369500 92.629 33.7478
26.560584 93.172 30.7002
26.753053 93.623 27.3637
26.946917 93.979 23.9226
27.142185 94.238 20.4315
27.338869 94.409 17.1674
27.536977 94.501 14.1257
27.736522 94.538 11.5622
27.937512 94.542 9.4344
28.139959 94.546 7.8491
28.343872 94.583 6.6072
28.549264 94.670 5.6511
28.756143 94.816 4.6044
28.964522 95.005 3.3279
29.174411 95.213 1.6048
29.385821 95.399 -0.6080
29.598763 95.533 -3.2722
29.813248 95.582 -6.2836
30.029287 95.528 -9.3816
30.246891 95.361 -12.4767
30.466073 95.084 -15.1890
30.686842 94.711 -17.3657
30.909212 94.265 -18.7712
31.133193 93.794 -19.2357
31.358797 93.344 -18.7870
31.586035 92.960 -17.4576
31.814921 92.679 -15.6336
32.045465 92.506 -13.5680
32.277680 92.431 -11.5159
32.511577 92.429 -9.6399
32.747169 92.486 -7.9558
32.984469 92.593 -6.4959
33.223488 92.747 -5.2926
33.464239 92.936 -4.4720
33.706735 93.143 -4.0948
33.950987 93.340 -4.2022
34.197010 93.495 -4.7112
34.444816 93.589 -5.3957
34.694417 93.621 -6.0454
34.945827 93.605 -6.3931
35.199059 93.589 -6.2444
35.454126 93.621 -5.6952
35.711041 93.741 -4.9880
35.969818 93.961 -4.5256
36.230470 94.247 -4.7927
36.493011 94.539 -5.9467
36.757455 94.779 -7.9269
37.023814 94.920 -10.5596
37.292104 94.935 -13.5294
37.562338 94.819 -16.4479
37.834530 94.589 -19.0441
38.108695 94.275 -21.1123
38.384846 93.915 -22.5271
38.662999 93.550 -23.3125
38.943167 93.209 -23.6632
39.225365 92.900 -23.7851
39.509608 92.615 -23.8206
39.795911 92.341 -23.8257
40.084289 92.066 -23.7713
40.374756 91.793 -23.5898
40.667328 91.532 -23.2558
40.962020 91.295 -22.8396
41.258848 91.086 -22.4757
41.557827 90.898 -22.3073
41.858972 90.713 -22.4373
42.162299 90.508 -22.9014
42.467824 90.260 -23.6671
42.775564 89.948 -24.6482
43.085533 89.555 -25.7154
43.397749 89.071 -26.6982
43.712227 88.491 -27.3830
44.028983 87.822 -27.5284
44.348036 87.086 -26.8991
44.669400 86.320 -25.3252
44.993093 85.573 -22.7707
45.319131 84.891 -19.3689
45.647532 84.310 -15.3885
45.978313 83.842 -11.1415
46.311491 83.486 -6.9051
46.647083 83.225 -2.8963
46.985107 83.032 0.7344
47.325581 82.878 3.9287
47.668521 82.732 6.7439
48.013947 82.574 9.3319
48.361876 82.401 11.8667
48.712326 82.223 14.4673
49.065315 82.054 17.1702
49.420863 81.906 19.9676
49.778987 81.790 22.8551
50.139706 81.724 25.8164
50.503039 81.728 28.7434
50.869005 81.816 31.3919
51.237623 81.978 33.4614
51.608912 82.186 34.7484
51.982891 82.410 35.2050
52.359580 82.631 34.8405
52.739000 82.838 33.5771
53.121168 83.010 31.2169
53.506106 83.100 27.5671
53.893833 83.040 22.6007
54.284370 82.758 16.5413
54.677737 82.189 9.8794
55.073955 81.297 3.3347
55.473043 80.083 -2.1926
55.875024 78.603 -5.7368
56.279917 76.989 -6.5273
56.687745 75.435 -4.5668
57.098527 74.123 -0.8587
57.512287 73.152 3.5698
57.929045 72.588 8.3527
58.348822 72.525 12.8517
58.771642 72.962 15.4989
59.197525 73.719 15.1166
59.626495 74.585 11.9986
60.058573 75.462 7.1737
60.493782 76.347 1.4697
60.932145 77.253 -4.8623
61.373685 78.148 -11.8903
61.818424 78.956 -19.5865
62.266386 79.604 -27.5644
62.717593 80.058 -35.2365
63.172071 80.338 -41.9518
63.629842 80.507 -47.2558
64.090930 80.642 -51.1178
64.555359 80.796 -53.8800
65.023154 80.981 -56.0190
65.494339 81.177 -57.8443
65.968938 81.356 -59.4842
66.446976 81.497 -60.9754
66.928478 81.582 -62.3211
67.413469 81.592 -63.4413
67.901975 81.521 -64.1587
68.394021 81.380 -64.2824
68.889632 81.190 -63.7516
69.388835 80.967 -62.6449
69.891655 80.711 -61.0435
70.398118 80.415 -58.9060
70.908252 80.080 -56.0062
71.422083 79.737 -51.9527
71.939636 79.461 -46.4839
72.460941 79.338 -40.0452
72.986023 79.376 -33.8013
73.514909 79.472 -28.4567
74.047629 79.537 -23.1815
74.584208 79.635 -16.4263
75.124676 79.957 -7.9019
75.669061 80.592 0.3759
76.217390 81.398 6.3035
76.769692 82.170 9.9672
77.325997 82.811 12.5963
77.886333 83.347 15.3870
78.450730 83.870 18.8628
79.019216 84.467 22.6808
79.591822 85.143 25.8705
80.168577 85.825 27.9185
80.749512 86.453 29.1775
81.334656 87.038 30.2469
81.924040 87.624 31.1004
82.517696 88.205 31.1289
83.115653 88.714 29.8656
83.717943 89.062 27.3981
84.324598 89.187 24.2449
84.935649 89.063 21.1205
85.551128 88.717 18.8130
86.171066 88.228 17.9177
86.795497 87.706 18.3864
87.424453 87.219 19.4331
88.057967 86.749 20.2141
88.696071 86.215 20.4392
89.338800 85.526 20.3695
89.986185 84.614 20.6373
90.638262 83.444 22.1478
91.295065 82.033 26.1114
91.956626 80.511 34.5442
92.622982 79.287 50.3523
93.294166 79.007 71.3678
93.970214 79.712 86.9925
94.651161 80.701 94.3768
95.337042 81.481 97.4620
96.027894 81.953 99.2590
96.723752 82.166 101.0161
97.424652 82.189 103.0992
98.130631 82.073 105.6485
98.841726 81.863 108.7404
99.557974 81.589 112.3406
100.279412 81.272 116.3481
101.006078 80.921 120.8008
101.738010 80.559 125.8678
102.475245 80.218 131.3613
103.217823 79.890 136.7640
103.965782 79.540 142.1399
104.719161 79.170 148.0484
105.477999 78.815 154.3909
106.242336 78.464 160.4306
107.012212 78.045 166.0350
107.787666 77.502 172.0046
108.568740 76.856 179.4714
109.355474 76.221 -170.7471
110.147909 75.773 -158.5866
110.946086 75.671 -145.1584
111.750047 75.935 -132.5377
112.559834 76.434 -122.0196
113.375489 77.008 -113.5674
114.197055 77.546 -106.7234
115.024574 77.995 -100.8453
115.858089 78.350 -95.3359
116.697645 78.630 -89.9809
117.543284 78.851 -84.7260
118.395051 79.023 -79.5709
119.252990 79.141 -74.5965
120.117147 79.196 -69.6872
120.987565 79.196 -64.5326
121.864291 79.172 -58.9246
122.747370 79.164 -52.9215
123.636848 79.200 -46.7760
124.532771 79.295 -40.6654
125.435187 79.466 -34.6692
126.344142 79.723 -29.2422
127.259684 80.018 -25.2427
128.181860 80.257 -22.9670
129.110718 80.364 -22.0081
130.046308 80.286 -22.3654
130.988677 79.930 -24.2484
131.937875 79.187 -26.8813
132.893951 78.003 -28.8666
133.856956 76.376 -29.1013
134.826938 74.333 -26.3385
135.803950 71.971 -17.7973
136.788041 69.662 0.7731
137.779264 68.052 23.1456
138.777669 67.170 36.1843
139.783309 66.281 42.7593
140.796237 64.880 48.6039
141.816504 62.891 56.3284
142.844165 60.963 70.0732
143.879273 61.446 -178.0709
144.921881 64.442 -140.8850
145.972045 67.470 -137.3922
147.029819 69.840 -136.7864
148.095257 71.627 -136.3990
149.168417 72.944 -136.2814
150.249353 73.843 -136.4752
151.338121 74.383 -136.2410
152.434780 74.650 -135.0211
153.539385 74.740 -132.6827
154.651995 74.732 -129.5873
155.772667 74.607 -127.2614
156.901460 74.209 -126.4446
158.038432 73.391 -125.2004
159.183644 72.166 -120.7500
160.337154 70.727 -110.6702
161.499023 69.438 -94.9656
162.669312 68.664 -76.6322
163.848081 68.643 -55.6339
165.035392 69.260 -38.7873
166.231306 70.002 -29.0518
167.435887 70.573 -21.4718
168.649196 71.010 -13.6717
169.871298 71.415 -5.8570
171.102255 71.865 1.6797
172.342133 72.357 7.6418
173.590995 72.777 10.8115
174.848907 72.974 11.3098
176.115934 72.823 9.6976
177.392143 72.242 7.2442
178.677599 71.265 5.8950
179.972371 70.044 5.9304
181.276525 68.706 5.0865
182.590129 67.250 1.8909
