* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:09:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 46.791 3.4654
10.166832 46.899 0.4326
10.240505 47.030 -2.6487
10.314712 47.164 -5.6492
10.389457 47.290 -8.4372
10.464743 47.377 -10.9291
10.540575 47.400 -13.3680
10.616956 47.379 -15.7183
10.693891 47.320 -17.8513
10.771383 47.223 -19.6123
10.849437 47.082 -21.0586
10.928057 46.899 -22.2653
11.007246 46.690 -23.1243
11.087009 46.468 -23.4924
11.167350 46.227 -23.2505
11.248273 45.958 -22.4064
11.329783 45.707 -20.9369
11.411883 45.531 -18.8489
11.494578 45.461 -16.1251
11.577873 45.479 -12.6650
11.661771 45.597 -8.8210
11.746277 45.842 -5.0667
11.831395 46.244 -1.6951
11.917130 46.802 1.4781
12.003487 47.459 4.0643
12.090469 48.150 5.7676
12.178081 48.851 6.6038
12.266329 49.582 6.9181
12.355216 50.315 6.6632
12.444747 51.013 5.7986
12.534926 51.664 4.3889
12.625760 52.279 2.6139
12.717251 52.854 0.5469
12.809406 53.381 -1.7953
12.902228 53.859 -4.4786
12.995723 54.289 -7.3799
13.089895 54.673 -10.3735
13.184750 55.009 -13.4767
13.280292 55.296 -16.8357
13.376526 55.535 -20.2700
13.473458 55.726 -23.6254
13.571093 55.869 -27.1057
13.669434 55.962 -30.7032
13.768489 56.006 -34.2036
13.868261 56.002 -37.5617
13.968756 55.947 -41.0093
14.069979 55.843 -44.3668
14.171936 55.690 -47.4318
14.274632 55.487 -50.3854
14.378072 55.237 -53.1840
14.482261 54.947 -55.6262
14.587206 54.612 -57.6742
14.692910 54.242 -59.3685
14.799381 53.859 -60.6245
14.906624 53.465 -61.2752
15.014643 53.070 -61.2929
15.123446 52.717 -60.8012
15.233036 52.432 -59.7673
15.343421 52.214 -58.0894
15.454606 52.089 -56.1447
15.566596 52.084 -54.1603
15.679398 52.188 -52.0691
15.793018 52.373 -50.2097
15.907460 52.625 -48.7650
16.022732 52.941 -47.6496
16.138840 53.284 -46.8908
16.255788 53.632 -46.5039
16.373585 53.990 -46.4257
16.492234 54.344 -46.5392
16.611744 54.689 -46.8240
16.732119 55.029 -47.2574
16.853367 55.366 -47.7585
16.975494 55.700 -48.3141
17.098505 56.035 -48.9374
17.222408 56.374 -49.6229
17.347209 56.718 -50.3511
17.472914 57.063 -51.1630
17.599530 57.410 -52.0748
17.727063 57.756 -53.0632
17.855521 58.094 -54.1523
17.984909 58.424 -55.3486
18.115235 58.741 -56.6172
18.246506 59.039 -57.9459
18.378727 59.316 -59.3475
18.511907 59.570 -60.7375
18.646052 59.797 -62.1362
18.781169 59.998 -63.5032
18.917265 60.170 -64.7448
19.054347 60.313 -65.9151
19.192423 60.431 -66.8694
19.331499 60.524 -67.6120
19.471583 60.600 -68.0872
19.612682 60.667 -68.1687
19.754804 60.736 -67.8912
19.897956 60.834 -67.1792
20.042144 60.971 -66.0102
20.187378 61.177 -64.5555
20.333664 61.477 -62.8424
20.481010 61.870 -61.1183
20.629424 62.363 -59.7108
20.778913 62.940 -58.6133
20.929486 63.562 -58.2386
21.081150 64.216 -58.4288
21.233912 64.857 -59.2917
21.387782 65.465 -60.7785
21.542767 66.020 -62.6685
21.698874 66.502 -64.9895
21.856113 66.909 -67.4747
22.014492 67.233 -70.0105
22.174018 67.480 -72.5078
22.334700 67.658 -74.6621
22.496546 67.784 -76.5379
22.659566 67.890 -77.8320
22.823766 67.997 -78.6438
22.989157 68.155 -78.9779
23.155745 68.379 -78.9195
23.323542 68.696 -78.8869
23.492554 69.096 -78.9056
23.662790 69.549 -79.4383
23.834261 70.030 -80.3763
24.006973 70.489 -81.8253
24.180938 70.908 -83.6220
24.356163 71.260 -85.5061
24.532658 71.551 -87.3627
24.710431 71.792 -88.7619
24.889493 72.025 -89.7038
25.069853 72.305 -89.8737
25.251519 72.690 -89.6430
25.434502 73.235 -89.0576
25.618811 73.938 -88.9988
25.804456 74.782 -89.5613
25.991445 75.685 -91.4409
26.179790 76.596 -94.3794
26.369500 77.441 -98.5225
26.560584 78.189 -103.4944
26.753053 78.806 -109.2092
26.946917 79.279 -115.2466
27.142185 79.598 -121.6407
27.338869 79.760 -127.7911
27.536977 79.769 -133.8389
27.736522 79.638 -139.1133
27.937512 79.396 -143.6532
28.139959 79.086 -146.9411
28.343872 78.796 -149.0289
28.549264 78.601 -149.7669
28.756143 78.602 -149.8528
28.964522 78.809 -149.8620
29.174411 79.199 -150.5214
29.385821 79.665 -152.3624
29.598763 80.130 -155.2886
29.813248 80.509 -159.2410
30.029287 80.765 -163.6953
30.246891 80.877 -168.5371
30.466073 80.846 -173.1809
30.686842 80.691 -177.4288
30.909212 80.440 178.9708
31.133193 80.149 176.2808
31.358797 79.870 174.3983
31.586035 79.652 173.2974
31.814921 79.525 172.5208
32.045465 79.479 171.8269
32.277680 79.489 171.0102
32.511577 79.517 170.0236
32.747169 79.547 169.0600
32.984469 79.585 168.2339
33.223488 79.660 167.7091
33.464239 79.811 167.3355
33.706735 80.055 166.8629
33.950987 80.386 166.0034
34.197010 80.761 164.4098
34.444816 81.126 162.1013
34.694417 81.438 159.2009
34.945827 81.669 155.9117
35.199059 81.815 152.6177
35.454126 81.900 149.5313
35.711041 81.958 146.7650
35.969818 82.030 144.3463
36.230470 82.149 142.0323
36.493011 82.314 139.5151
36.757455 82.501 136.5892
37.023814 82.668 133.1330
37.292104 82.771 129.1850
37.562338 82.777 125.0103
37.834530 82.677 120.8887
38.108695 82.480 117.0790
38.384846 82.214 113.8206
38.662999 81.924 111.2574
38.943167 81.656 109.3041
39.225365 81.440 107.7146
39.509608 81.279 106.2172
39.795911 81.153 104.6014
40.084289 81.030 102.7907
40.374756 80.881 100.8676
40.667328 80.691 99.0319
40.962020 80.469 97.4927
41.258848 80.236 96.3900
41.557827 80.021 95.7738
41.858972 79.855 95.5953
42.162299 79.761 95.7161
42.467824 79.755 95.9377
42.775564 79.839 96.0373
43.085533 80.000 95.8012
43.397749 80.217 95.0591
43.712227 80.459 93.7150
44.028983 80.693 91.7662
44.348036 80.892 89.2891
44.669400 81.036 86.4096
44.993093 81.116 83.2715
45.319131 81.126 80.0134
45.647532 81.069 76.7590
45.978313 80.950 73.6170
46.311491 80.777 70.6838
46.647083 80.563 68.0398
46.985107 80.323 65.7334
47.325581 80.078 63.7569
47.668521 79.842 62.0346
48.013947 79.622 60.4434
48.361876 79.411 58.8706
48.712326 79.195 57.2783
49.065315 78.959 55.7303
49.420863 78.702 54.3585
49.778987 78.435 53.2812
50.139706 78.181 52.5157
50.503039 77.958 51.9470
50.869005 77.768 51.3897
51.237623 77.596 50.7134
51.608912 77.420 49.9339
51.982891 77.227 49.1899
52.359580 77.026 48.6222
52.739000 76.834 48.2440
53.121168 76.663 47.9144
53.506106 76.502 47.4632
53.893833 76.321 46.8676
54.284370 76.096 46.3271
54.677737 75.832 46.1805
55.073955 75.566 46.6788
55.473043 75.352 47.7538
55.875024 75.218 49.0093
56.279917 75.142 50.0361
56.687745 75.070 50.7586
57.098527 74.963 51.5595
57.512287 74.840 53.0621
57.929045 74.786 55.7085
58.348822 74.918 59.3637
58.771642 75.312 63.2259
59.197525 75.956 66.3204
59.626495 76.777 68.0684
60.058573 77.702 68.2849
60.493782 78.661 66.8810
60.932145 79.590 63.8029
61.373685 80.418 59.1467
61.818424 81.086 53.2014
62.266386 81.553 46.4561
62.717593 81.814 39.4301
63.172071 81.892 32.6339
63.629842 81.841 26.4397
64.090930 81.724 20.9449
64.555359 81.599 16.0047
65.023154 81.500 11.3121
65.494339 81.435 6.5745
65.968938 81.395 1.5669
66.446976 81.371 -3.8518
66.928478 81.350 -9.8132
67.413469 81.320 -16.4651
67.901975 81.263 -23.9501
68.394021 81.156 -32.3623
68.889632 80.979 -41.7397
69.388835 80.728 -52.0236
69.891655 80.425 -63.2278
70.398118 80.125 -75.4947
70.908252 79.898 -89.2575
71.422083 79.800 -105.0987
71.939636 79.835 -123.4099
72.460941 79.960 -143.9315
72.986023 80.109 -165.7700
73.514909 80.224 172.5747
74.047629 80.286 152.5234
74.584208 80.332 135.1542
75.124676 80.450 120.8694
75.669061 80.732 109.2410
76.217390 81.199 99.2667
76.769692 81.804 90.0173
77.325997 82.484 80.9136
77.886333 83.181 71.5511
78.450730 83.828 61.6357
79.019216 84.351 51.1201
79.591822 84.696 40.4035
80.168577 84.863 30.1068
80.749512 84.913 20.7520
81.334656 84.943 12.4932
81.924040 85.035 4.9686
82.517696 85.219 -2.4363
83.115653 85.465 -10.2957
83.717943 85.704 -18.9202
84.324598 85.862 -28.2234
84.935649 85.892 -37.7845
85.551128 85.794 -47.0448
86.171066 85.620 -55.5400
86.795497 85.457 -63.1086
87.424453 85.394 -70.0066
88.057967 85.482 -76.8850
88.696071 85.698 -84.5983
89.338800 85.939 -93.7909
89.986185 86.063 -104.4951
90.638262 85.954 -116.0833
91.295065 85.564 -127.5400
91.956626 84.918 -137.8158
92.622982 84.112 -146.0486
93.294166 83.311 -151.6077
93.970214 82.759 -154.5247
94.651161 82.660 -156.6237
95.337042 82.929 -160.7214
96.027894 83.249 -167.6616
96.723752 83.388 -176.1882
97.424652 83.291 175.1606
98.130631 82.999 167.1425
98.841726 82.561 160.1067
99.557974 82.033 154.4337
100.279412 81.503 150.3794
101.006078 81.077 147.9125
101.738010 80.867 146.7515
102.475245 80.938 145.8108
103.217823 81.200 143.4417
103.965782 81.449 139.3572
104.719161 81.574 134.9269
105.477999 81.642 131.5210
106.242336 81.805 129.1766
107.012212 82.140 126.7542
107.787666 82.597 123.0935
108.568740 83.043 117.6675
109.355474 83.341 110.7722
110.147909 83.426 103.3926
110.946086 83.334 96.5759
111.750047 83.162 90.5151
112.559834 82.955 84.3757
113.375489 82.641 77.4344
114.197055 82.109 70.0093
115.024574 81.296 63.0933
115.858089 80.215 57.5189
116.697645 78.897 53.5671
117.543284 77.347 51.9789
118.395051 75.668 55.5591
119.252990 74.330 67.4171
120.117147 73.969 82.5187
120.987565 74.454 91.7446
121.864291 75.163 95.9026
122.747370 75.904 99.7272
123.636848 76.865 104.7881
124.532771 78.099 108.1096
125.435187 79.392 107.4581
126.344142 80.550 103.5902
127.259684 81.488 97.4016
128.181860 82.136 89.0986
129.110718 82.412 79.2202
130.046308 82.259 68.5681
130.988677 81.611 57.7717
131.937875 80.371 48.0568
132.893951 78.506 42.2526
133.856956 76.434 47.0327
134.826938 75.996 83.6464
135.803950 78.236 119.2404
136.788041 80.881 118.2766
137.779264 82.719 106.5111
138.777669 83.714 93.4492
139.783309 84.136 82.2861
140.796237 84.225 72.9463
141.816504 84.064 64.5544
142.844165 83.665 57.3798
143.879273 83.091 52.2656
144.921881 82.468 49.4080
145.972045 81.903 48.0725
147.029819 81.461 48.0087
148.095257 81.286 49.9491
149.168417 81.575 52.8723
150.249353 82.283 53.2262
151.338121 83.122 49.5803
152.434780 83.856 42.6964
153.539385 84.343 33.0912
154.651995 84.495 21.4335
155.772667 84.277 8.2336
156.901460 83.664 -6.4091
158.038432 82.658 -22.2539
159.183644 81.372 -39.3982
160.337154 80.137 -59.5844
161.499023 79.477 -86.7007
162.669312 79.660 -121.7520
163.848081 80.395 -157.3130
165.035392 81.257 173.7837
166.231306 82.025 152.4502
167.435887 82.668 137.2211
168.649196 83.241 126.5157
169.871298 83.804 118.7827
171.102255 84.399 112.9874
172.342133 85.061 108.5126
173.590995 85.769 104.1248
174.848907 86.429 99.0903
176.115934 87.023 94.4948
177.392143 87.672 91.1149
178.677599 88.459 87.7473
179.972371 89.322 82.8999
181.276525 90.128 76.1714
182.590129 90.771 67.9489
183.913252 91.181 58.5836
185.245964 91.286 48.3384
186.588332 91.003 37.7252
187.940428 90.269 28.0884
