* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:09:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 39.745 65.6167
10.166832 39.955 61.4748
10.240505 40.209 57.3413
10.314712 40.470 53.3385
10.389457 40.725 49.5844
10.464743 40.945 46.1411
10.540575 41.110 42.7510
10.616956 41.238 39.4214
10.693891 41.337 36.2440
10.771383 41.410 33.3260
10.849437 41.455 30.6027
10.928057 41.472 27.9711
11.007246 41.468 25.4608
11.087009 41.450 23.1258
11.167350 41.421 21.0128
11.248273 41.376 19.0702
11.329783 41.323 17.2480
11.411883 41.272 15.5103
11.494578 41.229 13.8722
11.577873 41.189 12.3993
11.661771 41.155 10.9909
11.746277 41.132 9.5316
11.831395 41.123 7.9655
11.917130 41.128 6.4004
12.003487 41.140 4.7590
12.090469 41.151 2.9321
12.178081 41.153 0.8340
12.266329 41.150 -1.4846
12.355216 41.146 -3.9961
12.444747 41.133 -6.7073
12.534926 41.081 -9.7630
12.625760 40.995 -13.1855
12.717251 40.863 -16.8015
12.809406 40.672 -20.4955
12.902228 40.426 -24.6383
12.995723 40.115 -29.1677
13.089895 39.714 -33.7595
13.184750 39.214 -38.3287
13.280292 38.624 -43.4773
13.376526 37.884 -48.9183
13.473458 36.921 -54.0665
13.571093 35.714 -59.3701
13.669434 34.271 -65.2282
13.768489 32.562 -70.9803
13.868261 30.369 -75.4987
13.968756 27.656 -78.9399
14.069979 25.521 -68.8360
14.171936 25.777 68.0061
14.274632 28.548 68.6070
14.378072 31.952 64.2628
14.482261 34.723 58.6000
14.587206 36.716 51.9522
14.692910 38.308 45.3360
14.799381 39.675 38.9834
14.906624 40.860 32.3163
15.014643 41.848 25.5029
15.123446 42.700 19.0910
15.233036 43.446 12.7601
15.343421 44.073 6.2283
15.454606 44.600 0.1169
15.566596 45.037 -5.6490
15.679398 45.380 -11.5262
15.793018 45.638 -16.9375
15.907460 45.814 -21.8026
16.022732 45.907 -26.5570
16.138840 45.930 -30.7219
16.255788 45.884 -34.1343
16.373585 45.780 -37.0698
16.492234 45.651 -39.2386
16.611744 45.505 -40.4249
16.732119 45.370 -40.7793
16.853367 45.313 -40.4397
16.975494 45.350 -39.2023
17.098505 45.493 -37.4741
17.222408 45.768 -35.8210
17.347209 46.176 -34.1089
17.472914 46.660 -32.7784
17.599530 47.187 -32.0777
17.727063 47.746 -31.8085
17.855521 48.288 -31.9693
17.984909 48.797 -32.5652
18.115235 49.270 -33.4009
18.246506 49.699 -34.3213
18.378727 50.085 -35.3740
18.511907 50.439 -36.3850
18.646052 50.764 -37.3109
18.781169 51.071 -38.1893
18.917265 51.371 -38.9821
19.054347 51.666 -39.6973
19.192423 51.959 -40.4182
19.331499 52.253 -41.1537
19.471583 52.542 -41.9148
19.612682 52.820 -42.7534
19.754804 53.082 -43.6473
19.897956 53.322 -44.5189
20.042144 53.538 -45.4052
20.187378 53.733 -46.1795
20.333664 53.909 -46.7866
20.481010 54.080 -47.2389
20.629424 54.264 -47.4539
20.778913 54.469 -47.4800
20.929486 54.716 -47.4638
21.081150 55.010 -47.3702
21.233912 55.346 -47.5027
21.387782 55.723 -47.8548
21.542767 56.115 -48.5434
21.698874 56.505 -49.6526
21.856113 56.873 -51.0428
22.014492 57.198 -52.7270
22.174018 57.474 -54.5541
22.334700 57.692 -56.3261
22.496546 57.862 -58.0278
22.659566 57.997 -59.3459
22.823766 58.117 -60.3496
22.989157 58.262 -60.8966
23.155745 58.451 -61.0679
23.323542 58.721 -61.1205
23.492554 59.071 -61.1070
23.662790 59.490 -61.4925
23.834261 59.955 -62.2125
24.006973 60.420 -63.4945
24.180938 60.861 -65.1734
24.356163 61.240 -67.0953
24.532658 61.556 -69.1057
24.710431 61.804 -70.8101
24.889493 62.016 -72.1310
25.069853 62.233 -72.6795
25.251519 62.522 -72.6691
25.434502 62.943 -72.0154
25.618811 63.529 -71.5438
25.804456 64.284 -71.3918
25.991445 65.137 -72.4566
26.179790 66.038 -74.5532
26.369500 66.894 -77.9813
26.560584 67.668 -82.3314
26.753053 68.312 -87.5567
26.946917 68.808 -93.1798
27.142185 69.139 -99.2327
27.338869 69.301 -105.0503
27.536977 69.294 -110.7609
27.736522 69.133 -115.6019
27.937512 68.851 -119.5731
28.139959 68.502 -122.0428
28.343872 68.204 -123.0752
28.549264 68.053 -122.5352
28.756143 68.172 -121.4576
28.964522 68.549 -120.6545
29.174411 69.123 -121.0271
29.385821 69.743 -123.0113
29.598763 70.320 -126.3548
29.813248 70.764 -130.8547
30.029287 71.041 -135.8482
30.246891 71.136 -141.2129
30.466073 71.052 -146.2273
30.686842 70.815 -150.6562
30.909212 70.461 -154.1482
31.133193 70.072 -156.3402
31.358797 69.732 -157.3882
31.586035 69.518 -157.3945
31.814921 69.476 -157.2387
32.045465 69.567 -157.4133
32.277680 69.728 -158.2814
32.511577 69.863 -159.8801
32.747169 69.924 -161.7596
32.984469 69.896 -163.6124
33.223488 69.802 -164.8993
33.464239 69.715 -165.3602
33.706735 69.710 -165.1018
33.950987 69.851 -164.4053
34.197010 70.149 -164.0673
34.444816 70.543 -164.5633
34.694417 70.959 -166.0297
34.945827 71.320 -168.4260
35.199059 71.580 -171.3368
35.454126 71.731 -174.3757
35.711041 71.788 -177.2617
35.969818 71.786 -179.7401
36.230470 71.773 178.2567
36.493011 71.784 176.5306
36.757455 71.830 174.8499
37.023814 71.896 172.9697
37.292104 71.943 170.7253
37.562338 71.928 168.2143
37.834530 71.823 165.6826
38.108695 71.621 163.4260
38.384846 71.336 161.7806
38.662999 71.011 161.0529
38.943167 70.710 161.3248
39.225365 70.493 162.3922
39.509608 70.388 163.8763
39.795911 70.385 165.3812
40.084289 70.444 166.6871
40.374756 70.518 167.8741
40.667328 70.589 169.3216
40.962020 70.695 171.5347
41.258848 70.929 174.8411
41.557827 71.414 179.0587
41.858972 72.225 -176.7013
42.162299 73.336 -173.6862
42.467824 74.625 -172.7880
42.775564 75.947 -174.2168
43.085533 77.193 -177.7015
43.397749 78.298 177.2076
43.712227 79.231 170.9687
44.028983 79.983 163.9865
44.348036 80.554 156.5958
44.669400 80.952 149.0735
44.993093 81.192 141.6530
45.319131 81.292 134.5320
45.647532 81.274 127.8773
45.978313 81.165 121.8207
46.311491 80.996 116.4479
46.647083 80.803 111.7783
46.985107 80.619 107.7444
47.325581 80.472 104.1872
47.668521 80.374 100.8920
48.013947 80.318 97.6634
48.361876 80.288 94.4044
48.712326 80.266 91.1486
49.065315 80.252 88.0179
49.420863 80.263 85.1205
49.778987 80.332 82.4386
50.139706 80.486 79.7838
50.503039 80.732 76.8758
50.869005 81.056 73.4807
51.237623 81.440 69.4853
51.608912 81.873 64.8331
51.982891 82.357 59.3878
52.359580 82.881 52.8687
52.739000 83.406 44.9417
53.121168 83.866 35.3925
53.506106 84.180 24.2357
53.893833 84.277 11.6677
54.284370 84.098 -1.9773
54.677737 83.600 -16.2520
55.073955 82.760 -30.6346
55.473043 81.569 -44.5397
55.875024 80.047 -57.3516
56.279917 78.251 -68.5045
56.687745 76.291 -77.7198
57.098527 74.320 -85.5328
57.512287 72.464 -93.4060
57.929045 70.737 -102.9580
58.348822 69.074 -115.2682
58.771642 67.459 -131.0277
59.197525 66.079 -150.8293
59.626495 65.355 -174.4054
60.058573 65.609 160.8800
60.493782 66.649 138.2034
60.932145 67.984 118.3989
61.373685 69.258 100.7479
61.818424 70.299 84.5951
62.266386 71.053 69.7417
62.717593 71.527 56.1690
63.172071 71.774 44.1032
63.629842 71.887 33.7799
64.090930 71.980 25.1318
64.555359 72.159 17.7186
65.023154 72.473 10.8031
65.494339 72.901 3.7830
65.968938 73.393 -3.6130
66.446976 73.914 -11.3311
66.928478 74.456 -19.2488
67.413469 75.023 -27.3400
67.901975 75.610 -35.6656
68.394021 76.202 -44.2656
68.889632 76.781 -53.0598
69.388835 77.349 -61.8428
69.891655 77.931 -70.4586
70.398118 78.565 -78.9474
70.908252 79.265 -87.5972
71.422083 80.000 -96.8116
71.939636 80.710 -106.7776
72.460941 81.331 -117.3914
72.986023 81.826 -128.3549
73.514909 82.187 -139.2786
74.047629 82.434 -149.8586
74.584208 82.604 -159.9095
75.124676 82.744 -169.4578
75.669061 82.888 -178.8003
76.217390 83.030 171.5803
76.769692 83.117 161.3037
77.325997 83.076 150.2438
77.886333 82.842 138.5703
78.450730 82.367 126.4366
79.019216 81.606 113.8574
79.591822 80.478 100.8008
80.168577 78.859 87.3074
80.749512 76.604 73.6672
81.334656 73.766 60.5967
81.924040 71.816 56.6353
82.517696 73.262 -145.2930
83.115653 76.244 -156.3406
83.717943 78.836 -168.0168
84.324598 80.799 179.6013
84.935649 82.188 166.8911
85.551128 83.092 154.5364
86.171066 83.620 143.2388
86.795497 83.899 133.4456
87.424453 84.055 125.1492
88.057967 84.174 117.9486
88.696071 84.297 111.3811
89.338800 84.436 105.1902
89.986185 84.612 99.2903
90.638262 84.861 93.4880
91.295065 85.202 87.2395
91.956626 85.594 79.7297
92.622982 85.922 70.3276
93.294166 86.033 59.0464
93.970214 85.800 46.6257
94.651161 85.163 34.2932
95.337042 84.150 23.3868
96.027894 82.876 14.8496
96.723752 81.505 8.7422
97.424652 80.175 4.3583
98.130631 78.954 0.9348
98.841726 77.855 -2.1139
99.557974 76.845 -5.4087
100.279412 75.839 -9.3071
101.006078 74.735 -13.4351
101.738010 73.493 -16.8800
102.475245 72.173 -19.0359
103.217823 70.887 -20.3746
103.965782 69.694 -22.2378
104.719161 68.529 -25.8414
105.477999 67.224 -31.2573
106.242336 65.648 -36.9410
107.012212 63.908 -41.1296
107.787666 62.456 -45.1263
108.568740 61.925 -53.7504
109.355474 62.644 -70.7080
110.147909 64.248 -94.7788
110.946086 66.078 -119.8917
111.750047 67.790 -140.8162
112.559834 69.385 -156.0637
113.375489 70.935 -166.8928
114.197055 72.412 -175.6877
115.024574 73.742 176.1760
115.858089 74.907 168.5601
116.697645 75.940 161.4276
117.543284 76.843 154.2302
118.395051 77.560 146.6619
119.252990 78.065 139.5179
120.117147 78.442 133.9358
120.987565 78.844 130.2083
121.864291 79.394 127.7415
122.747370 80.131 125.4449
123.636848 80.985 122.0469
124.532771 81.824 117.0303
125.435187 82.546 110.6952
126.344142 83.107 103.6079
127.259684 83.515 96.4034
128.181860 83.830 89.6554
129.110718 84.142 83.4485
130.046308 84.496 77.0386
130.988677 84.829 69.4268
131.937875 85.018 60.4413
132.893951 84.983 50.8292
133.856956 84.740 41.3588
134.826938 84.354 32.1798
135.803950 83.884 22.7760
136.788041 83.316 12.0831
137.779264 82.524 -0.6984
138.777669 81.348 -15.4305
139.783309 79.697 -32.2375
140.796237 77.585 -53.5781
141.816504 75.305 -88.5568
142.844165 74.020 -158.8309
143.879273 74.781 148.3213
144.921881 76.454 123.6156
145.972045 77.943 107.5494
147.029819 79.024 95.1774
148.095257 79.739 85.0247
149.168417 80.178 76.6355
150.249353 80.431 69.6187
151.338121 80.589 64.0461
152.434780 80.820 60.3691
153.539385 81.248 56.8878
154.651995 81.706 50.5079
155.772667 81.852 41.0045
156.901460 81.465 30.9663
158.038432 80.553 23.6395
159.183644 79.343 21.3040
160.337154 78.206 23.8851
161.499023 77.538 29.8013
162.669312 77.641 37.6860
163.848081 78.444 42.6984
165.035392 79.383 40.6062
166.231306 79.950 33.6768
167.435887 79.997 25.9833
168.649196 79.605 19.7562
169.871298 78.918 16.2002
171.102255 78.180 16.6477
172.342133 77.658 19.2803
173.590995 77.405 21.7439
174.848907 77.347 23.8032
176.115934 77.493 26.7209
177.392143 77.960 30.3213
178.677599 78.676 31.3541
179.972371 79.370 28.7650
181.276525 79.836 23.9374
182.590129 80.045 18.8734
183.913252 80.197 16.0447
185.245964 80.616 15.1555
