* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:09:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 36.518 43.8904
10.166832 36.385 40.5306
10.240505 36.223 37.3263
10.314712 36.056 34.3132
10.389457 35.888 31.5753
10.464743 35.727 29.2424
10.540575 35.571 27.3851
10.616956 35.431 25.9195
10.693891 35.333 24.7622
10.771383 35.305 23.8384
10.849437 35.349 23.3839
10.928057 35.457 23.3867
11.007246 35.636 23.5025
11.087009 35.895 23.3894
11.167350 36.247 23.0497
11.248273 36.692 22.7917
11.329783 37.197 22.2816
11.411883 37.729 21.2241
11.494578 38.275 19.5336
11.577873 38.848 17.5786
11.661771 39.432 15.3203
11.746277 39.996 12.6556
11.831395 40.527 9.4820
11.917130 41.035 5.9345
12.003487 41.512 2.1684
12.090469 41.950 -1.7749
12.178081 42.342 -6.0422
12.266329 42.691 -10.7206
12.355216 42.993 -15.5457
12.444747 43.244 -20.3656
12.534926 43.442 -25.4736
12.625760 43.587 -31.0073
12.717251 43.672 -36.6146
12.809406 43.692 -42.0779
12.902228 43.649 -47.9999
12.995723 43.535 -54.3223
13.089895 43.338 -60.6123
13.184750 43.052 -66.8108
13.280292 42.679 -73.7471
13.376526 42.193 -81.0925
13.473458 41.562 -88.2659
13.571093 40.773 -96.0801
13.669434 39.831 -105.1755
13.768489 38.724 -115.1387
13.868261 37.341 -126.1171
13.968756 35.684 -141.5267
14.069979 34.292 -164.0973
14.171936 33.868 164.5864
14.274632 34.539 124.2984
14.378072 35.829 93.3702
14.482261 37.300 74.3750
14.587206 38.916 59.7881
14.692910 40.590 48.0404
14.799381 42.080 38.5337
14.906624 43.281 29.6810
15.014643 44.279 21.1237
15.123446 45.130 13.4485
15.233036 45.854 6.1578
15.343421 46.444 -1.2756
15.454606 46.922 -8.1550
15.566596 47.298 -14.5831
15.679398 47.568 -21.1735
15.793018 47.740 -27.2821
15.907460 47.817 -32.8169
16.022732 47.797 -38.3304
16.138840 47.689 -43.2705
16.255788 47.491 -47.4371
16.373585 47.211 -51.1813
16.492234 46.876 -54.1042
16.611744 46.487 -55.8876
16.732119 46.084 -56.6556
16.853367 45.756 -56.4348
16.975494 45.521 -54.8325
17.098505 45.425 -52.3248
17.222408 45.542 -49.7222
17.347209 45.872 -46.8948
17.472914 46.336 -44.6069
17.599530 46.884 -43.2959
17.727063 47.497 -42.6705
17.855521 48.091 -42.7064
17.984909 48.641 -43.4086
18.115235 49.144 -44.4559
18.246506 49.587 -45.5941
18.378727 49.972 -46.9102
18.511907 50.318 -48.1166
18.646052 50.631 -49.1426
18.781169 50.926 -50.0531
18.917265 51.226 -50.7798
19.054347 51.534 -51.3346
19.192423 51.857 -51.8869
19.331499 52.201 -52.4404
19.471583 52.554 -53.0450
19.612682 52.903 -53.8230
19.754804 53.242 -54.7175
19.897956 53.553 -55.6479
20.042144 53.830 -56.6745
20.187378 54.072 -57.5670
20.333664 54.276 -58.2618
20.481010 54.461 -58.7240
20.629424 54.648 -58.7505
20.778913 54.852 -58.4257
20.929486 55.116 -57.8459
21.081150 55.448 -56.9915
21.233912 55.858 -56.3350
21.387782 56.346 -55.8617
21.542767 56.877 -55.8816
21.698874 57.426 -56.5042
21.856113 57.960 -57.6047
22.014492 58.444 -59.2587
22.174018 58.865 -61.2287
22.334700 59.202 -63.3486
22.496546 59.457 -65.5481
22.659566 59.633 -67.4368
22.823766 59.745 -69.0829
22.989157 59.827 -70.1175
23.155745 59.903 -70.6261
23.323542 60.029 -70.6005
23.492554 60.224 -70.1283
23.662790 60.515 -69.6622
23.834261 60.894 -69.2509
24.006973 61.324 -69.3620
24.180938 61.779 -69.8821
24.356163 62.206 -70.8701
24.532658 62.592 -72.1263
24.710431 62.918 -73.3629
24.889493 63.202 -74.4337
25.069853 63.474 -74.9745
25.251519 63.790 -75.0925
25.434502 64.205 -74.6420
25.618811 64.761 -74.2985
25.804456 65.474 -74.1491
25.991445 66.293 -75.0903
26.179790 67.177 -76.9775
26.369500 68.038 -80.2139
26.560584 68.838 -84.4064
26.753053 69.524 -89.5722
26.946917 70.076 -95.2378
27.142185 70.476 -101.4521
27.338869 70.717 -107.5834
27.536977 70.798 -113.7764
27.736522 70.729 -119.3331
27.937512 70.532 -124.2850
28.139959 70.242 -128.0959
28.343872 69.943 -130.7245
28.549264 69.707 -131.9700
28.756143 69.649 -132.3795
28.964522 69.795 -132.5352
29.174411 70.141 -133.1854
29.385821 70.579 -135.0178
29.598763 71.027 -137.9711
29.813248 71.385 -142.0534
30.029287 71.604 -146.6697
30.246891 71.655 -151.7045
30.466073 71.530 -156.4332
30.686842 71.252 -160.5712
30.909212 70.854 -163.7258
31.133193 70.422 -165.4854
31.358797 70.050 -166.0056
31.586035 69.823 -165.4177
31.814921 69.783 -164.7128
32.045465 69.880 -164.3945
32.277680 70.039 -164.8115
32.511577 70.158 -165.8515
32.747169 70.204 -166.9299
32.984469 70.185 -167.6584
33.223488 70.167 -167.4460
33.464239 70.272 -166.3619
33.706735 70.573 -164.9539
33.950987 71.093 -163.9685
34.197010 71.745 -164.3898
34.444816 72.409 -166.3046
34.694417 72.992 -169.4630
34.945827 73.431 -173.5118
35.199059 73.709 -177.7577
35.454126 73.853 178.2499
35.711041 73.912 174.8063
35.969818 73.959 172.1511
36.230470 74.077 170.0844
36.493011 74.301 168.0739
36.757455 74.615 165.6500
37.023814 74.964 162.4532
37.292104 75.269 158.3669
37.562338 75.468 153.6960
37.834530 75.533 148.8534
38.108695 75.468 144.2313
38.384846 75.306 140.2203
38.662999 75.114 137.1187
38.943167 74.978 134.8521
39.225365 74.958 132.9761
39.509608 75.062 130.9374
39.795911 75.249 128.2958
40.084289 75.453 124.8796
40.374756 75.617 120.8154
40.667328 75.722 116.4326
40.962020 75.786 112.0327
41.258848 75.858 107.6973
41.557827 75.986 103.2457
41.858972 76.195 98.2844
42.162299 76.470 92.3608
42.467824 76.760 85.1401
42.775564 76.998 76.4985
43.085533 77.126 66.5059
43.397749 77.103 55.3533
43.712227 76.906 43.2910
44.028983 76.530 30.5626
44.348036 75.980 17.3831
44.669400 75.274 3.9459
44.993093 74.441 -9.5673
45.319131 73.523 -22.9745
45.647532 72.566 -36.0735
45.978313 71.628 -48.6204
46.311491 70.769 -60.3196
46.647083 70.054 -70.8499
46.985107 69.553 -79.9563
47.325581 69.326 -87.5998
47.668521 69.403 -94.0585
48.013947 69.748 -99.8282
48.361876 70.272 -105.3246
48.712326 70.876 -110.6339
49.065315 71.504 -115.5187
49.420863 72.161 -119.6424
49.778987 72.902 -122.8746
50.139706 73.785 -125.4961
50.503039 74.821 -128.0908
50.869005 75.972 -131.1868
51.237623 77.187 -135.0013
51.608912 78.443 -139.5391
51.982891 79.734 -144.8657
52.359580 81.049 -151.2513
52.739000 82.343 -159.0532
53.121168 83.541 -168.4778
53.506106 84.561 -179.4521
53.893833 85.337 168.3127
54.284370 85.821 155.2356
54.677737 85.985 141.8300
55.073955 85.821 128.6650
55.473043 85.342 116.3448
55.875024 84.588 105.4618
56.279917 83.632 96.4955
56.687745 82.581 89.6935
57.098527 81.547 84.8254
57.512287 80.598 81.2828
57.929045 79.740 78.5688
58.348822 78.954 76.6105
58.771642 78.251 75.5391
59.197525 77.683 75.2396
59.626495 77.282 75.2001
60.058573 77.029 74.8962
60.493782 76.876 74.1436
60.932145 76.794 73.0096
61.373685 76.778 71.4567
61.818424 76.811 69.2518
62.266386 76.848 66.2168
62.717593 76.835 62.4417
63.172071 76.739 58.2434
63.629842 76.563 53.9717
64.090930 76.328 49.8157
64.555359 76.065 45.8135
65.023154 75.801 41.8901
65.494339 75.559 37.8961
65.968938 75.354 33.5469
66.446976 75.180 28.4672
66.928478 74.999 22.3145
67.413469 74.756 14.9675
67.901975 74.405 6.5498
68.394021 73.935 -2.6814
68.889632 73.377 -12.6552
69.388835 72.793 -23.5657
69.891655 72.246 -35.9155
70.398118 71.794 -50.3162
70.908252 71.483 -67.3101
71.422083 71.346 -87.1744
71.939636 71.367 -109.8733
72.460941 71.447 -134.7351
72.986023 71.430 -160.9890
73.514909 71.144 172.2244
74.047629 70.458 145.0273
74.584208 69.341 116.3540
75.124676 68.044 82.3805
75.669061 67.451 32.8724
76.217390 68.611 -25.2645
76.769692 70.962 -63.6346
77.325997 73.429 -88.4377
77.886333 75.606 -107.4139
78.450730 77.463 -123.4125
79.019216 79.055 -137.7190
79.591822 80.413 -151.2423
80.168577 81.524 -164.5571
80.749512 82.366 -177.7941
81.334656 82.943 169.2390
81.924040 83.275 156.6875
82.517696 83.368 144.4841
83.115653 83.187 132.6055
83.717943 82.670 121.4655
84.324598 81.781 112.1682
84.935649 80.576 106.4468
85.551128 79.300 106.3243
86.171066 78.443 112.2539
86.795497 78.450 120.4790
87.424453 79.242 126.2761
88.057967 80.438 128.6012
88.696071 81.777 128.0033
89.338800 83.111 124.6881
89.986185 84.329 118.9353
90.638262 85.376 111.4186
91.295065 86.258 102.6932
91.956626 86.980 92.7325
92.622982 87.490 81.2118
93.294166 87.686 68.2001
93.970214 87.473 54.4359
94.651161 86.812 41.0858
95.337042 85.734 29.3534
96.027894 84.327 20.1152
96.723752 82.700 13.7639
97.424652 80.964 10.5093
98.130631 79.247 10.7590
98.841726 77.759 14.6255
99.557974 76.758 20.8269
100.279412 76.372 26.8812
101.006078 76.489 30.7167
101.738010 76.856 31.4562
102.475245 77.219 29.0576
103.217823 77.374 24.1466
103.965782 77.201 18.1899
104.719161 76.715 13.1425
105.477999 76.090 10.2969
106.242336 75.551 9.0894
107.012212 75.209 7.8544
107.787666 75.031 5.4398
108.568740 74.907 1.0703
109.355474 74.676 -5.6002
110.147909 74.193 -13.8517
110.946086 73.438 -22.3945
111.750047 72.531 -30.8641
112.559834 71.626 -40.6573
113.375489 70.781 -53.7753
114.197055 69.991 -71.4436
115.024574 69.314 -93.8403
115.858089 68.911 -119.2546
116.697645 68.944 -143.9604
117.543284 69.374 -164.8589
118.395051 69.986 178.8867
119.252990 70.641 167.1855
120.117147 71.345 159.3906
120.987565 72.169 154.6245
121.864291 73.197 151.9961
122.747370 74.422 149.6021
123.636848 75.670 145.4492
124.532771 76.748 139.4497
125.435187 77.578 132.7773
126.344142 78.183 126.4092
127.259684 78.606 120.5955
128.181860 78.884 115.5845
129.110718 79.093 111.9968
130.046308 79.374 110.1421
130.988677 79.841 109.1084
131.937875 80.464 107.2153
132.893951 81.111 103.8894
133.856956 81.679 99.4385
134.826938 82.087 93.9785
135.803950 82.273 88.1646
136.788041 82.272 83.3794
137.779264 82.233 80.4272
138.777669 82.306 78.6487
139.783309 82.522 76.6636
140.796237 82.793 73.6987
141.816504 83.017 69.9451
142.844165 83.133 65.8596
143.879273 83.108 61.6858
144.921881 82.924 58.0701
145.972045 82.670 56.4712
147.029819 82.581 57.6389
148.095257 82.875 59.9465
149.168417 83.557 61.1570
150.249353 84.468 60.1040
151.338121 85.415 56.4038
152.434780 86.245 50.2888
153.539385 86.871 42.4890
154.651995 87.267 33.6960
155.772667 87.431 24.2747
156.901460 87.366 14.5620
158.038432 87.076 4.7876
159.183644 86.564 -4.7214
160.337154 85.862 -13.4531
161.499023 85.009 -22.0378
162.669312 83.918 -31.4521
163.848081 82.412 -40.6118
165.035392 80.395 -46.5857
166.231306 77.987 -45.0981
167.435887 75.693 -33.3181
168.649196 74.291 -18.1360
169.871298 73.958 -7.5544
171.102255 74.192 -1.0889
172.342133 74.550 1.8909
173.590995 74.934 4.6648
174.848907 75.525 8.1716
176.115934 76.212 6.7537
177.392143 76.620 0.2280
178.677599 76.543 -8.8743
179.972371 75.864 -19.8560
181.276525 74.480 -32.0876
182.590129 72.541 -45.0876
183.913252 71.497 -56.5449
185.245964 73.318 103.0386
