* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:10:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 78.863 0.8262
10.166832 78.985 -0.4183
10.240505 79.133 -1.6453
10.314712 79.285 -2.8625
10.389457 79.439 -4.0778
10.464743 79.597 -5.2961
10.540575 79.760 -6.5081
10.616956 79.925 -7.7164
10.693891 80.093 -8.9271
10.771383 80.260 -10.1465
10.849437 80.429 -11.3742
10.928057 80.598 -12.6061
11.007246 80.767 -13.8421
11.087009 80.934 -15.0831
11.167350 81.101 -16.3331
11.248273 81.266 -17.5931
11.329783 81.430 -18.8556
11.411883 81.592 -20.1141
11.494578 81.750 -21.3690
11.577873 81.906 -22.6308
11.661771 82.060 -23.8884
11.746277 82.210 -25.1294
11.831395 82.358 -26.3498
11.917130 82.502 -27.5647
12.003487 82.644 -28.7634
12.090469 82.784 -29.9330
12.178081 82.922 -31.0685
12.266329 83.058 -32.1818
12.355216 83.193 -33.2679
12.444747 83.330 -34.3199
12.534926 83.467 -35.3331
12.625760 83.605 -36.3134
12.717251 83.746 -37.2678
12.809406 83.892 -38.2006
12.902228 84.042 -39.0988
12.995723 84.196 -39.9739
13.089895 84.356 -40.8470
13.184750 84.523 -41.7242
13.280292 84.696 -42.5861
13.376526 84.875 -43.4587
13.473458 85.060 -44.3698
13.571093 85.251 -45.3032
13.669434 85.447 -46.2598
13.768489 85.646 -47.2648
13.868261 85.846 -48.3300
13.968756 86.049 -49.4370
14.069979 86.252 -50.5938
14.171936 86.452 -51.8112
14.274632 86.649 -53.0881
14.378072 86.843 -54.4125
14.482261 87.029 -55.7766
14.587206 87.209 -57.1941
14.692910 87.382 -58.6534
14.799381 87.545 -60.1290
14.906624 87.699 -61.6285
15.014643 87.843 -63.1570
15.123446 87.978 -64.6811
15.233036 88.103 -66.1961
15.343421 88.218 -67.7195
15.454606 88.324 -69.2215
15.566596 88.422 -70.6918
15.679398 88.512 -72.1489
15.793018 88.594 -73.5734
15.907460 88.671 -74.9576
16.022732 88.741 -76.3142
16.138840 88.806 -77.6337
16.255788 88.867 -78.9143
16.373585 88.923 -80.1620
16.492234 88.975 -81.3701
16.611744 89.023 -82.5422
16.732119 89.068 -83.6771
16.853367 89.108 -84.7634
16.975494 89.144 -85.8081
17.098505 89.177 -86.8018
17.222408 89.207 -87.7279
17.347209 89.234 -88.5937
17.472914 89.261 -89.3872
17.599530 89.290 -90.0947
17.727063 89.321 -90.7220
17.855521 89.360 -91.2773
17.984909 89.408 -91.7444
18.115235 89.468 -92.1525
18.246506 89.543 -92.5333
18.378727 89.635 -92.8687
18.511907 89.743 -93.2333
18.646052 89.869 -93.6330
18.781169 90.008 -94.0834
18.917265 90.158 -94.6469
19.054347 90.316 -95.3033
19.192423 90.474 -96.0702
19.331499 90.630 -96.9650
19.471583 90.778 -97.9542
19.612682 90.913 -99.0212
19.754804 91.033 -100.1695
19.897956 91.136 -101.3191
20.042144 91.222 -102.4916
20.187378 91.291 -103.6234
20.333664 91.345 -104.6848
20.481010 91.389 -105.6784
20.629424 91.427 -106.5578
20.778913 91.462 -107.3382
20.929486 91.503 -108.0301
21.081150 91.550 -108.6247
21.233912 91.608 -109.1827
21.387782 91.677 -109.7014
21.542767 91.756 -110.2258
21.698874 91.844 -110.7814
21.856113 91.936 -111.3657
22.014492 92.028 -112.0000
22.174018 92.117 -112.6625
22.334700 92.201 -113.3341
22.496546 92.278 -114.0056
22.659566 92.350 -114.6295
22.823766 92.419 -115.2107
22.989157 92.489 -115.7181
23.155745 92.564 -116.1595
23.323542 92.649 -116.5485
23.492554 92.745 -116.8895
23.662790 92.855 -117.2259
23.834261 92.977 -117.5563
24.006973 93.110 -117.9111
24.180938 93.253 -118.2834
24.356163 93.405 -118.6685
24.532658 93.568 -119.0636
24.710431 93.745 -119.4515
24.889493 93.943 -119.8607
25.069853 94.167 -120.3014
25.251519 94.420 -120.8660
25.434502 94.707 -121.5907
25.618811 95.019 -122.6192
25.804456 95.349 -123.9748
25.991445 95.679 -125.7638
26.179790 95.996 -127.9711
26.369500 96.275 -130.5925
26.560584 96.505 -133.5683
26.753053 96.669 -136.8166
26.946917 96.759 -140.1943
27.142185 96.768 -143.6491
27.338869 96.700 -146.9272
27.536977 96.560 -150.0139
27.736522 96.366 -152.6565
27.937512 96.142 -154.8722
28.139959 95.916 -156.5352
28.343872 95.725 -157.8312
28.549264 95.588 -158.7990
28.756143 95.518 -159.8322
28.964522 95.501 -161.0734
29.174411 95.512 -162.7702
29.385821 95.507 -164.9615
29.598763 95.453 -167.6216
29.813248 95.315 -170.6194
30.029287 95.072 -173.6750
30.246891 94.715 -176.6679
30.466073 94.248 -179.1706
30.686842 93.695 178.9776
30.909212 93.087 178.0627
31.133193 92.488 178.1611
31.358797 91.954 179.1492
31.586035 91.528 -179.1671
31.814921 91.229 -177.3650
32.045465 91.030 -175.6874
32.277680 90.898 -174.3349
32.511577 90.793 -173.2457
32.747169 90.706 -172.2570
32.984469 90.645 -171.2936
33.223488 90.632 -170.3219
33.464239 90.683 -169.5874
33.706735 90.785 -169.2930
33.950987 90.910 -169.6353
34.197010 91.006 -170.6789
34.444816 91.032 -172.2088
34.694417 90.962 -173.9958
34.945827 90.791 -175.7029
35.199059 90.547 -176.9216
35.454126 90.281 -177.5195
35.711041 90.054 -177.5111
35.969818 89.921 -177.1526
36.230470 89.897 -177.0441
36.493011 89.940 -177.6051
36.757455 89.990 -178.9925
37.023814 89.982 178.8293
37.292104 89.866 176.1365
37.562338 89.623 173.3677
37.834530 89.265 170.8596
38.108695 88.820 168.8784
38.384846 88.335 167.5930
38.662999 87.861 166.9691
38.943167 87.434 166.7319
39.225365 87.059 166.5943
39.509608 86.720 166.3718
39.795911 86.393 166.0172
40.084289 86.064 165.6110
40.374756 85.734 165.2845
40.667328 85.428 165.0910
40.962020 85.172 164.9088
41.258848 84.980 164.4818
41.557827 84.846 163.5109
41.858972 84.743 161.7426
42.162299 84.634 159.0188
42.467824 84.479 155.2780
42.775564 84.237 150.5277
43.085533 83.875 144.8203
43.397749 83.358 138.2428
43.712227 82.659 130.9197
44.028983 81.751 122.9998
44.348036 80.617 114.6450
44.669400 79.248 106.0187
44.993093 77.645 97.2647
45.319131 75.830 88.4692
45.647532 73.849 79.6154
45.978313 71.787 70.5551
46.311491 69.778 61.0852
46.647083 68.018 51.2260
46.985107 66.744 41.5785
47.325581 66.148 33.2148
47.668521 66.256 26.8730
48.013947 66.904 22.3691
48.361876 67.833 18.9909
48.712326 68.820 16.2692
49.065315 69.740 14.3011
49.420863 70.583 13.5661
49.778987 71.431 14.4827
50.139706 72.408 16.8853
50.503039 73.581 19.8351
50.869005 74.914 22.1863
51.237623 76.318 23.3656
51.608912 77.728 23.4374
51.982891 79.133 22.6003
52.359580 80.535 20.7792
52.739000 81.909 17.6256
53.121168 83.193 12.8195
53.506106 84.303 6.3323
53.893833 85.166 -1.5632
54.284370 85.727 -10.4106
54.677737 85.958 -19.6385
55.073955 85.853 -28.6159
55.473043 85.430 -36.6879
55.875024 84.742 -43.2402
56.279917 83.870 -47.8152
56.687745 82.922 -50.2735
57.098527 81.997 -50.9545
57.512287 81.143 -50.4304
57.929045 80.363 -49.0221
58.348822 79.657 -46.6796
58.771642 79.063 -43.3409
59.197525 78.628 -39.3207
59.626495 78.368 -35.1885
60.058573 78.256 -31.3136
60.493782 78.264 -27.7600
60.932145 78.384 -24.6240
61.373685 78.597 -22.2321
61.818424 78.852 -20.9231
62.266386 79.075 -20.7081
62.717593 79.213 -21.2704
63.172071 79.249 -22.1735
63.629842 79.195 -23.0619
64.090930 79.079 -23.7559
64.555359 78.937 -24.1995
65.023154 78.800 -24.4515
65.494339 78.699 -24.6959
65.968938 78.645 -25.2632
66.446976 78.625 -26.4816
66.928478 78.607 -28.5616
67.413469 78.558 -31.5667
67.901975 78.453 -35.5154
68.394021 78.275 -40.4694
68.889632 78.003 -46.5317
69.388835 77.617 -53.7317
69.891655 77.109 -62.0623
70.398118 76.511 -71.5337
70.908252 75.895 -82.4926
71.422083 75.354 -95.7386
71.939636 74.941 -112.2540
72.460941 74.627 -132.5486
72.986023 74.312 -156.2631
73.514909 73.861 177.9164
74.047629 73.154 151.3277
74.584208 72.111 124.6015
75.124676 70.772 97.0302
75.669061 69.466 65.0317
76.217390 69.043 23.6688
76.769692 70.179 -20.1755
77.325997 72.316 -52.4119
77.886333 74.605 -74.4649
78.450730 76.733 -90.9375
79.019216 78.651 -104.4527
79.591822 80.350 -116.7129
80.168577 81.790 -128.7170
80.749512 82.935 -140.7490
81.334656 83.785 -152.6335
81.924040 84.368 -164.2251
82.517696 84.700 -175.6953
83.115653 84.754 172.6631
83.717943 84.462 160.7861
84.324598 83.741 149.0537
84.935649 82.519 138.1475
85.551128 80.735 129.0012
86.171066 78.332 123.0730
86.795497 75.340 124.0020
87.424453 72.550 149.8140
88.057967 72.638 -136.3750
88.696071 75.416 -115.2605
89.338800 78.385 -112.6229
89.986185 80.881 -115.5314
90.638262 82.901 -121.2465
91.295065 84.509 -128.7379
91.956626 85.745 -137.6624
92.622982 86.604 -147.9475
93.294166 87.042 -159.3966
93.970214 87.005 -171.4592
94.651161 86.459 176.7734
95.337042 85.405 166.4189
96.027894 83.887 158.5667
96.723752 81.977 154.1276
97.424652 79.764 154.2222
98.130631 77.438 161.1279
98.841726 75.512 177.1931
99.557974 74.758 -162.5281
100.279412 75.237 -148.0721
101.006078 76.222 -141.1401
101.738010 77.153 -139.4255
102.475245 77.779 -141.1832
103.217823 77.979 -144.8586
103.965782 77.730 -148.5703
104.719161 77.122 -150.5361
105.477999 76.337 -149.9534
106.242336 75.561 -147.4574
107.012212 74.895 -144.2061
107.787666 74.359 -140.8245
108.568740 73.940 -137.8396
109.355474 73.575 -136.1025
110.147909 73.149 -135.6555
110.946086 72.614 -135.4341
111.750047 72.035 -135.1584
112.559834 71.456 -136.1753
113.375489 70.810 -139.6790
114.197055 69.994 -146.1824
115.024574 68.918 -156.4569
115.858089 67.497 -171.3722
116.697645 65.710 168.3523
117.543284 63.682 143.0010
118.395051 61.744 116.6792
119.252990 60.295 95.9153
120.117147 59.319 82.3768
120.987565 58.620 79.5876
121.864291 59.120 102.1492
122.747370 61.313 125.9658
123.636848 63.833 130.1223
124.532771 65.984 128.5090
125.435187 67.653 124.7174
126.344142 68.801 119.7288
127.259684 69.438 114.9729
128.181860 69.622 111.7400
129.110718 69.468 111.2914
130.046308 69.184 114.6555
130.988677 68.972 120.4083
131.937875 68.744 123.7432
132.893951 68.156 123.7778
133.856956 67.491 127.3383
134.826938 68.590 176.9899
135.803950 71.649 -129.5073
136.788041 74.502 -132.5161
137.779264 76.359 -142.4844
138.777669 77.356 -150.4435
139.783309 77.905 -153.3525
140.796237 78.416 -151.8348
141.816504 79.113 -148.2533
142.844165 80.047 -144.2499
143.879273 81.151 -141.3176
144.921881 82.241 -141.0807
145.972045 83.114 -143.4500
147.029819 83.670 -147.0168
148.095257 83.914 -150.4208
149.168417 83.911 -152.9978
150.249353 83.706 -154.8567
151.338121 83.314 -155.8518
152.434780 82.790 -154.9954
153.539385 82.291 -151.3862
154.651995 81.967 -146.8751
155.772667 81.698 -144.5991
156.901460 81.232 -143.2744
158.038432 80.573 -138.7925
159.183644 80.037 -130.0215
160.337154 79.918 -119.9475
161.499023 80.221 -111.4756
162.669312 80.703 -106.6059
163.848081 81.014 -106.0473
165.035392 80.903 -107.3586
166.231306 80.369 -107.0899
167.435887 79.580 -104.0106
168.649196 78.697 -98.8946
169.871298 77.807 -92.0545
171.102255 77.009 -83.1044
172.342133 76.479 -71.8843
173.590995 76.468 -58.0211
174.848907 76.983 -47.1239
176.115934 77.489 -44.7219
177.392143 77.462 -47.0301
