* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:10:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 74.538 9.0122
10.166832 74.640 7.8068
10.240505 74.765 6.5630
10.314712 74.893 5.2921
10.389457 75.021 4.0017
10.464743 75.143 2.6891
10.540575 75.254 1.3183
10.616956 75.357 -0.0828
10.693891 75.450 -1.4769
10.771383 75.530 -2.8290
10.849437 75.595 -4.1824
10.928057 75.648 -5.5512
11.007246 75.688 -6.8815
11.087009 75.716 -8.1168
11.167350 75.730 -9.2483
11.248273 75.730 -10.3314
11.329783 75.720 -11.3257
11.411883 75.707 -12.1811
11.494578 75.690 -12.8589
11.577873 75.667 -13.3862
11.661771 75.646 -13.7684
11.746277 75.638 -14.0052
11.831395 75.649 -14.0755
11.917130 75.676 -13.9460
12.003487 75.723 -13.6901
12.090469 75.802 -13.3931
12.178081 75.919 -13.0697
12.266329 76.072 -12.6512
12.355216 76.257 -12.2641
12.444747 76.470 -12.0385
12.534926 76.715 -11.9619
12.625760 76.990 -11.9789
12.717251 77.281 -12.1808
12.809406 77.577 -12.6450
12.902228 77.882 -13.3227
12.995723 78.190 -14.1811
13.089895 78.490 -15.2272
13.184750 78.775 -16.4797
13.280292 79.048 -17.9269
13.376526 79.304 -19.5071
13.473458 79.538 -21.1747
13.571093 79.748 -22.9864
13.669434 79.934 -24.9114
13.768489 80.096 -26.8621
13.868261 80.232 -28.8230
13.968756 80.342 -30.8681
14.069979 80.427 -32.9134
14.171936 80.488 -34.8850
14.274632 80.524 -36.8624
14.378072 80.536 -38.8165
14.482261 80.529 -40.6733
14.587206 80.502 -42.4554
14.692910 80.455 -44.1808
14.799381 80.394 -45.8092
14.906624 80.318 -47.3258
15.014643 80.228 -48.7539
15.123446 80.128 -50.0879
15.233036 80.018 -51.3161
15.343421 79.900 -52.4417
15.454606 79.773 -53.4779
15.566596 79.640 -54.4255
15.679398 79.500 -55.2743
15.793018 79.352 -56.0358
15.907460 79.198 -56.7121
16.022732 79.036 -57.2912
16.138840 78.868 -57.7750
16.255788 78.692 -58.1565
16.373585 78.511 -58.4270
16.492234 78.324 -58.5905
16.611744 78.135 -58.6294
16.732119 77.943 -58.5452
16.853367 77.752 -58.3659
16.975494 77.564 -58.0645
17.098505 77.379 -57.6685
17.222408 77.198 -57.2267
17.347209 77.022 -56.7135
17.472914 76.844 -56.1673
17.599530 76.662 -55.6240
17.727063 76.474 -55.0636
17.855521 76.267 -54.4694
17.984909 76.039 -53.8636
18.115235 75.782 -53.1760
18.246506 75.488 -52.3126
18.378727 75.154 -51.2776
18.511907 74.783 -49.8903
18.646052 74.370 -48.0475
18.781169 73.933 -45.6554
18.917265 73.496 -42.5269
19.054347 73.070 -38.5594
19.192423 72.717 -33.7683
19.331499 72.469 -28.1524
19.471583 72.350 -21.9325
19.612682 72.403 -15.5065
19.754804 72.618 -9.1271
19.897956 72.958 -3.1263
20.042144 73.412 2.3081
20.187378 73.941 7.1864
20.333664 74.516 11.5166
20.481010 75.131 15.3246
20.629424 75.774 18.6981
20.778913 76.443 21.6324
20.929486 77.133 24.0675
21.081150 77.839 26.0823
21.233912 78.545 27.5332
21.387782 79.245 28.5084
21.542767 79.920 28.9894
21.698874 80.558 28.9963
21.856113 81.147 28.6562
22.014492 81.676 27.9922
22.174018 82.141 27.1355
22.334700 82.536 26.2066
22.496546 82.865 25.2512
22.659566 83.131 24.4829
22.823766 83.341 23.8814
22.989157 83.512 23.6635
23.155745 83.657 23.7941
23.323542 83.802 24.3800
23.492554 83.959 25.3850
23.662790 84.158 26.7472
23.834261 84.405 28.4137
24.006973 84.712 30.2190
24.180938 85.081 32.1085
24.356163 85.508 33.9496
24.532658 85.990 35.7030
24.710431 86.525 37.3104
24.889493 87.112 38.7054
25.069853 87.751 39.8482
25.251519 88.436 40.5918
25.434502 89.162 40.9173
25.618811 89.911 40.6301
25.804456 90.667 39.7829
25.991445 91.402 38.2503
26.179790 92.100 36.1463
26.369500 92.736 33.4790
26.560584 93.297 30.3853
26.753053 93.768 26.9510
26.946917 94.144 23.3710
27.142185 94.420 19.6839
27.338869 94.602 16.1899
27.536977 94.696 12.8769
27.736522 94.722 10.0424
27.937512 94.705 7.6566
28.139959 94.674 5.8706
28.343872 94.670 4.5179
28.549264 94.714 3.5595
28.756143 94.825 2.6102
28.964522 94.992 1.4924
29.174411 95.192 -0.0478
29.385821 95.381 -2.1144
29.598763 95.527 -4.6773
29.813248 95.590 -7.6591
30.029287 95.549 -10.7827
30.246891 95.389 -13.9598
30.466073 95.110 -16.7802
30.686842 94.724 -19.0649
30.909212 94.254 -20.5485
31.133193 93.750 -21.0014
31.358797 93.266 -20.4304
31.586035 92.856 -18.8465
31.814921 92.569 -16.7004
32.045465 92.411 -14.3280
32.277680 92.369 -12.0639
32.511577 92.406 -10.1290
32.747169 92.496 -8.5128
32.984469 92.621 -7.2069
33.223488 92.776 -6.1696
33.464239 92.954 -5.4538
33.706735 93.144 -5.0974
33.950987 93.327 -5.1325
34.197010 93.478 -5.5110
34.444816 93.581 -6.0583
34.694417 93.633 -6.6054
34.945827 93.647 -6.9354
35.199059 93.661 -6.8897
35.454126 93.714 -6.5534
35.711041 93.838 -6.1286
35.969818 94.043 -5.9463
36.230470 94.298 -6.4099
36.493011 94.554 -7.6535
36.757455 94.760 -9.6275
37.023814 94.875 -12.1823
37.292104 94.872 -15.0359
37.562338 94.748 -17.8365
37.834530 94.518 -20.3373
38.108695 94.209 -22.3517
38.384846 93.856 -23.7665
38.662999 93.494 -24.6011
38.943167 93.150 -25.0203
39.225365 92.832 -25.1944
39.509608 92.533 -25.2396
39.795911 92.245 -25.2023
40.084289 91.963 -25.0636
40.374756 91.689 -24.7825
40.667328 91.435 -24.3660
40.962020 91.210 -23.9062
41.258848 91.015 -23.5421
41.557827 90.839 -23.4086
41.858972 90.665 -23.5953
42.162299 90.467 -24.1287
42.467824 90.225 -24.9748
42.775564 89.916 -26.0507
43.085533 89.524 -27.2292
43.397749 89.035 -28.3336
43.712227 88.442 -29.1309
44.028983 87.752 -29.3472
44.348036 86.990 -28.7084
44.669400 86.199 -27.0148
44.993093 85.437 -24.2383
45.319131 84.759 -20.5817
45.647532 84.201 -16.4255
45.978313 83.765 -12.1697
46.311491 83.432 -8.0888
46.647083 83.172 -4.3000
46.985107 82.960 -0.8147
47.325581 82.775 2.4082
47.668521 82.605 5.4342
48.013947 82.445 8.3317
48.361876 82.294 11.1458
48.712326 82.153 13.8877
49.065315 82.024 16.5640
49.420863 81.906 19.2219
49.778987 81.807 21.9481
50.139706 81.750 24.7863
50.503039 81.764 27.6250
50.869005 81.864 30.1759
51.237623 82.039 32.1061
51.608912 82.258 33.2134
51.982891 82.490 33.4597
52.359580 82.716 32.8439
52.739000 82.923 31.2635
53.121168 83.082 28.5181
53.506106 83.141 24.4579
53.893833 83.028 19.1270
54.284370 82.674 12.8236
54.677737 82.023 6.1034
55.073955 81.046 -0.2623
55.473043 79.760 -5.3484
55.875024 78.245 -8.2408
56.279917 76.649 -8.3676
56.687745 75.166 -6.0495
57.098527 73.950 -2.3534
57.512287 73.083 2.0054
57.929045 72.659 6.7626
58.348822 72.779 10.8720
58.771642 73.383 12.4742
59.197525 74.232 10.7207
59.626495 75.115 6.3238
60.058573 75.957 0.4767
60.493782 76.772 -5.9542
60.932145 77.587 -12.6988
61.373685 78.381 -19.8253
61.818424 79.092 -27.3335
62.266386 79.655 -34.8990
62.717593 80.045 -42.0027
63.172071 80.283 -48.0667
63.629842 80.434 -52.7156
64.090930 80.569 -55.9801
64.555359 80.739 -58.2377
65.023154 80.949 -59.9677
65.494339 81.178 -61.4829
65.968938 81.394 -62.9366
66.446976 81.571 -64.3812
66.928478 81.680 -65.7975
67.413469 81.697 -67.0483
67.901975 81.613 -67.8857
68.394021 81.443 -68.0205
68.889632 81.218 -67.2779
69.388835 80.976 -65.6628
69.891655 80.745 -63.3380
70.398118 80.531 -60.5341
70.908252 80.326 -57.3257
71.422083 80.126 -53.5213
71.939636 79.962 -48.8814
72.460941 79.883 -43.5993
72.986023 79.889 -38.3328
73.514909 79.923 -33.3927
74.047629 79.953 -28.0839
74.584208 80.051 -21.4722
75.124676 80.351 -13.8858
75.669061 80.869 -6.9534
76.217390 81.476 -1.7271
76.769692 82.050 2.2484
77.325997 82.557 5.8918
77.886333 83.045 9.8801
78.450730 83.593 14.3957
79.019216 84.265 18.9503
79.591822 85.039 22.4579
80.168577 85.807 24.3248
80.749512 86.476 25.0181
81.334656 87.045 25.4608
81.924040 87.577 25.9704
82.517696 88.103 26.0072
83.115653 88.572 24.9266
83.717943 88.898 22.6678
84.324598 89.012 19.7231
84.935649 88.890 16.7739
85.551128 88.550 14.5285
86.171066 88.058 13.5585
86.795497 87.513 13.9522
87.424453 86.990 15.0904
88.057967 86.489 16.0863
88.696071 85.931 16.4918
89.338800 85.213 16.5464
89.986185 84.256 17.0329
90.638262 83.032 19.0693
91.295065 81.589 24.1217
91.956626 80.132 34.5418
92.622982 79.186 52.5501
93.294166 79.300 72.5460
93.970214 80.182 84.8142
94.651161 81.107 89.8965
95.337042 81.736 92.0301
96.027894 82.057 93.7701
96.723752 82.163 95.9865
97.424652 82.135 98.7114
98.130631 82.019 101.7616
98.841726 81.829 105.0447
99.557974 81.573 108.6302
100.279412 81.262 112.5733
101.006078 80.907 116.9059
101.738010 80.524 121.8043
102.475245 80.147 127.2368
103.217823 79.783 132.7183
103.965782 79.400 138.1183
104.719161 78.986 143.9734
105.477999 78.575 150.5563
106.242336 78.194 157.3730
107.012212 77.808 163.9008
107.787666 77.355 170.4854
108.568740 76.835 178.2824
109.355474 76.352 -171.8123
110.147909 76.064 -160.0202
110.946086 76.080 -147.5648
111.750047 76.385 -136.0691
112.559834 76.860 -126.3118
113.375489 77.390 -118.1869
114.197055 77.888 -111.4810
115.024574 78.306 -105.6824
115.858089 78.638 -100.3623
116.697645 78.885 -95.4273
117.543284 79.053 -90.5614
118.395051 79.164 -85.5946
119.252990 79.235 -80.5834
120.117147 79.276 -75.4380
120.987565 79.293 -70.2626
121.864291 79.286 -64.9307
122.747370 79.281 -59.1342
123.636848 79.317 -53.0521
124.532771 79.412 -46.9733
125.435187 79.574 -41.2049
126.344142 79.790 -36.1110
127.259684 80.016 -32.2322
128.181860 80.172 -29.9284
129.110718 80.187 -28.8054
130.046308 80.018 -28.6588
130.988677 79.600 -29.6920
131.937875 78.839 -31.2806
132.893951 77.691 -31.9926
133.856956 76.183 -30.7925
134.826938 74.365 -27.0415
135.803950 72.319 -19.2027
136.788041 70.278 -5.0881
137.779264 68.613 12.3318
138.777669 67.381 25.6373
139.783309 66.183 35.4088
140.796237 64.685 45.8345
141.816504 62.844 59.5659
142.844165 61.064 79.6259
143.879273 60.950 132.3192
144.921881 63.451 -164.6426
145.972045 66.564 -148.7434
147.029819 69.149 -144.5863
148.095257 71.099 -143.3439
149.168417 72.495 -143.2328
150.249353 73.429 -143.1448
151.338121 74.022 -142.2498
152.434780 74.376 -140.5820
153.539385 74.575 -138.1116
154.651995 74.680 -135.2329
155.772667 74.649 -133.5057
156.901460 74.299 -133.6299
158.038432 73.471 -133.2074
159.183644 72.200 -129.2411
160.337154 70.689 -119.7388
161.499023 69.284 -104.5734
162.669312 68.380 -85.7129
163.848081 68.271 -64.3405
165.035392 68.834 -47.6465
166.231306 69.580 -37.1299
167.435887 70.214 -29.0876
168.649196 70.720 -21.4143
169.871298 71.162 -14.0127
171.102255 71.606 -6.7824
172.342133 72.061 -0.9633
173.590995 72.431 2.2418
174.848907 72.588 2.9156
176.115934 72.408 1.0663
177.392143 71.778 -2.1255
178.677599 70.709 -4.4973
179.972371 69.347 -5.4132
181.276525 67.841 -6.8268
