* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:23:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-r1-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 43.296 -12.5527
10.166832 43.457 -14.3474
10.240505 43.652 -16.3188
10.314712 43.850 -18.2483
10.389457 44.035 -19.9372
10.464743 44.156 -21.2710
10.540575 44.169 -22.5941
10.616956 44.115 -23.7801
10.693891 44.012 -24.5628
10.771383 43.866 -24.6348
10.849437 43.647 -24.0243
10.928057 43.369 -22.7870
11.007246 43.116 -20.7180
11.087009 42.980 -17.6503
11.167350 42.998 -13.4553
11.248273 43.139 -8.2099
11.329783 43.420 -2.5487
11.411883 43.879 2.6871
11.494578 44.560 7.0400
11.577873 45.464 10.8557
11.661771 46.487 13.6045
11.746277 47.515 14.9930
11.831395 48.491 15.1268
11.917130 49.457 14.6454
12.003487 50.397 13.5572
12.090469 51.279 11.8218
12.178081 52.086 9.4531
12.266329 52.829 6.6995
12.355216 53.512 3.6935
12.444747 54.136 0.4638
12.534926 54.700 -3.1127
12.625760 55.203 -6.9716
12.717251 55.649 -10.9136
12.809406 56.040 -14.8645
12.902228 56.374 -19.1174
12.995723 56.651 -23.5514
13.089895 56.872 -27.9284
13.184750 57.037 -32.2515
13.280292 57.145 -36.8676
13.376526 57.192 -41.5237
13.473458 57.178 -45.9426
13.571093 57.102 -50.4359
13.669434 56.961 -55.0688
13.768489 56.749 -59.5176
13.868261 56.463 -63.6469
13.968756 56.101 -67.8319
14.069979 55.655 -71.8443
14.171936 55.116 -75.3061
14.274632 54.477 -78.3593
14.378072 53.747 -80.9523
14.482261 52.924 -82.7140
14.587206 51.969 -83.1680
14.692910 50.959 -82.1059
14.799381 50.063 -79.3775
14.906624 49.347 -74.3469
15.014643 48.837 -66.8223
15.123446 48.690 -58.6018
15.233036 49.051 -51.2985
15.343421 49.815 -45.3405
15.454606 50.698 -41.5541
15.566596 51.548 -39.9026
15.679398 52.397 -39.7200
15.793018 53.171 -40.4213
15.907460 53.814 -41.8433
16.022732 54.349 -43.9034
16.138840 54.790 -46.0323
16.255788 55.139 -48.1695
16.373585 55.403 -50.4372
16.492234 55.608 -52.4043
16.611744 55.757 -54.0467
16.732119 55.867 -55.4601
16.853367 55.971 -56.4572
16.975494 56.076 -56.9880
17.098505 56.201 -57.2064
17.222408 56.377 -57.2142
17.347209 56.605 -56.9323
17.472914 56.883 -56.6683
17.599530 57.214 -56.5795
17.727063 57.588 -56.5904
17.855521 57.977 -56.9196
17.984909 58.373 -57.5722
18.115235 58.760 -58.4586
18.246506 59.117 -59.5799
18.378727 59.442 -60.9343
18.511907 59.725 -62.3210
18.646052 59.961 -63.7645
18.781169 60.153 -65.1897
18.917265 60.303 -66.3980
19.054347 60.413 -67.4776
19.192423 60.495 -68.2444
19.331499 60.556 -68.6619
19.471583 60.610 -68.7252
19.612682 60.679 -68.3411
19.754804 60.772 -67.5425
19.897956 60.919 -66.4128
20.042144 61.130 -64.9348
20.187378 61.419 -63.3688
20.333664 61.797 -61.7998
20.481010 62.254 -60.4035
20.629424 62.778 -59.4461
20.778913 63.355 -58.8648
20.929486 63.952 -58.9069
21.081150 64.556 -59.4442
21.233912 65.138 -60.4937
21.387782 65.684 -62.0303
21.542767 66.180 -63.8582
21.698874 66.614 -65.9943
21.856113 66.983 -68.2308
22.014492 67.285 -70.4585
22.174018 67.525 -72.6144
22.334700 67.715 -74.4458
22.496546 67.868 -76.0103
22.659566 68.015 -77.0913
22.823766 68.175 -77.7764
22.989157 68.386 -78.1308
23.155745 68.659 -78.2236
23.323542 69.008 -78.4311
23.492554 69.421 -78.7530
23.662790 69.869 -79.5492
23.834261 70.332 -80.7134
24.006973 70.766 -82.2932
24.180938 71.159 -84.1533
24.356163 71.489 -86.0339
24.532658 71.763 -87.8435
24.710431 71.997 -89.1853
24.889493 72.227 -90.0753
25.069853 72.509 -90.2414
25.251519 72.895 -90.0505
25.434502 73.434 -89.5617
25.618811 74.122 -89.5987
25.804456 74.942 -90.2471
25.991445 75.816 -92.1511
26.179790 76.698 -95.0723
26.369500 77.516 -99.1478
26.560584 78.243 -104.0280
26.753053 78.843 -109.6299
26.946917 79.305 -115.5556
27.142185 79.619 -121.8344
27.338869 79.782 -127.8955
27.536977 79.797 -133.8719
27.736522 79.678 -139.1307
27.937512 79.452 -143.7125
28.139959 79.157 -147.1402
28.343872 78.874 -149.4548
28.549264 78.668 -150.5113
28.756143 78.634 -150.9052
28.964522 78.788 -151.1402
29.174411 79.115 -151.8725
29.385821 79.522 -153.6408
29.598763 79.941 -156.3923
29.813248 80.290 -160.1131
30.029287 80.528 -164.3269
30.246891 80.634 -168.9227
30.466073 80.607 -173.3506
30.686842 80.462 -177.4108
30.909212 80.227 179.1376
31.133193 79.952 176.5558
31.358797 79.687 174.7637
31.586035 79.478 173.7529
31.814921 79.357 173.1245
32.045465 79.322 172.6477
32.277680 79.354 172.1209
32.511577 79.425 171.4507
32.747169 79.522 170.7434
32.984469 79.646 170.0483
33.223488 79.816 169.4322
33.464239 80.051 168.7296
33.706735 80.351 167.7567
33.950987 80.702 166.3216
34.197010 81.063 164.2369
34.444816 81.393 161.5906
34.694417 81.665 158.5168
34.945827 81.860 155.2130
35.199059 81.985 151.9973
35.454126 82.067 149.0104
35.711041 82.138 146.3038
35.969818 82.232 143.8373
36.230470 82.370 141.3416
36.493011 82.540 138.5536
36.757455 82.713 135.3266
37.023814 82.850 131.5989
37.292104 82.911 127.4617
37.562338 82.870 123.1981
37.834530 82.726 119.0768
38.108695 82.492 115.3389
38.384846 82.200 112.1951
38.662999 81.893 109.7444
38.943167 81.617 107.8575
39.225365 81.395 106.2777
39.509608 81.222 104.7516
39.795911 81.077 103.1071
40.084289 80.928 101.3088
40.374756 80.751 99.4661
40.667328 80.538 97.7791
40.962020 80.299 96.4344
41.258848 80.058 95.5443
41.557827 79.842 95.1392
41.858972 79.680 95.1673
42.162299 79.596 95.5006
42.467824 79.606 95.9468
42.775564 79.715 96.2634
43.085533 79.915 96.1896
43.397749 80.175 95.5038
43.712227 80.458 94.0885
44.028983 80.720 91.9628
44.348036 80.931 89.2551
44.669400 81.069 86.1520
44.993093 81.128 82.8474
45.319131 81.109 79.5089
45.647532 81.021 76.2628
45.978313 80.874 73.1983
46.311491 80.680 70.3811
46.647083 80.449 67.8652
46.985107 80.198 65.6874
47.325581 79.943 63.8443
47.668521 79.702 62.2683
48.013947 79.482 60.8331
48.361876 79.280 59.4047
48.712326 79.079 57.9155
49.065315 78.862 56.4100
49.420863 78.622 55.0246
49.778987 78.368 53.9060
50.139706 78.124 53.1084
50.503039 77.911 52.5377
50.869005 77.736 51.9965
51.237623 77.586 51.3159
51.608912 77.434 50.4763
51.982891 77.263 49.6116
52.359580 77.075 48.8984
52.739000 76.890 48.4122
53.121168 76.723 48.0621
53.506106 76.574 47.6752
53.893833 76.421 47.1668
54.284370 76.241 46.6425
54.677737 76.028 46.3562
55.073955 75.807 46.5302
55.473043 75.617 47.1613
55.875024 75.480 47.9914
56.279917 75.385 48.7251
56.687745 75.293 49.3003
57.098527 75.176 50.0206
57.512287 75.053 51.4089
57.929045 75.001 53.8512
58.348822 75.128 57.2288
58.771642 75.508 60.7996
59.197525 76.129 63.6157
59.626495 76.922 65.0834
60.058573 77.806 65.0223
60.493782 78.714 63.3939
60.932145 79.584 60.2054
61.373685 80.355 55.5751
61.818424 80.973 49.7786
62.266386 81.405 43.2662
62.717593 81.645 36.5110
63.172071 81.719 29.9681
63.629842 81.675 23.9558
64.090930 81.568 18.5472
64.555359 81.450 13.6196
65.023154 81.353 8.9210
65.494339 81.290 4.1899
65.968938 81.260 -0.8226
66.446976 81.252 -6.3123
66.928478 81.252 -12.4468
67.413469 81.239 -19.3668
67.901975 81.194 -27.1830
68.394021 81.094 -35.9570
68.889632 80.924 -45.7159
69.388835 80.684 -56.4083
69.891655 80.399 -68.0802
70.398118 80.121 -80.9067
70.908252 79.906 -95.2979
71.422083 79.790 -111.6733
71.939636 79.769 -130.1980
72.460941 79.807 -150.3916
72.986023 79.859 -171.3134
73.514909 79.895 168.4313
74.047629 79.921 150.0549
74.584208 79.999 134.4117
75.124676 80.230 121.6035
75.669061 80.685 110.9178
76.217390 81.335 101.1536
76.769692 82.083 91.4564
77.325997 82.835 81.5038
77.886333 83.534 71.2594
78.450730 84.141 60.6959
79.019216 84.618 49.8218
79.591822 84.930 38.8812
80.168577 85.073 28.3086
80.749512 85.088 18.5656
81.334656 85.058 9.9243
81.924040 85.076 2.1857
82.517696 85.197 -5.2720
83.115653 85.399 -13.1838
83.717943 85.598 -21.9534
84.324598 85.707 -31.3773
84.935649 85.688 -40.8429
85.551128 85.571 -49.7241
86.171066 85.436 -57.7369
86.795497 85.365 -65.0621
87.424453 85.410 -72.1337
88.057967 85.585 -79.4471
88.696071 85.861 -87.6204
89.338800 86.148 -97.2314
89.986185 86.312 -108.3574
90.638262 86.238 -120.4012
91.295065 85.875 -132.3763
91.956626 85.244 -143.2928
92.622982 84.417 -152.2683
93.294166 83.541 -158.3567
93.970214 82.897 -161.0936
94.651161 82.775 -162.4772
95.337042 83.098 -166.2205
96.027894 83.478 -173.3794
96.723752 83.640 177.7053
97.424652 83.540 168.8140
98.130631 83.243 160.7561
98.841726 82.814 153.7078
99.557974 82.300 147.8400
100.279412 81.764 143.3936
101.006078 81.293 140.5027
101.738010 80.995 138.9307
102.475245 80.930 137.5544
103.217823 81.011 135.0332
103.965782 81.081 131.5024
104.719161 81.096 128.3201
105.477999 81.164 126.3196
106.242336 81.414 124.9515
107.012212 81.872 123.0284
107.787666 82.453 119.5778
108.568740 83.008 114.1628
109.355474 83.400 107.1393
110.147909 83.556 99.4351
110.946086 83.494 92.0400
111.750047 83.294 85.4209
112.559834 83.023 79.0570
113.375489 82.645 72.0430
114.197055 82.041 64.4829
115.024574 81.139 57.5867
115.858089 79.972 52.3441
116.697645 78.593 48.7745
117.543284 77.000 47.3557
118.395051 75.270 50.7788
119.252990 73.866 63.0979
120.117147 73.554 80.8059
120.987565 74.256 91.1456
121.864291 75.162 94.2190
122.747370 75.990 96.2408
123.636848 76.892 98.9058
124.532771 77.922 100.0215
125.435187 78.955 98.3976
126.344142 79.867 94.3091
127.259684 80.556 87.9678
128.181860 80.923 79.8069
129.110718 80.899 70.6504
130.046308 80.418 60.9719
130.988677 79.356 51.5626
131.937875 77.632 45.5767
132.893951 75.738 52.8663
133.856956 75.677 94.3809
134.826938 78.049 120.2582
135.803950 80.649 118.0820
136.788041 82.519 107.3152
137.779264 83.597 94.4839
138.777669 84.058 82.7285
139.783309 84.152 73.2128
140.796237 84.057 65.1245
141.816504 83.792 57.4473
142.844165 83.308 50.4023
143.879273 82.609 45.0929
144.921881 81.810 42.5792
145.972045 81.105 42.5688
147.029819 80.643 43.9512
148.095257 80.534 46.3370
149.168417 80.851 48.5789
150.249353 81.480 47.9412
151.338121 82.153 43.5383
152.434780 82.693 36.3805
153.539385 83.009 26.7295
154.651995 83.016 14.6470
155.772667 82.643 0.3826
156.901460 81.848 -15.9731
158.038432 80.660 -34.6730
159.183644 79.267 -57.2999
160.337154 78.140 -86.8785
161.499023 77.931 -123.6266
162.669312 78.689 -158.8677
163.848081 79.826 174.0161
165.035392 80.928 154.3962
166.231306 81.885 140.0775
167.435887 82.691 129.2714
168.649196 83.383 121.0244
169.871298 84.008 114.5758
171.102255 84.615 109.5144
172.342133 85.256 105.4683
173.590995 85.923 101.3776
174.848907 86.547 96.7051
176.115934 87.131 92.5460
177.392143 87.791 89.4294
178.677599 88.584 85.9886
179.972371 89.431 80.9736
181.276525 90.203 74.1028
182.590129 90.790 65.5984
183.913252 91.103 55.8612
185.245964 91.062 45.4321
186.588332 90.595 35.2150
187.940428 89.678 26.9662
