* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:24:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l1-r1-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 74.583 9.2427
10.166832 74.690 7.9525
10.240505 74.821 6.6166
10.314712 74.955 5.2513
10.389457 75.089 3.8692
10.464743 75.214 2.4696
10.540575 75.327 1.0078
10.616956 75.430 -0.4852
10.693891 75.521 -1.9663
10.771383 75.598 -3.3950
10.849437 75.658 -4.8194
10.928057 75.704 -6.2571
11.007246 75.737 -7.6492
11.087009 75.755 -8.9337
11.167350 75.759 -10.0997
11.248273 75.747 -11.2076
11.329783 75.725 -12.2148
11.411883 75.699 -13.0676
11.494578 75.669 -13.7227
11.577873 75.632 -14.2070
11.661771 75.598 -14.5281
11.746277 75.579 -14.6880
11.831395 75.582 -14.6653
11.917130 75.602 -14.4203
12.003487 75.647 -14.0365
12.090469 75.726 -13.6126
12.178081 75.848 -13.1684
12.266329 76.011 -12.6278
12.355216 76.208 -12.1313
12.444747 76.436 -11.8226
12.534926 76.697 -11.6890
12.625760 76.990 -11.6687
12.717251 77.299 -11.8558
12.809406 77.611 -12.3299
12.902228 77.931 -13.0402
12.995723 78.252 -13.9472
13.089895 78.563 -15.0524
13.184750 78.857 -16.3739
13.280292 79.135 -17.9034
13.376526 79.395 -19.5706
13.473458 79.630 -21.3229
13.571093 79.839 -23.2248
13.669434 80.022 -25.2444
13.768489 80.179 -27.2850
13.868261 80.307 -29.3297
13.968756 80.408 -31.4616
14.069979 80.481 -33.5893
14.171936 80.528 -35.6310
14.274632 80.549 -37.6743
14.378072 80.544 -39.6880
14.482261 80.519 -41.5901
14.587206 80.471 -43.4035
14.692910 80.403 -45.1482
14.799381 80.319 -46.7801
14.906624 80.221 -48.2794
15.014643 80.108 -49.6702
15.123446 79.985 -50.9502
15.233036 79.855 -52.1038
15.343421 79.717 -53.1304
15.454606 79.574 -54.0538
15.566596 79.427 -54.8765
15.679398 79.276 -55.5809
15.793018 79.123 -56.1941
15.907460 78.967 -56.7247
16.022732 78.808 -57.1536
16.138840 78.646 -57.4986
16.255788 78.481 -57.7602
16.373585 78.314 -57.9262
16.492234 78.145 -58.0105
16.611744 77.974 -58.0026
16.732119 77.802 -57.9023
16.853367 77.631 -57.7346
16.975494 77.461 -57.4817
17.098505 77.291 -57.1612
17.222408 77.121 -56.8070
17.347209 76.950 -56.4028
17.472914 76.775 -55.9657
17.599530 76.590 -55.5170
17.727063 76.393 -55.0408
17.855521 76.176 -54.5016
17.984909 75.935 -53.9142
18.115235 75.665 -53.2109
18.246506 75.360 -52.2943
18.378727 75.018 -51.1606
18.511907 74.645 -49.6508
18.646052 74.238 -47.6618
18.781169 73.816 -45.1134
18.917265 73.405 -41.8639
19.054347 73.016 -37.8259
19.192423 72.702 -33.0535
19.331499 72.492 -27.5799
19.471583 72.404 -21.6065
19.612682 72.467 -15.4760
19.754804 72.675 -9.3993
19.897956 72.995 -3.6169
20.042144 73.421 1.7019
20.187378 73.921 6.5642
20.333664 74.475 10.9668
20.481010 75.078 14.8932
20.629424 75.719 18.3883
20.778913 76.395 21.4364
20.929486 77.095 23.9409
21.081150 77.814 25.9872
21.233912 78.531 27.4373
21.387782 79.240 28.3824
21.542767 79.919 28.8301
21.698874 80.557 28.8053
21.856113 81.143 28.4469
22.014492 81.668 27.7895
22.174018 82.128 26.9583
22.334700 82.521 26.0812
22.496546 82.849 25.1961
22.659566 83.118 24.5088
22.823766 83.336 23.9968
22.989157 83.520 23.8539
23.155745 83.681 24.0454
23.323542 83.844 24.6549
23.492554 84.022 25.6472
23.662790 84.237 26.9598
23.834261 84.496 28.5463
24.006973 84.809 30.2694
24.180938 85.179 32.0818
24.356163 85.603 33.8783
24.532658 86.084 35.6133
24.710431 86.620 37.2279
24.889493 87.211 38.6357
25.069853 87.859 39.7779
25.251519 88.556 40.4928
25.434502 89.292 40.7525
25.618811 90.048 40.3711
25.804456 90.807 39.4046
25.991445 91.539 37.7543
26.179790 92.229 35.5348
26.369500 92.851 32.7794
26.560584 93.397 29.6198
26.753053 93.851 26.1564
26.946917 94.210 22.5776
27.142185 94.470 18.9287
27.338869 94.640 15.5000
27.536977 94.727 12.2825
27.736522 94.752 9.5541
27.937512 94.742 7.2761
28.139959 94.727 5.5756
28.343872 94.743 4.2591
28.549264 94.812 3.2740
28.756143 94.945 2.2263
28.964522 95.128 0.9585
29.174411 95.335 -0.7671
29.385821 95.523 -3.0150
29.598763 95.659 -5.7484
29.813248 95.709 -8.8699
30.029287 95.651 -12.1042
30.246891 95.474 -15.3630
30.466073 95.176 -18.2393
30.686842 94.774 -20.5616
30.909212 94.288 -22.0654
31.133193 93.768 -22.5337
31.358797 93.270 -21.9749
31.586035 92.845 -20.4032
31.814921 92.542 -18.2668
32.045465 92.366 -15.8903
32.277680 92.305 -13.6001
32.511577 92.324 -11.6066
32.747169 92.398 -9.9009
32.984469 92.511 -8.4798
33.223488 92.660 -7.3125
33.464239 92.838 -6.4693
33.706735 93.031 -5.9989
33.950987 93.222 -5.9414
34.197010 93.383 -6.2514
34.444816 93.498 -6.7513
34.694417 93.562 -7.2708
34.945827 93.589 -7.5929
35.199059 93.615 -7.5625
35.454126 93.680 -7.2669
35.711041 93.813 -6.9055
35.969818 94.023 -6.8010
36.230470 94.279 -7.3416
36.493011 94.532 -8.6490
36.757455 94.732 -10.6682
37.023814 94.840 -13.2479
37.292104 94.831 -16.1066
37.562338 94.702 -18.8962
37.834530 94.468 -21.3736
38.108695 94.157 -23.3562
38.384846 93.804 -24.7364
38.662999 93.444 -25.5401
38.943167 93.103 -25.9364
39.225365 92.787 -26.0955
39.509608 92.491 -26.1303
39.795911 92.206 -26.0828
40.084289 91.925 -25.9313
40.374756 91.655 -25.6361
40.667328 91.405 -25.2113
40.962020 91.185 -24.7591
41.258848 90.995 -24.4258
41.557827 90.822 -24.3454
41.858972 90.644 -24.5974
42.162299 90.438 -25.1903
42.467824 90.182 -26.0688
42.775564 89.857 -27.1308
43.085533 89.448 -28.2374
43.397749 88.946 -29.2119
43.712227 88.349 -29.8378
44.028983 87.667 -29.8750
44.348036 86.926 -29.0989
44.669400 86.165 -27.3666
44.993093 85.434 -24.6875
45.319131 84.777 -21.2482
45.647532 84.221 -17.3497
45.978313 83.770 -13.2887
46.311491 83.413 -9.2767
46.647083 83.132 -5.4408
46.985107 82.910 -1.8571
47.325581 82.728 1.4411
47.668521 82.565 4.4767
48.013947 82.412 7.3238
48.361876 82.262 10.0671
48.712326 82.121 12.7576
49.065315 81.991 15.4115
49.420863 81.876 18.0481
49.778987 81.785 20.7142
50.139706 81.733 23.4391
50.503039 81.748 26.1405
50.869005 81.845 28.5747
51.237623 82.020 30.4112
51.608912 82.246 31.3827
51.982891 82.486 31.3624
52.359580 82.707 30.3128
52.739000 82.879 28.1957
53.121168 82.969 24.9503
53.506106 82.931 20.5620
53.893833 82.708 15.1390
54.284370 82.246 8.9738
54.677737 81.500 2.5742
55.073955 80.449 -3.3487
55.473043 79.113 -7.9298
55.875024 77.573 -10.3188
56.279917 75.979 -10.0245
56.687745 74.525 -7.4605
57.098527 73.354 -3.7564
57.512287 72.538 0.3367
57.929045 72.150 4.5703
58.348822 72.279 8.0783
58.771642 72.879 9.2376
59.197525 73.737 7.1977
59.626495 74.648 2.5162
60.058573 75.520 -3.7053
60.493782 76.352 -10.5668
60.932145 77.162 -17.6643
61.373685 77.937 -24.9491
61.818424 78.632 -32.3969
62.266386 79.193 -39.7580
62.717593 79.593 -46.6081
63.172071 79.850 -52.4355
63.629842 80.021 -56.8794
64.090930 80.176 -59.9522
64.555359 80.367 -62.0278
65.023154 80.600 -63.6236
65.494339 80.849 -65.0942
65.968938 81.074 -66.5853
66.446976 81.245 -68.0919
66.928478 81.335 -69.5347
67.413469 81.327 -70.7602
67.901975 81.214 -71.5418
68.394021 81.010 -71.6091
68.889632 80.744 -70.7732
69.388835 80.455 -69.0021
69.891655 80.173 -66.4283
70.398118 79.912 -63.2687
70.908252 79.668 -59.6020
71.422083 79.444 -55.2903
71.939636 79.267 -50.2029
72.460941 79.167 -44.5720
72.986023 79.138 -38.8193
73.514909 79.153 -32.8398
74.047629 79.252 -25.8383
74.584208 79.561 -17.5393
75.124676 80.151 -9.4522
75.669061 80.911 -3.4057
76.217390 81.645 0.4355
76.769692 82.252 3.2223
77.325997 82.744 6.0776
77.886333 83.202 9.6099
78.450730 83.719 13.7913
79.019216 84.350 17.9666
79.591822 85.062 21.1533
80.168577 85.758 22.9920
80.749512 86.375 23.9960
81.334656 86.928 24.9082
81.924040 87.477 25.8053
82.517696 88.036 26.0506
83.115653 88.544 25.0397
83.717943 88.910 22.7387
84.324598 89.060 19.6193
84.935649 88.962 16.3840
85.551128 88.629 13.8213
86.171066 88.131 12.5840
86.795497 87.572 12.7767
87.424453 87.032 13.7461
88.057967 86.506 14.6011
88.696071 85.914 14.9360
89.338800 85.156 15.0331
89.986185 84.153 15.7159
90.638262 82.885 18.2180
91.295065 81.425 24.2688
91.956626 80.048 36.3274
92.622982 79.325 55.1582
93.294166 79.639 73.3574
93.970214 80.542 83.6992
94.651161 81.394 88.0277
95.337042 81.948 90.0670
96.027894 82.222 91.8908
96.723752 82.302 94.1089
97.424652 82.253 96.6924
98.130631 82.111 99.5712
98.841726 81.893 102.7616
99.557974 81.611 106.2434
100.279412 81.265 109.9789
101.006078 80.854 114.2412
101.738010 80.417 119.5264
102.475245 80.024 125.6696
103.217823 79.695 131.8295
103.965782 79.389 137.7245
104.719161 79.074 143.6435
105.477999 78.741 149.7479
106.242336 78.390 156.0712
107.012212 78.010 162.3945
107.787666 77.556 168.7079
108.568740 77.015 176.0810
109.355474 76.489 -174.3281
110.147909 76.147 -162.6896
110.946086 76.117 -150.1886
111.750047 76.402 -138.5230
112.559834 76.879 -128.8382
113.375489 77.401 -121.0588
114.197055 77.875 -114.5853
115.024574 78.272 -108.7708
115.858089 78.593 -103.3783
116.697645 78.835 -98.3604
117.543284 78.998 -93.4514
118.395051 79.094 -88.5020
119.252990 79.143 -83.2924
120.117147 79.174 -77.8075
120.987565 79.190 -72.5446
121.864291 79.171 -67.2069
122.747370 79.155 -61.2500
123.636848 79.189 -55.1074
124.532771 79.288 -49.0819
125.435187 79.453 -43.4382
126.344142 79.654 -38.7610
127.259684 79.835 -35.2269
128.181860 79.939 -32.8672
129.110718 79.909 -31.6446
130.046308 79.682 -31.6113
130.988677 79.166 -32.6341
131.937875 78.285 -33.5035
132.893951 77.046 -32.8138
133.856956 75.508 -30.0891
134.826938 73.729 -24.5883
135.803950 71.827 -14.8597
136.788041 70.042 -0.6018
137.779264 68.624 15.3724
138.777669 67.560 28.7734
139.783309 66.533 39.1005
140.796237 65.252 49.3328
141.816504 63.647 60.9962
142.844165 61.954 75.2192
143.879273 61.600 122.1752
144.921881 63.921 -163.7159
145.972045 66.983 -150.3037
147.029819 69.490 -148.1485
148.095257 71.324 -148.1951
149.168417 72.594 -148.6588
150.249353 73.406 -148.7610
151.338121 73.876 -147.7921
152.434780 74.116 -145.6351
153.539385 74.212 -142.5576
154.651995 74.207 -139.1810
155.772667 74.042 -136.9893
156.901460 73.541 -136.1202
158.038432 72.598 -133.7733
159.183644 71.329 -126.7081
160.337154 70.059 -113.6208
161.499023 69.171 -96.9707
162.669312 68.837 -80.3876
163.848081 69.053 -63.0940
165.035392 69.647 -49.2963
166.231306 70.258 -40.4489
167.435887 70.721 -32.7200
168.649196 71.090 -24.8686
169.871298 71.446 -17.2136
171.102255 71.852 -9.8151
172.342133 72.313 -3.8532
173.590995 72.716 -0.6878
174.848907 72.893 -0.4344
176.115934 72.690 -2.4832
177.392143 72.020 -5.1346
178.677599 70.934 -6.5787
179.972371 69.579 -6.9291
