* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:44:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l12-r1-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 40.840 -25.3176
10.166832 40.914 -26.0516
10.240505 41.005 -27.0453
10.314712 41.096 -28.2419
10.389457 41.175 -29.6041
10.464743 41.192 -31.1535
10.540575 41.117 -33.1013
10.616956 40.959 -35.3661
10.693891 40.688 -37.8289
10.771383 40.265 -40.3979
10.849437 39.673 -43.4871
10.928057 38.926 -47.3773
11.007246 38.046 -51.9803
11.087009 37.029 -57.2854
11.167350 35.731 -64.2619
11.248273 34.089 -76.1155
11.329783 32.572 -98.2296
11.411883 31.947 -139.4251
11.494578 32.906 176.6781
11.577873 35.199 153.2702
11.661771 37.954 141.0362
11.746277 40.472 132.7415
11.831395 42.447 125.9127
11.917130 44.124 120.1728
12.003487 45.609 115.1307
12.090469 46.950 110.3965
12.178081 48.155 105.6835
12.266329 49.208 101.0550
12.355216 50.141 96.5893
12.444747 50.993 92.2294
12.534926 51.769 87.7631
12.625760 52.457 83.2142
12.717251 53.071 78.7457
12.809406 53.623 74.3805
12.902228 54.109 69.8198
12.995723 54.529 65.1725
13.089895 54.889 60.6302
13.184750 55.192 56.1525
13.280292 55.435 51.4314
13.376526 55.619 46.6904
13.473458 55.747 42.1403
13.571093 55.817 37.4738
13.669434 55.829 32.6475
13.768489 55.782 27.9288
13.868261 55.675 23.3693
13.968756 55.507 18.6115
14.069979 55.277 13.8606
14.171936 54.982 9.3781
14.274632 54.622 4.8649
14.378072 54.193 0.3342
14.482261 53.693 -3.9327
14.587206 53.119 -7.9438
14.692910 52.472 -11.8246
14.799381 51.753 -15.4020
14.906624 50.953 -18.3949
15.014643 50.083 -20.8043
15.123446 49.179 -22.6382
15.233036 48.247 -23.5271
15.343421 47.304 -23.0511
15.454606 46.478 -21.6261
15.566596 45.863 -19.3919
15.679398 45.453 -16.0002
15.793018 45.280 -12.7821
15.907460 45.389 -10.6058
16.022732 45.738 -9.2523
16.138840 46.185 -9.2241
16.255788 46.658 -10.6876
16.373585 47.160 -13.2006
16.492234 47.630 -16.3954
16.611744 48.043 -20.4063
16.732119 48.405 -24.9486
16.853367 48.707 -29.5068
16.975494 48.948 -34.4072
17.098505 49.128 -39.3528
17.222408 49.248 -43.9066
17.347209 49.308 -48.4431
17.472914 49.313 -52.5930
17.599530 49.266 -56.0924
17.727063 49.173 -59.1661
17.855521 49.061 -61.4978
17.984909 48.933 -62.9510
18.115235 48.825 -63.6494
18.246506 48.786 -63.5775
18.378727 48.822 -62.6488
18.511907 48.966 -61.4192
18.646052 49.240 -59.9784
18.781169 49.614 -58.5569
18.917265 50.051 -57.6750
19.054347 50.539 -57.1874
19.192423 51.018 -57.1637
19.331499 51.460 -57.6793
19.471583 51.848 -58.4510
19.612682 52.154 -59.3049
19.754804 52.381 -60.2737
19.897956 52.530 -60.8461
20.042144 52.604 -61.1008
20.187378 52.646 -60.7573
20.333664 52.680 -59.5707
20.481010 52.757 -57.7042
20.629424 52.952 -55.2197
20.778913 53.275 -52.3097
20.929486 53.747 -49.7955
21.081150 54.358 -47.6574
21.233912 55.031 -46.5458
21.387782 55.730 -46.3951
21.542767 56.397 -47.0825
21.698874 56.987 -48.6422
21.856113 57.486 -50.6565
22.014492 57.870 -53.0190
22.174018 58.143 -55.5259
22.334700 58.307 -57.7773
22.496546 58.377 -59.8213
22.659566 58.387 -61.1450
22.823766 58.368 -61.8606
22.989157 58.394 -61.7828
23.155745 58.498 -61.0267
23.323542 58.744 -60.1150
23.492554 59.128 -59.1660
23.662790 59.620 -58.9813
23.834261 60.183 -59.4436
24.006973 60.736 -60.8575
24.180938 61.247 -62.9473
24.356163 61.667 -65.4837
24.532658 61.991 -68.2614
24.710431 62.212 -70.7805
24.889493 62.361 -72.9318
25.069853 62.478 -74.1909
25.251519 62.642 -74.6925
25.434502 62.930 -74.2144
25.618811 63.405 -73.6090
25.804456 64.093 -73.0513
25.991445 64.926 -73.6877
26.179790 65.849 -75.3837
26.369500 66.751 -78.5802
26.560584 67.585 -82.8074
26.753053 68.293 -88.0421
26.946917 68.854 -93.7552
27.142185 69.251 -99.9824
27.338869 69.479 -106.0474
27.536977 69.536 -112.0986
27.736522 69.434 -117.3977
27.937512 69.199 -121.9722
28.139959 68.870 -125.2417
28.343872 68.541 -127.1782
28.549264 68.292 -127.5710
28.756143 68.247 -127.0913
28.964522 68.428 -126.4045
29.174411 68.819 -126.3594
29.385821 69.296 -127.6090
29.598763 69.774 -130.0560
29.813248 70.155 -133.6246
30.029287 70.395 -137.7119
30.246891 70.475 -142.1699
30.466073 70.395 -146.3162
30.686842 70.186 -149.9174
30.909212 69.884 -152.6457
31.133193 69.572 -154.2560
31.358797 69.320 -154.9519
31.586035 69.187 -154.9117
31.814921 69.193 -154.8943
32.045465 69.294 -155.2223
32.277680 69.435 -156.1226
32.511577 69.546 -157.5018
32.747169 69.598 -158.9649
32.984469 69.612 -160.2566
33.223488 69.612 -160.9941
33.464239 69.669 -161.1842
33.706735 69.832 -161.0864
33.950987 70.128 -161.0747
34.197010 70.522 -161.7580
34.444816 70.949 -163.3136
34.694417 71.349 -165.7023
34.945827 71.671 -168.7773
35.199059 71.889 -172.1420
35.454126 72.008 -175.5046
35.711041 72.046 -178.6650
35.969818 72.034 178.5497
36.230470 72.005 176.1420
36.493011 71.980 173.9648
36.757455 71.962 171.8765
37.023814 71.938 169.7452
37.292104 71.883 167.5183
37.562338 71.773 165.3162
37.834530 71.599 163.3260
38.108695 71.366 161.7496
38.384846 71.097 160.7850
38.662999 70.825 160.5607
38.943167 70.593 161.0414
39.225365 70.430 162.0637
39.509608 70.350 163.4086
39.795911 70.349 164.8690
40.084289 70.409 166.3253
40.374756 70.511 167.7967
40.667328 70.647 169.4632
40.962020 70.840 171.6133
41.258848 71.151 174.4653
41.557827 71.667 177.9167
41.858972 72.453 -178.6513
42.162299 73.498 -176.2147
42.467824 74.714 -175.5999
42.775564 75.974 -177.1158
43.085533 77.166 179.4027
43.397749 78.224 174.3599
43.712227 79.111 168.2161
44.028983 79.820 161.3920
44.348036 80.354 154.2310
44.669400 80.725 147.0019
44.993093 80.952 139.9109
45.319131 81.054 133.1142
45.647532 81.050 126.7336
45.978313 80.962 120.8683
46.311491 80.815 115.5975
46.647083 80.637 110.9642
46.985107 80.460 106.9433
47.325581 80.313 103.4138
47.668521 80.213 100.1738
48.013947 80.157 97.0196
48.361876 80.128 93.8456
48.712326 80.110 90.6927
49.065315 80.105 87.6957
49.420863 80.137 84.9534
49.778987 80.241 82.3983
50.139706 80.444 79.7711
50.503039 80.742 76.7509
50.869005 81.111 73.1179
51.237623 81.527 68.8008
51.608912 81.981 63.7667
51.982891 82.473 57.8715
52.359580 82.987 50.8267
52.739000 83.477 42.3266
53.121168 83.872 32.2221
53.506106 84.093 20.6000
53.893833 84.072 7.7081
54.284370 83.757 -6.0814
54.677737 83.113 -20.2915
55.073955 82.122 -34.3781
55.473043 80.787 -47.7496
55.875024 79.142 -59.8309
56.279917 77.257 -70.1785
56.687745 75.248 -78.7974
57.098527 73.244 -86.5298
57.512287 71.311 -94.8519
57.929045 69.426 -105.1542
58.348822 67.542 -118.5602
58.771642 65.742 -136.4523
59.197525 64.412 -160.3586
59.626495 64.116 171.0969
60.058573 64.955 143.9269
60.493782 66.379 121.6641
60.932145 67.855 103.4248
61.373685 69.144 87.6212
61.818424 70.170 73.3782
62.266386 70.934 60.3595
62.717593 71.463 48.4039
63.172071 71.804 37.5469
63.629842 72.021 27.8817
64.090930 72.189 19.3790
64.555359 72.386 11.8713
65.023154 72.670 4.9922
65.494339 73.065 -1.7003
65.968938 73.557 -8.6211
66.446976 74.112 -15.9744
66.928478 74.694 -23.7776
67.413469 75.281 -31.9211
67.901975 75.868 -40.2637
68.394021 76.461 -48.7012
68.889632 77.071 -57.2043
69.388835 77.705 -65.7950
69.891655 78.368 -74.5347
70.398118 79.053 -83.5360
70.908252 79.744 -92.9211
71.422083 80.412 -102.7743
71.939636 81.021 -113.0789
72.460941 81.542 -123.6906
72.986023 81.960 -134.4326
73.514909 82.272 -145.0793
74.047629 82.490 -155.4460
74.584208 82.640 -165.4089
75.124676 82.760 -175.0142
75.669061 82.871 175.4419
76.217390 82.955 165.5155
76.769692 82.955 154.9131
77.325997 82.796 143.6069
77.886333 82.421 131.8348
78.450730 81.790 119.7316
79.019216 80.857 107.2247
79.591822 79.531 94.1494
80.168577 77.669 80.4247
80.749512 75.159 66.1307
81.334656 72.463 50.5823
81.924040 72.047 -134.5743
82.517696 74.523 -149.4775
83.115653 77.316 -161.3220
83.717943 79.575 -173.0125
84.324598 81.275 174.9268
84.935649 82.481 162.7385
85.551128 83.269 151.0085
86.171066 83.737 140.3121
86.795497 83.996 130.9800
87.424453 84.152 123.0188
88.057967 84.291 116.1499
88.696071 84.466 109.9028
89.338800 84.688 103.7975
89.986185 84.948 97.5698
90.638262 85.244 91.1230
91.295065 85.585 84.1592
91.956626 85.936 76.0200
92.622982 86.192 66.1541
93.294166 86.210 54.6946
93.970214 85.886 42.5040
94.651161 85.190 30.8094
95.337042 84.183 20.7286
96.027894 82.990 12.7792
96.723752 81.746 6.6686
97.424652 80.533 1.7615
98.130631 79.381 -2.3124
98.841726 78.307 -5.8102
99.557974 77.314 -9.2965
100.279412 76.346 -13.2692
101.006078 75.321 -17.5214
101.738010 74.204 -21.4395
102.475245 73.016 -24.7457
103.217823 71.800 -27.4739
103.965782 70.604 -29.7574
104.719161 69.475 -32.2463
105.477999 68.401 -35.5648
106.242336 67.378 -39.3970
107.012212 66.544 -43.6355
107.787666 66.146 -49.4906
108.568740 66.384 -58.8109
109.355474 67.218 -73.0931
110.147909 68.347 -91.8060
110.946086 69.493 -112.0393
111.750047 70.585 -130.5800
112.559834 71.689 -145.9032
113.375489 72.845 -158.4756
114.197055 73.983 -169.6821
115.024574 74.996 179.8129
115.858089 75.860 170.3794
116.697645 76.637 162.2949
117.543284 77.366 154.8674
118.395051 77.980 147.2847
119.252990 78.404 139.9364
120.117147 78.678 134.0498
120.987565 78.964 130.4027
121.864291 79.440 128.3640
122.747370 80.149 126.1648
123.636848 80.978 122.4482
124.532771 81.782 117.0535
125.435187 82.462 110.2925
126.344142 82.961 102.7496
127.259684 83.293 95.3271
128.181860 83.544 88.6643
129.110718 83.813 82.4910
130.046308 84.119 75.8840
130.988677 84.388 68.1245
131.937875 84.519 59.1772
132.893951 84.449 49.6417
133.856956 84.184 40.0563
134.826938 83.752 30.2983
135.803950 83.137 19.9882
136.788041 82.284 8.8438
137.779264 81.099 -3.3248
138.777669 79.469 -16.5057
139.783309 77.299 -31.1714
140.796237 74.610 -50.2874
141.816504 72.077 -97.7344
142.844165 71.670 146.0388
143.879273 73.322 119.3611
144.921881 75.131 105.6411
145.972045 76.545 96.1521
147.029819 77.611 88.7361
148.095257 78.395 81.9885
149.168417 78.914 75.5237
150.249353 79.208 69.7461
151.338121 79.393 65.5491
152.434780 79.674 63.2837
153.539385 80.146 60.7976
154.651995 80.598 55.2585
155.772667 80.703 47.2278
156.901460 80.338 40.1812
158.038432 79.699 37.1755
159.183644 79.131 37.7454
160.337154 78.839 39.3027
161.499023 78.854 40.9319
162.669312 79.198 42.8101
163.848081 79.801 42.7139
165.035392 80.350 38.4211
166.231306 80.546 31.5923
167.435887 80.328 25.3618
168.649196 79.827 21.1514
169.871298 79.200 19.2207
171.102255 78.632 19.7610
172.342133 78.257 21.2451
173.590995 78.067 22.5574
174.848907 78.014 23.7544
176.115934 78.162 26.4001
177.392143 78.651 29.6565
178.677599 79.364 29.8438
179.972371 80.023 26.7434
181.276525 80.487 22.2090
182.590129 80.781 17.6340
183.913252 81.046 14.0381
185.245964 81.427 10.5146
