* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 3:44:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l12-r1-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 27.665 29.6715
10.166832 28.180 32.7462
10.240505 28.799 34.7834
10.314712 29.433 36.0617
10.389457 30.059 36.8349
10.464743 30.630 37.2638
10.540575 31.114 37.2248
10.616956 31.545 36.8935
10.693891 31.938 36.4746
10.771383 32.301 36.1417
10.849437 32.628 35.8384
10.928057 32.920 35.4952
11.007246 33.195 35.1839
11.087009 33.476 34.9728
11.167350 33.767 34.9185
11.248273 34.061 34.9815
11.329783 34.366 35.0707
11.411883 34.697 35.1021
11.494578 35.063 35.0737
11.577873 35.460 35.0992
11.661771 35.883 35.0246
11.746277 36.325 34.7003
11.831395 36.787 34.0878
11.917130 37.272 33.3649
12.003487 37.768 32.4456
12.090469 38.264 31.2346
12.178081 38.753 29.7155
12.266329 39.241 28.0168
12.355216 39.719 26.1387
12.444747 40.181 24.0597
12.534926 40.624 21.7645
12.625760 41.050 19.3107
12.717251 41.456 16.7533
12.809406 41.841 14.1136
12.902228 42.203 11.3302
12.995723 42.543 8.4554
13.089895 42.863 5.5641
13.184750 43.161 2.6624
13.280292 43.437 -0.3289
13.376526 43.694 -3.3328
13.473458 43.931 -6.2781
13.571093 44.150 -9.2382
13.669434 44.350 -12.2160
13.768489 44.533 -15.1382
13.868261 44.699 -17.9933
13.968756 44.849 -20.8576
14.069979 44.981 -23.6726
14.171936 45.098 -26.3890
14.274632 45.198 -29.0875
14.378072 45.281 -31.7337
14.482261 45.345 -34.2567
14.587206 45.389 -36.7170
14.692910 45.414 -39.1084
14.799381 45.417 -41.3331
14.906624 45.397 -43.4031
15.014643 45.354 -45.3508
15.123446 45.291 -47.0538
15.233036 45.206 -48.4585
15.343421 45.102 -49.6105
15.454606 44.994 -50.4107
15.566596 44.887 -50.7628
15.679398 44.787 -50.6837
15.793018 44.724 -50.2168
15.907460 44.720 -49.3243
16.022732 44.776 -48.0162
16.138840 44.912 -46.6145
16.255788 45.148 -45.2018
16.373585 45.471 -43.8044
16.492234 45.854 -42.8283
16.611744 46.293 -42.2930
16.732119 46.768 -42.1405
16.853367 47.235 -42.5006
16.975494 47.687 -43.3610
17.098505 48.107 -44.5332
17.222408 48.472 -45.9235
17.347209 48.779 -47.6231
17.472914 49.024 -49.2988
17.599530 49.199 -50.8458
17.727063 49.309 -52.3518
17.855521 49.370 -53.3996
17.984909 49.381 -53.9948
18.115235 49.376 -54.0987
18.246506 49.400 -53.4800
18.378727 49.462 -52.1658
18.511907 49.622 -50.4807
18.646052 49.917 -48.4187
18.781169 50.331 -46.3576
18.917265 50.857 -44.9018
19.054347 51.482 -43.8802
19.192423 52.136 -43.6717
19.331499 52.790 -44.2718
19.471583 53.416 -45.4403
19.612682 53.973 -47.1663
19.754804 54.460 -49.3404
19.897956 54.864 -51.5857
20.042144 55.179 -54.0436
20.187378 55.416 -56.3414
20.333664 55.577 -58.3739
20.481010 55.682 -60.1382
20.629424 55.757 -61.3270
20.778913 55.819 -62.0494
20.929486 55.916 -62.3154
21.081150 56.062 -62.0831
21.233912 56.279 -61.7876
21.387782 56.580 -61.4271
21.542767 56.934 -61.3400
21.698874 57.325 -61.6921
21.856113 57.719 -62.3963
22.014492 58.078 -63.5533
22.174018 58.390 -64.9436
22.334700 58.631 -66.3730
22.496546 58.808 -67.7766
22.659566 58.930 -68.7375
22.823766 59.020 -69.3175
22.989157 59.129 -69.2313
23.155745 59.285 -68.5832
23.323542 59.548 -67.6215
23.492554 59.927 -66.4770
23.662790 60.417 -65.8013
23.834261 60.991 -65.5712
24.006973 61.585 -66.1815
24.180938 62.169 -67.4091
24.356163 62.691 -69.1779
24.532658 63.143 -71.2671
24.710431 63.514 -73.3342
24.889493 63.824 -75.2565
25.069853 64.100 -76.6681
25.251519 64.393 -77.6562
25.434502 64.756 -78.0494
25.618811 65.231 -78.3995
25.804456 65.840 -78.7587
25.991445 66.551 -79.9378
26.179790 67.332 -81.8571
26.369500 68.106 -84.9483
26.560584 68.835 -88.8978
26.753053 69.466 -93.7524
26.946917 69.976 -99.0849
27.142185 70.345 -104.9361
27.338869 70.564 -110.7166
27.536977 70.630 -116.5464
27.736522 70.554 -121.7730
27.937512 70.354 -126.4147
28.139959 70.066 -129.9761
28.343872 69.763 -132.4137
28.549264 69.512 -133.5407
28.756143 69.417 -133.9593
28.964522 69.504 -133.7947
29.174411 69.777 -134.1033
29.385821 70.143 -135.4033
29.598763 70.531 -137.6810
29.813248 70.848 -140.9554
30.029287 71.049 -144.7121
30.246891 71.109 -148.8160
30.466073 71.025 -152.6389
30.686842 70.821 -155.9456
30.909212 70.533 -158.4253
31.133193 70.234 -159.8409
31.358797 69.987 -160.3539
31.586035 69.846 -160.1046
31.814921 69.832 -159.7208
32.045465 69.916 -159.4643
32.277680 70.060 -159.5294
32.511577 70.219 -159.8339
32.747169 70.392 -160.1414
32.984469 70.598 -160.3540
33.223488 70.879 -160.4115
33.464239 71.262 -160.6847
33.706735 71.738 -161.4964
33.950987 72.272 -163.1349
34.197010 72.792 -165.8012
34.444816 73.243 -169.2661
34.694417 73.586 -173.2857
34.945827 73.804 -177.5509
35.199059 73.910 178.4325
35.454126 73.942 174.9015
35.711041 73.954 171.9819
35.969818 74.008 169.6784
36.230470 74.154 167.5953
36.493011 74.387 165.2609
36.757455 74.669 162.3737
37.023814 74.941 158.7772
37.292104 75.141 154.5493
37.562338 75.232 150.0651
37.834530 75.209 145.6984
38.108695 75.095 141.7737
38.384846 74.936 138.5618
38.662999 74.803 136.1514
38.943167 74.761 134.2495
39.225365 74.832 132.3626
39.509608 74.994 130.0605
39.795911 75.194 127.1132
40.084289 75.381 123.5325
40.374756 75.521 119.5283
40.667328 75.616 115.3922
40.962020 75.700 111.2938
41.258848 75.817 107.1648
41.557827 76.000 102.7171
41.858972 76.251 97.5464
42.162299 76.536 91.2855
42.467824 76.800 83.7231
42.775564 76.981 74.8322
43.085533 77.032 64.7283
43.397749 76.919 53.6076
43.712227 76.627 41.7034
44.028983 76.153 29.2345
44.348036 75.506 16.3900
44.669400 74.707 3.3346
44.993093 73.789 -9.7853
45.319131 72.799 -22.8342
45.647532 71.792 -35.6667
45.978313 70.832 -48.0988
46.311491 69.983 -59.8804
46.647083 69.304 -70.7057
46.985107 68.851 -80.2903
47.325581 68.667 -88.5100
47.668521 68.766 -95.5022
48.013947 69.113 -101.6034
48.361876 69.637 -107.1205
48.712326 70.262 -112.1313
49.065315 70.955 -116.4988
49.420863 71.733 -120.0897
49.778987 72.637 -123.0316
50.139706 73.687 -125.7755
50.503039 74.856 -128.8477
50.869005 76.095 -132.5504
51.237623 77.369 -136.9137
51.608912 78.671 -141.9126
51.982891 80.004 -147.7014
52.359580 81.347 -154.6327
52.739000 82.640 -163.0532
53.121168 83.804 -173.0812
53.506106 84.761 175.4517
53.893833 85.452 162.8897
54.284370 85.836 149.6797
54.677737 85.896 136.3497
55.073955 85.631 123.4756
55.473043 85.064 111.6585
55.875024 84.249 101.4599
56.279917 83.273 93.2800
56.687745 82.249 87.1967
57.098527 81.279 82.7957
57.512287 80.406 79.4321
57.929045 79.614 76.7430
58.348822 78.886 74.7907
58.771642 78.247 73.7165
59.197525 77.748 73.3135
59.626495 77.413 73.0278
60.058573 77.210 72.3909
60.493782 77.090 71.2778
60.932145 77.022 69.7615
61.373685 76.995 67.8253
61.818424 76.990 65.3378
62.266386 76.972 62.2453
62.717593 76.909 58.6730
63.172071 76.792 54.8499
63.629842 76.628 50.9536
64.090930 76.437 47.0301
64.555359 76.233 43.0599
65.023154 76.032 39.0034
65.494339 75.852 34.7628
65.968938 75.706 30.0872
66.446976 75.583 24.6467
66.928478 75.441 18.2023
67.413469 75.234 10.7508
67.901975 74.934 2.4561
68.394021 74.551 -6.5215
68.889632 74.122 -16.3138
69.388835 73.691 -27.3761
69.891655 73.276 -40.3782
70.398118 72.869 -55.9153
70.908252 72.450 -74.4206
71.422083 72.008 -95.8397
71.939636 71.527 -119.9101
72.460941 70.967 -145.6421
72.986023 70.246 -172.2490
73.514909 69.252 160.9741
74.047629 67.911 133.3029
74.584208 66.366 101.0938
75.124676 65.501 51.7833
75.669061 66.620 -15.9602
76.217390 69.200 -57.6431
76.769692 71.921 -82.7104
77.325997 74.288 -102.0018
77.886333 76.262 -118.5551
78.450730 77.920 -133.3617
79.019216 79.341 -147.0393
79.591822 80.555 -160.2394
80.168577 81.537 -173.4152
80.749512 82.250 173.4059
81.334656 82.683 160.5709
81.924040 82.860 148.4143
82.517696 82.805 136.9694
83.115653 82.506 126.1521
83.717943 81.909 116.2211
84.324598 80.971 108.2380
84.935649 79.759 104.0967
85.551128 78.574 105.9259
86.171066 77.969 113.5089
86.795497 78.314 121.9873
87.424453 79.370 126.9105
88.057967 80.709 127.9186
88.696071 82.091 125.9517
89.338800 83.406 121.6075
89.986185 84.594 115.3091
90.638262 85.626 107.5050
91.295065 86.500 98.4473
91.956626 87.194 88.0398
92.622982 87.645 76.1571
93.294166 87.764 63.0970
93.970214 87.488 49.6597
94.651161 86.810 36.8784
95.337042 85.774 25.6964
96.027894 84.460 16.7688
96.723752 82.967 10.4760
97.424652 81.402 7.0480
98.130631 79.901 6.5750
98.841726 78.636 8.7119
99.557974 77.759 12.0480
100.279412 77.270 14.4940
101.006078 77.005 15.2457
101.738010 76.825 14.8416
102.475245 76.669 13.3553
103.217823 76.451 10.4744
103.965782 76.078 6.9572
104.719161 75.572 4.2632
105.477999 75.078 3.0259
106.242336 74.751 2.4979
107.012212 74.642 1.2726
107.787666 74.672 -1.8458
108.568740 74.688 -7.4143
109.355474 74.530 -15.4160
110.147909 74.075 -25.2955
110.946086 73.285 -35.9064
111.750047 72.285 -46.4443
112.559834 71.316 -58.0183
113.375489 70.543 -73.0104
114.197055 69.992 -92.4250
115.024574 69.705 -115.2308
115.858089 69.762 -139.0370
116.697645 70.137 -161.1746
117.543284 70.682 179.9863
118.395051 71.227 164.7133
119.252990 71.662 153.0010
120.117147 72.029 145.3824
120.987565 72.552 142.3041
121.864291 73.445 141.9811
122.747370 74.635 140.7913
123.636848 75.856 137.1139
124.532771 76.933 131.6968
125.435187 77.806 125.3782
126.344142 78.458 118.7078
127.259684 78.899 112.2838
128.181860 79.169 106.6764
129.110718 79.357 102.5275
130.046308 79.604 100.0569
130.988677 80.010 98.1019
131.937875 80.520 95.1018
132.893951 80.997 90.6697
133.856956 81.329 85.2118
134.826938 81.447 79.3315
135.803950 81.339 74.1404
136.788041 81.103 70.9518
137.779264 80.924 69.9897
138.777669 80.937 70.0283
139.783309 81.133 69.5776
140.796237 81.408 68.0992
141.816504 81.673 65.9055
142.844165 81.888 63.3492
143.879273 82.039 60.6965
144.921881 82.144 58.5260
145.972045 82.305 57.6750
147.029819 82.659 57.7694
148.095257 83.233 57.1775
149.168417 83.935 55.0376
150.249353 84.669 51.3754
151.338121 85.372 46.2855
152.434780 85.998 39.8171
153.539385 86.495 31.9827
154.651995 86.806 22.9303
155.772667 86.884 12.9745
156.901460 86.690 2.5284
158.038432 86.204 -8.0037
159.183644 85.402 -18.2260
160.337154 84.277 -27.4158
161.499023 82.843 -35.3473
162.669312 81.061 -41.5975
163.848081 78.912 -43.4352
165.035392 76.651 -36.3120
166.231306 75.051 -19.0934
167.435887 74.808 -3.9094
168.649196 75.407 1.9482
169.871298 76.070 2.4219
171.102255 76.520 0.7544
172.342133 76.734 -1.6088
173.590995 76.864 -2.4542
174.848907 77.113 -2.8824
176.115934 77.349 -7.2716
177.392143 77.242 -15.1438
178.677599 76.620 -24.3673
179.972371 75.386 -34.5135
181.276525 73.472 -44.6090
182.590129 71.412 -49.6919
183.913252 71.608 68.4191
185.245964 74.438 80.4551
