* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 7, 2024 4:17:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: front-l12-r12-p2-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 79.855 2.4893
10.166832 79.978 1.1736
10.240505 80.128 -0.1325
10.314712 80.283 -1.4362
10.389457 80.440 -2.7453
10.464743 80.598 -4.0671
10.540575 80.759 -5.3980
10.616956 80.921 -6.7340
10.693891 81.083 -8.0736
10.771383 81.241 -9.4165
10.849437 81.397 -10.7742
10.928057 81.550 -12.1443
11.007246 81.701 -13.5115
11.087009 81.847 -14.8623
11.167350 81.987 -16.2015
11.248273 82.124 -17.5469
11.329783 82.256 -18.8770
11.411883 82.384 -20.1694
11.494578 82.508 -21.4151
11.577873 82.628 -22.6397
11.661771 82.744 -23.8299
11.746277 82.860 -24.9675
11.831395 82.977 -26.0388
11.917130 83.093 -27.0561
12.003487 83.211 -28.0255
12.090469 83.335 -28.9494
12.178081 83.466 -29.8175
12.266329 83.603 -30.6220
12.355216 83.749 -31.3952
12.444747 83.907 -32.1689
12.534926 84.077 -32.9256
12.625760 84.259 -33.6545
12.717251 84.452 -34.4080
12.809406 84.656 -35.2318
12.902228 84.872 -36.0842
12.995723 85.099 -36.9757
13.089895 85.331 -37.9512
13.184750 85.568 -39.0345
13.280292 85.809 -40.1879
13.376526 86.052 -41.4205
13.473458 86.291 -42.7501
13.571093 86.525 -44.1823
13.669434 86.755 -45.6943
13.768489 86.976 -47.2675
13.868261 87.186 -48.9078
13.968756 87.385 -50.6291
14.069979 87.571 -52.3857
14.171936 87.744 -54.1464
14.274632 87.902 -55.9576
14.378072 88.046 -57.7838
14.482261 88.177 -59.5704
14.587206 88.293 -61.3474
14.692910 88.396 -63.1146
14.799381 88.488 -64.8207
14.906624 88.570 -66.4622
15.014643 88.641 -68.0627
15.123446 88.707 -69.5928
15.233036 88.767 -71.0361
15.343421 88.823 -72.4118
15.454606 88.879 -73.7205
15.566596 88.936 -74.9538
15.679398 88.994 -76.1152
15.793018 89.057 -77.2305
15.907460 89.125 -78.3040
16.022732 89.199 -79.3286
16.138840 89.279 -80.3410
16.255788 89.365 -81.3501
16.373585 89.457 -82.3475
16.492234 89.552 -83.3625
16.611744 89.650 -84.4009
16.732119 89.749 -85.4560
16.853367 89.848 -86.5358
16.975494 89.944 -87.6475
17.098505 90.038 -88.7775
17.222408 90.125 -89.9151
17.347209 90.207 -91.0729
17.472914 90.281 -92.2226
17.599530 90.349 -93.3527
17.727063 90.408 -94.4720
17.855521 90.462 -95.5458
17.984909 90.510 -96.5764
18.115235 90.553 -97.5602
18.246506 90.595 -98.4776
18.378727 90.635 -99.3337
18.511907 90.677 -100.1354
18.646052 90.722 -100.8741
18.781169 90.773 -101.5645
18.917265 90.830 -102.2302
19.054347 90.895 -102.8607
19.192423 90.966 -103.4944
19.331499 91.045 -104.1359
19.471583 91.128 -104.7914
19.612682 91.214 -105.4847
19.754804 91.301 -106.2078
19.897956 91.386 -106.9568
20.042144 91.467 -107.7396
20.187378 91.542 -108.5273
20.333664 91.612 -109.3145
20.481010 91.675 -110.0899
20.629424 91.733 -110.8209
20.778913 91.786 -111.5158
20.929486 91.840 -112.1542
21.081150 91.895 -112.7348
21.233912 91.955 -113.2772
21.387782 92.022 -113.7739
21.542767 92.097 -114.2616
21.698874 92.180 -114.7517
21.856113 92.270 -115.2602
22.014492 92.364 -115.8147
22.174018 92.461 -116.4055
22.334700 92.554 -117.0423
22.496546 92.644 -117.7120
22.659566 92.726 -118.3875
22.823766 92.801 -119.0652
22.989157 92.870 -119.6988
23.155745 92.934 -120.2925
23.323542 92.997 -120.8159
23.492554 93.062 -121.2745
23.662790 93.134 -121.6738
23.834261 93.213 -122.0177
24.006973 93.302 -122.3338
24.180938 93.401 -122.6210
24.356163 93.509 -122.8965
24.532658 93.625 -123.1525
24.710431 93.751 -123.3793
24.889493 93.888 -123.5741
25.069853 94.043 -123.7187
25.251519 94.221 -123.8504
25.434502 94.430 -123.9686
25.618811 94.673 -124.1879
25.804456 94.954 -124.5238
25.991445 95.265 -125.1411
26.179790 95.600 -126.0400
26.369500 95.942 -127.3414
26.560584 96.279 -129.0038
26.753053 96.593 -131.0537
26.946917 96.872 -133.3960
27.142185 97.107 -136.0170
27.338869 97.294 -138.7673
27.536977 97.432 -141.6437
27.736522 97.525 -144.5056
27.937512 97.581 -147.3636
28.139959 97.607 -150.1635
28.343872 97.612 -152.9432
28.549264 97.599 -155.7238
28.756143 97.568 -158.5849
28.964522 97.513 -161.5558
29.174411 97.421 -164.7076
29.385821 97.275 -167.9873
29.598763 97.059 -171.3905
29.813248 96.754 -174.7910
30.029287 96.349 -177.9976
30.246891 95.838 179.1111
30.466073 95.227 176.8953
30.686842 94.540 175.5300
30.909212 93.812 175.3321
31.133193 93.115 176.3646
31.358797 92.518 178.5044
31.586035 92.078 -178.5272
31.814921 91.817 -175.4520
32.045465 91.704 -172.6344
32.277680 91.697 -170.3557
32.511577 91.742 -168.6000
32.747169 91.820 -167.2499
32.984469 91.925 -166.2530
33.223488 92.060 -165.5950
33.464239 92.215 -165.4272
33.706735 92.369 -165.8143
33.950987 92.490 -166.8096
34.197010 92.536 -168.3009
34.444816 92.483 -170.0069
34.694417 92.320 -171.6703
34.945827 92.061 -172.9293
35.199059 91.752 -173.4540
35.454126 91.458 -173.2426
35.711041 91.237 -172.4738
35.969818 91.126 -171.6016
36.230470 91.102 -171.2764
36.493011 91.088 -171.7243
36.757455 91.031 -172.9419
37.023814 90.854 -174.6625
37.292104 90.526 -176.4163
37.562338 90.053 -177.6526
37.834530 89.475 -178.0033
38.108695 88.851 -177.2297
38.384846 88.247 -175.3177
38.662999 87.714 -172.5598
38.943167 87.261 -169.3097
39.225365 86.874 -165.6392
39.509608 86.557 -161.4410
39.795911 86.341 -156.6336
40.084289 86.272 -151.3870
40.374756 86.371 -146.1943
40.667328 86.600 -141.5323
40.962020 86.895 -137.3752
41.258848 87.246 -133.2774
41.557827 87.707 -128.8645
41.858972 88.365 -124.3355
42.162299 89.256 -120.5844
42.467824 90.313 -118.6574
42.775564 91.397 -119.0587
43.085533 92.372 -121.6218
43.397749 93.153 -125.8067
43.712227 93.701 -130.9765
44.028983 94.008 -136.5441
44.348036 94.090 -142.0183
44.669400 93.979 -147.0050
44.993093 93.718 -151.2169
45.319131 93.358 -154.4977
45.647532 92.950 -156.8382
45.978313 92.536 -158.3566
46.311491 92.138 -159.2263
46.647083 91.767 -159.5891
46.985107 91.429 -159.5147
47.325581 91.132 -159.0331
47.668521 90.893 -158.2053
48.013947 90.723 -157.1638
48.361876 90.624 -156.0817
48.712326 90.589 -155.0976
49.065315 90.606 -154.2692
49.420863 90.666 -153.5978
49.778987 90.772 -153.0945
50.139706 90.925 -152.8224
50.503039 91.124 -152.8773
50.869005 91.359 -153.3336
51.237623 91.626 -154.2211
51.608912 91.926 -155.5717
51.982891 92.262 -157.5075
52.359580 92.629 -160.2787
52.739000 92.996 -164.1867
53.121168 93.306 -169.4328
53.506106 93.491 -176.0090
53.893833 93.486 176.2889
54.284370 93.238 167.8204
54.677737 92.715 159.0657
55.073955 91.906 150.5771
55.473043 90.824 142.9348
55.875024 89.514 136.6656
56.279917 88.050 132.1384
56.687745 86.529 129.3674
57.098527 85.042 127.9066
57.512287 83.635 127.0969
57.929045 82.310 126.4394
58.348822 81.048 125.6553
58.771642 79.832 124.4651
59.197525 78.641 122.4692
59.626495 77.439 119.2106
60.058573 76.185 114.2138
60.493782 74.860 106.8401
60.932145 73.487 96.0543
61.373685 72.165 80.3661
61.818424 71.116 58.7252
62.266386 70.616 33.1509
62.717593 70.761 9.3427
63.172071 71.363 -8.6284
63.629842 72.184 -20.7380
64.090930 73.092 -28.6304
64.555359 74.019 -34.0211
65.023154 74.917 -38.1451
65.494339 75.761 -41.6184
65.968938 76.551 -44.7489
66.446976 77.295 -47.8035
66.928478 77.988 -51.0945
67.413469 78.606 -54.8352
67.901975 79.123 -59.0420
68.394021 79.522 -63.5881
68.889632 79.802 -68.3258
69.388835 79.973 -73.1400
69.891655 80.046 -78.0505
70.398118 80.020 -83.1882
70.908252 79.866 -88.7050
71.422083 79.531 -94.5121
71.939636 78.959 -100.1271
72.460941 78.138 -104.4570
72.986023 77.170 -106.1803
73.514909 76.304 -104.6089
74.047629 75.819 -101.2571
74.584208 75.761 -98.9392
75.124676 75.938 -98.6842
75.669061 76.209 -99.6746
76.217390 76.587 -101.2175
76.769692 77.105 -103.7784
77.325997 77.710 -108.1010
77.886333 78.298 -114.2301
78.450730 78.818 -121.5790
79.019216 79.284 -129.6549
79.591822 79.728 -138.4078
80.168577 80.141 -148.0367
80.749512 80.482 -158.5910
81.334656 80.711 -169.8505
81.924040 80.809 178.4760
82.517696 80.764 166.5253
83.115653 80.542 154.3521
83.717943 80.087 142.1523
84.324598 79.336 130.4285
84.935649 78.242 119.9088
85.551128 76.778 111.5245
86.171066 74.939 106.6546
86.795497 72.805 107.9067
87.424453 70.789 119.5947
88.057967 69.942 142.4054
88.696071 71.046 165.7870
89.338800 73.450 -178.4709
89.986185 76.211 -171.6361
90.638262 78.829 -172.2352
91.295065 81.117 -177.9072
91.956626 83.016 173.0094
92.622982 84.490 161.4564
93.294166 85.500 148.2524
93.970214 86.031 134.4044
94.651161 86.111 121.0334
95.337042 85.822 109.1357
96.027894 85.287 99.3467
96.723752 84.655 91.8112
97.424652 84.070 86.1707
98.130631 83.640 81.6555
98.841726 83.414 77.3621
99.557974 83.376 72.4507
100.279412 83.455 66.0776
101.006078 83.510 57.6808
101.738010 83.389 47.4965
102.475245 82.992 36.4409
103.217823 82.307 25.4697
103.965782 81.371 15.1186
104.719161 80.221 5.5584
105.477999 78.871 -3.0268
106.242336 77.325 -10.1949
107.012212 75.605 -15.3514
107.787666 73.759 -17.9337
108.568740 71.869 -17.0474
109.355474 70.149 -10.8766
110.147909 69.065 0.6362
110.946086 68.934 11.7290
111.750047 69.448 18.3516
112.559834 70.187 21.9899
113.375489 70.993 24.1731
114.197055 71.825 25.1613
115.024574 72.654 24.8688
115.858089 73.424 23.0353
116.697645 74.061 19.7274
117.543284 74.509 15.3429
118.395051 74.729 10.2722
119.252990 74.708 5.3696
120.117147 74.508 1.3030
120.987565 74.163 -2.6678
121.864291 73.584 -6.9087
122.747370 72.695 -10.0326
123.636848 71.542 -10.9179
124.532771 70.223 -8.8802
125.435187 68.932 -3.0156
126.344142 67.892 3.8610
127.259684 67.006 7.5039
128.181860 65.906 7.5649
129.110718 64.326 5.1871
130.046308 62.695 -0.4810
130.988677 63.289 -113.9244
131.937875 66.632 178.3212
132.893951 70.255 169.8011
133.856956 73.327 163.0134
134.826938 75.725 154.6331
135.803950 77.352 143.8965
136.788041 78.202 133.1599
137.779264 78.463 125.5951
138.777669 78.469 122.4429
139.783309 78.530 122.8750
140.796237 78.852 125.4380
141.816504 79.404 126.7827
142.844165 79.888 124.9104
143.879273 80.065 121.6838
144.921881 79.924 119.5883
145.972045 79.591 119.5317
147.029819 79.187 121.1453
148.095257 78.819 124.7050
149.168417 78.652 130.4642
150.249353 78.772 136.1013
151.338121 79.025 139.2719
152.434780 79.182 140.5059
153.539385 79.168 142.0726
154.651995 79.086 145.2317
155.772667 79.035 148.9354
156.901460 79.038 152.8831
158.038432 79.214 158.6279
159.183644 79.718 164.8055
160.337154 80.442 167.7902
161.499023 81.106 166.9824
162.669312 81.501 163.5730
163.848081 81.532 159.0266
165.035392 81.205 154.9341
166.231306 80.594 151.9395
167.435887 79.759 150.1434
168.649196 78.771 150.3120
169.871298 77.787 152.9846
171.102255 77.049 157.9983
172.342133 76.772 162.9873
173.590995 76.869 163.9785
174.848907 77.022 160.0835
176.115934 76.959 152.1602
177.392143 76.601 142.2349
178.677599 76.137 131.7605
