* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:57:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back1-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 27.946 -10.7274
10.166832 28.155 -1.5914
10.240505 28.410 10.0981
10.314712 28.682 22.0968
10.389457 29.015 31.9859
10.464743 29.607 38.7820
10.540575 30.613 43.2844
10.616956 31.812 45.9765
10.693891 33.003 47.2955
10.771383 34.036 47.5907
10.849437 34.898 47.0267
10.928057 35.650 45.8701
11.007246 36.318 44.3999
11.087009 36.916 42.8005
11.167350 37.443 41.0461
11.248273 37.892 39.0112
11.329783 38.276 36.8954
11.411883 38.613 34.8721
11.494578 38.908 32.9868
11.577873 39.152 31.0349
11.661771 39.355 29.1135
11.746277 39.535 27.3508
11.831395 39.697 25.8260
11.917130 39.833 24.4223
12.003487 39.956 23.1324
12.090469 40.086 21.9782
12.178081 40.231 21.0142
12.266329 40.384 20.2434
12.355216 40.555 19.5434
12.444747 40.756 18.7978
12.534926 40.993 18.0630
12.625760 41.262 17.3778
12.717251 41.555 16.5651
12.809406 41.870 15.4748
12.902228 42.210 14.2237
12.995723 42.567 12.8218
13.089895 42.925 11.1830
13.184750 43.274 9.2399
13.280292 43.620 7.0638
13.376526 43.951 4.7279
13.473458 44.255 2.2609
13.571093 44.531 -0.4505
13.669434 44.777 -3.3166
13.768489 44.986 -6.1687
13.868261 45.153 -9.0132
13.968756 45.278 -12.0083
14.069979 45.358 -14.9171
14.171936 45.389 -17.5421
14.274632 45.369 -20.1261
14.378072 45.301 -22.5263
14.482261 45.190 -24.4387
14.587206 45.026 -25.9106
14.692910 44.828 -26.9445
14.799381 44.630 -27.2922
14.906624 44.432 -26.7647
15.014643 44.256 -25.4068
15.123446 44.182 -23.3181
15.233036 44.259 -20.4958
15.343421 44.480 -17.0497
15.454606 44.857 -13.7138
15.566596 45.412 -10.8439
15.679398 46.121 -8.3684
15.793018 46.900 -6.8267
15.907460 47.703 -6.2835
16.022732 48.531 -6.3918
16.138840 49.334 -7.2197
16.255788 50.084 -8.7293
16.373585 50.785 -10.6818
16.492234 51.427 -12.9466
16.611744 52.001 -15.5768
16.732119 52.510 -18.4296
16.853367 52.953 -21.2963
16.975494 53.328 -24.3417
17.098505 53.637 -27.3997
17.222408 53.884 -30.2682
17.347209 54.066 -33.1525
17.472914 54.192 -35.8256
17.599530 54.264 -38.1665
17.727063 54.289 -40.3046
17.855521 54.282 -42.0270
17.984909 54.249 -43.2978
18.115235 54.208 -44.1700
18.246506 54.189 -44.5878
18.378727 54.194 -44.5219
18.511907 54.252 -44.2239
18.646052 54.378 -43.6910
18.781169 54.565 -43.0633
18.917265 54.809 -42.6646
19.054347 55.106 -42.4117
19.192423 55.424 -42.4696
19.331499 55.749 -42.8986
19.471583 56.065 -43.5730
19.612682 56.349 -44.4534
19.754804 56.601 -45.5253
19.897956 56.818 -46.5313
20.042144 56.997 -47.5165
20.187378 57.157 -48.3318
20.333664 57.308 -48.8638
20.481010 57.469 -49.1960
20.629424 57.666 -49.3110
20.778913 57.906 -49.2563
20.929486 58.200 -49.3282
21.081150 58.549 -49.4701
21.233912 58.929 -49.9820
21.387782 59.331 -50.8760
21.542767 59.721 -52.1169
21.698874 60.078 -53.7869
21.856113 60.386 -55.6472
22.014492 60.628 -57.6269
22.174018 60.804 -59.5895
22.334700 60.915 -61.2136
22.496546 60.979 -62.5280
22.659566 61.031 -63.1683
22.823766 61.099 -63.2289
22.989157 61.248 -62.7212
23.155745 61.496 -61.7714
23.323542 61.873 -60.9480
23.492554 62.365 -60.3097
23.662790 62.922 -60.4482
23.834261 63.512 -61.2015
24.006973 64.067 -62.6852
24.180938 64.566 -64.6726
24.356163 64.976 -66.8699
24.532658 65.299 -69.1349
24.710431 65.543 -70.9936
24.889493 65.744 -72.4134
25.069853 65.954 -72.9972
25.251519 66.238 -73.0260
25.434502 66.660 -72.4578
25.618811 67.240 -72.1483
25.804456 67.978 -72.2429
25.991445 68.796 -73.5570
26.179790 69.645 -75.9049
26.369500 70.438 -79.5006
26.560584 71.141 -83.9701
26.753053 71.711 -89.2239
26.946917 72.132 -94.8180
27.142185 72.390 -100.7615
27.338869 72.485 -106.4148
27.536977 72.419 -111.8825
27.736522 72.213 -116.4369
27.937512 71.905 -120.0848
28.139959 71.556 -122.2487
28.343872 71.281 -123.1107
28.549264 71.168 -122.6199
28.756143 71.310 -121.8737
28.964522 71.677 -121.5510
29.174411 72.202 -122.4246
29.385821 72.746 -124.7451
29.598763 73.233 -128.2791
29.813248 73.582 -132.7863
30.029287 73.767 -137.6462
30.246891 73.772 -142.7310
30.466073 73.602 -147.3065
30.686842 73.287 -151.1151
30.909212 72.872 -153.7346
31.133193 72.454 -154.7886
31.358797 72.143 -154.4603
31.586035 72.035 -152.9909
31.814921 72.179 -151.5595
32.045465 72.513 -150.8685
32.277680 72.948 -151.3406
32.511577 73.368 -153.0517
32.747169 73.710 -155.5652
32.984469 73.940 -158.5969
33.223488 74.050 -161.7285
33.464239 74.057 -164.5565
33.706735 73.992 -166.9101
33.950987 73.894 -168.5858
34.197010 73.817 -169.5485
34.444816 73.806 -169.9864
34.694417 73.891 -170.1394
34.945827 74.080 -170.3553
35.199059 74.349 -171.0333
35.454126 74.660 -172.3489
35.711041 74.969 -174.3589
35.969818 75.234 -177.0446
36.230470 75.416 179.7648
36.493011 75.495 176.3054
36.757455 75.457 172.7989
37.023814 75.302 169.4905
37.292104 75.039 166.6831
37.562338 74.698 164.6418
37.834530 74.318 163.5236
38.108695 73.948 163.4081
38.384846 73.640 164.2366
38.662999 73.434 165.7694
38.943167 73.349 167.6537
39.225365 73.374 169.6080
39.509608 73.485 171.4774
39.795911 73.658 173.2620
40.084289 73.880 175.1023
40.374756 74.162 177.2239
40.667328 74.551 179.8273
40.962020 75.117 -177.1520
41.258848 75.910 -174.2087
41.557827 76.923 -172.1278
41.858972 78.086 -171.5937
42.162299 79.296 -172.8949
42.467824 80.461 -175.9315
42.775564 81.516 179.6150
43.085533 82.428 174.1294
43.397749 83.188 167.9758
43.712227 83.801 161.4588
44.028983 84.281 154.8011
44.348036 84.645 148.1453
44.669400 84.908 141.5730
44.993093 85.080 135.1324
45.319131 85.167 128.8677
45.647532 85.175 122.8458
45.978313 85.110 117.1644
46.311491 84.986 111.9360
46.647083 84.827 107.2468
46.985107 84.665 103.1068
47.325581 84.528 99.4206
47.668521 84.430 96.0153
48.013947 84.372 92.7247
48.361876 84.341 89.4741
48.712326 84.330 86.2996
49.065315 84.347 83.2826
49.420863 84.415 80.4423
49.778987 84.562 77.6589
50.139706 84.801 74.6933
50.503039 85.126 71.2879
50.869005 85.519 67.2496
51.237623 85.962 62.4466
51.608912 86.438 56.7431
51.982891 86.923 49.9567
52.359580 87.378 41.8980
52.739000 87.750 32.4622
53.121168 87.976 21.6975
53.506106 87.995 9.8147
53.893833 87.759 -2.8853
54.284370 87.232 -15.9990
54.677737 86.394 -29.0168
55.073955 85.246 -41.3547
55.473043 83.818 -52.4078
55.875024 82.182 -61.7062
56.279917 80.450 -69.1353
56.687745 78.744 -75.2881
57.098527 77.123 -81.3330
57.512287 75.530 -88.2562
57.929045 73.844 -96.4271
58.348822 71.953 -105.9806
58.771642 69.807 -117.5756
59.197525 67.456 -133.5853
59.626495 65.264 -160.4637
60.058573 64.244 152.7881
60.493782 65.092 107.2097
60.932145 66.858 79.9012
61.373685 68.597 61.7255
61.818424 70.038 47.4683
62.266386 71.173 35.1712
62.717593 72.039 23.9479
63.172071 72.673 13.5170
63.629842 73.120 3.9817
64.090930 73.452 -4.4722
64.555359 73.772 -11.7393
65.023154 74.179 -18.0954
65.494339 74.721 -24.1296
65.968938 75.379 -30.4713
66.446976 76.100 -37.3899
66.928478 76.834 -44.8429
67.413469 77.558 -52.6448
67.901975 78.269 -60.6198
68.394021 78.974 -68.6552
68.889632 79.685 -76.7166
69.388835 80.410 -84.8384
69.891655 81.152 -93.1187
70.398118 81.899 -101.7125
70.908252 82.625 -110.7401
71.422083 83.294 -120.2274
71.939636 83.877 -130.0874
72.460941 84.352 -140.1150
72.986023 84.714 -150.1094
73.514909 84.972 -159.8359
74.047629 85.149 -169.1138
74.584208 85.284 -177.8270
75.124676 85.428 173.9290
75.669061 85.614 165.7631
76.217390 85.828 157.0580
76.769692 85.995 147.3536
77.325997 86.018 136.5200
77.886333 85.804 124.8301
78.450730 85.281 112.6770
79.019216 84.391 100.4838
79.591822 83.065 88.7930
80.168577 81.215 78.3660
80.749512 78.746 71.1025
81.334656 75.797 74.1498
81.924040 73.913 120.5747
82.517696 75.218 164.2476
83.115653 77.888 168.7139
83.717943 80.265 164.5093
84.324598 82.142 157.2180
84.935649 83.552 148.2441
85.551128 84.533 138.5229
86.171066 85.151 129.0199
86.795497 85.515 120.5774
87.424453 85.768 113.5228
88.057967 86.031 107.4314
88.696071 86.345 101.4938
89.338800 86.684 95.1548
89.986185 87.009 88.3030
90.638262 87.306 80.9351
91.295065 87.559 72.8135
91.956626 87.715 63.5310
92.622982 87.671 52.9430
93.294166 87.317 41.5347
93.970214 86.582 30.4265
94.651161 85.489 21.0680
95.337042 84.173 14.5939
96.027894 82.849 10.9380
96.723752 81.691 8.7554
97.424652 80.734 6.7321
98.130631 79.917 4.3401
98.841726 79.153 1.4475
99.557974 78.360 -1.8248
100.279412 77.486 -4.9736
101.006078 76.535 -7.3049
101.738010 75.585 -8.4843
102.475245 74.732 -9.0223
103.217823 74.014 -9.8925
103.965782 73.392 -11.7150
104.719161 72.814 -14.5842
105.477999 72.276 -18.1377
106.242336 71.887 -22.2146
107.012212 71.797 -28.1754
107.787666 72.005 -37.8225
108.568740 72.423 -51.2307
109.355474 73.048 -67.4518
110.147909 73.873 -85.7195
110.946086 74.798 -104.9412
111.750047 75.732 -123.4769
112.559834 76.669 -140.1254
113.375489 77.627 -154.7246
114.197055 78.569 -167.9430
115.024574 79.397 179.4626
115.858089 80.004 167.4335
116.697645 80.367 156.7561
117.543284 80.569 148.1976
118.395051 80.721 141.5273
119.252990 80.874 136.1891
120.117147 81.071 132.1998
120.987565 81.393 129.4651
121.864291 81.899 127.3019
122.747370 82.584 124.8469
123.636848 83.373 121.2495
124.532771 84.155 116.1910
125.435187 84.839 109.9103
126.344142 85.378 102.8267
127.259684 85.770 95.5282
128.181860 86.059 88.4006
129.110718 86.282 81.1888
130.046308 86.426 73.5304
130.988677 86.455 65.4320
131.937875 86.342 57.0630
132.893951 86.074 48.6625
133.856956 85.661 40.3516
134.826938 85.095 31.8271
135.803950 84.322 22.8038
136.788041 83.255 13.5162
137.779264 81.815 4.3866
138.777669 79.909 -4.1500
139.783309 77.443 -11.1892
140.796237 74.568 -12.3225
141.816504 72.856 55.0820
142.844165 74.227 104.2946
143.879273 76.521 100.2184
144.921881 78.266 92.3276
145.972045 79.443 85.3026
147.029819 80.268 79.5389
148.095257 80.843 73.9089
149.168417 81.145 67.8683
150.249353 81.147 62.2473
151.338121 80.954 58.9902
152.434780 80.866 59.4484
153.539385 81.132 60.9283
154.651995 81.559 58.7755
155.772667 81.742 53.4226
156.901460 81.521 48.2867
158.038432 81.013 46.0787
159.183644 80.555 48.6444
160.337154 80.556 54.3466
161.499023 81.080 58.3151
162.669312 81.879 59.5477
163.848081 82.735 58.3499
165.035392 83.461 54.4591
166.231306 83.937 49.0530
167.435887 84.148 43.4731
168.649196 84.146 38.6321
169.871298 84.045 35.3711
171.102255 83.998 33.7006
172.342133 84.078 32.1760
173.590995 84.214 29.6475
174.848907 84.324 26.7991
176.115934 84.419 24.2026
177.392143 84.535 21.7532
178.677599 84.706 19.3937
179.972371 84.931 16.5112
181.276525 85.170 12.8630
182.590129 85.388 8.5227
183.913252 85.570 3.5646
185.245964 85.725 -1.8698
