* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:58:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back1-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 37.273 -5.6574
10.166832 37.609 -7.0091
10.240505 38.014 -8.4451
10.314712 38.430 -9.9348
10.389457 38.845 -11.4593
10.464743 39.239 -13.0201
10.540575 39.600 -14.6652
10.616956 39.937 -16.3511
10.693891 40.251 -18.0296
10.771383 40.539 -19.6649
10.849437 40.800 -21.3284
10.928057 41.035 -23.0327
11.007246 41.244 -24.7025
11.087009 41.425 -26.2704
11.167350 41.578 -27.7549
11.248273 41.701 -29.2474
11.329783 41.797 -30.6657
11.411883 41.866 -31.9203
11.494578 41.907 -32.9761
11.577873 41.917 -33.9385
11.661771 41.903 -34.7436
11.746277 41.871 -35.3022
11.831395 41.821 -35.5521
11.917130 41.749 -35.5484
12.003487 41.668 -35.2613
12.090469 41.596 -34.6483
12.178081 41.540 -33.6638
12.266329 41.492 -32.2990
12.355216 41.473 -30.6140
12.444747 41.507 -28.6962
12.534926 41.601 -26.5432
12.625760 41.752 -24.1723
12.717251 41.958 -21.7674
12.809406 42.223 -19.5038
12.902228 42.555 -17.3346
12.995723 42.940 -15.3274
13.089895 43.356 -13.6086
13.184750 43.792 -12.2277
13.280292 44.254 -11.0989
13.376526 44.729 -10.2496
13.473458 45.201 -9.7018
13.571093 45.667 -9.4056
13.669434 46.130 -9.3284
13.768489 46.581 -9.4685
13.868261 47.018 -9.8105
13.968756 47.442 -10.3164
14.069979 47.851 -10.9812
14.171936 48.243 -11.8035
14.274632 48.619 -12.7663
14.378072 48.975 -13.8498
14.482261 49.311 -15.0441
14.587206 49.625 -16.3689
14.692910 49.917 -17.7924
14.799381 50.183 -19.2660
14.906624 50.421 -20.8215
15.014643 50.631 -22.4556
15.123446 50.810 -24.0650
15.233036 50.957 -25.6507
15.343421 51.072 -27.2601
15.454606 51.156 -28.7531
15.566596 51.210 -30.0814
15.679398 51.234 -31.3151
15.793018 51.240 -32.3300
15.907460 51.232 -33.0466
16.022732 51.213 -33.5157
16.138840 51.206 -33.7141
16.255788 51.221 -33.5803
16.373585 51.264 -33.1546
16.492234 51.355 -32.6076
16.611744 51.506 -32.0247
16.732119 51.713 -31.3253
16.853367 51.971 -30.5950
16.975494 52.285 -30.2022
17.098505 52.635 -30.0452
17.222408 52.999 -30.2700
17.347209 53.377 -30.7995
17.472914 53.749 -31.5966
17.599530 54.101 -32.6760
17.727063 54.433 -33.9864
17.855521 54.736 -35.3899
17.984909 55.009 -36.9205
18.115235 55.254 -38.5020
18.246506 55.474 -40.0198
18.378727 55.671 -41.5294
18.511907 55.853 -42.9615
18.646052 56.025 -44.2909
18.781169 56.189 -45.5505
18.917265 56.352 -46.7420
19.054347 56.514 -47.8673
19.192423 56.672 -48.9513
19.331499 56.827 -50.0197
19.471583 56.974 -51.0361
19.612682 57.106 -51.9834
19.754804 57.225 -52.8670
19.897956 57.330 -53.5459
20.042144 57.421 -54.0434
20.187378 57.515 -54.2709
20.333664 57.622 -54.1458
20.481010 57.758 -53.7466
20.629424 57.953 -53.1003
20.778913 58.211 -52.2627
20.929486 58.543 -51.5695
21.081150 58.949 -50.9764
21.233912 59.400 -50.8259
21.387782 59.884 -51.1128
21.542767 60.367 -51.8368
21.698874 60.824 -53.0555
21.856113 61.240 -54.5475
22.014492 61.596 -56.2538
22.174018 61.894 -58.0368
22.334700 62.135 -59.6418
22.496546 62.333 -61.0928
22.659566 62.513 -62.1137
22.823766 62.695 -62.7953
22.989157 62.921 -63.1367
23.155745 63.203 -63.2195
23.323542 63.560 -63.4079
23.492554 63.983 -63.7113
23.662790 64.443 -64.5278
23.834261 64.918 -65.7458
24.006973 65.362 -67.4466
24.180938 65.758 -69.4803
24.356163 66.082 -71.5904
24.532658 66.338 -73.6717
24.710431 66.536 -75.2959
24.889493 66.713 -76.4521
25.069853 66.924 -76.8006
25.251519 67.231 -76.6725
25.434502 67.693 -76.0841
25.618811 68.317 -75.9125
25.804456 69.093 -76.2845
25.991445 69.940 -77.9477
26.179790 70.806 -80.6781
26.369500 71.611 -84.6424
26.560584 72.321 -89.4659
26.753053 72.897 -95.0548
26.946917 73.326 -100.9720
27.142185 73.593 -107.2426
27.338869 73.696 -113.2263
27.536977 73.637 -119.0508
27.736522 73.431 -123.9778
27.937512 73.113 -128.0167
28.139959 72.736 -130.5591
28.343872 72.415 -131.7065
28.549264 72.242 -131.3343
28.756143 72.329 -130.4722
28.964522 72.663 -129.8711
29.174411 73.183 -130.3965
29.385821 73.745 -132.4456
29.598763 74.261 -135.7926
29.813248 74.643 -140.2379
30.029287 74.853 -145.1270
30.246891 74.873 -150.3369
30.466073 74.700 -155.1001
30.686842 74.355 -159.1089
30.909212 73.878 -161.8931
31.133193 73.364 -162.8825
31.358797 72.946 -162.1241
31.586035 72.752 -159.7397
31.814921 72.881 -157.0963
32.045465 73.275 -155.2364
32.277680 73.832 -154.7988
32.511577 74.400 -155.9697
32.747169 74.900 -158.2444
32.984469 75.288 -161.2717
33.223488 75.554 -164.5978
33.464239 75.715 -167.7807
33.706735 75.800 -170.6432
33.950987 75.849 -172.9846
34.197010 75.914 -174.7465
34.444816 76.039 -176.1010
34.694417 76.250 -177.2606
34.945827 76.559 -178.5302
35.199059 76.948 179.7015
35.454126 77.380 177.2543
35.711041 77.814 174.0625
35.969818 78.210 170.1179
36.230470 78.530 165.5555
36.493011 78.751 160.5956
36.757455 78.858 155.4394
37.023814 78.847 150.3015
37.292104 78.726 145.4690
37.562338 78.519 141.2125
37.834530 78.267 137.6740
38.108695 78.018 134.9145
38.384846 77.824 132.8621
38.662999 77.729 131.2487
38.943167 77.746 129.6614
39.225365 77.860 127.7834
39.509608 78.042 125.4343
39.795911 78.264 122.5473
40.084289 78.507 119.1245
40.374756 78.763 115.1758
40.667328 79.030 110.6608
40.962020 79.300 105.4875
41.258848 79.559 99.5628
41.557827 79.786 92.8268
41.858972 79.958 85.2671
42.162299 80.052 76.9158
42.467824 80.054 67.8388
42.775564 79.953 58.1205
43.085533 79.747 47.8484
43.397749 79.441 37.0998
43.712227 79.045 25.9363
44.028983 78.576 14.3942
44.348036 78.053 2.4989
44.669400 77.496 -9.7095
44.993093 76.927 -22.1432
45.319131 76.370 -34.6384
45.647532 75.849 -46.9354
45.978313 75.393 -58.6953
46.311491 75.039 -69.5645
46.647083 74.829 -79.2844
46.985107 74.799 -87.8037
47.325581 74.962 -95.3114
47.668521 75.286 -102.1235
48.013947 75.711 -108.4747
48.361876 76.173 -114.3704
48.712326 76.646 -119.6007
49.065315 77.150 -123.9020
49.420863 77.743 -127.1896
49.778987 78.489 -129.7366
50.139706 79.411 -132.1191
50.503039 80.479 -134.9159
50.869005 81.646 -138.4720
51.237623 82.868 -142.9202
51.608912 84.119 -148.3584
51.982891 85.369 -154.9554
52.359580 86.571 -162.8954
52.739000 87.664 -172.2502
53.121168 88.583 177.0950
53.506106 89.276 165.4277
53.893833 89.704 153.1172
54.284370 89.846 140.6047
54.677737 89.699 128.3995
55.073955 89.283 117.0357
55.473043 88.644 107.0121
55.875024 87.858 98.6693
56.279917 87.020 92.0588
56.687745 86.214 86.8577
57.098527 85.475 82.5183
57.512287 84.787 78.6670
57.929045 84.121 75.3099
58.348822 83.479 72.6516
58.771642 82.897 70.7549
59.197525 82.417 69.3466
59.626495 82.048 67.9922
60.058573 81.761 66.4059
60.493782 81.520 64.5411
60.932145 81.305 62.4759
61.373685 81.108 60.2544
61.818424 80.926 57.8729
62.266386 80.751 55.3261
62.717593 80.580 52.6165
63.172071 80.408 49.7299
63.629842 80.228 46.6561
64.090930 80.030 43.4462
64.555359 79.817 40.2280
65.023154 79.608 37.0773
65.494339 79.432 33.8613
65.968938 79.294 30.2149
66.446976 79.163 25.8001
66.928478 78.982 20.5341
67.413469 78.707 14.6092
67.901975 78.321 8.2775
68.394021 77.835 1.6645
68.889632 77.257 -5.3787
69.388835 76.567 -13.1310
69.891655 75.705 -21.8248
70.398118 74.572 -31.3747
70.908252 73.045 -41.3352
71.422083 70.987 -49.9605
71.939636 68.467 -51.5185
72.460941 66.743 -26.7586
72.986023 67.812 4.2371
73.514909 70.203 2.3472
74.047629 72.226 -11.2908
74.584208 73.675 -28.1867
75.124676 74.764 -45.1205
75.669061 75.750 -60.9127
76.217390 76.827 -75.3879
76.769692 78.038 -89.1595
77.325997 79.315 -102.7761
77.886333 80.568 -116.4632
78.450730 81.731 -130.2590
79.019216 82.746 -144.2300
79.591822 83.556 -158.3303
80.168577 84.116 -172.3162
80.749512 84.413 174.1892
81.334656 84.470 161.6028
81.924040 84.326 150.0903
82.517696 83.998 139.5557
83.115653 83.462 129.9551
83.717943 82.664 121.7864
84.324598 81.605 116.5602
84.935649 80.496 116.7708
85.551128 79.903 123.7739
86.171066 80.329 132.7139
86.795497 81.490 136.7958
87.424453 82.795 135.7456
88.057967 83.985 131.9917
88.696071 85.047 126.9999
89.338800 86.015 121.0461
89.986185 86.887 113.8926
90.638262 87.618 105.3538
91.295065 88.151 95.4368
91.956626 88.415 84.3011
92.622982 88.337 72.3328
93.294166 87.849 60.2896
93.970214 86.918 49.3470
94.651161 85.572 40.9736
95.337042 83.931 36.6769
96.027894 82.237 37.7660
96.723752 80.928 44.7523
97.424652 80.530 54.8611
98.130631 81.090 61.9918
98.841726 82.081 63.2646
99.557974 83.022 59.7308
100.279412 83.679 53.1819
101.006078 83.978 45.2550
101.738010 83.946 37.3390
102.475245 83.675 30.2354
103.217823 83.258 23.9963
103.965782 82.747 18.4254
104.719161 82.171 13.6426
105.477999 81.597 9.8954
106.242336 81.124 6.8785
107.012212 80.806 3.5000
107.787666 80.592 -1.3879
108.568740 80.354 -8.2240
109.355474 79.978 -16.7700
110.147909 79.399 -26.5822
110.946086 78.614 -37.3328
111.750047 77.670 -49.0790
112.559834 76.654 -62.5011
113.375489 75.669 -78.8104
114.197055 74.824 -99.1328
115.024574 74.216 -123.2795
115.858089 73.913 -148.6367
116.697645 73.927 -171.4523
117.543284 74.189 170.4058
118.395051 74.585 156.8157
119.252990 75.018 146.9249
120.117147 75.469 140.1913
120.987565 76.008 136.2368
121.864291 76.724 134.0969
122.747370 77.619 132.3093
123.636848 78.618 129.8750
124.532771 79.639 126.5850
125.435187 80.617 122.3257
126.344142 81.485 117.0236
127.259684 82.201 111.1215
128.181860 82.770 105.1307
129.110718 83.213 99.2057
130.046308 83.549 93.4788
130.988677 83.804 88.0216
131.937875 83.992 82.6941
132.893951 84.107 77.3965
133.856956 84.125 72.0203
134.826938 84.002 66.6545
135.803950 83.729 62.1201
136.788041 83.388 59.2517
137.779264 83.099 57.7266
138.777669 82.915 56.6577
139.783309 82.813 55.3915
140.796237 82.721 53.6580
141.816504 82.592 52.0414
142.844165 82.447 51.1368
143.879273 82.325 50.7004
144.921881 82.246 50.7538
145.972045 82.289 52.0839
147.029819 82.577 54.3082
148.095257 83.098 55.2522
149.168417 83.704 54.2098
150.249353 84.338 52.5155
151.338121 85.052 50.3870
152.434780 85.810 46.4114
153.539385 86.463 39.8323
154.651995 86.868 31.2576
155.772667 86.951 21.6168
156.901460 86.685 11.8292
158.038432 86.095 2.8070
159.183644 85.220 -5.2847
160.337154 84.041 -12.6252
161.499023 82.489 -18.1187
162.669312 80.584 -18.9303
163.848081 78.664 -10.7915
165.035392 77.586 7.1581
166.231306 77.893 21.8719
167.435887 78.888 26.7639
168.649196 79.872 26.6581
169.871298 80.714 25.2627
171.102255 81.464 22.8329
172.342133 82.056 17.9906
173.590995 82.383 11.4742
174.848907 82.485 5.1920
176.115934 82.421 -1.9637
177.392143 82.031 -11.5206
178.677599 81.097 -21.8004
179.972371 79.517 -30.5228
181.276525 77.294 -35.3884
182.590129 74.837 -28.1808
