* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:59:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back1-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 36.379 -136.0029
10.166832 36.051 -144.5899
10.240505 35.649 -164.4435
10.314712 35.255 119.8908
10.389457 35.020 69.3848
10.464743 35.571 54.5805
10.540575 37.350 46.0132
10.616956 39.642 39.8369
10.693891 41.867 34.8652
10.771383 43.638 30.5174
10.849437 44.920 26.1774
10.928057 45.905 21.8297
11.007246 46.704 17.6921
11.087009 47.405 13.8386
11.167350 48.037 10.0394
11.248273 48.557 6.0031
11.329783 48.977 1.9901
11.411883 49.317 -1.8033
11.494578 49.589 -5.4229
11.577873 49.781 -9.2854
11.661771 49.893 -13.1895
11.746277 49.931 -16.8914
11.831395 49.896 -20.3345
11.917130 49.786 -23.9467
12.003487 49.595 -27.5774
12.090469 49.316 -30.9594
12.178081 48.950 -33.9842
12.266329 48.496 -36.9963
12.355216 47.939 -39.8541
12.444747 47.259 -42.2504
12.534926 46.434 -43.9785
12.625760 45.474 -45.0822
12.717251 44.419 -45.2988
12.809406 43.282 -44.1357
12.902228 41.959 -40.5672
12.995723 40.620 -33.7892
13.089895 39.657 -23.6777
13.184750 39.432 -11.3311
13.280292 39.887 1.7582
13.376526 40.706 12.0617
13.473458 41.624 18.2937
13.571093 42.640 21.3602
13.669434 43.717 22.3425
13.768489 44.690 21.9315
13.868261 45.454 20.3940
13.968756 46.056 17.8477
14.069979 46.530 14.8259
14.171936 46.892 11.5919
14.274632 47.136 7.7097
14.378072 47.270 3.4617
14.482261 47.306 -0.7524
14.587206 47.244 -5.3216
14.692910 47.082 -10.3167
14.799381 46.821 -15.3058
14.906624 46.463 -20.4153
15.014643 46.003 -26.0312
15.123446 45.430 -31.7576
15.233036 44.743 -37.4958
15.343421 43.934 -43.8185
15.454606 42.975 -50.4298
15.566596 41.853 -57.0748
15.679398 40.555 -64.4825
15.793018 38.982 -72.5834
15.907460 36.965 -81.0842
16.022732 34.583 -91.4419
16.138840 32.348 -105.4600
16.255788 30.640 -128.6245
16.373585 29.608 159.0266
16.492234 29.790 100.8404
16.611744 31.495 78.2689
16.732119 33.839 63.6086
16.853367 35.803 52.3893
16.975494 37.249 41.1456
17.098505 38.417 30.5530
17.222408 39.420 20.7539
17.347209 40.254 10.4416
17.472914 40.956 0.6695
17.599530 41.555 -8.8019
17.727063 42.043 -18.5876
17.855521 42.429 -27.7026
17.984909 42.713 -37.0371
18.115235 42.891 -46.3897
18.246506 42.957 -55.2990
18.378727 42.910 -64.8001
18.511907 42.742 -74.2012
18.646052 42.445 -84.0487
18.781169 42.032 -94.8306
18.917265 41.514 -106.1744
19.054347 40.910 -119.5934
19.192423 40.387 -134.9008
19.331499 40.021 -153.0752
19.471583 39.962 -173.8801
19.612682 40.421 165.0404
19.754804 41.326 145.1848
19.897956 42.452 128.7175
20.042144 43.731 114.9053
20.187378 45.010 103.5803
20.333664 46.189 93.8726
20.481010 47.270 85.3436
20.629424 48.229 77.7015
20.778913 49.068 70.5271
20.929486 49.787 63.8738
21.081150 50.384 57.3099
21.233912 50.856 51.0750
21.387782 51.201 44.7450
21.542767 51.410 38.5831
21.698874 51.475 32.3064
21.856113 51.381 26.0045
22.014492 51.113 19.6924
22.174018 50.649 13.1522
22.334700 49.956 6.7292
22.496546 48.995 -0.0906
22.659566 47.694 -6.7001
22.823766 45.971 -13.8524
22.989157 43.557 -20.8594
23.155745 40.673 -28.8840
23.323542 38.395 -40.1835
23.492554 37.503 149.7084
23.662790 38.786 137.1365
23.834261 41.166 129.0607
24.006973 42.770 123.0292
24.180938 43.620 117.0886
24.356163 43.882 113.1364
24.532658 43.628 110.4027
24.710431 42.973 111.5212
24.889493 42.275 116.9490
25.069853 42.089 128.4840
25.251519 42.648 141.0790
25.434502 44.025 149.3186
25.618811 45.536 151.2759
25.804456 46.811 148.3430
25.991445 47.705 142.5161
26.179790 48.176 133.8590
26.369500 48.230 123.7039
26.560584 47.876 111.0781
26.753053 47.128 96.3940
26.946917 46.047 78.6604
27.142185 44.695 56.2234
27.338869 43.229 30.7798
27.536977 41.736 1.2314
27.736522 40.330 -21.6310
27.937512 40.230 -32.4060
28.139959 42.781 75.6163
28.343872 46.567 76.3074
28.549264 50.504 65.8326
28.756143 53.774 52.5676
28.964522 56.438 40.1359
29.174411 58.583 27.4039
29.385821 60.282 15.2467
29.598763 61.564 3.2429
29.813248 62.459 -8.5985
30.029287 62.965 -19.6887
30.246891 63.072 -30.7289
30.466073 62.748 -40.5801
30.686842 61.937 -48.9781
30.909212 60.596 -54.9539
31.133193 58.769 -54.4442
31.358797 57.405 -41.6233
31.586035 57.651 -14.5959
31.814921 59.605 0.4785
32.045465 61.923 1.9304
32.277680 63.775 -3.3109
32.511577 65.074 -11.7240
32.747169 65.880 -21.3427
32.984469 66.232 -31.9348
33.223488 66.155 -42.9893
33.464239 65.643 -53.7767
33.706735 64.660 -64.3940
33.950987 63.149 -74.3733
34.197010 60.986 -82.0505
34.444816 58.201 -84.0824
34.694417 55.844 -60.8198
34.945827 56.144 1.5096
35.199059 58.448 13.3101
35.454126 60.866 9.9677
35.711041 62.673 2.8893
35.969818 63.970 -5.4508
36.230470 64.900 -14.0305
36.493011 65.546 -22.5923
36.757455 65.960 -31.0612
37.023814 66.174 -39.3893
37.292104 66.201 -47.5011
37.562338 66.037 -55.2610
37.834530 65.671 -62.5544
38.108695 65.087 -69.1848
38.384846 64.268 -74.8088
38.662999 63.205 -78.8434
38.943167 61.915 -80.4623
39.225365 60.488 -78.6219
39.509608 59.144 -72.2416
39.795911 58.206 -61.4294
40.084289 57.933 -48.9594
40.374756 58.267 -38.3420
40.667328 58.893 -30.5602
40.962020 59.595 -24.7205
41.258848 60.315 -19.8712
41.557827 61.070 -15.5948
41.858972 61.882 -11.9790
42.162299 62.740 -9.3450
42.467824 63.601 -7.9360
42.775564 64.409 -7.7539
43.085533 65.121 -8.5818
43.397749 65.718 -10.0964
43.712227 66.204 -11.9833
44.028983 66.602 -14.0305
44.348036 66.939 -16.1689
44.669400 67.233 -18.4535
44.993093 67.489 -20.9934
45.319131 67.695 -23.8613
45.647532 67.830 -27.0298
45.978313 67.879 -30.3619
46.311491 67.834 -33.6492
46.647083 67.702 -36.6682
46.985107 67.501 -39.2327
47.325581 67.256 -41.2247
47.668521 66.991 -42.6033
48.013947 66.730 -43.3994
48.361876 66.489 -43.7184
48.712326 66.270 -43.7345
49.065315 66.059 -43.6315
49.420863 65.817 -43.4709
49.778987 65.502 -43.0526
50.139706 65.097 -41.8796
50.503039 64.636 -39.3236
50.869005 64.214 -35.0127
51.237623 63.939 -29.2428
51.608912 63.866 -22.7302
51.982891 64.001 -15.6490
52.359580 64.428 -7.4237
52.739000 65.318 1.6868
53.121168 66.693 9.1365
53.506106 68.295 12.2640
53.893833 69.797 10.8418
54.284370 70.984 6.1515
54.677737 71.771 -0.2997
55.073955 72.152 -7.1802
55.473043 72.179 -13.3574
55.875024 71.956 -17.9393
56.279917 71.636 -20.4747
56.687745 71.379 -21.2487
57.098527 71.275 -21.3206
57.512287 71.287 -21.7612
57.929045 71.313 -22.9188
58.348822 71.272 -24.5139
58.771642 71.129 -26.0676
59.197525 70.890 -27.2340
59.626495 70.565 -27.8446
60.058573 70.160 -27.7228
60.493782 69.690 -26.4866
60.932145 69.219 -23.6077
61.373685 68.866 -18.8372
61.818424 68.764 -12.7814
62.266386 68.951 -6.8179
62.717593 69.344 -2.0065
63.172071 69.821 1.4907
63.629842 70.303 4.0785
64.090930 70.765 6.1544
64.555359 71.210 7.9241
65.023154 71.642 9.4470
65.494339 72.063 10.7520
65.968938 72.474 11.8776
66.446976 72.877 12.8513
66.928478 73.272 13.6709
67.413469 73.656 14.3052
67.901975 74.016 14.7164
68.394021 74.333 14.9093
68.889632 74.583 15.0077
69.388835 74.754 15.3126
69.891655 74.859 16.2080
70.398118 74.941 18.0688
70.908252 75.067 21.0813
71.422083 75.321 25.2277
71.939636 75.779 30.2578
72.460941 76.499 35.5665
72.986023 77.464 40.1959
73.514909 78.582 43.2701
74.047629 79.738 44.6056
74.584208 80.861 44.6450
75.124676 81.948 43.9956
75.669061 83.036 42.9071
76.217390 84.147 41.1040
76.769692 85.252 38.0875
77.325997 86.280 33.6002
77.886333 87.159 27.7804
78.450730 87.844 21.0524
79.019216 88.318 13.8838
79.591822 88.589 6.7358
80.168577 88.677 -0.0166
80.749512 88.621 -6.0494
81.334656 88.479 -11.1290
81.924040 88.317 -15.3103
82.517696 88.184 -19.0457
83.115653 88.065 -22.9948
83.717943 87.880 -27.5294
84.324598 87.537 -32.3340
84.935649 86.994 -36.5496
85.551128 86.291 -39.1987
86.171066 85.551 -39.7545
86.795497 84.916 -38.6412
87.424453 84.453 -36.9744
88.057967 84.123 -35.5369
88.696071 83.854 -34.2239
89.338800 83.637 -32.3263
89.986185 83.563 -29.2703
90.638262 83.761 -25.4934
91.295065 84.265 -22.5674
91.956626 84.945 -21.9517
92.622982 85.607 -23.9181
93.294166 86.106 -27.7435
93.970214 86.397 -32.3517
94.651161 86.519 -36.8622
95.337042 86.559 -41.0287
96.027894 86.580 -45.3292
96.723752 86.570 -50.4612
97.424652 86.466 -56.7115
98.130631 86.202 -63.8438
98.841726 85.754 -71.4199
99.557974 85.136 -79.1738
100.279412 84.374 -87.1396
101.006078 83.491 -95.4342
101.738010 82.522 -104.1101
102.475245 81.550 -113.5304
103.217823 80.678 -124.6357
103.965782 79.977 -138.1985
104.719161 79.536 -153.9672
105.477999 79.491 -170.8120
106.242336 79.913 172.6218
107.012212 80.706 157.3569
107.787666 81.680 143.7639
108.568740 82.657 131.6887
109.355474 83.516 121.0068
110.147909 84.217 111.8394
110.946086 84.781 104.2844
111.750047 85.249 98.2256
112.559834 85.661 93.4188
113.375489 86.047 89.5924
114.197055 86.423 86.4456
115.024574 86.789 83.6365
115.858089 87.119 80.9164
116.697645 87.386 78.2805
117.543284 87.568 75.8461
118.395051 87.652 73.7697
119.252990 87.637 72.3799
120.117147 87.558 72.1918
120.987565 87.496 73.5746
121.864291 87.561 76.4604
122.747370 87.867 80.6576
123.636848 88.512 85.4115
124.532771 89.463 88.9678
125.435187 90.548 89.9440
126.344142 91.568 88.2277
127.259684 92.409 84.8485
128.181860 93.060 80.9113
129.110718 93.546 76.6974
130.046308 93.865 72.2401
130.988677 94.011 67.8547
131.937875 93.997 63.8733
132.893951 93.841 60.4957
133.856956 93.555 57.8276
134.826938 93.156 56.3003
135.803950 92.715 56.6610
136.788041 92.370 59.1946
137.779264 92.258 63.1771
138.777669 92.427 67.2554
139.783309 92.854 70.9958
140.796237 93.521 74.2257
141.816504 94.348 75.6260
142.844165 95.170 74.4329
143.879273 95.850 71.3251
144.921881 96.331 67.1212
145.972045 96.594 62.4484
147.029819 96.661 58.0012
148.095257 96.577 54.0646
149.168417 96.376 50.6263
150.249353 96.076 47.6263
151.338121 95.670 44.9850
152.434780 95.138 42.8700
153.539385 94.474 41.8156
154.651995 93.741 43.0439
155.772667 93.142 47.4459
156.901460 92.903 53.5537
158.038432 93.035 58.4242
159.183644 93.342 61.0377
160.337154 93.657 62.1854
161.499023 93.934 62.9174
162.669312 94.209 63.6055
163.848081 94.476 63.3833
165.035392 94.660 62.0618
166.231306 94.715 60.4360
167.435887 94.654 59.1097
168.649196 94.532 58.4220
169.871298 94.411 58.3176
171.102255 94.312 57.9951
172.342133 94.152 56.5598
173.590995 93.806 54.5234
174.848907 93.245 53.7218
176.115934 92.585 55.4155
177.392143 92.010 59.3827
178.677599 91.680 64.9639
179.972371 91.683 70.9155
181.276525 91.951 75.3220
182.590129 92.312 77.5946
183.913252 92.637 78.5485
185.245964 92.896 79.0887
186.588332 93.130 79.6337
