* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:59:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back1-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 82.200 1.6901
10.166832 82.304 0.3998
10.240505 82.429 -0.8577
10.314712 82.558 -2.0844
10.389457 82.689 -3.2812
10.464743 82.824 -4.4452
10.540575 82.964 -5.5678
10.616956 83.107 -6.6607
10.693891 83.254 -7.7377
10.771383 83.406 -8.8116
10.849437 83.563 -9.8682
10.928057 83.725 -10.9046
11.007246 83.891 -11.9404
11.087009 84.060 -12.9948
11.167350 84.233 -14.0708
11.248273 84.411 -15.1498
11.329783 84.592 -16.2429
11.411883 84.773 -17.3631
11.494578 84.953 -18.5197
11.577873 85.135 -19.7036
11.661771 85.316 -20.9086
11.746277 85.494 -22.1311
11.831395 85.667 -23.3760
11.917130 85.837 -24.6530
12.003487 86.003 -25.9421
12.090469 86.163 -27.2230
12.178081 86.317 -28.4955
12.266329 86.464 -29.7807
12.355216 86.606 -31.0528
12.444747 86.743 -32.2841
12.534926 86.875 -33.4772
12.625760 87.003 -34.6481
12.717251 87.128 -35.7792
12.809406 87.253 -36.8518
12.902228 87.378 -37.8666
12.995723 87.504 -38.8359
13.089895 87.635 -39.7674
13.184750 87.773 -40.6562
13.280292 87.917 -41.4895
13.376526 88.069 -42.3030
13.473458 88.232 -43.1319
13.571093 88.405 -43.9475
13.669434 88.589 -44.7621
13.768489 88.781 -45.6265
13.868261 88.982 -46.5601
13.968756 89.191 -47.5281
14.069979 89.405 -48.5620
14.171936 89.619 -49.6941
14.274632 89.835 -50.9076
14.378072 90.049 -52.1928
14.482261 90.257 -53.5530
14.587206 90.457 -55.0043
14.692910 90.649 -56.5246
14.799381 90.830 -58.0802
14.906624 90.998 -59.6858
15.014643 91.153 -61.3437
15.123446 91.294 -62.9984
15.233036 91.420 -64.6435
15.343421 91.532 -66.3060
15.454606 91.632 -67.9323
15.566596 91.719 -69.5022
15.679398 91.794 -71.0467
15.793018 91.861 -72.5326
15.907460 91.921 -73.9418
16.022732 91.973 -75.2945
16.138840 92.023 -76.5846
16.255788 92.070 -77.8039
16.373585 92.116 -78.9614
16.492234 92.162 -80.0701
16.611744 92.209 -81.1290
16.732119 92.256 -82.1408
16.853367 92.304 -83.1190
16.975494 92.353 -84.0650
17.098505 92.401 -84.9745
17.222408 92.449 -85.8470
17.347209 92.496 -86.6861
17.472914 92.542 -87.4775
17.599530 92.588 -88.2121
17.727063 92.635 -88.8940
17.855521 92.685 -89.5147
17.984909 92.741 -90.0634
18.115235 92.804 -90.5584
18.246506 92.879 -91.0132
18.378727 92.966 -91.4163
18.511907 93.066 -91.8276
18.646052 93.182 -92.2478
18.781169 93.312 -92.6961
18.917265 93.452 -93.2322
19.054347 93.601 -93.8364
19.192423 93.754 -94.5372
19.331499 93.907 -95.3503
19.471583 94.055 -96.2498
19.612682 94.193 -97.2290
19.754804 94.321 -98.2875
19.897956 94.434 -99.3602
20.042144 94.531 -100.4650
20.187378 94.616 -101.5466
20.333664 94.687 -102.5806
20.481010 94.748 -103.5686
20.629424 94.804 -104.4713
20.778913 94.857 -105.3025
20.929486 94.912 -106.0681
21.081150 94.970 -106.7627
21.233912 95.035 -107.4280
21.387782 95.106 -108.0635
21.542767 95.183 -108.6948
21.698874 95.264 -109.3394
21.856113 95.347 -109.9900
22.014492 95.429 -110.6552
22.174018 95.509 -111.3208
22.334700 95.586 -111.9674
22.496546 95.661 -112.5930
22.659566 95.736 -113.1711
22.823766 95.813 -113.7078
22.989157 95.896 -114.2017
23.155745 95.987 -114.6575
23.323542 96.087 -115.1037
23.492554 96.197 -115.5395
23.662790 96.314 -115.9928
23.834261 96.439 -116.4576
24.006973 96.569 -116.9306
24.180938 96.704 -117.4053
24.356163 96.848 -117.8542
24.532658 97.003 -118.2856
24.710431 97.177 -118.6909
24.889493 97.377 -119.1210
25.069853 97.608 -119.6175
25.251519 97.871 -120.2873
25.434502 98.163 -121.1910
25.618811 98.472 -122.4453
25.804456 98.787 -124.0801
25.991445 99.085 -126.1279
26.179790 99.353 -128.5788
26.369500 99.569 -131.3440
26.560584 99.725 -134.3747
26.753053 99.808 -137.5247
26.946917 99.818 -140.6680
27.142185 99.754 -143.7067
27.338869 99.630 -146.4384
27.536977 99.459 -148.8217
27.736522 99.273 -150.7271
27.937512 99.095 -152.2220
28.139959 98.958 -153.3345
28.343872 98.877 -154.3646
28.549264 98.856 -155.4204
28.756143 98.876 -156.8603
28.964522 98.906 -158.7027
29.174411 98.911 -161.0801
29.385821 98.853 -163.8074
29.598763 98.709 -166.8229
29.813248 98.457 -169.8466
30.029287 98.098 -172.6059
30.246891 97.637 -174.9099
30.466073 97.107 -176.3796
30.686842 96.555 -176.9474
30.909212 96.036 -176.4523
31.133193 95.622 -175.2241
31.358797 95.342 -173.6338
31.586035 95.200 -172.1204
31.814921 95.148 -171.1573
32.045465 95.134 -170.7556
32.277680 95.114 -170.8972
32.511577 95.057 -171.3153
32.747169 94.964 -171.8016
32.984469 94.846 -172.2338
33.223488 94.725 -172.5206
33.464239 94.618 -172.7597
33.706735 94.528 -173.0369
33.950987 94.450 -173.4534
34.197010 94.364 -174.0452
34.444816 94.259 -174.7243
34.694417 94.134 -175.4054
34.945827 93.997 -175.9710
35.199059 93.873 -176.3969
35.454126 93.781 -176.8130
35.711041 93.728 -177.3899
35.969818 93.704 -178.3520
36.230470 93.672 -179.8698
36.493011 93.593 178.1046
36.757455 93.431 175.7150
37.023814 93.165 173.1821
37.292104 92.790 170.8427
37.562338 92.326 169.0206
37.834530 91.815 167.8881
38.108695 91.306 167.4949
38.384846 90.848 167.7079
38.662999 90.473 168.1877
38.943167 90.175 168.5521
39.225365 89.926 168.6166
39.509608 89.694 168.3627
39.795911 89.463 167.8726
40.084289 89.232 167.2475
40.374756 89.014 166.5123
40.667328 88.824 165.5481
40.962020 88.662 164.1343
41.258848 88.508 162.0689
41.557827 88.331 159.2346
41.858972 88.096 155.6150
42.162299 87.771 151.2729
42.467824 87.333 146.3148
42.775564 86.767 140.8545
43.085533 86.067 134.9860
43.397749 85.231 128.7659
43.712227 84.258 122.2050
44.028983 83.153 115.2606
44.348036 81.920 107.8393
44.669400 80.569 99.7993
44.993093 79.119 90.9621
45.319131 77.608 81.1465
45.647532 76.101 70.2661
45.978313 74.707 58.5117
46.311491 73.568 46.5524
46.647083 72.827 35.4785
46.985107 72.559 26.2913
47.325581 72.727 19.3439
47.668521 73.207 14.3199
48.013947 73.847 10.6815
48.361876 74.525 8.0988
48.712326 75.177 6.5886
49.065315 75.812 6.3923
49.420863 76.500 7.6873
49.778987 77.336 10.2332
50.139706 78.374 13.2341
50.503039 79.590 15.7078
50.869005 80.905 17.0338
51.237623 82.246 17.0942
51.608912 83.572 15.9972
51.982891 84.862 13.7831
52.359580 86.092 10.3508
52.739000 87.218 5.5779
53.121168 88.183 -0.5226
53.506106 88.929 -7.7347
53.893833 89.412 -15.6914
54.284370 89.607 -23.9139
54.677737 89.510 -31.8394
55.073955 89.145 -38.8821
55.473043 88.570 -44.5286
55.875024 87.867 -48.4928
56.279917 87.128 -50.8378
56.687745 86.417 -51.9791
57.098527 85.751 -52.3909
57.512287 85.109 -52.2342
57.929045 84.485 -51.3469
58.348822 83.910 -49.5613
58.771642 83.433 -47.0104
59.197525 83.083 -44.1225
59.626495 82.854 -41.3123
60.058573 82.717 -38.8001
60.493782 82.645 -36.6853
60.932145 82.606 -35.0305
61.373685 82.572 -33.8234
61.818424 82.519 -32.9208
62.266386 82.443 -32.1296
62.717593 82.356 -31.3721
63.172071 82.267 -30.7274
63.629842 82.168 -30.2975
64.090930 82.042 -30.0323
64.555359 81.890 -29.7178
65.023154 81.742 -29.1808
65.494339 81.639 -28.5265
65.968938 81.603 -28.2010
66.446976 81.613 -28.7012
66.928478 81.608 -30.2981
67.413469 81.527 -32.9505
67.901975 81.322 -36.4536
68.394021 80.969 -40.5730
68.889632 80.452 -45.1724
69.388835 79.761 -50.1718
69.891655 78.879 -55.6495
70.398118 77.771 -61.8586
70.908252 76.355 -69.2178
71.422083 74.479 -77.8569
71.939636 72.000 -86.9260
72.460941 69.343 -87.0918
72.986023 68.706 27.1317
73.514909 70.580 28.4405
74.047629 72.498 15.1913
74.584208 73.684 0.5864
75.124676 74.328 -12.9115
75.669061 74.797 -24.7194
76.217390 75.435 -35.5394
76.769692 76.361 -46.9905
77.325997 77.477 -59.9843
77.886333 78.639 -74.2996
78.450730 79.763 -89.2350
79.019216 80.800 -104.2858
79.591822 81.707 -119.1505
80.168577 82.444 -133.6395
80.749512 82.986 -147.5967
81.334656 83.331 -160.9019
81.924040 83.483 -173.6467
82.517696 83.431 173.8160
83.115653 83.128 161.0045
83.717943 82.483 147.4951
84.324598 81.375 133.0403
84.935649 79.670 117.3189
85.551128 77.281 99.0245
86.171066 74.475 69.1951
86.795497 72.856 -33.8256
87.424453 74.019 -78.6599
88.057967 76.303 -91.7221
88.696071 78.530 -98.6005
89.338800 80.514 -104.4478
89.986185 82.208 -111.4808
90.638262 83.555 -120.2956
91.295065 84.502 -130.8002
91.956626 84.988 -142.6671
92.622982 84.949 -155.3279
93.294166 84.328 -167.9338
93.970214 83.083 -179.4246
94.651161 81.187 171.4236
95.337042 78.634 166.6096
96.027894 75.734 174.2167
96.723752 74.320 -127.7065
97.424652 75.982 -91.8134
98.130631 78.454 -90.4094
98.841726 80.420 -96.0094
99.557974 81.768 -103.9499
100.279412 82.553 -112.9639
101.006078 82.823 -122.1179
101.738010 82.649 -130.3917
102.475245 82.141 -137.0798
103.217823 81.411 -142.1807
103.965782 80.526 -146.0648
104.719161 79.513 -148.7671
105.477999 78.413 -150.0558
106.242336 77.296 -150.1370
107.012212 76.212 -149.5868
107.787666 75.186 -148.6539
108.568740 74.260 -147.6760
109.355474 73.455 -147.6453
110.147909 72.739 -149.2419
110.946086 72.087 -152.6279
111.750047 71.501 -158.4526
112.559834 70.949 -167.3112
113.375489 70.413 -178.6934
114.197055 69.976 168.4751
115.024574 69.754 155.1385
115.858089 69.772 142.1133
116.697645 69.915 129.9802
117.543284 69.994 119.2734
118.395051 69.864 110.8093
119.252990 69.471 105.2395
120.117147 68.801 103.0133
120.987565 67.945 105.9390
121.864291 67.381 117.9202
122.747370 67.965 139.8369
123.636848 69.769 158.9663
124.532771 71.890 167.2727
125.435187 73.712 168.7207
126.344142 75.049 167.1570
127.259684 75.890 164.9189
128.181860 76.300 163.6866
129.110718 76.427 165.0820
130.046308 76.562 170.9236
130.988677 77.074 -179.3458
131.937875 78.068 -169.9288
132.893951 79.343 -163.1390
133.856956 80.678 -158.8984
134.826938 81.879 -157.5271
135.803950 82.797 -158.2700
136.788041 83.418 -158.9595
137.779264 83.875 -158.1013
138.777669 84.334 -155.6399
139.783309 84.910 -152.3096
140.796237 85.607 -149.5228
141.816504 86.306 -148.4635
142.844165 86.875 -148.8364
143.879273 87.276 -149.3646
144.921881 87.567 -149.3132
145.972045 87.811 -148.8445
147.029819 88.041 -148.2610
148.095257 88.247 -148.0934
149.168417 88.358 -148.9314
150.249353 88.272 -150.5677
151.338121 87.943 -151.7527
152.434780 87.448 -151.0585
153.539385 86.965 -147.9629
154.651995 86.658 -143.8827
155.772667 86.507 -141.0895
156.901460 86.348 -140.1388
158.038432 86.024 -140.3628
159.183644 85.448 -140.7856
160.337154 84.636 -139.5902
161.499023 83.763 -135.6179
162.669312 82.982 -131.5601
163.848081 82.176 -129.8043
165.035392 81.130 -128.3765
166.231306 79.824 -124.5966
167.435887 78.379 -118.7291
168.649196 76.826 -112.9041
169.871298 75.040 -106.5609
171.102255 72.931 -96.8732
172.342133 70.765 -78.2957
173.590995 69.765 -35.4561
174.848907 70.939 10.7068
176.115934 72.758 22.1343
