* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:05:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 44.777 -13.0371
10.166832 44.975 -11.9512
10.240505 45.216 -10.8343
10.314712 45.464 -9.8077
10.389457 45.722 -8.9799
10.464743 46.009 -8.4222
10.540575 46.346 -8.0424
10.616956 46.710 -7.8322
10.693891 47.082 -7.8042
10.771383 47.447 -7.9672
10.849437 47.805 -8.3239
10.928057 48.162 -8.8336
11.007246 48.513 -9.4465
11.087009 48.855 -10.1199
11.167350 49.184 -10.8475
11.248273 49.502 -11.6524
11.329783 49.812 -12.4943
11.411883 50.120 -13.3343
11.494578 50.426 -14.1442
11.577873 50.727 -14.9403
11.661771 51.029 -15.7412
11.746277 51.337 -16.5602
11.831395 51.655 -17.3834
11.917130 51.981 -18.1710
12.003487 52.316 -18.9917
12.090469 52.659 -19.9138
12.178081 53.014 -20.9389
12.266329 53.380 -21.9931
12.355216 53.750 -23.1459
12.444747 54.120 -24.4685
12.534926 54.488 -25.9562
12.625760 54.856 -27.5496
12.717251 55.214 -29.2615
12.809406 55.555 -31.1189
12.902228 55.879 -33.1495
12.995723 56.185 -35.2910
13.089895 56.466 -37.4828
13.184750 56.717 -39.7376
13.280292 56.939 -42.1345
13.376526 57.131 -44.5516
13.473458 57.288 -46.8758
13.571093 57.408 -49.2255
13.669434 57.494 -51.5875
13.768489 57.547 -53.8074
13.868261 57.565 -55.8250
13.968756 57.549 -57.7666
14.069979 57.507 -59.5309
14.171936 57.445 -60.9929
14.274632 57.362 -62.1869
14.378072 57.268 -63.1334
14.482261 57.183 -63.8109
14.587206 57.107 -64.1375
14.692910 57.048 -64.1774
14.799381 57.021 -64.0778
14.906624 57.037 -63.8268
15.014643 57.090 -63.4144
15.123446 57.177 -63.0542
15.233036 57.298 -62.8392
15.343421 57.449 -62.6948
15.454606 57.608 -62.7007
15.566596 57.763 -62.9275
15.679398 57.915 -63.3301
15.793018 58.048 -63.8004
15.907460 58.151 -64.3295
16.022732 58.227 -64.9395
16.138840 58.276 -65.4335
16.255788 58.295 -65.7499
16.373585 58.293 -65.9340
16.492234 58.290 -65.8491
16.611744 58.300 -65.4238
16.732119 58.319 -64.7275
16.853367 58.360 -63.8395
16.975494 58.465 -62.6908
17.098505 58.627 -61.4734
17.222408 58.850 -60.4261
17.347209 59.134 -59.4662
17.472914 59.456 -58.8004
17.599530 59.798 -58.5496
17.727063 60.156 -58.6143
17.855521 60.501 -59.0152
17.984909 60.823 -59.7775
18.115235 61.115 -60.7680
18.246506 61.364 -61.8920
18.378727 61.568 -63.2026
18.511907 61.726 -64.4690
18.646052 61.834 -65.7005
18.781169 61.895 -66.8371
18.917265 61.916 -67.6621
19.054347 61.896 -68.2531
19.192423 61.854 -68.3873
19.331499 61.794 -68.0063
19.471583 61.745 -67.0600
19.612682 61.742 -65.4070
19.754804 61.804 -63.0978
19.897956 61.991 -60.3128
20.042144 62.324 -57.0967
20.187378 62.809 -54.0453
20.333664 63.459 -51.3723
20.481010 64.228 -49.3850
20.629424 65.064 -48.4740
20.778913 65.941 -48.3701
20.929486 66.796 -49.2998
21.081150 67.613 -50.9853
21.233912 68.362 -53.2777
21.387782 69.027 -56.1680
21.542767 69.602 -59.2821
21.698874 70.078 -62.6702
21.856113 70.458 -66.0501
22.014492 70.741 -69.2544
22.174018 70.940 -72.2510
22.334700 71.072 -74.6618
22.496546 71.159 -76.6004
22.659566 71.245 -77.7656
22.823766 71.360 -78.2803
22.989157 71.563 -78.2967
23.155745 71.864 -77.9204
23.323542 72.277 -77.7547
23.492554 72.783 -77.7949
23.662790 73.327 -78.5188
23.834261 73.883 -79.7536
24.006973 74.392 -81.4993
24.180938 74.843 -83.5788
24.356163 75.215 -85.6340
24.532658 75.520 -87.5808
24.710431 75.784 -88.9536
24.889493 76.053 -89.8229
25.069853 76.391 -89.9321
25.251519 76.849 -89.7800
25.434502 77.473 -89.6972
25.618811 78.236 -89.8827
25.804456 79.112 -91.0931
25.991445 80.013 -93.6329
26.179790 80.891 -97.2306
26.369500 81.680 -101.9182
26.560584 82.356 -107.3661
26.753053 82.888 -113.4421
26.946917 83.267 -119.7506
27.142185 83.482 -126.3201
27.338869 83.533 -132.5224
27.536977 83.422 -138.4908
27.736522 83.169 -143.4843
27.937512 82.811 -147.5175
28.139959 82.406 -149.9699
28.343872 82.078 -151.0023
28.549264 81.922 -150.5206
28.756143 82.047 -149.6831
28.964522 82.425 -149.2497
29.174411 82.985 -150.0766
29.385821 83.578 -152.4721
29.598763 84.118 -156.1747
29.813248 84.523 -160.9477
30.029287 84.762 -166.1414
30.246891 84.823 -171.6379
30.466073 84.709 -176.7031
30.686842 84.450 178.9036
30.909212 84.088 175.5651
31.133193 83.716 173.6450
31.358797 83.435 172.9288
31.586035 83.333 173.2146
31.814921 83.454 173.3812
32.045465 83.736 172.7935
32.277680 84.094 171.0546
32.511577 84.406 168.0763
32.747169 84.601 164.3667
32.984469 84.637 160.2335
33.223488 84.498 156.2545
33.464239 84.207 153.1192
33.706735 83.827 151.2116
33.950987 83.457 151.0569
34.197010 83.271 152.5754
34.444816 83.386 154.8187
34.694417 83.822 156.6277
34.945827 84.485 156.8718
35.199059 85.205 155.0688
35.454126 85.864 151.5858
35.711041 86.388 146.8373
35.969818 86.738 141.2161
36.230470 86.902 135.2661
36.493011 86.885 129.3663
36.757455 86.702 123.7933
37.023814 86.379 118.8476
37.292104 85.956 114.8381
37.562338 85.490 111.8884
37.834530 85.042 109.9472
38.108695 84.663 108.8300
38.384846 84.382 108.1975
38.662999 84.198 107.6504
38.943167 84.082 106.9276
39.225365 84.001 105.9838
39.509608 83.931 104.8666
39.795911 83.862 103.6536
40.084289 83.791 102.4058
40.374756 83.718 101.1438
40.667328 83.637 99.8730
40.962020 83.543 98.6421
41.258848 83.433 97.5568
41.557827 83.318 96.7426
41.858972 83.221 96.2807
42.162299 83.172 96.1670
42.467824 83.198 96.1473
42.775564 83.304 96.0548
43.085533 83.474 95.6093
43.397749 83.679 94.7033
43.712227 83.892 93.3532
44.028983 84.100 91.6332
44.348036 84.295 89.5961
44.669400 84.475 87.2434
44.993093 84.630 84.5494
45.319131 84.744 81.5132
45.647532 84.796 78.2018
45.978313 84.773 74.7598
46.311491 84.670 71.3810
46.647083 84.499 68.2572
46.985107 84.282 65.5202
47.325581 84.045 63.1974
47.668521 83.813 61.2100
48.013947 83.594 59.4234
48.361876 83.384 57.7284
48.712326 83.174 56.0992
49.065315 82.956 54.5934
49.420863 82.737 53.2941
49.778987 82.530 52.2290
50.139706 82.353 51.3171
50.503039 82.208 50.3918
50.869005 82.084 49.2889
51.237623 81.953 47.9550
51.608912 81.789 46.4909
51.982891 81.583 45.1006
52.359580 81.345 43.9765
52.739000 81.097 43.1877
53.121168 80.859 42.6587
53.506106 80.631 42.2763
53.893833 80.403 42.0405
54.284370 80.176 42.1083
54.677737 79.972 42.6649
55.073955 79.836 43.6816
55.473043 79.801 44.8059
55.875024 79.849 45.5809
56.279917 79.931 45.8061
56.687745 79.995 45.6628
57.098527 80.030 45.5647
57.512287 80.068 45.8634
57.929045 80.164 46.6310
58.348822 80.368 47.6471
58.771642 80.702 48.5135
59.197525 81.156 48.8146
59.626495 81.696 48.2175
60.058573 82.270 46.5242
60.493782 82.821 43.6980
60.932145 83.298 39.8984
61.373685 83.672 35.3914
61.818424 83.933 30.4729
62.266386 84.086 25.3881
62.717593 84.145 20.2754
63.172071 84.122 15.2303
63.629842 84.029 10.3528
64.090930 83.885 5.7490
64.555359 83.723 1.5054
65.023154 83.586 -2.4419
65.494339 83.512 -6.3787
65.968938 83.507 -10.7880
66.446976 83.537 -16.0724
66.928478 83.547 -22.3984
67.413469 83.490 -29.7000
67.901975 83.343 -37.8450
68.394021 83.108 -46.7574
68.889632 82.796 -56.5516
69.388835 82.423 -67.4512
69.891655 82.008 -79.8269
70.398118 81.581 -94.1178
70.908252 81.181 -110.8761
71.422083 80.852 -130.4229
71.939636 80.622 -152.6323
72.460941 80.490 -176.2487
72.986023 80.426 160.5852
73.514909 80.409 139.9969
74.047629 80.480 123.2628
74.584208 80.759 110.7398
75.124676 81.361 101.3942
75.669061 82.270 93.4371
76.217390 83.340 85.2820
76.769692 84.427 76.3707
77.325997 85.438 66.6616
77.886333 86.316 56.2490
78.450730 87.020 45.2957
79.019216 87.520 34.0837
79.591822 87.815 23.0919
80.168577 87.939 12.7622
80.749512 87.956 3.3718
81.334656 87.945 -5.0962
81.924040 87.960 -13.0021
82.517696 88.013 -20.8365
83.115653 88.070 -28.9789
83.717943 88.073 -37.5044
84.324598 87.975 -46.1389
84.935649 87.765 -54.4122
85.551128 87.478 -61.8476
86.171066 87.193 -68.1978
86.795497 86.996 -73.7127
87.424453 86.925 -79.1504
88.057967 86.930 -85.2366
88.696071 86.908 -92.1414
89.338800 86.772 -99.5119
89.986185 86.473 -106.6628
90.638262 86.036 -112.5129
91.295065 85.626 -115.7653
91.956626 85.552 -116.4420
92.622982 85.978 -117.3588
93.294166 86.693 -121.2994
93.970214 87.380 -128.2043
94.651161 87.879 -136.7416
95.337042 88.154 -145.9196
96.027894 88.201 -155.1206
96.723752 88.038 -163.7136
97.424652 87.720 -171.0593
98.130631 87.343 -176.7803
98.841726 87.019 179.1139
99.557974 86.852 176.2302
100.279412 86.902 173.8003
101.006078 87.150 170.9368
101.738010 87.509 167.0582
102.475245 87.874 162.0966
103.217823 88.171 156.4414
103.965782 88.384 150.7030
104.719161 88.553 145.3618
105.477999 88.749 140.4973
106.242336 89.027 135.7076
107.012212 89.383 130.2979
107.787666 89.745 123.7203
108.568740 90.016 115.9073
109.355474 90.118 107.2776
110.147909 90.019 98.4832
110.946086 89.745 90.1001
111.750047 89.349 82.2441
112.559834 88.856 74.4424
113.375489 88.213 66.1462
114.197055 87.304 57.5105
115.024574 86.021 49.8026
115.858089 84.360 45.2695
116.697645 82.499 45.9805
117.543284 80.790 51.8766
118.395051 79.607 60.9933
119.252990 79.151 70.7369
120.117147 79.303 78.1619
120.987565 79.747 82.5706
121.864291 80.297 85.3610
122.747370 80.917 86.9421
123.636848 81.593 87.1238
124.532771 82.313 85.8329
125.435187 82.964 81.4180
126.344142 83.271 73.3783
127.259684 83.049 64.0154
128.181860 82.290 55.3229
129.110718 80.997 48.0035
130.046308 79.148 43.7780
130.988677 77.080 49.9071
131.937875 76.511 90.7412
132.893951 78.576 124.6462
133.856956 81.228 126.6643
134.826938 83.315 119.4996
135.803950 84.704 109.5486
136.788041 85.507 99.5437
137.779264 85.886 90.7036
138.777669 85.988 83.4082
139.783309 85.962 77.9741
140.796237 85.943 73.6456
141.816504 85.914 68.7812
142.844165 85.755 63.3354
143.879273 85.428 58.7141
144.921881 85.028 55.8071
145.972045 84.677 54.0696
147.029819 84.404 52.2946
148.095257 84.156 50.2802
149.168417 83.945 48.8513
150.249353 83.849 47.5784
151.338121 83.842 44.6672
152.434780 83.766 39.3905
153.539385 83.443 31.8646
154.651995 82.704 22.4597
155.772667 81.400 11.7849
156.901460 79.419 -0.0323
158.038432 76.881 -14.2388
159.183644 75.194 -91.2462
160.337154 76.482 156.6960
161.499023 79.059 144.0590
162.669312 81.365 135.7001
163.848081 83.234 128.8717
165.035392 84.721 122.2864
166.231306 85.903 116.0681
167.435887 86.877 110.5969
168.649196 87.715 105.5936
169.871298 88.434 100.5437
171.102255 89.039 95.5992
172.342133 89.584 91.3450
173.590995 90.133 87.4869
174.848907 90.669 83.0300
176.115934 91.134 78.0049
177.392143 91.525 73.0626
178.677599 91.871 68.1299
179.972371 92.162 62.7723
181.276525 92.357 56.9778
182.590129 92.423 50.9976
183.913252 92.329 44.9121
185.245964 92.026 38.9122
186.588332 91.491 34.0143
