* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:05:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 33.355 -34.6842
10.166832 33.398 -33.7274
10.240505 33.450 -32.9862
10.314712 33.503 -32.2601
10.389457 33.552 -31.3470
10.464743 33.580 -30.0822
10.540575 33.567 -28.6024
10.616956 33.545 -26.8965
10.693891 33.562 -24.9309
10.771383 33.661 -22.7153
10.849437 33.847 -20.0996
10.928057 34.107 -17.2394
11.007246 34.441 -14.5770
11.087009 34.856 -12.5358
11.167350 35.370 -11.1084
11.248273 35.981 -9.9538
11.329783 36.642 -9.4390
11.411883 37.301 -9.8374
11.494578 37.933 -11.1984
11.577873 38.558 -13.0910
11.661771 39.164 -15.4758
11.746277 39.727 -18.4125
11.831395 40.231 -22.0405
11.917130 40.684 -26.2950
12.003487 41.089 -30.9151
12.090469 41.443 -35.7989
12.178081 41.745 -41.1774
12.266329 41.993 -47.2742
12.355216 42.195 -53.6981
12.444747 42.358 -60.2091
12.534926 42.480 -67.2530
12.625760 42.562 -75.0699
12.717251 42.615 -83.1356
12.809406 42.645 -91.1243
12.902228 42.655 -99.8713
12.995723 42.662 -109.2351
13.089895 42.667 -118.5403
13.184750 42.668 -127.6836
13.280292 42.666 -137.5955
13.376526 42.657 -147.6311
13.473458 42.635 -157.0029
13.571093 42.605 -166.4952
13.669434 42.556 -176.2933
13.768489 42.461 174.4591
13.868261 42.311 166.0114
13.968756 42.108 157.2661
14.069979 41.816 148.7965
14.171936 41.406 141.4835
14.274632 40.884 134.4525
14.378072 40.213 127.6505
14.482261 39.321 122.0981
14.587206 38.122 118.2263
14.692910 36.741 115.9259
14.799381 35.425 116.2674
14.906624 34.237 122.1316
15.014643 33.288 135.4214
15.123446 33.098 151.0344
15.233036 34.114 162.0477
15.343421 35.937 168.1057
15.454606 37.754 169.1415
15.566596 39.161 166.2826
15.679398 40.321 161.4606
15.793018 41.257 155.8364
15.907460 41.956 148.9039
16.022732 42.430 140.5640
16.138840 42.721 132.0775
16.255788 42.842 122.5844
16.373585 42.804 111.3554
16.492234 42.661 99.8318
16.611744 42.412 86.4543
16.732119 42.128 70.5681
16.853367 41.957 54.0522
16.975494 41.936 34.7197
17.098505 42.092 14.2556
17.222408 42.488 -4.6014
17.347209 43.113 -23.5638
17.472914 43.812 -40.0204
17.599530 44.482 -54.3548
17.727063 45.113 -68.1263
17.855521 45.617 -79.7468
17.984909 45.967 -90.9985
18.115235 46.151 -101.7759
18.246506 46.145 -111.1763
18.378727 45.942 -120.9559
18.511907 45.508 -129.9549
18.646052 44.837 -138.3833
18.781169 43.871 -147.0408
18.917265 42.514 -154.4307
19.054347 40.744 -161.3467
19.192423 38.451 -167.1528
19.331499 35.272 -167.7116
19.471583 32.353 -149.9955
19.612682 32.139 -77.6161
19.754804 34.234 -55.1412
19.897956 36.288 -54.2998
20.042144 37.838 -59.7094
20.187378 38.853 -65.5140
20.333664 39.224 -72.1201
20.481010 38.984 -79.4530
20.629424 38.130 -85.3651
20.778913 36.663 -91.9219
20.929486 34.570 -95.1385
21.081150 32.002 -88.9252
21.233912 31.412 -7.9517
21.387782 33.897 29.9354
21.542767 36.859 30.7867
21.698874 39.087 25.7622
21.856113 40.774 20.0905
22.014492 41.884 13.9773
22.174018 42.503 7.7504
22.334700 42.735 2.4167
22.496546 42.583 -2.7084
22.659566 42.069 -5.9386
22.823766 41.232 -7.6244
22.989157 40.179 -5.7367
23.155745 39.129 0.9507
23.323542 38.723 12.3599
23.492554 39.080 26.2887
23.662790 40.102 36.1554
23.834261 41.516 41.5677
24.006973 42.813 43.1481
24.180938 43.954 42.4492
24.356163 44.926 40.5950
24.532658 45.774 37.8771
24.710431 46.578 34.7578
24.889493 47.377 31.0381
25.069853 48.223 26.7213
25.251519 49.115 21.5121
25.434502 50.055 15.3687
25.618811 51.010 8.1941
25.804456 51.956 0.0632
25.991445 52.857 -8.8081
26.179790 53.691 -18.3485
26.369500 54.426 -28.1708
26.560584 55.045 -38.2015
26.753053 55.519 -48.1769
26.946917 55.825 -57.7507
27.142185 55.938 -67.0809
27.338869 55.825 -75.2724
27.536977 55.466 -82.6183
27.736522 54.834 -87.7033
27.937512 53.997 -90.0938
28.139959 53.082 -87.5314
28.343872 52.678 -79.2938
28.549264 53.167 -66.6202
28.756143 54.578 -56.8987
28.964522 56.411 -52.5801
29.174411 58.164 -52.9963
29.385821 59.666 -56.3066
29.598763 60.877 -61.2652
29.813248 61.804 -67.2001
30.029287 62.470 -73.3990
30.246891 62.889 -79.8435
30.466073 63.081 -85.9476
30.686842 63.063 -91.5699
30.909212 62.851 -96.5480
31.133193 62.478 -100.3594
31.358797 61.994 -102.8874
31.586035 61.462 -103.7484
31.814921 60.998 -102.9529
32.045465 60.703 -100.9150
32.277680 60.641 -98.2446
32.511577 60.800 -96.1227
32.747169 61.082 -95.0517
32.984469 61.392 -95.1295
33.223488 61.633 -96.1691
33.464239 61.760 -97.5004
33.706735 61.775 -98.6256
33.950987 61.714 -98.9743
34.197010 61.687 -97.9528
34.444816 61.838 -95.7047
34.694417 62.275 -92.8766
34.945827 63.031 -90.5890
35.199059 63.991 -90.1208
35.454126 65.011 -91.7061
35.711041 65.972 -95.0752
35.969818 66.792 -99.8701
36.230470 67.433 -105.5294
36.493011 67.883 -111.5303
36.757455 68.148 -117.5135
37.023814 68.245 -123.1416
37.292104 68.208 -128.0223
37.562338 68.091 -131.8932
37.834530 67.957 -134.7217
38.108695 67.869 -136.6267
38.384846 67.871 -137.9264
38.662999 67.974 -139.1015
38.943167 68.141 -140.5638
39.225365 68.324 -142.4246
39.509608 68.484 -144.5973
39.795911 68.603 -146.8984
40.084289 68.685 -149.1296
40.374756 68.754 -151.1696
40.667328 68.844 -153.0708
40.962020 68.970 -155.0663
41.258848 69.125 -157.4335
41.557827 69.276 -160.3693
41.858972 69.380 -163.9213
42.162299 69.393 -167.9802
42.467824 69.284 -172.3099
42.775564 69.037 -176.5907
43.085533 68.658 179.5308
43.397749 68.173 176.3800
43.712227 67.626 174.1711
44.028983 67.070 172.9316
44.348036 66.549 172.4998
44.669400 66.082 172.6240
44.993093 65.663 173.1290
45.319131 65.280 174.0236
45.647532 64.937 175.4484
45.978313 64.668 177.4839
46.311491 64.512 179.9560
46.647083 64.484 -177.5658
46.985107 64.555 -175.5088
47.325581 64.665 -174.0046
47.668521 64.768 -172.8339
48.013947 64.855 -171.6053
48.361876 64.962 -170.0187
48.712326 65.143 -168.0737
49.065315 65.434 -166.0955
49.420863 65.832 -164.5229
49.778987 66.301 -163.6294
50.139706 66.802 -163.4177
50.503039 67.319 -163.7280
50.869005 67.859 -164.4224
51.237623 68.444 -165.5372
51.608912 69.082 -167.3306
51.982891 69.750 -170.1815
52.359580 70.390 -174.3965
52.739000 70.925 179.9424
53.121168 71.276 173.0114
53.506106 71.377 165.1956
53.893833 71.178 157.0019
54.284370 70.649 149.0757
54.677737 69.787 142.2281
55.073955 68.628 137.4084
55.473043 67.277 135.5385
55.875024 65.915 137.0253
56.279917 64.739 141.2156
56.687745 63.856 146.5633
57.098527 63.238 152.0705
57.512287 62.835 157.7855
57.929045 62.665 163.7097
58.348822 62.733 169.0190
58.771642 62.949 172.6342
59.197525 63.148 174.2643
59.626495 63.186 174.4946
60.058573 62.984 174.2899
60.493782 62.527 174.7780
60.932145 61.867 177.1046
61.373685 61.133 -177.6927
61.818424 60.549 -168.9683
62.266386 60.399 -157.0543
62.717593 60.891 -143.7358
63.172071 61.994 -131.8386
63.629842 63.448 -123.4122
64.090930 64.981 -118.5302
64.555359 66.438 -116.0955
65.023154 67.794 -114.9381
65.494339 69.085 -114.4247
65.968938 70.345 -114.5244
66.446976 71.571 -115.4691
66.928478 72.727 -117.3931
67.413469 73.778 -120.1624
67.901975 74.708 -123.4737
68.394021 75.524 -127.0083
68.889632 76.245 -130.5419
69.388835 76.898 -133.9495
69.891655 77.507 -137.2278
70.398118 78.087 -140.4293
70.908252 78.651 -143.5918
71.422083 79.210 -146.7322
71.939636 79.779 -149.9420
72.460941 80.357 -153.5009
72.986023 80.909 -157.7197
73.514909 81.371 -162.6899
74.047629 81.689 -168.0645
74.584208 81.855 -173.2432
75.124676 81.915 -177.7009
75.669061 81.936 178.6057
76.217390 81.951 175.2925
76.769692 81.937 172.1412
77.325997 81.877 169.4932
77.886333 81.827 167.9758
78.450730 81.901 167.5344
79.019216 82.160 167.1331
79.591822 82.528 165.6451
80.168577 82.880 163.0136
80.749512 83.148 159.9089
81.334656 83.349 156.9967
81.924040 83.534 154.4264
82.517696 83.736 151.9346
83.115653 83.945 149.2338
83.717943 84.137 146.3066
84.324598 84.302 143.3958
84.935649 84.467 140.7158
85.551128 84.669 138.1834
86.171066 84.920 135.4201
86.795497 85.193 132.0867
87.424453 85.445 128.1652
88.057967 85.654 123.8433
88.696071 85.817 119.2347
89.338800 85.928 114.3177
89.986185 85.974 109.0815
90.638262 85.938 103.6427
91.295065 85.820 98.2075
91.956626 85.634 92.9376
92.622982 85.405 87.8251
93.294166 85.143 82.6826
93.970214 84.836 77.3154
94.651161 84.459 71.7169
95.337042 83.998 66.0335
96.027894 83.455 60.3419
96.723752 82.836 54.5391
97.424652 82.133 48.4487
98.130631 81.326 41.9244
98.841726 80.388 34.8271
99.557974 79.289 26.9666
100.279412 78.000 17.9755
101.006078 76.494 7.0914
101.738010 74.752 -7.0294
102.475245 72.856 -26.7590
103.217823 71.233 -55.8491
103.965782 70.694 -92.5220
104.719161 71.441 -123.0140
105.477999 72.757 -142.4954
106.242336 74.163 -153.8928
107.012212 75.634 -159.8519
107.787666 77.200 -163.3693
108.568740 78.761 -167.1606
109.355474 80.181 -172.0730
110.147909 81.405 -177.6027
110.946086 82.447 176.8116
111.750047 83.338 171.3741
112.559834 84.107 166.1550
113.375489 84.783 161.2549
114.197055 85.405 156.7723
115.024574 86.015 152.6216
115.858089 86.628 148.3297
116.697645 87.205 143.4841
117.543284 87.703 138.1799
118.395051 88.105 132.6157
119.252990 88.394 126.8938
120.117147 88.568 121.3433
120.987565 88.654 116.2971
121.864291 88.685 111.7253
122.747370 88.679 107.6027
123.636848 88.666 104.0809
124.532771 88.696 101.1823
125.435187 88.821 98.6155
126.344142 89.042 95.5049
127.259684 89.267 90.9912
128.181860 89.367 85.1934
129.110718 89.264 78.8528
130.046308 88.931 72.6302
130.988677 88.367 67.1014
131.937875 87.598 63.0027
132.893951 86.704 61.1565
133.856956 85.830 61.9863
134.826938 85.151 64.9846
135.803950 84.764 68.6453
136.788041 84.627 71.7437
137.779264 84.645 74.2671
138.777669 84.798 76.9292
139.783309 85.167 80.2178
140.796237 85.788 82.7543
141.816504 86.487 82.1936
142.844165 86.997 78.7593
143.879273 87.214 74.8492
144.921881 87.244 72.5616
145.972045 87.309 72.4375
147.029819 87.576 73.1501
148.095257 88.038 72.8929
149.168417 88.556 70.8127
150.249353 89.000 67.3198
151.338121 89.317 63.0846
152.434780 89.479 58.2991
153.539385 89.474 53.4995
154.651995 89.320 49.0244
155.772667 89.015 44.7969
156.901460 88.554 41.4899
158.038432 88.013 40.2432
159.183644 87.523 40.7001
160.337154 87.149 42.1096
161.499023 86.970 45.1173
162.669312 87.109 49.1246
163.848081 87.592 52.5831
165.035392 88.312 54.1635
166.231306 89.093 53.3119
167.435887 89.801 50.6195
168.649196 90.392 47.0084
169.871298 90.889 43.1069
171.102255 91.313 38.7294
172.342133 91.643 33.6759
173.590995 91.857 28.2311
174.848907 91.946 22.5453
176.115934 91.897 16.7014
177.392143 91.705 11.1597
178.677599 91.399 6.3076
179.972371 91.018 2.2395
181.276525 90.624 -0.6714
182.590129 90.311 -2.5284
183.913252 90.112 -4.7380
185.245964 89.916 -8.3345
