* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:07:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 77.650 8.8919
10.166832 77.730 7.8915
10.240505 77.827 6.9218
10.314712 77.927 5.9670
10.389457 78.029 5.0112
10.464743 78.134 4.0431
10.540575 78.246 3.0793
10.616956 78.361 2.1163
10.693891 78.478 1.1443
10.771383 78.593 0.1527
10.849437 78.707 -0.8642
10.928057 78.821 -1.8986
11.007246 78.932 -2.9424
11.087009 79.039 -3.9894
11.167350 79.140 -5.0488
11.248273 79.235 -6.1331
11.329783 79.325 -7.2166
11.411883 79.407 -8.2732
11.494578 79.481 -9.2970
11.577873 79.547 -10.3219
11.661771 79.605 -11.3189
11.746277 79.656 -12.2525
11.831395 79.702 -13.1034
11.917130 79.740 -13.9038
12.003487 79.773 -14.6374
12.090469 79.808 -15.2801
12.178081 79.844 -15.8118
12.266329 79.881 -16.2429
12.355216 79.923 -16.5886
12.444747 79.978 -16.8630
12.534926 80.047 -17.0427
12.625760 80.130 -17.1284
12.717251 80.229 -17.1826
12.809406 80.349 -17.2624
12.902228 80.492 -17.3121
12.995723 80.655 -17.3668
13.089895 80.835 -17.5109
13.184750 81.032 -17.7848
13.280292 81.246 -18.1255
13.376526 81.471 -18.5822
13.473458 81.699 -19.2108
13.571093 81.931 -19.9962
13.669434 82.164 -20.9134
13.768489 82.390 -21.9683
13.868261 82.604 -23.1778
13.968756 82.807 -24.5347
14.069979 82.996 -25.9936
14.171936 83.166 -27.5295
14.274632 83.315 -29.1935
14.378072 83.444 -30.9331
14.482261 83.549 -32.6788
14.587206 83.630 -34.4822
14.692910 83.687 -36.3328
14.799381 83.719 -38.1448
14.906624 83.727 -39.9260
15.014643 83.710 -41.7114
15.123446 83.670 -43.4241
15.233036 83.608 -45.0380
15.343421 83.523 -46.5965
15.454606 83.420 -48.0513
15.566596 83.300 -49.3674
15.679398 83.163 -50.5688
15.793018 83.014 -51.6442
15.907460 82.857 -52.5689
16.022732 82.691 -53.3423
16.138840 82.522 -53.9926
16.255788 82.353 -54.5088
16.373585 82.184 -54.8807
16.492234 82.018 -55.1699
16.611744 81.858 -55.3672
16.732119 81.702 -55.4750
16.853367 81.549 -55.5610
16.975494 81.400 -55.6131
17.098505 81.250 -55.6428
17.222408 81.095 -55.6892
17.347209 80.933 -55.7468
17.472914 80.758 -55.8005
17.599530 80.563 -55.8565
17.727063 80.346 -55.9079
17.855521 80.099 -55.8808
17.984909 79.817 -55.7845
18.115235 79.498 -55.5557
18.246506 79.136 -55.0853
18.378727 78.732 -54.3633
18.511907 78.287 -53.2548
18.646052 77.803 -51.6475
18.781169 77.291 -49.4551
18.917265 76.774 -46.5436
19.054347 76.259 -42.7760
19.192423 75.799 -38.1388
19.331499 75.419 -32.5933
19.471583 75.155 -26.2354
19.612682 75.057 -19.3408
19.754804 75.127 -12.1673
19.897956 75.363 -5.0363
20.042144 75.763 1.7333
20.187378 76.292 7.9741
20.333664 76.924 13.5813
20.481010 77.640 18.4540
20.629424 78.406 22.5792
20.778913 79.212 25.9929
20.929486 80.027 28.6197
21.081150 80.842 30.6124
21.233912 81.633 31.9366
21.387782 82.391 32.7083
21.542767 83.102 33.0246
21.698874 83.757 32.9322
21.856113 84.354 32.5816
22.014492 84.889 32.0387
22.174018 85.365 31.3926
22.334700 85.786 30.7698
22.496546 86.156 30.1785
22.659566 86.488 29.7556
22.823766 86.787 29.4720
22.989157 87.069 29.4025
23.155745 87.340 29.5188
23.323542 87.610 29.8155
23.492554 87.883 30.2768
23.662790 88.163 30.8743
23.834261 88.453 31.6042
24.006973 88.755 32.4828
24.180938 89.074 33.5051
24.356163 89.423 34.7188
24.532658 89.812 36.0718
24.710431 90.261 37.5422
24.889493 90.780 38.9648
25.069853 91.379 40.2055
25.251519 92.045 41.0064
25.434502 92.765 41.2705
25.618811 93.505 40.7974
25.804456 94.240 39.6320
25.991445 94.934 37.7529
26.179790 95.568 35.2724
26.369500 96.118 32.3277
26.560584 96.574 29.0387
26.753053 96.929 25.5875
26.946917 97.181 22.1588
27.142185 97.336 18.8499
27.338869 97.409 15.9414
27.536977 97.418 13.4563
27.736522 97.402 11.6014
27.937512 97.392 10.2834
28.139959 97.431 9.5000
28.343872 97.543 8.8684
28.549264 97.734 8.2509
28.756143 97.982 7.1720
28.964522 98.250 5.5901
29.174411 98.495 3.3415
29.385821 98.670 0.6105
29.598763 98.747 -2.5139
29.813248 98.700 -5.7492
30.029287 98.525 -8.7577
30.246891 98.226 -11.3587
30.466073 97.832 -13.0628
30.686842 97.395 -13.7482
30.909212 96.978 -13.1751
31.133193 96.676 -11.6207
31.358797 96.533 -9.5739
31.586035 96.563 -7.5969
31.814921 96.701 -6.3936
32.045465 96.872 -5.9946
32.277680 97.008 -6.3619
32.511577 97.055 -7.0897
32.747169 97.011 -7.7338
32.984469 96.893 -7.9931
33.223488 96.752 -7.4915
33.464239 96.664 -6.2524
33.706735 96.684 -4.5339
33.950987 96.845 -2.7554
34.197010 97.125 -1.5571
34.444816 97.466 -1.2047
34.694417 97.811 -1.7379
34.945827 98.108 -3.0660
35.199059 98.327 -4.9057
35.454126 98.461 -7.0254
35.711041 98.512 -9.2566
35.969818 98.490 -11.4516
36.230470 98.409 -13.5161
36.493011 98.279 -15.4262
36.757455 98.106 -17.1600
37.023814 97.896 -18.6933
37.292104 97.653 -19.9856
37.562338 97.387 -20.9882
37.834530 97.111 -21.6802
38.108695 96.841 -22.0786
38.384846 96.591 -22.2484
38.662999 96.368 -22.3077
38.943167 96.168 -22.3859
39.225365 95.979 -22.5471
39.509608 95.790 -22.7928
39.795911 95.592 -23.0809
40.084289 95.385 -23.3535
40.374756 95.175 -23.5789
40.667328 94.972 -23.7957
40.962020 94.778 -24.1113
41.258848 94.586 -24.6447
41.557827 94.376 -25.4745
41.858972 94.124 -26.6045
42.162299 93.805 -27.9541
42.467824 93.401 -29.3683
42.775564 92.903 -30.6425
43.085533 92.314 -31.5550
43.397749 91.651 -31.9071
43.712227 90.938 -31.5681
44.028983 90.208 -30.5097
44.348036 89.488 -28.8055
44.669400 88.794 -26.5848
44.993093 88.131 -23.9520
45.319131 87.500 -20.9258
45.647532 86.906 -17.4551
45.978313 86.372 -13.5162
46.311491 85.924 -9.2273
46.647083 85.577 -4.8678
46.985107 85.321 -0.7495
47.325581 85.123 2.9583
47.668521 84.950 6.2897
48.013947 84.783 9.3950
48.361876 84.621 12.4094
48.712326 84.471 15.3891
49.065315 84.339 18.3489
49.420863 84.232 21.3319
49.778987 84.168 24.4020
50.139706 84.178 27.5263
50.503039 84.295 30.4547
50.869005 84.523 32.7497
51.237623 84.832 33.9858
51.608912 85.169 33.9306
51.982891 85.481 32.5480
52.359580 85.725 29.8873
52.739000 85.866 26.0018
53.121168 85.866 20.9554
53.506106 85.682 14.8844
53.893833 85.274 8.0308
54.284370 84.609 0.7815
54.677737 83.677 -6.3322
55.073955 82.500 -12.7106
55.473043 81.147 -17.8523
55.875024 79.731 -21.6248
56.279917 78.370 -24.3940
56.687745 77.134 -26.8099
57.098527 76.028 -29.0592
57.512287 75.082 -30.4766
57.929045 74.459 -30.2062
58.348822 74.416 -28.5519
58.771642 75.033 -27.4838
59.197525 76.081 -28.7010
59.626495 77.259 -32.1796
60.058573 78.395 -37.0078
60.493782 79.421 -42.3189
60.932145 80.327 -47.5765
61.373685 81.118 -52.5380
61.818424 81.798 -57.0858
62.266386 82.372 -61.1552
62.717593 82.847 -64.7134
63.172071 83.232 -67.7110
63.629842 83.539 -70.0761
64.090930 83.791 -71.7601
64.555359 84.020 -72.8035
65.023154 84.248 -73.4169
65.494339 84.474 -73.9131
65.968938 84.672 -74.5640
66.446976 84.801 -75.4244
66.928478 84.825 -76.3244
67.413469 84.730 -76.9600
67.901975 84.522 -77.0173
68.394021 84.229 -76.2536
68.889632 83.885 -74.6064
69.388835 83.516 -72.1940
69.891655 83.126 -69.1047
70.398118 82.717 -65.1634
70.908252 82.324 -59.9826
71.422083 82.022 -53.4847
71.939636 81.867 -46.3129
72.460941 81.837 -39.2292
72.986023 81.891 -31.9931
73.514909 82.079 -23.6468
74.047629 82.531 -14.2841
74.584208 83.274 -5.7609
75.124676 84.147 0.3039
75.669061 84.967 4.2102
76.217390 85.657 7.1974
76.769692 86.245 10.2546
77.325997 86.810 13.8368
77.886333 87.436 17.9132
78.450730 88.176 21.9005
79.019216 89.003 24.8530
79.591822 89.813 26.1636
80.168577 90.508 26.1328
80.749512 91.053 25.5269
81.334656 91.479 24.9512
81.924040 91.835 24.4585
82.517696 92.137 23.7487
83.115653 92.363 22.5508
83.717943 92.471 20.8206
84.324598 92.419 18.7765
84.935649 92.181 16.8872
85.551128 91.771 15.7666
86.171066 91.250 15.8854
86.795497 90.699 17.2357
87.424453 90.175 19.3221
88.057967 89.681 21.5658
88.696071 89.171 23.6744
89.338800 88.586 25.7957
89.986185 87.889 28.5049
90.638262 87.099 32.5908
91.295065 86.309 38.7033
91.956626 85.666 46.9410
92.622982 85.313 56.3110
93.294166 85.268 64.8659
93.970214 85.385 71.3681
94.651161 85.495 76.2484
95.337042 85.529 80.5888
96.027894 85.503 84.9632
96.723752 85.446 89.3226
97.424652 85.368 93.5001
98.130631 85.259 97.4090
98.841726 85.097 100.9902
99.557974 84.854 104.3410
100.279412 84.510 107.7635
101.006078 84.068 111.6206
101.738010 83.556 116.2708
102.475245 83.024 121.8680
103.217823 82.517 128.0240
103.965782 82.027 134.2359
104.719161 81.526 140.6482
105.477999 81.011 147.6491
106.242336 80.498 155.1270
107.012212 79.978 162.9016
107.787666 79.445 171.3578
108.568740 78.938 -178.8496
109.355474 78.560 -167.4166
110.147909 78.425 -154.8388
110.946086 78.591 -142.2685
111.750047 79.020 -130.8102
112.559834 79.607 -121.1413
113.375489 80.227 -113.4693
114.197055 80.777 -107.4714
115.024574 81.206 -102.3485
115.858089 81.527 -97.3281
116.697645 81.781 -92.2358
117.543284 81.987 -87.3071
118.395051 82.137 -82.6900
119.252990 82.213 -78.2230
120.117147 82.225 -73.4894
120.987565 82.210 -68.2879
121.864291 82.210 -62.7283
122.747370 82.256 -57.0117
123.636848 82.356 -51.6322
124.532771 82.477 -46.9723
125.435187 82.589 -42.9407
126.344142 82.678 -39.5366
127.259684 82.714 -37.1353
128.181860 82.634 -36.0242
129.110718 82.367 -35.8825
130.046308 81.879 -36.2012
130.988677 81.147 -36.8819
131.937875 80.134 -37.6655
132.893951 78.812 -37.9600
133.856956 77.171 -37.3405
134.826938 75.211 -35.0546
135.803950 72.967 -31.1298
136.788041 70.421 -27.8771
137.779264 67.387 -25.6393
138.777669 63.821 -16.2018
139.783309 60.928 108.4414
140.796237 60.849 138.7053
141.816504 62.367 152.7471
142.844165 64.075 169.0737
143.879273 65.910 -172.8659
144.921881 67.941 -155.7830
145.972045 70.040 -142.3702
147.029819 71.958 -134.5420
148.095257 73.508 -130.8165
149.168417 74.658 -128.6505
150.249353 75.462 -126.6523
151.338121 75.978 -124.5670
152.434780 76.257 -121.8549
153.539385 76.381 -118.0943
154.651995 76.389 -114.1685
155.772667 76.231 -110.6677
156.901460 75.833 -107.1638
158.038432 75.193 -101.7540
159.183644 74.461 -93.0480
160.337154 73.815 -82.3740
161.499023 73.350 -70.6425
162.669312 73.157 -57.2272
163.848081 73.288 -44.2098
165.035392 73.582 -34.4443
166.231306 73.813 -27.1055
167.435887 73.902 -20.2067
168.649196 73.885 -13.1207
169.871298 73.801 -6.2163
171.102255 73.652 0.2438
172.342133 73.399 5.6362
173.590995 72.991 10.5842
174.848907 72.454 15.8528
176.115934 71.782 19.5989
177.392143 70.814 21.1119
178.677599 69.412 22.8410
179.972371 67.595 25.9196
181.276525 65.422 28.0731
