* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:06:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-p1-srf
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 82.109 1.9833
10.166832 82.212 0.7548
10.240505 82.338 -0.4284
10.314712 82.467 -1.5749
10.389457 82.599 -2.6912
10.464743 82.736 -3.7781
10.540575 82.882 -4.8162
10.616956 83.034 -5.8222
10.693891 83.192 -6.8186
10.771383 83.356 -7.8263
10.849437 83.528 -8.8261
10.928057 83.705 -9.8109
11.007246 83.888 -10.8062
11.087009 84.075 -11.8373
11.167350 84.266 -12.9091
11.248273 84.462 -13.9976
11.329783 84.659 -15.1129
11.411883 84.856 -16.2675
11.494578 85.052 -17.4730
11.577873 85.246 -18.7221
11.661771 85.438 -20.0015
11.746277 85.625 -21.3016
11.831395 85.805 -22.6266
11.917130 85.978 -23.9949
12.003487 86.145 -25.3773
12.090469 86.303 -26.7442
12.178081 86.453 -28.0939
12.266329 86.593 -29.4575
12.355216 86.726 -30.8008
12.444747 86.853 -32.0861
12.534926 86.972 -33.3166
12.625760 87.085 -34.5141
12.717251 87.195 -35.6561
12.809406 87.305 -36.7178
12.902228 87.414 -37.6996
12.995723 87.525 -38.6176
13.089895 87.641 -39.4824
13.184750 87.768 -40.2879
13.280292 87.903 -41.0172
13.376526 88.049 -41.7169
13.473458 88.208 -42.4336
13.571093 88.382 -43.1309
13.669434 88.570 -43.8248
13.768489 88.769 -44.5813
13.868261 88.979 -45.4254
13.968756 89.201 -46.3125
14.069979 89.429 -47.2831
14.171936 89.658 -48.3771
14.274632 89.889 -49.5724
14.378072 90.119 -50.8568
14.482261 90.342 -52.2344
14.587206 90.555 -53.7239
14.692910 90.760 -55.2974
14.799381 90.951 -56.9150
14.906624 91.126 -58.5940
15.014643 91.287 -60.3368
15.123446 91.431 -62.0774
15.233036 91.559 -63.8085
15.343421 91.670 -65.5623
15.454606 91.767 -67.2749
15.566596 91.849 -68.9222
15.679398 91.917 -70.5413
15.793018 91.976 -72.0921
15.907460 92.027 -73.5519
16.022732 92.069 -74.9451
16.138840 92.109 -76.2640
16.255788 92.146 -77.4977
16.373585 92.183 -78.6567
16.492234 92.221 -79.7593
16.611744 92.261 -80.8022
16.732119 92.304 -81.7901
16.853367 92.349 -82.7454
16.975494 92.396 -83.6665
17.098505 92.445 -84.5524
17.222408 92.494 -85.4097
17.347209 92.544 -86.2393
17.472914 92.593 -87.0288
17.599530 92.643 -87.7718
17.727063 92.693 -88.4707
17.855521 92.747 -89.1144
17.984909 92.805 -89.6936
18.115235 92.869 -90.2232
18.246506 92.944 -90.7118
18.378727 93.029 -91.1498
18.511907 93.128 -91.5919
18.646052 93.241 -92.0371
18.781169 93.367 -92.5055
18.917265 93.503 -93.0553
19.054347 93.650 -93.6670
19.192423 93.799 -94.3720
19.331499 93.949 -95.1860
19.471583 94.096 -96.0848
19.612682 94.232 -97.0643
19.754804 94.358 -98.1234
19.897956 94.469 -99.1979
20.042144 94.565 -100.3064
20.187378 94.647 -101.3908
20.333664 94.715 -102.4267
20.481010 94.772 -103.4135
20.629424 94.823 -104.3078
20.778913 94.871 -105.1241
20.929486 94.921 -105.8647
21.081150 94.975 -106.5236
21.233912 95.037 -107.1456
21.387782 95.106 -107.7282
21.542767 95.184 -108.3051
21.698874 95.267 -108.8950
21.856113 95.355 -109.4965
22.014492 95.444 -110.1250
22.174018 95.532 -110.7664
22.334700 95.618 -111.4085
22.496546 95.701 -112.0469
22.659566 95.784 -112.6553
22.823766 95.867 -113.2379
22.989157 95.953 -113.7850
23.155745 96.043 -114.3006
23.323542 96.141 -114.8003
23.492554 96.245 -115.2840
23.662790 96.356 -115.7703
23.834261 96.473 -116.2549
24.006973 96.596 -116.7337
24.180938 96.725 -117.2024
24.356163 96.863 -117.6387
24.532658 97.013 -118.0523
24.710431 97.185 -118.4403
24.889493 97.382 -118.8527
25.069853 97.611 -119.3329
25.251519 97.871 -119.9858
25.434502 98.162 -120.8705
25.618811 98.470 -122.1041
25.804456 98.784 -123.7153
25.991445 99.082 -125.7416
26.179790 99.352 -128.1729
26.369500 99.571 -130.9281
26.560584 99.730 -133.9576
26.753053 99.816 -137.1217
26.946917 99.827 -140.2898
27.142185 99.762 -143.3675
27.338869 99.633 -146.1362
27.536977 99.453 -148.5521
27.736522 99.251 -150.4551
27.937512 99.056 -151.9036
28.139959 98.902 -152.9000
28.343872 98.812 -153.7600
28.549264 98.792 -154.5983
28.756143 98.826 -155.8316
28.964522 98.884 -157.5074
29.174411 98.926 -159.7938
29.385821 98.907 -162.5271
29.598763 98.801 -165.6430
29.813248 98.579 -168.8650
30.029287 98.235 -171.8758
30.246891 97.771 -174.4761
30.466073 97.214 -176.1796
30.686842 96.619 -176.8506
30.909212 96.051 -176.2226
31.133193 95.611 -174.6177
31.358797 95.349 -172.5647
31.586035 95.278 -170.7002
31.814921 95.328 -169.7938
32.045465 95.409 -169.8719
32.277680 95.445 -170.8999
32.511577 95.373 -172.4336
32.747169 95.176 -173.9745
32.984469 94.866 -175.1651
33.223488 94.486 -175.4744
33.464239 94.124 -174.7372
33.706735 93.864 -173.0931
33.950987 93.779 -170.9526
34.197010 93.885 -169.2422
34.444816 94.115 -168.5299
34.694417 94.390 -169.0260
34.945827 94.625 -170.7213
35.199059 94.758 -173.2564
35.454126 94.765 -176.2688
35.711041 94.637 -179.4737
35.969818 94.382 177.4366
36.230470 94.022 174.7545
36.493011 93.587 172.6046
36.757455 93.109 171.0632
37.023814 92.620 170.1428
37.292104 92.151 169.7413
37.562338 91.719 169.6902
37.834530 91.332 169.8544
38.108695 90.989 170.1129
38.384846 90.687 170.3699
38.662999 90.421 170.5543
38.943167 90.187 170.6014
39.225365 89.977 170.4543
39.509608 89.784 170.0709
39.795911 89.598 169.4286
40.084289 89.412 168.5219
40.374756 89.222 167.3504
40.667328 89.029 165.8927
40.962020 88.832 164.0811
41.258848 88.626 161.8134
41.557827 88.396 158.9827
41.858972 88.122 155.5095
42.162299 87.779 151.3631
42.467824 87.339 146.5690
42.775564 86.779 141.1998
43.085533 86.083 135.3537
43.397749 85.243 129.1253
43.712227 84.256 122.5758
44.028983 83.126 115.7036
44.348036 81.861 108.4355
44.669400 80.476 100.6277
44.993093 78.991 92.0811
45.319131 77.443 82.5795
45.647532 75.901 71.9831
45.978313 74.479 60.4087
46.311491 73.332 48.4499
46.647083 72.615 37.1649
46.985107 72.396 27.5864
47.325581 72.617 20.1458
47.668521 73.130 14.6401
48.013947 73.781 10.6465
48.361876 74.458 7.8928
48.712326 75.113 6.3703
49.065315 75.759 6.2338
49.420863 76.465 7.5605
49.778987 77.314 10.0585
50.139706 78.355 12.9677
50.503039 79.564 15.3857
50.869005 80.871 16.7274
51.237623 82.210 16.8420
51.608912 83.539 15.7790
51.982891 84.832 13.5408
52.359580 86.059 10.0303
52.739000 87.173 5.1609
53.121168 88.117 -1.0117
53.506106 88.839 -8.2442
53.893833 89.298 -16.1607
54.284370 89.472 -24.2874
54.677737 89.361 -32.0775
55.073955 88.991 -38.9719
55.473043 88.418 -44.4917
55.875024 87.723 -48.3807
56.279917 86.992 -50.7050
56.687745 86.285 -51.8463
57.098527 85.617 -52.2365
57.512287 84.976 -52.0365
57.929045 84.358 -51.1281
58.348822 83.786 -49.3804
58.771642 83.304 -46.9049
59.197525 82.939 -44.0570
59.626495 82.692 -41.2043
60.058573 82.541 -38.5837
60.493782 82.461 -36.3381
60.932145 82.421 -34.5535
61.373685 82.393 -33.2261
61.818424 82.352 -32.2361
62.266386 82.293 -31.4274
62.717593 82.221 -30.7340
63.172071 82.138 -30.1970
63.629842 82.037 -29.8598
64.090930 81.908 -29.6526
64.555359 81.754 -29.3915
65.023154 81.602 -28.9409
65.494339 81.490 -28.4021
65.968938 81.439 -28.1766
66.446976 81.430 -28.7304
66.928478 81.411 -30.3475
67.413469 81.319 -33.0254
67.901975 81.110 -36.5953
68.394021 80.754 -40.8541
68.889632 80.237 -45.6902
69.388835 79.544 -51.0388
69.891655 78.661 -56.9971
70.398118 77.559 -63.8777
70.908252 76.170 -72.2906
71.422083 74.361 -82.8877
71.939636 72.005 -96.5466
72.460941 69.422 -116.2082
72.986023 68.451 74.6386
73.514909 69.966 44.2372
74.047629 71.804 25.0462
74.584208 73.014 7.6359
75.124676 73.710 -7.7837
75.669061 74.236 -21.1948
76.217390 74.938 -33.3450
76.769692 75.947 -45.7893
77.325997 77.178 -59.4856
77.886333 78.481 -74.3848
78.450730 79.750 -89.9182
79.019216 80.913 -105.6431
79.591822 81.911 -121.2308
80.168577 82.698 -136.4100
80.749512 83.255 -150.9474
81.334656 83.587 -164.6672
81.924040 83.708 -177.6591
82.517696 83.611 169.7003
83.115653 83.246 156.9325
83.717943 82.525 143.6699
84.324598 81.327 129.7399
84.935649 79.526 114.8877
85.551128 77.034 97.9539
86.171066 74.135 70.3276
86.795497 72.549 -44.2020
87.424453 73.849 -84.0864
88.057967 76.181 -95.3296
88.696071 78.407 -101.1956
89.338800 80.393 -106.2168
89.986185 82.106 -112.5608
90.638262 83.484 -120.8959
91.295065 84.463 -131.1497
91.956626 84.973 -142.9294
92.622982 84.947 -155.5670
93.294166 84.332 -168.1460
93.970214 83.095 -179.6006
94.651161 81.209 171.2542
95.337042 78.668 166.3855
96.027894 75.771 173.7831
96.723752 74.320 -129.2504
97.424652 75.946 -92.7708
98.130631 78.412 -91.1348
98.841726 80.376 -96.6951
99.557974 81.719 -104.6295
100.279412 82.494 -113.5980
101.006078 82.754 -122.6473
101.738010 82.576 -130.7351
102.475245 82.078 -137.1355
103.217823 81.384 -141.9639
103.965782 80.554 -145.8451
104.719161 79.587 -148.8923
105.477999 78.499 -150.6073
106.242336 77.365 -150.9130
107.012212 76.254 -150.4937
107.787666 75.194 -149.7666
108.568740 74.220 -148.8796
109.355474 73.374 -148.7192
110.147909 72.643 -150.2371
110.946086 71.997 -153.7595
111.750047 71.427 -159.8721
112.559834 70.894 -169.0859
113.375489 70.380 179.2621
114.197055 69.974 166.4508
115.024574 69.806 153.3654
115.858089 69.875 140.4891
116.697645 70.029 128.3313
117.543284 70.079 117.6282
118.395051 69.904 109.1477
119.252990 69.449 103.4200
120.117147 68.693 101.1534
120.987565 67.745 104.3568
121.864291 67.114 116.9993
122.747370 67.710 140.2944
123.636848 69.600 160.5586
124.532771 71.821 169.3389
125.435187 73.723 170.7876
126.344142 75.113 169.0331
127.259684 75.995 166.6775
128.181860 76.440 165.2327
129.110718 76.573 166.1384
130.046308 76.672 171.5231
130.988677 77.139 -178.6566
131.937875 78.124 -168.8523
132.893951 79.418 -161.9417
133.856956 80.782 -157.6680
134.826938 82.026 -156.2347
135.803950 82.980 -157.2859
136.788041 83.598 -158.6377
137.779264 84.011 -158.2539
138.777669 84.415 -155.9402
139.783309 84.942 -152.6682
140.796237 85.600 -149.8586
141.816504 86.269 -148.7931
142.844165 86.806 -149.2510
143.879273 87.163 -149.9001
144.921881 87.393 -149.8922
145.972045 87.572 -149.2345
147.029819 87.750 -148.2273
148.095257 87.930 -147.5547
149.168417 88.034 -147.9976
150.249353 87.941 -149.4113
151.338121 87.597 -150.3291
152.434780 87.096 -149.0194
153.539385 86.657 -145.0621
154.651995 86.446 -140.4873
155.772667 86.401 -137.8361
156.901460 86.317 -137.2662
158.038432 86.040 -137.8746
159.183644 85.489 -138.6870
160.337154 84.683 -137.9570
161.499023 83.788 -134.4904
162.669312 82.964 -130.6118
163.848081 82.117 -128.8765
165.035392 81.033 -127.5715
166.231306 79.682 -123.8552
167.435887 78.181 -118.1686
168.649196 76.543 -112.7748
169.871298 74.620 -106.6294
171.102255 72.337 -96.4464
172.342133 70.087 -74.7081
173.590995 69.435 -20.2668
174.848907 71.083 21.6204
176.115934 73.097 30.4307
