* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:49:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 46.859 21.3337
10.166832 47.199 20.7547
10.240505 47.608 19.9671
10.314712 48.029 18.9986
10.389457 48.446 17.8629
10.464743 48.838 16.5406
10.540575 49.190 14.9578
10.616956 49.510 13.2383
10.693891 49.795 11.5109
10.771383 50.038 9.8776
10.849437 50.235 8.1854
10.928057 50.390 6.3998
11.007246 50.505 4.7024
11.087009 50.583 3.2744
11.167350 50.617 2.1376
11.248273 50.606 1.1097
11.329783 50.569 0.3239
11.411883 50.526 -0.0535
11.494578 50.482 0.1148
11.577873 50.424 0.7602
11.661771 50.386 1.8291
11.746277 50.418 3.2684
11.831395 50.549 5.0661
11.917130 50.767 7.3094
12.003487 51.068 9.6213
12.090469 51.454 11.5782
12.178081 51.939 13.0641
12.266329 52.523 14.3426
12.355216 53.158 15.1093
12.444747 53.798 15.1303
12.534926 54.433 14.4952
12.625760 55.073 13.4530
12.717251 55.692 11.9901
12.809406 56.267 10.0693
12.902228 56.798 7.6990
12.995723 57.287 5.0454
13.089895 57.729 2.2287
13.184750 58.118 -0.7794
13.280292 58.456 -4.1002
13.376526 58.743 -7.5204
13.473458 58.979 -10.8704
13.571093 59.162 -14.3703
13.669434 59.293 -18.0004
13.768489 59.375 -21.5200
13.868261 59.407 -24.8723
13.968756 59.388 -28.3022
14.069979 59.323 -31.6242
14.171936 59.217 -34.6250
14.274632 59.064 -37.4665
14.378072 58.877 -40.1293
14.482261 58.668 -42.4486
14.587206 58.433 -44.3540
14.692910 58.186 -45.9163
14.799381 57.955 -47.1598
14.906624 57.748 -47.9599
15.014643 57.570 -48.3203
15.123446 57.447 -48.5066
15.233036 57.396 -48.5771
15.343421 57.413 -48.4357
15.454606 57.489 -48.4333
15.566596 57.621 -48.7457
15.679398 57.807 -49.2322
15.793018 58.012 -50.0328
15.907460 58.218 -51.2579
16.022732 58.426 -52.8105
16.138840 58.610 -54.5655
16.255788 58.755 -56.5743
16.373585 58.864 -58.8171
16.492234 58.924 -61.0058
16.611744 58.930 -63.2103
16.732119 58.884 -65.4013
16.853367 58.789 -67.2413
16.975494 58.640 -68.8048
17.098505 58.456 -70.0018
17.222408 58.255 -70.5575
17.347209 58.041 -70.4620
17.472914 57.863 -69.7335
17.599530 57.763 -68.2834
17.727063 57.749 -66.1594
17.855521 57.866 -63.8689
17.984909 58.134 -61.4280
18.115235 58.521 -59.2059
18.246506 58.993 -57.6683
18.378727 59.539 -56.6574
18.511907 60.096 -56.2813
18.646052 60.632 -56.5770
18.781169 61.133 -57.2874
18.917265 61.571 -58.2299
19.054347 61.942 -59.4619
19.192423 62.247 -60.5288
19.331499 62.483 -61.4463
19.471583 62.673 -62.0658
19.612682 62.842 -62.0437
19.754804 63.009 -61.5041
19.897956 63.239 -60.3908
20.042144 63.553 -58.6550
20.187378 63.983 -56.8339
20.333664 64.554 -55.0682
20.481010 65.234 -53.6958
20.629424 65.982 -53.2077
20.778913 66.774 -53.3639
20.929486 67.543 -54.4274
21.081150 68.272 -56.1884
21.233912 68.928 -58.4257
21.387782 69.496 -61.1843
21.542767 69.971 -64.0480
21.698874 70.346 -67.0328
21.856113 70.632 -69.9000
22.014492 70.834 -72.4137
22.174018 70.975 -74.6034
22.334700 71.083 -76.1364
22.496546 71.186 -77.1480
22.659566 71.334 -77.5851
22.823766 71.546 -77.5668
22.989157 71.851 -77.5013
23.155745 72.242 -77.4239
23.323542 72.690 -77.8321
23.492554 73.171 -78.6201
23.662790 73.634 -79.9134
23.834261 74.060 -81.5709
24.006973 74.423 -83.3186
24.180938 74.727 -85.0920
24.356163 74.985 -86.4446
24.532658 75.230 -87.4217
24.710431 75.519 -87.7366
24.889493 75.895 -87.6881
25.069853 76.413 -87.4296
25.251519 77.066 -87.5703
25.434502 77.841 -88.3766
25.618811 78.667 -90.2773
25.804456 79.496 -93.2341
25.991445 80.261 -97.2027
26.179790 80.931 -102.0391
26.369500 81.471 -107.4147
26.560584 81.868 -113.2103
26.753053 82.110 -119.0741
26.946917 82.198 -124.7405
27.142185 82.136 -130.0284
27.338869 81.952 -134.4079
27.536977 81.681 -137.7640
27.736522 81.414 -139.6414
27.937512 81.245 -140.2218
28.139959 81.289 -139.6491
28.343872 81.588 -139.1352
28.549264 82.124 -139.1504
28.756143 82.773 -140.7357
28.964522 83.439 -143.6399
29.174411 84.026 -147.9418
29.385821 84.475 -153.0289
29.598763 84.761 -158.7383
29.813248 84.869 -164.5843
30.029287 84.805 -170.1396
30.246891 84.583 -175.2612
30.466073 84.242 -179.3281
30.686842 83.844 177.7146
30.909212 83.458 176.1619
31.133193 83.193 175.8635
31.358797 83.100 175.8255
31.586035 83.194 175.9689
31.814921 83.413 175.4696
32.045465 83.678 174.1363
32.277680 83.924 172.0400
32.511577 84.102 169.5290
32.747169 84.210 166.9656
32.984469 84.264 164.5504
33.223488 84.300 162.5304
33.464239 84.363 160.8351
33.706735 84.479 159.3008
33.950987 84.659 157.7154
34.197010 84.885 155.7661
34.444816 85.123 153.3821
34.694417 85.345 150.5746
34.945827 85.525 147.4185
35.199059 85.656 144.1072
35.454126 85.741 140.7527
35.711041 85.790 137.4176
35.969818 85.815 134.1307
36.230470 85.823 130.8427
36.493011 85.808 127.4960
36.757455 85.762 124.0727
37.023814 85.668 120.5877
37.292104 85.513 117.1351
37.562338 85.293 113.8966
37.834530 85.014 111.0383
38.108695 84.697 108.7068
38.384846 84.372 107.0042
38.662999 84.079 105.9183
38.943167 83.851 105.2526
39.225365 83.699 104.7311
39.509608 83.614 104.0963
39.795911 83.566 103.1791
40.084289 83.520 101.9473
40.374756 83.444 100.5127
40.667328 83.324 99.1084
40.962020 83.165 98.0041
41.258848 82.997 97.4035
41.557827 82.866 97.3678
41.858972 82.818 97.7527
42.162299 82.880 98.2216
42.467824 83.045 98.3745
42.775564 83.277 97.9281
43.085533 83.525 96.8176
43.397749 83.753 95.1676
43.712227 83.944 93.1818
44.028983 84.102 91.0244
44.348036 84.239 88.7555
44.669400 84.362 86.3349
44.993093 84.467 83.6805
45.319131 84.539 80.7464
45.647532 84.556 77.5757
45.978313 84.502 74.3046
46.311491 84.374 71.1227
46.647083 84.183 68.2143
46.985107 83.950 65.6991
47.325581 83.701 63.5973
47.668521 83.456 61.8362
48.013947 83.226 60.2997
48.361876 83.009 58.8922
48.712326 82.799 57.5766
49.065315 82.593 56.3687
49.420863 82.392 55.3001
49.778987 82.203 54.3784
50.139706 82.032 53.5669
50.503039 81.882 52.7950
50.869005 81.749 51.9902
51.237623 81.623 51.1169
51.608912 81.494 50.1976
51.982891 81.356 49.2996
52.359580 81.211 48.4938
52.739000 81.066 47.8089
53.121168 80.927 47.2221
53.506106 80.792 46.7008
53.893833 80.658 46.2619
54.284370 80.524 45.9882
54.677737 80.404 45.9705
55.073955 80.319 46.2010
55.473043 80.284 46.5215
55.875024 80.294 46.7145
56.279917 80.324 46.6756
56.687745 80.350 46.5083
57.098527 80.369 46.4836
57.512287 80.412 46.8609
57.929045 80.535 47.6813
58.348822 80.789 48.6698
58.771642 81.190 49.2868
59.197525 81.707 48.9755
59.626495 82.272 47.4173
60.058573 82.813 44.5929
60.493782 83.271 40.7106
60.932145 83.611 36.1190
61.373685 83.823 31.1670
61.818424 83.919 26.1675
62.266386 83.924 21.3201
62.717593 83.865 16.6707
63.172071 83.761 12.1765
63.629842 83.620 7.7859
64.090930 83.445 3.5056
64.555359 83.248 -0.6001
65.023154 83.055 -4.5198
65.494339 82.897 -8.4158
65.968938 82.790 -12.6741
66.446976 82.713 -17.7107
66.928478 82.617 -23.7887
67.413469 82.449 -30.9309
67.901975 82.175 -39.0210
68.394021 81.791 -47.9366
68.889632 81.321 -57.7905
69.388835 80.810 -68.9828
69.891655 80.306 -82.2682
70.398118 79.858 -98.5680
70.908252 79.519 -118.6987
71.422083 79.349 -142.5811
71.939636 79.384 -168.8541
72.460941 79.608 165.4100
72.986023 79.951 142.5884
73.514909 80.355 123.9418
74.047629 80.826 109.4081
74.584208 81.411 98.3286
75.124676 82.149 89.5214
75.669061 83.024 81.7750
76.217390 83.979 74.0886
76.769692 84.944 65.8958
77.325997 85.847 56.9314
77.886333 86.626 47.1691
78.450730 87.233 36.7925
79.019216 87.636 26.1279
79.591822 87.831 15.6893
80.168577 87.852 5.9805
80.749512 87.775 -2.6477
81.334656 87.692 -10.2393
81.924040 87.665 -17.3492
82.517696 87.682 -24.6309
83.115653 87.681 -32.3871
83.717943 87.596 -40.4172
84.324598 87.408 -48.2444
84.935649 87.142 -55.4542
85.551128 86.853 -61.8443
86.171066 86.606 -67.4875
86.795497 86.444 -72.7688
87.424453 86.361 -78.2787
88.057967 86.289 -84.3779
88.696071 86.145 -90.8514
89.338800 85.894 -97.0475
89.986185 85.570 -102.2131
90.638262 85.293 -105.7101
91.295065 85.251 -107.5052
91.956626 85.585 -109.0550
92.622982 86.210 -112.5559
93.294166 86.883 -118.6743
93.970214 87.436 -126.5098
94.651161 87.828 -135.1458
95.337042 88.049 -144.2511
96.027894 88.067 -153.5281
96.723752 87.871 -162.2277
97.424652 87.523 -169.4655
98.130631 87.153 -174.8933
98.841726 86.885 -178.9294
99.557974 86.781 177.6697
100.279412 86.840 174.3025
101.006078 87.027 170.6283
101.738010 87.297 166.4354
102.475245 87.597 161.6168
103.217823 87.880 156.3181
103.965782 88.131 150.8835
104.719161 88.370 145.5402
105.477999 88.625 140.2629
106.242336 88.917 134.8715
107.012212 89.247 129.0415
107.787666 89.578 122.3533
108.568740 89.835 114.5845
109.355474 89.943 105.9775
110.147909 89.864 97.1293
110.946086 89.617 88.5903
111.750047 89.244 80.4277
112.559834 88.752 72.2534
113.375489 88.089 63.7952
114.197055 87.166 55.3687
115.024574 85.917 48.0411
115.858089 84.360 43.4919
116.697645 82.645 43.0038
117.543284 81.017 46.3605
118.395051 79.731 52.8347
119.252990 79.005 61.1194
120.117147 78.863 68.2324
120.987565 79.083 72.8271
121.864291 79.473 75.8159
122.747370 79.976 77.7285
123.636848 80.568 78.1484
124.532771 81.163 76.2279
125.435187 81.603 71.3406
126.344142 81.694 63.6721
127.259684 81.257 54.2489
128.181860 80.155 44.8125
129.110718 78.330 37.7485
130.046308 76.027 37.4858
130.988677 74.898 74.5568
131.937875 76.966 138.8301
132.893951 80.093 141.6860
133.856956 82.683 133.5664
134.826938 84.543 122.3262
135.803950 85.725 110.0679
136.788041 86.337 98.4310
137.779264 86.531 88.5079
138.777669 86.470 80.7574
139.783309 86.334 75.3538
140.796237 86.273 71.2727
141.816504 86.274 66.6328
142.844165 86.201 61.2081
143.879273 86.000 56.3018
144.921881 85.762 52.8098
145.972045 85.611 50.1882
147.029819 85.570 47.0295
148.095257 85.555 42.7288
149.168417 85.508 37.8143
150.249353 85.442 32.3212
151.338121 85.341 25.3623
152.434780 85.132 16.4141
153.539385 84.738 5.1677
154.651995 84.090 -9.0282
155.772667 83.167 -27.0273
156.901460 82.120 -50.9004
158.038432 81.385 -84.3508
159.183644 81.492 -125.8521
160.337154 82.424 -162.6921
161.499023 83.671 170.7471
162.669312 84.867 151.6842
163.848081 85.872 137.0491
165.035392 86.640 125.1069
166.231306 87.201 115.4774
167.435887 87.640 107.9442
168.649196 88.023 101.7557
169.871298 88.354 96.2015
171.102255 88.632 91.3402
172.342133 88.912 87.6449
173.590995 89.266 84.6531
174.848907 89.668 81.0498
176.115934 90.019 76.5941
177.392143 90.279 72.1681
178.677599 90.480 68.1918
179.972371 90.656 64.4578
181.276525 90.822 60.9084
182.590129 90.993 57.6027
183.913252 91.175 54.2408
185.245964 91.326 50.2863
186.588332 91.371 45.8092
187.940428 91.267 41.4916
189.302322 91.028 38.0394
