* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:48:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 42.705 137.3154
10.166832 42.818 136.1268
10.240505 42.955 134.9564
10.314712 43.096 133.7713
10.389457 43.237 132.5392
10.464743 43.374 131.2336
10.540575 43.504 129.8735
10.616956 43.628 128.4605
10.693891 43.743 126.9863
10.771383 43.847 125.4385
10.849437 43.939 123.7869
10.928057 44.020 122.0385
11.007246 44.088 120.2249
11.087009 44.142 118.3735
11.167350 44.181 116.4675
11.248273 44.203 114.4580
11.329783 44.212 112.3907
11.411883 44.209 110.3174
11.494578 44.195 108.2617
11.577873 44.167 106.1595
11.661771 44.131 104.0276
11.746277 44.095 101.9015
11.831395 44.062 99.8214
11.917130 44.027 97.7726
12.003487 44.000 95.7176
12.090469 43.993 93.6295
12.178081 44.010 91.5403
12.266329 44.049 89.5028
12.355216 44.114 87.4146
12.444747 44.215 85.1733
12.534926 44.354 82.8338
12.625760 44.531 80.4629
12.717251 44.741 77.9353
12.809406 44.981 75.1355
12.902228 45.257 72.1757
12.995723 45.562 69.0871
13.089895 45.885 65.8008
13.184750 46.221 62.2575
13.280292 46.573 58.5464
13.376526 46.932 54.7238
13.473458 47.288 50.7853
13.571093 47.641 46.6571
13.669434 47.989 42.4311
13.768489 48.323 38.2123
13.868261 48.638 33.9610
13.968756 48.937 29.5860
14.069979 49.213 25.2601
14.171936 49.462 21.0768
14.274632 49.684 16.8249
14.378072 49.877 12.6235
14.482261 50.037 8.6585
14.587206 50.164 4.7746
14.692910 50.257 0.9592
14.799381 50.317 -2.5845
14.906624 50.342 -5.8683
15.014643 50.333 -9.0044
15.123446 50.297 -11.8322
15.233036 50.235 -14.2644
15.343421 50.149 -16.3992
15.454606 50.055 -18.1803
15.566596 49.962 -19.5108
15.679398 49.871 -20.4080
15.793018 49.807 -20.9800
15.907460 49.785 -21.2135
16.022732 49.805 -21.0752
16.138840 49.878 -20.8477
16.255788 50.015 -20.6007
16.373585 50.207 -20.3003
16.492234 50.437 -20.2275
16.611744 50.702 -20.4182
16.732119 50.991 -20.8188
16.853367 51.274 -21.5096
16.975494 51.550 -22.5121
17.098505 51.807 -23.7093
17.222408 52.030 -25.0261
17.347209 52.219 -26.5302
17.472914 52.374 -28.0341
17.599530 52.492 -29.4544
17.727063 52.576 -30.8517
17.855521 52.641 -32.0453
17.984909 52.688 -33.0149
18.115235 52.733 -33.7957
18.246506 52.797 -34.3426
18.378727 52.881 -34.6462
18.511907 53.001 -34.8869
18.646052 53.168 -35.0584
18.781169 53.376 -35.2424
18.917265 53.618 -35.6449
19.054347 53.891 -36.1988
19.192423 54.175 -36.9745
19.331499 54.459 -38.0182
19.471583 54.734 -39.2206
19.612682 54.989 -40.5234
19.754804 55.223 -41.9318
19.897956 55.439 -43.2482
20.042144 55.638 -44.4937
20.187378 55.837 -45.6078
20.333664 56.047 -46.5093
20.481010 56.278 -47.2898
20.629424 56.547 -48.0004
20.778913 56.853 -48.6496
20.929486 57.193 -49.4632
21.081150 57.564 -50.3939
21.233912 57.940 -51.5361
21.387782 58.313 -52.9272
21.542767 58.662 -54.3987
21.698874 58.975 -55.9800
21.856113 59.251 -57.4669
22.014492 59.490 -58.6958
22.174018 59.710 -59.6433
22.334700 59.938 -60.0601
22.496546 60.201 -60.0746
22.659566 60.543 -59.7344
22.823766 60.975 -59.1905
22.989157 61.507 -58.9283
23.155745 62.121 -58.9460
23.323542 62.769 -59.7248
23.492554 63.422 -61.0696
23.662790 64.022 -63.0629
23.834261 64.551 -65.5155
24.006973 64.978 -68.1149
24.180938 65.299 -70.7893
24.356163 65.519 -72.9855
24.532658 65.665 -74.7102
24.710431 65.788 -75.4071
24.889493 65.956 -75.2655
25.069853 66.263 -74.1663
25.251519 66.750 -72.8929
25.434502 67.451 -71.8394
25.618811 68.286 -71.9565
25.804456 69.195 -73.2948
25.991445 70.070 -76.0773
26.179790 70.862 -80.0236
26.369500 71.513 -84.8602
26.560584 72.004 -90.3388
26.753053 72.312 -96.1199
26.946917 72.435 -101.8382
27.142185 72.367 -107.3487
27.338869 72.127 -111.9561
27.536977 71.742 -115.5456
27.736522 71.298 -117.3352
27.937512 70.918 -117.3601
28.139959 70.769 -115.4860
28.343872 70.964 -113.2622
28.549264 71.512 -111.5134
28.756143 72.248 -111.8855
28.964522 73.033 -114.1100
29.174411 73.725 -118.2506
29.385821 74.250 -123.5043
29.598763 74.575 -129.6353
29.813248 74.681 -136.0743
30.029287 74.571 -142.2887
30.246891 74.250 -148.1436
30.466073 73.748 -152.7956
30.686842 73.128 -156.0517
30.909212 72.471 -157.3102
31.133193 71.946 -156.6213
31.358797 71.679 -154.6146
31.586035 71.738 -152.2224
31.814921 72.047 -150.9601
32.045465 72.468 -151.0564
32.277680 72.885 -152.5146
32.511577 73.208 -154.8390
32.747169 73.424 -157.4725
32.984469 73.539 -160.1126
33.223488 73.589 -162.3702
33.464239 73.622 -164.1612
33.706735 73.675 -165.5612
33.950987 73.774 -166.6972
34.197010 73.923 -167.8671
34.444816 74.106 -169.2267
34.694417 74.302 -170.8529
34.945827 74.490 -172.7694
35.199059 74.654 -174.9104
35.454126 74.786 -177.2200
35.711041 74.882 -179.6569
35.969818 74.936 177.8120
36.230470 74.940 175.2391
36.493011 74.886 172.7038
36.757455 74.769 170.3057
37.023814 74.590 168.1721
37.292104 74.356 166.4673
37.562338 74.087 165.3289
37.834530 73.808 164.8284
38.108695 73.548 164.9892
38.384846 73.334 165.7654
38.662999 73.189 167.0347
38.943167 73.125 168.6141
39.225365 73.139 170.3315
39.509608 73.217 172.0873
39.795911 73.343 173.9236
40.084289 73.510 176.0574
40.374756 73.753 178.8464
40.667328 74.163 -177.4168
40.962020 74.859 -173.0251
41.258848 75.892 -169.0899
41.557827 77.186 -166.9361
41.858972 78.590 -167.2652
42.162299 79.954 -170.0044
42.467824 81.177 -174.6658
42.775564 82.210 179.3326
43.085533 83.040 172.5270
43.397749 83.677 165.3648
43.712227 84.145 158.1934
44.028983 84.476 151.2386
44.348036 84.703 144.6069
44.669400 84.855 138.3052
44.993093 84.949 132.2795
45.319131 84.991 126.4699
45.647532 84.979 120.8646
45.978313 84.911 115.5230
46.311491 84.794 110.5564
46.647083 84.647 106.0717
46.985107 84.499 102.1028
47.325581 84.382 98.5667
47.668521 84.313 95.2858
48.013947 84.292 92.0730
48.361876 84.307 88.8221
48.712326 84.347 85.5353
49.065315 84.413 82.2736
49.420863 84.518 79.0719
49.778987 84.683 75.8755
50.139706 84.925 72.5293
50.503039 85.249 68.8147
50.869005 85.650 64.4877
51.237623 86.108 59.3019
51.608912 86.591 53.0294
51.982891 87.054 45.4967
52.359580 87.445 36.6296
52.739000 87.706 26.4811
53.121168 87.786 15.2277
53.506106 87.642 3.1462
53.893833 87.241 -9.4509
54.284370 86.564 -22.1815
54.677737 85.604 -34.5889
55.073955 84.376 -46.1845
55.473043 82.921 -56.5219
55.875024 81.311 -65.3559
56.279917 79.642 -72.7946
56.687745 77.993 -79.4806
57.098527 76.386 -86.3654
57.512287 74.758 -94.2234
57.929045 73.008 -103.5211
58.348822 71.045 -114.8323
58.771642 68.836 -129.6434
59.197525 66.537 -152.1181
59.626495 64.852 168.4238
60.058573 64.843 117.3190
60.493782 66.255 82.9279
60.932145 67.941 61.6364
61.373685 69.387 45.9071
61.818424 70.521 32.9438
62.266386 71.395 21.6385
62.717593 72.064 11.3894
63.172071 72.578 1.9420
63.629842 72.982 -6.7174
64.090930 73.338 -14.5468
64.555359 73.720 -21.5844
65.023154 74.187 -28.1113
65.494339 74.760 -34.5505
65.968938 75.414 -41.2725
66.446976 76.110 -48.3884
66.928478 76.818 -55.8329
67.413469 77.524 -63.4867
67.901975 78.225 -71.2443
68.394021 78.926 -79.0145
68.889632 79.640 -86.7420
69.388835 80.386 -94.4659
69.891655 81.174 -102.3643
70.398118 81.987 -110.7468
70.908252 82.780 -119.8325
71.422083 83.495 -129.6438
71.939636 84.083 -139.9895
72.460941 84.521 -150.5037
72.986023 84.809 -160.8621
73.514909 84.968 -170.7478
74.047629 85.034 -179.9846
74.584208 85.052 171.5040
75.124676 85.073 163.6028
75.669061 85.135 155.9463
76.217390 85.234 147.9183
76.769692 85.309 138.9592
77.325997 85.256 128.7988
77.886333 84.963 117.6292
78.450730 84.333 105.9050
79.019216 83.285 94.2378
79.591822 81.738 83.5105
80.168577 79.604 75.1509
80.749512 76.897 73.3486
81.334656 74.403 96.1370
81.924040 74.486 149.1532
82.517696 76.801 162.8735
83.115653 79.178 161.1667
83.717943 81.091 155.5205
84.324598 82.588 148.4023
84.935649 83.748 140.5013
85.551128 84.623 132.1873
86.171066 85.255 123.8430
86.795497 85.700 115.8674
87.424453 86.031 108.5056
88.057967 86.324 101.6223
88.696071 86.611 94.7311
89.338800 86.873 87.3582
89.986185 87.061 79.3586
90.638262 87.138 70.8359
91.295065 87.079 61.8802
91.956626 86.853 52.4973
92.622982 86.411 42.8077
93.294166 85.698 33.3033
93.970214 84.694 24.9398
94.651161 83.461 18.9185
95.337042 82.172 15.9177
96.027894 81.048 15.0829
96.723752 80.194 14.5046
97.424652 79.536 13.0801
98.130631 78.949 10.8240
98.841726 78.341 8.0201
99.557974 77.654 4.9750
100.279412 76.862 2.1351
101.006078 75.978 0.0365
101.738010 75.063 -0.9631
102.475245 74.206 -1.0421
103.217823 73.475 -0.7708
103.965782 72.906 -0.6301
104.719161 72.523 -1.1738
105.477999 72.322 -3.1171
106.242336 72.279 -7.0767
107.012212 72.357 -13.8185
107.787666 72.492 -24.0270
108.568740 72.645 -37.7614
109.355474 72.865 -54.7595
110.147909 73.232 -74.6219
110.946086 73.781 -96.1234
111.750047 74.504 -117.2225
112.559834 75.372 -136.3384
113.375489 76.324 -153.0668
114.197055 77.263 -167.8949
115.024574 78.077 178.5037
115.858089 78.671 166.0042
116.697645 79.038 155.2360
117.543284 79.274 146.7542
118.395051 79.482 140.0856
119.252990 79.691 134.5807
120.117147 79.923 130.3273
120.987565 80.244 127.2639
121.864291 80.703 124.8356
122.747370 81.313 122.4886
123.636848 82.038 119.3873
124.532771 82.773 114.8630
125.435187 83.412 109.0040
126.344142 83.892 102.3756
127.259684 84.214 95.7318
128.181860 84.437 89.5192
129.110718 84.606 83.4489
130.046308 84.716 77.1653
130.988677 84.747 70.7109
131.937875 84.688 64.1162
132.893951 84.526 57.4076
133.856956 84.258 50.6074
134.826938 83.857 43.3749
135.803950 83.246 35.5208
136.788041 82.323 27.5548
137.779264 81.010 20.3716
138.777669 79.247 15.3333
139.783309 77.052 14.9816
140.796237 74.812 26.0416
141.816504 73.945 60.1564
142.844165 75.271 85.1604
143.879273 77.178 88.4607
144.921881 78.700 85.2609
145.972045 79.821 81.3719
147.029819 80.712 77.7444
148.095257 81.439 73.4133
149.168417 81.944 67.8630
150.249353 82.174 61.9031
151.338121 82.172 56.9390
152.434780 82.092 53.9586
153.539385 82.088 51.9985
154.651995 82.104 48.6775
155.772667 81.932 44.1112
156.901460 81.484 40.5046
158.038432 80.866 39.6617
159.183644 80.355 42.8792
160.337154 80.317 49.1926
161.499023 80.842 54.1481
162.669312 81.669 55.7777
163.848081 82.532 54.5481
165.035392 83.246 50.8484
166.231306 83.725 45.9832
167.435887 83.980 41.0513
168.649196 84.055 36.5212
169.871298 84.020 32.9399
171.102255 83.976 30.5315
172.342133 83.990 28.5599
173.590995 84.054 26.3912
174.848907 84.178 24.6952
176.115934 84.428 23.3280
177.392143 84.789 20.8904
178.677599 85.160 16.9338
179.972371 85.452 11.7649
181.276525 85.620 5.8981
182.590129 85.662 -0.3114
183.913252 85.580 -6.7705
185.245964 85.381 -13.2522
186.588332 85.091 -19.5804
