* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:49:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 46.129 71.4093
10.166832 45.695 68.2153
10.240505 45.160 64.9493
10.314712 44.602 61.7467
10.389457 44.009 58.8755
10.464743 43.255 56.7270
10.540575 42.207 55.2757
10.616956 40.994 54.6211
10.693891 39.767 55.1279
10.771383 38.649 57.4164
10.849437 37.593 63.0461
10.928057 36.599 73.4451
11.007246 35.862 87.8770
11.087009 35.658 102.1853
11.167350 36.222 112.7361
11.248273 37.448 119.6380
11.329783 38.923 123.1730
11.411883 40.252 124.2461
11.494578 41.243 123.3883
11.577873 42.034 120.9978
11.661771 42.675 117.8559
11.746277 43.178 114.4327
11.831395 43.541 110.6467
11.917130 43.757 105.8555
12.003487 43.835 100.5919
12.090469 43.786 95.3751
12.178081 43.616 90.0738
12.266329 43.318 83.7207
12.355216 42.884 76.7232
12.444747 42.302 69.7105
12.534926 41.539 62.2082
12.625760 40.610 52.9309
12.717251 39.608 42.0195
12.809406 38.606 30.1222
12.902228 37.533 14.9332
12.995723 36.517 -5.8319
13.089895 35.871 -30.3763
13.184750 35.892 -54.6533
13.280292 36.522 -78.7019
13.376526 37.414 -98.2900
13.473458 38.263 -112.6556
13.571093 39.048 -125.5590
13.669434 39.788 -137.6649
13.768489 40.395 -148.1415
13.868261 40.800 -157.7283
13.968756 41.032 -168.2658
14.069979 41.135 -178.8506
14.171936 41.136 171.0707
14.274632 41.012 159.5259
14.378072 40.840 146.6845
14.482261 40.727 133.6357
14.587206 40.684 119.1549
14.692910 40.737 103.1126
14.799381 40.970 87.4721
14.906624 41.442 72.4899
15.014643 42.096 58.0403
15.123446 42.829 45.5597
15.233036 43.594 34.9722
15.343421 44.393 25.4195
15.454606 45.169 17.3375
15.566596 45.880 10.6262
15.679398 46.542 4.6324
15.793018 47.160 -0.5031
15.907460 47.735 -4.7716
16.022732 48.270 -8.5054
16.138840 48.783 -11.7532
16.255788 49.282 -14.5197
16.373585 49.764 -16.9340
16.492234 50.236 -19.1443
16.611744 50.701 -21.1758
16.732119 51.153 -23.0574
16.853367 51.586 -24.8846
16.975494 51.999 -26.6932
17.098505 52.386 -28.4332
17.222408 52.742 -30.0874
17.347209 53.065 -31.7152
17.472914 53.359 -33.1974
17.599530 53.626 -34.4816
17.727063 53.870 -35.6233
17.855521 54.109 -36.5380
17.984909 54.346 -37.1927
18.115235 54.594 -37.6853
18.246506 54.872 -38.0672
18.378727 55.180 -38.3060
18.511907 55.519 -38.6552
18.646052 55.894 -39.1243
18.781169 56.289 -39.7528
18.917265 56.689 -40.7208
19.054347 57.088 -41.9478
19.192423 57.464 -43.4078
19.331499 57.807 -45.1578
19.471583 58.111 -47.0471
19.612682 58.364 -48.9679
19.754804 58.568 -50.9678
19.897956 58.729 -52.7734
20.042144 58.847 -54.4393
20.187378 58.942 -55.8597
20.333664 59.027 -56.9233
20.481010 59.118 -57.7271
20.629424 59.240 -58.2825
20.778913 59.397 -58.6177
20.929486 59.599 -59.0114
21.081150 59.844 -59.4196
21.233912 60.110 -60.0585
21.387782 60.387 -60.9728
21.542767 60.648 -62.0665
21.698874 60.874 -63.4055
21.856113 61.057 -64.7692
22.014492 61.184 -66.0239
22.174018 61.267 -67.0868
22.334700 61.322 -67.6401
22.496546 61.375 -67.7471
22.659566 61.475 -67.2535
22.823766 61.647 -66.2879
22.989157 61.936 -65.2053
23.155745 62.340 -64.1127
23.323542 62.835 -63.6118
23.492554 63.395 -63.6219
23.662790 63.955 -64.4049
23.834261 64.492 -65.7631
24.006973 64.964 -67.5154
24.180938 65.367 -69.5334
24.356163 65.699 -71.4052
24.532658 65.980 -73.1162
24.710431 66.249 -74.2900
24.889493 66.547 -75.0914
25.069853 66.930 -75.4493
25.251519 67.420 -75.8550
25.434502 68.033 -76.4908
25.618811 68.727 -77.9316
25.804456 69.466 -80.2109
25.991445 70.181 -83.5102
26.179790 70.833 -87.6849
26.369500 71.375 -92.5370
26.560584 71.787 -97.8932
26.753053 72.047 -103.4543
26.946917 72.149 -108.8945
27.142185 72.091 -114.0533
27.338869 71.893 -118.3038
27.536977 71.586 -121.5150
27.736522 71.262 -123.0473
27.937512 71.032 -123.0112
28.139959 71.043 -121.4377
28.343872 71.365 -119.7589
28.549264 71.988 -118.6379
28.756143 72.763 -119.4092
28.964522 73.569 -121.8003
29.174411 74.288 -125.8578
29.385821 74.853 -130.8978
29.598763 75.235 -136.6984
29.813248 75.417 -142.7668
30.029287 75.400 -148.6163
30.246891 75.190 -154.1340
30.466073 74.812 -158.5879
30.686842 74.318 -161.8097
30.909212 73.775 -163.3174
31.133193 73.317 -163.0607
31.358797 73.052 -161.4643
31.586035 73.054 -159.1644
31.814921 73.301 -157.4526
32.045465 73.694 -156.7357
32.277680 74.140 -157.1748
32.511577 74.553 -158.5219
32.747169 74.911 -160.3738
32.984469 75.213 -162.5044
33.223488 75.477 -164.6656
33.464239 75.729 -166.8243
33.706735 75.983 -169.0296
33.950987 76.245 -171.3497
34.197010 76.507 -173.8945
34.444816 76.758 -176.6646
34.694417 76.989 -179.6357
34.945827 77.193 177.2470
35.199059 77.376 174.0659
35.454126 77.545 170.8278
35.711041 77.706 167.5121
35.969818 77.860 164.0656
36.230470 77.998 160.4126
36.493011 78.104 156.5529
36.757455 78.160 152.5419
37.023814 78.151 148.4799
37.292104 78.074 144.5590
37.562338 77.939 141.0090
37.834530 77.774 137.9640
38.108695 77.618 135.4770
38.384846 77.511 133.4865
38.662999 77.484 131.7718
38.943167 77.545 130.0078
39.225365 77.678 127.9681
39.509608 77.862 125.5429
39.795911 78.081 122.6986
40.084289 78.331 119.4247
40.374756 78.615 115.6664
40.667328 78.937 111.2628
40.962020 79.284 105.9857
41.258848 79.627 99.6540
41.557827 79.926 92.1852
41.858972 80.143 83.6005
42.162299 80.242 74.0004
42.467824 80.200 63.5403
42.775564 80.007 52.4078
43.085533 79.664 40.8046
43.397749 79.188 28.9269
43.712227 78.608 16.9427
44.028983 77.967 4.9538
44.348036 77.315 -7.0081
44.669400 76.706 -18.9649
44.993093 76.179 -30.9470
45.319131 75.753 -42.9243
45.647532 75.428 -54.7420
45.978313 75.190 -66.1117
46.311491 75.035 -76.6677
46.647083 74.976 -86.0792
46.985107 75.040 -94.1795
47.325581 75.254 -101.0521
47.668521 75.620 -106.9936
48.013947 76.109 -112.3414
48.361876 76.676 -117.2885
48.712326 77.290 -121.8339
49.065315 77.949 -125.8862
49.420863 78.677 -129.4216
49.778987 79.505 -132.5872
50.139706 80.448 -135.6831
50.503039 81.501 -139.0573
50.869005 82.645 -143.0294
51.237623 83.849 -147.8800
51.608912 85.072 -153.8562
51.982891 86.263 -161.1421
52.359580 87.363 -169.7982
52.739000 88.313 -179.7310
53.121168 89.063 169.2949
53.506106 89.576 157.6174
53.893833 89.831 145.6035
54.284370 89.820 133.6698
54.677737 89.552 122.2805
55.073955 89.058 111.8951
55.473043 88.394 102.8901
55.875024 87.637 95.4353
56.279917 86.867 89.4174
56.687745 86.139 84.4519
57.098527 85.459 80.1138
57.512287 84.803 76.2317
57.929045 84.156 72.9280
58.348822 83.532 70.3926
58.771642 82.978 68.6013
59.197525 82.528 67.2130
59.626495 82.184 65.7861
60.058573 81.909 64.0552
60.493782 81.663 61.9969
60.932145 81.420 59.7349
61.373685 81.172 57.3926
61.818424 80.923 55.0498
62.266386 80.681 52.7223
62.717593 80.457 50.3503
63.172071 80.250 47.8123
63.629842 80.045 45.0162
64.090930 79.822 42.0076
64.555359 79.575 38.9742
65.023154 79.323 36.0804
65.494339 79.100 33.2583
65.968938 78.920 30.1509
66.446976 78.759 26.3818
66.928478 78.556 21.8392
67.413469 78.259 16.7424
67.901975 77.852 11.4255
68.394021 77.348 6.1062
68.889632 76.765 0.6791
69.388835 76.091 -5.1658
69.891655 75.261 -11.6089
70.398118 74.170 -18.2015
70.908252 72.738 -23.5045
71.422083 71.070 -24.1797
71.939636 69.807 -16.2341
72.460941 69.968 -5.3768
72.986023 71.286 -4.1177
73.514909 72.694 -12.5415
74.047629 73.755 -25.7635
74.584208 74.496 -40.6272
75.124676 75.119 -55.3253
75.669061 75.839 -69.3291
76.217390 76.760 -82.9265
76.769692 77.846 -96.5848
77.325997 79.000 -110.4623
77.886333 80.140 -124.5116
78.450730 81.200 -138.7258
79.019216 82.113 -153.1633
79.591822 82.809 -167.7079
80.168577 83.240 177.9587
80.749512 83.391 164.2557
81.334656 83.277 151.6471
81.924040 82.929 140.4282
82.517696 82.375 130.7419
83.115653 81.624 122.7979
83.717943 80.690 117.1757
84.324598 79.659 115.0894
84.935649 78.811 118.0702
85.551128 78.629 125.8226
86.171066 79.364 133.6763
86.795497 80.663 136.9485
87.424453 82.039 135.5272
88.057967 83.268 131.2979
88.696071 84.321 125.6598
89.338800 85.224 119.0656
89.986185 85.971 111.4047
90.638262 86.514 102.5991
91.295065 86.794 92.9058
91.956626 86.764 82.8525
92.622982 86.398 73.1384
93.294166 85.698 64.6840
93.970214 84.725 58.6848
94.651161 83.646 56.2909
95.337042 82.738 57.6759
96.027894 82.288 61.3696
96.723752 82.411 65.0864
97.424652 82.999 66.8181
98.130631 83.799 65.3278
98.841726 84.549 60.5181
99.557974 85.061 53.2117
100.279412 85.242 44.6558
101.006078 85.089 36.1902
101.738010 84.684 28.9053
102.475245 84.162 23.1261
103.217823 83.633 18.3058
103.965782 83.124 13.7892
104.719161 82.620 9.4728
105.477999 82.132 5.5618
106.242336 81.706 1.9816
107.012212 81.380 -1.9213
107.787666 81.122 -6.9760
108.568740 80.845 -13.5387
109.355474 80.466 -21.4532
110.147909 79.938 -30.4288
110.946086 79.253 -40.2040
111.750047 78.445 -50.7346
112.559834 77.571 -62.4666
113.375489 76.683 -76.1846
114.197055 75.829 -92.5752
115.024574 75.076 -111.8376
115.858089 74.519 -133.1345
116.697645 74.244 -154.4130
117.543284 74.268 -173.3776
118.395051 74.525 171.1338
119.252990 74.910 159.1375
120.117147 75.358 150.2209
120.987565 75.872 144.0271
121.864291 76.509 139.9753
122.747370 77.299 136.9761
123.636848 78.206 134.0226
124.532771 79.173 130.7056
125.435187 80.154 126.8364
126.344142 81.109 122.3630
127.259684 82.028 117.4725
128.181860 82.906 112.0366
129.110718 83.700 105.6115
130.046308 84.349 98.2301
130.988677 84.817 90.2451
131.937875 85.082 81.9156
132.893951 85.130 73.5760
133.856956 84.955 65.5792
134.826938 84.549 58.2590
135.803950 83.926 52.4456
136.788041 83.184 49.2422
137.779264 82.508 48.7264
138.777669 82.053 49.6956
139.783309 81.843 50.6448
140.796237 81.779 50.7240
141.816504 81.756 50.3241
142.844165 81.746 50.0371
143.879273 81.758 49.8759
144.921881 81.809 49.9600
145.972045 81.963 50.8920
147.029819 82.317 52.3948
148.095257 82.860 52.7302
149.168417 83.474 51.3783
150.249353 84.117 49.3394
151.338121 84.822 46.7108
152.434780 85.572 42.6067
153.539385 86.266 36.3323
154.651995 86.775 27.8937
155.772667 86.996 17.8914
156.901460 86.880 7.2344
158.038432 86.428 -3.3566
159.183644 85.644 -13.7043
160.337154 84.487 -23.6290
161.499023 82.887 -32.3054
162.669312 80.789 -37.7771
163.848081 78.305 -34.9331
165.035392 76.171 -14.7061
166.231306 75.662 8.8506
167.435887 76.452 16.7010
168.649196 77.371 16.9978
169.871298 78.087 15.9189
171.102255 78.680 14.5209
172.342133 79.131 10.8519
173.590995 79.292 5.0272
174.848907 79.154 -0.4298
176.115934 78.793 -6.2499
177.392143 78.050 -14.2076
178.677599 76.678 -21.6842
179.972371 74.634 -23.9813
181.276525 72.358 -14.0900
182.590129 71.550 22.3992
183.913252 73.505 59.0708
185.245964 76.333 66.4431
186.588332 78.749 61.7866
