* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:50:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 77.390 10.1128
10.166832 77.483 9.2306
10.240505 77.597 8.3869
10.314712 77.714 7.5489
10.389457 77.834 6.6836
10.464743 77.961 5.7667
10.540575 78.100 4.8327
10.616956 78.244 3.8773
10.693891 78.389 2.8835
10.771383 78.531 1.8321
10.849437 78.671 0.7100
10.928057 78.809 -0.4661
11.007246 78.940 -1.6758
11.087009 79.061 -2.9028
11.167350 79.169 -4.1665
11.248273 79.266 -5.4956
11.329783 79.351 -6.8355
11.411883 79.419 -8.1316
11.494578 79.470 -9.3715
11.577873 79.503 -10.6284
11.661771 79.520 -11.8423
11.746277 79.522 -12.9380
11.831395 79.509 -13.8727
11.917130 79.479 -14.7137
12.003487 79.439 -15.4232
12.090469 79.399 -15.9449
12.178081 79.360 -16.2302
12.266329 79.319 -16.2967
12.355216 79.291 -16.1723
12.444747 79.291 -15.8882
12.534926 79.324 -15.3970
12.625760 79.388 -14.7018
12.717251 79.490 -13.9499
12.809406 79.640 -13.2811
12.902228 79.841 -12.5909
12.995723 80.086 -11.9572
13.089895 80.362 -11.5536
13.184750 80.664 -11.4618
13.280292 80.995 -11.5577
13.376526 81.340 -11.9040
13.473458 81.680 -12.5714
13.571093 82.016 -13.5426
13.669434 82.343 -14.7488
13.768489 82.651 -16.1560
13.868261 82.931 -17.7813
13.968756 83.186 -19.6364
14.069979 83.411 -21.6104
14.171936 83.602 -23.6351
14.274632 83.758 -25.8243
14.378072 83.879 -28.0874
14.482261 83.965 -30.2905
14.587206 84.013 -32.5185
14.692910 84.026 -34.7710
14.799381 84.006 -36.9098
14.906624 83.953 -38.9269
15.014643 83.868 -40.8868
15.123446 83.757 -42.6947
15.233036 83.624 -44.2923
15.343421 83.467 -45.7284
15.454606 83.299 -46.9855
15.566596 83.123 -48.0175
15.679398 82.942 -48.8208
15.793018 82.763 -49.4620
15.907460 82.596 -49.9434
16.022732 82.439 -50.2292
16.138840 82.295 -50.4406
16.255788 82.168 -50.6132
16.373585 82.055 -50.7143
16.492234 81.949 -50.8452
16.611744 81.850 -51.0367
16.732119 81.752 -51.2630
16.853367 81.643 -51.5376
16.975494 81.520 -51.8907
17.098505 81.379 -52.2694
17.222408 81.211 -52.6129
17.347209 81.014 -52.9578
17.472914 80.786 -53.2098
17.599530 80.525 -53.2979
17.727063 80.232 -53.2330
17.855521 79.912 -52.9237
17.984909 79.565 -52.3138
18.115235 79.200 -51.3920
18.246506 78.827 -50.1269
18.378727 78.447 -48.4541
18.511907 78.071 -46.4205
18.646052 77.706 -44.0082
18.781169 77.353 -41.1872
18.917265 77.018 -37.9924
19.054347 76.703 -34.3931
19.192423 76.417 -30.2817
19.331499 76.162 -25.6530
19.471583 75.969 -20.4127
19.612682 75.874 -14.4633
19.754804 75.897 -7.9636
19.897956 76.096 -1.1198
20.042144 76.487 5.7625
20.187378 77.043 12.1154
20.333664 77.753 17.6481
20.481010 78.563 22.1727
20.629424 79.400 25.5498
20.778913 80.246 28.0025
20.929486 81.053 29.6014
21.081150 81.808 30.5299
21.233912 82.501 31.0106
21.387782 83.125 31.1094
21.542767 83.687 31.0383
21.698874 84.188 30.8629
21.856113 84.639 30.6718
22.014492 85.050 30.5628
22.174018 85.430 30.5216
22.334700 85.792 30.6047
22.496546 86.141 30.7772
22.659566 86.486 31.0150
22.823766 86.827 31.3072
22.989157 87.163 31.6083
23.155745 87.493 31.9300
23.323542 87.812 32.2966
23.492554 88.120 32.7216
23.662790 88.421 33.3168
23.834261 88.723 34.0751
24.006973 89.045 35.1005
24.180938 89.402 36.3299
24.356163 89.822 37.7075
24.532658 90.311 39.0836
24.710431 90.879 40.2189
24.889493 91.510 40.9532
25.069853 92.182 41.0706
25.251519 92.865 40.5378
25.434502 93.527 39.3017
25.618811 94.139 37.4957
25.804456 94.680 35.1398
25.991445 95.132 32.5118
26.179790 95.488 29.6190
26.369500 95.744 26.8181
26.560584 95.906 24.1301
26.753053 95.988 21.8830
26.946917 96.017 20.1418
27.142185 96.023 19.1037
27.338869 96.063 18.7034
27.536977 96.172 18.9209
27.736522 96.396 19.3276
27.937512 96.731 19.6315
28.139959 97.163 19.4283
28.343872 97.639 18.4423
28.549264 98.116 16.6550
28.756143 98.538 14.0721
28.964522 98.877 10.9220
29.174411 99.108 7.2806
29.385821 99.217 3.5341
29.598763 99.202 -0.2647
29.813248 99.064 -3.7764
30.029287 98.821 -6.8180
30.246891 98.489 -9.2361
30.466073 98.106 -10.7988
30.686842 97.713 -11.5190
30.909212 97.351 -11.3378
31.133193 97.064 -10.5346
31.358797 96.867 -9.3286
31.586035 96.765 -7.9766
31.814921 96.736 -6.7427
32.045465 96.761 -5.6728
32.277680 96.824 -4.8031
32.511577 96.914 -4.1010
32.747169 97.029 -3.5886
32.984469 97.165 -3.2965
33.223488 97.316 -3.2954
33.464239 97.461 -3.6336
33.706735 97.582 -4.2731
33.950987 97.660 -5.1575
34.197010 97.683 -6.0938
34.444816 97.656 -6.8916
34.694417 97.597 -7.4149
34.945827 97.536 -7.5403
35.199059 97.515 -7.3419
35.454126 97.557 -7.0600
35.711041 97.667 -6.9635
35.969818 97.824 -7.3452
36.230470 97.984 -8.3915
36.493011 98.102 -10.0384
36.757455 98.143 -12.1318
37.023814 98.086 -14.4606
37.292104 97.927 -16.7334
37.562338 97.680 -18.6753
37.834530 97.373 -20.1375
38.108695 97.040 -21.0515
38.384846 96.716 -21.4562
38.662999 96.425 -21.5190
38.943167 96.173 -21.4661
39.225365 95.950 -21.4373
39.509608 95.740 -21.4817
39.795911 95.533 -21.5808
40.084289 95.326 -21.6876
40.374756 95.125 -21.7847
40.667328 94.937 -21.9379
40.962020 94.762 -22.2852
41.258848 94.583 -22.9591
41.557827 94.375 -24.0247
41.858972 94.106 -25.4467
42.162299 93.746 -27.0853
42.467824 93.278 -28.7120
42.775564 92.695 -30.0399
43.085533 92.011 -30.7679
43.397749 91.257 -30.6474
43.712227 90.480 -29.5720
44.028983 89.731 -27.6426
44.348036 89.043 -25.1405
44.669400 88.421 -22.3871
44.993093 87.845 -19.5615
45.319131 87.290 -16.6202
45.647532 86.751 -13.3761
45.978313 86.249 -9.6808
46.311491 85.819 -5.5954
46.647083 85.482 -1.4103
46.985107 85.230 2.5332
47.325581 85.029 6.0697
47.668521 84.845 9.2738
48.013947 84.665 12.3385
48.361876 84.496 15.4071
48.712326 84.354 18.4948
49.065315 84.248 21.5425
49.420863 84.184 24.5191
49.778987 84.172 27.4375
50.139706 84.236 30.2428
50.503039 84.398 32.6886
50.869005 84.658 34.3577
51.237623 84.979 34.8466
51.608912 85.303 33.9440
51.982891 85.571 31.6532
52.359580 85.736 28.0995
52.739000 85.764 23.4406
53.121168 85.627 17.8369
53.506106 85.300 11.4717
53.893833 84.759 4.5698
54.284370 83.991 -2.5564
54.677737 82.994 -9.4994
55.073955 81.797 -15.8086
55.473043 80.462 -21.0999
55.875024 79.083 -25.2139
56.279917 77.772 -28.2666
56.687745 76.624 -30.5558
57.098527 75.715 -32.1910
57.512287 75.135 -32.9655
57.929045 75.013 -32.8468
58.348822 75.426 -32.5434
58.771642 76.288 -33.2640
59.197525 77.382 -35.6814
59.626495 78.507 -39.5786
60.058573 79.548 -44.3315
60.493782 80.459 -49.3207
60.932145 81.235 -54.0983
61.373685 81.889 -58.4311
61.818424 82.439 -62.2141
62.266386 82.901 -65.4330
62.717593 83.285 -68.1141
63.172071 83.601 -70.2587
63.629842 83.861 -71.8377
64.090930 84.085 -72.8465
64.555359 84.296 -73.3771
65.023154 84.505 -73.6545
65.494339 84.702 -73.9411
65.968938 84.853 -74.4081
66.446976 84.923 -75.0188
66.928478 84.884 -75.5441
67.413469 84.730 -75.6640
67.901975 84.477 -75.0968
68.394021 84.153 -73.6719
68.889632 83.788 -71.3662
69.388835 83.403 -68.2176
69.891655 83.012 -64.1404
70.398118 82.652 -58.8824
70.908252 82.391 -52.3053
71.422083 82.303 -44.8293
71.939636 82.406 -37.3075
72.460941 82.652 -30.2813
72.986023 82.997 -23.6044
73.514909 83.440 -17.0354
74.047629 83.987 -10.8891
74.584208 84.595 -5.7283
75.124676 85.186 -1.6495
75.669061 85.710 1.8174
76.217390 86.172 5.2645
76.769692 86.613 9.0406
77.325997 87.094 13.2886
77.886333 87.681 17.9009
78.450730 88.408 22.1998
79.019216 89.224 25.1396
79.591822 90.000 26.1886
80.168577 90.628 25.8756
80.749512 91.083 25.1771
81.334656 91.418 24.7808
81.924040 91.696 24.6114
82.517696 91.930 24.1878
83.115653 92.082 23.2445
83.717943 92.108 21.9350
84.324598 91.984 20.6113
84.935649 91.709 19.6654
85.551128 91.310 19.5285
86.171066 90.844 20.4937
86.795497 90.381 22.3803
87.424453 89.951 24.5801
88.057967 89.521 26.6630
88.696071 89.041 28.7108
89.338800 88.481 31.1226
89.986185 87.846 34.3818
90.638262 87.184 38.9174
91.295065 86.579 44.8388
91.956626 86.114 51.6880
92.622982 85.819 58.6128
93.294166 85.655 64.8681
93.970214 85.540 70.2272
94.651161 85.406 75.0548
95.337042 85.240 79.9076
96.027894 85.072 84.9594
96.723752 84.921 89.8977
97.424652 84.771 94.3671
98.130631 84.577 98.2817
98.841726 84.297 101.8190
99.557974 83.902 105.3670
100.279412 83.392 109.3918
101.006078 82.797 114.2764
101.738010 82.168 120.2709
102.475245 81.568 127.2477
103.217823 81.025 134.5393
103.965782 80.505 141.7598
104.719161 79.975 149.3837
105.477999 79.452 157.8480
106.242336 78.965 166.9616
107.012212 78.528 176.6316
107.787666 78.166 -172.8976
108.568740 77.931 -161.4858
109.355474 77.894 -149.2786
110.147909 78.102 -137.0162
110.946086 78.526 -125.7795
111.750047 79.078 -116.0654
112.559834 79.677 -107.7095
113.375489 80.272 -100.4858
114.197055 80.822 -94.3427
115.024574 81.292 -89.0970
115.858089 81.662 -84.3998
116.697645 81.929 -79.9705
117.543284 82.102 -75.5360
118.395051 82.201 -70.9245
119.252990 82.247 -66.1122
120.117147 82.263 -60.9486
120.987565 82.285 -55.4051
121.864291 82.343 -49.7148
122.747370 82.453 -44.1257
123.636848 82.604 -39.1265
124.532771 82.748 -35.0600
125.435187 82.843 -31.7478
126.344142 82.864 -29.1071
127.259684 82.775 -27.3428
128.181860 82.519 -26.4746
129.110718 82.044 -26.0248
130.046308 81.332 -25.4690
130.988677 80.371 -24.7036
131.937875 79.130 -23.2960
132.893951 77.605 -20.3140
133.856956 75.831 -14.9950
134.826938 73.887 -6.4760
135.803950 71.887 4.4821
136.788041 69.845 16.2339
137.779264 67.724 32.1373
138.777669 65.799 58.1419
139.783309 64.643 88.4900
140.796237 64.365 113.1201
141.816504 64.679 136.1747
142.844165 65.538 159.9901
143.879273 66.977 -176.4502
144.921881 68.832 -156.8912
145.972045 70.786 -143.0594
147.029819 72.571 -134.4265
148.095257 74.026 -129.7031
149.168417 75.110 -126.7010
150.249353 75.876 -123.9693
151.338121 76.378 -121.3127
152.434780 76.643 -118.5846
153.539385 76.706 -115.2421
154.651995 76.596 -111.5710
155.772667 76.287 -107.7911
156.901460 75.749 -103.2411
158.038432 75.029 -96.2722
159.183644 74.293 -86.1591
160.337154 73.705 -74.4658
161.499023 73.350 -61.7314
162.669312 73.294 -48.3044
163.848081 73.501 -36.4067
165.035392 73.790 -27.4210
166.231306 73.992 -20.1769
167.435887 74.068 -13.2715
168.649196 74.043 -6.4636
169.871298 73.924 -0.1400
171.102255 73.691 5.6993
172.342133 73.305 10.7570
173.590995 72.722 15.5826
174.848907 71.976 21.3792
176.115934 71.123 26.7960
177.392143 70.078 30.1934
178.677599 68.679 32.7672
179.972371 66.856 35.9785
181.276525 64.621 38.9197
