* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:50:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-srf
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 81.959 3.1039
10.166832 82.084 1.9814
10.240505 82.235 0.8915
10.314712 82.391 -0.1875
10.389457 82.550 -1.2760
10.464743 82.715 -2.3879
10.540575 82.889 -3.4975
10.616956 83.069 -4.6111
10.693891 83.251 -5.7439
10.771383 83.433 -6.9120
10.849437 83.616 -8.1165
10.928057 83.800 -9.3452
11.007246 83.982 -10.5935
11.087009 84.160 -11.8590
11.167350 84.333 -13.1528
11.248273 84.502 -14.4819
11.329783 84.665 -15.8208
11.411883 84.822 -17.1457
11.494578 84.971 -18.4534
11.577873 85.112 -19.7773
11.661771 85.247 -21.0872
11.746277 85.375 -22.3479
11.831395 85.497 -23.5431
11.917130 85.613 -24.7083
12.003487 85.724 -25.8262
12.090469 85.835 -26.8716
12.178081 85.947 -27.8264
12.266329 86.059 -28.7064
12.355216 86.175 -29.5240
12.444747 86.301 -30.2880
12.534926 86.438 -30.9759
12.625760 86.585 -31.5910
12.717251 86.745 -32.1870
12.809406 86.921 -32.8093
12.902228 87.115 -33.4052
12.995723 87.325 -34.0041
13.089895 87.547 -34.6776
13.184750 87.782 -35.4580
13.280292 88.031 -36.2865
13.376526 88.287 -37.2038
13.473458 88.546 -38.2581
13.571093 88.806 -39.4368
13.669434 89.067 -40.7145
13.768489 89.322 -42.0940
13.868261 89.567 -43.5909
13.968756 89.802 -45.2001
14.069979 90.025 -46.8768
14.171936 90.232 -48.5957
14.274632 90.423 -50.4040
14.378072 90.597 -52.2538
14.482261 90.754 -54.0809
14.587206 90.893 -55.9260
14.692910 91.014 -57.7825
14.799381 91.120 -59.5810
14.906624 91.211 -61.3205
15.014643 91.287 -63.0308
15.123446 91.353 -64.6652
15.233036 91.409 -66.2024
15.343421 91.458 -67.6708
15.454606 91.502 -69.0611
15.566596 91.545 -70.3596
15.679398 91.586 -71.5756
15.793018 91.628 -72.7294
15.907460 91.674 -73.8242
16.022732 91.723 -74.8551
16.138840 91.774 -75.8495
16.255788 91.830 -76.8175
16.373585 91.887 -77.7506
16.492234 91.946 -78.6596
16.611744 92.006 -79.5519
16.732119 92.065 -80.4187
16.853367 92.124 -81.2477
16.975494 92.182 -82.0442
17.098505 92.241 -82.7991
17.222408 92.301 -83.4959
17.347209 92.364 -84.1357
17.472914 92.433 -84.7280
17.599530 92.511 -85.2660
17.727063 92.598 -85.7541
17.855521 92.699 -86.2413
17.984909 92.814 -86.7110
18.115235 92.942 -87.1991
18.246506 93.083 -87.7606
18.378727 93.236 -88.3710
18.511907 93.395 -89.0772
18.646052 93.558 -89.8954
18.781169 93.721 -90.8073
18.917265 93.876 -91.8204
19.054347 94.024 -92.9374
19.192423 94.158 -94.1049
19.331499 94.278 -95.3348
19.471583 94.381 -96.5915
19.612682 94.468 -97.8218
19.754804 94.539 -99.0470
19.897956 94.598 -100.2014
20.042144 94.646 -101.2912
20.187378 94.687 -102.3048
20.333664 94.726 -103.2225
20.481010 94.764 -104.0630
20.629424 94.806 -104.8345
20.778913 94.852 -105.5380
20.929486 94.905 -106.2126
21.081150 94.965 -106.8522
21.233912 95.029 -107.4829
21.387782 95.097 -108.1101
21.542767 95.167 -108.7299
21.698874 95.237 -109.3472
21.856113 95.309 -109.9504
22.014492 95.380 -110.5298
22.174018 95.453 -111.0850
22.334700 95.529 -111.6052
22.496546 95.609 -112.0959
22.659566 95.695 -112.5640
22.823766 95.788 -113.0115
22.989157 95.888 -113.4571
23.155745 95.995 -113.8982
23.323542 96.106 -114.3423
23.492554 96.224 -114.7856
23.662790 96.347 -115.2146
23.834261 96.477 -115.6297
24.006973 96.619 -116.0190
24.180938 96.776 -116.3953
24.356163 96.954 -116.7887
24.532658 97.157 -117.2324
24.710431 97.387 -117.8110
24.889493 97.639 -118.5701
25.069853 97.909 -119.6061
25.251519 98.182 -120.9394
25.434502 98.447 -122.6291
25.618811 98.685 -124.6177
25.804456 98.886 -126.9322
25.991445 99.033 -129.4069
26.179790 99.120 -132.0547
26.369500 99.141 -134.6325
26.560584 99.099 -137.1254
26.753053 99.002 -139.2961
26.946917 98.870 -141.0731
27.142185 98.726 -142.3705
27.338869 98.608 -143.2699
27.536977 98.542 -143.7012
27.736522 98.560 -144.0326
27.937512 98.662 -144.4544
28.139959 98.838 -145.2861
28.343872 99.048 -146.7293
28.549264 99.260 -148.8417
28.756143 99.425 -151.6118
28.964522 99.516 -154.8720
29.174411 99.507 -158.5562
29.385821 99.383 -162.2948
29.598763 99.141 -166.0333
29.813248 98.781 -169.4043
30.029287 98.324 -172.2304
30.246891 97.792 -174.3052
30.466073 97.235 -175.4443
30.686842 96.702 -175.7175
30.909212 96.242 -175.1560
31.133193 95.890 -174.2555
31.358797 95.643 -173.2976
31.586035 95.476 -172.5884
31.814921 95.341 -172.2544
32.045465 95.207 -172.1583
32.277680 95.057 -172.1807
32.511577 94.896 -172.0592
32.747169 94.752 -171.7515
32.984469 94.649 -171.2874
33.223488 94.611 -170.8508
33.464239 94.629 -170.7655
33.706735 94.678 -171.1764
33.950987 94.717 -172.1944
34.197010 94.702 -173.7157
34.444816 94.608 -175.4880
34.694417 94.426 -177.2929
34.945827 94.167 -178.8399
35.199059 93.864 -179.8936
35.454126 93.563 179.5444
35.711041 93.301 179.3711
35.969818 93.104 179.3187
36.230470 92.966 178.9899
36.493011 92.849 178.1995
36.757455 92.710 176.9283
37.023814 92.510 175.2844
37.292104 92.227 173.5395
37.562338 91.862 172.0250
37.834530 91.443 170.9534
38.108695 91.008 170.4369
38.384846 90.601 170.4400
38.662999 90.256 170.7310
38.943167 89.981 170.9741
39.225365 89.755 170.9565
39.509608 89.552 170.6104
39.795911 89.355 169.9745
40.084289 89.157 169.1299
40.374756 88.969 168.1081
40.667328 88.807 166.8021
40.962020 88.669 164.9776
41.258848 88.537 162.3981
41.557827 88.372 158.9160
41.858972 88.130 154.5088
42.162299 87.767 149.2665
42.467824 87.251 143.3577
42.775564 86.562 136.9883
43.085533 85.696 130.3597
43.397749 84.658 123.6238
43.712227 83.469 116.8304
44.028983 82.155 109.8811
44.348036 80.749 102.5175
44.669400 79.283 94.3488
44.993093 77.795 84.9414
45.319131 76.333 73.9871
45.647532 74.976 61.5694
45.978313 73.839 48.4629
46.311491 73.048 36.1342
46.647083 72.701 26.0916
46.985107 72.819 18.9975
47.325581 73.324 14.4211
47.668521 74.068 11.3966
48.013947 74.894 9.1726
48.361876 75.695 7.5420
48.712326 76.439 6.7050
49.065315 77.159 6.9454
49.420863 77.932 8.3080
49.778987 78.828 10.4105
50.139706 79.868 12.5608
50.503039 81.024 14.1196
50.869005 82.246 14.7399
51.237623 83.491 14.3102
51.608912 84.728 12.7707
51.982891 85.924 10.0213
52.359580 87.035 5.9705
52.739000 88.010 0.6322
53.121168 88.798 -5.8223
53.506106 89.356 -13.0771
53.893833 89.658 -20.7393
54.284370 89.694 -28.3533
54.677737 89.475 -35.4216
55.073955 89.037 -41.4685
55.473043 88.438 -46.1339
55.875024 87.754 -49.2928
56.279917 87.055 -51.0959
56.687745 86.386 -51.9056
57.098527 85.752 -52.0535
57.512287 85.145 -51.6394
57.929045 84.566 -50.5814
58.348822 84.035 -48.8162
58.771642 83.585 -46.4517
59.197525 83.238 -43.7612
59.626495 82.999 -41.0659
60.058573 82.849 -38.6449
60.493782 82.755 -36.6893
60.932145 82.679 -35.2294
61.373685 82.587 -34.1322
61.818424 82.470 -33.1730
62.266386 82.336 -32.1936
62.717593 82.200 -31.2042
63.172071 82.067 -30.3313
63.629842 81.925 -29.6583
64.090930 81.759 -29.1183
64.555359 81.570 -28.5283
65.023154 81.379 -27.7487
65.494339 81.219 -26.8461
65.968938 81.111 -26.1588
66.446976 81.044 -26.1213
66.928478 80.966 -27.0420
67.413469 80.813 -28.9469
67.901975 80.534 -31.6290
68.394021 80.094 -34.7643
68.889632 79.483 -38.1074
69.388835 78.699 -41.5496
69.891655 77.726 -45.2228
70.398118 76.502 -49.3370
70.908252 74.901 -53.6818
71.422083 72.779 -56.0659
71.939636 70.349 -47.4153
72.460941 69.233 -6.6714
72.986023 70.556 17.6584
73.514909 72.366 15.1390
74.047629 73.530 5.3511
74.584208 74.022 -5.8040
75.124676 74.140 -16.1173
75.669061 74.253 -25.5096
76.217390 74.642 -35.4976
76.769692 75.351 -47.6002
77.325997 76.288 -62.0622
77.886333 77.362 -78.1633
78.450730 78.495 -95.0472
79.019216 79.599 -112.1057
79.591822 80.576 -128.8649
80.168577 81.358 -144.9604
80.749512 81.906 -160.1724
81.334656 82.212 -174.4063
81.924040 82.273 172.1996
82.517696 82.070 159.3188
83.115653 81.566 146.5699
83.717943 80.697 133.5797
84.324598 79.392 119.8604
84.935649 77.584 104.2850
85.551128 75.320 83.3428
86.171066 73.199 42.5269
86.795497 72.826 -29.7163
87.424453 74.460 -66.3771
88.057967 76.566 -82.8385
88.696071 78.481 -92.9968
89.338800 80.119 -101.1970
89.986185 81.457 -109.4803
90.638262 82.439 -118.6527
91.295065 82.996 -128.7059
91.956626 83.062 -139.0824
92.622982 82.586 -148.7473
93.294166 81.559 -156.1868
93.970214 80.051 -159.3136
94.651161 78.317 -155.0920
95.337042 77.058 -140.0725
96.027894 77.256 -118.6735
96.723752 78.779 -104.8044
97.424652 80.619 -101.1121
98.130631 82.203 -103.6705
98.841726 83.364 -109.6696
99.557974 84.068 -117.4933
100.279412 84.318 -125.9716
101.006078 84.146 -134.0078
101.738010 83.633 -140.5771
102.475245 82.909 -145.1599
103.217823 82.100 -148.1591
103.965782 81.263 -150.4127
104.719161 80.379 -152.2050
105.477999 79.440 -153.2585
106.242336 78.476 -153.4937
107.012212 77.524 -153.2150
107.787666 76.609 -152.5852
108.568740 75.772 -151.7075
109.355474 75.055 -151.2410
110.147909 74.448 -151.9248
110.946086 73.918 -153.8555
111.750047 73.461 -157.1025
112.559834 73.070 -162.0092
113.375489 72.729 -168.4392
114.197055 72.462 -175.9182
115.024574 72.307 175.6228
115.858089 72.231 166.1462
116.697645 72.137 156.1726
117.543284 71.931 146.7852
118.395051 71.581 139.1924
119.252990 71.112 134.2430
120.117147 70.574 132.3403
120.987565 70.060 134.2126
121.864291 69.826 141.1600
122.747370 70.247 152.8889
123.636848 71.400 164.3910
124.532771 72.885 171.2490
125.435187 74.298 174.0743
126.344142 75.449 174.6050
127.259684 76.279 174.3401
128.181860 76.828 174.8069
129.110718 77.234 177.2866
130.046308 77.726 -177.3069
130.988677 78.526 -169.9597
131.937875 79.631 -163.6702
132.893951 80.877 -159.6315
133.856956 82.121 -157.5212
134.826938 83.225 -157.8254
135.803950 84.018 -160.4883
136.788041 84.418 -163.6064
137.779264 84.513 -164.9108
138.777669 84.514 -163.4041
139.783309 84.653 -159.4703
140.796237 85.052 -154.8889
141.816504 85.624 -151.9827
142.844165 86.168 -151.2854
143.879273 86.554 -151.6300
144.921881 86.776 -151.8878
145.972045 86.886 -151.6283
147.029819 86.946 -150.8135
148.095257 86.980 -150.0671
149.168417 86.928 -150.2346
150.249353 86.680 -151.0323
151.338121 86.201 -150.8638
152.434780 85.612 -148.1254
153.539385 85.146 -142.6407
154.651995 84.969 -136.7152
155.772667 84.990 -133.1130
156.901460 84.972 -132.0171
158.038432 84.732 -132.4386
159.183644 84.172 -133.1880
160.337154 83.299 -132.2950
161.499023 82.283 -128.0427
162.669312 81.342 -122.1536
163.848081 80.473 -117.6917
165.035392 79.505 -113.5629
166.231306 78.418 -107.0922
167.435887 77.323 -99.2040
168.649196 76.204 -91.8776
169.871298 74.955 -83.6313
171.102255 73.565 -72.8959
172.342133 72.124 -59.1986
173.590995 70.904 -39.8583
174.848907 70.530 -9.4000
176.115934 71.244 15.6861
