* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:39:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side2-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 37.478 -130.6119
10.166832 38.347 -126.7834
10.240505 39.383 -124.0627
10.314712 40.441 -122.2469
10.389457 41.487 -121.1754
10.464743 42.464 -120.7012
10.540575 43.331 -120.5709
10.616956 44.130 -120.7503
10.693891 44.877 -121.2452
10.771383 45.580 -122.0626
10.849437 46.236 -123.1251
10.928057 46.843 -124.3582
11.007246 47.404 -125.7610
11.087009 47.924 -127.3467
11.167350 48.403 -129.1434
11.248273 48.839 -131.1242
11.329783 49.231 -133.2273
11.411883 49.579 -135.4214
11.494578 49.884 -137.7490
11.577873 50.143 -140.3034
11.661771 50.354 -142.9753
11.746277 50.516 -145.6725
11.831395 50.626 -148.4202
11.917130 50.685 -151.4203
12.003487 50.688 -154.5399
12.090469 50.630 -157.6283
12.178081 50.508 -160.7103
12.266329 50.324 -164.0515
12.355216 50.066 -167.5000
12.444747 49.724 -170.8488
12.534926 49.299 -174.1874
12.625760 48.788 -177.7612
12.717251 48.161 178.5902
12.809406 47.396 175.1236
12.902228 46.522 171.6410
12.995723 45.485 167.9927
13.089895 44.154 164.3129
13.184750 42.346 160.9010
13.280292 40.005 157.6434
13.376526 37.552 154.3857
13.473458 35.594 151.1964
13.571093 34.361 150.8969
13.669434 33.830 -53.6089
13.768489 34.129 -44.0519
13.868261 35.465 -45.3001
13.968756 37.596 -48.2277
14.069979 39.713 -50.8447
14.171936 41.212 -52.6850
14.274632 42.155 -54.7226
14.378072 42.780 -56.5498
14.482261 43.257 -57.5389
14.587206 43.594 -57.9336
14.692910 43.811 -57.8817
14.799381 43.998 -57.1053
14.906624 44.186 -55.4194
15.014643 44.380 -53.0487
15.123446 44.651 -50.4057
15.233036 45.050 -47.6134
15.343421 45.554 -44.7092
15.454606 46.125 -42.4303
15.566596 46.753 -41.0068
15.679398 47.427 -40.1317
15.793018 48.084 -40.0601
15.907460 48.690 -40.8581
16.022732 49.247 -42.2532
16.138840 49.732 -44.1193
16.255788 50.131 -46.5290
16.373585 50.445 -49.4008
16.492234 50.667 -52.4354
16.611744 50.794 -55.8105
16.732119 50.825 -59.4976
16.853367 50.755 -63.1381
16.975494 50.583 -67.0336
17.098505 50.302 -71.0799
17.222408 49.906 -74.9476
17.347209 49.392 -78.9884
17.472914 48.743 -82.9809
17.599530 47.949 -86.6835
17.727063 46.996 -90.3349
17.855521 45.838 -93.5879
17.984909 44.463 -96.1434
18.115235 42.822 -97.8001
18.246506 40.779 -97.6471
18.378727 38.352 -93.5271
18.511907 36.287 -82.2537
18.646052 35.210 -57.8858
18.781169 35.163 -28.9380
18.917265 36.141 -13.2689
19.054347 37.874 -7.7004
19.192423 39.465 -7.0009
19.331499 40.567 -9.3291
19.471583 41.341 -13.2005
19.612682 41.851 -17.9385
19.754804 42.105 -23.9373
19.897956 42.143 -30.1985
20.042144 41.970 -37.6149
20.187378 41.590 -45.5730
20.333664 41.003 -54.3838
20.481010 40.210 -64.6162
20.629424 39.203 -75.7596
20.778913 38.013 -89.7594
20.929486 36.759 -106.1449
21.081150 35.514 -128.0653
21.233912 34.709 -154.7848
21.387782 34.581 174.9030
21.542767 34.997 147.7679
21.698874 35.851 125.8438
21.856113 36.869 108.2706
22.014492 37.793 94.0677
22.174018 38.633 81.5205
22.334700 39.376 70.8784
22.496546 40.053 61.0587
22.659566 40.717 52.4486
22.823766 41.390 44.4999
22.989157 42.114 37.1331
23.155745 42.891 30.2290
23.323542 43.712 23.3032
23.492554 44.557 16.4965
23.662790 45.375 9.3740
23.834261 46.137 2.1143
24.006973 46.785 -5.3474
24.180938 47.288 -12.9736
24.356163 47.594 -20.4023
24.532658 47.667 -27.7108
24.710431 47.448 -34.0773
24.889493 46.900 -39.2950
25.069853 45.955 -41.5023
25.251519 44.969 -38.7486
25.434502 44.387 -26.0493
25.618811 45.131 -6.7284
25.804456 47.378 8.3632
25.991445 49.889 12.2787
26.179790 52.244 10.5438
26.369500 54.208 5.0999
26.560584 55.794 -1.8756
26.753053 57.050 -10.0151
26.946917 58.000 -18.3807
27.142185 58.666 -27.2371
27.338869 59.060 -35.5590
27.536977 59.187 -43.8343
27.736522 59.054 -50.9078
27.937512 58.684 -56.8997
28.139959 58.113 -60.6945
28.343872 57.516 -61.8218
28.549264 57.085 -59.4868
28.756143 57.193 -55.0393
28.964522 57.860 -50.8053
29.174411 58.964 -49.0717
29.385821 60.145 -50.7684
29.598763 61.227 -54.9501
29.813248 62.079 -61.1470
30.029287 62.677 -68.2275
30.246891 63.005 -76.1260
30.466073 63.064 -83.9471
30.686842 62.856 -91.3875
30.909212 62.388 -98.1795
31.133193 61.689 -103.3201
31.358797 60.834 -106.4927
31.586035 59.940 -106.7216
31.814921 59.270 -104.0652
32.045465 59.017 -99.7064
32.277680 59.243 -95.4746
32.511577 59.752 -93.4422
32.747169 60.311 -93.4410
32.984469 60.773 -94.9445
33.223488 61.067 -97.0726
33.464239 61.217 -98.8312
33.706735 61.293 -99.8113
33.950987 61.395 -99.6145
34.197010 61.652 -98.4705
34.444816 62.115 -97.1990
34.694417 62.763 -96.5153
34.945827 63.517 -97.0148
35.199059 64.266 -98.8451
35.454126 64.945 -101.6724
35.711041 65.518 -105.1699
35.969818 65.970 -109.0054
36.230470 66.314 -112.7850
36.493011 66.574 -116.2892
36.757455 66.785 -119.4086
37.023814 66.981 -122.1027
37.292104 67.194 -124.4603
37.562338 67.442 -126.7223
37.834530 67.717 -129.1102
38.108695 67.997 -131.7756
38.384846 68.251 -134.7827
38.662999 68.448 -138.0771
38.943167 68.565 -141.4494
39.225365 68.603 -144.6466
39.509608 68.579 -147.4464
39.795911 68.531 -149.7010
40.084289 68.507 -151.4053
40.374756 68.551 -152.7660
40.667328 68.680 -154.1936
40.962020 68.871 -156.1024
41.258848 69.075 -158.7121
41.557827 69.238 -162.0233
41.858972 69.314 -165.8718
42.162299 69.279 -170.0026
42.467824 69.125 -174.1338
42.775564 68.861 -178.0079
43.085533 68.509 178.5667
43.397749 68.093 175.6931
43.712227 67.637 173.3909
44.028983 67.156 171.6416
44.348036 66.658 170.4446
44.669400 66.151 169.8490
44.993093 65.650 169.9401
45.319131 65.182 170.7803
45.647532 64.779 172.3340
45.978313 64.471 174.4326
46.311491 64.271 176.8306
46.647083 64.172 179.3193
46.985107 64.163 -178.1995
47.325581 64.236 -175.7507
47.668521 64.394 -173.3936
48.013947 64.634 -171.2855
48.361876 64.936 -169.6225
48.712326 65.266 -168.4932
49.065315 65.592 -167.7814
49.420863 65.904 -167.2041
49.778987 66.228 -166.4751
50.139706 66.618 -165.5190
50.503039 67.121 -164.6047
50.869005 67.750 -164.2637
51.237623 68.467 -165.0195
51.608912 69.206 -167.1595
51.982891 69.900 -170.7197
52.359580 70.496 -175.5936
52.739000 70.945 178.3828
53.121168 71.206 171.4165
53.506106 71.237 163.7901
53.893833 71.001 155.8740
54.284370 70.469 148.1899
54.677737 69.633 141.4470
55.073955 68.525 136.5004
55.473043 67.238 134.1705
55.875024 65.927 134.7976
56.279917 64.762 137.8422
56.687745 63.829 142.1263
57.098527 63.117 147.0125
57.512287 62.628 152.6234
57.929045 62.420 158.6140
58.348822 62.487 163.5780
58.771642 62.669 166.2356
59.197525 62.741 166.6949
59.626495 62.544 166.0946
60.058573 62.023 165.8337
60.493782 61.208 167.3156
60.932145 60.204 171.7407
61.373685 59.198 -179.7715
61.818424 58.543 -165.9803
62.266386 58.763 -146.9952
62.717593 60.066 -128.3796
63.172071 61.968 -116.5995
63.629842 63.882 -111.5609
64.090930 65.556 -110.2720
64.555359 66.988 -110.3216
65.023154 68.287 -110.4935
65.494339 69.550 -110.7312
65.968938 70.801 -111.6360
66.446976 71.995 -113.6000
66.928478 73.079 -116.4943
67.413469 74.040 -119.8975
67.901975 74.892 -123.4708
68.394021 75.660 -127.0822
68.889632 76.355 -130.7275
69.388835 76.983 -134.3717
69.891655 77.550 -137.9309
70.398118 78.076 -141.3132
70.908252 78.583 -144.4955
71.422083 79.095 -147.5560
71.939636 79.625 -150.7128
72.460941 80.158 -154.3335
72.986023 80.644 -158.6785
73.514909 81.013 -163.6776
74.047629 81.226 -168.8297
74.584208 81.296 -173.4669
75.124676 81.294 -177.1497
75.669061 81.296 179.9847
76.217390 81.325 177.3981
76.769692 81.349 174.8714
77.325997 81.350 172.7797
77.886333 81.385 171.6801
78.450730 81.555 171.4102
79.019216 81.899 170.9672
79.591822 82.335 169.3724
80.168577 82.743 166.6140
80.749512 83.058 163.3342
81.334656 83.293 160.2336
81.924040 83.507 157.5660
82.517696 83.747 155.0771
83.115653 84.012 152.3310
83.717943 84.262 149.1379
84.324598 84.467 145.7133
84.935649 84.632 142.4012
85.551128 84.793 139.3289
86.171066 84.980 136.2925
86.795497 85.191 132.9612
87.424453 85.400 129.1584
88.057967 85.579 124.9121
88.696071 85.710 120.3239
89.338800 85.786 115.4715
89.986185 85.801 110.3922
90.638262 85.748 105.1215
91.295065 85.620 99.7512
91.956626 85.417 94.4251
92.622982 85.152 89.2292
93.294166 84.837 84.0967
93.970214 84.469 78.8948
94.651161 84.032 73.5955
95.337042 83.515 68.2711
96.027894 82.914 62.9421
96.723752 82.224 57.5397
97.424652 81.435 51.9808
98.130631 80.532 46.1226
98.841726 79.487 39.6586
99.557974 78.242 32.2134
100.279412 76.716 23.4235
101.006078 74.819 12.6188
101.738010 72.502 -2.0743
102.475245 69.970 -27.0169
103.217823 68.380 -78.3018
103.965782 69.152 -127.2687
104.719161 71.174 -149.6326
105.477999 73.099 -161.7688
106.242336 74.704 -168.8678
107.012212 76.174 -172.2535
107.787666 77.664 -173.9121
108.568740 79.145 -176.1218
109.355474 80.515 -179.6505
110.147909 81.720 175.9476
110.946086 82.758 171.1707
111.750047 83.649 166.2841
112.559834 84.417 161.4930
113.375489 85.095 156.9381
114.197055 85.718 152.6836
115.024574 86.324 148.6760
115.858089 86.927 144.5344
116.697645 87.499 139.8475
117.543284 87.995 134.6348
118.395051 88.392 129.1267
119.252990 88.682 123.5277
120.117147 88.873 118.1125
120.987565 88.987 113.0662
121.864291 89.044 108.3530
122.747370 89.058 104.0364
123.636848 89.060 100.2883
124.532771 89.099 97.0745
125.435187 89.218 94.0619
126.344142 89.416 90.4651
127.259684 89.608 85.5118
128.181860 89.671 79.2219
129.110718 89.515 72.2183
130.046308 89.098 65.2339
130.988677 88.408 59.0061
131.937875 87.467 54.3627
132.893951 86.346 52.2821
133.856956 85.201 53.6316
134.826938 84.276 58.4116
135.803950 83.779 64.5746
136.788041 83.685 69.5717
137.779264 83.823 73.1616
138.777669 84.112 76.3162
139.783309 84.593 79.5836
140.796237 85.276 81.7640
141.816504 85.987 80.8064
142.844165 86.479 77.0984
143.879273 86.659 73.0034
144.921881 86.633 70.5797
145.972045 86.616 70.4772
147.029819 86.787 71.4845
148.095257 87.155 71.7874
149.168417 87.595 70.5203
150.249353 87.988 68.0754
151.338121 88.287 65.0818
152.434780 88.474 61.6868
153.539385 88.551 58.4756
154.651995 88.551 55.6298
155.772667 88.474 52.8066
156.901460 88.316 50.5925
158.038432 88.153 49.8181
159.183644 88.077 49.6748
160.337154 88.078 49.2833
161.499023 88.147 49.2700
162.669312 88.328 49.6412
163.848081 88.638 49.7948
165.035392 89.055 49.4275
166.231306 89.533 48.1658
167.435887 90.010 45.8243
168.649196 90.443 42.7422
169.871298 90.836 39.2937
171.102255 91.189 35.1917
172.342133 91.458 30.2523
173.590995 91.610 24.8875
174.848907 91.636 19.4268
176.115934 91.539 14.0437
177.392143 91.327 8.9805
178.677599 91.018 4.3073
179.972371 90.619 0.0682
181.276525 90.160 -3.2352
182.590129 89.713 -5.4113
