* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:40:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side2-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 46.420 -155.4403
10.166832 46.742 -157.4010
10.240505 47.130 -159.5573
10.314712 47.527 -161.7996
10.389457 47.916 -164.0538
10.464743 48.255 -166.3116
10.540575 48.515 -168.7695
10.616956 48.720 -171.3397
10.693891 48.874 -173.8951
10.771383 48.978 -176.3262
10.849437 49.031 -178.8067
10.928057 49.032 178.5786
11.007246 48.978 175.9824
11.087009 48.866 173.5714
11.167350 48.695 171.3480
11.248273 48.464 169.0858
11.329783 48.170 166.9168
11.411883 47.809 165.0396
11.494578 47.372 163.6184
11.577873 46.854 162.5204
11.661771 46.276 161.8442
11.746277 45.664 161.7846
11.831395 45.009 162.6340
11.917130 44.287 164.6671
12.003487 43.592 167.9010
12.090469 43.061 172.1583
12.178081 42.784 177.3264
12.266329 42.728 -176.4526
12.355216 42.856 -170.2889
12.444747 43.148 -165.3196
12.534926 43.630 -161.7687
12.625760 44.276 -159.3491
12.717251 44.955 -158.1547
12.809406 45.551 -158.1641
12.902228 46.070 -159.3007
12.995723 46.525 -161.1988
13.089895 46.895 -163.5513
13.184750 47.160 -166.3627
13.280292 47.326 -169.9257
13.376526 47.392 -173.8434
13.473458 47.358 -177.7627
13.571093 47.222 177.8498
13.669434 46.979 172.9193
13.768489 46.621 167.8813
13.868261 46.144 162.8419
13.968756 45.547 157.1032
14.069979 44.811 150.8803
14.171936 43.912 144.5977
14.274632 42.839 137.5391
14.378072 41.616 129.2165
14.482261 40.255 119.7106
14.587206 38.657 108.3083
14.692910 37.005 92.8348
14.799381 35.761 72.0819
14.906624 35.250 47.4431
15.014643 35.341 21.8184
15.123446 35.804 1.5287
15.233036 36.556 -12.1243
15.343421 37.552 -22.2471
15.454606 38.535 -29.5502
15.566596 39.340 -34.4121
15.679398 40.039 -37.9418
15.793018 40.705 -40.6584
15.907460 41.374 -42.5681
16.022732 42.038 -43.8649
16.138840 42.711 -45.3231
16.255788 43.406 -47.0378
16.373585 44.104 -48.8439
16.492234 44.767 -51.2395
16.611744 45.386 -54.3048
16.732119 45.946 -57.7640
16.853367 46.419 -61.6475
16.975494 46.797 -66.2364
17.098505 47.071 -71.1554
17.222408 47.226 -76.2246
17.347209 47.259 -81.9833
17.472914 47.156 -87.8474
17.599530 46.907 -93.7742
17.727063 46.503 -100.3242
17.855521 45.914 -106.6656
17.984909 45.138 -113.2717
18.115235 44.120 -120.2955
18.246506 42.793 -126.8990
18.378727 41.139 -133.9248
18.511907 38.985 -141.1727
18.646052 35.936 -147.8090
18.781169 32.825 -155.1255
18.917265 31.762 171.7085
19.054347 33.133 10.5670
19.192423 35.153 4.6046
19.331499 37.114 -2.4462
19.471583 38.849 -9.2191
19.612682 40.033 -15.1711
19.754804 40.756 -21.5671
19.897956 41.193 -27.0393
20.042144 41.380 -32.4161
20.187378 41.364 -37.3206
20.333664 41.178 -41.4794
20.481010 40.843 -45.2895
20.629424 40.397 -48.3817
20.778913 39.844 -50.9196
20.929486 39.204 -53.1225
21.081150 38.474 -54.8912
21.233912 37.598 -56.4728
21.387782 36.552 -58.0485
21.542767 35.160 -59.0873
21.698874 33.197 -59.3828
21.856113 31.134 -56.3171
22.014492 29.598 -36.7892
22.174018 29.545 37.9899
22.334700 31.960 65.6202
22.496546 35.273 69.4636
22.659566 37.843 67.5067
22.823766 39.830 63.9355
22.989157 41.399 59.6729
23.155745 42.593 55.0199
23.323542 43.508 50.7014
23.492554 44.166 46.4459
23.662790 44.616 43.0773
23.834261 44.882 40.2972
24.006973 45.019 38.9271
24.180938 45.080 38.8432
24.356163 45.180 40.6383
24.532658 45.414 44.1102
24.710431 45.937 48.9395
24.889493 46.768 54.0984
25.069853 47.910 58.5104
25.251519 49.247 61.2573
25.434502 50.674 62.2718
25.618811 52.095 61.3875
25.804456 53.454 59.1242
25.991445 54.708 55.5027
26.179790 55.840 50.9517
26.369500 56.831 45.5432
26.560584 57.671 39.5593
26.753053 58.348 33.0538
26.946917 58.851 26.3803
27.142185 59.169 19.3945
27.338869 59.289 12.7505
27.536977 59.199 6.2041
27.736522 58.890 0.6489
27.937512 58.371 -3.8323
28.139959 57.666 -6.1997
28.343872 56.943 -5.8151
28.549264 56.393 -1.7910
28.756143 56.412 4.5921
28.964522 57.028 10.7503
29.174411 58.117 14.1299
29.385821 59.288 13.8767
29.598763 60.357 11.0090
29.813248 61.187 6.1774
30.029287 61.757 0.5488
30.246891 62.057 -5.6920
30.466073 62.096 -11.5657
30.686842 61.904 -16.7177
30.909212 61.520 -20.6716
31.133193 61.050 -22.6302
31.358797 60.650 -22.6511
31.586035 60.478 -20.7543
31.814921 60.664 -18.6165
32.045465 61.130 -17.5474
32.277680 61.743 -18.2833
32.511577 62.307 -21.0191
32.747169 62.725 -25.0079
32.984469 62.943 -29.8412
33.223488 62.940 -34.8942
33.464239 62.734 -39.4716
33.706735 62.363 -43.2849
33.950987 61.886 -45.8547
34.197010 61.404 -46.9905
34.444816 61.011 -46.9976
34.694417 60.763 -46.2584
34.945827 60.669 -45.6170
35.199059 60.663 -45.5182
35.454126 60.676 -45.9532
35.711041 60.661 -46.7844
35.969818 60.598 -47.7249
36.230470 60.505 -48.5154
36.493011 60.403 -49.1636
36.757455 60.305 -49.7631
37.023814 60.199 -50.4485
37.292104 60.054 -51.3003
37.562338 59.830 -52.1157
37.834530 59.514 -52.5205
38.108695 59.126 -52.0869
38.384846 58.727 -50.4186
38.662999 58.417 -47.4297
38.943167 58.288 -43.7032
39.225365 58.344 -40.1343
39.509608 58.509 -37.3462
39.795911 58.682 -35.4181
40.084289 58.781 -33.9398
40.374756 58.781 -32.1975
40.667328 58.729 -29.3873
40.962020 58.746 -24.9686
41.258848 58.991 -19.0561
41.557827 59.568 -12.6409
41.858972 60.459 -7.1848
42.162299 61.543 -3.7278
42.467824 62.668 -2.4912
42.775564 63.716 -3.1420
43.085533 64.623 -5.1505
43.397749 65.362 -7.9779
43.712227 65.936 -11.1432
44.028983 66.370 -14.2696
44.348036 66.701 -17.1213
44.669400 66.970 -19.6310
44.993093 67.212 -21.8975
45.319131 67.440 -24.1230
45.647532 67.644 -26.5004
45.978313 67.798 -29.1130
46.311491 67.876 -31.9006
46.647083 67.863 -34.6952
46.985107 67.757 -37.2912
47.325581 67.568 -39.5130
47.668521 67.317 -41.2570
48.013947 67.020 -42.4915
48.361876 66.691 -43.2181
48.712326 66.336 -43.4233
49.065315 65.966 -43.0630
49.420863 65.594 -42.1002
49.778987 65.235 -40.5607
50.139706 64.895 -38.5346
50.503039 64.564 -36.0657
50.869005 64.226 -32.9611
51.237623 63.900 -28.6429
51.608912 63.697 -22.2612
51.982891 63.841 -13.4482
52.359580 64.541 -3.6403
52.739000 65.751 4.1809
53.121168 67.195 8.1185
53.506106 68.597 8.3331
53.893833 69.801 5.8672
54.284370 70.744 1.7484
54.677737 71.411 -3.1964
55.073955 71.817 -8.3137
55.473043 71.995 -13.0775
55.875024 71.992 -17.0800
56.279917 71.871 -20.0710
56.687745 71.701 -22.0068
57.098527 71.541 -23.1224
57.512287 71.415 -23.8391
57.929045 71.307 -24.5143
58.348822 71.181 -25.2571
58.771642 71.004 -25.9293
59.197525 70.768 -26.2903
59.626495 70.480 -26.1624
60.058573 70.152 -25.4453
60.493782 69.796 -23.9870
60.932145 69.440 -21.4814
61.373685 69.154 -17.6300
61.818424 69.038 -12.5636
62.266386 69.162 -7.1198
62.717593 69.498 -2.3072
63.172071 69.956 1.3928
63.629842 70.450 4.1180
64.090930 70.941 6.1804
64.555359 71.413 7.7932
65.023154 71.858 9.0767
65.494339 72.273 10.1642
65.968938 72.666 11.2089
66.446976 73.052 12.2605
66.928478 73.439 13.2048
67.413469 73.813 13.8694
67.901975 74.143 14.2236
68.394021 74.403 14.4762
68.889632 74.588 14.9777
69.388835 74.724 16.0645
69.891655 74.851 17.8625
70.398118 75.006 20.3446
70.908252 75.223 23.5358
71.422083 75.559 27.6275
71.939636 76.105 32.6087
72.460941 76.933 37.7430
72.986023 78.007 41.7232
73.514909 79.187 43.5952
74.047629 80.330 43.4291
74.584208 81.357 41.9522
75.124676 82.276 40.0819
75.669061 83.158 38.4067
76.217390 84.091 36.8932
76.769692 85.105 34.8361
77.325997 86.146 31.4584
77.886333 87.112 26.4282
78.450730 87.912 20.0079
79.019216 88.494 12.6923
79.591822 88.840 5.0641
80.168577 88.958 -2.3405
80.749512 88.885 -9.0210
81.334656 88.689 -14.5820
81.924040 88.461 -19.0433
82.517696 88.262 -22.9746
83.115653 88.078 -27.1707
83.717943 87.817 -31.9875
84.324598 87.382 -36.9785
84.935649 86.737 -41.1921
85.551128 85.934 -43.6256
86.171066 85.105 -43.7371
86.795497 84.406 -41.9401
87.424453 83.921 -39.4534
88.057967 83.616 -37.2117
88.696071 83.417 -35.1281
89.338800 83.321 -32.5676
89.986185 83.405 -29.3645
90.638262 83.734 -26.3130
91.295065 84.271 -24.6230
91.956626 84.888 -25.0583
92.622982 85.441 -27.5856
93.294166 85.832 -31.5099
93.970214 86.046 -35.9012
94.651161 86.139 -40.1428
95.337042 86.187 -44.2946
96.027894 86.219 -48.9307
96.723752 86.203 -54.5803
97.424652 86.070 -61.3566
98.130631 85.765 -69.0056
98.841726 85.263 -77.1599
99.557974 84.574 -85.5744
100.279412 83.723 -94.1913
101.006078 82.752 -103.0438
101.738010 81.744 -112.3118
102.475245 80.826 -122.6885
103.217823 80.125 -135.3184
103.965782 79.699 -150.7291
104.719161 79.583 -167.9746
105.477999 79.826 174.8442
106.242336 80.433 159.2542
107.012212 81.303 145.6689
107.787666 82.276 133.7412
108.568740 83.201 123.0325
109.355474 83.987 113.4587
110.147909 84.613 105.2224
110.946086 85.111 98.4478
111.750047 85.523 93.0012
112.559834 85.882 88.6482
113.375489 86.215 85.1967
114.197055 86.541 82.4087
115.024574 86.862 79.9180
115.858089 87.149 77.4467
116.697645 87.370 75.0260
117.543284 87.508 72.8643
118.395051 87.558 71.1389
119.252990 87.525 70.0601
120.117147 87.436 70.1013
120.987565 87.368 71.7124
121.864291 87.430 74.7981
122.747370 87.736 79.1487
123.636848 88.379 84.1150
124.532771 89.333 87.9297
125.435187 90.425 89.1281
126.344142 91.451 87.6013
127.259684 92.300 84.4226
128.181860 92.968 80.7375
129.110718 93.489 76.7894
130.046308 93.858 72.4521
130.988677 94.055 67.9556
131.937875 94.075 63.7314
132.893951 93.938 60.1628
133.856956 93.667 57.4630
134.826938 93.294 55.9534
135.803950 92.892 56.2668
136.788041 92.593 58.6100
137.779264 92.518 62.0957
138.777669 92.685 65.4384
139.783309 93.057 68.3602
140.796237 93.631 71.0732
141.816504 94.373 72.5215
142.844165 95.145 71.5662
143.879273 95.796 68.5679
144.921881 96.247 64.4054
145.972045 96.478 59.8389
147.029819 96.513 55.5155
148.095257 96.399 51.7887
149.168417 96.182 48.7065
150.249353 95.883 45.9760
151.338121 95.483 43.5294
152.434780 94.963 41.7468
153.539385 94.331 41.0784
154.651995 93.661 42.6648
155.772667 93.164 47.2772
156.901460 93.046 53.0627
158.038432 93.278 57.1897
159.183644 93.647 58.8650
160.337154 93.970 58.7720
161.499023 94.177 58.0061
162.669312 94.289 57.3789
163.848081 94.340 56.6526
165.035392 94.315 55.5936
166.231306 94.205 54.6965
167.435887 94.038 54.2382
168.649196 93.845 54.1589
169.871298 93.656 54.4225
171.102255 93.480 54.7142
172.342133 93.267 54.3116
173.590995 92.917 53.3262
174.848907 92.399 53.5834
176.115934 91.852 56.4316
177.392143 91.445 60.6836
178.677599 91.238 65.2417
179.972371 91.240 70.0514
181.276525 91.424 74.1224
182.590129 91.701 76.8959
183.913252 92.013 79.0267
