* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:41:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 42.223 -1.7380
10.166832 42.534 0.0699
10.240505 42.909 1.9129
10.314712 43.297 3.5522
10.389457 43.695 4.8031
10.464743 44.126 5.5550
10.540575 44.609 5.9308
10.616956 45.116 6.0319
10.693891 45.617 5.9319
10.771383 46.084 5.6922
10.849437 46.514 5.2349
10.928057 46.917 4.6036
11.007246 47.298 3.9639
11.087009 47.658 3.4591
11.167350 47.992 3.1054
11.248273 48.299 2.7800
11.329783 48.597 2.5630
11.411883 48.905 2.5354
11.494578 49.233 2.7654
11.577873 49.572 3.2147
11.661771 49.933 3.7573
11.746277 50.334 4.2713
11.831395 50.789 4.7456
11.917130 51.293 5.3265
12.003487 51.836 5.7570
12.090469 52.406 5.8010
12.178081 53.003 5.4535
12.266329 53.629 4.9600
12.355216 54.266 4.1536
12.444747 54.889 2.8855
12.534926 55.495 1.2039
12.625760 56.088 -0.7168
12.717251 56.655 -2.8853
12.809406 57.184 -5.3461
12.902228 57.674 -8.1316
12.995723 58.127 -11.1103
13.089895 58.536 -14.1808
13.184750 58.897 -17.3826
13.280292 59.211 -20.8451
13.376526 59.477 -24.3700
13.473458 59.692 -27.7983
13.571093 59.856 -31.3546
13.669434 59.968 -35.0200
13.768489 60.028 -38.5533
13.868261 60.035 -41.9001
13.968756 59.987 -45.3126
14.069979 59.889 -48.5937
14.171936 59.741 -51.5140
14.274632 59.540 -54.2440
14.378072 59.296 -56.7533
14.482261 59.021 -58.8497
14.587206 58.710 -60.4415
14.692910 58.380 -61.5888
14.799381 58.064 -62.3036
14.906624 57.773 -62.4291
15.014643 57.514 -61.9497
15.123446 57.322 -61.1797
15.233036 57.226 -60.2160
15.343421 57.216 -58.9627
15.454606 57.279 -57.8463
15.566596 57.414 -57.1040
15.679398 57.613 -56.5980
15.793018 57.833 -56.4436
15.907460 58.048 -56.7398
16.022732 58.260 -57.4005
16.138840 58.446 -58.2319
16.255788 58.590 -59.2332
16.373585 58.695 -60.4061
16.492234 58.761 -61.4628
16.611744 58.782 -62.3889
16.732119 58.793 -63.2004
16.853367 58.798 -63.7078
16.975494 58.799 -63.8773
17.098505 58.805 -63.7836
17.222408 58.842 -63.4531
17.347209 58.929 -62.8321
17.472914 59.068 -62.1599
17.599530 59.267 -61.5637
17.727063 59.516 -61.0075
17.855521 59.794 -60.7170
17.984909 60.097 -60.7086
18.115235 60.405 -60.9248
18.246506 60.695 -61.3845
18.378727 60.966 -62.0803
18.511907 61.205 -62.8142
18.646052 61.404 -63.6055
18.781169 61.567 -64.3601
18.917265 61.696 -64.8008
19.054347 61.794 -64.9899
19.192423 61.882 -65.0975
19.331499 61.968 -64.5814
19.471583 62.077 -63.6440
19.612682 62.243 -62.2292
19.754804 62.477 -60.4101
19.897956 62.810 -58.4602
20.042144 63.253 -56.3800
20.187378 63.795 -54.6111
20.333664 64.429 -53.2626
20.481010 65.128 -52.4499
20.629424 65.854 -52.4155
20.778913 66.592 -52.9529
20.929486 67.302 -54.1822
21.081150 67.973 -55.9564
21.233912 68.585 -58.1216
21.387782 69.128 -60.7080
21.542767 69.594 -63.4104
21.698874 69.978 -66.2543
21.856113 70.284 -69.0251
22.014492 70.515 -71.5503
22.174018 70.685 -73.8175
22.334700 70.813 -75.5155
22.496546 70.925 -76.7455
22.659566 71.066 -77.3522
22.823766 71.256 -77.4519
22.989157 71.541 -77.3279
23.155745 71.920 -77.0579
23.323542 72.384 -77.1948
23.492554 72.910 -77.6743
23.662790 73.443 -78.8092
23.834261 73.960 -80.4247
24.006973 74.416 -82.4040
24.180938 74.802 -84.6116
24.356163 75.107 -86.6314
24.532658 75.351 -88.4125
24.710431 75.566 -89.4709
24.889493 75.806 -89.9177
25.069853 76.146 -89.5467
25.251519 76.633 -88.9483
25.434502 77.308 -88.3350
25.618811 78.128 -88.6305
25.804456 79.051 -89.8771
25.991445 79.984 -92.5273
26.179790 80.876 -96.2782
26.369500 81.666 -101.0785
26.560584 82.332 -106.6058
26.753053 82.848 -112.6836
26.946917 83.207 -118.9283
27.142185 83.401 -125.3408
27.338869 83.435 -131.3022
27.536977 83.315 -136.9154
27.736522 83.069 -141.4658
27.937512 82.747 -144.9796
28.139959 82.418 -146.9142
28.343872 82.205 -147.6120
28.549264 82.192 -147.1296
28.756143 82.442 -146.7273
28.964522 82.901 -146.9947
29.174411 83.482 -148.5965
29.385821 84.057 -151.5969
29.598763 84.557 -155.7375
29.813248 84.919 -160.7370
30.029287 85.127 -166.0337
30.246891 85.173 -171.5255
30.466073 85.072 -176.5889
30.686842 84.853 178.9124
30.909212 84.555 175.2442
31.133193 84.245 172.5579
31.358797 83.982 170.6503
31.586035 83.807 169.3756
31.814921 83.733 168.1209
32.045465 83.721 166.6705
32.277680 83.726 164.8491
32.511577 83.688 162.7693
32.747169 83.585 160.8220
32.984469 83.425 159.2859
33.223488 83.252 158.6191
33.464239 83.158 158.8715
33.706735 83.218 159.7430
33.950987 83.481 160.7148
34.197010 83.917 160.8768
34.444816 84.440 159.8590
34.694417 84.966 157.6489
34.945827 85.421 154.3820
35.199059 85.766 150.4859
35.454126 85.994 146.3132
35.711041 86.114 142.1046
35.969818 86.147 138.0928
36.230470 86.127 134.4181
36.493011 86.080 131.0415
36.757455 86.024 127.8890
37.023814 85.965 124.8547
37.292104 85.899 121.8221
37.562338 85.810 118.7629
37.834530 85.685 115.7322
38.108695 85.518 112.8217
38.384846 85.313 110.1509
38.662999 85.081 107.8408
38.943167 84.847 105.9427
39.225365 84.634 104.4087
39.509608 84.458 103.1220
39.795911 84.325 101.9248
40.084289 84.226 100.6623
40.374756 84.143 99.2373
40.667328 84.051 97.6556
40.962020 83.932 96.0317
41.258848 83.780 94.5352
41.557827 83.606 93.3410
41.858972 83.432 92.5740
42.162299 83.291 92.2545
42.467824 83.216 92.2651
42.775564 83.222 92.3778
43.085533 83.308 92.3429
43.397749 83.454 91.9852
43.712227 83.637 91.2383
44.028983 83.840 90.1041
44.348036 84.051 88.5892
44.669400 84.262 86.6736
44.993093 84.456 84.3259
45.319131 84.615 81.5442
45.647532 84.717 78.3930
45.978313 84.742 75.0118
46.311491 84.685 71.5932
46.647083 84.549 68.3403
46.985107 84.353 65.4171
47.325581 84.122 62.9059
47.668521 83.882 60.7901
48.013947 83.651 58.9780
48.361876 83.434 57.3575
48.712326 83.231 55.8512
49.065315 83.037 54.4355
49.420863 82.852 53.1185
49.778987 82.680 51.8970
50.139706 82.524 50.7263
50.503039 82.384 49.5271
50.869005 82.252 48.2241
51.237623 82.111 46.7945
51.608912 81.948 45.2913
51.982891 81.754 43.8228
52.359580 81.532 42.4988
52.739000 81.290 41.3762
53.121168 81.036 40.4507
53.506106 80.768 39.7163
53.893833 80.482 39.2496
54.284370 80.185 39.2408
54.677737 79.910 39.8972
55.073955 79.712 41.2198
55.473043 79.639 42.8339
55.875024 79.690 44.1429
56.279917 79.808 44.7488
56.687745 79.922 44.6975
57.098527 79.992 44.4108
57.512287 80.031 44.3878
57.929045 80.093 44.9026
58.348822 80.243 45.8692
58.771642 80.523 46.8918
59.197525 80.932 47.4862
59.626495 81.440 47.2882
60.058573 82.001 46.1018
60.493782 82.566 43.8600
60.932145 83.089 40.6331
61.373685 83.536 36.5910
61.818424 83.885 31.9593
62.266386 84.131 26.9711
62.717593 84.274 21.8097
63.172071 84.322 16.6511
63.629842 84.287 11.6819
64.090930 84.196 7.0614
64.555359 84.090 2.8910
65.023154 84.019 -0.9061
65.494339 84.025 -4.6216
65.968938 84.119 -8.7329
66.446976 84.278 -13.6605
66.928478 84.455 -19.6619
67.413469 84.600 -26.8013
67.901975 84.678 -35.0235
68.394021 84.669 -44.2223
68.889632 84.567 -54.3499
69.388835 84.383 -65.3596
69.891655 84.140 -77.3407
70.398118 83.876 -90.4500
70.908252 83.631 -105.0059
71.422083 83.433 -121.2919
71.939636 83.285 -139.4447
72.460941 83.163 -159.0662
72.986023 83.037 -179.3657
73.514909 82.890 160.9482
74.047629 82.747 143.0706
74.584208 82.687 127.8947
75.124676 82.823 115.5424
75.669061 83.230 105.3409
76.217390 83.883 96.1019
76.769692 84.681 86.8775
77.325997 85.508 77.1878
77.886333 86.271 66.9586
78.450730 86.913 56.3683
79.019216 87.405 45.6953
79.591822 87.749 35.2901
80.168577 87.969 25.4431
80.749512 88.110 16.3907
81.334656 88.241 8.2561
81.924040 88.435 0.8320
82.517696 88.733 -6.4742
83.115653 89.102 -14.3682
83.717943 89.451 -23.2147
84.324598 89.691 -32.8066
84.935649 89.776 -42.5677
85.551128 89.719 -51.8121
86.171066 89.597 -59.9907
86.795497 89.526 -67.0444
87.424453 89.598 -73.6536
88.057967 89.799 -80.8243
88.696071 90.029 -89.1225
89.338800 90.173 -98.4625
89.986185 90.146 -108.3583
90.638262 89.908 -118.0483
91.295065 89.487 -126.4352
91.956626 89.041 -132.3885
92.622982 88.839 -135.9891
93.294166 89.042 -139.4885
93.970214 89.498 -145.2711
94.651161 89.929 -153.5745
95.337042 90.164 -163.2695
96.027894 90.167 -173.2318
96.723752 89.967 177.2070
97.424652 89.606 168.3733
98.130631 89.122 160.4863
98.841726 88.558 153.7533
99.557974 87.969 148.3051
100.279412 87.417 144.1530
101.006078 86.970 141.1731
101.738010 86.688 138.9182
102.475245 86.574 136.5933
103.217823 86.560 133.6580
103.965782 86.568 130.2871
104.719161 86.577 127.0277
105.477999 86.634 124.2802
106.242336 86.824 121.9702
107.012212 87.194 119.3274
107.787666 87.691 115.2172
108.568740 88.168 109.0142
109.355474 88.477 101.0701
110.147909 88.543 92.3575
110.946086 88.382 83.8309
111.750047 88.066 75.7997
112.559834 87.640 67.7316
113.375489 87.055 58.8594
114.197055 86.176 49.0765
115.024574 84.849 39.4537
115.858089 82.987 32.3275
116.697645 80.652 30.6989
117.543284 78.126 37.0991
118.395051 76.024 53.3688
119.252990 75.215 74.5778
120.117147 75.693 88.0576
120.987565 76.628 94.6267
121.864291 77.673 99.5543
122.747370 78.838 103.4215
123.636848 80.086 105.0125
124.532771 81.299 103.6980
125.435187 82.312 99.0803
126.344142 82.945 91.5312
127.259684 83.074 82.5596
128.181860 82.675 74.1177
129.110718 81.803 67.5012
130.046308 80.512 63.5037
130.988677 79.013 66.3140
131.937875 78.375 86.8193
132.893951 79.766 112.7397
133.856956 82.056 118.8599
134.826938 84.001 113.4854
135.803950 85.289 104.0092
136.788041 85.983 94.1892
137.779264 86.269 85.7417
138.777669 86.327 78.9270
139.783309 86.305 73.5547
140.796237 86.282 68.5466
141.816504 86.183 62.5254
142.844165 85.864 56.1018
143.879273 85.322 51.2914
144.921881 84.725 49.0059
145.972045 84.245 48.0458
147.029819 83.888 46.5107
148.095257 83.518 44.0288
149.168417 83.082 42.2773
150.249353 82.720 42.1417
151.338121 82.567 41.6824
152.434780 82.532 38.6067
153.539385 82.368 32.0929
154.651995 81.814 22.5242
155.772667 80.681 10.6213
156.901460 78.868 -3.9851
158.038432 76.590 -26.0018
159.183644 75.319 -111.8489
160.337154 76.731 174.6306
161.499023 79.262 156.9515
162.669312 81.632 147.4567
163.848081 83.670 140.2809
165.035392 85.399 133.3184
166.231306 86.854 126.2043
167.435887 88.071 118.9480
168.649196 89.060 111.3663
169.871298 89.804 103.4097
171.102255 90.306 95.7502
172.342133 90.641 89.1815
173.590995 90.894 83.5902
174.848907 91.085 78.2601
176.115934 91.198 73.3179
177.392143 91.307 69.8396
178.677599 91.551 67.5305
179.972371 91.934 64.2604
181.276525 92.306 59.1901
182.590129 92.545 53.1298
183.913252 92.600 46.6093
185.245964 92.416 39.6740
186.588332 91.923 33.0247
187.940428 91.116 28.4546
189.302322 90.180 28.5724
