* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:40:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 35.329 45.7252
10.166832 35.620 42.1607
10.240505 35.971 38.4413
10.314712 36.332 34.8172
10.389457 36.685 31.4814
10.464743 36.996 28.5030
10.540575 37.238 25.4974
10.616956 37.434 22.5829
10.693891 37.593 19.9968
10.771383 37.717 17.9814
10.849437 37.792 16.4057
10.928057 37.825 15.1231
11.007246 37.848 14.2780
11.087009 37.894 14.0425
11.167350 37.967 14.5558
11.248273 38.054 15.7340
11.329783 38.191 17.3945
11.411883 38.426 19.3039
11.494578 38.797 21.3639
11.577873 39.292 23.7460
11.661771 39.879 25.9524
11.746277 40.524 27.5334
11.831395 41.220 28.3688
11.917130 41.982 28.8828
12.003487 42.770 28.9060
12.090469 43.536 28.2895
12.178081 44.258 27.0322
12.266329 44.951 25.4055
12.355216 45.606 23.4895
12.444747 46.208 21.3011
12.534926 46.752 18.7611
12.625760 47.241 15.9516
12.717251 47.674 13.0576
12.809406 48.049 10.1705
12.902228 48.365 7.0530
12.995723 48.621 3.8112
13.089895 48.819 0.6734
13.184750 48.959 -2.3130
13.280292 49.038 -5.4248
13.376526 49.059 -8.4623
13.473458 49.026 -11.1729
13.571093 48.933 -13.6946
13.669434 48.786 -16.0826
13.768489 48.599 -18.1364
13.868261 48.372 -19.6812
13.968756 48.106 -20.8090
14.069979 47.832 -21.5086
14.171936 47.582 -21.7074
14.274632 47.350 -21.2202
14.378072 47.163 -20.2433
14.482261 47.066 -19.1064
14.587206 47.075 -17.6811
14.692910 47.176 -16.1251
14.799381 47.351 -14.9319
14.906624 47.605 -14.2196
15.014643 47.923 -13.8574
15.123446 48.253 -13.9980
15.233036 48.570 -14.7384
15.343421 48.877 -15.9442
15.454606 49.150 -17.4214
15.566596 49.370 -19.1657
15.679398 49.543 -21.2262
15.793018 49.667 -23.2862
15.907460 49.739 -25.2532
16.022732 49.763 -27.2641
16.138840 49.756 -29.0540
16.255788 49.724 -30.4903
16.373585 49.675 -31.6821
16.492234 49.645 -32.5766
16.611744 49.644 -33.0523
16.732119 49.683 -33.2335
16.853367 49.788 -33.3727
16.975494 49.969 -33.3619
17.098505 50.210 -33.4032
17.222408 50.501 -33.7910
17.347209 50.840 -34.4030
17.472914 51.195 -35.2985
17.599530 51.541 -36.5737
17.727063 51.876 -38.1200
17.855521 52.177 -39.7482
17.984909 52.437 -41.5495
18.115235 52.656 -43.3436
18.246506 52.836 -44.8945
18.378727 52.976 -46.3239
18.511907 53.101 -47.4132
18.646052 53.217 -48.0707
18.781169 53.344 -48.3841
18.917265 53.512 -48.3412
19.054347 53.728 -47.9317
19.192423 54.003 -47.4547
19.331499 54.346 -46.9281
19.471583 54.741 -46.4893
19.612682 55.170 -46.3602
19.754804 55.623 -46.4494
19.897956 56.072 -46.8073
20.042144 56.508 -47.4307
20.187378 56.922 -48.1759
20.333664 57.306 -49.0117
20.481010 57.665 -49.8872
20.629424 58.006 -50.6864
20.778913 58.334 -51.4472
20.929486 58.661 -52.1631
21.081150 58.990 -52.8235
21.233912 59.323 -53.5526
21.387782 59.660 -54.3474
21.542767 59.990 -55.2576
21.698874 60.304 -56.3448
21.856113 60.590 -57.5075
22.014492 60.834 -58.7431
22.174018 61.035 -59.9458
22.334700 61.190 -60.9280
22.496546 61.311 -61.6854
22.659566 61.420 -61.9574
22.823766 61.540 -61.8139
22.989157 61.720 -61.2447
23.155745 61.975 -60.3559
23.323542 62.334 -59.5752
23.492554 62.786 -58.9583
23.662790 63.299 -59.0172
23.834261 63.845 -59.6308
24.006973 64.366 -60.9523
24.180938 64.841 -62.7802
24.356163 65.237 -64.8888
24.532658 65.553 -67.1303
24.710431 65.792 -69.0812
24.889493 65.984 -70.6854
25.069853 66.175 -71.5534
25.251519 66.427 -71.9046
25.434502 66.801 -71.6471
25.618811 67.328 -71.5645
25.804456 68.015 -71.7798
25.991445 68.797 -73.1430
26.179790 69.626 -75.4940
26.369500 70.414 -79.1144
26.560584 71.123 -83.6260
26.753053 71.703 -88.9703
26.946917 72.137 -94.6746
27.142185 72.408 -100.7619
27.338869 72.509 -106.5399
27.536977 72.441 -112.1188
27.736522 72.222 -116.6821
27.937512 71.896 -120.2039
28.139959 71.528 -121.9889
28.343872 71.264 -122.2045
28.549264 71.213 -120.8184
28.756143 71.486 -119.2264
28.964522 72.034 -118.3320
29.174411 72.754 -119.0144
29.385821 73.483 -121.4829
29.598763 74.131 -125.3720
29.813248 74.622 -130.3919
30.029287 74.931 -135.8707
30.246891 75.046 -141.7134
30.466073 74.973 -147.2174
30.686842 74.733 -152.1718
30.909212 74.357 -156.2546
31.133193 73.911 -159.0409
31.358797 73.477 -160.6008
31.586035 73.135 -160.8940
31.814921 72.960 -160.5904
32.045465 72.941 -160.5081
32.277680 73.037 -160.8893
32.511577 73.154 -162.1125
32.747169 73.225 -163.8780
32.984469 73.213 -165.9509
33.223488 73.107 -167.8694
33.464239 72.940 -169.2044
33.706735 72.764 -169.8004
33.950987 72.646 -169.5445
34.197010 72.656 -168.7628
34.444816 72.815 -167.9668
34.694417 73.106 -167.5858
34.945827 73.482 -167.9824
35.199059 73.877 -169.2677
35.454126 74.246 -171.3073
35.711041 74.556 -173.9431
35.969818 74.789 -176.9971
36.230470 74.933 179.7678
36.493011 74.987 176.5421
36.757455 74.956 173.4868
37.023814 74.851 170.7643
37.292104 74.689 168.5368
37.562338 74.499 166.8875
37.834530 74.306 165.8095
38.108695 74.132 165.2439
38.384846 73.990 165.0862
38.662999 73.882 165.2246
38.943167 73.801 165.6187
39.225365 73.747 166.3049
39.509608 73.727 167.3282
39.795911 73.755 168.7058
40.084289 73.844 170.4128
40.374756 74.008 172.4020
40.667328 74.259 174.6738
40.962020 74.622 177.2854
41.258848 75.143 -179.8089
41.557827 75.868 -176.9412
41.858972 76.804 -174.7373
42.162299 77.903 -173.8612
42.467824 79.076 -174.7049
42.775564 80.229 -177.2862
43.085533 81.291 178.6447
43.397749 82.223 173.4495
43.712227 83.011 167.4919
44.028983 83.656 161.0759
44.348036 84.168 154.4244
44.669400 84.559 147.6882
44.993093 84.840 140.9686
45.319131 85.019 134.3440
45.647532 85.099 127.8990
45.978313 85.088 121.7427
46.311491 84.995 116.0069
46.647083 84.841 110.8194
46.985107 84.658 106.2548
47.325581 84.479 102.2832
47.668521 84.332 98.7592
48.013947 84.226 95.4820
48.361876 84.154 92.3023
48.712326 84.103 89.1978
49.065315 84.072 86.2493
49.420863 84.080 83.5294
49.778987 84.157 80.9760
50.139706 84.324 78.3599
50.503039 84.578 75.3930
50.869005 84.897 71.8789
51.237623 85.261 67.7625
51.608912 85.662 63.0290
51.982891 86.105 57.5509
52.359580 86.578 51.0378
52.739000 87.041 43.1565
53.121168 87.423 33.7212
53.506106 87.641 22.7972
53.893833 87.623 10.6404
54.284370 87.313 -2.3447
54.677737 86.673 -15.6259
55.073955 85.688 -28.5829
55.473043 84.366 -40.5350
55.875024 82.757 -50.8373
56.279917 80.952 -59.0602
56.687745 79.082 -65.3964
57.098527 77.244 -70.8855
57.512287 75.419 -76.7620
57.929045 73.467 -83.5831
58.348822 71.213 -91.2620
58.771642 68.514 -99.8666
59.197525 65.375 -111.6597
59.626495 62.655 -146.1804
60.058573 62.822 105.0709
60.493782 65.401 78.8474
60.932145 67.955 65.5468
61.373685 69.923 54.5314
61.818424 71.377 44.5353
62.266386 72.450 35.3496
62.717593 73.247 26.7829
63.172071 73.832 18.7128
63.629842 74.254 11.1778
64.090930 74.564 4.3268
64.555359 74.844 -1.6868
65.023154 75.181 -7.0016
65.494339 75.633 -12.0789
65.968938 76.196 -17.4882
66.446976 76.830 -23.5071
66.928478 77.495 -30.1222
67.413469 78.173 -37.1955
67.901975 78.859 -44.6259
68.394021 79.549 -52.3934
68.889632 80.236 -60.4957
69.388835 80.908 -68.8977
69.891655 81.563 -77.5425
70.398118 82.201 -86.3969
70.908252 82.820 -95.5099
71.422083 83.407 -104.9738
71.939636 83.934 -114.8382
72.460941 84.368 -124.9954
72.986023 84.689 -135.2173
73.514909 84.902 -145.1593
74.047629 85.037 -154.5552
74.584208 85.146 -163.2959
75.124676 85.281 -171.5660
75.669061 85.468 -179.8042
76.217390 85.682 171.4139
76.769692 85.853 161.6875
77.325997 85.890 150.8873
77.886333 85.706 139.2354
78.450730 85.233 127.0734
79.019216 84.418 114.7499
79.591822 83.200 102.6255
80.168577 81.490 91.0479
80.749512 79.175 80.8727
81.334656 76.294 75.6719
81.924040 74.235 116.2932
82.517696 75.614 -164.1512
83.115653 78.665 -164.3557
83.717943 81.381 -171.8595
84.324598 83.512 178.1824
84.935649 85.092 166.8096
85.551128 86.170 154.9241
86.171066 86.825 143.5343
86.795497 87.182 133.5197
87.424453 87.399 125.2124
88.057967 87.610 118.1649
88.696071 87.863 111.5615
89.338800 88.142 104.8744
89.986185 88.426 98.0398
90.638262 88.725 91.0969
91.295065 89.060 83.7625
91.956626 89.407 75.3538
92.622982 89.660 65.2693
93.294166 89.674 53.5948
93.970214 89.335 41.2266
94.651161 88.613 29.5165
95.337042 87.585 19.6968
96.027894 86.405 12.2175
96.723752 85.227 6.5299
97.424652 84.128 1.7919
98.130631 83.122 -2.5040
98.841726 82.190 -6.7113
99.557974 81.293 -11.0941
100.279412 80.379 -15.6000
101.006078 79.421 -19.9504
101.738010 78.426 -23.8834
102.475245 77.430 -27.3267
103.217823 76.482 -30.5293
103.965782 75.612 -33.9706
104.719161 74.821 -38.1028
105.477999 74.093 -43.0302
106.242336 73.469 -48.3057
107.012212 73.114 -53.8184
107.787666 73.195 -60.7673
108.568740 73.712 -70.3783
109.355474 74.537 -82.6486
110.147909 75.521 -97.0011
110.946086 76.515 -112.5284
111.750047 77.440 -127.9407
112.559834 78.307 -142.2468
113.375489 79.157 -155.2223
114.197055 79.985 -167.3108
115.024574 80.724 -179.1245
115.858089 81.274 169.2697
116.697645 81.598 158.6364
117.543284 81.760 149.8260
118.395051 81.859 142.7861
119.252990 81.948 137.0592
120.117147 82.064 132.6823
120.987565 82.285 129.6680
121.864291 82.683 127.4193
122.747370 83.268 125.0814
123.636848 83.983 121.7981
124.532771 84.722 117.1431
125.435187 85.398 111.2776
126.344142 85.960 104.6198
127.259684 86.410 97.6931
128.181860 86.791 90.8354
129.110718 87.138 83.7501
130.046308 87.426 75.8575
130.988677 87.584 66.9889
131.937875 87.545 57.4309
132.893951 87.275 47.6770
133.856956 86.773 38.1522
134.826938 86.049 28.9902
135.803950 85.097 20.2081
136.788041 83.895 11.9174
137.779264 82.402 4.1807
138.777669 80.535 -2.8025
139.783309 78.183 -7.8612
140.796237 75.408 -5.4265
141.816504 73.381 36.1329
142.844165 74.123 83.4805
143.879273 76.205 87.6302
144.921881 77.989 84.0781
145.972045 79.307 79.7273
147.029819 80.301 75.4050
148.095257 81.033 70.3795
149.168417 81.453 64.2507
150.249353 81.513 58.1359
151.338121 81.313 54.2721
152.434780 81.169 54.3949
153.539385 81.400 56.4354
154.651995 81.879 55.0260
155.772667 82.176 49.7922
156.901460 82.083 44.1909
158.038432 81.683 40.8621
159.183644 81.245 41.4506
160.337154 81.117 45.0568
161.499023 81.407 47.8420
162.669312 81.972 48.8932
163.848081 82.676 48.3290
165.035392 83.348 45.0122
166.231306 83.797 39.3456
167.435887 83.923 32.7968
168.649196 83.725 26.8748
169.871298 83.323 23.3403
171.102255 82.974 23.0101
172.342133 82.884 23.6577
173.590995 82.986 22.6472
174.848907 83.099 20.3542
176.115934 83.147 17.7074
177.392143 83.148 15.5756
178.677599 83.217 14.5336
179.972371 83.421 13.2029
181.276525 83.700 10.6752
182.590129 83.967 6.9542
183.913252 84.167 2.3000
185.245964 84.311 -2.5931
