* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:41:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 36.324 -77.7012
10.166832 36.032 -85.4630
10.240505 35.674 -94.2638
10.314712 35.303 -103.8185
10.389457 34.930 -113.6551
10.464743 34.564 -123.4727
10.540575 34.202 -134.6188
10.616956 33.864 -147.1116
10.693891 33.597 -160.2213
10.771383 33.450 -173.0596
10.849437 33.435 173.3838
10.928057 33.535 158.5880
11.007246 33.739 143.8307
11.087009 34.045 130.2163
11.167350 34.466 117.3105
11.248273 35.005 104.0956
11.329783 35.614 91.6062
11.411883 36.239 80.4688
11.494578 36.856 70.3117
11.577873 37.486 60.0705
11.661771 38.114 50.3612
11.746277 38.712 41.6338
11.831395 39.265 33.6877
11.917130 39.782 25.6478
12.003487 40.260 17.9485
12.090469 40.691 11.0103
12.178081 41.069 4.7087
12.266329 41.396 -1.6295
12.355216 41.672 -7.6501
12.444747 41.897 -12.9430
12.534926 42.065 -17.6737
12.625760 42.179 -22.2405
12.717251 42.250 -26.3613
12.809406 42.286 -29.6793
12.902228 42.275 -32.3511
12.995723 42.239 -34.5121
13.089895 42.218 -36.0651
13.184750 42.235 -36.8218
13.280292 42.280 -36.7471
13.376526 42.387 -36.1764
13.473458 42.602 -35.4757
13.571093 42.942 -34.4235
13.669434 43.380 -33.2427
13.768489 43.883 -32.4939
13.868261 44.440 -32.3832
13.968756 45.054 -32.5785
14.069979 45.674 -33.2281
14.171936 46.254 -34.4713
14.274632 46.799 -36.2282
14.378072 47.299 -38.2650
14.482261 47.729 -40.4424
14.587206 48.085 -42.9662
14.692910 48.367 -45.6704
14.799381 48.567 -48.1949
14.906624 48.679 -50.6440
15.014643 48.707 -53.1260
15.123446 48.652 -55.1899
15.233036 48.511 -56.6735
15.343421 48.289 -57.7758
15.454606 48.030 -58.1252
15.566596 47.747 -57.3676
15.679398 47.456 -55.5334
15.793018 47.273 -52.7234
15.907460 47.281 -48.9357
16.022732 47.469 -44.3406
16.138840 47.849 -40.0635
16.255788 48.448 -36.5533
16.373585 49.212 -33.7963
16.492234 50.013 -32.3614
16.611744 50.811 -32.1298
16.732119 51.589 -32.7212
16.853367 52.293 -34.0330
16.975494 52.909 -36.0649
17.098505 53.439 -38.4572
17.222408 53.876 -40.9829
17.347209 54.217 -43.8473
17.472914 54.471 -46.6513
17.599530 54.640 -49.2594
17.727063 54.726 -51.8466
17.855521 54.750 -54.0081
17.984909 54.712 -55.7581
18.115235 54.637 -57.1085
18.246506 54.557 -57.8488
18.378727 54.479 -57.9834
18.511907 54.447 -57.7218
18.646052 54.487 -57.0067
18.781169 54.599 -56.0383
18.917265 54.790 -55.2419
19.054347 55.056 -54.5278
19.192423 55.354 -54.1544
19.331499 55.668 -54.2268
19.471583 55.972 -54.5667
19.612682 56.235 -55.1139
19.754804 56.455 -55.8527
19.897956 56.628 -56.3762
20.042144 56.755 -56.7444
20.187378 56.869 -56.7286
20.333664 56.992 -56.1361
20.481010 57.158 -55.1320
20.629424 57.423 -53.7743
20.778913 57.790 -52.1893
20.929486 58.269 -51.0050
21.081150 58.852 -50.1367
21.233912 59.479 -50.0760
21.387782 60.125 -50.7725
21.542767 60.740 -52.1088
21.698874 61.292 -54.1445
21.856113 61.765 -56.5153
22.014492 62.138 -59.1310
22.174018 62.414 -61.8171
22.334700 62.595 -64.2028
22.496546 62.695 -66.3411
22.659566 62.746 -67.7704
22.823766 62.777 -68.6036
22.989157 62.851 -68.6959
23.155745 62.996 -68.1566
23.323542 63.263 -67.4528
23.492554 63.649 -66.6769
23.662790 64.125 -66.5066
23.834261 64.658 -66.8438
24.006973 65.178 -67.9288
24.180938 65.661 -69.5389
24.356163 66.066 -71.4395
24.532658 66.391 -73.4650
24.710431 66.642 -75.1588
24.889493 66.852 -76.4727
25.069853 67.071 -77.0137
25.251519 67.363 -77.0556
25.434502 67.791 -76.5513
25.618811 68.374 -76.3409
25.804456 69.111 -76.5557
25.991445 69.927 -77.9940
26.179790 70.772 -80.4656
26.369500 71.563 -84.1794
26.560584 72.263 -88.7620
26.753053 72.831 -94.1230
26.946917 73.252 -99.8131
27.142185 73.510 -105.8420
27.338869 73.605 -111.5533
27.536977 73.540 -117.0491
27.736522 73.336 -121.5728
27.937512 73.036 -125.1207
28.139959 72.705 -127.0850
28.343872 72.471 -127.6740
28.549264 72.427 -126.8728
28.756143 72.666 -125.9082
28.964522 73.148 -125.5240
29.174411 73.789 -126.4961
29.385821 74.445 -129.0471
29.598763 75.036 -132.8867
29.813248 75.488 -137.7753
30.029287 75.776 -143.1046
30.246891 75.887 -148.7811
30.466073 75.824 -154.1562
30.686842 75.607 -159.0280
30.909212 75.261 -163.1053
31.133193 74.847 -165.9938
31.358797 74.432 -167.7358
31.586035 74.087 -168.2594
31.814921 73.878 -168.1378
32.045465 73.810 -167.8242
32.277680 73.858 -167.7307
32.511577 73.953 -168.1411
32.747169 74.049 -168.8466
32.984469 74.124 -169.6717
33.223488 74.183 -170.2764
33.464239 74.272 -170.4847
33.706735 74.434 -170.3808
33.950987 74.709 -170.1417
34.197010 75.102 -170.2601
34.444816 75.578 -171.0719
34.694417 76.091 -172.7048
34.945827 76.589 -175.1942
35.199059 77.032 -178.3690
35.454126 77.403 177.9989
35.711041 77.696 174.0832
35.969818 77.914 170.0529
36.230470 78.068 166.0739
36.493011 78.172 162.2149
36.757455 78.238 158.5139
37.023814 78.278 154.9925
37.292104 78.303 151.6540
37.562338 78.322 148.4838
37.834530 78.343 145.4591
38.108695 78.372 142.5505
38.384846 78.415 139.7190
38.662999 78.478 136.9125
38.943167 78.562 134.0643
39.225365 78.667 131.1147
39.509608 78.790 128.0135
39.795911 78.928 124.7193
40.084289 79.078 121.1963
40.374756 79.240 117.4086
40.667328 79.413 113.3055
40.962020 79.597 108.8126
41.258848 79.787 103.8363
41.557827 79.974 98.2765
41.858972 80.144 92.0433
42.162299 80.278 85.0721
42.467824 80.357 77.3343
42.775564 80.358 68.8411
43.085533 80.267 59.6409
43.397749 80.072 49.8112
43.712227 79.769 39.4475
44.028983 79.364 28.6362
44.348036 78.869 17.4423
44.669400 78.302 5.9097
44.993093 77.688 -5.9279
45.319131 77.051 -18.0240
45.647532 76.415 -30.2798
45.978313 75.803 -42.5070
46.311491 75.240 -54.4158
46.647083 74.758 -65.6533
46.985107 74.400 -75.9047
47.325581 74.211 -85.0244
47.668521 74.211 -93.1063
48.013947 74.379 -100.3947
48.361876 74.660 -107.0627
48.712326 74.996 -113.0378
49.065315 75.375 -118.0309
49.420863 75.845 -121.7850
49.778987 76.486 -124.4203
50.139706 77.347 -126.5759
50.503039 78.395 -129.0641
50.869005 79.553 -132.3567
51.237623 80.756 -136.4580
51.608912 81.991 -141.2157
51.982891 83.266 -146.6803
52.359580 84.572 -153.1956
52.739000 85.852 -161.1716
53.121168 87.021 -170.7908
53.506106 87.994 178.0959
53.893833 88.706 165.8519
54.284370 89.117 152.9573
54.677737 89.210 139.9712
55.073955 88.992 127.4856
55.473043 88.495 116.0837
55.875024 87.785 106.2506
56.279917 86.954 98.2361
56.687745 86.102 91.9277
57.098527 85.301 86.8270
57.512287 84.556 82.4097
57.929045 83.836 78.5249
58.348822 83.127 75.3849
58.771642 82.462 73.2128
59.197525 81.904 71.8557
59.626495 81.490 70.7830
60.058573 81.200 69.4768
60.493782 80.982 67.7249
60.932145 80.793 65.6057
61.373685 80.614 63.2461
61.818424 80.439 60.7141
62.266386 80.267 58.0262
62.717593 80.097 55.1700
63.172071 79.925 52.1041
63.629842 79.743 48.7935
64.090930 79.540 45.2845
64.555359 79.315 41.7333
65.023154 79.097 38.2596
65.494339 78.925 34.7362
65.968938 78.824 30.6989
66.446976 78.765 25.6335
66.928478 78.684 19.2704
67.413469 78.514 11.6718
67.901975 78.222 3.0426
68.394021 77.805 -6.4512
68.889632 77.283 -16.9227
69.388835 76.681 -28.6854
69.891655 76.017 -42.2581
70.398118 75.315 -58.1616
70.908252 74.617 -77.0001
71.422083 73.998 -99.1184
71.939636 73.526 -124.5542
72.460941 73.208 -152.3258
72.986023 72.952 178.7504
73.514909 72.606 149.6837
74.047629 72.054 120.2095
74.584208 71.316 88.7073
75.124676 70.708 52.3235
75.669061 70.869 9.5048
76.217390 72.199 -31.2755
76.769692 74.276 -62.3588
77.325997 76.501 -85.7749
77.886333 78.566 -104.9789
78.450730 80.381 -121.9031
79.019216 81.930 -137.5315
79.591822 83.214 -152.3713
80.168577 84.231 -166.6671
80.749512 84.980 179.5583
81.334656 85.480 166.4565
81.924040 85.761 154.1042
82.517696 85.840 142.3616
83.115653 85.694 131.0312
83.717943 85.257 120.2120
84.324598 84.459 110.7134
84.935649 83.293 104.2827
85.551128 81.963 103.7037
86.171066 81.052 110.9457
86.795497 81.209 121.4951
87.424453 82.290 127.7106
88.057967 83.694 128.6528
88.696071 85.104 126.3351
89.338800 86.441 121.8793
89.986185 87.675 115.6011
90.638262 88.779 107.6406
91.295065 89.722 98.0867
91.956626 90.459 86.9255
92.622982 90.918 74.2162
93.294166 91.020 60.3615
93.970214 90.706 46.1730
94.651161 89.966 32.6846
95.337042 88.845 20.8496
96.027894 87.425 11.2810
96.723752 85.790 4.2812
97.424652 84.022 0.2042
98.130631 82.241 -0.3936
98.841726 80.650 2.6781
99.557974 79.513 8.1819
100.279412 78.954 13.3011
101.006078 78.811 15.8422
101.738010 78.805 15.7885
102.475245 78.755 14.0934
103.217823 78.592 11.4730
103.965782 78.291 8.4382
104.719161 77.864 5.6223
105.477999 77.390 3.7722
106.242336 77.025 3.0568
107.012212 76.903 2.0364
107.787666 76.968 -1.4082
108.568740 77.017 -8.0312
109.355474 76.877 -17.3033
110.147909 76.473 -28.5394
110.946086 75.820 -41.3352
111.750047 75.020 -55.7723
112.559834 74.259 -72.6147
113.375489 73.766 -92.8633
114.197055 73.696 -116.4692
115.024574 74.009 -141.3105
115.858089 74.515 -164.3022
116.697645 75.053 176.5183
117.543284 75.557 161.5610
118.395051 76.004 150.1406
119.252990 76.378 141.5391
120.117147 76.712 135.6506
120.987565 77.126 132.4531
121.864291 77.748 131.0718
122.747370 78.596 129.8562
123.636848 79.567 127.4404
124.532771 80.528 123.5718
125.435187 81.389 118.4717
126.344142 82.084 112.4199
127.259684 82.588 106.0933
128.181860 82.929 100.1003
129.110718 83.146 94.5769
130.046308 83.281 89.7700
130.988677 83.404 85.8396
131.937875 83.565 82.2573
132.893951 83.749 78.3494
133.856956 83.881 73.6902
134.826938 83.859 68.3535
135.803950 83.627 63.4849
136.788041 83.262 60.4565
137.779264 82.918 59.3293
138.777669 82.703 59.1433
139.783309 82.623 58.9409
140.796237 82.624 58.4292
141.816504 82.687 58.1421
142.844165 82.828 57.8904
143.879273 83.004 56.8411
144.921881 83.142 55.3677
145.972045 83.287 54.8933
147.029819 83.595 55.7756
148.095257 84.120 55.9290
149.168417 84.730 53.9932
150.249353 85.336 51.0811
151.338121 85.973 47.8293
152.434780 86.647 43.2634
153.539385 87.245 36.3884
154.651995 87.617 27.3440
155.772667 87.663 17.0076
156.901460 87.343 6.3730
158.038432 86.663 -3.7527
159.183644 85.635 -13.0327
160.337154 84.234 -21.2078
161.499023 82.399 -26.9829
162.669312 80.169 -26.8562
163.848081 78.030 -13.9990
165.035392 77.221 11.4514
166.231306 78.064 25.6211
167.435887 79.269 26.4065
168.649196 80.129 22.8975
169.871298 80.692 20.0596
171.102255 81.224 18.4883
172.342133 81.763 14.9265
173.590995 82.125 8.7031
174.848907 82.259 2.0623
176.115934 82.197 -5.7124
177.392143 81.779 -15.9983
178.677599 80.808 -27.1062
179.972371 79.214 -37.4927
181.276525 76.990 -47.0459
182.590129 74.498 -54.3428
183.913252 73.838 62.1392
