* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:41:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 33.408 -1.0004
10.166832 33.202 -1.6099
10.240505 32.951 -1.2012
10.314712 32.696 0.0302
10.389457 32.472 1.7917
10.464743 32.413 3.8075
10.540575 32.626 6.6161
10.616956 33.010 9.6132
10.693891 33.502 12.0059
10.771383 34.068 13.1784
10.849437 34.731 13.4680
10.928057 35.484 13.2282
11.007246 36.262 12.3193
11.087009 36.995 10.6337
11.167350 37.658 8.1293
11.248273 38.279 5.0901
11.329783 38.853 1.7474
11.411883 39.372 -1.8035
11.494578 39.827 -5.6861
11.577873 40.220 -10.0810
11.661771 40.554 -14.6669
11.746277 40.829 -19.2074
11.831395 41.045 -23.7699
11.917130 41.200 -28.7974
12.003487 41.293 -33.9797
12.090469 41.321 -38.9817
12.178081 41.283 -43.8448
12.266329 41.180 -49.1004
12.355216 41.003 -54.4432
12.444747 40.744 -59.4474
12.534926 40.404 -64.2328
12.625760 39.979 -69.2363
12.717251 39.448 -74.1369
12.809406 38.789 -78.3948
12.902228 37.996 -82.1736
12.995723 37.072 -85.5841
13.089895 36.006 -88.1923
13.184750 34.722 -89.1052
13.280292 33.177 -87.5089
13.376526 31.722 -82.6997
13.473458 30.852 -74.3811
13.571093 30.775 -61.7067
13.669434 31.285 -48.0939
13.768489 32.136 -38.7972
13.868261 33.239 -34.7135
13.968756 34.597 -33.6933
14.069979 35.938 -34.7119
14.171936 37.023 -37.2722
14.274632 37.872 -41.3227
14.378072 38.547 -45.9758
14.482261 39.080 -50.6790
14.587206 39.469 -56.1034
14.692910 39.714 -62.0376
14.799381 39.828 -67.7076
14.906624 39.815 -73.4529
15.014643 39.666 -79.7428
15.123446 39.371 -85.7621
15.233036 38.928 -91.3492
15.343421 38.327 -97.2959
15.454606 37.522 -102.9127
15.566596 36.479 -107.5091
15.679398 35.196 -111.6116
15.793018 33.637 -114.5504
15.907460 31.625 -114.3671
16.022732 29.303 -108.5653
16.138840 27.658 -94.3024
16.255788 27.654 -71.6080
16.373585 28.854 -51.7933
16.492234 30.341 -43.2291
16.611744 31.838 -42.1727
16.732119 33.279 -44.3761
16.853367 34.375 -47.8412
16.975494 35.068 -53.2207
17.098505 35.444 -59.2191
17.222408 35.556 -64.8105
17.347209 35.399 -71.4908
17.472914 34.929 -77.9798
17.599530 34.123 -83.5977
17.727063 32.943 -89.6152
17.855521 31.207 -93.8705
17.984909 28.560 -94.5218
18.115235 26.082 -85.5323
18.246506 25.879 -39.1688
18.378727 27.928 5.3166
18.511907 30.440 13.0266
18.646052 32.774 10.9066
18.781169 34.882 6.5018
18.917265 36.489 1.1494
19.054347 37.634 -5.2744
19.192423 38.474 -11.2601
19.331499 39.062 -17.5248
19.471583 39.407 -23.6657
19.612682 39.536 -28.9474
19.754804 39.448 -34.1684
19.897956 39.153 -38.1071
20.042144 38.646 -40.9729
20.187378 37.999 -42.1872
20.333664 37.232 -40.6255
20.481010 36.560 -36.0300
20.629424 36.332 -28.2867
20.778913 36.596 -18.2837
20.929486 37.392 -9.8854
21.081150 38.642 -3.8858
21.233912 39.959 -1.1244
21.387782 41.205 -0.7727
21.542767 42.320 -1.9754
21.698874 43.254 -4.4513
21.856113 44.014 -7.5722
22.014492 44.601 -11.2220
22.174018 45.011 -15.1855
22.334700 45.242 -19.1958
22.496546 45.281 -23.3343
22.659566 45.108 -27.0592
22.823766 44.701 -30.5783
22.989157 44.010 -32.9017
23.155745 43.027 -33.9153
23.323542 41.733 -31.5555
23.492554 40.370 -23.6730
23.662790 39.778 -6.9745
23.834261 40.235 15.5454
24.006973 41.783 31.2351
24.180938 43.879 38.7967
24.356163 45.701 40.6731
24.532658 47.219 39.9627
24.710431 48.398 37.9716
24.889493 49.283 35.5910
25.069853 49.929 33.5077
25.251519 50.404 32.1132
25.434502 50.780 31.9017
25.618811 51.189 32.8137
25.804456 51.723 34.9394
25.991445 52.464 37.0772
26.179790 53.410 38.8997
26.369500 54.461 39.0944
26.560584 55.539 37.9466
26.753053 56.529 35.1541
26.946917 57.383 31.3771
27.142185 58.060 26.6148
27.338869 58.541 21.6312
27.536977 58.819 16.3488
27.736522 58.896 11.5894
27.937512 58.791 7.4345
28.139959 58.537 4.5648
28.343872 58.239 3.3424
28.549264 58.002 4.1379
28.756143 58.033 6.5279
28.964522 58.401 9.4357
29.174411 59.121 11.5980
29.385821 60.013 11.7107
29.598763 60.953 9.9650
29.813248 61.800 6.3896
30.029287 62.502 1.7191
30.246891 63.031 -3.8406
30.466073 63.379 -9.7225
30.686842 63.552 -15.6408
30.909212 63.558 -21.4789
31.133193 63.414 -26.7728
31.358797 63.140 -31.4654
31.586035 62.756 -35.3526
31.814921 62.294 -38.2255
32.045465 61.787 -40.0303
32.277680 61.266 -40.6124
32.511577 60.778 -39.9704
32.747169 60.373 -38.1281
32.984469 60.101 -35.1873
33.223488 60.015 -31.4750
33.464239 60.142 -27.5404
33.706735 60.466 -23.8953
33.950987 60.943 -20.9593
34.197010 61.502 -18.9445
34.444816 62.091 -17.7537
34.694417 62.677 -17.2269
34.945827 63.247 -17.1755
35.199059 63.805 -17.4596
35.454126 64.357 -18.0668
35.711041 64.905 -19.0189
35.969818 65.444 -20.3710
36.230470 65.958 -22.1804
36.493011 66.430 -24.4046
36.757455 66.846 -26.9609
37.023814 67.198 -29.7506
37.292104 67.486 -32.6471
37.562338 67.718 -35.5393
37.834530 67.902 -38.3791
38.108695 68.046 -41.1424
38.384846 68.155 -43.8187
38.662999 68.230 -46.3959
38.943167 68.271 -48.8243
39.225365 68.283 -51.0300
39.509608 68.278 -52.9446
39.795911 68.275 -54.5363
40.084289 68.297 -55.8407
40.374756 68.360 -56.9846
40.667328 68.470 -58.1728
40.962020 68.613 -59.6016
41.258848 68.765 -61.3835
41.557827 68.897 -63.5387
41.858972 68.987 -66.0126
42.162299 69.015 -68.7043
42.467824 68.971 -71.4910
42.775564 68.850 -74.2441
43.085533 68.651 -76.8347
43.397749 68.380 -79.1386
43.712227 68.046 -81.0484
44.028983 67.663 -82.4955
44.348036 67.244 -83.4593
44.669400 66.799 -83.9455
44.993093 66.330 -83.9290
45.319131 65.840 -83.2916
45.647532 65.347 -81.8156
45.978313 64.898 -79.3004
46.311491 64.567 -75.7973
46.647083 64.415 -71.7876
46.985107 64.443 -68.0094
47.325581 64.593 -64.9783
47.668521 64.784 -62.6997
48.013947 64.973 -60.8136
48.361876 65.164 -58.9431
48.712326 65.389 -56.9667
49.065315 65.672 -55.0503
49.420863 66.006 -53.4295
49.778987 66.365 -52.1625
50.139706 66.738 -51.1004
50.503039 67.140 -50.0774
50.869005 67.604 -49.1265
51.237623 68.147 -48.5391
51.608912 68.752 -48.7069
51.982891 69.375 -49.9084
52.359580 69.964 -52.2354
52.739000 70.469 -55.6560
53.121168 70.846 -60.0828
53.506106 71.051 -65.3720
53.893833 71.035 -71.2921
54.284370 70.755 -77.4590
54.677737 70.177 -83.2798
55.073955 69.297 -87.9413
55.473043 68.164 -90.4634
55.875024 66.904 -89.9683
56.279917 65.718 -86.2599
56.687745 64.799 -80.4713
57.098527 64.203 -74.3210
57.512287 63.858 -68.5607
57.929045 63.703 -63.0427
58.348822 63.731 -57.8578
58.771642 63.907 -53.7323
59.197525 64.119 -51.3136
59.626495 64.221 -50.4574
60.058573 64.107 -50.3507
60.493782 63.740 -49.8258
60.932145 63.166 -47.7081
61.373685 62.499 -43.1304
61.818424 61.909 -35.8131
62.266386 61.572 -26.0880
62.717593 61.642 -14.5874
63.172071 62.210 -2.5971
63.629842 63.207 7.7105
64.090930 64.406 14.9393
64.555359 65.591 19.5314
65.023154 66.685 22.8679
65.494339 67.733 25.9738
65.968938 68.811 29.0057
66.446976 69.942 31.4610
66.928478 71.087 32.8567
67.413469 72.192 33.1209
67.901975 73.217 32.4502
68.394021 74.139 31.0858
68.889632 74.947 29.2992
69.388835 75.648 27.4307
69.891655 76.268 25.7699
70.398118 76.851 24.4471
70.908252 77.431 23.3731
71.422083 78.027 22.3800
71.939636 78.649 21.3569
72.460941 79.305 20.1462
72.986023 79.984 18.4455
73.514909 80.641 15.9092
74.047629 81.210 12.5077
74.584208 81.639 8.5817
75.124676 81.919 4.6805
75.669061 82.074 1.1731
76.217390 82.138 -1.8251
76.769692 82.123 -4.2686
77.325997 82.049 -5.8782
77.886333 81.983 -6.2211
78.450730 82.030 -5.3673
79.019216 82.253 -4.1899
79.591822 82.609 -3.7179
80.168577 83.000 -4.1424
80.749512 83.373 -5.0360
81.334656 83.732 -5.9971
81.924040 84.099 -7.0328
82.517696 84.474 -8.3871
83.115653 84.830 -10.2274
83.717943 85.131 -12.4589
84.324598 85.366 -14.7405
84.935649 85.559 -16.7328
85.551128 85.753 -18.3853
86.171066 85.976 -19.9758
86.795497 86.219 -21.7694
87.424453 86.473 -23.7285
88.057967 86.750 -25.7558
88.696071 87.066 -28.1018
89.338800 87.394 -31.2620
89.986185 87.667 -35.4755
90.638262 87.815 -40.5067
91.295065 87.807 -45.8658
91.956626 87.648 -51.0911
92.622982 87.370 -55.8822
93.294166 87.013 -60.1499
93.970214 86.614 -64.0217
94.651161 86.188 -67.7192
95.337042 85.729 -71.3787
96.027894 85.232 -75.0594
96.723752 84.688 -78.8861
97.424652 84.076 -83.0355
98.130631 83.361 -87.6132
98.841726 82.501 -92.6493
99.557974 81.446 -98.1188
100.279412 80.142 -103.9064
101.006078 78.537 -109.9187
101.738010 76.568 -116.2723
102.475245 74.147 -123.3657
103.217823 71.195 -132.6925
103.965782 67.889 -152.5271
104.719161 65.579 130.8972
105.477999 66.156 81.3151
106.242336 68.324 72.6171
107.012212 70.827 75.5610
107.787666 73.401 80.7781
108.568740 75.801 82.5190
109.355474 77.867 80.9877
110.147909 79.583 77.9303
110.946086 80.998 74.4187
111.750047 82.178 71.0081
112.559834 83.193 68.0052
113.375489 84.103 65.3939
114.197055 84.948 62.9935
115.024574 85.752 60.7401
115.858089 86.531 58.3933
116.697645 87.268 55.5898
117.543284 87.932 52.3616
118.395051 88.513 48.8744
119.252990 88.998 45.1114
120.117147 89.376 41.2622
120.987565 89.662 37.6811
121.864291 89.886 34.4590
122.747370 90.078 31.5430
123.636848 90.262 28.8842
124.532771 90.463 26.3341
125.435187 90.691 23.6148
126.344142 90.929 20.2015
127.259684 91.105 15.6486
128.181860 91.139 10.0562
129.110718 90.973 3.8164
130.046308 90.572 -2.8113
130.988677 89.892 -9.6899
131.937875 88.868 -16.5788
132.893951 87.410 -22.8898
133.856956 85.417 -27.0842
134.826938 82.869 -24.9645
135.803950 80.191 -5.9706
136.788041 78.867 33.3851
137.779264 79.845 59.7610
138.777669 81.913 72.9921
139.783309 84.188 81.0255
140.796237 86.354 84.0157
141.816504 88.146 81.2172
142.844165 89.385 74.6617
143.879273 90.059 67.4008
144.921881 90.302 61.7638
145.972045 90.341 58.9740
147.029819 90.425 58.7391
148.095257 90.698 59.3998
149.168417 91.123 59.1348
150.249353 91.562 57.3205
151.338121 91.881 54.0941
152.434780 91.976 49.8907
153.539385 91.812 45.9865
154.651995 91.436 43.1025
155.772667 90.876 41.0277
156.901460 90.137 40.4781
158.038432 89.314 42.9723
159.183644 88.611 48.5518
160.337154 88.248 56.5901
161.499023 88.416 66.3989
162.669312 89.115 74.8708
163.848081 90.099 79.9775
165.035392 91.103 81.9049
166.231306 91.973 81.6848
167.435887 92.668 80.4801
168.649196 93.227 79.2791
169.871298 93.763 78.8718
171.102255 94.378 78.6903
172.342133 95.053 77.2503
173.590995 95.680 74.1009
174.848907 96.154 69.4342
176.115934 96.379 63.5017
177.392143 96.293 57.3626
178.677599 95.933 52.4839
179.972371 95.415 49.5167
181.276525 94.876 48.3044
