* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:42:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 40.713 -9.5429
10.166832 40.452 -10.4351
10.240505 40.131 -11.2794
10.314712 39.797 -11.9569
10.389457 39.445 -12.3118
10.464743 39.015 -12.1723
10.540575 38.447 -11.5629
10.616956 37.804 -10.3623
10.693891 37.154 -8.3594
10.771383 36.548 -5.3075
10.849437 35.951 -0.8583
10.928057 35.371 5.2089
11.007246 34.924 12.7344
11.087009 34.757 21.0518
11.167350 34.975 29.4200
11.248273 35.532 37.4030
11.329783 36.287 44.0436
11.411883 37.096 48.8843
11.494578 37.900 52.0198
11.577873 38.754 54.0099
11.661771 39.616 55.0111
11.746277 40.417 55.1551
11.831395 41.115 54.5439
11.917130 41.733 53.3413
12.003487 42.282 51.7225
12.090469 42.764 49.7959
12.178081 43.178 47.5291
12.266329 43.523 44.8529
12.355216 43.802 41.9461
12.444747 44.019 38.9394
12.534926 44.176 35.6810
12.625760 44.269 32.0615
12.717251 44.297 28.2872
12.809406 44.263 24.5097
12.902228 44.164 20.3834
12.995723 43.998 15.9183
13.089895 43.760 11.3543
13.184750 43.448 6.7426
13.280292 43.062 1.6137
13.376526 42.591 -3.8664
13.473458 42.024 -9.3836
13.571093 41.364 -15.3394
13.669434 40.600 -22.0298
13.768489 39.711 -29.1857
13.868261 38.670 -36.7072
13.968756 37.478 -45.6311
14.069979 36.185 -56.1636
14.171936 34.813 -68.0621
14.274632 33.282 -83.4817
14.378072 31.861 -104.6493
14.482261 31.014 -130.5242
14.587206 30.975 -160.4105
14.692910 31.507 170.7935
14.799381 32.298 149.1845
14.906624 33.255 131.4408
15.014643 34.356 115.4084
15.123446 35.414 101.7751
15.233036 36.319 88.8782
15.343421 37.130 75.6654
15.454606 37.893 63.3320
15.566596 38.628 51.2467
15.679398 39.331 38.7270
15.793018 40.014 26.9663
15.907460 40.688 15.5624
16.022732 41.346 4.0054
16.138840 41.972 -6.6973
16.255788 42.563 -17.0283
16.373585 43.113 -27.3527
16.492234 43.607 -36.8458
16.611744 44.037 -46.1824
16.732119 44.399 -55.4727
16.853367 44.684 -64.0479
16.975494 44.887 -72.7463
17.098505 45.003 -81.3840
17.222408 45.026 -89.4919
17.347209 44.953 -97.9683
17.472914 44.778 -106.3654
17.599530 44.494 -114.5725
17.727063 44.099 -123.3612
17.855521 43.585 -132.1066
17.984909 42.945 -141.3682
18.115235 42.188 -151.5251
18.246506 41.316 -162.1790
18.378727 40.340 -174.6083
18.511907 39.381 171.1829
18.646052 38.493 154.7162
18.781169 37.799 135.2521
18.917265 37.531 115.0151
19.054347 37.696 94.7429
19.192423 38.130 77.2117
19.331499 38.770 62.4972
19.471583 39.485 50.1653
19.612682 40.109 40.2085
19.754804 40.640 31.4033
19.897956 41.039 24.0597
20.042144 41.295 17.4201
20.187378 41.401 11.6461
20.333664 41.349 6.6342
20.481010 41.131 2.2321
20.629424 40.729 -1.0709
20.778913 40.143 -3.4587
20.929486 39.373 -4.0936
21.081150 38.437 -2.4338
21.233912 37.581 2.2940
21.387782 36.932 11.3248
21.542767 36.822 22.8499
21.698874 37.501 34.0555
21.856113 38.609 42.0023
22.014492 39.818 45.7916
22.174018 40.989 46.9233
22.334700 41.918 46.0217
22.496546 42.608 43.9684
22.659566 43.041 41.6340
22.823766 43.225 39.0359
22.989157 43.175 37.3852
23.155745 42.925 36.5438
23.323542 42.568 37.8492
23.492554 42.219 41.4717
23.662790 42.176 47.5853
23.834261 42.528 55.3806
24.006973 43.354 62.1856
24.180938 44.518 67.1762
24.356163 45.742 69.4315
24.532658 46.946 69.8818
24.710431 48.023 69.0063
24.889493 48.987 67.4388
25.069853 49.857 65.6594
25.251519 50.679 63.7773
25.434502 51.494 62.0472
25.618811 52.340 60.1025
25.804456 53.234 58.0406
25.991445 54.158 55.2582
26.179790 55.094 51.9166
26.369500 55.986 47.6339
26.560584 56.805 42.7078
26.753053 57.506 37.0391
26.946917 58.063 31.0742
27.142185 58.452 24.6942
27.338869 58.655 18.6287
27.536977 58.663 12.7094
27.736522 58.478 7.8892
27.937512 58.136 4.2720
28.139959 57.696 2.8362
28.343872 57.359 3.7540
28.549264 57.296 7.2258
28.756143 57.725 11.3364
28.964522 58.565 14.3250
29.174411 59.646 14.8658
29.385821 60.713 12.7487
29.598763 61.648 8.7220
29.813248 62.362 3.2274
30.029287 62.835 -2.8186
30.246891 63.059 -9.3257
30.466073 63.036 -15.4175
30.686842 62.790 -20.7910
30.909212 62.352 -25.0052
31.133193 61.815 -27.2971
31.358797 61.317 -27.6555
31.586035 61.010 -25.9758
31.814921 61.041 -23.7233
32.045465 61.365 -22.1953
32.277680 61.870 -22.2502
32.511577 62.363 -24.2203
32.747169 62.739 -27.4410
32.984469 62.938 -31.5058
33.223488 62.940 -35.7908
33.464239 62.764 -39.6412
33.706735 62.451 -42.7879
33.950987 62.060 -44.8348
34.197010 61.679 -45.7068
34.444816 61.378 -45.7118
34.694417 61.193 -45.1730
34.945827 61.119 -44.7154
35.199059 61.107 -44.5728
35.454126 61.113 -44.6939
35.711041 61.115 -44.9666
35.969818 61.112 -45.2002
36.230470 61.126 -45.3174
36.493011 61.174 -45.4587
36.757455 61.252 -45.8000
37.023814 61.337 -46.5104
37.292104 61.390 -47.6663
37.562338 61.369 -49.1099
37.834530 61.253 -50.5795
38.108695 61.039 -51.7877
38.384846 60.743 -52.4348
38.662999 60.400 -52.2738
38.943167 60.062 -51.2422
39.225365 59.773 -49.4709
39.509608 59.558 -47.2104
39.795911 59.420 -44.7516
40.084289 59.337 -42.3079
40.374756 59.278 -39.9178
40.667328 59.218 -37.3961
40.962020 59.158 -34.3697
41.258848 59.147 -30.4446
41.557827 59.278 -25.4692
41.858972 59.647 -19.8488
42.162299 60.290 -14.5665
42.467824 61.145 -10.6550
42.775564 62.089 -8.5930
43.085533 63.003 -8.2238
43.397749 63.823 -9.0584
43.712227 64.533 -10.5780
44.028983 65.150 -12.4205
44.348036 65.701 -14.4427
44.669400 66.204 -16.6823
44.993093 66.656 -19.2512
45.319131 67.036 -22.2090
45.647532 67.319 -25.4858
45.978313 67.484 -28.8821
46.311491 67.530 -32.1298
46.647083 67.475 -34.9814
46.985107 67.349 -37.2971
47.325581 67.185 -39.0920
47.668521 67.001 -40.4993
48.013947 66.795 -41.6550
48.361876 66.554 -42.5834
48.712326 66.268 -43.1760
49.065315 65.943 -43.2785
49.420863 65.599 -42.8159
49.778987 65.255 -41.8446
50.139706 64.911 -40.4666
50.503039 64.556 -38.6729
50.869005 64.179 -36.2721
51.237623 63.795 -32.9604
51.608912 63.449 -28.4267
51.982891 63.220 -22.3198
52.359580 63.257 -14.2218
52.739000 63.775 -4.3234
53.121168 64.890 5.2747
53.506106 66.429 11.4313
53.893833 68.053 12.8687
54.284370 69.484 10.3481
54.677737 70.582 5.2804
55.073955 71.302 -0.9940
55.473043 71.663 -7.3477
55.875024 71.727 -12.8790
56.279917 71.593 -16.9974
56.687745 71.383 -19.5295
57.098527 71.197 -20.8762
57.512287 71.069 -21.7473
57.929045 70.964 -22.6107
58.348822 70.836 -23.4717
58.771642 70.666 -24.0861
59.197525 70.467 -24.3096
59.626495 70.248 -24.2252
60.058573 69.994 -23.9351
60.493782 69.680 -23.2668
60.932145 69.310 -21.6982
61.373685 68.948 -18.6708
61.818424 68.713 -14.0882
62.266386 68.708 -8.7139
62.717593 68.933 -3.7028
63.172071 69.300 0.2356
63.629842 69.710 3.1765
64.090930 70.112 5.5753
64.555359 70.511 7.8270
65.023154 70.927 10.0103
65.494339 71.369 11.9658
65.968938 71.822 13.5500
66.446976 72.268 14.8123
66.928478 72.703 15.8962
67.413469 73.133 16.8331
67.901975 73.554 17.4993
68.394021 73.943 17.7880
68.889632 74.268 17.7845
69.388835 74.512 17.7375
69.891655 74.673 17.8912
70.398118 74.757 18.4813
70.908252 74.779 19.8066
71.422083 74.789 22.3343
71.939636 74.884 26.4270
72.460941 75.192 31.9313
72.986023 75.795 37.9820
73.514909 76.679 43.4365
74.047629 77.759 47.5340
74.584208 78.938 50.0993
75.124676 80.158 51.3987
75.669061 81.408 51.7545
76.217390 82.693 51.1259
76.769692 83.978 49.0770
77.325997 85.185 45.2731
77.886333 86.223 39.8489
78.450730 87.039 33.3981
79.019216 87.625 26.5748
79.591822 88.009 19.9040
80.168577 88.226 13.6644
80.749512 88.314 8.0673
81.334656 88.324 3.3677
81.924040 88.337 -0.3624
82.517696 88.426 -3.6207
83.115653 88.585 -7.3912
83.717943 88.708 -12.3960
84.324598 88.655 -18.4240
84.935649 88.340 -24.5198
85.551128 87.772 -29.4723
86.171066 87.053 -32.3074
86.795497 86.345 -32.9153
87.424453 85.775 -32.2864
88.057967 85.345 -31.5337
88.696071 84.984 -30.8124
89.338800 84.662 -29.5024
89.986185 84.443 -27.0582
90.638262 84.443 -23.5907
91.295065 84.748 -20.0258
91.956626 85.327 -17.8693
92.622982 86.015 -18.2998
93.294166 86.613 -21.2939
93.970214 86.995 -25.8116
94.651161 87.154 -30.6005
95.337042 87.166 -34.9316
96.027894 87.120 -38.9611
96.723752 87.042 -43.3675
97.424652 86.887 -48.5515
98.130631 86.600 -54.3557
98.841726 86.157 -60.4366
99.557974 85.561 -66.6161
100.279412 84.816 -72.8323
101.006078 83.932 -78.9434
101.738010 82.951 -84.8889
102.475245 81.935 -91.2305
103.217823 80.905 -99.1617
103.965782 79.818 -109.5866
104.719161 78.667 -122.7023
105.477999 77.635 -138.6130
106.242336 77.123 -157.3893
107.012212 77.456 -177.7322
107.787666 78.502 162.9048
108.568740 79.828 145.9771
109.355474 81.090 131.7057
110.147909 82.163 120.1359
110.946086 83.068 111.1704
111.750047 83.860 104.2681
112.559834 84.571 98.7562
113.375489 85.222 94.2720
114.197055 85.839 90.5659
115.024574 86.431 87.1583
115.858089 86.964 83.5931
116.697645 87.395 79.8789
117.543284 87.705 76.2906
118.395051 87.882 72.9061
119.252990 87.902 69.8232
120.117147 87.759 67.7367
120.987565 87.526 67.5852
121.864291 87.343 69.6663
122.747370 87.377 73.8079
123.636848 87.771 79.2002
124.532771 88.537 83.9420
125.435187 89.511 86.3289
126.344142 90.476 85.9902
127.259684 91.309 84.1184
128.181860 92.025 81.9420
129.110718 92.659 79.3584
130.046308 93.186 76.0100
130.988677 93.566 72.1178
131.937875 93.780 68.1182
132.893951 93.835 64.4108
133.856956 93.740 61.0947
134.826938 93.495 58.5210
135.803950 93.152 57.6143
136.788041 92.843 58.7902
137.779264 92.705 61.4846
138.777669 92.808 64.6160
139.783309 93.142 67.4373
140.796237 93.674 69.6416
141.816504 94.326 70.2927
142.844165 94.962 68.9380
143.879273 95.491 66.3027
144.921881 95.880 62.8912
145.972045 96.106 58.8712
147.029819 96.152 54.6298
148.095257 96.023 50.6545
149.168417 95.753 47.3456
150.249353 95.376 44.5870
151.338121 94.886 42.2208
152.434780 94.264 40.5160
153.539385 93.496 39.8596
154.651995 92.631 41.7493
155.772667 91.909 47.8945
156.901460 91.656 56.4987
158.038432 91.912 63.4680
159.183644 92.429 67.4609
160.337154 92.986 69.3311
161.499023 93.510 70.2725
162.669312 94.010 70.6528
163.848081 94.448 69.6506
165.035392 94.723 67.2513
166.231306 94.776 64.5024
167.435887 94.620 62.3534
168.649196 94.344 61.7930
169.871298 94.131 63.6014
171.102255 94.164 66.4841
172.342133 94.392 67.3879
173.590995 94.567 65.6127
174.848907 94.514 62.8816
176.115934 94.201 60.5430
177.392143 93.673 59.6742
178.677599 93.098 61.9885
179.972371 92.764 67.3578
181.276525 92.805 72.2939
182.590129 93.066 74.8499
183.913252 93.357 75.8445
185.245964 93.609 76.1782
186.588332 93.827 76.1987
187.940428 94.049 76.1597
