* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:42:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 82.186 1.7741
10.166832 82.289 0.4785
10.240505 82.414 -0.7838
10.314712 82.543 -2.0145
10.389457 82.674 -3.2136
10.464743 82.808 -4.3781
10.540575 82.947 -5.4993
10.616956 83.090 -6.5892
10.693891 83.237 -7.6623
10.771383 83.389 -8.7316
10.849437 83.547 -9.7821
10.928057 83.709 -10.8109
11.007246 83.876 -11.8388
11.087009 84.047 -12.8862
11.167350 84.222 -13.9558
11.248273 84.401 -15.0281
11.329783 84.584 -16.1151
11.411883 84.767 -17.2307
11.494578 84.951 -18.3850
11.577873 85.135 -19.5677
11.661771 85.319 -20.7726
11.746277 85.500 -21.9966
11.831395 85.676 -23.2448
11.917130 85.849 -24.5270
12.003487 86.017 -25.8222
12.090469 86.179 -27.1096
12.178081 86.335 -28.3892
12.266329 86.485 -29.6827
12.355216 86.629 -30.9631
12.444747 86.768 -32.2017
12.534926 86.901 -33.4014
12.625760 87.030 -34.5786
12.717251 87.156 -35.7152
12.809406 87.283 -36.7915
12.902228 87.409 -37.8083
12.995723 87.536 -38.7786
13.089895 87.668 -39.7105
13.184750 87.807 -40.5988
13.280292 87.953 -41.4304
13.376526 88.107 -42.2422
13.473458 88.272 -43.0709
13.571093 88.448 -43.8872
13.669434 88.634 -44.7033
13.768489 88.829 -45.5715
13.868261 89.032 -46.5118
13.968756 89.244 -47.4886
14.069979 89.459 -48.5334
14.171936 89.676 -49.6782
14.274632 89.893 -50.9071
14.378072 90.108 -52.2089
14.482261 90.317 -53.5850
14.587206 90.517 -55.0533
14.692910 90.709 -56.5906
14.799381 90.889 -58.1610
14.906624 91.055 -59.7792
15.014643 91.208 -61.4484
15.123446 91.347 -63.1118
15.233036 91.471 -64.7616
15.343421 91.581 -66.4261
15.454606 91.679 -68.0522
15.566596 91.764 -69.6191
15.679398 91.838 -71.1577
15.793018 91.904 -72.6375
15.907460 91.963 -74.0410
16.022732 92.015 -75.3874
16.138840 92.065 -76.6741
16.255788 92.113 -77.8947
16.373585 92.160 -79.0565
16.492234 92.207 -80.1747
16.611744 92.255 -81.2498
16.732119 92.303 -82.2829
16.853367 92.350 -83.2853
16.975494 92.397 -84.2607
17.098505 92.443 -85.2010
17.222408 92.486 -86.1009
17.347209 92.528 -86.9669
17.472914 92.567 -87.7793
17.599530 92.606 -88.5251
17.727063 92.645 -89.2103
17.855521 92.688 -89.8240
17.984909 92.736 -90.3532
18.115235 92.793 -90.8196
18.246506 92.862 -91.2395
18.378727 92.946 -91.5997
18.511907 93.045 -91.9689
18.646052 93.162 -92.3491
18.781169 93.293 -92.7611
18.917265 93.436 -93.2715
19.054347 93.590 -93.8587
19.192423 93.747 -94.5515
19.331499 93.904 -95.3671
19.471583 94.055 -96.2760
19.612682 94.196 -97.2686
19.754804 94.325 -98.3453
19.897956 94.439 -99.4355
20.042144 94.537 -100.5576
20.187378 94.621 -101.6552
20.333664 94.692 -102.7024
20.481010 94.753 -103.7022
20.629424 94.808 -104.6164
20.778913 94.860 -105.4583
20.929486 94.915 -106.2365
21.081150 94.973 -106.9455
21.233912 95.036 -107.6257
21.387782 95.106 -108.2776
21.542767 95.180 -108.9226
21.698874 95.257 -109.5770
21.856113 95.335 -110.2314
22.014492 95.412 -110.8908
22.174018 95.487 -111.5425
22.334700 95.559 -112.1659
22.496546 95.630 -112.7611
22.659566 95.703 -113.3061
22.823766 95.779 -113.8070
22.989157 95.861 -114.2689
23.155745 95.952 -114.6953
23.323542 96.051 -115.1143
23.492554 96.158 -115.5237
23.662790 96.273 -115.9420
23.834261 96.394 -116.3630
24.006973 96.521 -116.7733
24.180938 96.655 -117.1697
24.356163 96.800 -117.5266
24.532658 96.962 -117.8612
24.710431 97.148 -118.1843
24.889493 97.363 -118.5573
25.069853 97.612 -119.0456
25.251519 97.892 -119.7529
25.434502 98.196 -120.7494
25.618811 98.508 -122.1185
25.804456 98.816 -123.8897
25.991445 99.097 -126.0400
26.179790 99.337 -128.5629
26.369500 99.520 -131.3156
26.560584 99.637 -134.2570
26.753053 99.683 -137.2025
26.946917 99.661 -140.0435
27.142185 99.578 -142.6541
27.338869 99.456 -144.8932
27.536977 99.314 -146.7139
27.736522 99.189 -148.1146
27.937512 99.102 -149.2114
28.139959 99.078 -150.1543
28.343872 99.114 -151.2684
28.549264 99.198 -152.6714
28.756143 99.293 -154.6171
28.964522 99.367 -157.0373
29.174411 99.385 -159.9806
29.385821 99.318 -163.1640
29.598763 99.151 -166.5240
29.813248 98.876 -169.7364
30.029287 98.503 -172.5853
30.246891 98.049 -174.8911
30.466073 97.552 -176.4153
30.686842 97.060 -177.2113
30.909212 96.612 -177.2671
31.133193 96.245 -177.0091
31.358797 95.953 -176.6863
31.586035 95.714 -176.5726
31.814921 95.475 -176.7637
32.045465 95.201 -177.0423
32.277680 94.873 -177.2047
32.511577 94.503 -176.7755
32.747169 94.152 -175.5653
32.984469 93.888 -173.5454
33.223488 93.789 -171.0532
33.464239 93.874 -168.9268
33.706735 94.095 -167.6922
33.950987 94.373 -167.7141
34.197010 94.606 -168.9490
34.444816 94.736 -170.9881
34.694417 94.733 -173.4918
34.945827 94.588 -176.0399
35.199059 94.329 -178.1623
35.454126 93.999 -179.6688
35.711041 93.652 179.5441
35.969818 93.345 179.4077
36.230470 93.117 179.5216
36.493011 92.964 179.5037
36.757455 92.858 179.1025
37.023814 92.754 178.2018
37.292104 92.612 176.8887
37.562338 92.409 175.4098
37.834530 92.145 173.9765
38.108695 91.834 172.7524
38.384846 91.499 171.8358
38.662999 91.165 171.2175
38.943167 90.851 170.7765
39.225365 90.562 170.3804
39.509608 90.293 169.9296
39.795911 90.037 169.3697
40.084289 89.787 168.6906
40.374756 89.541 167.9023
40.667328 89.304 166.9913
40.962020 89.081 165.8854
41.258848 88.872 164.4637
41.557827 88.669 162.5864
41.858972 88.453 160.1306
42.162299 88.200 157.0199
42.467824 87.881 153.2377
42.775564 87.470 148.8247
43.085533 86.944 143.8639
43.397749 86.288 138.4583
43.712227 85.491 132.7072
44.028983 84.551 126.6762
44.348036 83.467 120.3826
44.669400 82.242 113.7859
44.993093 80.883 106.7862
45.319131 79.396 99.2269
45.647532 77.798 90.9109
45.978313 76.126 81.6326
46.311491 74.455 71.2643
46.647083 72.919 59.9410
46.985107 71.707 48.2944
47.325581 71.004 37.4055
47.668521 70.864 28.2352
48.013947 71.166 21.0962
48.361876 71.706 15.8170
48.712326 72.316 12.2535
49.065315 72.926 10.5500
49.420863 73.578 10.9927
49.778987 74.390 13.5222
50.139706 75.460 17.2315
50.503039 76.771 20.6313
50.869005 78.206 22.6689
51.237623 79.653 23.2357
51.608912 81.062 22.7391
51.982891 82.446 21.4802
52.359580 83.818 19.3497
52.739000 85.156 15.9481
53.121168 86.395 10.9510
53.506106 87.449 4.3685
53.893833 88.249 -3.4779
54.284370 88.746 -12.0840
54.677737 88.921 -20.8379
55.073955 88.781 -29.0880
55.473043 88.368 -36.2106
55.875024 87.753 -41.7272
56.279917 87.031 -45.4519
56.687745 86.294 -47.6040
57.098527 85.591 -48.7003
57.512287 84.917 -49.1208
57.929045 84.254 -48.8318
58.348822 83.617 -47.5710
58.771642 83.061 -45.2767
59.197525 82.644 -42.3549
59.626495 82.374 -39.4207
60.058573 82.215 -36.8580
60.493782 82.124 -34.7246
60.932145 82.073 -32.9589
61.373685 82.047 -31.5519
61.818424 82.027 -30.5092
62.266386 81.998 -29.7789
62.717593 81.954 -29.2834
63.172071 81.891 -28.9826
63.629842 81.805 -28.8619
64.090930 81.691 -28.8463
64.555359 81.554 -28.7509
65.023154 81.430 -28.4208
65.494339 81.368 -27.9727
65.968938 81.398 -27.9243
66.446976 81.499 -28.8887
66.928478 81.605 -31.2157
67.413469 81.649 -34.8678
67.901975 81.592 -39.6476
68.394021 81.424 -45.4391
68.889632 81.138 -52.3234
69.388835 80.720 -60.4062
69.891655 80.155 -69.7639
70.398118 79.455 -80.3935
70.908252 78.672 -92.5574
71.422083 77.895 -106.8944
71.939636 77.199 -124.3185
72.460941 76.603 -145.3483
72.986023 76.057 -169.6422
73.514909 75.471 164.2750
74.047629 74.745 138.0388
74.584208 73.814 112.6770
75.124676 72.706 88.0869
75.669061 71.639 62.3896
76.217390 71.134 32.3347
76.769692 71.773 -2.9982
77.325997 73.496 -36.9148
77.886333 75.675 -63.7983
78.450730 77.848 -84.6198
79.019216 79.821 -101.7379
79.591822 81.533 -116.7703
80.168577 82.962 -130.6278
80.749512 84.107 -143.7124
81.334656 84.992 -156.1233
81.924040 85.652 -168.0012
82.517696 86.108 -179.7271
83.115653 86.334 168.2080
83.717943 86.264 155.4684
84.324598 85.804 142.0908
84.935649 84.863 128.3843
85.551128 83.352 114.8105
86.171066 81.185 101.8638
86.795497 78.300 89.6194
87.424453 74.928 74.3140
88.057967 73.102 -27.6632
88.696071 75.200 -83.6337
89.338800 78.498 -94.7164
89.986185 81.350 -104.1830
90.638262 83.619 -114.5563
91.295065 85.368 -126.0828
91.956626 86.633 -138.8159
92.622982 87.405 -152.6711
93.294166 87.654 -167.2356
93.970214 87.363 178.2211
94.651161 86.545 164.5269
95.337042 85.244 152.2970
96.027894 83.496 141.7327
96.723752 81.294 132.8739
97.424652 78.567 126.3787
98.130631 75.259 125.1552
98.841726 71.793 146.0417
99.557974 70.304 -140.0304
100.279412 71.607 -124.1194
101.006078 73.214 -126.3308
101.738010 74.172 -131.5823
102.475245 74.509 -136.7557
103.217823 74.369 -141.0676
103.965782 73.856 -144.3430
104.719161 73.035 -146.2520
105.477999 71.988 -146.0374
106.242336 70.872 -143.2823
107.012212 69.857 -139.2288
107.787666 69.002 -135.5848
108.568740 68.280 -133.0540
109.355474 67.654 -132.6323
110.147909 67.059 -135.3091
110.946086 66.489 -141.4225
111.750047 66.066 -152.0898
112.559834 65.914 -168.4247
113.375489 66.108 171.3076
114.197055 66.695 151.4517
115.024574 67.603 135.1511
115.858089 68.626 122.5266
116.697645 69.535 112.3723
117.543284 70.164 103.8954
118.395051 70.426 97.1490
119.252990 70.308 92.6267
120.117147 69.839 91.0175
120.987565 69.133 93.7621
121.864291 68.523 103.1786
122.747370 68.598 119.8566
123.636848 69.646 137.1799
124.532771 71.224 148.3378
125.435187 72.780 153.6494
126.344142 74.024 155.3051
127.259684 74.860 155.5137
128.181860 75.295 155.9095
129.110718 75.401 157.9069
130.046308 75.436 164.4829
130.988677 75.931 177.4329
131.937875 77.177 -168.8041
132.893951 78.868 -159.8717
133.856956 80.585 -155.7542
134.826938 82.050 -155.8302
135.803950 83.078 -158.8015
136.788041 83.653 -161.8101
137.779264 83.954 -162.4285
138.777669 84.235 -160.4138
139.783309 84.654 -157.1924
140.796237 85.185 -154.7955
141.816504 85.662 -154.2410
142.844165 85.965 -154.2593
143.879273 86.150 -152.9385
144.921881 86.373 -150.2155
145.972045 86.692 -147.6230
147.029819 87.053 -145.9082
148.095257 87.383 -145.1083
149.168417 87.601 -145.3945
150.249353 87.615 -146.5264
151.338121 87.396 -147.1877
152.434780 87.042 -145.9404
153.539385 86.734 -142.7083
154.651995 86.593 -139.0646
155.772667 86.570 -136.8770
156.901460 86.504 -136.4510
158.038432 86.267 -137.0824
159.183644 85.790 -138.0341
160.337154 85.073 -138.0365
161.499023 84.234 -135.9307
162.669312 83.402 -133.5699
163.848081 82.477 -133.4752
165.035392 81.209 -134.4673
166.231306 79.459 -133.4827
167.435887 77.249 -128.8376
168.649196 74.681 -119.3049
169.871298 72.228 -92.8643
171.102255 71.451 -41.5883
172.342133 72.871 -12.6733
173.590995 74.898 -0.5776
174.848907 76.628 4.2671
176.115934 77.701 2.7184
177.392143 77.870 -2.3734
